,Aussie Sebastian,Go Forward Herby,Sour Cider Wilma,Just Like Aria,Sekekama
09-01-2023 16:53:14.322475,"(2.1, 2.98, 2.7933333333333334)","(3.2, 5.0, 4.716666666666667)","(3.1, 4.6, 3.8249999999999997)","(17.0, 32.0, 24.727272727272727)","(20.0, 50.0, 41.42857142857143)"
09-01-2023 16:53:15.178956,"(2.1, 2.98, 2.7933333333333334)","(3.2, 5.0, 4.716666666666667)","(3.1, 4.6, 3.8249999999999997)","(17.0, 32.0, 24.727272727272727)","(20.0, 50.0, 41.42857142857143)"
09-01-2023 16:53:16.079102,"(2.1, 2.98, 2.7933333333333334)","(3.2, 5.0, 4.716666666666667)","(3.1, 4.6, 3.8249999999999997)","(17.0, 32.0, 24.727272727272727)","(20.0, 50.0, 41.42857142857143)"
09-01-2023 16:53:16.921662,"(2.1, 2.98, 2.7933333333333334)","(3.2, 5.0, 4.716666666666667)","(3.1, 4.6, 3.8249999999999997)","(17.0, 32.0, 24.727272727272727)","(20.0, 50.0, 41.42857142857143)"
09-01-2023 16:53:17.756371,"(2.1, 2.98, 2.7933333333333334)","(3.2, 5.0, 4.716666666666667)","(3.1, 4.6, 3.8249999999999997)","(17.0, 32.0, 24.727272727272727)","(20.0, 50.0, 41.42857142857143)"
09-01-2023 16:53:18.556430,"(2.1, 2.98, 2.7933333333333334)","(3.2, 5.0, 4.716666666666667)","(3.1, 4.6, 3.8249999999999997)","(17.0, 32.0, 24.727272727272727)","(20.0, 50.0, 41.42857142857143)"
09-01-2023 16:53:19.457839,"(2.1, 2.98, 2.7933333333333334)","(3.2, 5.0, 4.716666666666667)","(3.1, 4.6, 3.8249999999999997)","(17.0, 32.0, 24.727272727272727)","(20.0, 50.0, 41.42857142857143)"
09-01-2023 16:53:20.311227,"(2.1, 2.98, 2.7933333333333334)","(3.2, 5.0, 4.716666666666667)","(3.1, 4.6, 3.8249999999999997)","(17.0, 32.0, 24.727272727272727)","(20.0, 50.0, 41.42857142857143)"
09-01-2023 16:53:21.108003,"(2.1, 2.98, 2.7933333333333334)","(3.2, 5.0, 4.716666666666667)","(3.1, 4.6, 3.8249999999999997)","(17.0, 32.0, 24.727272727272727)","(20.0, 50.0, 41.42857142857143)"
09-01-2023 16:53:21.939211,"(2.1, 2.98, 2.7933333333333334)","(3.2, 5.0, 4.716666666666667)","(3.1, 4.6, 3.8249999999999997)","(17.0, 32.0, 24.727272727272727)","(20.0, 50.0, 41.42857142857143)"
09-01-2023 16:53:22.807371,"(2.1, 2.98, 2.7933333333333334)","(3.2, 5.0, 4.716666666666667)","(3.1, 4.6, 3.8249999999999997)","(17.0, 32.0, 24.727272727272727)","(20.0, 50.0, 41.42857142857143)"
09-01-2023 16:53:23.755191,"(2.1, 2.98, 2.7933333333333334)","(3.2, 5.0, 4.716666666666667)","(3.1, 4.6, 3.8249999999999997)","(17.0, 32.0, 24.727272727272727)","(20.0, 50.0, 41.42857142857143)"
09-01-2023 16:53:24.716023,"(2.1, 2.98, 2.7933333333333334)","(3.2, 5.0, 4.716666666666667)","(3.1, 4.6, 3.8249999999999997)","(17.0, 32.0, 24.727272727272727)","(20.0, 50.0, 41.42857142857143)"
09-01-2023 16:53:25.582339,"(2.1, 2.98, 2.7933333333333334)","(3.2, 5.0, 4.716666666666667)","(3.1, 4.6, 3.8249999999999997)","(17.0, 32.0, 24.727272727272727)","(20.0, 50.0, 41.42857142857143)"
09-01-2023 16:53:26.452716,"(2.1, 2.98, 2.7933333333333334)","(3.2, 5.0, 4.716666666666667)","(3.1, 4.6, 3.8249999999999997)","(17.0, 32.0, 24.727272727272727)","(20.0, 50.0, 41.42857142857143)"
09-01-2023 16:53:27.306598,"(2.1, 2.98, 2.7933333333333334)","(3.2, 5.0, 4.716666666666667)","(3.1, 4.6, 3.8249999999999997)","(17.0, 32.0, 24.727272727272727)","(20.0, 50.0, 41.42857142857143)"
09-01-2023 16:53:28.153654,"(2.1, 2.98, 2.84)","(3.2, 5.0, 4.716666666666667)","(3.1, 4.6, 3.8249999999999997)","(17.0, 32.0, 24.727272727272727)","(20.0, 50.0, 41.42857142857143)"
09-01-2023 16:53:28.983488,"(2.1, 2.98, 2.84)","(3.2, 5.0, 4.716666666666667)","(3.1, 4.6, 3.8249999999999997)","(17.0, 32.0, 24.727272727272727)","(20.0, 50.0, 41.42857142857143)"
09-01-2023 16:53:29.863232,"(2.1, 2.98, 2.84)","(3.2, 5.0, 4.716666666666667)","(3.1, 4.6, 3.8249999999999997)","(17.0, 32.0, 24.727272727272727)","(20.0, 50.0, 41.42857142857143)"
09-01-2023 16:53:30.682134,"(2.1, 2.98, 2.84)","(3.2, 5.0, 4.716666666666667)","(3.1, 4.6, 3.8249999999999997)","(17.0, 32.0, 24.727272727272727)","(20.0, 50.0, 41.42857142857143)"
09-01-2023 16:53:31.546251,"(2.1, 2.98, 2.7933333333333334)","(3.2, 5.0, 4.716666666666667)","(3.1, 4.6, 3.8249999999999997)","(17.0, 32.0, 24.727272727272727)","(20.0, 50.0, 41.42857142857143)"
09-01-2023 16:53:32.397103,"(2.1, 2.98, 2.7933333333333334)","(3.2, 5.0, 4.716666666666667)","(3.1, 4.6, 3.8249999999999997)","(17.0, 32.0, 24.727272727272727)","(20.0, 50.0, 41.42857142857143)"
09-01-2023 16:53:33.271525,"(2.1, 2.98, 2.7933333333333334)","(3.2, 5.0, 4.716666666666667)","(3.1, 4.6, 3.8249999999999997)","(17.0, 32.0, 24.727272727272727)","(20.0, 50.0, 41.42857142857143)"
09-01-2023 16:53:34.083623,"(2.1, 2.98, 2.7933333333333334)","(3.2, 5.0, 4.716666666666667)","(3.1, 4.6, 3.8249999999999997)","(17.0, 32.0, 24.727272727272727)","(20.0, 50.0, 41.42857142857143)"
09-01-2023 16:53:34.986105,"(2.1, 2.98, 2.7933333333333334)","(3.2, 5.0, 4.716666666666667)","(3.1, 4.6, 3.8249999999999997)","(17.0, 32.0, 24.727272727272727)","(20.0, 50.0, 41.42857142857143)"
09-01-2023 16:53:36.063202,"(2.1, 2.98, 2.7933333333333334)","(3.2, 5.0, 4.716666666666667)","(3.1, 4.6, 3.8249999999999997)","(17.0, 32.0, 24.727272727272727)","(20.0, 50.0, 41.42857142857143)"
09-01-2023 16:53:36.871856,"(2.1, 2.98, 2.7333333333333334)","(3.2, 5.0, 4.716666666666667)","(3.1, 4.6, 3.8249999999999997)","(17.0, 32.0, 24.727272727272727)","(20.0, 50.0, 41.42857142857143)"
09-01-2023 16:53:37.675827,"(2.1, 2.98, 2.7333333333333334)","(3.2, 5.0, 4.716666666666667)","(3.1, 4.6, 3.8249999999999997)","(17.0, 32.0, 24.727272727272727)","(20.0, 50.0, 41.42857142857143)"
09-01-2023 16:53:38.590923,"(2.1, 2.98, 2.7333333333333334)","(3.2, 5.0, 4.716666666666667)","(3.1, 4.6, 3.8249999999999997)","(17.0, 32.0, 24.727272727272727)","(20.0, 50.0, 41.42857142857143)"
09-01-2023 16:53:39.507049,"(2.1, 2.98, 2.7333333333333334)","(3.2, 5.0, 4.716666666666667)","(3.1, 4.6, 3.8249999999999997)","(17.0, 32.0, 24.727272727272727)","(20.0, 50.0, 41.42857142857143)"
09-01-2023 16:53:40.422861,"(2.1, 2.98, 2.7333333333333334)","(3.2, 5.0, 4.716666666666667)","(3.1, 4.6, 3.8249999999999997)","(17.0, 32.0, 24.727272727272727)","(20.0, 50.0, 41.42857142857143)"
09-01-2023 16:53:41.240748,"(2.1, 2.98, 2.7333333333333334)","(3.2, 5.0, 4.716666666666667)","(3.1, 4.6, 3.8249999999999997)","(17.0, 32.0, 24.727272727272727)","(20.0, 50.0, 41.42857142857143)"
09-01-2023 16:53:42.104021,"(2.1, 2.98, 2.7333333333333334)","(3.2, 5.0, 4.716666666666667)","(3.1, 4.6, 3.8249999999999997)","(17.0, 32.0, 24.727272727272727)","(20.0, 50.0, 41.42857142857143)"
09-01-2023 16:53:43.028398,"(2.1, 2.98, 2.7333333333333334)","(3.2, 5.0, 4.716666666666667)","(3.1, 4.6, 3.8249999999999997)","(17.0, 32.0, 24.727272727272727)","(20.0, 50.0, 41.42857142857143)"
09-01-2023 16:53:43.802229,"(2.1, 2.98, 2.7333333333333334)","(3.2, 5.0, 4.716666666666667)","(3.1, 4.6, 3.8249999999999997)","(17.0, 32.0, 24.727272727272727)","(20.0, 50.0, 41.42857142857143)"
09-01-2023 16:53:44.613038,"(2.1, 2.98, 2.7333333333333334)","(3.2, 5.0, 4.716666666666667)","(3.1, 4.6, 3.8249999999999997)","(17.0, 32.0, 24.727272727272727)","(20.0, 50.0, 41.42857142857143)"
09-01-2023 16:53:45.484864,"(2.1, 2.98, 2.7333333333333334)","(3.2, 5.0, 4.716666666666667)","(3.1, 4.6, 3.8249999999999997)","(17.0, 32.0, 24.727272727272727)","(20.0, 50.0, 41.42857142857143)"
09-01-2023 16:53:46.348861,"(2.1, 2.98, 2.7333333333333334)","(3.2, 5.0, 4.716666666666667)","(3.1, 4.6, 3.8249999999999997)","(17.0, 32.0, 24.727272727272727)","(20.0, 50.0, 41.42857142857143)"
09-01-2023 16:53:47.203550,"(2.1, 2.98, 2.7333333333333334)","(3.2, 5.0, 4.716666666666667)","(3.1, 4.6, 3.8249999999999997)","(17.0, 32.0, 24.727272727272727)","(20.0, 50.0, 41.42857142857143)"
09-01-2023 16:53:48.046633,"(2.1, 2.98, 2.7333333333333334)","(3.2, 5.0, 4.716666666666667)","(3.1, 4.6, 3.8249999999999997)","(17.0, 32.0, 24.727272727272727)","(20.0, 50.0, 41.42857142857143)"
09-01-2023 16:53:48.904443,"(2.1, 2.98, 2.7333333333333334)","(3.2, 5.0, 4.716666666666667)","(3.1, 4.6, 3.8249999999999997)","(17.0, 32.0, 24.727272727272727)","(20.0, 50.0, 41.42857142857143)"
09-01-2023 16:53:49.743940,"(2.1, 2.98, 2.7333333333333334)","(3.2, 5.0, 4.716666666666667)","(3.1, 4.6, 3.8249999999999997)","(17.0, 32.0, 24.727272727272727)","(20.0, 50.0, 41.42857142857143)"
09-01-2023 16:53:50.669492,"(2.1, 2.98, 2.7333333333333334)","(3.2, 5.0, 4.716666666666667)","(3.1, 4.6, 3.8249999999999997)","(17.0, 32.0, 24.727272727272727)","(20.0, 50.0, 41.42857142857143)"
09-01-2023 16:53:51.560774,"(2.1, 2.98, 2.7333333333333334)","(3.2, 5.0, 4.716666666666667)","(3.1, 4.6, 3.8249999999999997)","(17.0, 32.0, 24.727272727272727)","(20.0, 50.0, 41.42857142857143)"
09-01-2023 16:53:52.442485,"(2.1, 2.98, 2.7333333333333334)","(3.2, 5.0, 4.716666666666667)","(3.1, 4.6, 3.8249999999999997)","(17.0, 32.0, 24.727272727272727)","(20.0, 50.0, 41.42857142857143)"
09-01-2023 16:53:53.360359,"(2.1, 2.98, 2.7333333333333334)","(3.2, 5.0, 4.716666666666667)","(3.1, 4.6, 3.8249999999999997)","(17.0, 32.0, 24.727272727272727)","(20.0, 50.0, 41.42857142857143)"
09-01-2023 16:53:54.229763,"(2.1, 2.98, 2.7333333333333334)","(3.2, 5.0, 4.716666666666667)","(3.1, 4.6, 3.8249999999999997)","(17.0, 32.0, 24.727272727272727)","(20.0, 50.0, 41.42857142857143)"
09-01-2023 16:53:55.048434,"(2.1, 2.98, 2.7333333333333334)","(3.2, 5.0, 4.716666666666667)","(3.1, 4.6, 3.8249999999999997)","(17.0, 32.0, 24.727272727272727)","(20.0, 50.0, 41.42857142857143)"
09-01-2023 16:53:55.842730,"(2.1, 2.98, 2.7333333333333334)","(3.2, 5.0, 4.716666666666667)","(3.1, 4.6, 3.8249999999999997)","(17.0, 32.0, 24.727272727272727)","(20.0, 50.0, 41.42857142857143)"
09-01-2023 16:53:56.660307,"(2.1, 2.98, 2.7333333333333334)","(3.2, 5.0, 4.716666666666667)","(3.1, 4.6, 3.8249999999999997)","(17.0, 32.0, 24.727272727272727)","(20.0, 50.0, 41.42857142857143)"
09-01-2023 16:53:57.496109,"(2.1, 2.98, 2.7333333333333334)","(3.2, 5.0, 4.716666666666667)","(3.1, 4.6, 3.8249999999999997)","(17.0, 32.0, 24.727272727272727)","(20.0, 50.0, 41.42857142857143)"
09-01-2023 16:53:58.353919,"(2.1, 2.98, 2.7333333333333334)","(3.2, 5.0, 4.716666666666667)","(3.1, 4.6, 3.8249999999999997)","(17.0, 32.0, 24.727272727272727)","(20.0, 50.0, 41.42857142857143)"
09-01-2023 16:53:59.171807,"(2.1, 2.98, 2.7333333333333334)","(3.2, 5.0, 4.716666666666667)","(3.1, 4.6, 3.8249999999999997)","(17.0, 32.0, 24.727272727272727)","(20.0, 50.0, 41.42857142857143)"
09-01-2023 16:54:00.045192,"(2.1, 2.98, 2.7333333333333334)","(3.2, 5.0, 4.716666666666667)","(3.1, 4.6, 3.8249999999999997)","(17.0, 32.0, 24.727272727272727)","(20.0, 50.0, 41.42857142857143)"
09-01-2023 16:54:00.903340,"(2.1, 2.98, 2.7333333333333334)","(3.2, 5.0, 4.716666666666667)","(3.1, 4.6, 3.8249999999999997)","(17.0, 32.0, 24.727272727272727)","(20.0, 50.0, 41.42857142857143)"
09-01-2023 16:54:01.766290,"(2.1, 2.98, 2.795)","(3.2, 5.0, 4.716666666666667)","(3.1, 4.6, 3.8249999999999997)","(17.0, 32.0, 24.727272727272727)","(20.0, 50.0, 41.42857142857143)"
09-01-2023 16:54:02.561719,"(2.1, 2.98, 2.795)","(3.2, 5.0, 4.716666666666667)","(3.1, 4.6, 3.8249999999999997)","(17.0, 32.0, 24.727272727272727)","(20.0, 50.0, 41.42857142857143)"
09-01-2023 16:54:03.373158,"(2.1, 2.98, 2.795)","(3.2, 5.0, 4.716666666666667)","(3.1, 4.6, 3.8249999999999997)","(17.0, 32.0, 24.727272727272727)","(20.0, 50.0, 41.42857142857143)"
09-01-2023 16:54:04.170927,"(2.1, 2.98, 2.795)","(3.2, 5.0, 4.716666666666667)","(3.1, 4.6, 3.8249999999999997)","(17.0, 32.0, 24.727272727272727)","(20.0, 50.0, 41.42857142857143)"
09-01-2023 16:54:05.015165,"(2.1, 2.98, 2.7333333333333334)","(3.2, 5.0, 4.716666666666667)","(3.1, 4.6, 3.8249999999999997)","(17.0, 32.0, 24.727272727272727)","(20.0, 50.0, 41.42857142857143)"
09-01-2023 16:54:05.890241,"(2.1, 2.98, 2.7333333333333334)","(3.2, 5.0, 4.716666666666667)","(3.1, 4.6, 3.8249999999999997)","(17.0, 32.0, 24.727272727272727)","(20.0, 50.0, 41.42857142857143)"
09-01-2023 16:54:06.740552,"(2.1, 2.98, 2.7333333333333334)","(3.2, 5.0, 4.716666666666667)","(3.1, 4.6, 3.8249999999999997)","(17.0, 32.0, 24.727272727272727)","(20.0, 50.0, 41.42857142857143)"
09-01-2023 16:54:07.763407,"(2.1, 2.98, 2.7399999999999998)","(3.2, 5.0, 4.716666666666667)","(3.1, 4.6, 3.8249999999999997)","(17.0, 32.0, 24.727272727272727)","(20.0, 50.0, 41.42857142857143)"
09-01-2023 16:54:08.663187,"(2.1, 2.98, 2.7399999999999998)","(3.2, 5.0, 4.716666666666667)","(3.1, 4.6, 3.8249999999999997)","(17.0, 32.0, 24.727272727272727)","(20.0, 50.0, 41.42857142857143)"
09-01-2023 16:54:09.479682,"(2.1, 2.98, 2.7399999999999998)","(3.2, 5.0, 4.716666666666667)","(3.1, 4.6, 3.8249999999999997)","(17.0, 32.0, 24.727272727272727)","(20.0, 50.0, 41.42857142857143)"
09-01-2023 16:54:10.259726,"(2.1, 2.98, 2.7399999999999998)","(3.2, 5.0, 4.716666666666667)","(3.1, 4.6, 3.8249999999999997)","(17.0, 32.0, 24.727272727272727)","(20.0, 50.0, 41.42857142857143)"
09-01-2023 16:54:11.067160,"(2.1, 2.98, 2.7399999999999998)","(3.2, 5.0, 4.716666666666667)","(3.1, 4.6, 3.8249999999999997)","(17.0, 32.0, 24.727272727272727)","(20.0, 50.0, 41.42857142857143)"
09-01-2023 16:54:11.944131,"(2.1, 2.98, 2.7399999999999998)","(3.2, 5.0, 4.716666666666667)","(3.1, 4.6, 3.8249999999999997)","(17.0, 32.0, 24.727272727272727)","(20.0, 50.0, 41.42857142857143)"
09-01-2023 16:54:12.775195,"(2.1, 2.98, 2.7399999999999998)","(3.2, 5.0, 4.716666666666667)","(3.1, 4.6, 3.8249999999999997)","(17.0, 32.0, 24.727272727272727)","(20.0, 50.0, 41.42857142857143)"
09-01-2023 16:54:13.579300,"(2.1, 2.98, 2.7399999999999998)","(3.2, 5.0, 4.716666666666667)","(3.1, 4.6, 3.8249999999999997)","(17.0, 32.0, 24.727272727272727)","(20.0, 50.0, 41.42857142857143)"
09-01-2023 16:54:14.420023,"(2.1, 2.98, 2.7399999999999998)","(3.2, 5.0, 4.716666666666667)","(3.1, 4.6, 3.8249999999999997)","(17.0, 32.0, 24.727272727272727)","(20.0, 50.0, 41.42857142857143)"
09-01-2023 16:54:15.293719,"(2.1, 2.98, 2.7399999999999998)","(3.2, 5.0, 4.716666666666667)","(3.1, 4.6, 3.8249999999999997)","(17.0, 32.0, 24.727272727272727)","(20.0, 50.0, 41.42857142857143)"
09-01-2023 16:54:16.180352,"(2.1, 2.98, 2.7399999999999998)","(3.2, 5.0, 4.716666666666667)","(3.1, 4.6, 3.8249999999999997)","(17.0, 32.0, 24.727272727272727)","(20.0, 50.0, 41.42857142857143)"
09-01-2023 16:54:16.975871,"(2.1, 2.98, 2.7399999999999998)","(3.2, 5.0, 4.716666666666667)","(3.1, 4.6, 3.8249999999999997)","(17.0, 32.0, 24.727272727272727)","(20.0, 50.0, 41.42857142857143)"
09-01-2023 16:54:17.771754,"(2.1, 2.98, 2.7399999999999998)","(3.2, 5.0, 4.716666666666667)","(3.1, 4.6, 3.8249999999999997)","(17.0, 32.0, 24.727272727272727)","(20.0, 50.0, 41.42857142857143)"
09-01-2023 16:54:18.612190,"(2.1, 2.98, 2.7399999999999998)","(3.2, 5.0, 4.716666666666667)","(3.1, 4.6, 3.8249999999999997)","(17.0, 32.0, 24.727272727272727)","(20.0, 50.0, 41.42857142857143)"
09-01-2023 16:54:19.490328,"(2.1, 2.98, 2.7399999999999998)","(3.2, 5.0, 4.716666666666667)","(3.1, 4.6, 3.8249999999999997)","(17.0, 32.0, 24.727272727272727)","(20.0, 50.0, 41.42857142857143)"
09-01-2023 16:54:20.342161,"(2.1, 2.98, 2.7399999999999998)","(3.2, 5.0, 4.716666666666667)","(3.1, 4.6, 3.8249999999999997)","(17.0, 32.0, 24.727272727272727)","(20.0, 50.0, 41.42857142857143)"
09-01-2023 16:54:21.146923,"(2.1, 2.98, 2.7399999999999998)","(3.2, 5.0, 4.716666666666667)","(3.1, 4.6, 3.8249999999999997)","(17.0, 32.0, 24.727272727272727)","(20.0, 50.0, 41.42857142857143)"
09-01-2023 16:54:21.955038,"(2.1, 2.98, 2.7399999999999998)","(3.2, 5.0, 4.716666666666667)","(3.1, 4.6, 3.8249999999999997)","(17.0, 32.0, 24.727272727272727)","(20.0, 50.0, 41.42857142857143)"
09-01-2023 16:54:22.752284,"(2.1, 2.98, 2.7399999999999998)","(3.2, 5.0, 4.716666666666667)","(3.1, 4.6, 3.8249999999999997)","(17.0, 32.0, 24.727272727272727)","(20.0, 50.0, 41.42857142857143)"
09-01-2023 16:54:23.566230,"(2.1, 2.98, 2.7399999999999998)","(3.2, 5.0, 4.716666666666667)","(3.1, 4.6, 3.8249999999999997)","(17.0, 32.0, 24.727272727272727)","(20.0, 50.0, 41.42857142857143)"
09-01-2023 16:54:24.387064,"(2.1, 2.98, 2.7399999999999998)","(3.2, 5.0, 4.716666666666667)","(3.1, 4.6, 3.8249999999999997)","(17.0, 32.0, 24.727272727272727)","(20.0, 50.0, 41.42857142857143)"
09-01-2023 16:54:25.288814,"(2.1, 2.98, 2.7399999999999998)","(3.2, 5.0, 4.716666666666667)","(3.1, 4.6, 3.8249999999999997)","(17.0, 32.0, 24.727272727272727)","(20.0, 50.0, 41.42857142857143)"
09-01-2023 16:54:26.217435,"(2.1, 2.98, 2.7399999999999998)","(3.2, 5.0, 4.716666666666667)","(3.1, 4.6, 3.8249999999999997)","(17.0, 32.0, 24.727272727272727)","(20.0, 50.0, 41.42857142857143)"
09-01-2023 16:54:27.026342,"(2.1, 2.98, 2.7399999999999998)","(3.2, 5.0, 4.716666666666667)","(3.1, 4.6, 3.8249999999999997)","(17.0, 32.0, 24.727272727272727)","(20.0, 50.0, 41.42857142857143)"
09-01-2023 16:54:27.816545,"(2.1, 2.98, 2.7399999999999998)","(3.2, 5.0, 4.716666666666667)","(3.1, 4.6, 3.8249999999999997)","(17.0, 32.0, 24.727272727272727)","(20.0, 50.0, 41.42857142857143)"
09-01-2023 16:54:28.691396,"(2.1, 2.98, 2.7399999999999998)","(3.2, 5.0, 4.716666666666667)","(3.1, 4.6, 3.8249999999999997)","(17.0, 32.0, 24.727272727272727)","(20.0, 50.0, 41.42857142857143)"
09-01-2023 16:54:29.560114,"(2.1, 2.98, 2.7399999999999998)","(3.2, 5.0, 4.716666666666667)","(3.1, 4.6, 3.8249999999999997)","(17.0, 32.0, 24.727272727272727)","(20.0, 50.0, 41.42857142857143)"
09-01-2023 16:54:30.463951,"(2.1, 2.98, 2.7399999999999998)","(3.2, 5.0, 4.716666666666667)","(3.1, 4.6, 3.8249999999999997)","(17.0, 32.0, 24.727272727272727)","(20.0, 50.0, 41.42857142857143)"
09-01-2023 16:54:31.354879,"(2.1, 2.98, 2.7399999999999998)","(3.2, 5.0, 4.716666666666667)","(3.1, 4.6, 3.8249999999999997)","(17.0, 32.0, 24.727272727272727)","(20.0, 50.0, 41.42857142857143)"
09-01-2023 16:54:32.195585,"(2.1, 2.98, 2.7399999999999998)","(3.2, 5.0, 4.716666666666667)","(3.1, 4.6, 3.8249999999999997)","(17.0, 32.0, 24.727272727272727)","(20.0, 50.0, 41.42857142857143)"
09-01-2023 16:54:33.024765,"(2.1, 2.98, 2.7399999999999998)","(3.2, 5.0, 4.716666666666667)","(3.1, 4.6, 3.8249999999999997)","(17.0, 32.0, 24.727272727272727)","(20.0, 50.0, 41.42857142857143)"
09-01-2023 16:54:33.862334,"(2.1, 2.98, 2.7399999999999998)","(3.2, 5.0, 4.716666666666667)","(3.1, 4.6, 3.8249999999999997)","(17.0, 32.0, 25.333333333333332)","(20.0, 50.0, 41.42857142857143)"
09-01-2023 16:54:34.698914,"(2.1, 2.98, 2.7399999999999998)","(3.2, 5.0, 4.716666666666667)","(3.1, 4.6, 3.8249999999999997)","(17.0, 32.0, 25.333333333333332)","(20.0, 50.0, 41.42857142857143)"
09-01-2023 16:54:35.494541,"(2.1, 2.98, 2.7399999999999998)","(3.2, 5.0, 4.716666666666667)","(3.1, 4.6, 3.8249999999999997)","(17.0, 32.0, 25.333333333333332)","(20.0, 50.0, 41.42857142857143)"
09-01-2023 16:54:36.324258,"(2.1, 2.98, 2.8)","(3.2, 5.0, 4.716666666666667)","(3.1, 4.6, 3.8249999999999997)","(17.0, 32.0, 25.333333333333332)","(20.0, 50.0, 41.42857142857143)"
09-01-2023 16:54:37.322141,"(2.1, 2.98, 2.937837837837838)","(3.2, 5.0, 4.716666666666667)","(3.1, 4.6, 3.8249999999999997)","(17.0, 32.0, 25.333333333333332)","(20.0, 50.0, 41.42857142857143)"
09-01-2023 16:54:38.179621,"(2.1, 2.98, 2.8049999999999997)","(3.2, 5.0, 4.716666666666667)","(3.1, 4.6, 3.8249999999999997)","(17.0, 32.0, 25.333333333333332)","(20.0, 50.0, 41.42857142857143)"
09-01-2023 16:54:38.980834,"(2.1, 2.98, 2.8049999999999997)","(3.2, 5.0, 4.716666666666667)","(3.1, 4.6, 3.8249999999999997)","(17.0, 32.0, 25.333333333333332)","(20.0, 50.0, 41.42857142857143)"
09-01-2023 16:54:39.763458,"(2.1, 2.98, 2.8049999999999997)","(3.2, 5.0, 4.716666666666667)","(3.1, 4.6, 3.8249999999999997)","(17.0, 32.0, 25.333333333333332)","(20.0, 50.0, 41.42857142857143)"
09-01-2023 16:54:40.576726,"(2.1, 2.98, 2.8049999999999997)","(3.2, 5.0, 4.716666666666667)","(3.1, 4.6, 3.8249999999999997)","(17.0, 32.0, 25.333333333333332)","(20.0, 50.0, 41.42857142857143)"
