,War Hammer,Banebridge,Bundy Bounce,Hooked On Prissy,Simply Orson,Sketchy In By,Nulas Girl,What A Knight
14-12-2022 12:38:22.132033,"(4.8, 6.4, 5.800000000000001)","(2.4, 3.75, 3.6666666666666665)","(17.0, 48.0, 33.75)","(2.6, 2.94, 2.8707692307692305)","(101.0, 650.0, 588.8888888888889)","(5.0, 7.4, 6.257142857142857)","(51.0, 390.0, 145.76470588235293)","(31.0, 110.0, 74.23529411764706)"
14-12-2022 12:38:23.233761,"(4.8, 6.4, 5.800000000000001)","(2.4, 3.75, 3.6666666666666665)","(17.0, 48.0, 33.75)","(2.6, 2.94, 2.8707692307692305)","(101.0, 650.0, 588.8888888888889)","(5.0, 7.4, 6.7)","(51.0, 390.0, 145.76470588235293)","(31.0, 110.0, 74.23529411764706)"
14-12-2022 12:38:24.389562,"(4.8, 6.4, 5.800000000000001)","(2.4, 3.75, 3.642857142857143)","(17.0, 48.0, 33.75)","(2.6, 2.94, 2.8971428571428572)","(101.0, 650.0, 588.8888888888889)","(5.0, 7.4, 6.7)","(51.0, 390.0, 145.76470588235293)","(31.0, 110.0, 74.23529411764706)"
14-12-2022 12:38:25.590868,"(4.8, 6.4, 5.800000000000001)","(2.4, 3.75, 3.6)","(17.0, 48.0, 33.75)","(2.6, 2.94, 2.9066666666666667)","(101.0, 650.0, 588.8888888888889)","(5.0, 7.4, 6.257142857142857)","(51.0, 390.0, 145.76470588235293)","(31.0, 110.0, 74.23529411764706)"
14-12-2022 12:38:26.660303,"(4.8, 6.4, 5.800000000000001)","(2.4, 3.75, 3.6)","(17.0, 48.0, 33.75)","(2.6, 2.94, 2.882857142857143)","(101.0, 650.0, 588.8888888888889)","(5.0, 7.4, 6.7)","(51.0, 390.0, 145.76470588235293)","(31.0, 110.0, 74.23529411764706)"
14-12-2022 12:38:27.773664,"(4.8, 6.4, 5.800000000000001)","(2.4, 3.75, 3.6)","(17.0, 48.0, 33.75)","(2.6, 2.94, 2.882857142857143)","(101.0, 650.0, 588.8888888888889)","(5.0, 7.4, 6.257142857142857)","(51.0, 390.0, 145.76470588235293)","(31.0, 110.0, 74.23529411764706)"
14-12-2022 12:38:28.881819,"(4.8, 6.4, 5.800000000000001)","(2.4, 3.75, 3.6)","(17.0, 48.0, 33.75)","(2.6, 2.94, 2.7800000000000002)","(101.0, 650.0, 588.8888888888889)","(5.0, 7.4, 6.566666666666666)","(51.0, 390.0, 145.76470588235293)","(31.0, 110.0, 74.23529411764706)"
14-12-2022 12:38:30.000281,"(4.8, 6.4, 5.800000000000001)","(2.4, 3.75, 3.6)","(17.0, 48.0, 33.75)","(2.6, 2.94, 2.7800000000000002)","(101.0, 650.0, 588.8888888888889)","(5.0, 7.2, 6.566666666666666)","(51.0, 390.0, 145.76470588235293)","(31.0, 110.0, 74.23529411764706)"
14-12-2022 12:38:31.132027,"(4.8, 6.4, 5.800000000000001)","(2.4, 3.8, 3.1454545454545455)","(17.0, 50.0, 23.3125)","(2.6, 2.94, 2.7800000000000002)","(101.0, 650.0, 588.8888888888889)","(5.0, 7.2, 6.171428571428572)","(51.0, 390.0, 145.76470588235293)","(31.0, 110.0, 74.23529411764706)"
14-12-2022 12:38:32.271897,"(4.8, 6.4, 5.800000000000001)","(2.4, 3.8, 3.1454545454545455)","(17.0, 50.0, 23.3125)","(2.6, 2.94, 2.732)","(101.0, 650.0, 588.8888888888889)","(5.0, 7.2, 6.300000000000001)","(51.0, 390.0, 145.76470588235293)","(31.0, 110.0, 74.23529411764706)"
14-12-2022 12:38:33.368846,"(4.8, 6.4, 5.8545454545454545)","(2.4, 3.8, 3.1454545454545455)","(17.0, 50.0, 23.3125)","(2.6, 2.94, 2.732)","(101.0, 650.0, 588.8888888888889)","(5.0, 7.2, 6.300000000000001)","(51.0, 390.0, 145.76470588235293)","(31.0, 110.0, 74.23529411764706)"
14-12-2022 12:38:34.407035,"(4.8, 6.4, 5.8545454545454545)","(2.4, 3.8, 3.1454545454545455)","(17.0, 50.0, 25.6)","(2.6, 2.94, 2.732)","(101.0, 650.0, 588.8888888888889)","(5.0, 7.2, 6.300000000000001)","(51.0, 390.0, 145.76470588235293)","(31.0, 110.0, 74.23529411764706)"
14-12-2022 12:38:35.462735,"(4.8, 6.4, 5.8545454545454545)","(2.4, 3.8, 3.1454545454545455)","(17.0, 50.0, 25.6)","(2.6, 2.94, 2.732)","(101.0, 650.0, 588.8888888888889)","(5.0, 7.2, 6.300000000000001)","(51.0, 390.0, 145.76470588235293)","(31.0, 110.0, 74.23529411764706)"
14-12-2022 12:38:36.506694,"(4.8, 6.4, 5.8545454545454545)","(2.4, 3.8, 3.1454545454545455)","(17.0, 50.0, 25.6)","(2.6, 2.94, 2.732)","(101.0, 650.0, 588.8888888888889)","(5.0, 7.2, 6.300000000000001)","(51.0, 390.0, 145.76470588235293)","(31.0, 110.0, 74.23529411764706)"
14-12-2022 12:38:37.597803,"(4.8, 6.4, 5.8545454545454545)","(2.4, 3.8, 3.1454545454545455)","(17.0, 50.0, 25.6)","(2.6, 2.94, 2.732)","(101.0, 650.0, 588.8888888888889)","(5.0, 7.2, 6.300000000000001)","(51.0, 390.0, 145.76470588235293)","(31.0, 110.0, 74.23529411764706)"
14-12-2022 12:38:38.684518,"(4.8, 6.4, 5.8545454545454545)","(2.4, 3.8, 3.1454545454545455)","(17.0, 50.0, 25.6)","(2.6, 2.94, 2.732)","(101.0, 650.0, 588.8888888888889)","(5.0, 7.2, 6.300000000000001)","(51.0, 390.0, 145.76470588235293)","(31.0, 110.0, 74.23529411764706)"
14-12-2022 12:38:39.821700,"(4.8, 6.4, 5.8545454545454545)","(2.4, 3.8, 3.1454545454545455)","(17.0, 50.0, 25.6)","(2.6, 2.94, 2.732)","(101.0, 650.0, 588.8888888888889)","(5.0, 7.2, 6.300000000000001)","(51.0, 390.0, 145.76470588235293)","(31.0, 110.0, 74.23529411764706)"
14-12-2022 12:38:40.923934,"(4.8, 6.4, 5.8545454545454545)","(2.4, 3.8, 3.1454545454545455)","(17.0, 50.0, 25.6)","(2.6, 2.94, 2.732)","(101.0, 650.0, 588.8888888888889)","(5.0, 7.2, 6.300000000000001)","(51.0, 390.0, 145.76470588235293)","(31.0, 110.0, 74.23529411764706)"
14-12-2022 12:38:42.006968,"(4.8, 6.4, 5.8545454545454545)","(2.4, 3.8, 3.1454545454545455)","(17.0, 50.0, 25.6)","(2.6, 2.94, 2.732)","(101.0, 650.0, 588.8888888888889)","(5.0, 7.2, 6.300000000000001)","(51.0, 390.0, 145.76470588235293)","(31.0, 110.0, 74.23529411764706)"
14-12-2022 12:38:43.084576,"(4.8, 6.4, 5.8545454545454545)","(2.4, 3.8, 3.1454545454545455)","(17.0, 50.0, 25.6)","(2.6, 2.94, 2.732)","(101.0, 650.0, 588.8888888888889)","(5.0, 7.2, 6.300000000000001)","(51.0, 390.0, 145.76470588235293)","(31.0, 110.0, 74.23529411764706)"
14-12-2022 12:38:44.183771,"(4.8, 6.4, 5.8545454545454545)","(2.4, 3.8, 3.1454545454545455)","(17.0, 50.0, 25.6)","(2.6, 2.94, 2.732)","(101.0, 650.0, 588.8888888888889)","(5.0, 7.2, 6.300000000000001)","(51.0, 390.0, 145.76470588235293)","(31.0, 110.0, 74.23529411764706)"
14-12-2022 12:38:45.423635,"(4.8, 6.4, 5.8545454545454545)","(2.4, 3.8, 3.1454545454545455)","(17.0, 50.0, 25.6)","(2.6, 2.94, 2.732)","(101.0, 650.0, 588.8888888888889)","(5.0, 7.2, 6.300000000000001)","(51.0, 390.0, 145.76470588235293)","(31.0, 110.0, 74.23529411764706)"
14-12-2022 12:38:46.518539,"(4.8, 6.4, 5.8545454545454545)","(2.4, 3.8, 3.1454545454545455)","(17.0, 50.0, 25.6)","(2.6, 2.94, 2.732)","(101.0, 650.0, 588.8888888888889)","(5.0, 7.2, 6.300000000000001)","(51.0, 390.0, 145.76470588235293)","(31.0, 110.0, 74.23529411764706)"
14-12-2022 12:38:47.648911,"(4.8, 6.4, 5.8545454545454545)","(2.4, 3.8, 3.1454545454545455)","(17.0, 50.0, 25.6)","(2.6, 2.94, 2.732)","(101.0, 650.0, 588.8888888888889)","(5.0, 7.2, 6.300000000000001)","(51.0, 390.0, 145.76470588235293)","(31.0, 110.0, 74.23529411764706)"
14-12-2022 12:38:48.754556,"(4.8, 6.4, 5.8545454545454545)","(2.4, 3.75, 3.3)","(17.0, 50.0, 25.6)","(2.6, 2.94, 2.732)","(101.0, 650.0, 588.8888888888889)","(5.0, 7.2, 6.300000000000001)","(51.0, 390.0, 145.76470588235293)","(31.0, 110.0, 74.23529411764706)"
14-12-2022 12:38:49.957492,"(4.8, 6.2, 5.745454545454546)","(2.4, 3.75, 3.33)","(17.0, 50.0, 25.6)","(2.6, 2.94, 2.732)","(101.0, 650.0, 588.8888888888889)","(5.0, 7.2, 6.300000000000001)","(51.0, 390.0, 145.76470588235293)","(31.0, 110.0, 74.23529411764706)"
14-12-2022 12:38:51.401387,"(4.8, 6.2, 5.745454545454546)","(2.4, 3.75, 3.33)","(17.0, 50.0, 25.6)","(2.6, 2.94, 2.732)","(101.0, 650.0, 588.8888888888889)","(5.0, 7.2, 6.300000000000001)","(51.0, 390.0, 145.76470588235293)","(31.0, 110.0, 74.23529411764706)"
14-12-2022 12:38:52.609823,"(4.8, 6.2, 5.745454545454546)","(2.4, 3.75, 3.33)","(17.0, 50.0, 25.6)","(2.6, 2.94, 2.732)","(101.0, 650.0, 588.8888888888889)","(5.0, 7.2, 6.300000000000001)","(51.0, 390.0, 145.76470588235293)","(31.0, 110.0, 74.23529411764706)"
14-12-2022 12:38:54.000743,"(4.8, 6.2, 5.745454545454546)","(2.4, 3.75, 3.33)","(17.0, 50.0, 25.6)","(2.6, 2.94, 2.732)","(101.0, 650.0, 588.8888888888889)","(5.0, 7.2, 6.300000000000001)","(51.0, 390.0, 145.76470588235293)","(31.0, 110.0, 74.23529411764706)"
14-12-2022 12:38:55.376398,"(4.8, 6.2, 5.745454545454546)","(2.4, 3.75, 3.33)","(17.0, 50.0, 25.6)","(2.6, 2.94, 2.732)","(101.0, 650.0, 588.8888888888889)","(5.0, 7.2, 6.300000000000001)","(51.0, 390.0, 145.76470588235293)","(31.0, 110.0, 74.23529411764706)"
14-12-2022 12:38:56.623684,"(4.8, 6.2, 5.745454545454546)","(2.4, 3.75, 3.33)","(17.0, 50.0, 25.6)","(2.6, 2.94, 2.732)","(101.0, 650.0, 588.8888888888889)","(5.0, 7.2, 6.300000000000001)","(51.0, 390.0, 145.76470588235293)","(31.0, 110.0, 74.23529411764706)"
14-12-2022 12:38:58.007278,"(4.8, 6.2, 5.745454545454546)","(2.4, 3.75, 3.33)","(17.0, 50.0, 25.6)","(2.6, 2.94, 2.732)","(101.0, 650.0, 588.8888888888889)","(5.0, 7.2, 6.300000000000001)","(51.0, 390.0, 145.76470588235293)","(31.0, 110.0, 74.23529411764706)"
14-12-2022 12:38:59.152115,"(4.8, 6.2, 5.745454545454546)","(2.4, 3.75, 3.33)","(17.0, 50.0, 25.6)","(2.6, 2.94, 2.732)","(101.0, 650.0, 588.8888888888889)","(5.0, 7.2, 6.300000000000001)","(51.0, 390.0, 145.76470588235293)","(31.0, 110.0, 74.23529411764706)"
14-12-2022 12:39:00.407482,"(4.8, 6.2, 5.745454545454546)","(2.4, 3.75, 3.33)","(17.0, 50.0, 25.6)","(2.6, 2.94, 2.732)","(101.0, 650.0, 588.8888888888889)","(5.0, 7.2, 6.300000000000001)","(51.0, 390.0, 145.76470588235293)","(31.0, 110.0, 74.23529411764706)"
14-12-2022 12:39:01.654799,"(4.8, 6.2, 5.745454545454546)","(2.4, 3.75, 3.33)","(17.0, 50.0, 25.6)","(2.6, 2.94, 2.7745454545454544)","(101.0, 650.0, 588.8888888888889)","(5.0, 7.2, 6.300000000000001)","(51.0, 390.0, 172.73684210526315)","(31.0, 110.0, 56.18181818181819)"
14-12-2022 12:39:02.814271,"(4.8, 6.2, 5.745454545454546)","(2.4, 3.75, 3.4269230769230767)","(17.0, 50.0, 25.6)","(2.6, 2.94, 2.7745454545454544)","(101.0, 650.0, 588.8888888888889)","(5.0, 7.2, 6.300000000000001)","(51.0, 390.0, 172.73684210526315)","(31.0, 110.0, 56.18181818181819)"
14-12-2022 12:39:03.887177,"(4.8, 6.2, 5.745454545454546)","(2.4, 3.75, 3.4269230769230767)","(17.0, 50.0, 25.6)","(2.6, 2.94, 2.7745454545454544)","(101.0, 650.0, 588.8888888888889)","(5.0, 7.2, 6.300000000000001)","(51.0, 390.0, 172.73684210526315)","(31.0, 110.0, 56.18181818181819)"
14-12-2022 12:39:04.952577,"(4.8, 6.2, 5.745454545454546)","(2.4, 3.75, 3.4269230769230767)","(17.0, 50.0, 25.6)","(2.6, 2.94, 2.7745454545454544)","(101.0, 650.0, 588.8888888888889)","(5.0, 7.2, 6.300000000000001)","(51.0, 390.0, 172.73684210526315)","(31.0, 110.0, 56.18181818181819)"
14-12-2022 12:39:06.072102,"(4.8, 6.2, 5.745454545454546)","(2.4, 3.75, 3.4269230769230767)","(17.0, 50.0, 25.6)","(2.6, 2.94, 2.7745454545454544)","(101.0, 650.0, 588.8888888888889)","(5.0, 7.2, 6.300000000000001)","(51.0, 390.0, 172.73684210526315)","(31.0, 110.0, 56.18181818181819)"
14-12-2022 12:39:07.466023,"(4.8, 6.2, 5.745454545454546)","(2.4, 3.75, 3.4269230769230767)","(17.0, 50.0, 25.6)","(2.6, 2.94, 2.7745454545454544)","(101.0, 650.0, 588.8888888888889)","(5.0, 7.2, 6.300000000000001)","(51.0, 390.0, 172.73684210526315)","(31.0, 110.0, 56.18181818181819)"
14-12-2022 12:39:08.565175,"(4.8, 6.2, 5.745454545454546)","(2.4, 3.75, 3.4269230769230767)","(17.0, 50.0, 25.6)","(2.6, 2.94, 2.7745454545454544)","(101.0, 650.0, 588.8888888888889)","(5.0, 7.2, 6.133333333333333)","(51.0, 390.0, 172.73684210526315)","(31.0, 110.0, 56.18181818181819)"
14-12-2022 12:39:09.608684,"(4.8, 6.2, 5.7625)","(2.4, 3.75, 3.3766666666666665)","(17.0, 50.0, 25.6)","(2.6, 2.94, 2.828)","(101.0, 650.0, 588.8888888888889)","(5.0, 7.2, 6.133333333333333)","(51.0, 390.0, 172.73684210526315)","(31.0, 110.0, 56.18181818181819)"
14-12-2022 12:39:10.716945,"(4.8, 6.2, 5.7625)","(2.4, 3.75, 3.3766666666666665)","(17.0, 50.0, 25.6)","(2.6, 2.94, 2.828)","(101.0, 650.0, 588.8888888888889)","(5.0, 7.2, 6.2)","(51.0, 390.0, 218.0)","(31.0, 110.0, 56.18181818181819)"
14-12-2022 12:39:11.857227,"(4.8, 6.2, 5.7625)","(2.4, 3.75, 3.3766666666666665)","(17.0, 55.0, 37.25)","(2.6, 2.94, 2.828)","(101.0, 650.0, 588.8888888888889)","(5.0, 7.2, 6.285714285714286)","(51.0, 390.0, 218.0)","(31.0, 110.0, 56.18181818181819)"
