,Sugar Time,Diamond Harmony,Homebush Harper,Young Romeo,Simon The Pieman,Alhambra,Rosehip,Verdun Bale
08-12-2022 14:44:27.646561,"(3.4, 5.1, 4.128571428571428)","(7.0, 16.0, 14.825)","(71.0, 430.0, 117.5)","(12.0, 29.0, 20.685714285714283)","(10.0, 24.0, 22.37777777777778)","(2.45, 4.0, 3.407058823529412)","(7.5, 14.5, 13.66842105263158)","(6.0, 21.0, 17.630434782608695)"
08-12-2022 14:44:28.954291,"(3.4, 5.1, 4.128571428571428)","(7.0, 16.0, 14.825)","(71.0, 430.0, 117.5)","(12.0, 29.0, 20.685714285714283)","(10.0, 24.0, 22.37777777777778)","(2.45, 4.0, 3.407058823529412)","(7.5, 14.5, 13.66842105263158)","(6.0, 21.0, 17.630434782608695)"
08-12-2022 14:44:30.174986,"(3.4, 5.1, 4.128571428571428)","(7.0, 16.0, 14.825)","(71.0, 430.0, 117.5)","(12.0, 29.0, 20.685714285714283)","(10.0, 24.0, 22.37777777777778)","(2.45, 4.0, 3.407058823529412)","(7.5, 14.5, 13.66842105263158)","(6.0, 21.0, 17.630434782608695)"
08-12-2022 14:44:31.350137,"(3.4, 5.1, 4.128571428571428)","(7.0, 16.0, 14.825)","(71.0, 430.0, 117.5)","(12.0, 29.0, 20.685714285714283)","(10.0, 24.0, 22.37777777777778)","(2.45, 4.0, 3.407058823529412)","(7.5, 14.5, 13.66842105263158)","(6.0, 21.0, 17.630434782608695)"
08-12-2022 14:44:32.561873,"(3.4, 5.1, 4.128571428571428)","(7.0, 16.0, 14.825)","(71.0, 430.0, 117.5)","(12.0, 29.0, 20.685714285714283)","(10.0, 24.0, 22.37777777777778)","(2.45, 4.0, 3.407058823529412)","(7.5, 14.5, 13.66842105263158)","(6.0, 21.0, 17.630434782608695)"
08-12-2022 14:44:33.716879,"(3.4, 5.1, 4.128571428571428)","(7.0, 16.0, 14.825)","(71.0, 430.0, 117.5)","(12.0, 29.0, 20.685714285714283)","(10.0, 24.0, 22.37777777777778)","(2.45, 4.0, 3.407058823529412)","(7.5, 14.5, 13.66842105263158)","(6.0, 21.0, 17.630434782608695)"
08-12-2022 14:44:34.869673,"(3.4, 5.1, 4.128571428571428)","(7.0, 16.0, 14.825)","(71.0, 430.0, 117.5)","(12.0, 29.0, 20.685714285714283)","(10.0, 24.0, 22.37777777777778)","(2.45, 4.0, 3.407058823529412)","(7.5, 14.5, 13.66842105263158)","(6.0, 21.0, 17.630434782608695)"
08-12-2022 14:44:36.019906,"(3.4, 5.1, 4.128571428571428)","(7.0, 16.0, 14.825)","(71.0, 430.0, 117.5)","(12.0, 29.0, 20.685714285714283)","(10.0, 24.0, 22.37777777777778)","(2.45, 4.0, 3.407058823529412)","(7.5, 14.5, 13.66842105263158)","(6.0, 21.0, 17.630434782608695)"
08-12-2022 14:44:37.225527,"(3.4, 5.1, 4.128571428571428)","(7.0, 16.0, 14.825)","(71.0, 430.0, 117.5)","(12.0, 29.0, 20.685714285714283)","(10.0, 24.0, 22.37777777777778)","(2.45, 4.0, 3.407058823529412)","(7.5, 14.5, 13.66842105263158)","(6.0, 21.0, 17.630434782608695)"
08-12-2022 14:44:38.584581,"(3.4, 5.1, 4.128571428571428)","(7.0, 16.0, 14.825)","(71.0, 430.0, 117.5)","(12.0, 29.0, 20.685714285714283)","(10.0, 24.0, 22.37777777777778)","(2.45, 4.0, 3.407058823529412)","(7.5, 14.5, 13.66842105263158)","(6.0, 21.0, 17.630434782608695)"
08-12-2022 14:44:39.862167,"(3.4, 5.1, 4.128571428571428)","(7.0, 16.0, 14.825)","(71.0, 430.0, 117.5)","(12.0, 29.0, 20.685714285714283)","(10.0, 24.0, 22.37777777777778)","(2.45, 4.0, 3.407058823529412)","(7.5, 14.5, 13.66842105263158)","(6.0, 21.0, 17.630434782608695)"
08-12-2022 14:44:41.101238,"(3.4, 5.1, 4.128571428571428)","(7.0, 16.0, 14.825)","(71.0, 430.0, 117.5)","(12.0, 29.0, 20.685714285714283)","(10.0, 24.0, 22.37777777777778)","(2.45, 4.0, 3.407058823529412)","(7.5, 14.5, 13.66842105263158)","(6.0, 21.0, 17.630434782608695)"
08-12-2022 14:44:42.293547,"(3.4, 5.1, 4.128571428571428)","(7.0, 16.0, 14.825)","(71.0, 430.0, 117.5)","(12.0, 29.0, 20.685714285714283)","(10.0, 24.0, 22.37777777777778)","(2.45, 4.0, 3.407058823529412)","(7.5, 14.5, 13.66842105263158)","(6.0, 21.0, 17.630434782608695)"
08-12-2022 14:44:43.434225,"(3.4, 5.1, 4.128571428571428)","(7.0, 16.0, 14.825)","(71.0, 430.0, 117.5)","(12.0, 29.0, 20.685714285714283)","(10.0, 24.0, 22.37777777777778)","(2.45, 4.0, 3.407058823529412)","(7.5, 14.5, 13.66842105263158)","(6.0, 21.0, 17.630434782608695)"
08-12-2022 14:44:44.540811,"(3.4, 5.1, 4.128571428571428)","(7.0, 16.0, 14.825)","(71.0, 430.0, 117.5)","(12.0, 29.0, 20.685714285714283)","(10.0, 24.0, 22.37777777777778)","(2.45, 4.0, 3.407058823529412)","(7.5, 14.5, 13.66842105263158)","(6.0, 21.0, 17.630434782608695)"
08-12-2022 14:44:45.635170,"(3.4, 5.1, 4.128571428571428)","(7.0, 16.0, 14.825)","(71.0, 430.0, 117.5)","(12.0, 29.0, 20.685714285714283)","(10.0, 24.0, 22.37777777777778)","(2.45, 4.0, 3.407058823529412)","(7.5, 14.5, 13.66842105263158)","(6.0, 21.0, 17.630434782608695)"
08-12-2022 14:44:46.618426,"(3.4, 5.1, 4.128571428571428)","(7.0, 16.0, 14.825)","(71.0, 430.0, 117.5)","(12.0, 29.0, 20.685714285714283)","(10.0, 24.0, 22.37777777777778)","(2.45, 4.0, 3.407058823529412)","(7.5, 14.5, 13.66842105263158)","(6.0, 21.0, 17.630434782608695)"
08-12-2022 14:44:47.690796,"(3.4, 5.1, 4.128571428571428)","(7.0, 16.0, 14.825)","(71.0, 430.0, 117.5)","(12.0, 29.0, 20.685714285714283)","(10.0, 24.0, 22.37777777777778)","(2.45, 4.0, 3.407058823529412)","(7.5, 14.5, 13.66842105263158)","(6.0, 21.0, 17.630434782608695)"
08-12-2022 14:44:48.708366,"(3.4, 5.1, 4.128571428571428)","(7.0, 16.0, 14.825)","(71.0, 430.0, 117.5)","(12.0, 29.0, 20.685714285714283)","(10.0, 24.0, 22.37777777777778)","(2.45, 4.0, 3.407058823529412)","(7.5, 14.5, 13.66842105263158)","(6.0, 21.0, 17.630434782608695)"
08-12-2022 14:44:49.821309,"(3.4, 5.1, 4.128571428571428)","(7.0, 16.0, 14.825)","(71.0, 430.0, 117.5)","(12.0, 29.0, 20.685714285714283)","(10.0, 24.0, 22.37777777777778)","(2.45, 4.0, 3.407058823529412)","(7.5, 14.5, 13.66842105263158)","(6.0, 21.0, 17.630434782608695)"
08-12-2022 14:44:51.028626,"(3.4, 5.1, 4.128571428571428)","(7.0, 16.0, 14.825)","(71.0, 430.0, 117.5)","(12.0, 29.0, 20.685714285714283)","(10.0, 24.0, 22.37777777777778)","(2.45, 4.0, 3.407058823529412)","(7.5, 14.5, 13.66842105263158)","(6.0, 21.0, 17.630434782608695)"
08-12-2022 14:44:52.140987,"(3.4, 5.1, 4.128571428571428)","(7.0, 16.0, 14.825)","(71.0, 430.0, 117.5)","(12.0, 29.0, 20.685714285714283)","(10.0, 24.0, 22.37777777777778)","(2.45, 4.0, 3.407058823529412)","(7.5, 14.5, 13.66842105263158)","(6.0, 21.0, 17.630434782608695)"
08-12-2022 14:44:53.316112,"(3.4, 5.1, 4.128571428571428)","(7.0, 16.0, 14.825)","(71.0, 430.0, 117.5)","(12.0, 29.0, 20.685714285714283)","(10.0, 24.0, 22.37777777777778)","(2.45, 4.0, 3.407058823529412)","(7.5, 14.5, 13.66842105263158)","(6.0, 21.0, 17.630434782608695)"
08-12-2022 14:44:54.523683,"(3.4, 5.1, 4.128571428571428)","(7.0, 16.0, 14.825)","(71.0, 430.0, 117.5)","(12.0, 29.0, 20.685714285714283)","(10.0, 24.0, 22.37777777777778)","(2.45, 4.0, 3.407058823529412)","(7.5, 14.5, 13.66842105263158)","(6.0, 21.0, 17.630434782608695)"
08-12-2022 14:44:55.685652,"(3.4, 5.1, 4.128571428571428)","(7.0, 16.0, 14.825)","(71.0, 430.0, 117.5)","(12.0, 29.0, 20.685714285714283)","(10.0, 24.0, 22.37777777777778)","(2.45, 4.0, 3.407058823529412)","(7.5, 14.5, 13.66842105263158)","(6.0, 21.0, 17.652173913043477)"
08-12-2022 14:44:56.794103,"(3.4, 5.1, 4.128571428571428)","(7.0, 16.0, 14.825)","(71.0, 430.0, 240.0)","(12.0, 29.0, 20.685714285714283)","(10.0, 24.0, 22.37777777777778)","(2.45, 4.0, 3.407058823529412)","(7.5, 14.5, 13.66842105263158)","(6.0, 21.0, 17.652173913043477)"
08-12-2022 14:44:57.876849,"(3.4, 5.1, 4.128571428571428)","(7.0, 16.0, 14.825)","(71.0, 430.0, 240.0)","(12.0, 29.0, 20.685714285714283)","(10.0, 24.0, 22.37777777777778)","(2.45, 4.0, 3.407058823529412)","(7.5, 14.5, 13.552631578947368)","(6.0, 21.0, 17.652173913043477)"
08-12-2022 14:44:58.944404,"(3.4, 5.1, 4.128571428571428)","(7.0, 16.0, 14.825)","(71.0, 430.0, 117.5)","(12.0, 29.0, 20.685714285714283)","(10.0, 24.0, 22.37777777777778)","(2.45, 4.0, 3.407058823529412)","(7.5, 14.5, 13.419999999999998)","(6.0, 21.0, 17.652173913043477)"
08-12-2022 14:44:59.992173,"(3.4, 5.1, 4.128571428571428)","(7.0, 16.0, 14.825)","(71.0, 430.0, 117.5)","(12.0, 29.0, 20.685714285714283)","(10.0, 24.0, 22.37777777777778)","(2.45, 4.0, 3.407058823529412)","(7.5, 14.5, 13.419999999999998)","(6.0, 21.0, 17.652173913043477)"
08-12-2022 14:45:01.027969,"(3.4, 5.1, 4.128571428571428)","(7.0, 16.0, 14.825)","(71.0, 430.0, 117.5)","(12.0, 29.0, 20.685714285714283)","(10.0, 24.0, 22.37777777777778)","(2.45, 4.0, 3.407058823529412)","(7.5, 14.5, 13.419999999999998)","(6.0, 21.0, 17.652173913043477)"
08-12-2022 14:45:02.117115,"(3.4, 5.1, 4.128571428571428)","(7.0, 16.0, 14.825)","(71.0, 430.0, 117.5)","(12.0, 29.0, 20.685714285714283)","(10.0, 24.0, 22.37777777777778)","(2.45, 4.0, 3.407058823529412)","(7.5, 14.5, 13.419999999999998)","(6.0, 21.0, 17.652173913043477)"
08-12-2022 14:45:03.260999,"(3.4, 5.1, 4.128571428571428)","(7.0, 16.0, 14.825)","(71.0, 430.0, 117.5)","(12.0, 29.0, 20.685714285714283)","(10.0, 24.0, 22.37777777777778)","(2.45, 4.0, 3.407058823529412)","(7.5, 14.5, 13.419999999999998)","(6.0, 21.0, 17.652173913043477)"
08-12-2022 14:45:04.340288,"(3.4, 5.1, 4.128571428571428)","(7.0, 16.0, 14.825)","(71.0, 430.0, 117.5)","(12.0, 29.0, 20.685714285714283)","(10.0, 24.0, 22.37777777777778)","(2.45, 4.0, 3.407058823529412)","(7.5, 14.5, 13.419999999999998)","(6.0, 21.0, 17.652173913043477)"
08-12-2022 14:45:05.470020,"(3.4, 5.1, 4.128571428571428)","(7.0, 16.0, 14.825)","(71.0, 430.0, 117.5)","(12.0, 29.0, 20.685714285714283)","(10.0, 24.0, 22.37777777777778)","(2.45, 4.0, 3.407058823529412)","(7.5, 14.5, 13.419999999999998)","(6.0, 21.0, 17.652173913043477)"
08-12-2022 14:45:06.634187,"(3.4, 5.1, 4.128571428571428)","(7.0, 16.0, 14.825)","(71.0, 430.0, 117.5)","(12.0, 29.0, 20.685714285714283)","(10.0, 24.0, 22.37777777777778)","(2.45, 4.0, 3.407058823529412)","(7.5, 14.5, 13.419999999999998)","(6.0, 21.0, 17.652173913043477)"
08-12-2022 14:45:07.739813,"(3.4, 5.1, 4.128571428571428)","(7.0, 16.0, 14.72)","(71.0, 430.0, 117.5)","(12.0, 29.0, 20.685714285714283)","(10.0, 24.0, 22.37777777777778)","(2.45, 4.0, 3.407058823529412)","(7.5, 14.5, 13.419999999999998)","(6.0, 21.0, 17.652173913043477)"
08-12-2022 14:45:08.841886,"(3.4, 5.1, 4.128571428571428)","(7.0, 16.0, 14.72)","(71.0, 430.0, 117.5)","(12.0, 29.0, 20.685714285714283)","(10.0, 24.0, 22.37777777777778)","(2.45, 4.0, 3.407058823529412)","(7.5, 14.5, 13.419999999999998)","(6.0, 21.0, 17.652173913043477)"
08-12-2022 14:45:09.859583,"(3.4, 5.1, 4.128571428571428)","(7.0, 16.0, 14.72)","(71.0, 430.0, 117.5)","(12.0, 29.0, 20.685714285714283)","(10.0, 24.0, 22.37777777777778)","(2.45, 4.0, 3.407058823529412)","(7.5, 14.5, 13.419999999999998)","(6.0, 21.0, 17.652173913043477)"
08-12-2022 14:45:10.986740,"(3.4, 5.1, 4.128571428571428)","(7.0, 16.0, 14.72)","(71.0, 430.0, 117.5)","(12.0, 29.0, 20.685714285714283)","(10.0, 24.0, 22.37777777777778)","(2.45, 4.0, 3.407058823529412)","(7.5, 14.5, 13.419999999999998)","(6.0, 21.0, 17.652173913043477)"
08-12-2022 14:45:12.029469,"(3.4, 5.1, 4.128571428571428)","(7.0, 16.0, 14.72)","(71.0, 430.0, 117.5)","(12.0, 29.0, 20.685714285714283)","(10.0, 24.0, 22.37777777777778)","(2.45, 4.0, 3.407058823529412)","(7.5, 14.5, 13.419999999999998)","(6.0, 21.0, 17.652173913043477)"
08-12-2022 14:45:13.237314,"(3.4, 5.1, 4.128571428571428)","(7.0, 16.0, 14.72)","(71.0, 430.0, 117.5)","(12.0, 29.0, 20.685714285714283)","(10.0, 24.0, 22.37777777777778)","(2.45, 4.0, 3.407058823529412)","(7.5, 14.5, 13.419999999999998)","(6.0, 21.0, 17.652173913043477)"
08-12-2022 14:45:14.547285,"(3.4, 5.1, 4.128571428571428)","(7.0, 16.0, 14.72)","(71.0, 430.0, 117.5)","(12.0, 29.0, 20.685714285714283)","(10.0, 24.0, 22.37777777777778)","(2.45, 4.0, 3.407058823529412)","(7.5, 14.5, 13.419999999999998)","(6.0, 21.0, 17.652173913043477)"
08-12-2022 14:45:15.708468,"(3.4, 5.1, 4.128571428571428)","(7.0, 16.0, 14.72)","(71.0, 430.0, 117.5)","(12.0, 29.0, 20.685714285714283)","(10.0, 24.0, 22.37777777777778)","(2.45, 4.0, 3.407058823529412)","(7.5, 14.5, 13.419999999999998)","(6.0, 21.0, 17.652173913043477)"
08-12-2022 14:45:16.879854,"(3.4, 5.1, 4.128571428571428)","(7.0, 16.0, 14.72)","(71.0, 430.0, 117.5)","(12.0, 29.0, 20.685714285714283)","(10.0, 24.0, 22.37777777777778)","(2.45, 4.0, 3.407058823529412)","(7.5, 14.5, 13.419999999999998)","(6.0, 21.0, 17.67391304347826)"
08-12-2022 14:45:18.014234,"(3.4, 5.1, 4.128571428571428)","(7.0, 16.0, 14.72)","(71.0, 430.0, 117.5)","(12.0, 29.0, 20.685714285714283)","(10.0, 24.0, 22.37777777777778)","(2.45, 4.0, 3.407058823529412)","(7.5, 14.5, 13.419999999999998)","(6.0, 21.0, 17.695652173913043)"
08-12-2022 14:45:19.124039,"(3.4, 5.1, 4.128571428571428)","(7.0, 16.0, 14.72)","(71.0, 430.0, 117.5)","(12.0, 29.0, 20.685714285714283)","(10.0, 24.0, 22.37777777777778)","(2.45, 4.0, 3.407058823529412)","(7.5, 14.5, 13.183333333333334)","(6.0, 21.0, 17.695652173913043)"
08-12-2022 14:45:20.247348,"(3.4, 5.1, 4.128571428571428)","(7.0, 16.0, 14.72)","(71.0, 430.0, 117.5)","(12.0, 29.0, 24.56923076923077)","(10.0, 24.0, 22.37777777777778)","(2.45, 4.0, 3.407058823529412)","(7.5, 14.5, 13.183333333333334)","(6.0, 21.0, 17.695652173913043)"
08-12-2022 14:45:21.559445,"(3.4, 5.1, 4.128571428571428)","(7.0, 16.0, 14.72)","(71.0, 430.0, 240.0)","(12.0, 29.0, 24.56923076923077)","(10.0, 24.0, 22.37777777777778)","(2.45, 4.0, 3.407058823529412)","(7.5, 14.5, 13.183333333333334)","(6.0, 21.0, 17.695652173913043)"
08-12-2022 14:45:22.673739,"(3.4, 5.1, 4.128571428571428)","(7.0, 16.0, 14.72)","(71.0, 430.0, 240.0)","(12.0, 29.0, 24.56923076923077)","(10.0, 24.0, 22.37777777777778)","(2.45, 4.0, 3.407058823529412)","(7.5, 14.5, 13.183333333333334)","(6.0, 21.0, 17.695652173913043)"
08-12-2022 14:45:23.770597,"(3.4, 5.1, 4.128571428571428)","(7.0, 16.0, 14.72)","(71.0, 430.0, 240.0)","(12.0, 29.0, 24.56923076923077)","(10.0, 24.0, 22.37777777777778)","(2.45, 4.0, 3.407058823529412)","(7.5, 14.5, 13.183333333333334)","(6.0, 21.0, 17.695652173913043)"
08-12-2022 14:45:24.899196,"(3.4, 5.1, 4.128571428571428)","(7.0, 16.0, 14.72)","(71.0, 430.0, 117.5)","(12.0, 29.0, 24.56923076923077)","(10.0, 24.0, 22.37777777777778)","(2.45, 4.0, 3.407058823529412)","(7.5, 14.5, 13.183333333333334)","(6.0, 21.0, 17.695652173913043)"
08-12-2022 14:45:25.964234,"(3.4, 5.1, 4.128571428571428)","(7.0, 16.0, 14.72)","(71.0, 430.0, 117.5)","(12.0, 29.0, 24.56923076923077)","(10.0, 24.0, 22.37777777777778)","(2.45, 4.0, 3.407058823529412)","(7.5, 14.5, 13.183333333333334)","(6.0, 21.0, 17.695652173913043)"
08-12-2022 14:45:27.074503,"(3.4, 5.1, 4.128571428571428)","(7.0, 16.0, 14.72)","(71.0, 430.0, 117.5)","(12.0, 29.0, 24.56923076923077)","(10.0, 24.0, 22.37777777777778)","(2.45, 4.0, 3.407058823529412)","(7.5, 14.5, 13.183333333333334)","(6.0, 21.0, 17.695652173913043)"
08-12-2022 14:45:28.281315,"(3.4, 5.1, 4.128571428571428)","(7.0, 16.0, 14.72)","(71.0, 430.0, 117.5)","(12.0, 29.0, 24.56923076923077)","(10.0, 24.0, 22.37777777777778)","(2.45, 4.0, 3.407058823529412)","(7.5, 14.5, 13.183333333333334)","(6.0, 21.0, 17.695652173913043)"
08-12-2022 14:45:29.551264,"(3.4, 5.1, 4.128571428571428)","(7.0, 16.0, 14.72)","(71.0, 430.0, 117.5)","(12.0, 29.0, 24.56923076923077)","(10.0, 24.0, 22.37777777777778)","(2.45, 4.0, 3.407058823529412)","(7.5, 14.5, 13.183333333333334)","(6.0, 21.0, 17.695652173913043)"
08-12-2022 14:45:30.664262,"(3.4, 5.1, 4.128571428571428)","(7.0, 16.0, 14.72)","(71.0, 430.0, 117.5)","(12.0, 29.0, 24.56923076923077)","(10.0, 24.0, 22.37777777777778)","(2.45, 4.0, 3.407058823529412)","(7.5, 14.5, 13.183333333333334)","(6.0, 21.0, 17.695652173913043)"
08-12-2022 14:45:31.772571,"(3.4, 5.1, 4.128571428571428)","(7.0, 16.0, 14.72)","(71.0, 430.0, 117.5)","(12.0, 29.0, 24.56923076923077)","(10.0, 24.0, 22.37777777777778)","(2.45, 4.0, 3.407058823529412)","(7.5, 14.5, 13.183333333333334)","(6.0, 21.0, 17.695652173913043)"
08-12-2022 14:45:32.889559,"(3.4, 5.1, 4.128571428571428)","(7.0, 16.0, 14.72)","(71.0, 430.0, 117.5)","(12.0, 29.0, 24.56923076923077)","(10.0, 24.0, 22.37777777777778)","(2.45, 4.0, 3.407058823529412)","(7.5, 14.5, 13.183333333333334)","(6.0, 21.0, 17.695652173913043)"
08-12-2022 14:45:34.050592,"(3.4, 5.1, 4.128571428571428)","(7.0, 16.0, 14.72)","(71.0, 430.0, 117.5)","(12.0, 29.0, 24.56923076923077)","(10.0, 24.0, 22.37777777777778)","(2.45, 4.0, 3.407058823529412)","(7.5, 14.5, 13.183333333333334)","(6.0, 21.0, 17.695652173913043)"
08-12-2022 14:45:35.143228,"(3.4, 5.1, 4.128571428571428)","(7.0, 16.0, 14.72)","(71.0, 430.0, 117.5)","(12.0, 29.0, 24.56923076923077)","(10.0, 24.0, 22.37777777777778)","(2.45, 4.0, 3.407058823529412)","(7.5, 14.5, 13.183333333333334)","(6.0, 21.0, 17.695652173913043)"
08-12-2022 14:45:36.236354,"(3.4, 5.1, 4.128571428571428)","(7.0, 16.0, 14.72)","(71.0, 430.0, 117.5)","(12.0, 29.0, 24.56923076923077)","(10.0, 24.0, 22.37777777777778)","(2.45, 4.0, 3.407058823529412)","(7.5, 14.5, 13.183333333333334)","(6.0, 21.0, 15.181818181818183)"
08-12-2022 14:45:37.351560,"(3.4, 5.1, 4.128571428571428)","(7.0, 16.0, 14.72)","(71.0, 430.0, 117.5)","(12.0, 29.0, 24.56923076923077)","(10.0, 24.0, 22.37777777777778)","(2.45, 4.0, 3.407058823529412)","(7.5, 14.5, 13.183333333333334)","(6.0, 23.0, 15.181818181818183)"
08-12-2022 14:45:38.521578,"(3.4, 5.1, 4.128571428571428)","(7.0, 16.0, 14.72)","(71.0, 430.0, 117.5)","(12.0, 29.0, 24.56923076923077)","(10.0, 24.0, 22.37777777777778)","(2.45, 4.0, 3.407058823529412)","(7.5, 14.5, 13.183333333333334)","(6.0, 23.0, 15.181818181818183)"
08-12-2022 14:45:39.658107,"(3.4, 5.1, 4.128571428571428)","(7.0, 16.0, 14.72)","(71.0, 430.0, 117.5)","(12.0, 29.0, 24.56923076923077)","(10.0, 24.0, 22.37777777777778)","(2.45, 4.0, 3.407058823529412)","(7.5, 14.5, 13.183333333333334)","(6.0, 23.0, 15.181818181818183)"
08-12-2022 14:45:40.776659,"(3.4, 5.1, 4.128571428571428)","(7.0, 16.0, 14.72)","(71.0, 430.0, 117.5)","(12.0, 29.0, 24.56923076923077)","(10.0, 24.0, 22.37777777777778)","(2.45, 4.0, 3.407058823529412)","(7.5, 14.5, 13.183333333333334)","(6.0, 23.0, 15.474999999999998)"
08-12-2022 14:45:41.941420,"(3.4, 5.1, 4.128571428571428)","(7.0, 16.0, 14.72)","(71.0, 430.0, 117.5)","(12.0, 29.0, 24.56923076923077)","(10.0, 24.0, 22.37777777777778)","(2.45, 4.0, 3.407058823529412)","(7.5, 14.5, 13.183333333333334)","(6.0, 23.0, 15.474999999999998)"
08-12-2022 14:45:43.015054,"(3.4, 5.1, 4.128571428571428)","(7.0, 16.0, 14.72)","(71.0, 430.0, 117.5)","(12.0, 29.0, 24.56923076923077)","(10.0, 24.0, 22.37777777777778)","(2.45, 4.0, 3.407058823529412)","(7.5, 14.5, 13.183333333333334)","(6.0, 23.0, 15.474999999999998)"
08-12-2022 14:45:44.164782,"(3.4, 5.1, 4.128571428571428)","(7.0, 16.0, 14.72)","(71.0, 430.0, 117.5)","(12.0, 29.0, 24.56923076923077)","(10.0, 24.0, 22.37777777777778)","(2.45, 4.0, 3.407058823529412)","(7.5, 14.5, 13.183333333333334)","(6.0, 23.0, 15.474999999999998)"
08-12-2022 14:45:45.285156,"(3.4, 5.1, 4.128571428571428)","(7.0, 16.0, 14.72)","(71.0, 430.0, 117.5)","(12.0, 29.0, 24.56923076923077)","(10.0, 24.0, 22.37777777777778)","(2.45, 4.0, 3.407058823529412)","(7.5, 14.5, 13.183333333333334)","(6.0, 23.0, 15.474999999999998)"
08-12-2022 14:45:46.690545,"(3.4, 5.1, 4.128571428571428)","(7.0, 16.0, 14.72)","(71.0, 430.0, 117.5)","(12.0, 29.0, 24.56923076923077)","(10.0, 24.0, 22.37777777777778)","(2.45, 4.0, 3.407058823529412)","(7.5, 14.5, 13.183333333333334)","(6.0, 23.0, 15.474999999999998)"
08-12-2022 14:45:48.066265,"(3.4, 5.1, 4.128571428571428)","(7.0, 16.0, 14.72)","(71.0, 430.0, 117.5)","(12.0, 29.0, 24.56923076923077)","(10.0, 24.0, 22.37777777777778)","(2.45, 4.0, 3.407058823529412)","(7.5, 14.5, 13.183333333333334)","(6.0, 23.0, 15.474999999999998)"
