,Tolkowsky,Storm Attack,Drop The Pilot,Giveitallali,Heleva Deel,Harmony Nation,Lexis Choice,Kings Row,Inside Information,The Angels Kiss
05-01-2023 14:39:26.226464,"(1.9, 2.02, 1.980752688172043)","(10.0, 18.0, 15.09090909090909)","(15.0, 25.0, 22.2)","(11.0, 18.5, 17.1)","(3.3, 4.0, 3.96)","(51.0, 180.0, 158.0)","(11.0, 25.0, 24.066666666666666)","(21.0, 46.0, 38.0)","(26.0, 130.0, 59.5)","(71.0, 220.0, 150.0)"
05-01-2023 14:39:27.511776,"(1.9, 2.02, 1.980752688172043)","(10.0, 18.0, 14.857142857142858)","(15.0, 25.0, 22.2)","(11.0, 18.5, 17.1)","(3.3, 4.0, 3.96)","(51.0, 180.0, 158.0)","(11.0, 25.0, 24.066666666666666)","(21.0, 46.0, 38.0)","(26.0, 130.0, 59.5)","(71.0, 220.0, 150.0)"
05-01-2023 14:39:28.758216,"(1.9, 2.02, 1.980752688172043)","(10.0, 18.0, 14.857142857142858)","(15.0, 25.0, 22.2)","(11.0, 18.5, 17.1)","(3.3, 4.0, 3.96)","(51.0, 180.0, 158.0)","(11.0, 25.0, 24.066666666666666)","(21.0, 46.0, 38.0)","(26.0, 130.0, 59.5)","(71.0, 220.0, 150.0)"
05-01-2023 14:39:30.032781,"(1.9, 2.02, 1.980752688172043)","(10.0, 18.0, 14.857142857142858)","(15.0, 25.0, 22.2)","(11.0, 18.5, 17.1)","(3.3, 4.0, 3.96)","(51.0, 180.0, 158.0)","(11.0, 25.0, 24.066666666666666)","(21.0, 46.0, 38.0)","(26.0, 130.0, 59.5)","(71.0, 220.0, 150.0)"
05-01-2023 14:39:31.311804,"(1.9, 2.02, 1.980752688172043)","(10.0, 18.0, 14.857142857142858)","(15.0, 30.0, 19.714285714285715)","(11.0, 18.5, 17.1)","(3.3, 4.0, 3.96)","(51.0, 180.0, 158.0)","(11.0, 25.0, 24.066666666666666)","(21.0, 46.0, 38.0)","(26.0, 130.0, 59.5)","(71.0, 220.0, 150.0)"
05-01-2023 14:39:32.579298,"(1.9, 2.02, 1.980752688172043)","(10.0, 18.0, 14.857142857142858)","(15.0, 30.0, 19.714285714285715)","(11.0, 18.5, 17.1)","(3.3, 4.0, 3.96)","(51.0, 180.0, 158.0)","(11.0, 25.0, 24.066666666666666)","(21.0, 46.0, 38.0)","(26.0, 130.0, 59.5)","(71.0, 220.0, 150.0)"
05-01-2023 14:39:33.826455,"(1.9, 2.02, 1.9805405405405405)","(10.0, 18.0, 14.857142857142858)","(15.0, 30.0, 19.714285714285715)","(11.0, 18.5, 17.1)","(3.3, 4.0, 3.96)","(51.0, 180.0, 158.0)","(11.0, 25.0, 24.066666666666666)","(21.0, 46.0, 38.0)","(26.0, 130.0, 59.5)","(71.0, 220.0, 150.0)"
05-01-2023 14:39:35.002255,"(1.9, 2.02, 1.9805405405405405)","(10.0, 18.0, 14.857142857142858)","(15.0, 30.0, 19.714285714285715)","(11.0, 18.5, 17.1)","(3.3, 4.0, 3.96)","(51.0, 180.0, 158.0)","(11.0, 25.0, 24.066666666666666)","(21.0, 46.0, 38.0)","(26.0, 130.0, 59.5)","(71.0, 220.0, 150.0)"
05-01-2023 14:39:36.235547,"(1.9, 2.02, 1.9805405405405405)","(10.0, 18.0, 14.857142857142858)","(15.0, 30.0, 19.714285714285715)","(11.0, 18.5, 17.1)","(3.3, 4.0, 3.96)","(51.0, 180.0, 158.0)","(11.0, 25.0, 24.066666666666666)","(21.0, 46.0, 38.0)","(26.0, 130.0, 59.5)","(71.0, 220.0, 150.0)"
05-01-2023 14:39:37.464831,"(1.9, 2.02, 1.9805405405405405)","(10.0, 18.0, 14.857142857142858)","(15.0, 30.0, 19.714285714285715)","(11.0, 18.5, 17.1)","(3.3, 4.0, 3.96)","(51.0, 180.0, 138.57142857142856)","(11.0, 25.0, 24.066666666666666)","(21.0, 46.0, 38.0)","(26.0, 130.0, 59.5)","(71.0, 220.0, 150.0)"
05-01-2023 14:39:38.762458,"(1.9, 2.02, 1.9805405405405405)","(10.0, 18.0, 14.857142857142858)","(15.0, 30.0, 19.714285714285715)","(11.0, 18.5, 17.1)","(3.3, 4.0, 3.96)","(51.0, 190.0, 138.57142857142856)","(11.0, 25.0, 24.066666666666666)","(21.0, 46.0, 38.0)","(26.0, 130.0, 59.5)","(71.0, 220.0, 150.0)"
05-01-2023 14:39:40.025291,"(1.9, 2.02, 1.9805405405405405)","(10.0, 18.0, 14.923076923076923)","(15.0, 29.0, 24.6)","(11.0, 18.5, 17.1)","(3.3, 4.0, 3.96)","(51.0, 190.0, 138.57142857142856)","(11.0, 25.0, 24.066666666666666)","(21.0, 46.0, 38.0)","(26.0, 130.0, 59.5)","(71.0, 220.0, 150.0)"
05-01-2023 14:39:41.337971,"(1.9, 2.02, 1.9805405405405405)","(10.0, 18.0, 14.923076923076923)","(15.0, 29.0, 24.6)","(11.0, 18.5, 17.1)","(3.3, 4.0, 3.96)","(51.0, 190.0, 138.57142857142856)","(11.0, 25.0, 24.066666666666666)","(21.0, 46.0, 38.0)","(26.0, 130.0, 59.5)","(71.0, 220.0, 150.0)"
05-01-2023 14:39:42.624160,"(1.9, 2.02, 1.9805405405405405)","(10.0, 18.0, 14.923076923076923)","(15.0, 29.0, 24.6)","(11.0, 18.5, 17.1)","(3.3, 4.0, 3.96)","(51.0, 190.0, 138.57142857142856)","(11.0, 25.0, 24.066666666666666)","(21.0, 46.0, 38.0)","(26.0, 130.0, 59.5)","(71.0, 220.0, 150.0)"
05-01-2023 14:39:43.882130,"(1.9, 2.02, 1.9805405405405405)","(10.0, 18.0, 14.923076923076923)","(15.0, 29.0, 24.6)","(11.0, 18.5, 17.1)","(3.3, 4.0, 3.96)","(51.0, 190.0, 138.57142857142856)","(11.0, 25.0, 24.066666666666666)","(21.0, 46.0, 38.0)","(26.0, 130.0, 59.5)","(71.0, 220.0, 150.0)"
05-01-2023 14:39:45.218796,"(1.9, 2.02, 1.9805405405405405)","(10.0, 18.0, 14.923076923076923)","(15.0, 29.0, 24.6)","(11.0, 18.5, 17.1)","(3.3, 4.0, 3.96)","(51.0, 190.0, 138.57142857142856)","(11.0, 25.0, 24.066666666666666)","(21.0, 46.0, 38.0)","(26.0, 130.0, 59.5)","(71.0, 220.0, 150.0)"
05-01-2023 14:39:46.490265,"(1.9, 2.02, 1.9805405405405405)","(10.0, 18.0, 14.923076923076923)","(15.0, 29.0, 24.6)","(11.0, 18.5, 17.1)","(3.3, 4.0, 3.96)","(51.0, 190.0, 138.57142857142856)","(11.0, 25.0, 24.066666666666666)","(21.0, 46.0, 38.0)","(26.0, 130.0, 59.5)","(71.0, 220.0, 150.0)"
05-01-2023 14:39:47.788377,"(1.9, 2.02, 1.9805405405405405)","(10.0, 18.0, 14.923076923076923)","(15.0, 29.0, 24.6)","(11.0, 18.5, 17.1)","(3.3, 4.0, 3.96)","(51.0, 190.0, 138.57142857142856)","(11.0, 25.0, 24.066666666666666)","(21.0, 46.0, 38.0)","(26.0, 130.0, 59.5)","(71.0, 220.0, 150.0)"
05-01-2023 14:39:49.064433,"(1.9, 2.02, 1.9805405405405405)","(10.0, 18.0, 14.923076923076923)","(15.0, 29.0, 24.6)","(11.0, 18.5, 17.1)","(3.3, 4.0, 3.96)","(51.0, 190.0, 138.57142857142856)","(11.0, 25.0, 24.066666666666666)","(21.0, 46.0, 38.0)","(26.0, 130.0, 59.5)","(71.0, 220.0, 150.0)"
05-01-2023 14:39:50.326583,"(1.9, 2.02, 1.9805405405405405)","(10.0, 18.0, 14.923076923076923)","(15.0, 29.0, 24.6)","(11.0, 18.5, 17.1)","(3.3, 4.0, 3.96)","(51.0, 190.0, 138.57142857142856)","(11.0, 25.0, 24.066666666666666)","(21.0, 46.0, 38.0)","(26.0, 130.0, 59.5)","(71.0, 220.0, 150.0)"
05-01-2023 14:39:51.601668,"(1.9, 2.02, 1.9805405405405405)","(10.0, 18.0, 14.923076923076923)","(15.0, 29.0, 24.6)","(11.0, 18.5, 17.1)","(3.3, 4.0, 3.96)","(51.0, 190.0, 138.57142857142856)","(11.0, 25.0, 24.066666666666666)","(21.0, 46.0, 38.0)","(26.0, 130.0, 59.5)","(71.0, 220.0, 150.0)"
05-01-2023 14:39:52.970299,"(1.9, 2.02, 1.9805405405405405)","(10.0, 18.0, 14.923076923076923)","(15.0, 29.0, 24.6)","(11.0, 18.5, 17.1)","(3.3, 4.0, 3.96)","(51.0, 190.0, 138.57142857142856)","(11.0, 25.0, 24.066666666666666)","(21.0, 46.0, 38.0)","(26.0, 130.0, 59.5)","(71.0, 220.0, 150.0)"
05-01-2023 14:39:54.357178,"(1.9, 2.02, 1.9805405405405405)","(10.0, 18.0, 14.923076923076923)","(15.0, 29.0, 24.6)","(11.0, 18.5, 17.1)","(3.3, 4.0, 3.96)","(51.0, 190.0, 138.57142857142856)","(11.0, 25.0, 24.066666666666666)","(21.0, 46.0, 38.0)","(26.0, 130.0, 59.5)","(71.0, 220.0, 150.0)"
05-01-2023 14:39:55.656555,"(1.9, 2.02, 1.9805405405405405)","(10.0, 18.0, 14.923076923076923)","(15.0, 29.0, 24.6)","(11.0, 18.5, 17.1)","(3.3, 4.0, 3.96)","(51.0, 190.0, 130.0)","(11.0, 25.0, 22.4)","(21.0, 46.0, 38.0)","(26.0, 130.0, 59.5)","(71.0, 220.0, 150.0)"
05-01-2023 14:39:56.898031,"(1.9, 2.02, 1.9805405405405405)","(10.0, 18.0, 14.923076923076923)","(15.0, 29.0, 24.6)","(11.0, 18.5, 17.1)","(3.3, 4.0, 3.96)","(51.0, 190.0, 130.0)","(11.0, 25.0, 22.4)","(21.0, 46.0, 38.0)","(26.0, 130.0, 59.5)","(71.0, 220.0, 150.0)"
05-01-2023 14:39:58.097003,"(1.9, 2.02, 1.9805405405405405)","(10.0, 18.0, 14.923076923076923)","(15.0, 29.0, 24.6)","(11.0, 18.5, 17.1)","(3.3, 4.0, 3.96)","(51.0, 190.0, 130.0)","(11.0, 25.0, 22.4)","(21.0, 46.0, 38.0)","(26.0, 130.0, 59.5)","(71.0, 220.0, 150.0)"
05-01-2023 14:39:59.342131,"(1.9, 2.02, 1.9805405405405405)","(10.0, 18.0, 14.923076923076923)","(15.0, 29.0, 24.6)","(11.0, 18.5, 17.1)","(3.3, 4.0, 3.96)","(51.0, 190.0, 130.0)","(11.0, 25.0, 22.4)","(21.0, 46.0, 38.0)","(26.0, 130.0, 59.5)","(71.0, 220.0, 150.0)"
05-01-2023 14:40:00.696538,"(1.9, 2.02, 1.9805405405405405)","(10.0, 18.0, 14.923076923076923)","(15.0, 29.0, 24.6)","(11.0, 18.5, 17.1)","(3.3, 4.0, 3.96)","(51.0, 190.0, 130.0)","(11.0, 25.0, 22.4)","(21.0, 46.0, 38.0)","(26.0, 130.0, 59.5)","(71.0, 220.0, 150.0)"
05-01-2023 14:40:02.070513,"(1.9, 2.02, 1.9805405405405405)","(10.0, 18.0, 14.923076923076923)","(15.0, 29.0, 24.6)","(11.0, 18.5, 17.1)","(3.3, 4.0, 3.96)","(51.0, 190.0, 130.0)","(11.0, 25.0, 22.4)","(21.0, 46.0, 38.0)","(26.0, 130.0, 59.5)","(71.0, 220.0, 150.0)"
05-01-2023 14:40:03.398865,"(1.9, 2.02, 1.9805405405405405)","(10.0, 18.0, 14.923076923076923)","(15.0, 29.0, 24.6)","(11.0, 18.5, 17.1)","(3.3, 4.0, 3.96)","(51.0, 190.0, 130.0)","(11.0, 25.0, 22.4)","(21.0, 46.0, 38.0)","(26.0, 130.0, 59.5)","(71.0, 220.0, 150.0)"
05-01-2023 14:40:04.674853,"(1.9, 2.02, 1.9805405405405405)","(10.0, 18.0, 14.923076923076923)","(15.0, 29.0, 24.6)","(11.0, 18.5, 17.1)","(3.3, 4.0, 3.96)","(51.0, 190.0, 130.0)","(11.0, 25.0, 22.4)","(21.0, 46.0, 38.0)","(26.0, 130.0, 59.5)","(71.0, 220.0, 150.0)"
05-01-2023 14:40:05.939371,"(1.9, 2.02, 1.9805405405405405)","(10.0, 18.0, 14.923076923076923)","(15.0, 29.0, 24.6)","(11.0, 18.5, 17.1)","(3.3, 4.0, 3.981818181818182)","(51.0, 190.0, 100.0)","(11.0, 25.0, 24.133333333333333)","(21.0, 46.0, 38.0)","(26.0, 130.0, 59.5)","(71.0, 220.0, 150.0)"
05-01-2023 14:40:07.198618,"(1.9, 2.02, 1.9805405405405405)","(10.0, 18.0, 14.923076923076923)","(15.0, 29.0, 24.6)","(11.0, 18.5, 17.1)","(3.3, 4.0, 3.981818181818182)","(51.0, 190.0, 100.0)","(11.0, 25.0, 24.133333333333333)","(21.0, 46.0, 38.0)","(26.0, 130.0, 59.5)","(71.0, 220.0, 150.0)"
05-01-2023 14:40:08.505025,"(1.9, 2.02, 1.9805405405405405)","(10.0, 18.0, 14.923076923076923)","(15.0, 29.0, 24.6)","(11.0, 18.5, 17.1)","(3.3, 4.0, 4.116666666666667)","(51.0, 190.0, 100.0)","(11.0, 25.0, 23.0)","(21.0, 46.0, 38.0)","(26.0, 130.0, 59.5)","(71.0, 220.0, 150.0)"
05-01-2023 14:40:09.911757,"(1.9, 2.02, 1.9805405405405405)","(10.0, 18.0, 14.923076923076923)","(15.0, 29.0, 24.6)","(11.0, 18.5, 17.1)","(3.3, 4.2, 4.144444444444445)","(51.0, 190.0, 100.0)","(11.0, 25.0, 23.0)","(21.0, 46.0, 38.0)","(26.0, 130.0, 98.66666666666667)","(71.0, 220.0, 150.0)"
05-01-2023 14:40:11.178998,"(1.9, 2.02, 1.9805405405405405)","(10.0, 18.0, 14.923076923076923)","(15.0, 29.0, 24.6)","(11.0, 18.5, 17.1)","(3.3, 4.2, 4.144444444444445)","(51.0, 190.0, 139.375)","(11.0, 25.0, 23.0)","(21.0, 46.0, 38.0)","(26.0, 130.0, 98.66666666666667)","(71.0, 220.0, 150.0)"
05-01-2023 14:40:12.416118,"(1.9, 2.02, 1.9805405405405405)","(10.0, 18.0, 14.923076923076923)","(15.0, 29.0, 24.6)","(11.0, 18.5, 17.1)","(3.3, 4.2, 4.144444444444445)","(51.0, 190.0, 139.375)","(11.0, 25.0, 23.0)","(21.0, 46.0, 38.0)","(26.0, 130.0, 98.66666666666667)","(71.0, 220.0, 150.0)"
05-01-2023 14:40:13.623307,"(1.9, 2.02, 1.9805405405405405)","(10.0, 18.0, 14.923076923076923)","(15.0, 29.0, 24.6)","(11.0, 18.5, 17.1)","(3.3, 4.2, 4.144444444444445)","(51.0, 190.0, 139.375)","(11.0, 25.0, 23.0)","(21.0, 46.0, 38.0)","(26.0, 130.0, 98.66666666666667)","(71.0, 220.0, 150.0)"
05-01-2023 14:40:14.848193,"(1.9, 2.02, 1.9805405405405405)","(10.0, 18.0, 14.923076923076923)","(15.0, 29.0, 24.6)","(11.0, 18.5, 17.1)","(3.3, 4.2, 4.144444444444445)","(51.0, 190.0, 139.375)","(11.0, 25.0, 23.0)","(21.0, 46.0, 38.0)","(26.0, 130.0, 98.66666666666667)","(71.0, 220.0, 150.0)"
05-01-2023 14:40:16.127344,"(1.9, 2.02, 1.9805405405405405)","(10.0, 18.0, 14.923076923076923)","(15.0, 29.0, 24.6)","(11.0, 18.5, 17.1)","(3.3, 4.2, 4.144444444444445)","(51.0, 190.0, 139.375)","(11.0, 25.0, 23.0)","(21.0, 46.0, 38.0)","(26.0, 130.0, 98.66666666666667)","(71.0, 220.0, 150.0)"
05-01-2023 14:40:17.383844,"(1.9, 2.02, 1.9805405405405405)","(10.0, 18.0, 14.923076923076923)","(15.0, 29.0, 24.6)","(11.0, 18.5, 17.1)","(3.3, 4.2, 4.144444444444445)","(51.0, 190.0, 139.375)","(11.0, 25.0, 23.0)","(21.0, 46.0, 38.0)","(26.0, 130.0, 98.66666666666667)","(71.0, 220.0, 150.0)"
05-01-2023 14:40:18.624152,"(1.9, 2.02, 1.9805405405405405)","(10.0, 18.0, 14.923076923076923)","(15.0, 29.0, 24.6)","(11.0, 18.5, 17.1)","(3.3, 4.2, 4.144444444444445)","(51.0, 190.0, 139.375)","(11.0, 25.0, 23.0)","(21.0, 46.0, 38.0)","(26.0, 130.0, 98.66666666666667)","(71.0, 220.0, 150.0)"
05-01-2023 14:40:19.833146,"(1.9, 2.02, 1.9805405405405405)","(10.0, 18.0, 14.923076923076923)","(15.0, 29.0, 24.6)","(11.0, 18.5, 17.1)","(3.3, 4.2, 4.144444444444445)","(51.0, 190.0, 125.0)","(11.0, 25.0, 24.2)","(21.0, 46.0, 38.0)","(26.0, 130.0, 109.85714285714286)","(71.0, 220.0, 150.0)"
05-01-2023 14:40:21.097354,"(1.9, 2.02, 1.9805405405405405)","(10.0, 18.0, 14.923076923076923)","(15.0, 29.0, 24.6)","(11.0, 18.5, 17.1)","(3.3, 4.2, 4.144444444444445)","(51.0, 190.0, 125.0)","(11.0, 25.0, 24.2)","(21.0, 46.0, 38.0)","(26.0, 130.0, 109.85714285714286)","(71.0, 220.0, 150.0)"
05-01-2023 14:40:22.377444,"(1.9, 2.02, 1.9805405405405405)","(10.0, 18.0, 14.923076923076923)","(15.0, 29.0, 24.6)","(11.0, 18.5, 17.1)","(3.3, 4.2, 4.144444444444445)","(51.0, 190.0, 125.0)","(11.0, 25.0, 24.2)","(21.0, 46.0, 38.0)","(26.0, 130.0, 109.85714285714286)","(71.0, 220.0, 150.0)"
05-01-2023 14:40:23.626140,"(1.9, 2.02, 1.9805405405405405)","(10.0, 18.0, 14.923076923076923)","(15.0, 29.0, 24.6)","(11.0, 18.5, 17.1)","(3.3, 4.2, 4.144444444444445)","(51.0, 190.0, 125.0)","(11.0, 25.0, 21.333333333333332)","(21.0, 46.0, 38.0)","(26.0, 130.0, 109.85714285714286)","(71.0, 220.0, 150.0)"
05-01-2023 14:40:24.860820,"(1.9, 2.02, 1.9805405405405405)","(10.0, 17.5, 15.75)","(15.0, 29.0, 24.6)","(11.0, 18.5, 17.1)","(3.3, 4.2, 4.144444444444445)","(51.0, 190.0, 125.0)","(11.0, 25.0, 21.333333333333332)","(21.0, 46.0, 38.0)","(26.0, 130.0, 109.85714285714286)","(71.0, 220.0, 150.0)"
05-01-2023 14:40:26.094905,"(1.9, 2.02, 1.9805405405405405)","(10.0, 17.5, 15.75)","(15.0, 29.0, 24.6)","(11.0, 18.5, 17.1)","(3.3, 4.2, 4.144444444444445)","(51.0, 190.0, 125.0)","(11.0, 25.0, 21.333333333333332)","(21.0, 46.0, 38.0)","(26.0, 130.0, 109.85714285714286)","(71.0, 220.0, 150.0)"
05-01-2023 14:40:27.301113,"(1.9, 2.02, 1.9805405405405405)","(10.0, 17.5, 15.75)","(15.0, 29.0, 24.6)","(11.0, 18.5, 17.1)","(3.3, 4.2, 4.144444444444445)","(51.0, 190.0, 125.0)","(11.0, 25.0, 22.75)","(21.0, 46.0, 38.0)","(26.0, 130.0, 109.85714285714286)","(71.0, 220.0, 150.0)"
05-01-2023 14:40:28.517306,"(1.9, 2.02, 1.9805405405405405)","(10.0, 17.5, 15.05)","(15.0, 29.0, 24.6)","(11.0, 18.5, 17.1)","(3.3, 4.2, 4.144444444444445)","(51.0, 190.0, 125.0)","(11.0, 26.0, 22.75)","(21.0, 46.0, 38.0)","(26.0, 130.0, 109.85714285714286)","(71.0, 220.0, 150.0)"
05-01-2023 14:40:29.852631,"(1.9, 2.02, 1.9798901098901098)","(10.0, 17.5, 15.05)","(15.0, 29.0, 24.6)","(11.0, 18.5, 17.1)","(3.3, 4.2, 4.144444444444445)","(51.0, 190.0, 125.0)","(11.0, 26.0, 22.75)","(21.0, 46.0, 38.0)","(26.0, 130.0, 109.85714285714286)","(71.0, 220.0, 150.0)"
05-01-2023 14:40:31.221798,"(1.9, 2.02, 1.9805405405405405)","(10.0, 17.5, 15.05)","(15.0, 29.0, 24.6)","(11.0, 18.5, 17.1)","(3.3, 4.2, 4.144444444444445)","(51.0, 190.0, 125.0)","(11.0, 26.0, 22.75)","(21.0, 46.0, 38.0)","(26.0, 130.0, 109.85714285714286)","(71.0, 220.0, 150.0)"
05-01-2023 14:40:32.545293,"(1.9, 2.02, 1.9805405405405405)","(10.0, 17.5, 15.05)","(15.0, 29.0, 24.6)","(11.0, 18.5, 17.1)","(3.3, 4.2, 4.144444444444445)","(51.0, 190.0, 125.0)","(11.0, 26.0, 22.75)","(21.0, 46.0, 38.0)","(26.0, 130.0, 109.85714285714286)","(71.0, 220.0, 150.0)"
05-01-2023 14:40:33.819750,"(1.9, 2.02, 1.9805405405405405)","(10.0, 17.5, 14.807692307692308)","(15.0, 29.0, 24.6)","(11.0, 18.5, 17.1)","(3.3, 4.2, 4.144444444444445)","(51.0, 190.0, 125.0)","(11.0, 26.0, 22.75)","(21.0, 46.0, 38.0)","(26.0, 130.0, 109.85714285714286)","(71.0, 220.0, 150.0)"
05-01-2023 14:40:34.996922,"(1.9, 2.02, 1.9798901098901098)","(10.0, 17.5, 14.807692307692308)","(15.0, 29.0, 24.6)","(11.0, 18.5, 17.1)","(3.3, 4.2, 4.144444444444445)","(51.0, 190.0, 125.0)","(11.0, 26.0, 22.75)","(21.0, 46.0, 38.0)","(26.0, 130.0, 109.85714285714286)","(71.0, 220.0, 150.0)"
05-01-2023 14:40:36.212403,"(1.9, 2.02, 1.9798901098901098)","(10.0, 17.5, 14.807692307692308)","(15.0, 29.0, 24.6)","(11.0, 18.5, 17.1)","(3.3, 4.2, 4.144444444444445)","(51.0, 190.0, 125.0)","(11.0, 26.0, 22.75)","(21.0, 46.0, 38.0)","(26.0, 130.0, 109.85714285714286)","(71.0, 220.0, 150.0)"
05-01-2023 14:40:37.449888,"(1.9, 2.02, 1.9805405405405405)","(10.0, 17.5, 14.807692307692308)","(15.0, 29.0, 24.6)","(11.0, 18.5, 17.1)","(3.3, 4.2, 4.144444444444445)","(51.0, 190.0, 125.0)","(11.0, 26.0, 22.75)","(21.0, 46.0, 38.0)","(26.0, 130.0, 109.85714285714286)","(71.0, 220.0, 150.0)"
05-01-2023 14:40:38.739116,"(1.9, 2.02, 1.9805405405405405)","(10.0, 17.5, 14.807692307692308)","(15.0, 29.0, 24.6)","(11.0, 18.5, 17.1)","(3.3, 4.2, 4.144444444444445)","(51.0, 190.0, 125.0)","(11.0, 26.0, 22.75)","(21.0, 46.0, 38.0)","(26.0, 130.0, 109.85714285714286)","(71.0, 220.0, 150.0)"
05-01-2023 14:40:40.075654,"(1.9, 2.02, 1.9805405405405405)","(10.0, 17.5, 14.807692307692308)","(15.0, 29.0, 24.6)","(11.0, 18.5, 17.1)","(3.3, 4.2, 4.144444444444445)","(51.0, 190.0, 125.0)","(11.0, 26.0, 22.75)","(21.0, 46.0, 38.0)","(26.0, 130.0, 109.85714285714286)","(71.0, 220.0, 150.0)"
05-01-2023 14:40:41.337369,"(1.9, 2.02, 1.9798901098901098)","(10.0, 17.5, 14.807692307692308)","(15.0, 29.0, 24.6)","(11.0, 18.5, 17.1)","(3.3, 4.2, 4.144444444444445)","(51.0, 190.0, 125.0)","(11.0, 26.0, 22.75)","(21.0, 46.0, 38.0)","(26.0, 130.0, 109.85714285714286)","(71.0, 220.0, 150.0)"
05-01-2023 14:40:42.586692,"(1.9, 2.02, 1.9798901098901098)","(10.0, 17.5, 14.807692307692308)","(15.0, 29.0, 24.6)","(11.0, 18.5, 17.1)","(3.3, 4.2, 4.144444444444445)","(51.0, 190.0, 143.125)","(11.0, 26.0, 22.75)","(21.0, 46.0, 38.0)","(26.0, 130.0, 109.85714285714286)","(71.0, 220.0, 150.0)"
