,Glass Warrior,So Astounding,Travelling Gigolo,Super Swoop,Bell Ringer Boy,King Island,Steel Skies,Always A Winner,Not A Brass Razoo,The Executive,Sunset Gun,The Decider
06-01-2023 16:53:22.210762,"(13.0, 14.5, 14.1869918699187)","(10.0, 12.5, 12.588709677419354)","(2.8, 3.25, 3.247818181818182)","(12.0, 14.5, 14.28125)","(6.5, 6.6, 6.619130434782608)","(26.0, 38.0, 37.666666666666664)","(16.0, 21.0, 21.77777777777778)","(31.0, 50.0, 47.0)","(7.5, 9.2, 8.617391304347827)","(10.0, 13.5, 13.344660194174757)","(71.0, 120.0, 113.18181818181819)","(31.0, 46.0, 44.857142857142854)"
06-01-2023 16:53:23.903640,"(13.0, 14.5, 14.206106870229007)","(10.0, 13.0, 12.0625)","(2.8, 3.25, 3.2733333333333334)","(12.0, 14.5, 14.346534653465346)","(6.5, 6.8, 6.619607843137255)","(26.0, 38.0, 37.7037037037037)","(16.0, 22.0, 20.61111111111111)","(31.0, 50.0, 44.285714285714285)","(7.5, 8.8, 8.776470588235295)","(10.0, 13.5, 13.353211009174313)","(71.0, 120.0, 113.63636363636364)","(31.0, 46.0, 44.6)"
06-01-2023 16:53:25.507064,"(13.0, 14.5, 14.186206896551724)","(10.0, 12.5, 12.03)","(2.8, 3.3, 3.2733333333333334)","(12.0, 14.5, 14.333333333333334)","(6.0, 6.8, 6.665612648221344)","(26.0, 38.0, 37.7037037037037)","(16.0, 22.0, 20.263157894736842)","(31.0, 50.0, 41.42857142857143)","(7.5, 8.8, 8.716279069767442)","(10.0, 13.5, 13.349765258215962)","(71.0, 120.0, 113.63636363636364)","(31.0, 46.0, 44.5)"
06-01-2023 16:53:27.098256,"(13.0, 14.5, 14.272727272727273)","(10.0, 12.5, 12.069444444444445)","(2.8, 3.3, 3.2761702127659573)","(12.0, 14.5, 14.542857142857143)","(6.0, 6.8, 6.655438596491228)","(26.0, 38.0, 37.724137931034484)","(16.0, 22.0, 20.263157894736842)","(31.0, 50.0, 43.64705882352941)","(7.5, 8.8, 8.732075471698113)","(10.0, 13.5, 13.354545454545455)","(71.0, 120.0, 112.10526315789474)","(31.0, 46.0, 44.61538461538461)"
06-01-2023 16:53:28.816571,"(13.0, 14.5, 14.272727272727273)","(10.0, 12.5, 12.102564102564102)","(2.8, 3.3, 3.2772522522522523)","(12.0, 15.0, 14.625)","(6.0, 6.8, 6.597260273972602)","(26.0, 38.0, 37.724137931034484)","(16.0, 22.0, 20.074074074074073)","(31.0, 50.0, 43.64705882352941)","(7.5, 8.8, 8.732075471698113)","(10.0, 13.5, 13.217270194986073)","(71.0, 120.0, 112.10526315789474)","(31.0, 46.0, 44.61538461538461)"
06-01-2023 16:53:30.509848,"(13.0, 14.5, 14.135245901639344)","(10.0, 12.5, 12.05072463768116)","(2.8, 3.3, 3.306967213114754)","(12.0, 15.0, 14.305882352941177)","(6.5, 6.6, 6.5608108108108105)","(26.0, 38.0, 37.724137931034484)","(16.0, 22.0, 20.426470588235293)","(31.0, 50.0, 43.64705882352941)","(7.5, 8.8, 8.704109589041096)","(10.0, 13.5, 13.221917808219178)","(71.0, 120.0, 112.10526315789474)","(31.0, 44.0, 42.57142857142857)"
06-01-2023 16:53:32.260937,"(13.0, 14.5, 14.150980392156862)","(10.0, 12.5, 12.192307692307692)","(2.8, 3.35, 3.3136636636636636)","(12.0, 14.5, 14.338888888888889)","(6.5, 6.6, 6.587586206896551)","(26.0, 38.0, 37.77142857142857)","(16.0, 21.0, 20.671875)","(31.0, 50.0, 44.78260869565217)","(7.5, 9.0, 8.746428571428572)","(10.0, 13.5, 13.232894736842105)","(71.0, 120.0, 112.85714285714286)","(31.0, 44.0, 43.09090909090909)"
06-01-2023 16:53:33.852691,"(13.0, 14.5, 14.150980392156862)","(10.0, 12.5, 12.090909090909092)","(2.8, 3.35, 3.3237527114967462)","(12.0, 14.5, 14.223214285714286)","(6.5, 6.6, 6.56241610738255)","(26.0, 38.0, 39.351351351351354)","(16.0, 21.0, 20.716216216216218)","(31.0, 50.0, 45.2)","(7.5, 9.0, 8.802816901408452)","(10.0, 13.5, 13.229946524064172)","(71.0, 120.0, 112.85714285714286)","(31.0, 44.0, 40.2)"
06-01-2023 16:53:35.507585,"(13.0, 14.0, 13.877358490566039)","(10.0, 12.5, 12.090909090909092)","(2.8, 3.35, 3.3248344370860927)","(12.0, 14.5, 14.181034482758621)","(6.0, 6.6, 6.577966101694915)","(26.0, 40.0, 39.333333333333336)","(16.0, 21.0, 20.546511627906977)","(31.0, 50.0, 45.2)","(7.5, 9.0, 8.802816901408452)","(10.0, 13.5, 13.235602094240837)","(71.0, 120.0, 112.85714285714286)","(31.0, 42.0, 38.30769230769231)"
06-01-2023 16:53:37.152382,"(13.0, 14.0, 13.857142857142858)","(10.0, 12.5, 12.31578947368421)","(2.8, 3.35, 3.3248344370860927)","(12.0, 14.5, 14.201923076923077)","(6.0, 6.6, 6.577966101694915)","(26.0, 40.0, 38.0)","(16.0, 21.0, 20.57608695652174)","(31.0, 50.0, 45.2)","(7.5, 9.0, 8.806451612903226)","(10.0, 13.5, 13.253351206434317)","(71.0, 120.0, 114.16666666666667)","(31.0, 42.0, 41.07692307692308)"
06-01-2023 16:53:38.813408,"(13.0, 14.0, 13.907801418439716)","(10.0, 12.5, 12.25)","(2.9, 3.35, 3.3257777777777777)","(12.0, 14.5, 14.302469135802468)","(6.0, 6.6, 6.5754716981132075)","(26.0, 40.0, 38.0)","(16.0, 21.0, 20.7375)","(31.0, 50.0, 45.2)","(7.5, 9.0, 8.815999999999999)","(10.0, 13.5, 13.254032258064516)","(71.0, 120.0, 116.41025641025641)","(31.0, 40.0, 39.63636363636364)"
06-01-2023 16:53:40.465448,"(13.0, 14.0, 13.916129032258064)","(10.0, 12.5, 12.321428571428571)","(2.9, 3.35, 3.328500986193294)","(12.0, 14.5, 14.313953488372093)","(6.0, 6.6, 6.559731543624161)","(26.0, 40.0, 38.54545454545455)","(16.0, 21.0, 20.761363636363637)","(31.0, 50.0, 45.55555555555556)","(7.5, 9.0, 8.831192660550458)","(10.0, 13.5, 13.244413407821229)","(71.0, 120.0, 116.88888888888889)","(31.0, 42.0, 40.528301886792455)"
06-01-2023 16:53:42.434238,"(12.0, 14.0, 13.876404494382022)","(10.0, 12.5, 12.416666666666666)","(2.9, 3.35, 3.3294726930320153)","(12.0, 14.5, 14.0375)","(6.0, 6.6, 6.65130890052356)","(26.0, 40.0, 39.27272727272727)","(16.0, 21.0, 20.805555555555557)","(31.0, 50.0, 46.25)","(7.5, 9.0, 8.846666666666668)","(10.0, 13.5, 13.286363636363637)","(81.0, 120.0, 119.71428571428571)","(31.0, 40.0, 39.333333333333336)"
06-01-2023 16:53:44.125406,"(12.0, 14.0, 13.874285714285714)","(10.0, 12.5, 12.482758620689655)","(2.9, 3.35, 3.295977011494253)","(12.0, 14.5, 14.444)","(6.0, 6.8, 6.6909090909090905)","(26.0, 42.0, 39.27272727272727)","(16.0, 21.0, 20.363636363636363)","(31.0, 50.0, 42.476190476190474)","(7.5, 9.0, 8.805128205128206)","(10.0, 13.5, 13.290178571428571)","(81.0, 120.0, 126.15384615384616)","(31.0, 38.0, 37.67272727272727)"
06-01-2023 16:53:45.910955,"(12.0, 14.0, 13.874285714285714)","(10.0, 12.5, 12.495238095238095)","(2.9, 3.3, 3.236823529411765)","(12.0, 14.5, 14.392307692307693)","(6.0, 6.8, 6.694300518134715)","(26.0, 42.0, 39.42857142857143)","(16.0, 21.0, 20.9)","(31.0, 44.0, 41.55)","(7.5, 9.0, 8.940740740740742)","(10.0, 13.5, 13.287009063444108)","(81.0, 130.0, 126.29629629629629)","(31.0, 40.0, 38.705882352941174)"
06-01-2023 16:53:47.689012,"(12.0, 14.0, 13.874285714285714)","(10.0, 12.5, 12.49468085106383)","(2.9, 3.25, 3.237710843373494)","(12.0, 14.5, 14.189655172413794)","(6.0, 6.8, 6.702857142857143)","(26.0, 42.0, 39.333333333333336)","(16.0, 21.0, 21.166666666666668)","(31.0, 42.0, 43.21951219512195)","(7.5, 9.0, 8.818181818181818)","(10.0, 13.5, 13.267964071856287)","(81.0, 130.0, 118.46153846153847)","(31.0, 40.0, 38.705882352941174)"
06-01-2023 16:53:49.722478,"(12.0, 14.0, 13.875)","(10.0, 12.5, 12.494444444444444)","(2.9, 3.25, 3.2780405405405406)","(12.0, 14.5, 13.954545454545455)","(6.0, 6.8, 6.757788944723618)","(26.0, 40.0, 39.407407407407405)","(16.0, 22.0, 20.73913043478261)","(31.0, 44.0, 41.5609756097561)","(7.5, 9.0, 8.870270270270272)","(10.0, 13.5, 13.312698412698413)","(81.0, 120.0, 118.51851851851852)","(31.0, 40.0, 38.125)"
06-01-2023 16:53:51.589048,"(12.0, 14.0, 13.938709677419356)","(10.0, 12.5, 12.494444444444444)","(2.9, 3.3, 3.265845070422535)","(12.0, 14.0, 13.896825396825397)","(6.0, 6.8, 6.758312655086849)","(26.0, 40.0, 39.407407407407405)","(16.0, 21.0, 20.24561403508772)","(31.0, 42.0, 41.5609756097561)","(7.5, 9.0, 9.03768115942029)","(10.0, 13.5, 13.315047021943574)","(81.0, 120.0, 118.21428571428572)","(31.0, 40.0, 38.983050847457626)"
06-01-2023 16:53:53.807224,"(12.0, 14.5, 13.937299035369774)","(10.0, 12.5, 12.478571428571428)","(2.8, 3.3, 3.252803738317757)","(12.0, 14.0, 13.885964912280702)","(6.0, 6.8, 6.762755102040816)","(26.0, 40.0, 39.285714285714285)","(16.0, 22.0, 20.88157894736842)","(31.0, 44.0, 42.46808510638298)","(7.5, 9.2, 9.028571428571428)","(10.0, 13.5, 13.315047021943574)","(81.0, 120.0, 117.93103448275862)","(31.0, 40.0, 38.983050847457626)"
06-01-2023 16:53:55.636781,"(12.0, 14.5, 13.893063583815028)","(10.0, 12.5, 12.354330708661417)","(2.9, 3.3, 3.2390909090909092)","(12.0, 14.0, 13.81081081081081)","(6.0, 6.8, 6.777348066298343)","(26.0, 40.0, 37.51724137931034)","(16.0, 21.0, 19.93089430894309)","(31.0, 44.0, 40.301886792452834)","(7.5, 9.2, 9.07076923076923)","(10.0, 13.5, 13.351398601398602)","(81.0, 120.0, 114.0909090909091)","(31.0, 40.0, 38.775510204081634)"
06-01-2023 16:53:57.342349,"(12.0, 14.5, 13.90677966101695)","(10.0, 12.5, 12.434782608695652)","(2.9, 3.3, 3.2536971830985917)","(12.0, 14.0, 13.825)","(6.0, 6.8, 6.7768292682926825)","(26.0, 38.0, 37.5625)","(16.0, 20.0, 19.93359375)","(31.0, 42.0, 39.627906976744185)","(7.5, 9.2, 9.083076923076923)","(10.0, 13.5, 13.36159169550173)","(81.0, 120.0, 114.0909090909091)","(31.0, 40.0, 37.3)"
06-01-2023 16:53:58.988845,"(12.0, 14.5, 13.90677966101695)","(10.0, 12.5, 12.438931297709924)","(2.9, 3.3, 3.249159663865546)","(12.0, 14.0, 13.820512820512821)","(6.0, 6.8, 6.784984984984985)","(26.0, 38.0, 37.62162162162162)","(16.0, 20.0, 19.937956204379564)","(31.0, 40.0, 39.59183673469388)","(7.5, 9.2, 9.127027027027026)","(10.0, 13.5, 13.3625)","(81.0, 120.0, 114.58333333333333)","(31.0, 40.0, 36.476190476190474)"
06-01-2023 16:54:00.743608,"(12.0, 14.5, 14.045454545454545)","(10.0, 12.5, 12.390070921985815)","(2.9, 3.3, 3.2475)","(12.0, 14.0, 14.346153846153847)","(6.0, 6.8, 6.794936708860759)","(26.0, 38.0, 37.6)","(16.0, 20.0, 19.937956204379564)","(31.0, 40.0, 39.59183673469388)","(7.5, 9.2, 9.12394366197183)","(10.0, 13.5, 13.374509803921569)","(81.0, 120.0, 114.58333333333333)","(31.0, 38.0, 36.46808510638298)"
06-01-2023 16:54:02.789601,"(12.0, 14.5, 13.953551912568306)","(10.0, 12.5, 12.47787610619469)","(2.9, 3.25, 3.221655518394649)","(12.0, 14.5, 14.404761904761905)","(6.0, 6.8, 6.821935483870967)","(26.0, 38.0, 37.6)","(16.0, 20.0, 19.937062937062937)","(31.0, 40.0, 39.59183673469388)","(7.5, 9.2, 9.112903225806452)","(10.0, 13.5, 13.399193548387096)","(81.0, 120.0, 116.47058823529412)","(31.0, 38.0, 36.325581395348834)"
06-01-2023 16:54:04.607559,"(12.0, 14.5, 13.953551912568306)","(10.0, 12.5, 12.50943396226415)","(2.8, 3.25, 3.21800731261426)","(12.0, 14.5, 14.150684931506849)","(6.0, 7.0, 6.88122270742358)","(26.0, 38.0, 37.166666666666664)","(16.0, 20.0, 19.950704225352112)","(31.0, 40.0, 38.333333333333336)","(7.5, 9.2, 9.233333333333334)","(10.0, 13.5, 13.408203125)","(81.0, 120.0, 114.78260869565217)","(31.0, 38.0, 36.17391304347826)"
06-01-2023 16:54:06.318907,"(12.0, 14.5, 13.97550432276657)","(10.0, 13.0, 12.49468085106383)","(2.8, 3.25, 3.2008426966292136)","(12.0, 15.0, 14.123287671232877)","(6.0, 7.0, 6.82603550295858)","(26.0, 38.0, 37.166666666666664)","(16.0, 20.0, 19.936507936507937)","(31.0, 40.0, 38.333333333333336)","(7.5, 9.4, 9.270588235294118)","(10.0, 13.5, 13.37912087912088)","(81.0, 120.0, 114.78260869565217)","(31.0, 38.0, 36.17391304347826)"
06-01-2023 16:54:08.227968,"(12.0, 14.5, 14.055900621118013)","(10.0, 12.5, 12.419230769230769)","(2.8, 3.25, 3.191019698725377)","(12.0, 15.0, 14.28888888888889)","(6.0, 7.0, 6.852688172043011)","(26.0, 38.0, 37.609756097560975)","(16.0, 20.0, 19.96153846153846)","(31.0, 40.0, 39.04347826086956)","(7.5, 9.4, 9.211764705882352)","(10.0, 13.5, 13.388324873096447)","(81.0, 120.0, 115.2)","(31.0, 38.0, 36.38461538461539)"
06-01-2023 16:54:10.066281,"(12.0, 14.5, 14.074404761904763)","(10.0, 12.5, 12.419230769230769)","(2.8, 3.2, 3.1916034669555797)","(12.0, 15.0, 14.553571428571429)","(6.0, 7.0, 6.8719626168224295)","(26.0, 38.0, 37.659574468085104)","(16.0, 20.0, 19.964285714285715)","(31.0, 42.0, 39.48148148148148)","(7.5, 9.6, 9.243243243243242)","(10.0, 13.5, 13.39622641509434)","(81.0, 120.0, 114.83870967741936)","(31.0, 38.0, 36.645161290322584)"
06-01-2023 16:54:11.963795,"(12.0, 14.5, 13.919724770642201)","(10.0, 12.5, 12.478813559322035)","(2.8, 3.2, 3.196014492753623)","(12.0, 15.0, 14.756410256410255)","(6.0, 7.0, 6.870638297872341)","(26.0, 38.0, 37.77272727272727)","(16.0, 20.0, 19.95909090909091)","(31.0, 42.0, 39.27272727272727)","(7.5, 9.6, 9.341666666666667)","(10.0, 13.5, 13.39622641509434)","(81.0, 120.0, 114.83870967741936)","(31.0, 38.0, 36.645161290322584)"
06-01-2023 16:54:14.087220,"(12.0, 14.0, 13.87992125984252)","(10.0, 12.5, 12.493589743589743)","(2.8, 3.2, 3.196256345177665)","(12.0, 15.0, 14.790322580645162)","(6.0, 7.0, 6.860068259385665)","(26.0, 38.0, 37.77272727272727)","(16.0, 20.0, 19.975490196078432)","(31.0, 40.0, 36.705882352941174)","(7.5, 9.6, 9.395348837209301)","(10.0, 13.5, 13.38888888888889)","(81.0, 120.0, 114.83870967741936)","(31.0, 38.0, 36.90909090909091)"
06-01-2023 16:54:15.836945,"(12.0, 14.0, 13.87992125984252)","(10.0, 12.5, 12.493589743589743)","(2.8, 3.2, 3.196256345177665)","(12.0, 15.0, 14.790322580645162)","(6.0, 7.0, 6.831275720164609)","(26.0, 38.0, 37.565217391304344)","(16.0, 20.0, 19.975247524752476)","(31.0, 40.0, 36.75)","(8.0, 9.6, 9.525714285714285)","(10.0, 13.5, 13.367469879518072)","(81.0, 120.0, 113.33333333333333)","(31.0, 38.0, 36.5)"
06-01-2023 16:54:18.099729,"(12.0, 14.0, 13.76969696969697)","(10.0, 12.5, 12.458823529411765)","(2.8, 3.2, 3.2151162790697674)","(12.0, 15.0, 13.75)","(6.0, 7.0, 6.716262975778546)","(26.0, 38.0, 37.285714285714285)","(16.0, 20.0, 19.97641509433962)","(31.0, 38.0, 37.0)","(8.0, 9.8, 9.504615384615384)","(10.0, 13.5, 13.379781420765028)","(81.0, 120.0, 113.6)","(31.0, 38.0, 36.22222222222222)"
06-01-2023 16:54:20.080728,"(12.0, 14.0, 13.764423076923077)","(10.0, 12.5, 12.46195652173913)","(2.9, 3.25, 3.214983713355049)","(12.0, 15.0, 14.825)","(6.0, 7.0, 6.666279069767442)","(26.0, 38.0, 37.473684210526315)","(16.0, 20.0, 19.977272727272727)","(31.0, 38.0, 37.0)","(7.5, 9.8, 9.544)","(10.0, 13.5, 13.384210526315789)","(81.0, 120.0, 113.6)","(31.0, 36.0, 35.9)"
06-01-2023 16:54:22.304001,"(12.0, 14.0, 13.745535714285714)","(10.0, 12.5, 12.46195652173913)","(2.9, 3.25, 3.1983751846381097)","(12.0, 15.0, 14.845588235294118)","(6.0, 6.8, 6.597821350762527)","(26.0, 38.0, 37.473684210526315)","(16.0, 20.0, 20.803571428571427)","(31.0, 38.0, 37.0)","(7.5, 9.8, 9.456)","(10.0, 13.5, 13.384210526315789)","(81.0, 120.0, 113.6)","(31.0, 36.0, 36.96551724137931)"
06-01-2023 16:54:24.554795,"(12.0, 14.0, 13.757009345794392)","(10.0, 12.5, 12.464285714285714)","(2.9, 3.2, 3.190791366906475)","(12.0, 15.0, 14.333333333333334)","(6.0, 6.8, 7.963888888888889)","(26.0, 38.0, 37.27272727272727)","(16.0, 21.0, 20.882978723404257)","(31.0, 38.0, 36.90909090909091)","(7.5, 9.6, 9.503448275862068)","(11.0, 13.5, 13.384210526315789)","(81.0, 120.0, 113.75)","(31.0, 38.0, 36.88135593220339)"
06-01-2023 16:54:26.650717,"(12.0, 14.0, 13.764957264957266)","(10.0, 12.5, 12.391304347826088)","(2.9, 3.2, 3.1388372093023253)","(12.0, 14.5, 14.316326530612244)","(6.0, 8.0, 7.324561403508772)","(26.0, 38.0, 37.529411764705884)","(16.0, 21.0, 20.946236559139784)","(31.0, 38.0, 37.25)","(7.5, 9.6, 9.649056603773586)","(11.0, 13.5, 13.442857142857143)","(81.0, 120.0, 114.0)","(31.0, 36.0, 35.55555555555556)"
06-01-2023 16:54:28.811067,"(12.0, 14.0, 13.771929824561404)","(10.0, 12.5, 12.70807453416149)","(2.9, 3.15, 3.1385714285714283)","(12.0, 14.5, 14.316326530612244)","(6.0, 7.4, 7.173770491803279)","(26.0, 38.0, 37.333333333333336)","(16.0, 21.0, 20.946236559139784)","(31.0, 38.0, 37.25)","(7.5, 9.8, 9.748051948051948)","(11.0, 13.5, 13.434640522875817)","(81.0, 120.0, 114.23076923076923)","(31.0, 36.0, 33.69230769230769)"
06-01-2023 16:54:30.795495,"(12.0, 14.0, 13.771929824561404)","(10.0, 13.0, 12.50943396226415)","(2.9, 3.15, 3.1410480349344976)","(12.0, 14.5, 14.336363636363636)","(6.0, 7.2, 6.986666666666666)","(26.0, 38.0, 37.2)","(16.0, 21.0, 20.963636363636365)","(31.0, 38.0, 38.285714285714285)","(7.5, 9.8, 9.775)","(11.0, 13.5, 13.639830508474576)","(81.0, 120.0, 114.23076923076923)","(31.0, 36.0, 33.81818181818182)"
06-01-2023 16:54:32.954758,"(12.0, 14.0, 13.883333333333333)","(10.0, 13.0, 12.710843373493976)","(2.9, 3.15, 3.1278378378378378)","(12.0, 14.5, 14.4)","(6.0, 7.0, 6.967164179104477)","(26.0, 38.0, 37.38461538461539)","(16.0, 21.0, 21.19672131147541)","(31.0, 40.0, 38.666666666666664)","(7.5, 9.8, 9.7)","(11.0, 14.0, 13.620805369127517)","(81.0, 120.0, 114.82758620689656)","(31.0, 36.0, 32.421052631578945)"
06-01-2023 16:54:35.050660,"(12.0, 14.0, 13.863636363636363)","(10.0, 13.0, 12.373134328358208)","(2.9, 3.15, 3.097711267605634)","(12.0, 14.5, 14.4)","(6.0, 7.0, 6.977319587628866)","(26.0, 38.0, 37.578947368421055)","(17.0, 22.0, 21.233009708737864)","(31.0, 40.0, 38.857142857142854)","(8.0, 9.8, 9.534545454545455)","(11.0, 14.0, 13.599644128113878)","(81.0, 120.0, 115.76923076923077)","(31.0, 36.0, 32.76190476190476)"
06-01-2023 16:54:37.239970,"(12.0, 14.0, 13.842245989304812)","(10.0, 12.5, 12.301369863013699)","(2.9, 3.1, 3.110493827160494)","(12.0, 14.5, 14.1)","(6.0, 7.0, 6.984375)","(26.0, 38.0, 37.63636363636363)","(17.0, 22.0, 21.26851851851852)","(31.0, 40.0, 38.5)","(8.0, 9.6, 9.65945945945946)","(11.0, 14.0, 13.615384615384615)","(81.0, 120.0, 115.92592592592592)","(31.0, 36.0, 33.04347826086956)"
06-01-2023 16:54:39.112617,"(12.0, 14.0, 13.917525773195877)","(10.0, 12.5, 12.45945945945946)","(2.9, 3.15, 3.0728260869565216)","(12.0, 15.0, 13.170454545454545)","(6.0, 7.0, 7.064516129032258)","(26.0, 38.0, 38.666666666666664)","(17.0, 22.0, 21.451851851851853)","(31.0, 40.0, 37.857142857142854)","(8.0, 9.8, 9.883333333333333)","(11.0, 14.0, 13.675925925925926)","(81.0, 120.0, 117.6)","(31.0, 36.0, 34.52173913043478)"
06-01-2023 16:54:40.946792,"(12.0, 14.0, 13.980225988700566)","(10.0, 12.5, 12.492063492063492)","(2.9, 3.1, 3.0789473684210527)","(12.0, 13.5, 13.195378151260504)","(6.0, 7.2, 7.051351351351351)","(26.0, 40.0, 39.30434782608695)","(17.0, 22.0, 21.525641025641026)","(31.0, 40.0, 36.0)","(8.0, 10.0, 9.930578512396695)","(11.0, 13.5, 13.473333333333333)","(81.0, 120.0, 118.69565217391305)","(31.0, 36.0, 35.225806451612904)"
06-01-2023 16:54:42.675873,"(12.0, 14.0, 14.03448275862069)","(10.0, 12.5, 12.605263157894736)","(2.9, 3.1, 3.0934108527131783)","(12.0, 13.5, 13.206405693950177)","(6.0, 7.2, 7.111290322580645)","(26.0, 40.0, 39.16279069767442)","(16.0, 22.0, 21.572254335260116)","(31.0, 38.0, 36.666666666666664)","(8.0, 10.0, 9.98)","(11.0, 13.5, 13.527027027027026)","(81.0, 120.0, 127.3913043478261)","(31.0, 38.0, 36.57142857142857)"
