,Karinya Trombone,Seabrook Baker,Kid Freeze,Demonicas Beach,Radley Erskin,Exalted Fire,Loves To Talk
08-12-2022 14:25:23.499005,"(2.9, 4.4, 3.8000000000000003)","(91.0, 650.0, 570.7142857142858)","(2.8, 4.2, 3.59)","(13.0, 30.0, 28.541666666666664)","(2.9, 3.5, 3.125)","(11.0, 23.0, 21.083333333333336)","(11.0, 25.0, 23.875)"
08-12-2022 14:25:24.503640,"(2.9, 4.4, 3.8000000000000003)","(91.0, 650.0, 570.7142857142858)","(2.8, 4.2, 3.59)","(13.0, 30.0, 28.541666666666664)","(2.9, 3.5, 3.125)","(11.0, 23.0, 21.083333333333336)","(11.0, 25.0, 23.875)"
08-12-2022 14:25:25.572745,"(2.9, 4.4, 3.8000000000000003)","(91.0, 650.0, 570.7142857142858)","(2.8, 4.2, 3.59)","(13.0, 30.0, 28.541666666666664)","(2.9, 3.5, 3.125)","(11.0, 23.0, 21.083333333333336)","(11.0, 25.0, 23.875)"
08-12-2022 14:25:26.664179,"(2.9, 4.4, 3.8000000000000003)","(91.0, 650.0, 570.7142857142858)","(2.8, 4.2, 3.59)","(13.0, 30.0, 28.541666666666664)","(2.9, 3.5, 3.125)","(11.0, 23.0, 21.72222222222222)","(11.0, 25.0, 21.75)"
08-12-2022 14:25:27.793114,"(2.9, 4.2, 3.7)","(91.0, 650.0, 570.7142857142858)","(2.8, 4.2, 3.59)","(13.0, 30.0, 25.75)","(2.9, 3.5, 3.125)","(11.0, 23.0, 21.72222222222222)","(11.0, 25.0, 21.75)"
08-12-2022 14:25:28.929149,"(2.9, 4.2, 3.7)","(91.0, 650.0, 570.7142857142858)","(2.8, 4.2, 3.59)","(13.0, 30.0, 25.75)","(2.9, 3.5, 3.125)","(11.0, 23.0, 21.72222222222222)","(11.0, 25.0, 21.75)"
08-12-2022 14:25:29.992258,"(2.9, 4.2, 3.7)","(91.0, 650.0, 570.7142857142858)","(2.8, 4.2, 3.59)","(13.0, 30.0, 25.75)","(2.9, 3.5, 3.125)","(11.0, 23.0, 21.72222222222222)","(11.0, 25.0, 21.75)"
08-12-2022 14:25:31.174576,"(2.9, 4.2, 3.7)","(91.0, 650.0, 570.7142857142858)","(2.8, 4.2, 3.59)","(13.0, 30.0, 25.75)","(2.9, 3.5, 3.125)","(11.0, 23.0, 21.72222222222222)","(11.0, 25.0, 21.75)"
08-12-2022 14:25:32.224681,"(2.9, 4.2, 3.7)","(91.0, 650.0, 570.7142857142858)","(2.8, 4.2, 3.59)","(13.0, 30.0, 25.75)","(2.9, 3.5, 3.125)","(11.0, 23.0, 21.72222222222222)","(11.0, 25.0, 21.75)"
08-12-2022 14:25:33.364369,"(2.9, 4.2, 3.7)","(91.0, 650.0, 570.7142857142858)","(2.8, 4.2, 3.59)","(13.0, 30.0, 25.75)","(2.9, 3.5, 3.125)","(11.0, 23.0, 21.72222222222222)","(11.0, 25.0, 21.75)"
08-12-2022 14:25:34.547888,"(2.9, 4.2, 3.7)","(91.0, 650.0, 570.7142857142858)","(2.8, 4.2, 3.59)","(13.0, 30.0, 25.75)","(2.9, 3.5, 3.125)","(11.0, 23.0, 21.72222222222222)","(11.0, 25.0, 21.75)"
08-12-2022 14:25:35.693621,"(2.9, 4.2, 3.7)","(91.0, 650.0, 570.7142857142858)","(2.8, 4.2, 3.59)","(13.0, 30.0, 25.75)","(2.9, 3.5, 3.125)","(11.0, 23.0, 21.72222222222222)","(11.0, 25.0, 21.75)"
08-12-2022 14:25:36.798284,"(2.9, 4.2, 3.7)","(91.0, 650.0, 570.7142857142858)","(2.8, 4.2, 3.59)","(13.0, 30.0, 25.75)","(2.9, 3.5, 3.125)","(11.0, 23.0, 21.72222222222222)","(11.0, 25.0, 21.75)"
08-12-2022 14:25:38.022663,"(2.9, 4.2, 3.7)","(91.0, 650.0, 570.7142857142858)","(2.8, 4.2, 3.59)","(13.0, 30.0, 25.75)","(2.9, 3.5, 3.125)","(11.0, 23.0, 21.72222222222222)","(11.0, 25.0, 21.75)"
08-12-2022 14:25:39.249058,"(2.9, 4.2, 3.7)","(91.0, 650.0, 570.7142857142858)","(2.8, 4.2, 3.59)","(13.0, 30.0, 25.75)","(2.9, 3.5, 3.125)","(11.0, 23.0, 21.72222222222222)","(11.0, 25.0, 21.75)"
08-12-2022 14:25:40.358815,"(2.9, 4.2, 3.7)","(91.0, 650.0, 570.7142857142858)","(2.8, 4.2, 3.59)","(13.0, 30.0, 25.75)","(2.9, 3.5, 3.125)","(11.0, 23.0, 21.72222222222222)","(11.0, 25.0, 21.75)"
08-12-2022 14:25:41.600488,"(2.9, 4.2, 3.7)","(91.0, 650.0, 570.7142857142858)","(2.8, 4.2, 3.59)","(13.0, 30.0, 25.75)","(2.9, 3.5, 3.171698113207547)","(11.0, 23.0, 21.72222222222222)","(11.0, 25.0, 21.75)"
08-12-2022 14:25:42.805875,"(2.9, 4.2, 3.7)","(91.0, 650.0, 570.7142857142858)","(2.8, 4.2, 3.59)","(13.0, 30.0, 25.75)","(2.9, 3.5, 3.171698113207547)","(11.0, 23.0, 21.72222222222222)","(11.0, 25.0, 21.75)"
08-12-2022 14:25:44.041104,"(2.9, 4.2, 3.7)","(91.0, 650.0, 570.7142857142858)","(2.8, 4.2, 3.59)","(13.0, 30.0, 25.75)","(2.9, 3.5, 3.171698113207547)","(11.0, 23.0, 21.72222222222222)","(11.0, 25.0, 21.75)"
08-12-2022 14:25:45.078386,"(2.9, 4.2, 3.7)","(91.0, 650.0, 570.7142857142858)","(2.8, 4.2, 3.59)","(13.0, 30.0, 25.75)","(2.9, 3.5, 3.171698113207547)","(11.0, 23.0, 21.72222222222222)","(11.0, 25.0, 21.75)"
08-12-2022 14:25:46.102925,"(2.9, 4.2, 3.7)","(91.0, 650.0, 570.7142857142858)","(2.8, 4.2, 3.59)","(13.0, 30.0, 25.75)","(2.9, 3.5, 3.171698113207547)","(11.0, 23.0, 21.72222222222222)","(11.0, 25.0, 21.75)"
08-12-2022 14:25:47.241790,"(2.9, 4.2, 3.7)","(91.0, 650.0, 570.7142857142858)","(2.8, 4.2, 3.59)","(13.0, 30.0, 25.75)","(2.9, 3.5, 3.171698113207547)","(11.0, 23.0, 21.72222222222222)","(11.0, 25.0, 21.75)"
08-12-2022 14:25:48.454994,"(2.9, 4.2, 3.7)","(91.0, 650.0, 570.7142857142858)","(2.8, 4.2, 3.59)","(13.0, 30.0, 25.75)","(2.9, 3.5, 3.171698113207547)","(11.0, 23.0, 21.72222222222222)","(11.0, 25.0, 21.75)"
08-12-2022 14:25:49.646797,"(2.9, 4.2, 3.7)","(91.0, 650.0, 570.7142857142858)","(2.8, 4.2, 3.59)","(13.0, 30.0, 25.75)","(2.9, 3.5, 3.171698113207547)","(11.0, 23.0, 21.72222222222222)","(11.0, 25.0, 21.75)"
08-12-2022 14:25:50.738809,"(2.9, 4.2, 3.7)","(91.0, 650.0, 570.7142857142858)","(2.8, 4.2, 3.59)","(13.0, 30.0, 25.75)","(2.9, 3.5, 3.171698113207547)","(11.0, 23.0, 21.72222222222222)","(11.0, 25.0, 21.75)"
08-12-2022 14:25:52.060563,"(2.9, 4.2, 3.7)","(91.0, 650.0, 570.7142857142858)","(2.8, 4.2, 3.59)","(13.0, 30.0, 25.75)","(2.9, 3.5, 2.9717391304347824)","(11.0, 23.0, 21.72222222222222)","(11.0, 25.0, 21.75)"
08-12-2022 14:25:53.432064,"(2.9, 4.2, 3.7)","(91.0, 650.0, 570.7142857142858)","(2.8, 4.2, 3.59)","(13.0, 30.0, 21.0)","(2.9, 3.5, 2.9717391304347824)","(11.0, 23.0, 21.72222222222222)","(11.0, 25.0, 21.75)"
08-12-2022 14:25:54.746648,"(2.9, 4.2, 3.7)","(91.0, 650.0, 570.7142857142858)","(2.8, 4.2, 3.59)","(13.0, 29.0, 19.857142857142858)","(2.9, 3.5, 2.9717391304347824)","(11.0, 23.0, 21.72222222222222)","(11.0, 25.0, 21.75)"
08-12-2022 14:25:56.049792,"(2.9, 4.2, 3.7)","(91.0, 650.0, 570.7142857142858)","(2.8, 4.2, 3.59)","(13.0, 29.0, 19.857142857142858)","(2.9, 3.5, 2.9717391304347824)","(11.0, 23.0, 21.72222222222222)","(11.0, 25.0, 21.75)"
08-12-2022 14:25:57.376977,"(2.9, 4.2, 3.7)","(91.0, 650.0, 570.7142857142858)","(2.8, 4.2, 3.59)","(13.0, 29.0, 25.0)","(2.9, 3.5, 2.9717391304347824)","(11.0, 23.0, 21.72222222222222)","(11.0, 25.0, 21.75)"
08-12-2022 14:25:58.629653,"(2.9, 4.2, 3.7)","(91.0, 650.0, 570.7142857142858)","(2.8, 4.2, 3.59)","(13.0, 29.0, 25.0)","(2.9, 3.5, 2.9717391304347824)","(11.0, 23.0, 21.72222222222222)","(11.0, 25.0, 21.75)"
08-12-2022 14:25:59.770743,"(2.9, 4.2, 3.7)","(91.0, 650.0, 570.7142857142858)","(2.8, 4.2, 3.59)","(13.0, 29.0, 25.0)","(2.9, 3.5, 2.9717391304347824)","(11.0, 23.0, 21.72222222222222)","(11.0, 25.0, 21.75)"
08-12-2022 14:26:00.943122,"(2.9, 4.2, 3.7)","(91.0, 650.0, 570.7142857142858)","(2.8, 4.2, 3.59)","(13.0, 29.0, 25.0)","(2.9, 3.5, 2.9717391304347824)","(11.0, 23.0, 21.72222222222222)","(11.0, 25.0, 21.75)"
08-12-2022 14:26:02.009529,"(2.9, 4.2, 3.7)","(91.0, 650.0, 570.7142857142858)","(2.8, 4.2, 3.59)","(13.0, 29.0, 25.0)","(2.9, 3.5, 2.9717391304347824)","(11.0, 23.0, 21.72222222222222)","(11.0, 25.0, 21.75)"
08-12-2022 14:26:03.208948,"(2.9, 4.2, 3.7)","(91.0, 650.0, 570.7142857142858)","(2.8, 4.2, 3.59)","(13.0, 29.0, 25.0)","(2.9, 3.5, 2.9717391304347824)","(11.0, 23.0, 21.72222222222222)","(11.0, 25.0, 21.75)"
08-12-2022 14:26:04.338894,"(2.9, 4.2, 3.7)","(91.0, 650.0, 570.7142857142858)","(2.8, 4.2, 3.59)","(13.0, 29.0, 25.0)","(2.9, 3.5, 2.9717391304347824)","(11.0, 23.0, 21.72222222222222)","(11.0, 25.0, 21.75)"
08-12-2022 14:26:05.543092,"(2.9, 4.2, 3.7)","(91.0, 650.0, 570.7142857142858)","(2.8, 4.2, 3.59)","(13.0, 29.0, 25.0)","(2.9, 3.5, 2.9717391304347824)","(11.0, 23.0, 21.72222222222222)","(11.0, 25.0, 21.75)"
08-12-2022 14:26:06.641430,"(2.9, 4.2, 3.7)","(91.0, 650.0, 570.7142857142858)","(2.8, 4.2, 3.59)","(13.0, 29.0, 25.0)","(2.9, 3.5, 2.9717391304347824)","(11.0, 23.0, 21.72222222222222)","(11.0, 25.0, 21.75)"
08-12-2022 14:26:07.746739,"(2.9, 4.2, 3.7)","(91.0, 650.0, 570.7142857142858)","(2.8, 4.2, 3.59)","(13.0, 29.0, 25.0)","(2.9, 3.5, 2.9717391304347824)","(11.0, 23.0, 21.72222222222222)","(11.0, 25.0, 21.75)"
08-12-2022 14:26:08.926572,"(2.9, 4.2, 3.7)","(91.0, 650.0, 570.7142857142858)","(2.8, 4.2, 3.59)","(13.0, 29.0, 25.0)","(2.9, 3.5, 2.9717391304347824)","(11.0, 23.0, 21.72222222222222)","(11.0, 25.0, 21.75)"
08-12-2022 14:26:10.204779,"(2.9, 4.2, 3.7)","(91.0, 650.0, 570.7142857142858)","(2.8, 4.2, 3.59)","(13.0, 29.0, 25.0)","(2.9, 3.5, 2.9717391304347824)","(11.0, 23.0, 21.72222222222222)","(11.0, 25.0, 21.75)"
08-12-2022 14:26:11.548583,"(2.9, 4.2, 3.7)","(91.0, 650.0, 570.7142857142858)","(2.8, 4.2, 3.59)","(13.0, 29.0, 25.0)","(2.9, 3.5, 2.9717391304347824)","(11.0, 23.0, 21.72222222222222)","(11.0, 25.0, 21.75)"
08-12-2022 14:26:12.785151,"(2.9, 4.2, 3.7)","(91.0, 650.0, 570.7142857142858)","(2.8, 4.2, 3.59)","(13.0, 29.0, 25.0)","(2.9, 3.5, 2.9717391304347824)","(11.0, 23.0, 21.72222222222222)","(11.0, 25.0, 21.75)"
08-12-2022 14:26:13.833711,"(2.9, 4.2, 3.7)","(91.0, 650.0, 570.7142857142858)","(2.8, 4.2, 3.59)","(13.0, 29.0, 25.0)","(2.9, 3.5, 2.9717391304347824)","(11.0, 23.0, 21.72222222222222)","(11.0, 25.0, 21.75)"
08-12-2022 14:26:14.961621,"(2.9, 4.2, 3.7)","(91.0, 650.0, 570.7142857142858)","(2.8, 4.2, 3.59)","(13.0, 29.0, 25.0)","(2.9, 3.5, 2.9717391304347824)","(11.0, 23.0, 21.72222222222222)","(11.0, 25.0, 21.75)"
08-12-2022 14:26:16.126008,"(2.9, 4.2, 3.7)","(91.0, 650.0, 570.7142857142858)","(2.8, 4.2, 3.59)","(13.0, 29.0, 25.0)","(2.9, 3.5, 2.9717391304347824)","(11.0, 23.0, 21.72222222222222)","(11.0, 25.0, 21.75)"
08-12-2022 14:26:17.343392,"(2.9, 4.2, 3.7)","(91.0, 650.0, 570.7142857142858)","(2.8, 4.2, 3.59)","(13.0, 29.0, 25.0)","(2.9, 3.5, 2.9717391304347824)","(11.0, 23.0, 21.72222222222222)","(11.0, 25.0, 21.75)"
08-12-2022 14:26:18.519220,"(2.9, 4.2, 3.7)","(91.0, 650.0, 570.7142857142858)","(2.8, 4.2, 3.59)","(13.0, 29.0, 25.0)","(2.9, 3.5, 2.9717391304347824)","(11.0, 23.0, 21.72222222222222)","(11.0, 25.0, 21.75)"
08-12-2022 14:26:19.674078,"(2.9, 4.2, 3.7)","(91.0, 650.0, 570.7142857142858)","(2.8, 4.2, 3.59)","(13.0, 29.0, 25.0)","(2.9, 3.5, 2.9717391304347824)","(11.0, 23.0, 21.72222222222222)","(11.0, 25.0, 21.75)"
08-12-2022 14:26:20.757830,"(2.9, 4.2, 3.7)","(91.0, 650.0, 570.7142857142858)","(2.8, 4.2, 3.59)","(13.0, 29.0, 25.0)","(2.9, 3.5, 2.9717391304347824)","(11.0, 23.0, 21.72222222222222)","(11.0, 25.0, 21.75)"
08-12-2022 14:26:21.927086,"(2.9, 4.2, 3.7)","(91.0, 650.0, 570.7142857142858)","(2.8, 4.2, 3.59)","(13.0, 29.0, 25.0)","(2.9, 3.5, 2.9717391304347824)","(11.0, 23.0, 21.72222222222222)","(11.0, 25.0, 21.75)"
08-12-2022 14:26:23.106743,"(2.9, 4.2, 3.7)","(91.0, 650.0, 570.7142857142858)","(2.8, 4.2, 3.59)","(13.0, 29.0, 25.0)","(2.9, 3.5, 2.9717391304347824)","(11.0, 23.0, 21.72222222222222)","(11.0, 25.0, 21.75)"
08-12-2022 14:26:24.256718,"(2.9, 4.2, 3.7)","(91.0, 650.0, 570.7142857142858)","(2.8, 4.2, 3.59)","(13.0, 29.0, 25.0)","(2.9, 3.5, 2.9717391304347824)","(11.0, 23.0, 21.72222222222222)","(11.0, 25.0, 21.75)"
08-12-2022 14:26:25.287783,"(2.9, 4.2, 3.7)","(91.0, 650.0, 570.7142857142858)","(2.8, 4.2, 3.59)","(13.0, 29.0, 25.0)","(2.9, 3.5, 2.9717391304347824)","(11.0, 23.0, 21.72222222222222)","(11.0, 25.0, 21.75)"
08-12-2022 14:26:26.376326,"(2.9, 4.2, 3.7)","(91.0, 650.0, 570.7142857142858)","(2.8, 4.2, 3.59)","(13.0, 29.0, 25.0)","(2.9, 3.5, 2.9717391304347824)","(11.0, 23.0, 21.72222222222222)","(11.0, 25.0, 21.75)"
08-12-2022 14:26:27.549078,"(2.9, 4.2, 3.7)","(91.0, 650.0, 570.7142857142858)","(2.8, 4.2, 3.59)","(13.0, 29.0, 25.0)","(2.9, 3.5, 2.9717391304347824)","(11.0, 23.0, 21.72222222222222)","(11.0, 25.0, 21.75)"
08-12-2022 14:26:28.764853,"(2.9, 4.2, 3.7)","(91.0, 650.0, 570.7142857142858)","(2.8, 4.2, 3.59)","(13.0, 29.0, 25.0)","(2.9, 3.5, 2.9717391304347824)","(11.0, 23.0, 21.72222222222222)","(11.0, 25.0, 21.75)"
08-12-2022 14:26:29.986231,"(2.9, 4.2, 3.7)","(91.0, 650.0, 570.7142857142858)","(2.8, 4.2, 3.59)","(13.0, 29.0, 25.0)","(2.9, 3.5, 2.9717391304347824)","(11.0, 23.0, 21.72222222222222)","(11.0, 25.0, 21.75)"
08-12-2022 14:26:30.963440,"(2.9, 4.2, 3.7)","(91.0, 650.0, 570.7142857142858)","(2.8, 4.2, 3.59)","(13.0, 29.0, 25.0)","(2.9, 3.5, 2.9717391304347824)","(11.0, 23.0, 21.72222222222222)","(11.0, 25.0, 21.75)"
08-12-2022 14:26:32.108852,"(2.9, 4.2, 3.7)","(91.0, 650.0, 570.7142857142858)","(2.8, 4.2, 3.59)","(13.0, 29.0, 25.0)","(2.9, 3.5, 2.9717391304347824)","(11.0, 23.0, 21.72222222222222)","(11.0, 25.0, 21.75)"
08-12-2022 14:26:33.299975,"(2.9, 4.2, 3.7)","(91.0, 650.0, 570.7142857142858)","(2.8, 4.2, 3.59)","(13.0, 29.0, 25.0)","(2.9, 3.5, 2.9717391304347824)","(11.0, 23.0, 21.72222222222222)","(11.0, 25.0, 21.75)"
08-12-2022 14:26:34.574611,"(2.9, 4.2, 3.7)","(91.0, 650.0, 570.7142857142858)","(2.8, 4.2, 3.59)","(13.0, 29.0, 25.0)","(2.9, 3.5, 2.9717391304347824)","(11.0, 23.0, 21.72222222222222)","(11.0, 25.0, 21.75)"
08-12-2022 14:26:35.628484,"(2.9, 4.2, 3.7)","(91.0, 650.0, 570.7142857142858)","(2.8, 4.2, 3.59)","(13.0, 29.0, 25.0)","(2.9, 3.5, 2.9717391304347824)","(11.0, 23.0, 21.72222222222222)","(11.0, 25.0, 21.75)"
08-12-2022 14:26:36.753769,"(2.9, 4.2, 3.7)","(91.0, 650.0, 570.7142857142858)","(2.8, 4.2, 3.59)","(13.0, 29.0, 25.0)","(2.9, 3.5, 2.9717391304347824)","(11.0, 23.0, 21.72222222222222)","(11.0, 25.0, 21.75)"
08-12-2022 14:26:37.965106,"(2.9, 4.2, 3.7)","(91.0, 650.0, 570.7142857142858)","(2.8, 4.2, 3.59)","(13.0, 29.0, 25.8)","(2.9, 3.5, 2.9717391304347824)","(11.0, 23.0, 21.72222222222222)","(11.0, 25.0, 22.4)"
08-12-2022 14:26:39.163757,"(2.9, 4.2, 3.7)","(91.0, 650.0, 570.7142857142858)","(2.8, 4.2, 3.59)","(13.0, 29.0, 25.8)","(2.9, 3.5, 2.9717391304347824)","(11.0, 23.0, 21.72222222222222)","(11.0, 25.0, 22.4)"
08-12-2022 14:26:40.341095,"(2.9, 4.2, 3.7)","(91.0, 650.0, 570.7142857142858)","(2.8, 4.2, 3.59)","(13.0, 29.0, 25.8)","(2.9, 3.5, 2.9717391304347824)","(11.0, 23.0, 21.72222222222222)","(11.0, 25.0, 22.4)"
08-12-2022 14:26:41.398651,"(2.9, 4.2, 3.7)","(91.0, 650.0, 570.7142857142858)","(2.8, 4.2, 3.59)","(13.0, 29.0, 25.8)","(2.9, 3.5, 2.9717391304347824)","(11.0, 23.0, 21.72222222222222)","(11.0, 25.0, 22.4)"
08-12-2022 14:26:42.590103,"(2.9, 4.2, 3.7)","(91.0, 650.0, 570.7142857142858)","(2.8, 4.2, 3.59)","(13.0, 29.0, 25.8)","(2.9, 3.5, 2.9717391304347824)","(11.0, 23.0, 21.72222222222222)","(11.0, 25.0, 22.4)"
08-12-2022 14:26:43.779264,"(2.9, 4.2, 3.7)","(91.0, 650.0, 570.7142857142858)","(2.8, 4.2, 3.59)","(13.0, 29.0, 25.8)","(2.9, 3.5, 2.9717391304347824)","(11.0, 23.0, 21.72222222222222)","(11.0, 25.0, 22.4)"
08-12-2022 14:26:44.864980,"(2.9, 4.2, 3.7)","(91.0, 650.0, 570.7142857142858)","(2.8, 4.2, 3.59)","(13.0, 29.0, 25.8)","(2.9, 3.5, 2.9717391304347824)","(11.0, 23.0, 21.72222222222222)","(11.0, 25.0, 22.4)"
08-12-2022 14:26:46.011112,"(2.9, 4.2, 3.7)","(91.0, 650.0, 570.7142857142858)","(2.8, 4.2, 3.59)","(13.0, 29.0, 25.8)","(2.9, 3.5, 2.9717391304347824)","(11.0, 23.0, 21.72222222222222)","(11.0, 25.0, 22.4)"
08-12-2022 14:26:47.181487,"(2.9, 4.2, 3.7)","(91.0, 650.0, 570.7142857142858)","(2.8, 4.2, 3.59)","(13.0, 29.0, 25.8)","(2.9, 3.5, 2.9717391304347824)","(11.0, 23.0, 21.72222222222222)","(11.0, 25.0, 22.4)"
08-12-2022 14:26:48.447511,"(2.9, 4.2, 3.7)","(91.0, 650.0, 570.7142857142858)","(2.8, 4.2, 3.59)","(13.0, 29.0, 25.8)","(2.9, 3.5, 2.9717391304347824)","(11.0, 23.0, 21.72222222222222)","(11.0, 25.0, 22.4)"
08-12-2022 14:26:49.650297,"(2.9, 4.2, 3.7)","(91.0, 650.0, 570.7142857142858)","(2.8, 4.2, 3.59)","(13.0, 29.0, 25.8)","(2.9, 3.5, 2.9717391304347824)","(11.0, 23.0, 21.72222222222222)","(11.0, 25.0, 22.4)"
08-12-2022 14:26:50.887898,"(2.9, 4.2, 3.7)","(91.0, 650.0, 570.7142857142858)","(2.8, 4.2, 3.59)","(13.0, 29.0, 25.8)","(2.9, 3.5, 2.9717391304347824)","(11.0, 23.0, 21.72222222222222)","(11.0, 25.0, 22.4)"
08-12-2022 14:26:52.064494,"(2.9, 4.2, 3.7)","(91.0, 650.0, 570.7142857142858)","(2.8, 4.2, 3.59)","(13.0, 29.0, 25.8)","(2.9, 3.5, 2.9717391304347824)","(11.0, 23.0, 21.72222222222222)","(11.0, 25.0, 22.4)"
08-12-2022 14:26:53.283601,"(2.9, 4.2, 3.7)","(91.0, 650.0, 570.7142857142858)","(2.8, 4.2, 3.59)","(13.0, 29.0, 25.8)","(2.9, 3.5, 2.9717391304347824)","(11.0, 23.0, 21.72222222222222)","(11.0, 25.0, 22.4)"
08-12-2022 14:26:54.517038,"(2.9, 4.2, 3.7)","(91.0, 650.0, 570.7142857142858)","(2.8, 4.2, 3.59)","(13.0, 29.0, 25.8)","(2.9, 3.5, 2.9717391304347824)","(11.0, 23.0, 21.72222222222222)","(11.0, 25.0, 22.4)"
08-12-2022 14:26:55.753331,"(2.9, 4.2, 3.7)","(91.0, 650.0, 570.7142857142858)","(2.8, 4.2, 3.59)","(13.0, 29.0, 25.8)","(2.9, 3.5, 2.9717391304347824)","(11.0, 23.0, 21.72222222222222)","(11.0, 25.0, 22.4)"
08-12-2022 14:26:56.957840,"(2.9, 4.2, 3.7)","(91.0, 650.0, 570.7142857142858)","(2.8, 4.2, 3.59)","(13.0, 29.0, 25.8)","(2.9, 3.5, 2.9717391304347824)","(11.0, 23.0, 21.72222222222222)","(11.0, 25.0, 22.4)"
08-12-2022 14:26:58.150900,"(2.9, 4.2, 3.7)","(91.0, 650.0, 570.7142857142858)","(2.8, 4.2, 3.59)","(13.0, 29.0, 25.8)","(2.9, 3.5, 2.9717391304347824)","(11.0, 23.0, 21.72222222222222)","(11.0, 25.0, 22.4)"
08-12-2022 14:26:59.301023,"(2.9, 4.2, 3.7)","(91.0, 650.0, 570.7142857142858)","(2.8, 4.2, 3.59)","(13.0, 29.0, 25.8)","(2.9, 3.5, 2.9717391304347824)","(11.0, 23.0, 21.72222222222222)","(11.0, 25.0, 22.4)"
08-12-2022 14:27:00.523561,"(2.9, 4.2, 3.7)","(91.0, 650.0, 570.7142857142858)","(2.8, 4.2, 3.59)","(13.0, 29.0, 25.8)","(2.9, 3.5, 3.018811881188119)","(11.0, 23.0, 21.72222222222222)","(11.0, 25.0, 22.4)"
08-12-2022 14:27:01.811991,"(2.9, 4.2, 3.7)","(91.0, 650.0, 570.7142857142858)","(2.8, 4.2, 3.59)","(13.0, 29.0, 25.8)","(2.9, 3.5, 3.018811881188119)","(11.0, 23.0, 21.72222222222222)","(11.0, 25.0, 22.4)"
08-12-2022 14:27:03.018586,"(2.9, 4.2, 3.7)","(91.0, 650.0, 570.7142857142858)","(2.8, 4.2, 3.59)","(13.0, 29.0, 25.8)","(2.9, 3.5, 3.018811881188119)","(11.0, 23.0, 21.72222222222222)","(11.0, 25.0, 22.4)"
