,Champagne Reactor,Feel The Thrill,Rafferty Delights,Keayang Sponge Bob,Borderline,Writeaboutchelsea,Aunty Frances,Torque Writer,Fly Cheval
08-12-2022 15:28:50.957797,"(7.5, 11.5, 9.45)","(3.4, 5.3, 4.733333333333333)","(4.8, 7.6, 6.52)","(2.9, 3.95, 3.7300000000000004)","(12.0, 25.0, 17.3)","(91.0, 280.0, 221.42857142857142)","(26.0, 55.0, 39.0)","(81.0, 210.0, 185.3846153846154)","(5.5, 9.8, 8.5)"
08-12-2022 15:28:52.209121,"(7.5, 11.5, 9.45)","(3.4, 5.3, 4.733333333333333)","(4.8, 7.6, 6.52)","(2.9, 3.95, 3.7300000000000004)","(12.0, 25.0, 17.3)","(91.0, 280.0, 221.42857142857142)","(26.0, 55.0, 39.0)","(81.0, 210.0, 185.3846153846154)","(5.5, 9.8, 8.5)"
08-12-2022 15:28:53.523414,"(7.5, 11.5, 9.45)","(3.4, 5.3, 4.733333333333333)","(4.8, 7.6, 6.52)","(2.9, 3.95, 3.7300000000000004)","(12.0, 25.0, 17.3)","(91.0, 280.0, 221.42857142857142)","(26.0, 55.0, 39.0)","(81.0, 210.0, 185.3846153846154)","(5.5, 9.8, 8.5)"
08-12-2022 15:28:54.967029,"(7.5, 11.5, 9.45)","(3.4, 5.3, 4.733333333333333)","(4.8, 7.6, 6.52)","(2.9, 3.95, 3.7300000000000004)","(12.0, 25.0, 17.3)","(91.0, 280.0, 221.42857142857142)","(26.0, 55.0, 39.0)","(81.0, 210.0, 185.3846153846154)","(5.5, 9.8, 8.5)"
08-12-2022 15:28:56.344303,"(7.5, 11.5, 9.45)","(3.4, 5.3, 4.733333333333333)","(4.8, 7.6, 6.52)","(2.9, 3.95, 3.7300000000000004)","(12.0, 25.0, 17.3)","(91.0, 280.0, 221.42857142857142)","(26.0, 55.0, 39.0)","(81.0, 210.0, 185.3846153846154)","(5.5, 9.8, 8.5)"
08-12-2022 15:28:57.695781,"(7.5, 11.5, 9.45)","(3.4, 5.3, 4.733333333333333)","(4.8, 7.6, 6.52)","(2.9, 3.95, 3.7300000000000004)","(12.0, 25.0, 17.3)","(91.0, 280.0, 221.42857142857142)","(26.0, 55.0, 39.0)","(81.0, 210.0, 185.3846153846154)","(5.5, 9.8, 8.5)"
08-12-2022 15:28:58.983224,"(7.5, 11.5, 9.45)","(3.4, 5.3, 4.733333333333333)","(4.8, 7.6, 6.52)","(2.9, 3.95, 3.7300000000000004)","(12.0, 25.0, 17.3)","(91.0, 280.0, 221.42857142857142)","(26.0, 55.0, 39.0)","(81.0, 210.0, 185.3846153846154)","(5.5, 9.8, 8.5)"
08-12-2022 15:29:00.257146,"(7.5, 11.5, 9.45)","(3.4, 5.3, 4.733333333333333)","(4.8, 7.6, 6.52)","(2.9, 3.95, 3.7300000000000004)","(12.0, 25.0, 17.3)","(91.0, 280.0, 221.42857142857142)","(26.0, 55.0, 39.0)","(81.0, 210.0, 185.3846153846154)","(5.5, 9.8, 8.5)"
08-12-2022 15:29:01.589070,"(7.5, 11.5, 9.45)","(3.4, 5.3, 4.733333333333333)","(4.8, 7.6, 6.52)","(2.9, 3.95, 3.7300000000000004)","(12.0, 25.0, 17.3)","(91.0, 280.0, 221.42857142857142)","(26.0, 55.0, 39.0)","(81.0, 210.0, 185.3846153846154)","(5.5, 9.8, 8.5)"
08-12-2022 15:29:03.105377,"(7.5, 11.5, 9.45)","(3.4, 5.3, 4.733333333333333)","(4.8, 7.6, 6.52)","(2.9, 3.95, 3.7300000000000004)","(12.0, 25.0, 17.3)","(91.0, 280.0, 221.42857142857142)","(26.0, 55.0, 39.0)","(81.0, 210.0, 185.3846153846154)","(5.5, 9.8, 8.5)"
08-12-2022 15:29:04.740573,"(7.5, 11.5, 9.45)","(3.4, 5.3, 4.733333333333333)","(4.8, 7.6, 6.52)","(2.9, 3.95, 3.7300000000000004)","(12.0, 25.0, 17.3)","(91.0, 280.0, 221.42857142857142)","(26.0, 55.0, 39.0)","(81.0, 210.0, 185.3846153846154)","(5.5, 9.8, 8.5)"
08-12-2022 15:29:06.277496,"(7.5, 11.5, 9.45)","(3.4, 5.3, 4.733333333333333)","(4.8, 7.6, 6.52)","(2.9, 3.95, 3.7300000000000004)","(12.0, 25.0, 17.3)","(91.0, 280.0, 221.42857142857142)","(26.0, 55.0, 39.0)","(81.0, 210.0, 185.3846153846154)","(5.5, 9.8, 8.5)"
08-12-2022 15:29:07.838861,"(7.5, 11.5, 9.8)","(3.4, 5.3, 4.88)","(4.8, 7.6, 6.775)","(2.9, 3.95, 3.7824999999999998)","(12.0, 25.0, 17.3)","(91.0, 280.0, 237.5)","(26.0, 55.0, 31.4)","(81.0, 210.0, 187.5)","(5.5, 9.8, 8.8)"
08-12-2022 15:29:09.438644,"(7.5, 11.0, 9.8)","(3.4, 5.2, 4.88)","(4.8, 7.4, 6.775)","(2.9, 3.9, 3.7824999999999998)","(12.0, 25.0, 17.3)","(91.0, 270.0, 237.5)","(26.0, 65.0, 31.4)","(81.0, 200.0, 187.5)","(5.5, 9.6, 8.8)"
08-12-2022 15:29:11.028000,"(7.5, 11.0, 9.8)","(3.4, 5.2, 4.88)","(4.8, 7.4, 6.775)","(2.9, 3.9, 3.7824999999999998)","(12.0, 25.0, 17.3)","(91.0, 270.0, 237.5)","(26.0, 65.0, 31.4)","(81.0, 200.0, 187.5)","(5.5, 9.6, 8.8)"
08-12-2022 15:29:12.540416,"(7.5, 11.0, 9.8)","(3.4, 5.2, 4.88)","(4.8, 7.4, 6.775)","(2.9, 3.9, 3.7824999999999998)","(12.0, 25.0, 17.3)","(91.0, 270.0, 237.5)","(26.0, 65.0, 31.4)","(81.0, 200.0, 187.5)","(5.5, 9.6, 8.8)"
08-12-2022 15:29:13.971244,"(7.5, 11.0, 9.8)","(3.4, 5.2, 4.88)","(4.8, 7.4, 6.775)","(2.9, 3.9, 3.7824999999999998)","(12.0, 25.0, 17.3)","(91.0, 270.0, 237.5)","(26.0, 65.0, 31.4)","(81.0, 200.0, 187.5)","(5.5, 9.6, 8.8)"
08-12-2022 15:29:15.389477,"(7.5, 11.0, 9.8)","(3.4, 5.2, 4.88)","(4.8, 7.4, 6.775)","(2.9, 3.9, 3.652222222222222)","(12.0, 25.0, 17.3)","(91.0, 270.0, 237.5)","(26.0, 65.0, 31.4)","(81.0, 200.0, 187.5)","(5.5, 9.6, 8.3)"
08-12-2022 15:29:16.747451,"(7.5, 11.0, 9.8)","(3.4, 5.2, 4.88)","(4.8, 7.4, 6.775)","(2.9, 3.85, 3.652222222222222)","(12.0, 25.0, 17.3)","(91.0, 270.0, 237.5)","(26.0, 65.0, 31.4)","(81.0, 200.0, 187.5)","(5.5, 9.4, 8.3)"
08-12-2022 15:29:18.193565,"(7.5, 11.0, 9.8)","(3.4, 5.2, 4.88)","(4.8, 7.4, 6.775)","(2.9, 3.85, 3.652222222222222)","(12.0, 25.0, 17.3)","(91.0, 270.0, 237.5)","(26.0, 65.0, 31.4)","(81.0, 200.0, 187.5)","(5.5, 9.4, 8.3)"
08-12-2022 15:29:19.637349,"(7.5, 11.0, 9.8)","(3.4, 5.2, 4.88)","(4.8, 7.4, 6.775)","(2.9, 3.85, 3.256666666666667)","(12.0, 25.0, 17.3)","(91.0, 270.0, 237.5)","(26.0, 65.0, 31.4)","(81.0, 200.0, 187.5)","(5.5, 9.4, 8.3)"
08-12-2022 15:29:21.047827,"(7.5, 11.0, 9.8)","(3.4, 5.2, 4.88)","(4.8, 7.4, 6.775)","(2.9, 3.85, 3.256666666666667)","(12.0, 25.0, 17.3)","(91.0, 270.0, 237.5)","(26.0, 65.0, 31.4)","(81.0, 200.0, 187.5)","(5.5, 9.4, 8.3)"
08-12-2022 15:29:22.355018,"(7.5, 11.0, 9.8)","(3.4, 5.2, 4.88)","(4.8, 7.4, 6.775)","(2.9, 3.85, 3.256666666666667)","(12.0, 25.0, 17.3)","(91.0, 270.0, 237.5)","(26.0, 65.0, 31.4)","(81.0, 200.0, 187.5)","(5.5, 9.4, 8.3)"
08-12-2022 15:29:23.694549,"(7.5, 11.0, 9.8)","(3.4, 5.2, 4.88)","(4.8, 7.4, 6.775)","(2.9, 3.85, 3.256666666666667)","(12.0, 25.0, 17.3)","(91.0, 270.0, 237.5)","(26.0, 65.0, 31.4)","(81.0, 200.0, 187.5)","(5.5, 9.4, 8.3)"
08-12-2022 15:29:25.214222,"(7.5, 11.0, 8.95)","(3.4, 5.1, 4.6)","(4.8, 7.2, 6.28)","(2.9, 3.85, 3.256666666666667)","(12.0, 25.0, 17.3)","(91.0, 270.0, 237.5)","(26.0, 65.0, 31.4)","(81.0, 200.0, 187.5)","(5.5, 9.4, 8.3)"
08-12-2022 15:29:26.682662,"(7.5, 10.5, 8.95)","(3.4, 5.1, 4.6)","(4.8, 7.2, 6.28)","(2.9, 3.85, 3.256666666666667)","(12.0, 25.0, 17.3)","(91.0, 270.0, 237.5)","(26.0, 65.0, 31.4)","(81.0, 200.0, 187.5)","(5.5, 9.4, 8.3)"
08-12-2022 15:29:28.128014,"(7.5, 10.5, 8.95)","(3.4, 5.1, 4.6)","(4.8, 7.2, 6.28)","(2.9, 3.85, 3.256666666666667)","(12.0, 25.0, 17.3)","(91.0, 270.0, 237.5)","(26.0, 65.0, 31.4)","(81.0, 200.0, 187.5)","(5.5, 9.4, 8.3)"
08-12-2022 15:29:29.631802,"(7.5, 10.5, 8.95)","(3.4, 5.1, 4.6)","(4.8, 7.2, 6.28)","(2.8, 3.85, 3.256666666666667)","(12.0, 25.0, 17.3)","(81.0, 270.0, 237.5)","(26.0, 65.0, 31.4)","(71.0, 200.0, 187.5)","(6.0, 9.4, 8.3)"
08-12-2022 15:29:31.139941,"(7.5, 10.5, 8.95)","(3.4, 5.1, 4.6)","(4.8, 7.2, 6.28)","(2.8, 3.85, 3.256666666666667)","(12.0, 25.0, 17.3)","(81.0, 270.0, 237.5)","(26.0, 65.0, 31.4)","(71.0, 200.0, 187.5)","(6.0, 9.4, 8.3)"
08-12-2022 15:29:32.656710,"(7.5, 10.5, 8.95)","(3.4, 5.1, 4.6)","(4.8, 7.2, 6.28)","(2.8, 3.85, 3.256666666666667)","(12.0, 25.0, 17.3)","(81.0, 270.0, 237.5)","(26.0, 65.0, 31.4)","(71.0, 200.0, 187.5)","(6.0, 9.4, 8.3)"
08-12-2022 15:29:34.129216,"(7.5, 10.5, 8.95)","(3.4, 5.1, 4.6)","(4.8, 7.2, 6.28)","(2.8, 3.85, 3.256666666666667)","(12.0, 25.0, 17.3)","(81.0, 270.0, 237.5)","(26.0, 65.0, 31.4)","(71.0, 200.0, 187.5)","(6.0, 9.4, 8.3)"
08-12-2022 15:29:35.541443,"(7.5, 10.5, 8.95)","(3.4, 5.1, 4.6)","(4.8, 7.2, 6.28)","(2.8, 3.85, 3.256666666666667)","(12.0, 25.0, 17.3)","(81.0, 270.0, 237.5)","(26.0, 65.0, 31.4)","(71.0, 200.0, 187.5)","(6.0, 9.4, 8.3)"
08-12-2022 15:29:36.926790,"(7.5, 10.5, 8.95)","(3.4, 5.1, 4.6)","(4.8, 7.2, 6.28)","(2.8, 3.85, 3.256666666666667)","(12.0, 25.0, 17.3)","(81.0, 270.0, 237.5)","(26.0, 65.0, 31.4)","(71.0, 200.0, 187.5)","(6.0, 9.4, 8.3)"
08-12-2022 15:29:38.275477,"(7.5, 10.5, 8.95)","(3.4, 5.1, 4.6)","(4.8, 7.2, 6.833333333333334)","(2.8, 3.85, 3.256666666666667)","(12.0, 25.0, 17.3)","(81.0, 270.0, 237.5)","(26.0, 65.0, 31.4)","(71.0, 200.0, 187.5)","(6.0, 9.4, 8.3)"
08-12-2022 15:29:39.586441,"(7.5, 10.5, 8.95)","(3.4, 5.1, 4.6)","(4.8, 7.2, 6.833333333333334)","(2.8, 3.85, 3.256666666666667)","(12.0, 25.0, 17.3)","(81.0, 270.0, 237.5)","(26.0, 65.0, 31.4)","(71.0, 200.0, 187.5)","(6.0, 9.4, 8.3)"
08-12-2022 15:29:41.049606,"(7.5, 10.5, 8.95)","(3.4, 5.1, 4.6)","(4.8, 7.2, 6.833333333333334)","(2.8, 3.85, 3.256666666666667)","(12.0, 25.0, 17.3)","(81.0, 270.0, 237.5)","(26.0, 65.0, 31.4)","(71.0, 200.0, 187.5)","(6.0, 9.4, 8.3)"
08-12-2022 15:29:42.521535,"(7.5, 10.5, 8.95)","(3.4, 5.1, 4.6)","(4.8, 7.2, 6.833333333333334)","(2.8, 3.85, 3.256666666666667)","(12.0, 25.0, 17.3)","(81.0, 270.0, 237.5)","(26.0, 65.0, 31.4)","(71.0, 200.0, 187.5)","(6.0, 9.4, 8.3)"
08-12-2022 15:29:43.993710,"(7.5, 10.5, 8.95)","(3.4, 5.1, 4.6)","(4.8, 7.2, 6.833333333333334)","(2.8, 3.85, 3.256666666666667)","(12.0, 25.0, 17.3)","(81.0, 270.0, 237.5)","(26.0, 65.0, 31.4)","(71.0, 200.0, 187.5)","(6.0, 9.4, 8.3)"
08-12-2022 15:29:45.377078,"(7.5, 10.5, 8.95)","(3.4, 5.1, 4.6)","(5.0, 7.2, 6.833333333333334)","(2.8, 3.85, 3.256666666666667)","(12.0, 25.0, 17.3)","(81.0, 270.0, 237.5)","(26.0, 65.0, 31.4)","(71.0, 200.0, 187.5)","(6.0, 9.4, 8.3)"
08-12-2022 15:29:46.721340,"(7.5, 10.5, 8.95)","(3.4, 5.1, 4.6)","(5.0, 7.2, 6.833333333333334)","(2.8, 3.85, 3.256666666666667)","(12.0, 25.0, 17.3)","(81.0, 270.0, 237.5)","(26.0, 65.0, 31.4)","(71.0, 200.0, 187.5)","(6.0, 9.4, 8.3)"
08-12-2022 15:29:48.094574,"(7.5, 10.5, 8.95)","(3.4, 5.1, 4.6)","(5.0, 7.2, 6.833333333333334)","(2.8, 3.85, 3.256666666666667)","(12.0, 25.0, 17.3)","(81.0, 270.0, 237.5)","(26.0, 65.0, 31.4)","(71.0, 200.0, 187.5)","(6.0, 9.4, 8.3)"
08-12-2022 15:29:49.573613,"(7.5, 10.5, 8.95)","(3.4, 5.1, 4.6)","(5.0, 7.2, 6.833333333333334)","(2.8, 3.85, 3.256666666666667)","(12.0, 25.0, 17.3)","(81.0, 270.0, 237.5)","(26.0, 65.0, 31.4)","(71.0, 200.0, 187.5)","(6.0, 9.4, 8.3)"
08-12-2022 15:29:51.048932,"(7.5, 10.5, 8.95)","(3.4, 5.1, 4.6)","(5.0, 7.2, 6.833333333333334)","(2.8, 3.85, 3.256666666666667)","(12.0, 25.0, 17.3)","(81.0, 270.0, 237.5)","(26.0, 65.0, 31.4)","(71.0, 200.0, 187.5)","(6.0, 9.4, 8.3)"
08-12-2022 15:29:52.512768,"(7.5, 10.5, 8.95)","(3.4, 5.1, 4.6)","(5.0, 7.2, 6.833333333333334)","(2.8, 3.85, 3.256666666666667)","(12.0, 25.0, 17.3)","(81.0, 270.0, 237.5)","(26.0, 65.0, 31.4)","(71.0, 200.0, 187.5)","(6.0, 9.4, 8.3)"
08-12-2022 15:29:54.100496,"(7.5, 10.5, 8.95)","(3.4, 5.1, 4.6)","(5.0, 7.2, 6.833333333333334)","(2.8, 3.85, 3.256666666666667)","(12.0, 25.0, 17.3)","(81.0, 270.0, 237.5)","(26.0, 65.0, 31.4)","(71.0, 200.0, 187.5)","(6.0, 9.4, 8.3)"
08-12-2022 15:29:55.640240,"(7.5, 10.5, 8.95)","(3.4, 5.1, 4.6)","(5.0, 7.2, 6.833333333333334)","(2.8, 3.85, 3.256666666666667)","(12.0, 25.0, 17.3)","(81.0, 270.0, 237.5)","(26.0, 65.0, 31.4)","(71.0, 200.0, 187.5)","(6.0, 9.4, 8.3)"
08-12-2022 15:29:57.280386,"(7.5, 10.5, 8.95)","(3.4, 5.1, 4.6)","(5.0, 7.2, 6.833333333333334)","(2.8, 3.85, 3.256666666666667)","(12.0, 25.0, 17.3)","(81.0, 270.0, 237.5)","(26.0, 65.0, 31.4)","(71.0, 200.0, 187.5)","(6.0, 9.4, 8.3)"
08-12-2022 15:29:58.855637,"(7.5, 10.5, 8.95)","(3.4, 5.1, 4.6)","(5.0, 7.2, 6.833333333333334)","(2.8, 3.85, 3.256666666666667)","(12.0, 25.0, 17.3)","(81.0, 270.0, 237.5)","(26.0, 65.0, 31.4)","(71.0, 200.0, 187.5)","(6.0, 9.4, 8.3)"
08-12-2022 15:30:00.638954,"(7.5, 10.5, 8.95)","(3.4, 5.1, 4.6)","(5.0, 7.2, 6.833333333333334)","(2.8, 3.85, 3.256666666666667)","(12.0, 25.0, 17.3)","(81.0, 270.0, 237.5)","(26.0, 65.0, 31.4)","(71.0, 200.0, 187.5)","(6.0, 9.4, 8.3)"
08-12-2022 15:30:02.061531,"(7.5, 10.5, 8.95)","(3.4, 5.1, 4.6)","(5.0, 7.2, 5.8)","(2.8, 3.85, 3.256666666666667)","(12.0, 25.0, 20.0)","(81.0, 270.0, 237.5)","(26.0, 65.0, 31.4)","(71.0, 200.0, 163.75)","(6.0, 9.4, 8.3)"
08-12-2022 15:30:03.412524,"(7.5, 10.5, 9.26)","(3.4, 5.1, 4.6)","(5.0, 7.2, 5.8)","(2.8, 3.85, 3.256666666666667)","(12.0, 25.0, 20.0)","(81.0, 270.0, 237.5)","(26.0, 65.0, 31.4)","(71.0, 200.0, 163.75)","(6.0, 9.4, 8.3)"
08-12-2022 15:30:04.821748,"(7.5, 10.5, 9.26)","(3.4, 5.1, 4.6)","(5.0, 7.2, 5.8)","(2.8, 3.85, 3.256666666666667)","(12.0, 25.0, 20.0)","(81.0, 270.0, 237.5)","(26.0, 65.0, 31.4)","(71.0, 200.0, 163.75)","(6.0, 9.4, 8.3)"
08-12-2022 15:30:06.274563,"(7.5, 10.5, 9.26)","(3.4, 5.1, 4.6)","(5.0, 7.2, 5.8)","(2.8, 3.85, 3.256666666666667)","(12.0, 25.0, 20.0)","(81.0, 270.0, 237.5)","(26.0, 65.0, 31.4)","(71.0, 200.0, 163.75)","(6.0, 9.4, 8.3)"
08-12-2022 15:30:07.856882,"(7.5, 10.5, 9.26)","(3.4, 5.1, 4.6)","(5.0, 7.2, 5.8)","(2.8, 3.85, 3.256666666666667)","(12.0, 25.0, 20.0)","(81.0, 270.0, 237.5)","(26.0, 65.0, 31.4)","(71.0, 200.0, 163.75)","(6.0, 9.4, 8.3)"
08-12-2022 15:30:09.319388,"(7.5, 10.5, 9.26)","(3.4, 5.1, 4.6)","(5.0, 7.2, 5.8)","(2.8, 3.85, 3.256666666666667)","(12.0, 25.0, 16.0)","(81.0, 270.0, 237.5)","(26.0, 65.0, 31.4)","(71.0, 200.0, 163.75)","(6.0, 9.4, 8.3)"
08-12-2022 15:30:10.780976,"(7.5, 10.5, 9.26)","(3.4, 5.1, 4.6)","(5.0, 7.2, 5.8)","(2.8, 3.85, 3.256666666666667)","(12.0, 25.0, 16.0)","(81.0, 270.0, 237.5)","(26.0, 65.0, 31.4)","(71.0, 200.0, 163.75)","(6.0, 9.4, 8.3)"
08-12-2022 15:30:12.167056,"(7.5, 10.5, 9.26)","(3.4, 5.1, 4.6)","(5.0, 7.2, 5.8)","(2.8, 3.85, 3.256666666666667)","(12.0, 25.0, 16.0)","(81.0, 270.0, 248.33333333333334)","(26.0, 65.0, 31.4)","(71.0, 200.0, 163.75)","(6.0, 9.4, 8.3)"
08-12-2022 15:30:13.547842,"(7.5, 10.5, 9.26)","(3.4, 5.1, 4.6)","(5.0, 7.2, 5.8)","(2.8, 3.85, 3.256666666666667)","(12.0, 25.0, 16.0)","(81.0, 270.0, 248.33333333333334)","(26.0, 65.0, 31.4)","(71.0, 200.0, 163.75)","(6.0, 9.4, 8.3)"
08-12-2022 15:30:14.953335,"(7.5, 10.5, 9.26)","(3.4, 5.1, 4.6)","(5.0, 7.2, 5.8)","(2.8, 3.85, 3.256666666666667)","(12.0, 25.0, 16.0)","(81.0, 270.0, 248.33333333333334)","(26.0, 65.0, 31.4)","(71.0, 200.0, 163.75)","(6.0, 9.4, 8.3)"
08-12-2022 15:30:16.409029,"(7.5, 10.5, 9.26)","(3.4, 5.1, 4.6)","(5.0, 7.2, 5.8)","(2.8, 3.85, 3.256666666666667)","(12.0, 25.0, 16.0)","(81.0, 270.0, 248.33333333333334)","(26.0, 65.0, 31.4)","(71.0, 200.0, 163.75)","(6.0, 9.4, 8.3)"
08-12-2022 15:30:17.823494,"(7.5, 10.5, 9.26)","(3.4, 5.1, 4.6)","(5.0, 7.2, 5.8)","(2.8, 3.85, 3.256666666666667)","(12.0, 25.0, 16.0)","(81.0, 270.0, 248.33333333333334)","(26.0, 65.0, 31.4)","(71.0, 200.0, 163.75)","(6.0, 9.4, 8.3)"
08-12-2022 15:30:19.237507,"(7.5, 10.5, 9.26)","(3.4, 5.1, 4.6)","(5.0, 7.2, 5.8)","(2.8, 3.85, 3.256666666666667)","(12.0, 25.0, 16.0)","(81.0, 270.0, 248.33333333333334)","(26.0, 65.0, 31.4)","(71.0, 200.0, 163.75)","(6.0, 9.4, 8.3)"
08-12-2022 15:30:20.739059,"(7.5, 10.5, 9.26)","(3.4, 5.1, 4.6)","(5.0, 7.2, 5.8)","(2.8, 3.85, 3.256666666666667)","(12.0, 25.0, 16.0)","(81.0, 270.0, 248.33333333333334)","(26.0, 65.0, 31.4)","(71.0, 200.0, 163.75)","(6.0, 9.4, 8.3)"
08-12-2022 15:30:22.176424,"(7.5, 10.5, 9.26)","(3.4, 5.1, 4.6)","(5.0, 7.2, 5.8)","(2.8, 3.85, 3.256666666666667)","(12.0, 25.0, 16.0)","(81.0, 270.0, 248.33333333333334)","(26.0, 65.0, 31.4)","(71.0, 200.0, 163.75)","(6.0, 9.4, 8.3)"
08-12-2022 15:30:23.643038,"(7.5, 10.5, 9.26)","(3.4, 5.1, 4.6)","(5.0, 7.2, 5.8)","(2.8, 3.85, 3.256666666666667)","(12.0, 25.0, 16.0)","(81.0, 270.0, 248.33333333333334)","(26.0, 65.0, 31.4)","(71.0, 200.0, 163.75)","(6.0, 9.4, 8.3)"
08-12-2022 15:30:25.055502,"(7.5, 10.5, 9.26)","(3.4, 5.1, 4.6)","(5.0, 7.2, 5.8)","(2.8, 3.85, 3.256666666666667)","(12.0, 25.0, 16.0)","(81.0, 270.0, 248.33333333333334)","(26.0, 65.0, 31.4)","(71.0, 200.0, 163.75)","(6.0, 9.4, 8.3)"
08-12-2022 15:30:26.568211,"(7.5, 10.5, 9.26)","(3.4, 5.1, 4.6)","(5.0, 7.2, 5.8)","(2.8, 3.85, 3.256666666666667)","(12.0, 25.0, 16.0)","(81.0, 270.0, 248.33333333333334)","(26.0, 65.0, 31.4)","(71.0, 200.0, 163.75)","(6.0, 9.4, 8.3)"
08-12-2022 15:30:27.907266,"(7.5, 10.5, 9.26)","(3.4, 5.1, 4.6)","(5.0, 7.2, 5.8)","(2.8, 3.85, 3.256666666666667)","(12.0, 25.0, 16.0)","(81.0, 270.0, 248.33333333333334)","(26.0, 65.0, 31.4)","(71.0, 200.0, 163.75)","(6.0, 9.4, 8.3)"
08-12-2022 15:30:29.274809,"(7.5, 10.5, 9.26)","(3.4, 5.1, 4.6)","(5.0, 7.2, 5.8)","(2.8, 3.85, 3.256666666666667)","(12.0, 25.0, 16.0)","(81.0, 270.0, 248.33333333333334)","(26.0, 65.0, 31.4)","(71.0, 200.0, 163.75)","(6.0, 9.4, 8.3)"
08-12-2022 15:30:30.661482,"(7.5, 10.5, 9.26)","(3.4, 5.1, 4.6)","(5.0, 7.2, 5.8)","(2.8, 3.85, 3.256666666666667)","(12.0, 25.0, 16.0)","(81.0, 270.0, 248.33333333333334)","(26.0, 65.0, 31.4)","(71.0, 200.0, 163.75)","(6.0, 9.4, 8.3)"
