,Sinister,Feisty Phoebe,Our Bright Light,Just Chai,Shadow Terror,Wilshire Boulevard
10-01-2023 20:11:18.271781,"(1.9, 2.74, 2.6844444444444444)","(10.0, 11.0, 10.65)","(4.0, 5.2, 4.771428571428571)","(4.6, 6.2, 5.825)","(41.0, 48.0, 42.0)","(7.0, 9.6, 9.120000000000001)"
10-01-2023 20:11:19.281641,"(1.9, 2.74, 2.6844444444444444)","(10.0, 13.5, 10.435714285714285)","(4.0, 5.2, 4.771428571428571)","(4.6, 6.0, 5.825)","(41.0, 48.0, 42.0)","(7.0, 9.6, 9.120000000000001)"
10-01-2023 20:11:20.273013,"(1.9, 2.74, 2.6844444444444444)","(10.0, 13.0, 10.527272727272727)","(4.0, 5.2, 4.771428571428571)","(4.6, 6.2, 5.975)","(41.0, 48.0, 42.0)","(7.0, 9.6, 9.120000000000001)"
10-01-2023 20:11:21.191984,"(1.9, 2.74, 2.6844444444444444)","(10.0, 13.0, 10.527272727272727)","(4.0, 5.2, 4.771428571428571)","(4.6, 6.2, 5.975)","(41.0, 48.0, 42.0)","(7.0, 9.6, 9.120000000000001)"
10-01-2023 20:11:22.156192,"(1.9, 2.74, 2.6844444444444444)","(10.0, 12.0, 11.04)","(4.0, 5.2, 4.771428571428571)","(4.6, 6.2, 5.975)","(41.0, 48.0, 42.0)","(7.0, 9.6, 9.120000000000001)"
10-01-2023 20:11:23.153220,"(1.9, 2.74, 2.6844444444444444)","(10.0, 12.0, 11.04)","(4.0, 5.1, 4.85)","(4.6, 6.2, 5.975)","(41.0, 48.0, 42.0)","(7.0, 9.6, 9.120000000000001)"
10-01-2023 20:11:24.081493,"(1.9, 2.74, 2.6844444444444444)","(10.0, 12.5, 11.34)","(4.0, 5.1, 4.742857142857143)","(4.6, 6.2, 5.975)","(41.0, 48.0, 42.0)","(7.0, 9.6, 9.36)"
10-01-2023 20:11:25.084771,"(1.9, 2.74, 2.6844444444444444)","(10.0, 12.5, 11.34)","(4.0, 5.1, 4.742857142857143)","(4.6, 6.2, 5.975)","(41.0, 48.0, 42.0)","(7.0, 9.6, 9.0)"
10-01-2023 20:11:25.981108,"(1.9, 2.74, 2.6844444444444444)","(10.0, 12.5, 11.34)","(4.0, 5.1, 4.742857142857143)","(4.6, 6.2, 5.975)","(41.0, 50.0, 43.0)","(7.0, 9.6, 9.0)"
10-01-2023 20:11:26.919089,"(1.9, 2.74, 2.6844444444444444)","(10.0, 12.5, 11.34)","(4.0, 5.1, 4.742857142857143)","(4.6, 6.2, 5.975)","(41.0, 50.0, 43.0)","(7.0, 9.6, 9.0)"
10-01-2023 20:11:27.948546,"(1.9, 2.74, 2.6844444444444444)","(10.0, 12.5, 11.34)","(4.0, 5.1, 4.742857142857143)","(4.6, 6.2, 5.975)","(41.0, 50.0, 43.0)","(7.0, 9.6, 9.0)"
10-01-2023 20:11:28.848847,"(1.9, 2.74, 2.6844444444444444)","(10.0, 12.5, 11.34)","(4.0, 5.1, 4.742857142857143)","(4.6, 6.2, 5.975)","(41.0, 50.0, 43.0)","(7.0, 9.6, 9.0)"
10-01-2023 20:11:29.791941,"(1.9, 2.74, 2.6844444444444444)","(10.0, 12.5, 11.34)","(4.0, 5.1, 4.742857142857143)","(4.6, 6.2, 5.975)","(41.0, 50.0, 43.0)","(7.0, 9.6, 9.0)"
10-01-2023 20:11:30.741757,"(1.9, 2.74, 2.6844444444444444)","(10.0, 12.5, 11.34)","(4.0, 5.1, 4.742857142857143)","(4.6, 6.2, 5.975)","(41.0, 50.0, 43.0)","(7.0, 9.6, 9.120000000000001)"
10-01-2023 20:11:31.740375,"(1.9, 2.74, 2.6844444444444444)","(10.0, 12.5, 11.34)","(4.0, 5.1, 4.742857142857143)","(4.6, 6.2, 5.975)","(41.0, 50.0, 43.0)","(7.0, 9.6, 9.120000000000001)"
10-01-2023 20:11:32.659019,"(1.9, 2.74, 2.6844444444444444)","(10.0, 12.5, 10.566666666666666)","(4.0, 5.1, 4.742857142857143)","(4.6, 6.2, 5.975)","(41.0, 50.0, 43.0)","(7.0, 9.6, 9.120000000000001)"
10-01-2023 20:11:33.541436,"(1.9, 2.74, 2.6844444444444444)","(10.0, 12.5, 10.566666666666666)","(4.0, 5.1, 4.742857142857143)","(4.6, 6.2, 5.975)","(41.0, 50.0, 43.0)","(7.0, 9.6, 9.120000000000001)"
10-01-2023 20:11:34.590183,"(1.9, 2.74, 2.6844444444444444)","(10.0, 12.5, 10.566666666666666)","(4.0, 5.1, 4.742857142857143)","(4.6, 6.2, 5.975)","(41.0, 55.0, 45.5)","(7.0, 9.6, 9.120000000000001)"
10-01-2023 20:11:35.531007,"(1.9, 2.74, 2.6844444444444444)","(10.0, 12.5, 10.566666666666666)","(4.0, 5.1, 4.742857142857143)","(4.6, 6.2, 5.975)","(41.0, 50.0, 40.666666666666664)","(7.0, 9.6, 9.120000000000001)"
10-01-2023 20:11:36.463180,"(1.9, 2.74, 2.6844444444444444)","(10.0, 12.5, 10.566666666666666)","(4.0, 5.1, 4.742857142857143)","(4.6, 6.2, 5.975)","(41.0, 50.0, 40.666666666666664)","(7.0, 9.6, 9.120000000000001)"
10-01-2023 20:11:37.398220,"(1.9, 2.74, 2.6844444444444444)","(10.0, 12.5, 10.566666666666666)","(4.0, 5.1, 4.742857142857143)","(4.6, 6.2, 5.975)","(41.0, 50.0, 40.666666666666664)","(7.0, 9.6, 9.342857142857143)"
10-01-2023 20:11:38.315277,"(1.9, 2.74, 2.6844444444444444)","(10.0, 12.5, 10.475000000000001)","(4.0, 5.1, 4.742857142857143)","(4.6, 6.2, 5.975)","(41.0, 50.0, 40.666666666666664)","(7.0, 9.6, 9.0)"
10-01-2023 20:11:39.284100,"(1.9, 2.74, 2.6844444444444444)","(10.0, 12.5, 10.475000000000001)","(4.0, 5.1, 5.016666666666667)","(4.6, 6.2, 5.975)","(41.0, 50.0, 40.666666666666664)","(7.0, 9.6, 9.327272727272726)"
10-01-2023 20:11:40.283956,"(1.9, 2.74, 2.6844444444444444)","(10.0, 12.5, 10.475000000000001)","(4.0, 5.1, 5.016666666666667)","(4.6, 6.2, 5.975)","(41.0, 50.0, 40.666666666666664)","(7.0, 9.6, 9.327272727272726)"
10-01-2023 20:11:41.192900,"(1.9, 2.74, 2.6844444444444444)","(10.0, 12.5, 11.3)","(4.0, 5.1, 5.016666666666667)","(4.6, 6.2, 5.975)","(41.0, 50.0, 40.666666666666664)","(7.0, 9.6, 9.327272727272726)"
10-01-2023 20:11:42.124476,"(1.9, 2.74, 2.6844444444444444)","(10.0, 12.5, 11.3)","(4.0, 5.1, 5.016666666666667)","(4.6, 6.2, 5.975)","(41.0, 50.0, 40.666666666666664)","(7.0, 9.6, 9.120000000000001)"
10-01-2023 20:11:43.098921,"(1.9, 2.76, 2.698888888888889)","(10.0, 12.5, 11.38888888888889)","(4.0, 5.1, 4.742857142857143)","(4.6, 6.2, 5.975)","(41.0, 50.0, 40.666666666666664)","(7.0, 9.6, 9.120000000000001)"
10-01-2023 20:11:44.042705,"(1.9, 2.74, 2.725714285714286)","(10.0, 12.5, 11.38888888888889)","(4.0, 5.1, 4.742857142857143)","(4.6, 6.2, 5.975)","(41.0, 50.0, 40.666666666666664)","(7.0, 9.6, 9.120000000000001)"
10-01-2023 20:11:44.947800,"(1.9, 2.74, 2.725714285714286)","(10.0, 12.5, 10.833333333333334)","(4.0, 5.1, 4.742857142857143)","(4.6, 6.2, 6.0)","(41.0, 50.0, 40.666666666666664)","(7.0, 9.6, 9.120000000000001)"
10-01-2023 20:11:45.823167,"(1.9, 2.74, 2.725714285714286)","(10.0, 12.5, 10.833333333333334)","(4.0, 5.1, 4.742857142857143)","(4.6, 6.2, 6.0)","(41.0, 50.0, 40.666666666666664)","(7.0, 9.6, 9.120000000000001)"
10-01-2023 20:11:46.722028,"(1.9, 2.74, 2.725714285714286)","(10.0, 12.5, 10.833333333333334)","(4.0, 5.1, 4.742857142857143)","(4.6, 6.2, 6.0)","(41.0, 50.0, 40.666666666666664)","(7.0, 9.6, 9.120000000000001)"
10-01-2023 20:11:47.648141,"(1.9, 2.74, 2.725714285714286)","(10.0, 12.5, 10.833333333333334)","(4.0, 5.1, 4.742857142857143)","(4.6, 6.2, 6.0)","(41.0, 50.0, 40.666666666666664)","(7.0, 9.6, 9.120000000000001)"
10-01-2023 20:11:48.559672,"(1.9, 2.74, 2.725714285714286)","(10.0, 12.5, 10.833333333333334)","(4.0, 5.1, 4.742857142857143)","(4.6, 6.2, 6.0)","(41.0, 50.0, 40.666666666666664)","(7.0, 9.6, 9.120000000000001)"
10-01-2023 20:11:49.456673,"(1.9, 2.74, 2.725714285714286)","(10.0, 12.0, 10.4)","(4.0, 5.1, 4.891666666666667)","(4.6, 6.0, 5.766666666666667)","(41.0, 50.0, 40.666666666666664)","(7.0, 9.4, 8.8)"
10-01-2023 20:11:50.336374,"(1.9, 2.74, 2.725714285714286)","(10.0, 12.0, 10.4)","(4.0, 5.1, 4.891666666666667)","(4.6, 6.0, 5.766666666666667)","(41.0, 50.0, 40.666666666666664)","(7.0, 9.4, 8.8)"
10-01-2023 20:11:51.326318,"(1.9, 2.74, 2.725714285714286)","(10.0, 12.0, 10.5)","(4.0, 5.1, 4.949999999999999)","(4.6, 6.0, 6.725)","(41.0, 50.0, 40.666666666666664)","(7.0, 9.4, 8.5)"
10-01-2023 20:11:52.276923,"(1.9, 2.74, 2.725714285714286)","(10.0, 12.0, 10.90909090909091)","(4.0, 5.1, 4.949999999999999)","(4.6, 7.2, 6.725)","(41.0, 50.0, 40.666666666666664)","(7.0, 9.4, 8.5)"
10-01-2023 20:11:53.217264,"(1.9, 2.74, 2.725714285714286)","(10.0, 12.0, 10.90909090909091)","(4.0, 5.1, 4.949999999999999)","(4.6, 7.2, 6.725)","(41.0, 50.0, 40.666666666666664)","(7.0, 9.4, 8.5)"
10-01-2023 20:11:54.185737,"(1.9, 2.76, 2.744285714285714)","(10.0, 12.0, 10.90909090909091)","(4.0, 5.1, 4.949999999999999)","(4.6, 7.2, 6.269230769230769)","(41.0, 48.0, 42.0)","(7.0, 9.2, 8.533333333333333)"
10-01-2023 20:11:55.150194,"(1.9, 2.72, 2.7071428571428573)","(10.0, 11.5, 10.65)","(4.0, 5.1, 4.949999999999999)","(4.6, 7.2, 6.725)","(41.0, 48.0, 42.0)","(7.0, 9.2, 8.533333333333333)"
10-01-2023 20:11:56.103794,"(1.9, 2.72, 2.7071428571428573)","(10.0, 11.5, 10.75)","(4.0, 5.1, 4.949999999999999)","(4.6, 7.2, 6.4399999999999995)","(41.0, 48.0, 42.0)","(7.0, 9.2, 8.366666666666665)"
10-01-2023 20:11:57.032464,"(1.9, 2.72, 2.7071428571428573)","(10.0, 11.5, 10.75)","(4.0, 5.1, 4.949999999999999)","(4.6, 7.2, 6.4399999999999995)","(41.0, 48.0, 42.0)","(7.0, 9.2, 8.366666666666665)"
10-01-2023 20:11:57.919756,"(1.9, 2.8, 2.7998214285714282)","(10.0, 11.5, 10.75)","(4.0, 5.1, 4.933333333333334)","(4.6, 5.9, 5.728571428571429)","(41.0, 48.0, 42.0)","(7.0, 9.2, 8.366666666666665)"
10-01-2023 20:11:58.896834,"(1.9, 2.86, 2.812)","(10.0, 11.5, 10.6)","(4.0, 5.0, 4.933333333333334)","(4.6, 5.8, 5.728571428571429)","(41.0, 48.0, 42.0)","(7.0, 9.2, 8.366666666666665)"
10-01-2023 20:11:59.899828,"(1.9, 2.88, 2.7843478260869565)","(10.0, 11.5, 10.6)","(4.0, 5.0, 4.933333333333334)","(4.6, 5.9, 5.75)","(41.0, 48.0, 42.0)","(7.0, 9.2, 8.366666666666665)"
10-01-2023 20:12:00.886221,"(1.9, 2.88, 2.7843478260869565)","(10.0, 11.5, 10.6)","(4.0, 5.0, 4.933333333333334)","(4.6, 5.9, 5.75)","(41.0, 48.0, 42.0)","(7.0, 9.2, 8.45)"
10-01-2023 20:12:01.740967,"(1.9, 2.88, 2.7843478260869565)","(10.0, 11.5, 10.6)","(4.0, 5.0, 4.933333333333334)","(4.6, 5.9, 5.75)","(41.0, 48.0, 42.0)","(7.0, 9.2, 8.45)"
10-01-2023 20:12:02.660660,"(1.9, 2.82, 2.79)","(10.0, 11.5, 10.771428571428572)","(4.0, 5.1, 4.9125)","(4.6, 6.0, 5.825)","(41.0, 48.0, 42.0)","(7.0, 9.2, 8.45)"
10-01-2023 20:12:03.590491,"(1.9, 2.82, 2.79)","(10.0, 11.5, 10.771428571428572)","(4.0, 5.1, 4.9125)","(4.6, 6.0, 5.825)","(41.0, 48.0, 42.0)","(7.0, 9.2, 8.45)"
10-01-2023 20:12:04.545788,"(1.9, 2.82, 2.79)","(10.0, 11.5, 10.24)","(4.0, 5.1, 5.016666666666667)","(4.6, 6.0, 5.9)","(41.0, 48.0, 45.5)","(7.0, 9.2, 8.45)"
10-01-2023 20:12:05.458434,"(1.9, 2.82, 2.79)","(10.0, 11.0, 10.2)","(4.0, 5.1, 4.9125)","(4.6, 6.0, 5.766666666666667)","(41.0, 55.0, 45.5)","(7.0, 9.2, 8.45)"
10-01-2023 20:12:06.424573,"(1.9, 2.82, 2.79)","(10.0, 11.0, 10.2)","(4.0, 5.1, 5.045454545454545)","(4.6, 6.0, 5.9)","(41.0, 55.0, 45.5)","(7.0, 9.2, 8.45)"
10-01-2023 20:12:07.388480,"(1.9, 2.82, 2.819158878504673)","(10.0, 11.0, 10.861538461538462)","(4.0, 5.1, 5.05)","(4.6, 6.8, 5.572727272727272)","(41.0, 55.0, 50.8)","(7.0, 9.2, 8.399999999999999)"
10-01-2023 20:12:08.386113,"(1.9, 2.82, 2.819158878504673)","(10.0, 11.0, 10.856)","(4.0, 5.1, 5.05)","(4.6, 6.8, 5.845454545454546)","(41.0, 55.0, 45.5)","(7.0, 9.0, 8.2)"
10-01-2023 20:12:09.365541,"(1.9, 2.82, 2.819158878504673)","(10.0, 10.5, 9.95)","(4.0, 5.1, 5.028)","(4.6, 7.0, 6.055555555555555)","(41.0, 50.0, 43.0)","(7.0, 9.0, 8.68)"
10-01-2023 20:12:10.289119,"(1.9, 2.82, 2.819158878504673)","(10.0, 10.5, 9.95)","(4.0, 5.1, 5.028)","(4.6, 7.0, 6.055555555555555)","(41.0, 50.0, 43.0)","(7.0, 9.0, 8.466666666666667)"
10-01-2023 20:12:11.261341,"(1.9, 2.82, 2.819158878504673)","(10.0, 10.5, 10.05)","(4.0, 5.1, 5.028)","(4.6, 6.8, 6.157142857142857)","(41.0, 50.0, 43.0)","(7.0, 9.0, 8.466666666666667)"
10-01-2023 20:12:12.196184,"(1.9, 2.82, 2.819158878504673)","(10.0, 10.5, 10.05)","(4.0, 5.1, 5.028)","(4.6, 6.8, 6.157142857142857)","(41.0, 48.0, 42.0)","(7.0, 9.0, 8.466666666666667)"
10-01-2023 20:12:13.070273,"(1.9, 2.76, 2.6716279069767443)","(10.0, 10.5, 10.05)","(4.0, 5.1, 5.028)","(4.6, 7.2, 6.06)","(41.0, 48.0, 42.0)","(7.0, 9.0, 8.466666666666667)"
10-01-2023 20:12:14.008827,"(1.9, 2.76, 2.670204081632653)","(10.0, 10.5, 10.05)","(4.0, 5.1, 4.8)","(4.6, 7.2, 5.990909090909091)","(41.0, 48.0, 42.0)","(7.0, 9.0, 8.466666666666667)"
10-01-2023 20:12:15.030901,"(1.9, 2.76, 2.670204081632653)","(10.0, 10.5, 10.05)","(4.0, 5.1, 4.742857142857143)","(4.6, 7.2, 6.25)","(41.0, 48.0, 42.0)","(7.0, 9.0, 8.466666666666667)"
10-01-2023 20:12:15.933956,"(1.9, 2.76, 2.670204081632653)","(10.0, 10.5, 10.06)","(4.0, 5.1, 4.742857142857143)","(4.6, 6.8, 6.254545454545454)","(41.0, 48.0, 42.0)","(7.0, 9.0, 8.466666666666667)"
10-01-2023 20:12:16.833697,"(1.9, 2.76, 2.670204081632653)","(10.0, 10.5, 10.05)","(4.0, 5.1, 4.742857142857143)","(4.6, 6.8, 6.1)","(41.0, 48.0, 42.0)","(7.0, 9.0, 8.314285714285715)"
10-01-2023 20:12:17.818256,"(1.9, 2.76, 2.670204081632653)","(10.0, 10.5, 9.857142857142858)","(4.0, 5.1, 4.742857142857143)","(4.6, 6.6, 6.05)","(41.0, 48.0, 40.0)","(7.0, 9.0, 8.314285714285715)"
10-01-2023 20:12:18.758920,"(1.9, 2.74, 2.716666666666667)","(10.0, 10.5, 9.857142857142858)","(4.0, 5.1, 4.891666666666667)","(4.6, 6.6, 6.233333333333333)","(41.0, 48.0, 40.0)","(7.0, 9.0, 8.314285714285715)"
10-01-2023 20:12:19.694746,"(1.9, 2.74, 2.677777777777778)","(10.0, 10.5, 9.857142857142858)","(4.0, 5.1, 4.891666666666667)","(4.6, 6.6, 6.38)","(41.0, 48.0, 40.0)","(7.0, 9.0, 8.314285714285715)"
10-01-2023 20:12:20.681867,"(1.9, 2.74, 2.677777777777778)","(10.0, 10.5, 9.857142857142858)","(4.0, 5.1, 4.891666666666667)","(4.6, 6.6, 6.38)","(41.0, 48.0, 40.0)","(7.0, 9.0, 8.520000000000001)"
10-01-2023 20:12:21.639354,"(2.0, 2.74, 2.68)","(9.0, 10.5, 9.857142857142858)","(4.0, 5.1, 4.891666666666667)","(4.6, 6.6, 6.266666666666667)","(31.0, 48.0, 41.0)","(7.0, 8.8, 8.520000000000001)"
10-01-2023 20:12:22.667890,"(2.0, 2.74, 2.68)","(9.0, 10.5, 9.857142857142858)","(4.0, 5.1, 4.891666666666667)","(4.6, 6.6, 6.266666666666667)","(31.0, 46.0, 41.0)","(7.0, 8.8, 8.520000000000001)"
10-01-2023 20:12:23.719656,"(2.0, 2.74, 2.68)","(9.0, 10.5, 10.296296296296296)","(4.0, 5.1, 4.949999999999999)","(4.6, 6.6, 6.0)","(31.0, 46.0, 42.0)","(7.0, 8.8, 8.2)"
10-01-2023 20:12:24.708027,"(2.0, 2.74, 2.68)","(9.0, 10.5, 9.857142857142858)","(4.0, 5.1, 4.949999999999999)","(4.6, 6.8, 6.0)","(31.0, 46.0, 42.0)","(7.0, 8.8, 8.4)"
10-01-2023 20:12:25.561242,"(2.0, 2.74, 2.68)","(9.0, 10.5, 9.857142857142858)","(4.0, 5.1, 4.949999999999999)","(4.6, 6.8, 6.0)","(31.0, 44.0, 42.0)","(7.0, 8.8, 8.4)"
10-01-2023 20:12:26.525871,"(2.0, 2.74, 2.68)","(9.0, 10.5, 9.857142857142858)","(4.0, 5.1, 4.949999999999999)","(4.6, 7.2, 6.0)","(31.0, 44.0, 42.0)","(7.0, 8.8, 8.4)"
10-01-2023 20:12:27.488055,"(2.0, 2.74, 2.68)","(9.0, 10.5, 9.959999999999999)","(4.0, 5.1, 4.949999999999999)","(4.6, 7.2, 6.0)","(31.0, 44.0, 42.0)","(7.0, 8.8, 8.4)"
10-01-2023 20:12:28.442570,"(2.0, 2.74, 2.68)","(9.0, 10.5, 9.959999999999999)","(4.0, 5.1, 4.949999999999999)","(4.6, 7.2, 6.0)","(31.0, 44.0, 42.0)","(7.0, 8.8, 8.4)"
10-01-2023 20:12:29.438712,"(2.0, 2.74, 2.68)","(9.0, 10.5, 9.959999999999999)","(4.0, 5.1, 4.949999999999999)","(4.6, 7.2, 6.0)","(31.0, 44.0, 42.0)","(7.0, 8.8, 8.4)"
10-01-2023 20:12:30.365412,"(2.0, 2.74, 2.68)","(9.0, 10.5, 9.959999999999999)","(4.0, 5.1, 4.949999999999999)","(4.6, 7.2, 6.0)","(31.0, 44.0, 42.0)","(7.0, 8.8, 8.4)"
10-01-2023 20:12:31.278840,"(2.0, 2.74, 2.68)","(9.0, 12.0, 10.8)","(4.0, 5.1, 4.949999999999999)","(4.6, 7.2, 6.0)","(31.0, 44.0, 42.0)","(7.0, 8.8, 8.4)"
10-01-2023 20:12:32.181861,"(2.0, 2.74, 2.68)","(9.0, 12.0, 10.28888888888889)","(4.0, 5.1, 4.949999999999999)","(4.6, 7.2, 5.92)","(31.0, 44.0, 42.0)","(7.0, 8.8, 8.4)"
10-01-2023 20:12:33.100725,"(2.0, 2.74, 2.68)","(9.0, 11.5, 10.10909090909091)","(4.0, 5.1, 4.949999999999999)","(4.6, 7.2, 5.955555555555556)","(31.0, 44.0, 42.0)","(7.0, 8.8, 8.4)"
10-01-2023 20:12:34.067473,"(2.0, 2.74, 2.68)","(9.0, 11.5, 10.993103448275862)","(4.0, 5.1, 4.949999999999999)","(4.6, 7.2, 5.955555555555556)","(31.0, 44.0, 42.0)","(7.0, 9.2, 8.0)"
10-01-2023 20:12:35.069239,"(2.0, 2.74, 2.651111111111111)","(9.0, 11.5, 10.391666666666666)","(4.0, 5.1, 4.949999999999999)","(4.6, 7.2, 5.955555555555556)","(31.0, 44.0, 42.0)","(7.0, 8.8, 8.066666666666666)"
10-01-2023 20:12:36.072179,"(2.0, 2.74, 2.651111111111111)","(9.0, 11.5, 10.391666666666666)","(4.0, 5.1, 4.9125)","(4.6, 7.2, 6.582352941176471)","(31.0, 44.0, 42.0)","(7.0, 8.6, 8.066666666666666)"
10-01-2023 20:12:36.961266,"(2.0, 2.74, 2.651111111111111)","(9.0, 11.5, 10.391666666666666)","(4.0, 5.1, 4.9125)","(4.6, 7.2, 6.582352941176471)","(31.0, 44.0, 42.0)","(7.0, 8.6, 8.066666666666666)"
10-01-2023 20:12:37.959444,"(2.0, 2.74, 2.651111111111111)","(9.0, 11.5, 10.391666666666666)","(4.0, 5.1, 4.9125)","(4.6, 7.2, 6.582352941176471)","(31.0, 44.0, 39.333333333333336)","(7.0, 8.6, 8.066666666666666)"
10-01-2023 20:12:38.913719,"(2.0, 2.74, 2.651111111111111)","(9.0, 11.5, 10.17)","(4.0, 5.1, 4.9125)","(4.6, 7.2, 6.582352941176471)","(31.0, 42.0, 39.333333333333336)","(7.0, 8.6, 8.066666666666666)"
10-01-2023 20:12:39.849854,"(2.0, 2.74, 2.651111111111111)","(9.0, 11.5, 10.17)","(4.0, 5.1, 4.9125)","(4.6, 7.2, 6.582352941176471)","(31.0, 42.0, 39.333333333333336)","(7.0, 8.6, 8.066666666666666)"
10-01-2023 20:12:40.758176,"(2.0, 2.74, 2.651111111111111)","(9.0, 11.5, 10.17)","(4.0, 5.1, 4.9125)","(4.6, 7.2, 6.582352941176471)","(31.0, 42.0, 39.333333333333336)","(7.0, 8.8, 8.0)"
10-01-2023 20:12:41.599379,"(2.0, 2.74, 2.651111111111111)","(9.0, 11.5, 10.17)","(4.0, 5.1, 4.9125)","(4.6, 7.2, 6.582352941176471)","(31.0, 42.0, 39.333333333333336)","(7.0, 8.8, 8.0)"
10-01-2023 20:12:42.510562,"(2.0, 2.74, 2.651111111111111)","(9.0, 11.5, 10.030000000000001)","(4.0, 5.1, 4.9125)","(4.6, 7.2, 6.95)","(31.0, 42.0, 39.333333333333336)","(7.0, 8.8, 8.0)"
10-01-2023 20:12:43.481860,"(2.0, 2.74, 2.651111111111111)","(9.0, 11.5, 10.030000000000001)","(4.0, 5.1, 4.9125)","(4.6, 7.2, 6.95)","(31.0, 42.0, 39.142857142857146)","(7.0, 8.8, 8.0)"
10-01-2023 20:12:44.364712,"(2.0, 2.74, 2.651111111111111)","(9.0, 11.0, 10.36)","(4.0, 5.1, 4.9125)","(4.6, 7.2, 6.95)","(31.0, 42.0, 39.142857142857146)","(7.0, 8.8, 8.0)"
10-01-2023 20:12:45.331736,"(2.0, 2.74, 2.6566666666666667)","(9.0, 11.0, 10.36)","(4.0, 5.1, 4.9125)","(4.6, 7.2, 6.95)","(31.0, 42.0, 39.142857142857146)","(7.0, 8.8, 8.0)"
10-01-2023 20:12:46.318039,"(2.0, 2.74, 2.651111111111111)","(9.0, 11.0, 10.36)","(4.0, 5.1, 4.9125)","(4.6, 7.2, 6.266666666666667)","(31.0, 42.0, 39.142857142857146)","(7.0, 8.8, 8.0)"
10-01-2023 20:12:47.338877,"(2.0, 2.74, 2.651111111111111)","(9.0, 11.0, 10.2)","(4.0, 5.1, 4.9125)","(4.6, 7.2, 6.15)","(31.0, 42.0, 39.142857142857146)","(7.0, 8.8, 8.0)"
10-01-2023 20:12:48.314207,"(2.0, 2.74, 2.651111111111111)","(9.0, 11.0, 10.2)","(4.0, 5.1, 4.9125)","(4.6, 7.2, 6.36)","(31.0, 42.0, 39.142857142857146)","(7.0, 8.8, 8.028571428571428)"
10-01-2023 20:12:49.193018,"(2.0, 2.74, 2.651111111111111)","(9.0, 11.0, 10.2)","(4.0, 5.1, 4.9125)","(4.6, 7.2, 6.36)","(31.0, 42.0, 39.142857142857146)","(7.0, 8.6, 8.028571428571428)"
