,Carmelized,Lockdown Vanna,Makinlimmargaritas,Playing For Two,Golden Sally,Smokin Lady,Showthemoneyhoney,Polish The Diamond,Xposed Secret,Stryda
07-01-2023 09:55:47.184162,"(13.0, 55.0, 40.33333333333333)","(13.0, 55.0, 40.33333333333333)","(13.0, 26.0, 18.5)","(11.0, 55.0, 43.75)","(17.0, 230.0, 157.66666666666666)","(5.5, 8.6, 6.95)","(17.0, 230.0, 157.66666666666666)","(6.0, 9.6, 7.709090909090909)","(26.0, 230.0, 177.25)","(2.1, 2.84, 2.042777777777778)"
07-01-2023 09:55:48.616859,"(13.0, 55.0, 40.33333333333333)","(13.0, 55.0, 40.33333333333333)","(13.0, 26.0, 18.5)","(11.0, 55.0, 43.75)","(17.0, 230.0, 157.66666666666666)","(5.5, 8.6, 6.95)","(17.0, 230.0, 157.66666666666666)","(6.0, 9.6, 7.709090909090909)","(26.0, 230.0, 177.25)","(2.1, 2.84, 2.042777777777778)"
07-01-2023 09:55:49.988509,"(13.0, 55.0, 40.33333333333333)","(13.0, 55.0, 40.33333333333333)","(13.0, 26.0, 18.5)","(11.0, 55.0, 43.75)","(17.0, 230.0, 157.66666666666666)","(5.5, 8.6, 6.95)","(17.0, 230.0, 157.66666666666666)","(6.0, 9.6, 7.709090909090909)","(26.0, 230.0, 177.25)","(2.1, 2.84, 2.042777777777778)"
07-01-2023 09:55:51.378995,"(13.0, 55.0, 40.33333333333333)","(13.0, 55.0, 40.33333333333333)","(13.0, 26.0, 18.5)","(11.0, 55.0, 43.75)","(17.0, 230.0, 157.66666666666666)","(5.5, 8.6, 6.95)","(17.0, 230.0, 157.66666666666666)","(6.0, 9.6, 7.709090909090909)","(26.0, 230.0, 177.25)","(2.1, 2.84, 2.042777777777778)"
07-01-2023 09:55:52.729330,"(13.0, 55.0, 40.33333333333333)","(13.0, 55.0, 40.33333333333333)","(13.0, 26.0, 18.5)","(11.0, 55.0, 43.75)","(17.0, 230.0, 157.66666666666666)","(5.5, 8.6, 6.95)","(17.0, 230.0, 157.66666666666666)","(6.0, 9.6, 7.709090909090909)","(26.0, 230.0, 177.25)","(2.1, 2.84, 2.042777777777778)"
07-01-2023 09:55:54.052653,"(13.0, 55.0, 40.33333333333333)","(13.0, 55.0, 40.33333333333333)","(13.0, 26.0, 18.5)","(11.0, 55.0, 43.75)","(17.0, 230.0, 157.66666666666666)","(5.5, 8.6, 6.95)","(17.0, 230.0, 157.66666666666666)","(6.0, 9.6, 7.709090909090909)","(26.0, 230.0, 177.25)","(2.1, 2.84, 2.042777777777778)"
07-01-2023 09:55:55.321734,"(13.0, 55.0, 40.33333333333333)","(13.0, 55.0, 40.33333333333333)","(13.0, 26.0, 18.5)","(11.0, 55.0, 43.75)","(17.0, 230.0, 157.66666666666666)","(5.5, 8.6, 6.95)","(17.0, 230.0, 157.66666666666666)","(6.0, 9.6, 7.709090909090909)","(26.0, 230.0, 177.25)","(2.1, 2.84, 2.042777777777778)"
07-01-2023 09:55:56.620147,"(13.0, 55.0, 40.33333333333333)","(13.0, 55.0, 40.33333333333333)","(13.0, 26.0, 18.5)","(11.0, 55.0, 43.75)","(17.0, 230.0, 157.66666666666666)","(5.5, 8.6, 6.95)","(17.0, 230.0, 157.66666666666666)","(6.0, 9.6, 7.709090909090909)","(26.0, 230.0, 177.25)","(2.1, 2.84, 2.042777777777778)"
07-01-2023 09:55:57.936522,"(13.0, 55.0, 40.33333333333333)","(13.0, 55.0, 40.33333333333333)","(13.0, 26.0, 18.5)","(11.0, 55.0, 43.75)","(17.0, 230.0, 157.66666666666666)","(5.5, 8.6, 6.95)","(17.0, 230.0, 157.66666666666666)","(6.0, 9.6, 7.709090909090909)","(26.0, 230.0, 177.25)","(2.1, 2.84, 2.042777777777778)"
07-01-2023 09:55:59.195645,"(13.0, 55.0, 40.33333333333333)","(13.0, 55.0, 40.33333333333333)","(13.0, 26.0, 18.5)","(11.0, 55.0, 43.75)","(17.0, 230.0, 157.66666666666666)","(5.5, 8.6, 6.95)","(17.0, 230.0, 157.66666666666666)","(6.0, 9.6, 7.709090909090909)","(26.0, 230.0, 177.25)","(2.1, 2.84, 2.042777777777778)"
