,Ollie One Shot,Black Gemstone,Bountyhunter,Just Call Me Harry,Magic Nitro,Exwhygeetee,Doolittle Dazzler,Youroffal,Agent Starling
15-12-2022 12:35:17.072789,"(1.3, 2.04, 1.962)","(15.0, 26.0, 22.42857142857143)","(11.0, 19.0, 16.42857142857143)","(20.0, 30.0, 26.25)","(61.0, 140.0, 93.0)","(12.0, 16.0, 15.772727272727273)","(8.5, 11.5, 10.72857142857143)","(81.0, 240.0, 108.75)","(8.5, 11.0, 10.9)"
15-12-2022 12:35:18.484092,"(1.3, 2.0, 1.93)","(15.0, 26.0, 22.42857142857143)","(11.0, 19.0, 16.42857142857143)","(20.0, 30.0, 28.727272727272727)","(61.0, 140.0, 93.0)","(12.0, 16.0, 15.772727272727273)","(8.5, 11.5, 10.371428571428572)","(81.0, 240.0, 108.75)","(8.5, 11.0, 10.9)"
15-12-2022 12:35:19.842465,"(1.3, 2.0, 1.932)","(15.0, 26.0, 22.42857142857143)","(12.0, 19.0, 16.75)","(20.0, 30.0, 28.727272727272727)","(61.0, 140.0, 93.0)","(13.0, 16.0, 15.772727272727273)","(8.5, 11.0, 10.45)","(81.0, 240.0, 108.75)","(9.0, 11.0, 10.0)"
15-12-2022 12:35:21.120326,"(1.3, 2.0, 1.89)","(15.0, 26.0, 18.0)","(12.0, 19.0, 16.75)","(20.0, 30.0, 28.727272727272727)","(61.0, 140.0, 93.0)","(13.0, 16.0, 15.772727272727273)","(8.5, 11.0, 10.45)","(81.0, 240.0, 108.75)","(9.0, 11.0, 10.0)"
15-12-2022 12:35:22.448014,"(1.3, 2.0, 1.89)","(15.0, 26.0, 18.0)","(12.0, 19.0, 16.75)","(20.0, 30.0, 28.727272727272727)","(61.0, 140.0, 93.0)","(13.0, 16.0, 15.2)","(8.5, 11.0, 10.5)","(81.0, 240.0, 108.75)","(9.0, 11.0, 10.75)"
15-12-2022 12:35:23.630692,"(1.3, 2.0, 1.7642857142857142)","(15.0, 26.0, 18.0)","(12.0, 19.0, 16.75)","(20.0, 30.0, 28.727272727272727)","(61.0, 140.0, 93.0)","(13.0, 16.0, 15.2)","(8.5, 11.0, 10.5)","(81.0, 240.0, 108.75)","(9.0, 11.0, 10.75)"
15-12-2022 12:35:24.844677,"(1.3, 1.99, 1.8833333333333333)","(15.0, 26.0, 18.0)","(12.0, 19.0, 16.75)","(20.0, 30.0, 28.727272727272727)","(61.0, 140.0, 93.0)","(13.0, 16.0, 15.2)","(8.5, 11.0, 10.5)","(81.0, 240.0, 108.75)","(9.0, 11.0, 10.75)"
15-12-2022 12:35:26.175081,"(1.3, 1.99, 1.8833333333333333)","(15.0, 26.0, 18.0)","(12.0, 19.0, 16.75)","(20.0, 30.0, 28.727272727272727)","(61.0, 140.0, 93.0)","(13.0, 16.0, 15.2)","(8.5, 11.0, 10.4)","(81.0, 240.0, 108.75)","(9.0, 11.0, 10.75)"
15-12-2022 12:35:27.476013,"(1.3, 1.99, 1.8833333333333333)","(15.0, 26.0, 18.0)","(12.0, 19.0, 16.75)","(20.0, 30.0, 28.727272727272727)","(61.0, 140.0, 93.0)","(13.0, 16.0, 15.2)","(8.5, 11.0, 9.884615384615385)","(81.0, 240.0, 108.75)","(9.0, 11.0, 10.75)"
15-12-2022 12:35:28.679529,"(1.3, 1.99, 1.8833333333333333)","(15.0, 26.0, 18.0)","(12.0, 19.0, 16.75)","(20.0, 30.0, 29.333333333333332)","(61.0, 140.0, 93.0)","(13.0, 16.0, 15.2)","(8.5, 11.5, 10.038461538461538)","(81.0, 240.0, 108.75)","(9.0, 11.0, 10.75)"
15-12-2022 12:35:29.977007,"(1.3, 2.04, 1.855)","(15.0, 26.0, 18.0)","(12.0, 19.0, 16.75)","(20.0, 30.0, 29.333333333333332)","(61.0, 140.0, 93.0)","(13.0, 16.0, 15.2)","(8.5, 11.5, 10.038461538461538)","(81.0, 240.0, 108.75)","(9.0, 11.0, 10.75)"
15-12-2022 12:35:31.251025,"(1.3, 2.04, 1.855)","(15.0, 26.0, 18.0)","(12.0, 19.0, 16.75)","(20.0, 30.0, 29.333333333333332)","(61.0, 140.0, 93.0)","(13.0, 16.0, 15.2)","(8.5, 11.5, 10.038461538461538)","(81.0, 240.0, 108.75)","(9.0, 11.0, 10.75)"
15-12-2022 12:35:32.573158,"(1.3, 2.04, 1.983076923076923)","(15.0, 26.0, 18.0)","(12.0, 19.0, 16.75)","(20.0, 30.0, 29.333333333333332)","(61.0, 140.0, 93.0)","(13.0, 16.0, 15.2)","(8.5, 11.5, 10.038461538461538)","(81.0, 240.0, 108.75)","(9.0, 11.0, 10.75)"
15-12-2022 12:35:33.818717,"(1.3, 2.04, 1.983076923076923)","(15.0, 26.0, 18.0)","(12.0, 19.0, 16.75)","(20.0, 30.0, 26.75)","(61.0, 140.0, 93.0)","(13.0, 16.0, 15.2)","(8.5, 11.5, 10.038461538461538)","(81.0, 240.0, 108.75)","(9.0, 11.0, 10.75)"
15-12-2022 12:35:35.001314,"(1.3, 2.02, 1.7769444444444444)","(15.0, 26.0, 18.0)","(12.0, 19.0, 16.75)","(20.0, 30.0, 28.142857142857142)","(61.0, 140.0, 93.0)","(13.0, 16.0, 15.2)","(8.5, 11.5, 10.038461538461538)","(81.0, 240.0, 108.75)","(9.0, 11.0, 10.75)"
15-12-2022 12:35:36.155711,"(1.3, 2.02, 1.7769444444444444)","(15.0, 26.0, 18.0)","(12.0, 19.0, 16.75)","(20.0, 30.0, 28.142857142857142)","(61.0, 140.0, 93.0)","(13.0, 16.0, 15.2)","(8.5, 11.5, 10.038461538461538)","(81.0, 240.0, 108.75)","(9.0, 11.0, 10.75)"
15-12-2022 12:35:37.271005,"(1.3, 1.96, 1.9153846153846152)","(15.0, 26.0, 18.0)","(12.0, 19.0, 16.75)","(20.0, 30.0, 28.142857142857142)","(61.0, 140.0, 128.66666666666669)","(13.0, 16.0, 15.2)","(8.5, 11.5, 10.038461538461538)","(81.0, 240.0, 152.5)","(9.0, 11.0, 10.75)"
15-12-2022 12:35:38.509620,"(1.3, 1.96, 1.9153846153846152)","(15.0, 26.0, 18.0)","(12.0, 19.0, 17.941176470588236)","(20.0, 30.0, 28.142857142857142)","(61.0, 170.0, 164.45454545454547)","(13.0, 16.0, 15.2)","(8.5, 11.5, 10.038461538461538)","(81.0, 240.0, 134.28571428571428)","(9.0, 11.0, 10.75)"
15-12-2022 12:35:39.681837,"(1.3, 1.96, 1.8576470588235294)","(15.0, 26.0, 18.0)","(12.0, 19.0, 18.0)","(20.0, 30.0, 28.142857142857142)","(61.0, 170.0, 163.5)","(13.0, 16.0, 15.2)","(8.5, 11.5, 10.038461538461538)","(81.0, 220.0, 154.0)","(9.0, 11.0, 10.75)"
15-12-2022 12:35:40.924466,"(1.3, 1.96, 1.8576470588235294)","(15.0, 26.0, 18.0)","(12.0, 19.0, 18.105263157894736)","(20.0, 30.0, 28.142857142857142)","(61.0, 180.0, 163.5)","(13.0, 16.0, 15.2)","(8.5, 11.5, 10.038461538461538)","(81.0, 210.0, 148.0)","(9.0, 11.0, 10.75)"
15-12-2022 12:35:42.134093,"(1.3, 1.96, 1.8576470588235294)","(15.0, 26.0, 18.0)","(12.0, 19.0, 18.105263157894736)","(20.0, 30.0, 28.142857142857142)","(61.0, 180.0, 163.5)","(13.0, 16.0, 15.2)","(8.5, 11.5, 10.346153846153847)","(81.0, 200.0, 148.0)","(9.0, 11.0, 10.75)"
15-12-2022 12:35:43.411970,"(1.3, 1.96, 1.8576470588235294)","(15.0, 26.0, 18.0)","(12.0, 19.0, 18.105263157894736)","(20.0, 30.0, 28.142857142857142)","(61.0, 180.0, 163.5)","(13.0, 16.0, 15.2)","(8.5, 11.5, 10.428571428571429)","(81.0, 200.0, 148.0)","(9.0, 11.0, 10.75)"
15-12-2022 12:35:44.726398,"(1.3, 1.96, 1.75)","(15.0, 26.0, 18.0)","(12.0, 19.0, 18.105263157894736)","(20.0, 30.0, 28.142857142857142)","(61.0, 180.0, 163.5)","(13.0, 16.0, 15.2)","(8.5, 11.5, 10.428571428571429)","(81.0, 200.0, 142.0)","(9.0, 11.0, 10.8)"
15-12-2022 12:35:46.021148,"(1.3, 1.96, 1.75)","(15.0, 26.0, 18.0)","(12.0, 19.0, 16.0)","(20.0, 30.0, 23.75)","(61.0, 180.0, 163.5)","(13.0, 16.0, 15.2)","(8.5, 11.5, 10.428571428571429)","(81.0, 190.0, 142.0)","(9.0, 11.0, 10.8)"
15-12-2022 12:35:47.307101,"(1.3, 1.96, 1.75)","(15.0, 26.0, 18.0)","(12.0, 19.0, 16.0)","(20.0, 30.0, 23.75)","(61.0, 180.0, 163.5)","(13.0, 16.0, 15.2)","(8.5, 11.5, 10.428571428571429)","(81.0, 190.0, 142.0)","(9.0, 11.0, 10.836363636363636)"
15-12-2022 12:35:48.544721,"(1.3, 1.96, 1.75)","(15.0, 26.0, 18.0)","(12.0, 19.0, 16.0)","(20.0, 30.0, 23.75)","(61.0, 180.0, 163.5)","(13.0, 16.0, 15.2)","(8.5, 11.5, 10.428571428571429)","(81.0, 190.0, 142.0)","(9.0, 11.0, 10.836363636363636)"
15-12-2022 12:35:49.800480,"(1.3, 1.96, 1.75)","(15.0, 26.0, 18.0)","(12.0, 19.0, 16.0)","(20.0, 30.0, 23.75)","(61.0, 180.0, 163.5)","(13.0, 16.0, 15.2)","(8.5, 11.5, 10.428571428571429)","(81.0, 190.0, 142.0)","(9.0, 11.0, 10.733333333333334)"
15-12-2022 12:35:51.061268,"(1.3, 1.96, 1.75)","(15.0, 26.0, 18.0)","(12.0, 19.0, 16.0)","(20.0, 30.0, 23.75)","(61.0, 180.0, 163.5)","(13.0, 16.0, 15.2)","(8.5, 11.5, 10.428571428571429)","(81.0, 190.0, 182.5)","(9.0, 11.0, 10.771428571428572)"
15-12-2022 12:35:52.337976,"(1.3, 1.96, 1.75)","(15.0, 26.0, 18.0)","(12.0, 19.0, 16.0)","(20.0, 30.0, 23.75)","(61.0, 180.0, 163.5)","(13.0, 16.0, 15.2)","(8.5, 11.5, 10.428571428571429)","(81.0, 220.0, 182.5)","(9.0, 11.0, 10.771428571428572)"
15-12-2022 12:35:53.585476,"(1.3, 1.96, 1.75)","(15.0, 26.0, 18.0)","(12.0, 19.0, 16.0)","(20.0, 30.0, 23.75)","(61.0, 180.0, 163.5)","(13.0, 16.0, 15.2)","(8.5, 11.5, 10.428571428571429)","(81.0, 220.0, 182.5)","(9.0, 11.0, 10.771428571428572)"
15-12-2022 12:35:54.734732,"(1.3, 1.96, 1.75)","(15.0, 26.0, 18.0)","(12.0, 19.0, 16.0)","(20.0, 30.0, 23.75)","(61.0, 180.0, 163.5)","(13.0, 16.0, 15.2)","(8.5, 11.5, 10.428571428571429)","(81.0, 220.0, 182.5)","(9.0, 11.0, 10.771428571428572)"
15-12-2022 12:35:55.999539,"(1.3, 1.96, 1.75)","(15.0, 26.0, 18.0)","(12.0, 19.0, 16.0)","(20.0, 30.0, 23.75)","(61.0, 180.0, 163.5)","(13.0, 16.0, 15.2)","(8.5, 11.5, 10.428571428571429)","(81.0, 220.0, 182.5)","(9.0, 11.0, 10.771428571428572)"
15-12-2022 12:35:57.247514,"(1.3, 1.96, 1.75)","(15.0, 26.0, 18.0)","(12.0, 19.0, 16.0)","(20.0, 32.0, 22.333333333333332)","(61.0, 180.0, 163.5)","(13.0, 16.0, 15.2)","(8.5, 11.5, 10.428571428571429)","(81.0, 220.0, 182.5)","(9.0, 11.0, 10.771428571428572)"
15-12-2022 12:35:58.539475,"(1.3, 1.96, 1.75)","(15.0, 26.0, 18.0)","(12.0, 19.0, 16.0)","(20.0, 32.0, 22.333333333333332)","(61.0, 180.0, 163.5)","(13.0, 16.0, 15.2)","(8.5, 11.5, 10.428571428571429)","(81.0, 220.0, 182.5)","(9.0, 11.0, 10.771428571428572)"
15-12-2022 12:35:59.875811,"(1.3, 1.96, 1.75)","(15.0, 26.0, 18.0)","(12.0, 19.0, 16.0)","(20.0, 32.0, 22.333333333333332)","(61.0, 180.0, 163.5)","(13.0, 16.0, 15.2)","(8.5, 11.5, 10.428571428571429)","(81.0, 220.0, 182.5)","(9.0, 11.0, 10.771428571428572)"
15-12-2022 12:36:01.237463,"(1.3, 1.96, 1.75)","(15.0, 26.0, 18.0)","(12.0, 19.0, 16.0)","(20.0, 32.0, 22.333333333333332)","(61.0, 180.0, 163.5)","(13.0, 16.0, 15.2)","(8.5, 11.5, 10.428571428571429)","(81.0, 220.0, 182.5)","(9.0, 11.0, 10.771428571428572)"
15-12-2022 12:36:02.558587,"(1.3, 1.96, 1.75)","(15.0, 26.0, 18.0)","(12.0, 19.0, 16.0)","(20.0, 32.0, 22.333333333333332)","(61.0, 180.0, 163.5)","(13.0, 16.0, 15.2)","(8.5, 11.5, 10.428571428571429)","(81.0, 220.0, 182.5)","(9.0, 11.0, 10.771428571428572)"
15-12-2022 12:36:04.258901,"(1.3, 1.96, 1.75)","(15.0, 26.0, 18.0)","(12.0, 19.0, 16.0)","(20.0, 32.0, 22.333333333333332)","(61.0, 180.0, 163.5)","(13.0, 16.0, 15.2)","(8.5, 11.5, 10.428571428571429)","(81.0, 220.0, 182.5)","(9.0, 11.0, 10.771428571428572)"
15-12-2022 12:36:06.129121,"(1.3, 1.96, 1.75)","(15.0, 26.0, 18.0)","(12.0, 19.0, 16.0)","(20.0, 32.0, 22.333333333333332)","(61.0, 180.0, 163.5)","(13.0, 16.0, 15.2)","(8.5, 11.5, 10.428571428571429)","(81.0, 220.0, 182.5)","(9.0, 11.0, 10.771428571428572)"
15-12-2022 12:36:07.728069,"(1.3, 1.96, 1.75)","(15.0, 26.0, 18.0)","(12.0, 19.0, 16.0)","(20.0, 32.0, 22.333333333333332)","(61.0, 180.0, 163.5)","(13.0, 16.0, 15.2)","(8.5, 11.5, 10.428571428571429)","(81.0, 220.0, 182.5)","(9.0, 11.0, 10.771428571428572)"
15-12-2022 12:36:09.157024,"(1.3, 1.96, 1.75)","(15.0, 26.0, 18.0)","(12.0, 19.0, 16.0)","(20.0, 32.0, 22.333333333333332)","(61.0, 180.0, 163.5)","(13.0, 16.0, 15.2)","(8.5, 11.5, 10.428571428571429)","(81.0, 220.0, 182.5)","(9.0, 11.0, 10.771428571428572)"
15-12-2022 12:36:10.729351,"(1.3, 1.96, 1.75)","(15.0, 26.0, 18.0)","(12.0, 19.0, 16.0)","(20.0, 32.0, 22.333333333333332)","(61.0, 180.0, 163.5)","(13.0, 16.0, 15.2)","(8.5, 11.5, 10.428571428571429)","(81.0, 220.0, 182.5)","(9.0, 11.0, 10.771428571428572)"
15-12-2022 12:36:12.863828,"(1.3, 1.96, 1.75)","(15.0, 26.0, 18.0)","(12.0, 19.0, 16.0)","(20.0, 32.0, 22.333333333333332)","(61.0, 180.0, 163.5)","(13.0, 16.0, 15.2)","(8.5, 11.5, 10.428571428571429)","(81.0, 220.0, 182.5)","(9.0, 11.0, 10.771428571428572)"
15-12-2022 12:36:14.701972,"(1.3, 1.96, 1.75)","(15.0, 26.0, 18.0)","(12.0, 19.0, 16.0)","(20.0, 32.0, 29.272727272727273)","(61.0, 180.0, 163.5)","(13.0, 16.0, 15.2)","(8.5, 11.5, 10.428571428571429)","(81.0, 220.0, 182.5)","(9.0, 11.0, 10.771428571428572)"
