,Capricorn Ridge,Mr Marathon Man,Secret War,Lope De Wolf,Danish Fortune,Artful Ambition,Kingson,Time Warrior,Trygve,Mr Whitacre,The Ladies Man
07-01-2023 15:30:56.502104,"(21.0, 27.0, 26.210526315789473)","(20.0, 27.0, 25.714285714285715)","(2.9, 3.25, 3.192555438225977)","(8.0, 9.8, 9.553571428571429)","(3.4, 3.85, 3.8443877551020407)","(31.0, 34.0, 33.76190476190476)","(15.0, 18.5, 18.237704918032787)","(41.0, 55.0, 53.403361344537814)","(9.0, 11.5, 11.073630136986301)","(31.0, 40.0, 37.714285714285715)","(31.0, 44.0, 42.69230769230769)"
07-01-2023 15:30:58.442567,"(21.0, 27.0, 26.38095238095238)","(20.0, 27.0, 25.976470588235294)","(2.9, 3.2, 3.19366485013624)","(8.0, 9.6, 9.376543209876543)","(3.4, 3.85, 3.836099585062241)","(31.0, 34.0, 33.691428571428574)","(15.0, 18.5, 18.233870967741936)","(41.0, 55.0, 53.403361344537814)","(9.0, 11.5, 11.21608040201005)","(31.0, 38.0, 37.714285714285715)","(31.0, 44.0, 42.827586206896555)"
07-01-2023 15:31:00.288563,"(21.0, 27.0, 26.38095238095238)","(20.0, 26.0, 25.976470588235294)","(2.9, 3.2, 3.1917496443812237)","(8.0, 9.4, 9.368421052631579)","(3.4, 3.85, 3.8344155844155843)","(31.0, 34.0, 33.75147928994083)","(15.0, 18.5, 18.163793103448278)","(41.0, 55.0, 53.403361344537814)","(9.0, 11.5, 11.2175)","(31.0, 38.0, 37.75)","(31.0, 44.0, 42.69230769230769)"
07-01-2023 15:31:02.131970,"(21.0, 27.0, 25.88888888888889)","(20.0, 26.0, 25.91304347826087)","(2.9, 3.2, 3.1852120859965134)","(8.0, 9.6, 9.546953405017922)","(3.4, 3.85, 3.794591346153846)","(31.0, 34.0, 33.785714285714285)","(15.0, 18.5, 18.163793103448278)","(41.0, 55.0, 48.13725490196079)","(9.0, 11.5, 11.220297029702971)","(31.0, 38.0, 37.23076923076923)","(31.0, 44.0, 43.324675324675326)"
07-01-2023 15:31:03.847251,"(21.0, 26.0, 25.76)","(20.0, 26.0, 25.98)","(2.9, 3.25, 3.2077254901960788)","(8.0, 9.6, 9.651851851851852)","(3.4, 3.8, 3.7923890063424945)","(31.0, 34.0, 33.793103448275865)","(15.0, 18.5, 18.83969465648855)","(41.0, 55.0, 47.130434782608695)","(9.0, 11.5, 11.28640776699029)","(31.0, 38.0, 37.30769230769231)","(31.0, 44.0, 43.095238095238095)"
07-01-2023 15:31:05.472476,"(21.0, 27.0, 25.76)","(20.0, 26.0, 25.979591836734695)","(2.9, 3.25, 3.210049019607843)","(8.0, 9.8, 9.651851851851852)","(3.4, 3.8, 3.7919456066945605)","(31.0, 34.0, 33.78443113772455)","(15.0, 19.0, 18.85)","(41.0, 48.0, 46.92857142857143)","(9.0, 11.5, 11.289976133651551)","(31.0, 38.0, 37.25)","(31.0, 44.0, 43.095238095238095)"
07-01-2023 15:31:07.009379,"(21.0, 27.0, 25.708333333333332)","(20.0, 26.0, 25.979591836734695)","(2.9, 3.25, 3.206182795698925)","(8.0, 9.8, 9.669767441860465)","(3.4, 3.8, 3.7906693711967545)","(31.0, 34.0, 33.78443113772455)","(15.0, 19.0, 18.871681415929203)","(41.0, 48.0, 46.92857142857143)","(9.0, 11.5, 11.289976133651551)","(31.0, 38.0, 37.083333333333336)","(31.0, 44.0, 43.095238095238095)"
07-01-2023 15:31:08.606659,"(21.0, 27.0, 25.88135593220339)","(20.0, 26.0, 25.973333333333333)","(2.9, 3.25, 3.2005561172901924)","(8.0, 9.8, 9.539172749391728)","(3.4, 3.8, 3.792948717948718)","(31.0, 34.0, 33.78443113772455)","(15.0, 19.0, 18.894927536231883)","(41.0, 48.0, 47.28)","(9.0, 11.5, 11.27037037037037)","(31.0, 38.0, 35.471698113207545)","(31.0, 44.0, 43.095238095238095)"
07-01-2023 15:31:10.178912,"(21.0, 27.0, 26.070422535211268)","(20.0, 26.0, 25.973333333333333)","(2.9, 3.25, 3.200152905198777)","(8.0, 9.6, 9.545652173913043)","(3.4, 3.8, 3.791559829059829)","(31.0, 34.0, 33.63636363636363)","(15.0, 19.0, 18.89568345323741)","(41.0, 48.0, 50.88235294117647)","(9.0, 11.5, 11.273170731707317)","(31.0, 36.0, 35.49333333333333)","(31.0, 44.0, 43.095238095238095)"
07-01-2023 15:31:11.832456,"(21.0, 27.0, 26.053763440860216)","(20.0, 26.0, 25.693877551020407)","(2.9, 3.25, 3.212993421052632)","(8.0, 9.6, 9.659090909090908)","(3.4, 3.8, 3.7558823529411764)","(31.0, 34.0, 35.282051282051285)","(15.0, 19.0, 18.813218390804597)","(41.0, 55.0, 49.892857142857146)","(9.0, 11.5, 11.264556962025317)","(31.0, 36.0, 35.44827586206897)","(31.0, 44.0, 42.493506493506494)"
07-01-2023 15:31:13.491899,"(21.0, 27.0, 27.215686274509803)","(20.0, 26.0, 26.516)","(2.9, 3.25, 3.22805956258725)","(8.0, 9.8, 8.689005235602094)","(3.4, 3.8, 3.796828543111992)","(31.0, 36.0, 37.726027397260275)","(15.0, 19.0, 19.908163265306122)","(41.0, 50.0, 53.4375)","(9.0, 11.5, 11.526153846153846)","(31.0, 36.0, 37.97674418604651)","(31.0, 44.0, 43.54639175257732)"
07-01-2023 15:31:15.134332,"(21.0, 28.0, 27.421875)","(20.0, 27.0, 26.516)","(2.9, 3.25, 3.2312639821029085)","(8.0, 8.8, 8.671544715447155)","(3.4, 3.8, 3.83798411122145)","(31.0, 38.0, 37.77922077922078)","(15.0, 20.0, 19.934782608695652)","(41.0, 55.0, 53.4375)","(9.0, 12.0, 11.415841584158416)","(31.0, 38.0, 38.1578947368421)","(31.0, 44.0, 43.515151515151516)"
07-01-2023 15:31:16.752256,"(21.0, 28.0, 27.421875)","(20.0, 27.0, 26.516)","(2.9, 3.25, 3.2312639821029085)","(8.0, 8.8, 8.735135135135135)","(3.4, 3.85, 3.833004694835681)","(31.0, 38.0, 37.72857142857143)","(15.0, 20.0, 19.850877192982455)","(41.0, 55.0, 53.333333333333336)","(9.0, 11.5, 11.29235880398671)","(31.0, 40.0, 38.1578947368421)","(31.0, 44.0, 43.515151515151516)"
07-01-2023 15:31:18.420048,"(21.0, 28.0, 27.47457627118644)","(20.0, 27.0, 26.398671096345517)","(2.9, 3.25, 3.221306818181818)","(8.0, 8.8, 9.043589743589743)","(3.4, 3.85, 3.832421875)","(31.0, 38.0, 37.68333333333333)","(15.0, 20.0, 19.862068965517242)","(41.0, 55.0, 53.333333333333336)","(9.0, 11.5, 11.30151515151515)","(31.0, 40.0, 38.08108108108108)","(31.0, 44.0, 43.515151515151516)"
07-01-2023 15:31:20.103154,"(21.0, 28.0, 27.303370786516854)","(20.0, 27.0, 26.401337792642142)","(2.9, 3.25, 3.1914957780458386)","(8.0, 9.2, 9.237410071942445)","(3.4, 3.85, 3.7995305164319246)","(31.0, 38.0, 37.56818181818182)","(15.0, 20.0, 19.862068965517242)","(41.0, 55.0, 53.31896551724138)","(9.0, 11.5, 11.295252225519288)","(31.0, 40.0, 38.08108108108108)","(31.0, 44.0, 43.515151515151516)"
07-01-2023 15:31:21.818618,"(21.0, 28.0, 26.60674157303371)","(20.0, 27.0, 26.401337792642142)","(2.9, 3.2, 3.1842532467532467)","(8.0, 9.4, 9.289247311827957)","(3.4, 3.8, 3.862676056338028)","(31.0, 38.0, 37.6551724137931)","(15.0, 20.0, 17.002762430939228)","(41.0, 55.0, 53.19444444444444)","(9.0, 11.5, 11.269097222222221)","(31.0, 40.0, 37.375)","(31.0, 44.0, 43.59574468085106)"
07-01-2023 15:31:23.524308,"(21.0, 26.0, 25.725)","(20.0, 27.0, 26.4024024024024)","(2.9, 3.2, 3.0990489130434784)","(8.0, 9.4, 9.850602409638554)","(3.4, 3.9, 3.9046875)","(31.0, 38.0, 37.76315789473684)","(15.0, 17.5, 16.68867924528302)","(41.0, 55.0, 53.898305084745765)","(9.0, 11.5, 11.518617021276595)","(31.0, 40.0, 39.72727272727273)","(31.0, 44.0, 38.827586206896555)"
07-01-2023 15:31:25.209913,"(21.0, 26.0, 25.725)","(20.0, 27.0, 26.408536585365855)","(2.9, 3.1, 3.0610373944511458)","(8.0, 10.0, 10.059800664451828)","(3.4, 3.95, 3.8893491124260353)","(31.0, 38.0, 37.76315789473684)","(15.0, 17.0, 17.08080808080808)","(41.0, 55.0, 54.03508771929825)","(9.0, 12.0, 11.37557603686636)","(31.0, 40.0, 39.61290322580645)","(31.0, 38.0, 37.57142857142857)"
07-01-2023 15:31:26.864598,"(21.0, 26.0, 26.017543859649123)","(20.0, 27.0, 26.367123287671234)","(2.9, 3.1, 3.0611585365853657)","(8.0, 10.5, 10.05)","(3.4, 3.9, 3.8918181818181816)","(31.0, 38.0, 37.75342465753425)","(15.0, 17.5, 17.391304347826086)","(41.0, 55.0, 54.03508771929825)","(9.0, 11.5, 11.235185185185186)","(31.0, 40.0, 39.61290322580645)","(31.0, 38.0, 37.8421052631579)"
07-01-2023 15:31:28.548655,"(21.0, 27.0, 25.842105263157894)","(20.0, 27.0, 26.40463917525773)","(2.9, 3.1, 3.043778062860808)","(8.0, 10.5, 10.56936416184971)","(3.4, 3.9, 3.9046838407494144)","(31.0, 38.0, 35.02127659574468)","(14.0, 17.5, 17.641221374045802)","(41.0, 55.0, 54.09090909090909)","(9.0, 11.5, 10.879606879606879)","(31.0, 40.0, 39.69230769230769)","(31.0, 38.0, 39.142857142857146)"
07-01-2023 15:31:30.147018,"(21.0, 26.0, 26.18840579710145)","(20.0, 27.0, 26.419444444444444)","(2.9, 3.05, 3.040863890615289)","(8.0, 11.0, 10.643617021276595)","(3.4, 3.95, 3.887854889589905)","(31.0, 36.0, 35.24324324324324)","(14.0, 18.0, 17.660714285714285)","(41.0, 55.0, 54.42622950819672)","(9.0, 11.0, 10.794188861985472)","(31.0, 40.0, 41.3469387755102)","(31.0, 40.0, 38.61538461538461)"
07-01-2023 15:31:31.745723,"(21.0, 27.0, 26.243589743589745)","(20.0, 27.0, 26.458549222797927)","(2.9, 3.05, 3.0610619469026545)","(8.0, 11.0, 10.633771929824562)","(3.4, 3.9, 3.842079207920792)","(31.0, 36.0, 35.01136363636363)","(14.0, 18.0, 17.720496894409937)","(41.0, 55.0, 58.72340425531915)","(9.0, 11.0, 10.831826401446655)","(31.0, 42.0, 41.483870967741936)","(31.0, 40.0, 39.77777777777778)"
07-01-2023 15:31:33.493433,"(21.0, 27.0, 26.4)","(20.0, 27.0, 26.457142857142856)","(2.9, 3.1, 3.057265625)","(8.0, 11.0, 10.685328185328185)","(3.4, 3.85, 3.844736842105263)","(31.0, 36.0, 34.98245614035088)","(14.0, 18.0, 17.743150684931507)","(41.0, 60.0, 59.054054054054056)","(9.0, 11.0, 10.861948955916473)","(31.0, 42.0, 41.55555555555556)","(31.0, 40.0, 39.8)"
07-01-2023 15:31:35.244146,"(21.0, 27.0, 26.4)","(20.0, 27.0, 26.457142857142856)","(2.9, 3.1, 3.053767942583732)","(8.0, 11.0, 10.685328185328185)","(3.4, 3.85, 3.8361751152073733)","(31.0, 36.0, 34.97041420118343)","(14.0, 18.0, 17.720858895705522)","(41.0, 60.0, 59.03669724770642)","(9.0, 11.0, 10.84916864608076)","(31.0, 42.0, 41.696969696969695)","(31.0, 40.0, 39.8)"
07-01-2023 15:31:37.226901,"(21.0, 27.0, 26.62264150943396)","(20.0, 27.0, 26.44702842377261)","(2.9, 3.1, 3.05909780136467)","(8.0, 11.0, 10.668103448275861)","(3.4, 3.85, 3.8391846921797006)","(31.0, 36.0, 34.97041420118343)","(15.0, 18.0, 17.722560975609756)","(41.0, 60.0, 58.60655737704918)","(9.0, 11.0, 10.801339285714286)","(31.0, 42.0, 40.56)","(31.0, 40.0, 40.47887323943662)"
07-01-2023 15:31:39.427195,"(21.0, 27.0, 26.515151515151516)","(20.0, 27.0, 26.47222222222222)","(2.9, 3.1, 3.065290322580645)","(8.0, 11.0, 10.673992673992673)","(3.4, 3.85, 3.8416413373860183)","(31.0, 36.0, 35.03333333333333)","(15.0, 18.0, 17.78813559322034)","(41.0, 60.0, 58.75)","(9.0, 10.5, 10.370503597122303)","(31.0, 42.0, 40.94117647058823)","(31.0, 42.0, 40.72222222222222)"
07-01-2023 15:31:41.631625,"(21.0, 27.0, 26.65909090909091)","(20.0, 27.0, 26.483950617283952)","(2.9, 3.1, 3.0710559396605905)","(8.0, 11.0, 10.789592760180996)","(3.4, 3.85, 3.8387959866220736)","(31.0, 36.0, 35.10769230769231)","(15.0, 18.0, 17.93161094224924)","(41.0, 60.0, 58.64963503649635)","(9.0, 10.5, 10.33993399339934)","(31.0, 42.0, 41.611111111111114)","(31.0, 42.0, 41.351351351351354)"
07-01-2023 15:31:43.348065,"(21.0, 27.0, 26.666666666666668)","(20.0, 27.0, 26.457142857142856)","(2.9, 3.1, 3.068181818181818)","(8.5, 11.0, 10.878205128205128)","(3.4, 3.85, 3.836990291262136)","(31.0, 36.0, 33.47126436781609)","(15.0, 18.0, 17.91194968553459)","(41.0, 60.0, 58.09090909090909)","(9.0, 10.5, 10.4031007751938)","(31.0, 44.0, 42.08695652173913)","(31.0, 42.0, 40.3728813559322)"
07-01-2023 15:31:45.111785,"(21.0, 27.0, 26.540983606557376)","(20.0, 27.0, 26.457142857142856)","(2.8, 3.1, 3.061120996441281)","(8.5, 11.0, 10.880753138075313)","(3.4, 3.85, 3.8413913043478263)","(31.0, 34.0, 33.69934640522876)","(15.0, 18.0, 17.896284829721363)","(41.0, 60.0, 57.148148148148145)","(9.0, 10.5, 10.402941176470588)","(31.0, 44.0, 42.20408163265306)","(31.0, 42.0, 40.028169014084504)"
07-01-2023 15:31:46.774723,"(21.0, 27.0, 26.540983606557376)","(21.0, 27.0, 26.457142857142856)","(2.8, 3.1, 3.0513731825525037)","(8.5, 11.0, 10.955414012738853)","(3.4, 3.85, 3.824633431085044)","(31.0, 34.0, 33.76)","(15.0, 18.0, 17.882450331125828)","(51.0, 60.0, 54.435483870967744)","(9.0, 10.5, 10.470588235294118)","(31.0, 44.0, 42.47272727272727)","(31.0, 42.0, 40.32258064516129)"
07-01-2023 15:31:48.435781,"(21.0, 27.0, 26.71276595744681)","(21.0, 27.0, 26.498783454987834)","(2.8, 3.1, 3.042147435897436)","(8.5, 11.0, 10.869212962962964)","(3.4, 3.85, 3.830561797752809)","(31.0, 34.0, 33.88108108108108)","(15.0, 18.0, 17.8952802359882)","(51.0, 55.0, 54.2)","(9.0, 10.5, 10.476861167002012)","(31.0, 44.0, 42.77777777777778)","(31.0, 42.0, 40.89795918367347)"
07-01-2023 15:31:50.149201,"(21.0, 27.0, 26.865546218487395)","(21.0, 28.0, 28.389473684210525)","(2.8, 3.05, 3.038256484149856)","(8.5, 11.0, 10.875886524822695)","(3.4, 3.85, 3.83374613003096)","(31.0, 34.0, 33.94708994708995)","(15.0, 18.0, 17.925)","(51.0, 55.0, 54.38775510204081)","(9.0, 10.5, 10.647686832740213)","(31.0, 44.0, 42.91891891891892)","(31.0, 42.0, 41.265306122448976)"
07-01-2023 15:31:51.859802,"(21.0, 27.0, 26.879310344827587)","(21.0, 29.0, 28.18942731277533)","(2.8, 3.05, 3.0387040714995033)","(8.5, 11.0, 10.901669758812616)","(3.4, 3.85, 3.8653968253968256)","(31.0, 34.0, 33.793103448275865)","(15.0, 18.0, 17.942724458204335)","(51.0, 55.0, 54.333333333333336)","(9.0, 11.0, 10.550925925925926)","(31.0, 44.0, 42.9873417721519)","(31.0, 42.0, 41.17391304347826)"
07-01-2023 15:31:53.498537,"(21.0, 27.0, 27.788732394366196)","(21.0, 29.0, 28.230125523012553)","(2.8, 3.05, 3.0296845574387947)","(8.5, 11.0, 11.286163522012579)","(3.4, 3.9, 3.8762276785714285)","(31.0, 34.0, 33.81990521327014)","(15.0, 18.0, 18.182926829268293)","(51.0, 55.0, 54.0)","(9.0, 11.0, 10.424528301886792)","(31.0, 44.0, 43.08045977011494)","(31.0, 42.0, 40.98039215686274)"
07-01-2023 15:31:55.143803,"(21.0, 28.0, 27.805755395683452)","(21.0, 29.0, 28.133333333333333)","(2.8, 3.05, 3.035195530726257)","(8.5, 11.5, 11.303082191780822)","(3.4, 3.9, 3.8475929054054054)","(31.0, 34.0, 34.6530612244898)","(15.0, 18.5, 18.194805194805195)","(51.0, 55.0, 54.005376344086024)","(9.0, 10.5, 10.416790490341754)","(31.0, 42.0, 41.69444444444444)","(31.0, 42.0, 41.07142857142857)"
07-01-2023 15:31:56.795319,"(21.0, 28.0, 27.88372093023256)","(21.0, 29.0, 27.90366972477064)","(2.7, 3.05, 3.037260765550239)","(8.5, 11.5, 11.301980198019802)","(3.4, 3.85, 3.8716171617161717)","(31.0, 36.0, 34.31481481481482)","(15.0, 18.5, 17.871495327102803)","(51.0, 55.0, 53.962765957446805)","(9.0, 10.5, 10.380094043887148)","(31.0, 42.0, 41.67123287671233)","(31.0, 42.0, 40.98412698412698)"
07-01-2023 15:31:58.335712,"(21.0, 28.0, 27.857142857142858)","(21.0, 28.0, 28.119230769230768)","(2.7, 3.05, 2.980630169358015)","(8.5, 11.5, 11.245762711864407)","(3.4, 3.9, 3.9052588996763755)","(31.0, 36.0, 33.38392857142857)","(15.0, 18.0, 17.854111405835543)","(51.0, 55.0, 53.50993377483444)","(9.0, 10.5, 10.575851393188854)","(31.0, 44.0, 43.793103448275865)","(31.0, 42.0, 40.87719298245614)"
07-01-2023 15:31:59.912200,"(21.0, 28.0, 27.792)","(21.0, 29.0, 27.962472406181014)","(2.7, 3.0, 2.9833245183226293)","(8.5, 11.5, 11.27694610778443)","(3.4, 3.95, 3.8491673605328893)","(31.0, 34.0, 33.41025641025641)","(15.0, 18.0, 17.851807228915664)","(51.0, 55.0, 53.59375)","(9.0, 11.0, 10.496343692870202)","(31.0, 44.0, 43.82608695652174)","(31.0, 42.0, 41.41284403669725)"
07-01-2023 15:32:01.408900,"(21.0, 28.0, 25.48780487804878)","(21.0, 29.0, 28.27361563517915)","(2.7, 3.0, 2.965612244897959)","(8.5, 11.5, 11.452488687782806)","(3.4, 3.85, 3.8718867924528304)","(31.0, 34.0, 33.333333333333336)","(15.0, 18.0, 17.876590330788805)","(51.0, 55.0, 53.91891891891892)","(9.0, 10.5, 10.640575079872205)","(31.0, 46.0, 44.97872340425532)","(31.0, 42.0, 41.51923076923077)"
07-01-2023 15:32:02.919853,"(21.0, 26.0, 25.5625)","(21.0, 29.0, 28.273026315789473)","(2.7, 2.98, 2.962307692307692)","(8.5, 11.5, 11.433155080213904)","(3.4, 3.9, 3.8704778156996587)","(31.0, 34.0, 33.35514018691589)","(15.0, 18.0, 17.87169312169312)","(51.0, 55.0, 53.89655172413793)","(9.0, 11.0, 10.592391304347826)","(31.0, 46.0, 44.94505494505495)","(31.0, 42.0, 41.494949494949495)"
07-01-2023 15:32:04.426878,"(21.0, 26.0, 25.5625)","(21.0, 29.0, 28.273026315789473)","(2.7, 2.98, 2.96)","(8.5, 11.5, 11.45138888888889)","(3.4, 3.9, 3.845340909090909)","(31.0, 34.0, 33.39090909090909)","(15.0, 18.0, 17.87594936708861)","(51.0, 55.0, 53.65030674846626)","(9.0, 11.0, 11.15977961432507)","(31.0, 46.0, 44.98947368421052)","(31.0, 42.0, 41.421052631578945)"
07-01-2023 15:32:05.942885,"(21.0, 26.0, 25.735849056603772)","(21.0, 29.0, 28.29153605015674)","(2.7, 2.96, 2.9449667405764965)","(8.5, 11.5, 11.357142857142858)","(3.4, 3.85, 3.848408104196816)","(31.0, 34.0, 33.434599156118146)","(15.0, 18.0, 17.88470588235294)","(51.0, 55.0, 53.735632183908045)","(9.0, 11.5, 11.239740820734342)","(31.0, 46.0, 43.787234042553195)","(31.0, 42.0, 41.48031496062992)"
