,Sheila Sazs,Nixon Bale,Audacious Flame,Mt View Bee,Elswyk Shadow,Tangerine Sands,Our Winnie,Celtic Gypsy
07-01-2023 10:10:02.724607,"(4.2, 7.2, 5.107692307692307)","(4.2, 7.6, 5.35)","(4.4, 9.0, 7.657142857142857)","(9.0, 23.0, 11.166666666666668)","(21.0, 65.0, 39.44444444444444)","(5.5, 12.0, 6.0600000000000005)","(4.6, 8.2, 7.008510638297873)","(18.0, 48.0, 32.25)"
07-01-2023 10:10:03.800127,"(4.2, 7.2, 5.107692307692307)","(4.2, 7.6, 5.35)","(4.4, 9.0, 7.657142857142857)","(9.0, 23.0, 11.166666666666668)","(21.0, 65.0, 39.44444444444444)","(5.5, 12.0, 6.0600000000000005)","(4.6, 8.2, 7.008510638297873)","(18.0, 48.0, 32.25)"
07-01-2023 10:10:04.901838,"(4.2, 7.2, 5.107692307692307)","(4.2, 7.6, 5.35)","(4.4, 9.0, 7.657142857142857)","(9.0, 23.0, 11.166666666666668)","(21.0, 65.0, 39.44444444444444)","(5.5, 12.0, 6.0600000000000005)","(4.6, 8.2, 7.008510638297873)","(18.0, 48.0, 32.25)"
07-01-2023 10:10:06.084945,"(4.2, 7.2, 5.107692307692307)","(4.2, 7.6, 5.35)","(4.4, 9.0, 7.657142857142857)","(9.0, 23.0, 11.166666666666668)","(21.0, 65.0, 39.44444444444444)","(5.5, 12.0, 6.0600000000000005)","(4.6, 8.2, 7.008510638297873)","(18.0, 48.0, 32.25)"
07-01-2023 10:10:07.209482,"(4.2, 7.2, 5.107692307692307)","(4.2, 7.6, 5.35)","(4.4, 9.0, 7.657142857142857)","(9.0, 23.0, 11.166666666666668)","(21.0, 65.0, 39.44444444444444)","(5.5, 12.0, 6.0600000000000005)","(4.6, 8.2, 7.008510638297873)","(18.0, 48.0, 32.25)"
07-01-2023 10:10:08.379170,"(4.2, 7.2, 5.107692307692307)","(4.2, 7.6, 5.35)","(4.4, 9.0, 7.657142857142857)","(9.0, 23.0, 11.166666666666668)","(21.0, 65.0, 39.44444444444444)","(5.5, 12.0, 6.0600000000000005)","(4.6, 8.2, 7.008510638297873)","(18.0, 48.0, 32.25)"
07-01-2023 10:10:09.510153,"(4.2, 7.2, 5.107692307692307)","(4.2, 7.6, 5.35)","(4.4, 9.0, 7.657142857142857)","(9.0, 23.0, 11.166666666666668)","(21.0, 65.0, 39.44444444444444)","(5.5, 12.0, 6.0600000000000005)","(4.6, 8.2, 7.008510638297873)","(18.0, 48.0, 32.25)"
07-01-2023 10:10:10.623566,"(4.2, 7.2, 5.107692307692307)","(4.2, 7.6, 5.35)","(4.4, 9.0, 7.657142857142857)","(9.0, 23.0, 11.166666666666668)","(21.0, 65.0, 39.44444444444444)","(5.5, 12.0, 6.0600000000000005)","(4.6, 8.2, 7.008510638297873)","(18.0, 48.0, 32.25)"
07-01-2023 10:10:11.703431,"(4.2, 7.2, 5.107692307692307)","(4.2, 7.6, 5.35)","(4.4, 9.0, 7.657142857142857)","(9.0, 23.0, 11.166666666666668)","(21.0, 65.0, 39.44444444444444)","(5.5, 12.0, 6.0600000000000005)","(4.6, 8.2, 7.008510638297873)","(18.0, 48.0, 32.25)"
07-01-2023 10:10:12.772072,"(4.2, 7.2, 5.107692307692307)","(4.2, 7.6, 5.35)","(4.4, 9.0, 7.657142857142857)","(9.0, 23.0, 11.166666666666668)","(21.0, 65.0, 39.44444444444444)","(5.5, 12.0, 6.0600000000000005)","(4.6, 8.2, 7.008510638297873)","(18.0, 48.0, 32.25)"
07-01-2023 10:10:13.786054,"(4.2, 7.2, 5.107692307692307)","(4.2, 7.6, 5.35)","(4.4, 9.0, 7.657142857142857)","(9.0, 23.0, 11.166666666666668)","(21.0, 65.0, 39.44444444444444)","(5.5, 12.0, 6.0600000000000005)","(4.6, 8.2, 7.008510638297873)","(18.0, 48.0, 32.25)"
07-01-2023 10:10:14.851507,"(4.2, 7.2, 5.107692307692307)","(4.2, 7.6, 5.35)","(4.4, 9.0, 7.657142857142857)","(9.0, 23.0, 11.166666666666668)","(21.0, 65.0, 39.44444444444444)","(5.5, 12.0, 6.0600000000000005)","(4.6, 8.2, 7.008510638297873)","(18.0, 48.0, 32.25)"
07-01-2023 10:10:15.993355,"(4.2, 7.2, 5.107692307692307)","(4.2, 7.6, 5.35)","(4.4, 9.0, 7.657142857142857)","(9.0, 23.0, 11.166666666666668)","(21.0, 65.0, 39.44444444444444)","(5.5, 12.0, 6.0600000000000005)","(4.6, 8.2, 7.008510638297873)","(18.0, 48.0, 32.25)"
07-01-2023 10:10:17.152995,"(4.2, 7.2, 5.107692307692307)","(4.2, 7.6, 5.35)","(4.4, 9.0, 7.657142857142857)","(9.0, 23.0, 11.166666666666668)","(21.0, 65.0, 39.44444444444444)","(5.5, 12.0, 6.0600000000000005)","(4.6, 8.2, 7.008510638297873)","(18.0, 48.0, 32.25)"
07-01-2023 10:10:18.199099,"(4.2, 7.2, 5.107692307692307)","(4.2, 7.6, 5.35)","(4.4, 9.0, 7.657142857142857)","(9.0, 23.0, 11.166666666666668)","(21.0, 65.0, 39.44444444444444)","(5.5, 12.0, 6.0600000000000005)","(4.6, 8.2, 7.008510638297873)","(18.0, 48.0, 32.25)"
07-01-2023 10:10:19.240505,"(4.2, 7.2, 5.107692307692307)","(4.2, 7.6, 5.35)","(4.4, 9.0, 7.657142857142857)","(9.0, 23.0, 11.166666666666668)","(21.0, 65.0, 39.44444444444444)","(5.5, 12.0, 6.0600000000000005)","(4.6, 8.2, 7.008510638297873)","(18.0, 48.0, 32.25)"
07-01-2023 10:10:20.362688,"(4.2, 7.2, 5.107692307692307)","(4.2, 7.6, 5.35)","(4.4, 9.0, 7.657142857142857)","(9.0, 23.0, 11.166666666666668)","(21.0, 65.0, 39.44444444444444)","(5.5, 12.0, 6.0600000000000005)","(4.6, 8.2, 7.008510638297873)","(18.0, 48.0, 32.25)"
07-01-2023 10:10:21.414035,"(4.2, 7.2, 5.107692307692307)","(4.2, 7.6, 5.35)","(4.4, 9.0, 7.657142857142857)","(9.0, 23.0, 11.166666666666668)","(21.0, 65.0, 39.44444444444444)","(5.5, 12.0, 6.0600000000000005)","(4.6, 8.2, 7.008510638297873)","(18.0, 48.0, 32.25)"
07-01-2023 10:10:22.532445,"(4.2, 7.2, 5.107692307692307)","(4.2, 7.6, 5.35)","(4.4, 9.0, 7.657142857142857)","(9.0, 23.0, 11.166666666666668)","(21.0, 65.0, 39.44444444444444)","(5.5, 12.0, 6.0600000000000005)","(4.6, 8.2, 7.008510638297873)","(18.0, 48.0, 32.25)"
07-01-2023 10:10:23.696238,"(4.2, 7.2, 5.107692307692307)","(4.2, 7.6, 5.35)","(4.4, 9.0, 7.657142857142857)","(9.0, 23.0, 11.166666666666668)","(21.0, 65.0, 39.44444444444444)","(5.5, 12.0, 6.0600000000000005)","(4.6, 8.2, 7.008510638297873)","(18.0, 48.0, 32.25)"
07-01-2023 10:10:24.834273,"(4.2, 7.2, 5.107692307692307)","(4.2, 7.6, 5.35)","(4.4, 9.0, 7.657142857142857)","(9.0, 23.0, 11.166666666666668)","(21.0, 65.0, 39.44444444444444)","(5.5, 12.0, 6.0600000000000005)","(4.6, 8.2, 7.008510638297873)","(18.0, 48.0, 32.25)"
07-01-2023 10:10:25.965617,"(4.2, 7.2, 5.107692307692307)","(4.2, 7.6, 5.35)","(4.4, 9.0, 7.657142857142857)","(9.0, 23.0, 11.166666666666668)","(21.0, 65.0, 39.44444444444444)","(5.5, 12.0, 6.0600000000000005)","(4.6, 8.2, 7.008510638297873)","(18.0, 48.0, 32.25)"
07-01-2023 10:10:27.081867,"(4.2, 7.2, 5.107692307692307)","(4.2, 7.6, 5.35)","(4.4, 9.0, 7.657142857142857)","(9.0, 23.0, 11.166666666666668)","(21.0, 65.0, 39.44444444444444)","(5.5, 12.0, 6.0600000000000005)","(4.6, 8.2, 7.008510638297873)","(18.0, 48.0, 32.25)"
07-01-2023 10:10:28.128900,"(4.2, 7.2, 5.107692307692307)","(4.2, 7.6, 5.35)","(4.4, 9.0, 7.657142857142857)","(9.0, 23.0, 11.166666666666668)","(21.0, 65.0, 39.44444444444444)","(5.5, 12.0, 6.0600000000000005)","(4.6, 8.2, 7.008510638297873)","(18.0, 48.0, 32.25)"
07-01-2023 10:10:29.165066,"(4.2, 7.2, 5.107692307692307)","(4.2, 7.6, 5.35)","(4.4, 9.0, 7.657142857142857)","(9.0, 23.0, 11.166666666666668)","(21.0, 65.0, 39.44444444444444)","(5.5, 12.0, 6.0600000000000005)","(4.6, 8.2, 7.008510638297873)","(18.0, 48.0, 32.25)"
07-01-2023 10:10:30.234975,"(4.2, 7.2, 5.107692307692307)","(4.2, 7.6, 5.35)","(4.4, 9.0, 7.657142857142857)","(9.0, 23.0, 11.166666666666668)","(21.0, 65.0, 39.44444444444444)","(5.5, 12.0, 6.0600000000000005)","(4.6, 8.2, 7.008510638297873)","(18.0, 48.0, 32.25)"
07-01-2023 10:10:31.356882,"(4.2, 7.2, 5.107692307692307)","(4.2, 7.6, 5.35)","(4.4, 9.0, 7.657142857142857)","(9.0, 23.0, 11.166666666666668)","(21.0, 65.0, 39.44444444444444)","(5.5, 12.0, 6.0600000000000005)","(4.6, 8.2, 7.008510638297873)","(18.0, 48.0, 32.25)"
07-01-2023 10:10:32.457004,"(4.2, 7.2, 5.107692307692307)","(4.2, 7.6, 5.35)","(4.4, 9.0, 7.657142857142857)","(9.0, 23.0, 11.166666666666668)","(21.0, 65.0, 39.44444444444444)","(5.5, 12.0, 6.0600000000000005)","(4.6, 8.2, 7.008510638297873)","(18.0, 48.0, 32.25)"
07-01-2023 10:10:33.533172,"(4.2, 7.2, 5.107692307692307)","(4.2, 7.6, 5.35)","(4.4, 9.0, 7.657142857142857)","(9.0, 23.0, 11.166666666666668)","(21.0, 65.0, 39.44444444444444)","(5.5, 12.0, 6.0600000000000005)","(4.6, 8.2, 7.008510638297873)","(18.0, 48.0, 32.25)"
07-01-2023 10:10:34.693217,"(4.2, 7.2, 5.107692307692307)","(4.2, 7.6, 5.35)","(4.4, 9.0, 7.657142857142857)","(9.0, 23.0, 11.166666666666668)","(21.0, 65.0, 39.44444444444444)","(5.5, 12.0, 6.0600000000000005)","(4.6, 8.2, 7.008510638297873)","(18.0, 48.0, 32.25)"
07-01-2023 10:10:35.750658,"(4.2, 7.2, 5.107692307692307)","(4.2, 7.6, 5.35)","(4.4, 9.0, 7.657142857142857)","(9.0, 23.0, 11.166666666666668)","(21.0, 65.0, 39.44444444444444)","(5.5, 12.0, 6.0600000000000005)","(4.6, 8.2, 7.008510638297873)","(18.0, 48.0, 32.25)"
07-01-2023 10:10:36.778321,"(4.2, 7.2, 5.107692307692307)","(4.2, 7.6, 5.35)","(4.4, 9.0, 7.657142857142857)","(9.0, 23.0, 11.166666666666668)","(21.0, 65.0, 39.44444444444444)","(5.5, 12.0, 6.0600000000000005)","(4.6, 8.2, 7.008510638297873)","(18.0, 48.0, 32.25)"
07-01-2023 10:10:37.918436,"(4.2, 7.2, 5.107692307692307)","(4.2, 7.6, 5.35)","(4.4, 9.0, 7.657142857142857)","(9.0, 23.0, 11.166666666666668)","(21.0, 65.0, 39.44444444444444)","(5.5, 12.0, 6.0600000000000005)","(4.6, 8.2, 7.008510638297873)","(18.0, 48.0, 32.25)"
07-01-2023 10:10:38.973235,"(4.2, 7.2, 5.107692307692307)","(4.2, 7.6, 5.35)","(4.4, 9.0, 7.657142857142857)","(9.0, 23.0, 11.166666666666668)","(21.0, 65.0, 39.44444444444444)","(5.5, 12.0, 6.0600000000000005)","(4.6, 8.2, 7.008510638297873)","(18.0, 48.0, 32.25)"
07-01-2023 10:10:40.055903,"(4.2, 7.2, 5.107692307692307)","(4.2, 7.6, 5.35)","(4.4, 9.0, 7.657142857142857)","(9.0, 23.0, 11.166666666666668)","(21.0, 65.0, 39.44444444444444)","(5.5, 12.0, 6.0600000000000005)","(4.6, 8.2, 7.008510638297873)","(18.0, 48.0, 32.25)"
07-01-2023 10:10:41.159958,"(4.2, 7.2, 5.107692307692307)","(4.2, 7.6, 5.35)","(4.4, 9.0, 7.657142857142857)","(9.0, 23.0, 11.166666666666668)","(21.0, 65.0, 39.44444444444444)","(5.5, 12.0, 6.0600000000000005)","(4.6, 8.2, 7.008510638297873)","(18.0, 48.0, 32.25)"
07-01-2023 10:10:42.225786,"(4.2, 7.2, 5.107692307692307)","(4.2, 7.6, 5.35)","(4.4, 9.0, 7.657142857142857)","(9.0, 23.0, 11.166666666666668)","(21.0, 65.0, 39.44444444444444)","(5.5, 12.0, 6.0600000000000005)","(4.6, 8.2, 7.008510638297873)","(18.0, 48.0, 32.25)"
07-01-2023 10:10:43.209425,"(4.2, 7.2, 5.107692307692307)","(4.2, 7.6, 5.35)","(4.4, 9.0, 7.657142857142857)","(9.0, 23.0, 11.166666666666668)","(21.0, 65.0, 39.44444444444444)","(5.5, 12.0, 6.0600000000000005)","(4.6, 8.2, 7.008510638297873)","(18.0, 48.0, 32.25)"
07-01-2023 10:10:44.294038,"(4.2, 7.2, 5.107692307692307)","(4.2, 7.6, 5.35)","(4.4, 9.0, 7.657142857142857)","(9.0, 23.0, 11.166666666666668)","(21.0, 65.0, 39.44444444444444)","(5.5, 12.0, 6.0600000000000005)","(4.6, 8.2, 7.008510638297873)","(18.0, 48.0, 32.25)"
07-01-2023 10:10:45.329993,"(4.2, 7.2, 5.107692307692307)","(4.2, 7.6, 5.35)","(4.4, 9.0, 7.657142857142857)","(9.0, 23.0, 11.166666666666668)","(21.0, 65.0, 39.44444444444444)","(5.5, 12.0, 6.0600000000000005)","(4.6, 8.2, 7.008510638297873)","(18.0, 48.0, 32.25)"
07-01-2023 10:10:46.387857,"(4.2, 7.2, 5.107692307692307)","(4.2, 7.6, 5.35)","(4.4, 9.0, 7.657142857142857)","(9.0, 23.0, 11.166666666666668)","(21.0, 65.0, 39.44444444444444)","(5.5, 12.0, 6.0600000000000005)","(4.6, 8.2, 7.008510638297873)","(18.0, 48.0, 32.25)"
07-01-2023 10:10:47.531429,"(4.2, 7.2, 5.107692307692307)","(4.2, 7.6, 5.35)","(4.4, 9.0, 7.657142857142857)","(9.0, 23.0, 11.166666666666668)","(21.0, 65.0, 39.44444444444444)","(5.5, 12.0, 6.0600000000000005)","(4.6, 8.2, 7.008510638297873)","(18.0, 48.0, 32.25)"
07-01-2023 10:10:48.576505,"(4.2, 7.2, 5.107692307692307)","(4.2, 7.6, 5.35)","(4.4, 9.0, 7.657142857142857)","(9.0, 23.0, 11.166666666666668)","(21.0, 65.0, 39.44444444444444)","(5.5, 12.0, 6.0600000000000005)","(4.6, 8.2, 7.008510638297873)","(18.0, 48.0, 32.25)"
07-01-2023 10:10:49.582399,"(4.2, 7.2, 5.107692307692307)","(4.2, 7.6, 5.35)","(4.4, 9.0, 7.657142857142857)","(9.0, 23.0, 11.166666666666668)","(21.0, 65.0, 39.44444444444444)","(5.5, 12.0, 6.0600000000000005)","(4.6, 8.2, 7.008510638297873)","(18.0, 48.0, 32.25)"
07-01-2023 10:10:50.680684,"(4.2, 7.2, 5.107692307692307)","(4.2, 7.6, 5.35)","(4.4, 9.0, 7.657142857142857)","(9.0, 23.0, 11.166666666666668)","(21.0, 65.0, 39.44444444444444)","(5.5, 12.0, 6.0600000000000005)","(4.6, 8.2, 7.008510638297873)","(18.0, 48.0, 32.25)"
07-01-2023 10:10:51.808952,"(4.2, 7.2, 5.107692307692307)","(4.2, 7.6, 5.35)","(4.4, 9.0, 7.657142857142857)","(9.0, 23.0, 11.166666666666668)","(21.0, 65.0, 39.44444444444444)","(5.5, 12.0, 6.0600000000000005)","(4.6, 8.2, 7.008510638297873)","(18.0, 48.0, 32.25)"
07-01-2023 10:10:52.952138,"(4.2, 7.2, 5.107692307692307)","(4.2, 7.6, 5.35)","(4.4, 9.0, 7.657142857142857)","(9.0, 23.0, 11.166666666666668)","(21.0, 65.0, 39.44444444444444)","(5.5, 12.0, 6.0600000000000005)","(4.6, 8.2, 7.008510638297873)","(18.0, 48.0, 32.25)"
07-01-2023 10:10:54.091345,"(4.2, 7.2, 5.107692307692307)","(4.2, 7.6, 5.35)","(4.4, 9.0, 7.657142857142857)","(9.0, 23.0, 11.166666666666668)","(21.0, 65.0, 39.44444444444444)","(5.5, 12.0, 6.0600000000000005)","(4.6, 8.2, 7.008510638297873)","(18.0, 48.0, 32.25)"
07-01-2023 10:10:55.259744,"(4.2, 7.2, 5.107692307692307)","(4.2, 7.6, 5.35)","(4.4, 9.0, 7.657142857142857)","(9.0, 23.0, 11.166666666666668)","(21.0, 65.0, 39.44444444444444)","(5.5, 12.0, 6.0600000000000005)","(4.6, 8.2, 7.008510638297873)","(18.0, 48.0, 32.25)"
07-01-2023 10:10:56.363827,"(4.2, 7.2, 5.107692307692307)","(4.2, 7.6, 5.35)","(4.4, 9.0, 7.657142857142857)","(9.0, 23.0, 11.166666666666668)","(21.0, 65.0, 39.44444444444444)","(5.5, 12.0, 6.0600000000000005)","(4.6, 8.2, 7.008510638297873)","(18.0, 48.0, 32.25)"
07-01-2023 10:10:57.359532,"(4.2, 7.2, 5.107692307692307)","(4.2, 7.6, 5.35)","(4.4, 9.0, 7.657142857142857)","(9.0, 23.0, 11.166666666666668)","(21.0, 65.0, 39.44444444444444)","(5.5, 12.0, 6.0600000000000005)","(4.6, 8.2, 7.008510638297873)","(18.0, 48.0, 32.25)"
07-01-2023 10:10:58.480746,"(4.2, 7.2, 5.107692307692307)","(4.2, 7.6, 5.35)","(4.4, 9.0, 7.657142857142857)","(9.0, 23.0, 11.166666666666668)","(21.0, 65.0, 39.44444444444444)","(5.5, 12.0, 6.0600000000000005)","(4.6, 8.2, 7.008510638297873)","(18.0, 48.0, 32.25)"
07-01-2023 10:10:59.616110,"(4.2, 7.2, 5.107692307692307)","(4.2, 7.6, 5.35)","(4.4, 9.0, 7.657142857142857)","(9.0, 23.0, 11.166666666666668)","(21.0, 65.0, 39.44444444444444)","(5.5, 12.0, 6.0600000000000005)","(4.6, 8.2, 7.008510638297873)","(18.0, 48.0, 32.25)"
07-01-2023 10:11:00.718028,"(4.2, 7.2, 5.107692307692307)","(4.2, 7.6, 5.35)","(4.4, 9.0, 7.657142857142857)","(9.0, 23.0, 11.166666666666668)","(21.0, 65.0, 39.44444444444444)","(5.5, 12.0, 6.0600000000000005)","(4.6, 8.2, 7.008510638297873)","(18.0, 48.0, 32.25)"
07-01-2023 10:11:01.820538,"(4.2, 7.2, 5.107692307692307)","(4.2, 7.6, 5.35)","(4.4, 9.0, 7.657142857142857)","(9.0, 23.0, 11.166666666666668)","(21.0, 65.0, 39.44444444444444)","(5.5, 12.0, 6.0600000000000005)","(4.6, 8.2, 7.008510638297873)","(18.0, 48.0, 32.25)"
07-01-2023 10:11:02.951993,"(4.2, 7.2, 5.107692307692307)","(4.2, 7.6, 5.35)","(4.4, 9.0, 7.657142857142857)","(9.0, 23.0, 11.166666666666668)","(21.0, 65.0, 39.44444444444444)","(5.5, 12.0, 6.0600000000000005)","(4.6, 8.2, 7.008510638297873)","(18.0, 48.0, 32.25)"
07-01-2023 10:11:04.003586,"(4.2, 7.2, 5.107692307692307)","(4.2, 7.6, 5.35)","(4.4, 9.0, 7.657142857142857)","(9.0, 23.0, 11.166666666666668)","(21.0, 65.0, 39.44444444444444)","(5.5, 12.0, 6.0600000000000005)","(4.6, 8.2, 7.008510638297873)","(18.0, 48.0, 32.25)"
07-01-2023 10:11:05.074997,"(4.2, 7.2, 5.107692307692307)","(4.2, 7.6, 5.35)","(4.4, 9.0, 7.657142857142857)","(9.0, 23.0, 11.166666666666668)","(21.0, 65.0, 39.44444444444444)","(5.5, 12.0, 6.0600000000000005)","(4.6, 8.2, 7.008510638297873)","(18.0, 48.0, 32.25)"
07-01-2023 10:11:06.199028,"(4.2, 7.2, 5.107692307692307)","(4.2, 7.6, 5.35)","(4.4, 9.0, 7.657142857142857)","(9.0, 23.0, 11.166666666666668)","(21.0, 65.0, 39.44444444444444)","(5.5, 12.0, 6.0600000000000005)","(4.6, 8.2, 7.008510638297873)","(18.0, 48.0, 32.25)"
07-01-2023 10:11:07.324890,"(4.2, 7.2, 5.107692307692307)","(4.2, 7.6, 5.35)","(4.4, 9.0, 7.657142857142857)","(9.0, 23.0, 11.166666666666668)","(21.0, 65.0, 39.44444444444444)","(5.5, 12.0, 6.0600000000000005)","(4.6, 8.2, 7.008510638297873)","(18.0, 48.0, 32.25)"
07-01-2023 10:11:08.435322,"(4.2, 7.2, 5.107692307692307)","(4.2, 7.6, 5.35)","(4.4, 9.0, 7.657142857142857)","(9.0, 23.0, 11.166666666666668)","(21.0, 65.0, 39.44444444444444)","(5.5, 12.0, 6.0600000000000005)","(4.6, 8.2, 7.008510638297873)","(18.0, 48.0, 32.25)"
07-01-2023 10:11:09.564018,"(4.2, 7.2, 5.107692307692307)","(4.2, 7.6, 5.35)","(4.4, 9.0, 7.657142857142857)","(9.0, 23.0, 11.166666666666668)","(21.0, 65.0, 39.44444444444444)","(5.5, 12.0, 6.0600000000000005)","(4.6, 8.2, 7.008510638297873)","(18.0, 48.0, 32.25)"
07-01-2023 10:11:10.792562,"(4.2, 7.2, 5.107692307692307)","(4.2, 7.6, 5.35)","(4.4, 9.0, 7.657142857142857)","(9.0, 23.0, 11.166666666666668)","(21.0, 65.0, 39.44444444444444)","(5.5, 12.0, 6.0600000000000005)","(4.6, 8.2, 7.008510638297873)","(18.0, 48.0, 32.25)"
07-01-2023 10:11:11.832420,"(4.2, 7.2, 5.107692307692307)","(4.2, 7.6, 5.35)","(4.4, 9.0, 7.657142857142857)","(9.0, 23.0, 11.166666666666668)","(21.0, 65.0, 39.44444444444444)","(5.5, 12.0, 6.0600000000000005)","(4.6, 8.2, 7.008510638297873)","(18.0, 48.0, 32.25)"
07-01-2023 10:11:12.898634,"(4.2, 7.2, 5.107692307692307)","(4.2, 7.6, 5.35)","(4.4, 9.0, 7.657142857142857)","(9.0, 23.0, 11.166666666666668)","(21.0, 65.0, 39.44444444444444)","(5.5, 12.0, 6.0600000000000005)","(4.6, 8.2, 7.008510638297873)","(18.0, 48.0, 32.25)"
07-01-2023 10:11:13.993129,"(4.2, 7.2, 5.107692307692307)","(4.2, 7.6, 5.35)","(4.4, 9.0, 7.657142857142857)","(9.0, 23.0, 11.166666666666668)","(21.0, 65.0, 39.44444444444444)","(5.5, 12.0, 6.0600000000000005)","(4.6, 8.2, 7.008510638297873)","(18.0, 48.0, 32.25)"
