,Turnpike Bob,Grab The Gold,Spikes Shirl,Striking Moon,Hashtag Winning,Rocket Blast,Ready And Rich
12-01-2023 09:37:38.927101,"(3.6, 6.8, 5.142857142857142)","(7.5, 12.0, 9.2)","(7.5, 11.0, 9.32)","(2.6, 6.2, 4.348571428571429)","(15.0, 29.0, 26.076923076923077)","(9.0, 15.5, 12.357142857142858)","(9.0, 14.5, 11.3125)"
12-01-2023 09:37:40.131416,"(3.6, 6.8, 5.142857142857142)","(7.5, 12.0, 9.2)","(7.5, 11.0, 9.32)","(2.6, 6.2, 4.348571428571429)","(15.0, 29.0, 26.076923076923077)","(9.0, 15.5, 12.357142857142858)","(9.0, 14.5, 11.3125)"
12-01-2023 09:37:41.236704,"(3.6, 6.8, 5.142857142857142)","(7.5, 12.0, 9.2)","(7.5, 11.0, 9.32)","(2.6, 6.2, 4.348571428571429)","(15.0, 29.0, 26.076923076923077)","(9.0, 15.5, 12.357142857142858)","(9.0, 14.5, 11.3125)"
12-01-2023 09:37:42.418712,"(3.6, 6.8, 5.142857142857142)","(7.5, 12.0, 9.2)","(7.5, 11.0, 9.32)","(2.6, 6.2, 4.348571428571429)","(15.0, 29.0, 26.076923076923077)","(9.0, 15.5, 12.357142857142858)","(9.0, 14.5, 11.3125)"
12-01-2023 09:37:43.610977,"(3.6, 6.8, 5.142857142857142)","(7.5, 12.0, 9.2)","(7.5, 11.0, 9.32)","(2.6, 6.2, 4.348571428571429)","(15.0, 29.0, 26.076923076923077)","(9.0, 15.5, 12.357142857142858)","(9.0, 14.5, 11.3125)"
12-01-2023 09:37:44.727935,"(3.6, 6.8, 5.142857142857142)","(7.5, 12.0, 9.2)","(7.5, 11.0, 9.32)","(2.6, 6.2, 4.348571428571429)","(15.0, 29.0, 26.076923076923077)","(9.0, 15.5, 12.357142857142858)","(9.0, 14.5, 11.3125)"
12-01-2023 09:37:45.868426,"(3.6, 6.8, 5.142857142857142)","(7.5, 12.0, 9.2)","(7.5, 11.0, 9.32)","(2.6, 6.2, 4.348571428571429)","(15.0, 29.0, 26.076923076923077)","(9.0, 15.5, 12.357142857142858)","(9.0, 14.5, 11.3125)"
12-01-2023 09:37:47.029557,"(3.6, 6.8, 5.142857142857142)","(7.5, 12.0, 9.2)","(7.5, 11.0, 9.32)","(2.6, 6.2, 4.348571428571429)","(15.0, 29.0, 26.076923076923077)","(9.0, 15.5, 12.357142857142858)","(9.0, 14.5, 11.3125)"
12-01-2023 09:37:48.108899,"(3.6, 6.8, 5.142857142857142)","(7.5, 12.0, 9.2)","(7.5, 11.0, 9.32)","(2.6, 6.2, 4.348571428571429)","(15.0, 29.0, 26.076923076923077)","(9.0, 15.5, 12.357142857142858)","(9.0, 14.5, 11.3125)"
12-01-2023 09:37:49.202948,"(3.6, 6.8, 5.142857142857142)","(7.5, 12.0, 9.2)","(7.5, 11.0, 9.32)","(2.6, 6.2, 4.348571428571429)","(15.0, 29.0, 26.076923076923077)","(9.0, 15.5, 12.357142857142858)","(9.0, 14.5, 11.3125)"
12-01-2023 09:37:50.292260,"(3.6, 6.8, 5.142857142857142)","(7.5, 12.0, 9.2)","(7.5, 11.0, 9.32)","(2.6, 6.2, 4.348571428571429)","(15.0, 29.0, 26.076923076923077)","(9.0, 15.5, 12.357142857142858)","(9.0, 14.5, 11.3125)"
12-01-2023 09:37:51.443939,"(3.6, 6.8, 5.142857142857142)","(7.5, 12.0, 9.2)","(7.5, 11.0, 9.32)","(2.6, 6.2, 4.348571428571429)","(15.0, 29.0, 26.076923076923077)","(9.0, 15.5, 12.357142857142858)","(9.0, 14.5, 11.3125)"
12-01-2023 09:37:52.601036,"(3.6, 6.8, 5.142857142857142)","(7.5, 12.0, 9.2)","(7.5, 11.0, 9.32)","(2.6, 6.2, 4.348571428571429)","(15.0, 29.0, 26.076923076923077)","(9.0, 15.5, 12.357142857142858)","(9.0, 14.5, 11.3125)"
12-01-2023 09:37:53.590973,"(3.6, 6.8, 5.142857142857142)","(7.5, 12.0, 9.2)","(7.5, 11.0, 9.32)","(2.6, 6.2, 4.348571428571429)","(15.0, 29.0, 26.076923076923077)","(9.0, 15.5, 12.357142857142858)","(9.0, 14.5, 11.3125)"
12-01-2023 09:37:54.754951,"(3.6, 6.8, 5.142857142857142)","(7.5, 12.0, 9.2)","(7.5, 11.0, 9.32)","(2.6, 6.2, 4.348571428571429)","(15.0, 29.0, 26.076923076923077)","(9.0, 15.5, 12.357142857142858)","(9.0, 14.5, 11.3125)"
12-01-2023 09:37:55.708621,"(3.6, 6.8, 5.142857142857142)","(7.5, 12.0, 9.2)","(7.5, 11.0, 9.32)","(2.6, 6.2, 4.348571428571429)","(15.0, 29.0, 26.076923076923077)","(9.0, 15.5, 12.357142857142858)","(9.0, 14.5, 11.3125)"
12-01-2023 09:37:56.681264,"(3.6, 6.8, 5.142857142857142)","(7.5, 12.0, 9.2)","(7.5, 11.0, 9.32)","(2.6, 6.2, 4.348571428571429)","(15.0, 29.0, 26.076923076923077)","(9.0, 15.5, 12.357142857142858)","(9.0, 14.5, 11.3125)"
12-01-2023 09:37:57.706387,"(3.6, 6.8, 5.142857142857142)","(7.5, 12.0, 9.2)","(7.5, 11.0, 9.32)","(2.6, 6.2, 4.348571428571429)","(15.0, 29.0, 26.076923076923077)","(9.0, 15.5, 12.357142857142858)","(9.0, 14.5, 11.3125)"
12-01-2023 09:37:58.875764,"(3.6, 6.8, 5.142857142857142)","(7.5, 12.0, 9.2)","(7.5, 11.0, 9.32)","(2.6, 6.2, 4.348571428571429)","(15.0, 29.0, 26.076923076923077)","(9.0, 15.5, 12.357142857142858)","(9.0, 14.5, 11.3125)"
12-01-2023 09:37:59.941836,"(3.6, 6.8, 5.142857142857142)","(7.5, 12.0, 9.2)","(7.5, 11.0, 9.32)","(2.6, 6.2, 4.348571428571429)","(15.0, 29.0, 26.076923076923077)","(9.0, 15.5, 12.357142857142858)","(9.0, 14.5, 11.3125)"
12-01-2023 09:38:01.110818,"(3.6, 6.8, 5.142857142857142)","(7.5, 12.0, 9.2)","(7.5, 11.0, 9.32)","(2.6, 6.2, 4.348571428571429)","(15.0, 29.0, 26.076923076923077)","(9.0, 15.5, 12.357142857142858)","(9.0, 14.5, 11.3125)"
12-01-2023 09:38:02.208201,"(3.6, 6.8, 5.142857142857142)","(7.5, 12.0, 9.2)","(7.5, 11.0, 9.32)","(2.6, 6.2, 4.348571428571429)","(15.0, 29.0, 26.076923076923077)","(9.0, 15.5, 12.357142857142858)","(9.0, 14.5, 11.3125)"
12-01-2023 09:38:03.310958,"(3.6, 6.8, 5.142857142857142)","(7.5, 12.0, 9.2)","(7.5, 11.0, 9.32)","(2.6, 6.2, 4.348571428571429)","(15.0, 29.0, 26.076923076923077)","(9.0, 15.5, 12.357142857142858)","(9.0, 14.5, 11.3125)"
12-01-2023 09:38:04.519589,"(3.6, 6.8, 5.142857142857142)","(7.5, 12.0, 9.2)","(7.5, 11.0, 9.32)","(2.6, 6.2, 4.348571428571429)","(15.0, 29.0, 26.076923076923077)","(9.0, 15.5, 12.357142857142858)","(9.0, 14.5, 11.3125)"
12-01-2023 09:38:05.686449,"(3.6, 6.8, 5.142857142857142)","(7.5, 12.0, 9.2)","(7.5, 11.0, 9.32)","(2.6, 6.2, 4.348571428571429)","(15.0, 29.0, 26.076923076923077)","(9.0, 15.5, 12.357142857142858)","(9.0, 14.5, 11.3125)"
12-01-2023 09:38:06.801048,"(3.6, 6.8, 5.142857142857142)","(7.5, 12.0, 9.2)","(7.5, 11.0, 9.32)","(2.6, 6.2, 4.348571428571429)","(15.0, 29.0, 26.076923076923077)","(9.0, 15.5, 12.357142857142858)","(9.0, 14.5, 11.3125)"
12-01-2023 09:38:07.809742,"(3.6, 6.8, 5.142857142857142)","(7.5, 12.0, 9.2)","(7.5, 11.0, 9.32)","(2.6, 6.2, 4.348571428571429)","(15.0, 29.0, 25.0)","(9.0, 15.5, 12.357142857142858)","(9.0, 14.5, 11.3125)"
12-01-2023 09:38:08.746329,"(3.6, 6.8, 5.142857142857142)","(7.5, 12.0, 9.2)","(7.5, 11.0, 9.32)","(2.6, 6.2, 4.348571428571429)","(15.0, 29.0, 25.0)","(9.0, 15.5, 12.357142857142858)","(9.0, 14.5, 11.3125)"
12-01-2023 09:38:09.841594,"(3.6, 6.8, 5.142857142857142)","(7.5, 12.0, 9.2)","(7.5, 11.0, 9.32)","(2.6, 6.2, 4.348571428571429)","(15.0, 29.0, 25.0)","(9.0, 15.5, 12.357142857142858)","(9.0, 14.5, 11.3125)"
12-01-2023 09:38:10.896495,"(3.6, 6.8, 5.142857142857142)","(7.5, 12.0, 9.2)","(7.5, 11.0, 9.32)","(2.6, 6.2, 4.348571428571429)","(15.0, 29.0, 25.0)","(9.0, 15.5, 12.357142857142858)","(9.0, 14.5, 11.3125)"
12-01-2023 09:38:11.960785,"(3.6, 6.8, 5.142857142857142)","(7.5, 12.0, 9.2)","(7.5, 11.0, 9.32)","(2.6, 6.2, 4.348571428571429)","(15.0, 29.0, 25.0)","(9.0, 15.5, 12.357142857142858)","(9.0, 14.5, 11.3125)"
12-01-2023 09:38:13.059323,"(3.6, 6.8, 5.142857142857142)","(7.5, 12.0, 9.2)","(7.5, 11.0, 9.32)","(2.6, 6.2, 4.348571428571429)","(15.0, 29.0, 25.0)","(9.0, 15.5, 12.357142857142858)","(9.0, 14.5, 11.3125)"
12-01-2023 09:38:14.217002,"(3.6, 6.8, 5.142857142857142)","(7.5, 12.0, 9.2)","(7.5, 11.0, 9.32)","(2.6, 6.2, 4.348571428571429)","(15.0, 29.0, 25.0)","(9.0, 15.5, 12.357142857142858)","(9.0, 14.5, 11.3125)"
12-01-2023 09:38:15.422781,"(3.6, 6.8, 5.142857142857142)","(7.5, 12.0, 9.2)","(7.5, 11.0, 9.32)","(2.6, 6.2, 4.348571428571429)","(15.0, 29.0, 25.0)","(9.0, 15.5, 12.357142857142858)","(9.0, 14.5, 11.3125)"
12-01-2023 09:38:16.607100,"(3.6, 6.8, 5.142857142857142)","(7.5, 12.0, 9.2)","(7.5, 11.0, 9.32)","(2.6, 6.2, 4.348571428571429)","(15.0, 29.0, 25.0)","(9.0, 15.5, 12.357142857142858)","(9.0, 14.5, 11.3125)"
12-01-2023 09:38:17.854843,"(3.6, 6.8, 5.142857142857142)","(7.5, 12.0, 9.2)","(7.5, 11.0, 9.32)","(2.6, 6.2, 4.348571428571429)","(15.0, 29.0, 25.0)","(9.0, 15.5, 12.357142857142858)","(9.0, 14.5, 11.3125)"
12-01-2023 09:38:19.017077,"(3.6, 6.8, 5.142857142857142)","(7.5, 12.0, 9.2)","(7.5, 11.0, 9.32)","(2.6, 6.2, 4.348571428571429)","(15.0, 29.0, 25.0)","(9.0, 15.5, 12.357142857142858)","(9.0, 14.5, 11.3125)"
12-01-2023 09:38:20.080803,"(3.6, 6.8, 5.142857142857142)","(7.5, 12.0, 9.2)","(7.5, 11.0, 9.32)","(2.6, 6.2, 4.348571428571429)","(15.0, 29.0, 25.0)","(9.0, 15.5, 12.357142857142858)","(9.0, 14.5, 11.3125)"
12-01-2023 09:38:21.081912,"(3.6, 6.8, 5.142857142857142)","(7.5, 12.0, 9.2)","(7.5, 11.0, 9.32)","(2.6, 6.2, 4.348571428571429)","(15.0, 29.0, 25.0)","(9.0, 15.5, 12.357142857142858)","(9.0, 14.5, 11.3125)"
12-01-2023 09:38:22.095039,"(3.6, 6.8, 5.142857142857142)","(7.5, 12.0, 9.2)","(7.5, 11.0, 9.32)","(2.6, 6.2, 4.348571428571429)","(15.0, 29.0, 25.0)","(9.0, 15.5, 12.357142857142858)","(9.0, 14.5, 11.3125)"
12-01-2023 09:38:23.089164,"(3.6, 6.8, 5.142857142857142)","(7.5, 12.0, 9.2)","(7.5, 11.0, 9.32)","(2.6, 6.2, 4.348571428571429)","(15.0, 29.0, 25.0)","(9.0, 15.5, 12.357142857142858)","(9.0, 14.5, 11.3125)"
12-01-2023 09:38:24.113402,"(3.6, 6.8, 5.142857142857142)","(7.5, 12.0, 9.2)","(7.5, 11.0, 9.32)","(2.6, 6.2, 4.348571428571429)","(15.0, 29.0, 25.0)","(9.0, 15.5, 12.357142857142858)","(9.0, 14.5, 11.3125)"
12-01-2023 09:38:25.174524,"(3.6, 6.8, 5.142857142857142)","(7.5, 12.0, 9.2)","(7.5, 11.0, 9.32)","(2.6, 6.2, 4.348571428571429)","(15.0, 29.0, 25.0)","(9.0, 15.5, 12.357142857142858)","(9.0, 14.5, 11.3125)"
12-01-2023 09:38:26.329325,"(3.6, 6.8, 5.142857142857142)","(7.5, 12.0, 9.2)","(7.5, 11.0, 9.32)","(2.6, 6.2, 4.348571428571429)","(15.0, 29.0, 25.0)","(9.0, 15.5, 12.357142857142858)","(9.0, 14.5, 11.3125)"
12-01-2023 09:38:27.563318,"(3.6, 6.8, 5.142857142857142)","(7.5, 12.0, 9.2)","(7.5, 11.0, 9.32)","(2.6, 6.2, 4.348571428571429)","(15.0, 29.0, 25.0)","(9.0, 15.5, 12.357142857142858)","(9.0, 14.5, 11.3125)"
12-01-2023 09:38:28.763660,"(3.6, 6.8, 5.142857142857142)","(7.5, 12.0, 9.2)","(7.5, 11.0, 9.32)","(2.6, 6.2, 4.348571428571429)","(15.0, 29.0, 25.0)","(9.0, 15.5, 12.357142857142858)","(9.0, 14.5, 11.3125)"
12-01-2023 09:38:29.953585,"(3.6, 6.8, 5.142857142857142)","(7.5, 12.0, 9.2)","(7.5, 11.0, 9.32)","(2.6, 6.2, 4.348571428571429)","(15.0, 29.0, 25.0)","(9.0, 15.5, 12.357142857142858)","(9.0, 14.5, 11.3125)"
12-01-2023 09:38:31.146116,"(3.6, 6.8, 5.142857142857142)","(7.5, 12.0, 9.2)","(7.5, 11.0, 9.32)","(2.6, 6.2, 4.348571428571429)","(15.0, 29.0, 25.0)","(9.0, 15.5, 12.357142857142858)","(9.0, 14.5, 11.3125)"
12-01-2023 09:38:32.339963,"(3.6, 6.8, 5.142857142857142)","(7.5, 12.0, 9.2)","(7.5, 11.0, 9.32)","(2.6, 6.2, 4.348571428571429)","(15.0, 29.0, 25.0)","(9.0, 15.5, 12.357142857142858)","(9.0, 14.5, 11.3125)"
12-01-2023 09:38:33.471258,"(3.6, 6.8, 5.142857142857142)","(7.5, 12.0, 9.2)","(7.5, 11.0, 9.32)","(2.6, 6.2, 4.348571428571429)","(15.0, 29.0, 25.0)","(9.0, 15.5, 12.357142857142858)","(9.0, 14.5, 11.3125)"
12-01-2023 09:38:34.650094,"(3.6, 6.8, 5.142857142857142)","(7.5, 12.0, 9.2)","(7.5, 11.0, 9.32)","(2.6, 6.2, 4.348571428571429)","(15.0, 29.0, 25.0)","(9.0, 15.5, 12.357142857142858)","(9.0, 14.5, 11.3125)"
12-01-2023 09:38:35.818182,"(3.6, 6.8, 5.142857142857142)","(7.5, 12.0, 9.2)","(7.5, 11.0, 9.32)","(2.6, 6.2, 4.348571428571429)","(15.0, 29.0, 25.0)","(9.0, 15.5, 12.357142857142858)","(9.0, 14.5, 11.3125)"
12-01-2023 09:38:36.962417,"(3.6, 6.8, 5.142857142857142)","(7.5, 12.0, 9.2)","(7.5, 11.0, 9.32)","(2.6, 6.2, 4.348571428571429)","(15.0, 29.0, 25.0)","(9.0, 15.5, 12.357142857142858)","(9.0, 14.5, 11.3125)"
12-01-2023 09:38:37.906286,"(3.6, 6.8, 5.142857142857142)","(7.5, 12.0, 9.2)","(7.5, 11.0, 9.32)","(2.6, 6.2, 4.348571428571429)","(15.0, 29.0, 25.0)","(9.0, 15.5, 12.357142857142858)","(9.0, 14.5, 11.3125)"
12-01-2023 09:38:38.941685,"(3.6, 6.8, 5.142857142857142)","(7.5, 12.0, 9.2)","(7.5, 11.0, 9.32)","(2.6, 6.2, 4.348571428571429)","(15.0, 29.0, 25.0)","(9.0, 15.5, 12.357142857142858)","(9.0, 14.5, 11.3125)"
12-01-2023 09:38:40.079331,"(3.6, 6.8, 5.142857142857142)","(7.5, 12.0, 9.2)","(7.5, 11.0, 9.32)","(2.6, 6.2, 4.348571428571429)","(15.0, 29.0, 25.0)","(9.0, 15.5, 12.357142857142858)","(9.0, 14.5, 11.3125)"
12-01-2023 09:38:41.256310,"(3.6, 6.8, 5.142857142857142)","(7.5, 12.0, 9.2)","(7.5, 11.0, 9.32)","(2.6, 6.2, 4.348571428571429)","(15.0, 29.0, 25.0)","(9.0, 15.5, 12.357142857142858)","(9.0, 14.5, 11.3125)"
12-01-2023 09:38:42.447979,"(3.6, 6.8, 5.142857142857142)","(7.5, 12.0, 9.2)","(7.5, 11.0, 9.32)","(2.6, 6.2, 4.348571428571429)","(15.0, 29.0, 25.0)","(9.0, 15.5, 12.357142857142858)","(9.0, 14.5, 11.3125)"
12-01-2023 09:38:43.586982,"(3.6, 6.8, 5.142857142857142)","(7.5, 12.0, 9.2)","(7.5, 11.0, 9.32)","(2.6, 6.2, 4.348571428571429)","(15.0, 29.0, 25.0)","(9.0, 15.5, 12.357142857142858)","(9.0, 14.5, 11.3125)"
12-01-2023 09:38:44.767121,"(3.6, 6.8, 5.142857142857142)","(7.5, 12.0, 9.2)","(7.5, 11.0, 9.32)","(2.6, 6.2, 4.348571428571429)","(15.0, 29.0, 25.0)","(9.0, 15.5, 12.357142857142858)","(9.0, 14.5, 11.3125)"
12-01-2023 09:38:46.000057,"(3.6, 6.8, 5.142857142857142)","(7.5, 12.0, 9.2)","(7.5, 11.0, 9.32)","(2.6, 6.2, 4.348571428571429)","(15.0, 29.0, 25.0)","(9.0, 15.5, 12.357142857142858)","(9.0, 14.5, 11.3125)"
12-01-2023 09:38:47.205019,"(3.6, 6.8, 5.142857142857142)","(7.5, 12.0, 9.2)","(7.5, 11.0, 9.32)","(2.6, 6.2, 4.348571428571429)","(15.0, 29.0, 25.0)","(9.0, 15.5, 12.357142857142858)","(9.0, 14.5, 11.3125)"
12-01-2023 09:38:48.391974,"(3.6, 6.8, 5.142857142857142)","(7.5, 12.0, 9.2)","(7.5, 11.0, 9.32)","(2.6, 6.2, 4.348571428571429)","(15.0, 29.0, 25.0)","(9.0, 15.5, 12.357142857142858)","(9.0, 14.5, 11.3125)"
12-01-2023 09:38:49.509794,"(3.6, 6.8, 5.142857142857142)","(7.5, 12.0, 9.2)","(7.5, 11.0, 9.32)","(2.6, 6.2, 4.348571428571429)","(15.0, 29.0, 25.0)","(9.0, 15.5, 12.357142857142858)","(9.0, 14.5, 11.3125)"
12-01-2023 09:38:50.447716,"(3.6, 6.8, 5.142857142857142)","(7.5, 12.0, 9.2)","(7.5, 11.0, 9.32)","(2.6, 6.2, 4.348571428571429)","(15.0, 29.0, 25.0)","(9.0, 15.5, 12.357142857142858)","(9.0, 14.5, 11.3125)"
12-01-2023 09:38:51.537020,"(3.6, 6.8, 5.142857142857142)","(7.5, 12.0, 9.2)","(7.5, 11.0, 9.32)","(2.6, 6.2, 4.348571428571429)","(15.0, 29.0, 25.0)","(9.0, 15.5, 12.357142857142858)","(9.0, 14.5, 11.3125)"
12-01-2023 09:38:52.596281,"(3.6, 6.8, 5.142857142857142)","(7.5, 12.0, 9.2)","(7.5, 11.0, 9.32)","(2.6, 6.2, 4.348571428571429)","(15.0, 29.0, 25.0)","(9.0, 15.5, 12.357142857142858)","(9.0, 14.5, 11.3125)"
12-01-2023 09:38:53.722702,"(3.6, 6.8, 5.142857142857142)","(7.5, 12.0, 9.2)","(7.5, 11.0, 9.32)","(2.6, 6.2, 4.348571428571429)","(15.0, 29.0, 25.0)","(9.0, 15.5, 12.357142857142858)","(9.0, 14.5, 11.3125)"
12-01-2023 09:38:54.805189,"(3.6, 6.8, 5.142857142857142)","(7.5, 12.0, 9.2)","(7.5, 11.0, 9.32)","(2.6, 6.2, 4.348571428571429)","(15.0, 29.0, 25.0)","(9.0, 15.5, 12.357142857142858)","(9.0, 14.5, 11.3125)"
12-01-2023 09:38:55.964619,"(3.6, 6.8, 5.142857142857142)","(7.5, 12.0, 9.2)","(7.5, 11.0, 9.32)","(2.6, 6.2, 4.348571428571429)","(15.0, 29.0, 25.0)","(9.0, 15.5, 12.357142857142858)","(9.0, 14.5, 11.3125)"
12-01-2023 09:38:57.135409,"(3.6, 6.8, 5.142857142857142)","(7.5, 12.0, 9.2)","(7.5, 11.0, 9.32)","(2.6, 6.2, 4.348571428571429)","(15.0, 29.0, 25.0)","(9.0, 15.5, 12.357142857142858)","(9.0, 14.5, 11.3125)"
12-01-2023 09:38:58.344434,"(3.6, 6.8, 5.142857142857142)","(7.5, 12.0, 9.2)","(7.5, 11.0, 9.32)","(2.6, 6.2, 4.348571428571429)","(15.0, 29.0, 25.0)","(9.0, 15.5, 12.357142857142858)","(9.0, 14.5, 11.3125)"
12-01-2023 09:38:59.559710,"(3.6, 6.8, 5.142857142857142)","(7.5, 12.0, 9.2)","(7.5, 11.0, 9.32)","(2.6, 6.2, 4.348571428571429)","(15.0, 29.0, 25.0)","(9.0, 15.5, 12.357142857142858)","(9.0, 14.5, 11.3125)"
12-01-2023 09:39:00.704585,"(3.6, 6.8, 5.142857142857142)","(7.5, 12.0, 9.2)","(7.5, 11.0, 9.32)","(2.6, 6.2, 4.348571428571429)","(15.0, 29.0, 25.0)","(9.0, 15.5, 12.357142857142858)","(9.0, 14.5, 11.3125)"
12-01-2023 09:39:01.742240,"(3.6, 6.8, 5.142857142857142)","(7.5, 12.0, 9.2)","(7.5, 11.0, 9.32)","(2.6, 6.2, 4.348571428571429)","(15.0, 29.0, 25.0)","(9.0, 15.5, 12.357142857142858)","(9.0, 14.5, 11.3125)"
12-01-2023 09:39:02.727343,"(3.6, 6.8, 5.142857142857142)","(7.5, 12.0, 9.2)","(7.5, 11.0, 9.32)","(2.6, 6.2, 4.348571428571429)","(15.0, 29.0, 25.0)","(9.0, 15.5, 12.357142857142858)","(9.0, 14.5, 11.3125)"
12-01-2023 09:39:03.775927,"(3.6, 6.8, 5.142857142857142)","(7.5, 12.0, 9.2)","(7.5, 11.0, 9.32)","(2.6, 6.2, 4.348571428571429)","(15.0, 29.0, 25.0)","(9.0, 15.5, 12.357142857142858)","(9.0, 14.5, 11.3125)"
12-01-2023 09:39:04.799681,"(3.6, 6.8, 5.142857142857142)","(7.5, 12.0, 9.2)","(7.5, 11.0, 9.32)","(2.6, 6.2, 4.348571428571429)","(15.0, 29.0, 25.0)","(9.0, 15.5, 12.357142857142858)","(9.0, 14.5, 11.3125)"
12-01-2023 09:39:05.851990,"(3.6, 6.8, 5.142857142857142)","(7.5, 12.0, 9.2)","(7.5, 11.0, 9.32)","(2.6, 6.2, 4.348571428571429)","(15.0, 29.0, 25.0)","(9.0, 15.5, 12.357142857142858)","(9.0, 14.5, 11.3125)"
