,Jackies Irishdream,Obabe,Sara Mia,Life Of Saturdays,Sweet Laura,Mission Belle
15-12-2022 11:30:20.391767,"(5.5, 5.6, 5.08)","(5.0, 7.4, 6.28)","(2.25, 5.9, 5.442857142857143)","(9.0, 20.0, 16.46666666666667)","(7.5, 14.0, 12.7)","(5.0, 8.4, 6.72)"
15-12-2022 11:30:21.349027,"(5.5, 5.6, 5.08)","(5.0, 7.4, 6.28)","(2.25, 5.9, 5.442857142857143)","(9.0, 20.0, 16.46666666666667)","(7.5, 14.0, 12.7)","(5.0, 8.4, 6.72)"
15-12-2022 11:30:22.385254,"(5.5, 5.6, 5.08)","(5.0, 7.4, 6.32)","(2.25, 5.9, 5.442857142857143)","(10.0, 20.0, 16.46666666666667)","(7.5, 14.0, 12.7)","(5.0, 8.4, 6.72)"
15-12-2022 11:30:23.447225,"(5.5, 5.6, 4.733333333333333)","(5.0, 7.4, 6.32)","(2.25, 5.9, 5.442857142857143)","(10.0, 20.0, 16.46666666666667)","(7.5, 14.0, 12.7)","(5.0, 8.4, 6.72)"
15-12-2022 11:30:24.348746,"(5.5, 5.4, 4.96)","(5.0, 7.4, 6.32)","(2.25, 5.9, 5.442857142857143)","(10.0, 20.0, 16.46666666666667)","(7.5, 14.0, 12.7)","(5.0, 8.4, 6.72)"
15-12-2022 11:30:25.264406,"(5.5, 5.5, 4.627272727272727)","(5.0, 7.4, 6.32)","(2.25, 5.9, 5.442857142857143)","(10.0, 20.0, 16.46666666666667)","(7.5, 14.0, 12.7)","(5.0, 8.4, 6.72)"
15-12-2022 11:30:26.298885,"(5.5, 5.5, 4.96)","(5.0, 7.4, 6.32)","(2.25, 5.9, 5.442857142857143)","(10.0, 20.0, 16.46666666666667)","(7.5, 14.0, 12.571428571428571)","(5.0, 8.4, 6.72)"
15-12-2022 11:30:27.235367,"(5.5, 5.4, 4.96)","(5.0, 7.4, 6.32)","(2.25, 5.9, 5.442857142857143)","(10.0, 20.0, 16.46666666666667)","(7.5, 14.0, 12.571428571428571)","(5.0, 8.4, 6.72)"
15-12-2022 11:30:28.186890,"(5.5, 5.6, 4.733333333333333)","(5.0, 6.8, 5.96)","(2.25, 5.9, 5.188888888888889)","(10.0, 20.0, 16.46666666666667)","(7.5, 14.0, 12.571428571428571)","(5.0, 8.4, 6.4)"
15-12-2022 11:30:29.180424,"(5.5, 5.6, 4.733333333333333)","(5.0, 6.8, 8.375)","(2.25, 5.9, 5.442857142857143)","(10.0, 20.0, 16.46666666666667)","(7.5, 14.0, 11.973333333333333)","(5.0, 8.4, 6.4)"
15-12-2022 11:30:30.223220,"(5.5, 5.5, 4.627272727272727)","(5.0, 9.2, 7.7333333333333325)","(2.25, 5.9, 5.442857142857143)","(10.0, 20.0, 16.46666666666667)","(7.5, 14.0, 9.066666666666666)","(5.0, 8.4, 6.96)"
15-12-2022 11:30:31.237390,"(5.5, 5.5, 4.627272727272727)","(5.0, 9.2, 7.7333333333333325)","(2.25, 5.9, 5.442857142857143)","(10.0, 20.0, 16.46666666666667)","(7.5, 14.0, 9.066666666666666)","(5.0, 8.4, 6.96)"
15-12-2022 11:30:32.191960,"(5.5, 5.5, 4.627272727272727)","(5.0, 9.2, 7.7333333333333325)","(2.25, 5.9, 5.442857142857143)","(10.0, 20.0, 16.46666666666667)","(7.5, 14.0, 9.066666666666666)","(5.0, 8.4, 6.96)"
15-12-2022 11:30:33.103489,"(5.5, 5.5, 4.239999999999999)","(5.0, 16.0, 9.28)","(2.25, 5.9, 5.6692307692307695)","(10.0, 20.0, 16.46666666666667)","(7.5, 14.0, 9.066666666666666)","(5.0, 8.4, 6.96)"
15-12-2022 11:30:34.165935,"(5.5, 5.5, 4.239999999999999)","(5.0, 15.5, 11.933333333333334)","(2.25, 5.9, 5.6692307692307695)","(10.0, 20.0, 17.816666666666666)","(7.5, 14.0, 9.066666666666666)","(5.0, 8.4, 6.96)"
15-12-2022 11:30:35.222251,"(5.5, 5.3, 4.5)","(5.0, 15.0, 11.6)","(2.25, 5.9, 5.6692307692307695)","(10.0, 19.5, 17.816666666666666)","(7.5, 14.0, 9.066666666666666)","(5.0, 8.4, 6.663157894736842)"
15-12-2022 11:30:36.152001,"(5.5, 5.2, 4.21)","(5.0, 11.5, 9.266666666666666)","(2.25, 5.9, 5.6692307692307695)","(10.0, 19.5, 17.816666666666666)","(7.5, 14.0, 11.2)","(5.0, 8.4, 7.036363636363637)"
15-12-2022 11:30:37.211663,"(5.5, 5.2, 4.3)","(5.0, 11.5, 8.933333333333334)","(2.25, 5.9, 5.34)","(10.0, 19.5, 17.816666666666666)","(7.5, 14.0, 11.2)","(5.0, 8.4, 7.036363636363637)"
15-12-2022 11:30:38.225268,"(5.5, 5.1, 4.3)","(5.0, 8.0, 7.245454545454546)","(2.25, 5.9, 5.433333333333334)","(10.0, 19.5, 17.333333333333332)","(7.5, 14.0, 11.2)","(5.0, 8.4, 7.036363636363637)"
15-12-2022 11:30:39.239470,"(5.5, 5.1, 4.21111111111111)","(5.0, 7.6, 6.1)","(2.25, 5.9, 5.683333333333334)","(10.0, 19.5, 17.333333333333332)","(7.5, 14.0, 11.2)","(5.0, 8.4, 7.036363636363637)"
15-12-2022 11:30:40.208058,"(5.5, 5.1, 4.21111111111111)","(5.0, 7.6, 6.1)","(2.25, 5.9, 5.683333333333334)","(10.0, 19.5, 17.333333333333332)","(7.5, 14.0, 11.973333333333333)","(5.0, 8.2, 7.659999999999999)"
15-12-2022 11:30:41.163351,"(5.5, 5.1, 4.21111111111111)","(5.0, 8.4, 6.775)","(2.25, 5.9, 5.683333333333334)","(10.0, 19.5, 17.333333333333332)","(7.5, 14.0, 9.066666666666666)","(5.0, 8.2, 7.659999999999999)"
15-12-2022 11:30:42.203574,"(5.5, 5.1, 4.21111111111111)","(5.0, 8.2, 7.081818181818182)","(2.25, 5.9, 5.42)","(10.0, 19.5, 17.333333333333332)","(7.5, 14.0, 9.066666666666666)","(5.0, 8.2, 7.659999999999999)"
15-12-2022 11:30:43.176266,"(5.5, 5.1, 4.21111111111111)","(5.0, 7.8, 7.081818181818182)","(2.25, 5.9, 5.42)","(10.0, 19.5, 17.333333333333332)","(7.5, 14.0, 10.05)","(5.0, 8.2, 7.659999999999999)"
15-12-2022 11:30:44.072387,"(5.5, 5.1, 4.3)","(5.0, 7.6, 7.038461538461538)","(2.25, 5.9, 5.7)","(10.0, 19.5, 17.333333333333332)","(7.5, 13.5, 10.05)","(5.0, 8.2, 7.659999999999999)"
15-12-2022 11:30:45.002039,"(5.5, 5.1, 4.3)","(5.0, 7.6, 6.16)","(2.25, 5.9, 5.716666666666667)","(10.0, 19.5, 17.333333333333332)","(7.5, 13.5, 10.05)","(5.0, 8.2, 7.659999999999999)"
15-12-2022 11:30:45.980198,"(5.5, 5.1, 4.3)","(5.0, 7.6, 4.909090909090909)","(2.25, 5.9, 5.716666666666667)","(10.0, 19.5, 17.333333333333332)","(7.5, 13.5, 10.05)","(5.0, 8.2, 7.659999999999999)"
15-12-2022 11:30:46.981001,"(5.5, 5.1, 4.3)","(5.0, 7.6, 6.063157894736841)","(2.25, 5.9, 5.730769230769231)","(10.0, 19.5, 17.333333333333332)","(7.5, 13.5, 10.05)","(5.0, 8.2, 7.659999999999999)"
15-12-2022 11:30:47.896692,"(5.5, 5.1, 4.3)","(5.0, 7.4, 7.112500000000001)","(2.25, 5.9, 5.233333333333333)","(10.0, 19.5, 17.333333333333332)","(7.5, 13.5, 10.05)","(5.0, 8.2, 7.659999999999999)"
15-12-2022 11:30:48.798859,"(5.5, 5.1, 4.3)","(5.0, 7.4, 7.112500000000001)","(2.25, 5.9, 5.233333333333333)","(10.0, 19.5, 17.333333333333332)","(7.5, 13.5, 10.05)","(5.0, 8.2, 7.659999999999999)"
15-12-2022 11:30:49.819565,"(5.5, 5.1, 4.3)","(5.0, 7.4, 7.112500000000001)","(2.25, 5.9, 5.233333333333333)","(10.0, 19.5, 17.333333333333332)","(7.5, 12.5, 10.6)","(5.0, 8.2, 7.659999999999999)"
15-12-2022 11:30:50.905408,"(5.5, 5.1, 4.3)","(5.0, 7.0, 6.745833333333334)","(2.25, 5.9, 5.233333333333333)","(10.0, 19.5, 17.333333333333332)","(7.5, 12.5, 11.075)","(5.0, 8.2, 7.659999999999999)"
15-12-2022 11:30:51.770449,"(5.5, 5.1, 4.3)","(5.0, 7.0, 6.745833333333334)","(2.25, 5.9, 5.233333333333333)","(10.0, 19.5, 17.333333333333332)","(7.5, 12.5, 11.075)","(5.0, 8.2, 7.659999999999999)"
15-12-2022 11:30:52.777696,"(5.5, 5.1, 4.3)","(5.0, 7.0, 6.25)","(2.25, 5.9, 5.233333333333333)","(10.0, 19.5, 17.333333333333332)","(7.5, 12.5, 11.32)","(5.0, 8.2, 7.659999999999999)"
15-12-2022 11:30:53.859047,"(5.5, 5.1, 4.3)","(5.0, 7.2, 6.4)","(2.25, 5.9, 5.233333333333333)","(10.0, 19.5, 17.333333333333332)","(7.5, 12.5, 9.55)","(5.0, 8.2, 7.659999999999999)"
15-12-2022 11:30:54.814188,"(4.8, 5.1, 4.3)","(3.7, 7.2, 6.4)","(2.4, 5.9, 5.233333333333333)","(11.0, 19.5, 17.333333333333332)","(7.0, 12.5, 9.55)","(5.0, 8.2, 7.659999999999999)"
15-12-2022 11:30:55.839930,"(4.8, 5.1, 4.3)","(3.7, 7.2, 6.4)","(2.4, 5.9, 5.233333333333333)","(11.0, 19.5, 17.333333333333332)","(7.0, 12.5, 9.55)","(5.0, 8.2, 7.659999999999999)"
15-12-2022 11:30:56.885672,"(4.8, 5.1, 4.3)","(3.7, 7.2, 6.4)","(2.4, 5.9, 5.233333333333333)","(11.0, 19.5, 17.333333333333332)","(7.0, 12.5, 9.55)","(5.0, 8.2, 7.659999999999999)"
15-12-2022 11:30:57.951231,"(4.8, 5.1, 4.3)","(3.7, 7.2, 6.4)","(2.4, 5.9, 5.614285714285715)","(11.0, 19.5, 17.333333333333332)","(7.0, 12.5, 9.55)","(5.0, 8.2, 7.545454545454545)"
15-12-2022 11:30:59.087813,"(4.8, 5.1, 4.3)","(3.7, 7.2, 6.4)","(2.4, 5.9, 5.614285714285715)","(11.0, 19.5, 17.333333333333332)","(7.0, 12.5, 9.55)","(5.0, 8.2, 7.369230769230769)"
15-12-2022 11:31:00.047787,"(4.8, 5.1, 4.3)","(3.7, 7.2, 6.4)","(2.4, 5.9, 5.614285714285715)","(11.0, 19.5, 17.333333333333332)","(7.0, 12.5, 9.55)","(5.0, 8.2, 7.369230769230769)"
15-12-2022 11:31:01.040861,"(4.8, 5.1, 4.3)","(3.7, 7.2, 6.4)","(2.4, 5.9, 5.614285714285715)","(11.0, 19.5, 17.333333333333332)","(7.0, 12.5, 9.55)","(5.0, 8.2, 7.369230769230769)"
15-12-2022 11:31:02.092254,"(4.8, 5.1, 4.3)","(3.7, 7.2, 6.865)","(2.4, 5.9, 5.614285714285715)","(11.0, 19.5, 17.333333333333332)","(7.0, 12.5, 9.55)","(5.0, 8.2, 7.369230769230769)"
15-12-2022 11:31:03.094653,"(4.8, 5.1, 4.3)","(3.7, 7.2, 6.865)","(2.4, 5.9, 5.542857142857143)","(11.0, 19.5, 15.666666666666666)","(7.0, 12.5, 11.991666666666667)","(5.0, 8.2, 7.369230769230769)"
15-12-2022 11:31:04.006790,"(4.8, 5.1, 4.3)","(3.7, 7.4, 6.754545454545455)","(2.4, 5.8, 5.542857142857143)","(11.0, 19.0, 15.666666666666666)","(7.0, 12.5, 11.991666666666667)","(5.0, 8.0, 7.644444444444444)"
15-12-2022 11:31:04.951786,"(4.8, 5.1, 4.3)","(3.7, 7.4, 7.045)","(2.4, 5.8, 5.2)","(11.0, 19.0, 15.666666666666666)","(7.0, 12.5, 11.991666666666667)","(5.0, 8.0, 7.644444444444444)"
15-12-2022 11:31:05.932480,"(4.8, 5.1, 4.3)","(3.7, 7.4, 7.045)","(2.4, 5.8, 5.2)","(11.0, 19.0, 15.666666666666666)","(7.0, 12.5, 11.991666666666667)","(5.0, 8.0, 7.644444444444444)"
15-12-2022 11:31:06.875812,"(4.8, 5.1, 4.3)","(3.5, 7.4, 7.045)","(2.4, 5.8, 5.2)","(11.0, 19.0, 15.666666666666666)","(7.0, 12.5, 11.991666666666667)","(5.0, 8.0, 7.644444444444444)"
15-12-2022 11:31:07.856346,"(4.8, 5.1, 4.3)","(3.5, 7.4, 7.045)","(2.4, 5.8, 5.2)","(11.0, 19.0, 15.666666666666666)","(7.0, 12.5, 11.991666666666667)","(5.0, 8.0, 7.644444444444444)"
15-12-2022 11:31:08.894470,"(4.8, 5.1, 4.3)","(3.5, 7.4, 7.045)","(2.4, 5.8, 5.0285714285714285)","(11.0, 19.0, 15.666666666666666)","(7.0, 12.5, 11.483333333333334)","(5.0, 8.0, 7.644444444444444)"
15-12-2022 11:31:09.911660,"(4.8, 5.1, 4.3)","(3.5, 7.4, 5.846875000000001)","(2.4, 5.8, 4.942857142857143)","(11.0, 19.0, 15.666666666666666)","(7.0, 12.5, 11.483333333333334)","(5.0, 8.0, 7.644444444444444)"
15-12-2022 11:31:10.989837,"(4.8, 5.1, 4.3)","(3.5, 7.6, 5.959375)","(2.4, 5.8, 4.942857142857143)","(11.0, 19.0, 15.666666666666666)","(7.0, 12.5, 11.483333333333334)","(5.0, 8.0, 7.644444444444444)"
15-12-2022 11:31:11.945566,"(4.8, 5.1, 4.3)","(3.5, 7.6, 5.959375)","(2.4, 5.8, 4.942857142857143)","(11.0, 19.0, 16.666666666666668)","(7.0, 12.5, 11.483333333333334)","(5.0, 8.0, 7.644444444444444)"
15-12-2022 11:31:12.810088,"(4.8, 5.1, 4.3)","(3.8, 7.6, 5.959375)","(3.1, 5.8, 4.942857142857143)","(11.0, 18.5, 16.666666666666668)","(7.5, 12.5, 11.483333333333334)","(6.0, 8.0, 7.644444444444444)"
15-12-2022 11:31:13.850147,"(4.8, 5.1, 4.3)","(3.8, 7.6, 5.8352941176470585)","(3.1, 5.8, 5.2)","(11.0, 18.5, 16.666666666666668)","(7.5, 12.5, 11.483333333333334)","(6.0, 8.0, 7.644444444444444)"
15-12-2022 11:31:14.870894,"(4.8, 5.1, 4.3)","(3.8, 7.6, 5.8352941176470585)","(3.1, 5.8, 5.2)","(11.0, 18.5, 16.666666666666668)","(7.5, 12.5, 11.483333333333334)","(6.0, 8.0, 7.644444444444444)"
15-12-2022 11:31:15.776623,"(4.8, 5.1, 4.3)","(3.8, 7.6, 5.8352941176470585)","(3.1, 5.8, 5.2)","(11.0, 18.5, 16.666666666666668)","(7.5, 12.5, 11.483333333333334)","(6.0, 8.0, 7.644444444444444)"
15-12-2022 11:31:16.739192,"(4.8, 5.1, 4.3)","(3.8, 7.6, 5.8352941176470585)","(3.2, 5.8, 5.2)","(11.0, 18.5, 16.666666666666668)","(7.5, 12.5, 11.483333333333334)","(6.0, 8.0, 7.644444444444444)"
15-12-2022 11:31:17.850258,"(4.8, 5.1, 4.3)","(3.8, 7.6, 5.8352941176470585)","(3.2, 5.8, 5.2)","(11.0, 18.5, 16.666666666666668)","(7.5, 12.5, 11.483333333333334)","(6.0, 8.0, 7.644444444444444)"
15-12-2022 11:31:18.919416,"(4.8, 5.1, 4.3)","(3.8, 7.6, 5.8352941176470585)","(3.2, 5.8, 5.2)","(11.0, 18.5, 16.666666666666668)","(7.5, 12.5, 11.483333333333334)","(6.0, 8.0, 7.644444444444444)"
15-12-2022 11:31:19.907990,"(4.8, 5.1, 4.3)","(3.8, 7.6, 5.8352941176470585)","(3.2, 5.8, 5.2)","(11.0, 18.5, 16.666666666666668)","(7.5, 12.5, 11.483333333333334)","(6.0, 8.0, 7.644444444444444)"
15-12-2022 11:31:20.868101,"(4.8, 5.1, 4.3)","(3.8, 7.6, 5.8352941176470585)","(3.2, 5.8, 5.2)","(11.0, 18.5, 16.666666666666668)","(7.5, 12.5, 11.483333333333334)","(6.0, 8.0, 7.644444444444444)"
15-12-2022 11:31:21.912560,"(4.8, 5.1, 4.3)","(3.8, 7.4, 6.754545454545455)","(3.2, 5.8, 5.482352941176471)","(11.0, 18.5, 16.666666666666668)","(7.5, 12.5, 11.483333333333334)","(6.0, 8.0, 7.644444444444444)"
15-12-2022 11:31:22.948237,"(4.8, 5.1, 4.3)","(3.8, 7.4, 6.754545454545455)","(3.2, 5.8, 5.482352941176471)","(11.0, 18.5, 16.666666666666668)","(7.5, 12.5, 11.483333333333334)","(6.0, 8.0, 7.644444444444444)"
15-12-2022 11:31:23.976951,"(4.8, 5.1, 4.3)","(3.8, 7.4, 6.754545454545455)","(3.2, 5.8, 5.482352941176471)","(11.0, 18.5, 16.666666666666668)","(7.5, 12.5, 11.483333333333334)","(6.0, 8.0, 7.418181818181818)"
15-12-2022 11:31:24.921649,"(4.8, 5.1, 4.3)","(3.8, 7.4, 6.754545454545455)","(3.2, 5.8, 5.482352941176471)","(11.0, 18.5, 16.666666666666668)","(7.5, 12.5, 11.483333333333334)","(6.0, 7.8, 7.153846153846154)"
15-12-2022 11:31:25.801727,"(4.8, 5.1, 4.3)","(3.8, 7.2, 6.590909090909092)","(3.2, 5.8, 5.533333333333333)","(11.0, 18.5, 16.666666666666668)","(7.5, 12.5, 11.483333333333334)","(6.0, 7.8, 7.153846153846154)"
15-12-2022 11:31:26.844684,"(4.8, 5.1, 4.3)","(3.8, 7.2, 6.590909090909092)","(3.2, 5.8, 5.533333333333333)","(11.0, 18.5, 16.666666666666668)","(7.5, 12.5, 11.483333333333334)","(6.0, 7.8, 7.153846153846154)"
15-12-2022 11:31:27.822662,"(4.8, 5.1, 4.3)","(3.8, 7.2, 7.045)","(3.2, 5.8, 5.35)","(11.0, 18.5, 16.666666666666668)","(7.5, 12.5, 11.483333333333334)","(6.0, 7.8, 7.153846153846154)"
15-12-2022 11:31:28.748285,"(4.8, 5.1, 4.3)","(3.8, 7.4, 7.045)","(3.2, 5.8, 5.35)","(11.0, 18.5, 16.666666666666668)","(7.5, 12.5, 11.483333333333334)","(6.0, 7.8, 7.153846153846154)"
15-12-2022 11:31:29.765212,"(4.8, 5.1, 4.3)","(3.8, 7.4, 7.045)","(3.2, 5.8, 5.0285714285714285)","(11.0, 18.5, 16.666666666666668)","(7.5, 12.5, 11.483333333333334)","(6.0, 7.8, 7.153846153846154)"
15-12-2022 11:31:30.917008,"(4.8, 5.1, 4.199999999999999)","(3.8, 7.4, 6.754545454545455)","(3.2, 5.8, 5.3090909090909095)","(11.0, 18.5, 16.142857142857142)","(7.5, 12.5, 11.483333333333334)","(6.0, 7.8, 7.153846153846154)"
15-12-2022 11:31:31.960374,"(4.8, 5.0, 4.1899999999999995)","(3.8, 7.4, 6.754545454545455)","(3.2, 5.8, 5.3090909090909095)","(11.0, 18.5, 16.142857142857142)","(7.5, 12.5, 11.822222222222223)","(6.0, 7.8, 7.153846153846154)"
15-12-2022 11:31:32.940361,"(4.8, 5.0, 4.1899999999999995)","(3.8, 7.4, 6.754545454545455)","(3.2, 5.8, 5.3090909090909095)","(11.0, 18.5, 16.142857142857142)","(7.5, 12.5, 11.822222222222223)","(6.0, 7.8, 7.153846153846154)"
15-12-2022 11:31:33.977060,"(4.8, 5.0, 4.228571428571429)","(3.8, 7.4, 6.754545454545455)","(3.2, 5.8, 5.3090909090909095)","(11.0, 18.5, 16.142857142857142)","(7.5, 12.5, 11.822222222222223)","(6.0, 7.8, 7.153846153846154)"
15-12-2022 11:31:35.041424,"(4.8, 4.9, 4.214285714285714)","(3.8, 7.4, 5.98)","(3.2, 5.8, 5.3090909090909095)","(11.0, 18.5, 15.444444444444445)","(7.5, 12.5, 11.822222222222223)","(6.0, 7.6, 7.163636363636364)"
15-12-2022 11:31:36.089098,"(4.8, 4.9, 4.199999999999999)","(3.8, 7.4, 5.625)","(3.2, 5.8, 5.4)","(11.0, 18.5, 15.444444444444445)","(7.5, 12.5, 11.822222222222223)","(6.0, 7.8, 7.216666666666667)"
15-12-2022 11:31:37.008010,"(4.8, 4.9, 4.199999999999999)","(3.8, 7.4, 5.625)","(3.2, 5.8, 5.4)","(11.0, 18.5, 15.444444444444445)","(7.5, 12.5, 10.533333333333333)","(6.0, 7.8, 7.216666666666667)"
15-12-2022 11:31:37.970602,"(4.8, 4.9, 4.199999999999999)","(3.8, 7.2, 6.590909090909092)","(3.2, 5.8, 5.4)","(11.0, 18.5, 15.444444444444445)","(7.5, 12.5, 10.533333333333333)","(6.0, 7.8, 7.216666666666667)"
15-12-2022 11:31:38.980986,"(4.8, 4.8, 4.239999999999999)","(3.8, 7.2, 6.1)","(3.2, 5.8, 5.4)","(11.0, 18.5, 15.444444444444445)","(7.5, 12.5, 10.533333333333333)","(6.0, 7.8, 7.216666666666667)"
15-12-2022 11:31:39.936518,"(4.8, 4.8, 4.239999999999999)","(3.8, 7.2, 6.7)","(3.2, 5.8, 5.4)","(11.0, 18.5, 15.444444444444445)","(7.5, 12.5, 10.533333333333333)","(6.0, 7.8, 7.216666666666667)"
15-12-2022 11:31:40.852247,"(4.8, 4.8, 4.239999999999999)","(3.8, 7.2, 6.488888888888889)","(3.2, 5.8, 5.4)","(11.0, 18.5, 15.444444444444445)","(7.5, 12.5, 9.3)","(6.0, 7.8, 7.216666666666667)"
15-12-2022 11:31:41.937753,"(4.8, 4.8, 4.239999999999999)","(3.8, 7.2, 6.7)","(3.2, 5.8, 5.4)","(11.0, 18.5, 15.444444444444445)","(7.5, 12.0, 8.76)","(6.0, 7.8, 7.216666666666667)"
15-12-2022 11:31:43.149576,"(4.8, 4.8, 4.177777777777777)","(3.8, 7.2, 6.428571428571429)","(3.2, 5.8, 5.4)","(11.0, 18.5, 15.444444444444445)","(7.5, 12.0, 8.76)","(6.0, 7.8, 7.216666666666667)"
15-12-2022 11:31:44.263738,"(4.8, 4.8, 4.177777777777777)","(3.8, 7.2, 6.428571428571429)","(3.2, 5.8, 5.4)","(11.0, 18.5, 15.444444444444445)","(7.5, 12.0, 8.76)","(6.0, 7.8, 7.216666666666667)"
15-12-2022 11:31:45.334462,"(4.8, 4.8, 4.177777777777777)","(3.8, 7.2, 6.428571428571429)","(3.2, 5.8, 5.4)","(11.0, 18.5, 15.444444444444445)","(7.5, 12.0, 8.76)","(6.0, 7.8, 7.216666666666667)"
15-12-2022 11:31:46.497027,"(4.8, 4.8, 4.239999999999999)","(3.8, 7.2, 6.428571428571429)","(3.2, 5.8, 5.4)","(11.0, 18.5, 15.444444444444445)","(7.5, 12.0, 8.76)","(6.0, 7.8, 7.216666666666667)"
15-12-2022 11:31:47.520744,"(4.8, 4.8, 4.239999999999999)","(3.8, 7.0, 5.970588235294118)","(3.2, 5.8, 5.2)","(11.0, 18.5, 15.444444444444445)","(7.5, 12.0, 8.76)","(6.0, 7.8, 7.216666666666667)"
15-12-2022 11:31:48.670126,"(4.8, 4.8, 4.239999999999999)","(3.8, 7.0, 5.970588235294118)","(3.2, 5.8, 5.2)","(11.0, 18.5, 15.444444444444445)","(7.5, 12.0, 8.76)","(6.0, 7.8, 7.216666666666667)"
15-12-2022 11:31:49.820276,"(4.8, 4.8, 4.239999999999999)","(3.8, 7.0, 5.970588235294118)","(3.2, 5.8, 5.35)","(11.0, 18.5, 15.444444444444445)","(7.5, 12.0, 8.76)","(6.0, 7.8, 7.216666666666667)"
15-12-2022 11:31:50.970363,"(4.8, 4.8, 4.239999999999999)","(3.8, 7.0, 5.970588235294118)","(3.2, 5.8, 5.35)","(11.0, 18.5, 15.444444444444445)","(7.5, 12.0, 8.76)","(6.0, 7.6, 7.449999999999999)"
15-12-2022 11:31:52.202062,"(4.8, 4.8, 4.239999999999999)","(3.8, 7.0, 5.75)","(3.2, 5.8, 5.35)","(11.0, 18.5, 15.444444444444445)","(7.5, 12.0, 10.2)","(6.0, 7.6, 7.449999999999999)"
