,Sudden Comfort,Pay Roll,Tranquil Ben,Stacked Deck,Clover Athena,Modulating
15-12-2022 12:08:27.337456,"(3.5, 6.4, 5.12560975609756)","(3.9, 6.8, 5.9)","(7.5, 14.0, 10.08421052631579)","(3.0, 4.7, 3.365)","(4.6, 7.0, 5.85)","(19.0, 60.0, 42.94736842105263)"
15-12-2022 12:08:28.323644,"(3.5, 6.4, 5.12560975609756)","(3.9, 6.8, 6.38)","(7.5, 14.0, 10.08421052631579)","(3.0, 4.7, 3.365)","(4.6, 7.0, 5.85)","(19.0, 60.0, 42.94736842105263)"
15-12-2022 12:08:29.252178,"(3.5, 6.4, 5.12560975609756)","(3.9, 6.8, 6.6378378378378375)","(7.5, 14.0, 10.08421052631579)","(3.0, 4.7, 3.365)","(4.6, 7.0, 5.85)","(19.0, 60.0, 42.94736842105263)"
15-12-2022 12:08:30.107331,"(3.5, 6.4, 5.12560975609756)","(3.9, 6.8, 6.6378378378378375)","(7.5, 14.0, 10.08421052631579)","(3.0, 4.7, 3.365)","(4.6, 7.0, 5.85)","(19.0, 60.0, 42.94736842105263)"
15-12-2022 12:08:31.019550,"(3.5, 6.4, 5.12560975609756)","(3.9, 6.8, 6.6378378378378375)","(7.5, 14.0, 10.08421052631579)","(3.0, 4.7, 3.365)","(4.6, 7.0, 5.85)","(19.0, 60.0, 42.94736842105263)"
15-12-2022 12:08:31.903541,"(3.5, 6.4, 5.12560975609756)","(3.9, 6.8, 6.6378378378378375)","(7.5, 14.0, 10.08421052631579)","(3.0, 4.7, 3.365)","(4.6, 7.0, 5.85)","(19.0, 60.0, 42.94736842105263)"
15-12-2022 12:08:32.818221,"(3.5, 6.4, 5.12560975609756)","(3.9, 6.8, 6.6378378378378375)","(7.5, 14.0, 10.08421052631579)","(3.0, 4.7, 3.365)","(4.6, 7.0, 5.85)","(19.0, 60.0, 42.94736842105263)"
15-12-2022 12:08:33.701784,"(3.5, 6.4, 5.12560975609756)","(3.9, 6.8, 6.6378378378378375)","(7.5, 14.0, 10.08421052631579)","(3.0, 4.7, 3.365)","(4.6, 7.0, 5.85)","(19.0, 60.0, 42.94736842105263)"
15-12-2022 12:08:34.699274,"(3.5, 6.4, 5.12560975609756)","(3.9, 6.8, 6.6378378378378375)","(7.5, 14.0, 10.08421052631579)","(3.0, 4.7, 3.365)","(4.6, 7.0, 6.5588235294117645)","(19.0, 60.0, 42.94736842105263)"
15-12-2022 12:08:35.585834,"(3.5, 6.4, 5.12560975609756)","(3.9, 6.8, 5.62)","(7.5, 14.0, 10.08421052631579)","(3.0, 4.7, 3.365)","(4.6, 7.0, 5.8)","(19.0, 60.0, 42.94736842105263)"
15-12-2022 12:08:36.743062,"(3.5, 6.4, 5.12560975609756)","(3.9, 6.8, 5.62)","(7.5, 14.0, 10.08421052631579)","(3.0, 4.7, 3.365)","(4.6, 7.0, 5.8)","(19.0, 60.0, 42.94736842105263)"
15-12-2022 12:08:37.698139,"(3.5, 6.4, 5.12560975609756)","(3.9, 6.8, 5.62)","(7.5, 14.0, 10.08421052631579)","(3.0, 4.7, 3.365)","(4.6, 7.0, 5.8)","(19.0, 60.0, 40.05263157894737)"
15-12-2022 12:08:38.673386,"(3.5, 6.4, 5.12560975609756)","(3.9, 6.8, 5.62)","(7.5, 14.0, 10.08421052631579)","(3.0, 4.7, 3.365)","(4.6, 7.0, 5.8)","(19.0, 55.0, 40.05263157894737)"
15-12-2022 12:08:39.772200,"(3.5, 6.2, 5.987500000000001)","(3.9, 6.8, 5.62)","(7.5, 13.5, 12.7875)","(3.0, 4.7, 3.134)","(4.6, 7.0, 5.8)","(19.0, 55.0, 40.05263157894737)"
15-12-2022 12:08:40.858597,"(3.5, 6.2, 5.987500000000001)","(3.9, 6.8, 5.62)","(7.5, 13.5, 12.7875)","(3.0, 4.7, 3.134)","(4.6, 7.0, 5.8)","(19.0, 55.0, 40.05263157894737)"
15-12-2022 12:08:41.809003,"(3.5, 6.2, 5.987500000000001)","(3.9, 6.8, 5.62)","(7.5, 13.5, 12.7875)","(3.0, 4.7, 3.134)","(4.6, 7.0, 5.8)","(19.0, 55.0, 40.05263157894737)"
15-12-2022 12:08:42.687868,"(3.5, 6.2, 5.987500000000001)","(3.9, 6.8, 5.62)","(7.5, 13.5, 12.7875)","(3.0, 4.7, 3.134)","(4.6, 7.0, 5.8)","(19.0, 55.0, 40.05263157894737)"
15-12-2022 12:08:43.583708,"(3.5, 6.2, 5.987500000000001)","(3.9, 6.8, 5.62)","(7.5, 13.5, 12.7875)","(3.0, 4.7, 3.134)","(4.6, 7.0, 5.8)","(19.0, 55.0, 40.05263157894737)"
15-12-2022 12:08:44.408653,"(3.5, 6.2, 5.987500000000001)","(3.9, 6.8, 5.62)","(7.5, 13.5, 12.7875)","(3.0, 4.7, 3.134)","(4.6, 7.0, 5.8)","(19.0, 55.0, 40.05263157894737)"
