,Preston Lee,Remnants,Claretown Rocky,Invictus Ethan,Skibo Rebel
09-01-2023 13:54:59.466523,"(1.01, 1.17, 1.1683812949640286)","(7.5, 18.5, 11.766666666666667)","(18.0, 90.0, 44.375)","(19.0, 95.0, 46.5625)","(61.0, 540.0, 357.3076923076923)"
09-01-2023 13:55:00.461993,"(1.01, 1.17, 1.1683812949640286)","(7.5, 18.5, 11.766666666666667)","(18.0, 90.0, 44.375)","(19.0, 95.0, 46.5625)","(61.0, 540.0, 357.3076923076923)"
09-01-2023 13:55:01.447642,"(1.01, 1.17, 1.1683812949640286)","(7.5, 18.5, 11.766666666666667)","(18.0, 90.0, 44.375)","(19.0, 95.0, 46.5625)","(61.0, 540.0, 357.3076923076923)"
09-01-2023 13:55:02.335938,"(1.01, 1.17, 1.1683812949640286)","(7.5, 18.5, 11.766666666666667)","(18.0, 90.0, 44.375)","(19.0, 95.0, 46.5625)","(61.0, 540.0, 357.3076923076923)"
09-01-2023 13:55:03.196358,"(1.01, 1.17, 1.1683812949640286)","(7.5, 18.5, 11.766666666666667)","(18.0, 90.0, 44.375)","(19.0, 95.0, 46.5625)","(61.0, 540.0, 357.3076923076923)"
09-01-2023 13:55:04.229830,"(1.01, 1.17, 1.1683812949640286)","(7.5, 18.5, 11.766666666666667)","(18.0, 90.0, 44.375)","(19.0, 95.0, 46.5625)","(61.0, 540.0, 357.3076923076923)"
09-01-2023 13:55:05.267314,"(1.01, 1.17, 1.1683812949640286)","(7.5, 18.5, 11.766666666666667)","(18.0, 90.0, 44.375)","(19.0, 95.0, 46.5625)","(61.0, 540.0, 357.3076923076923)"
09-01-2023 13:55:06.231954,"(1.01, 1.17, 1.1683754512635378)","(7.5, 18.5, 11.766666666666667)","(18.0, 90.0, 44.375)","(19.0, 95.0, 46.5625)","(61.0, 540.0, 357.3076923076923)"
09-01-2023 13:55:07.248933,"(1.01, 1.17, 1.1683754512635378)","(7.5, 18.5, 11.766666666666667)","(18.0, 90.0, 44.375)","(19.0, 95.0, 46.5625)","(61.0, 540.0, 357.3076923076923)"
09-01-2023 13:55:08.194776,"(1.01, 1.17, 1.1683754512635378)","(7.5, 18.5, 11.766666666666667)","(18.0, 90.0, 44.375)","(19.0, 95.0, 46.5625)","(61.0, 540.0, 357.3076923076923)"
09-01-2023 13:55:09.219399,"(1.01, 1.17, 1.1683754512635378)","(7.5, 18.5, 11.766666666666667)","(18.0, 90.0, 44.375)","(19.0, 95.0, 46.5625)","(61.0, 540.0, 357.3076923076923)"
09-01-2023 13:55:10.269406,"(1.01, 1.17, 1.1683754512635378)","(7.5, 18.5, 11.766666666666667)","(18.0, 90.0, 44.375)","(19.0, 95.0, 46.5625)","(61.0, 540.0, 357.3076923076923)"
09-01-2023 13:55:11.317606,"(1.01, 1.17, 1.1683812949640286)","(7.5, 18.5, 11.766666666666667)","(18.0, 90.0, 44.375)","(19.0, 95.0, 46.5625)","(61.0, 540.0, 357.3076923076923)"
09-01-2023 13:55:12.329028,"(1.01, 1.17, 1.1683812949640286)","(7.5, 18.5, 11.766666666666667)","(18.0, 90.0, 44.375)","(19.0, 95.0, 46.5625)","(61.0, 540.0, 357.3076923076923)"
