,Parkburn,Roadhouse,Cochrane,Chalkley,Lily Allez,Sound Of Sleat,Sweet Fantasy,Kashkar,Wren Plucked
06-01-2023 16:49:19.795731,"(3.6, 5.9, 4.633333333333334)","(7.5, 9.2, 8.48)","(10.0, 13.0, 12.833333333333334)","(3.7, 5.2, 4.825)","(11.0, 18.5, 15.933333333333334)","(15.0, 17.5, 16.346153846153847)","(4.2, 5.4, 4.825714285714286)","(14.0, 25.0, 19.75)","(21.0, 75.0, 61.5)"
06-01-2023 16:49:21.092003,"(3.6, 5.9, 4.633333333333334)","(7.5, 9.2, 8.48)","(10.0, 13.0, 12.833333333333334)","(3.7, 5.2, 4.825)","(11.0, 18.5, 15.933333333333334)","(15.0, 17.5, 16.346153846153847)","(4.2, 5.4, 4.825714285714286)","(14.0, 25.0, 19.75)","(21.0, 75.0, 61.5)"
06-01-2023 16:49:22.668775,"(3.6, 5.9, 4.633333333333334)","(7.5, 9.2, 8.48)","(10.0, 13.0, 12.833333333333334)","(3.7, 5.2, 4.825)","(11.0, 18.5, 15.933333333333334)","(15.0, 17.5, 16.346153846153847)","(4.2, 5.4, 4.825714285714286)","(14.0, 25.0, 19.75)","(21.0, 75.0, 61.5)"
06-01-2023 16:49:24.142952,"(3.6, 5.9, 4.633333333333334)","(7.5, 9.2, 8.48)","(10.0, 13.0, 12.833333333333334)","(3.7, 5.2, 4.825)","(11.0, 18.5, 15.933333333333334)","(15.0, 17.5, 16.346153846153847)","(4.2, 5.4, 4.825714285714286)","(14.0, 25.0, 19.75)","(21.0, 75.0, 61.5)"
06-01-2023 16:49:25.485622,"(3.6, 5.9, 4.633333333333334)","(7.5, 9.2, 8.48)","(10.0, 13.0, 12.833333333333334)","(3.7, 5.2, 4.825)","(11.0, 18.5, 15.933333333333334)","(15.0, 17.5, 16.346153846153847)","(4.2, 5.4, 4.825714285714286)","(14.0, 25.0, 19.75)","(21.0, 75.0, 48.0)"
06-01-2023 16:49:26.956160,"(3.6, 5.9, 4.633333333333334)","(7.5, 9.2, 8.48)","(10.0, 13.0, 12.833333333333334)","(3.7, 5.2, 4.825)","(11.0, 18.5, 15.933333333333334)","(15.0, 17.5, 16.346153846153847)","(4.2, 5.4, 4.825714285714286)","(14.0, 25.0, 19.75)","(21.0, 75.0, 48.0)"
06-01-2023 16:49:28.378535,"(3.6, 5.9, 4.633333333333334)","(7.5, 9.2, 8.48)","(10.0, 13.0, 12.833333333333334)","(3.7, 5.2, 4.825)","(11.0, 18.5, 15.933333333333334)","(15.0, 17.5, 16.346153846153847)","(4.2, 5.4, 4.825714285714286)","(14.0, 25.0, 19.75)","(21.0, 75.0, 48.0)"
06-01-2023 16:49:29.716931,"(3.6, 5.9, 4.633333333333334)","(7.5, 9.2, 8.48)","(10.0, 13.0, 12.833333333333334)","(3.7, 5.2, 4.825)","(11.0, 18.5, 15.933333333333334)","(15.0, 17.5, 16.346153846153847)","(4.2, 5.4, 4.825714285714286)","(14.0, 25.0, 19.75)","(21.0, 75.0, 48.0)"
06-01-2023 16:49:30.950945,"(3.6, 5.9, 4.633333333333334)","(7.5, 9.2, 8.48)","(10.0, 13.0, 12.833333333333334)","(3.7, 5.2, 4.825)","(11.0, 18.5, 15.933333333333334)","(15.0, 17.5, 16.346153846153847)","(4.2, 5.4, 4.825714285714286)","(14.0, 25.0, 19.75)","(21.0, 75.0, 48.0)"
06-01-2023 16:49:32.175216,"(3.6, 5.9, 4.633333333333334)","(7.5, 9.2, 8.48)","(10.0, 13.0, 12.833333333333334)","(3.7, 5.2, 4.825)","(11.0, 18.5, 15.933333333333334)","(15.0, 17.5, 16.346153846153847)","(4.2, 5.4, 4.825714285714286)","(14.0, 25.0, 19.75)","(21.0, 75.0, 48.0)"
06-01-2023 16:49:33.466502,"(3.6, 5.9, 4.633333333333334)","(7.5, 9.2, 8.48)","(10.0, 13.0, 12.833333333333334)","(3.7, 5.2, 4.825)","(11.0, 18.5, 15.933333333333334)","(15.0, 17.5, 16.346153846153847)","(4.2, 5.4, 4.825714285714286)","(14.0, 25.0, 19.75)","(21.0, 75.0, 48.0)"
06-01-2023 16:49:34.722300,"(3.6, 5.9, 4.633333333333334)","(7.5, 9.2, 8.48)","(10.0, 13.0, 12.833333333333334)","(3.7, 5.2, 4.825)","(11.0, 18.5, 15.933333333333334)","(15.0, 17.5, 16.346153846153847)","(4.2, 5.4, 4.825714285714286)","(14.0, 25.0, 19.75)","(21.0, 75.0, 48.0)"
06-01-2023 16:49:35.930456,"(3.6, 5.9, 4.633333333333334)","(7.5, 9.2, 8.48)","(10.0, 13.0, 12.833333333333334)","(3.7, 5.2, 4.825)","(11.0, 18.5, 15.933333333333334)","(15.0, 17.5, 16.346153846153847)","(4.2, 5.4, 4.9363636363636365)","(14.0, 25.0, 19.75)","(21.0, 75.0, 48.0)"
06-01-2023 16:49:37.218295,"(3.6, 5.9, 4.633333333333334)","(7.5, 9.2, 8.48)","(10.0, 13.0, 12.833333333333334)","(3.7, 5.2, 4.825)","(11.0, 18.5, 15.933333333333334)","(15.0, 17.5, 16.346153846153847)","(4.2, 5.3, 4.9363636363636365)","(14.0, 25.0, 19.75)","(21.0, 75.0, 48.0)"
06-01-2023 16:49:38.423463,"(3.6, 5.9, 4.633333333333334)","(7.5, 9.2, 8.48)","(10.0, 13.0, 12.833333333333334)","(3.7, 5.2, 4.825)","(11.0, 18.5, 15.933333333333334)","(15.0, 17.5, 16.346153846153847)","(4.2, 5.3, 4.9363636363636365)","(14.0, 25.0, 19.75)","(21.0, 75.0, 48.0)"
06-01-2023 16:49:39.598206,"(3.6, 5.9, 4.633333333333334)","(7.5, 9.2, 8.48)","(10.0, 13.0, 12.833333333333334)","(3.7, 5.2, 4.825)","(11.0, 18.5, 15.933333333333334)","(15.0, 17.5, 16.346153846153847)","(4.2, 5.3, 4.9363636363636365)","(14.0, 25.0, 19.75)","(21.0, 75.0, 48.0)"
06-01-2023 16:49:40.750403,"(3.6, 5.9, 4.633333333333334)","(7.5, 9.2, 8.48)","(10.0, 13.0, 12.833333333333334)","(3.7, 5.2, 4.825)","(11.0, 18.5, 15.933333333333334)","(15.0, 17.5, 16.346153846153847)","(4.2, 5.3, 4.9363636363636365)","(14.0, 25.0, 19.75)","(21.0, 75.0, 48.0)"
06-01-2023 16:49:41.944925,"(3.6, 5.9, 4.633333333333334)","(7.5, 9.2, 8.48)","(10.0, 13.0, 12.833333333333334)","(3.7, 5.2, 4.825)","(11.0, 18.5, 15.933333333333334)","(15.0, 17.5, 16.346153846153847)","(4.2, 5.3, 4.9363636363636365)","(14.0, 25.0, 19.75)","(21.0, 75.0, 48.0)"
06-01-2023 16:49:43.181331,"(3.6, 5.9, 4.633333333333334)","(7.5, 9.2, 8.48)","(10.0, 13.0, 12.833333333333334)","(3.7, 5.2, 4.825)","(11.0, 18.5, 15.933333333333334)","(15.0, 17.5, 16.346153846153847)","(4.2, 5.3, 4.9363636363636365)","(14.0, 25.0, 19.75)","(21.0, 75.0, 48.0)"
06-01-2023 16:49:44.383152,"(3.6, 5.9, 4.633333333333334)","(7.5, 9.2, 8.48)","(10.0, 13.0, 12.833333333333334)","(3.7, 5.2, 4.825)","(11.0, 18.5, 15.933333333333334)","(15.0, 17.5, 16.346153846153847)","(4.2, 5.3, 4.9363636363636365)","(14.0, 25.0, 19.75)","(21.0, 75.0, 48.0)"
06-01-2023 16:49:45.654395,"(3.6, 5.9, 4.633333333333334)","(7.5, 9.2, 8.48)","(10.0, 13.0, 12.833333333333334)","(3.7, 5.2, 4.825)","(11.0, 18.5, 15.933333333333334)","(15.0, 17.5, 16.346153846153847)","(4.2, 5.3, 4.907142857142857)","(14.0, 25.0, 19.75)","(21.0, 75.0, 61.5)"
06-01-2023 16:49:46.839089,"(3.6, 5.9, 4.633333333333334)","(7.5, 9.2, 8.48)","(10.0, 13.0, 12.833333333333334)","(3.7, 5.2, 4.825)","(11.0, 18.5, 15.933333333333334)","(15.0, 17.5, 16.346153846153847)","(4.2, 5.3, 4.907142857142857)","(14.0, 25.0, 19.75)","(21.0, 75.0, 61.5)"
06-01-2023 16:49:48.076721,"(3.6, 5.9, 4.633333333333334)","(7.5, 9.2, 8.48)","(10.0, 13.0, 12.833333333333334)","(3.7, 5.2, 4.825)","(11.0, 18.5, 15.933333333333334)","(15.0, 17.5, 16.346153846153847)","(4.2, 5.3, 4.907142857142857)","(14.0, 25.0, 19.75)","(21.0, 75.0, 61.5)"
06-01-2023 16:49:49.410815,"(3.6, 5.9, 4.633333333333334)","(7.5, 9.2, 8.48)","(10.0, 13.0, 12.833333333333334)","(3.7, 5.2, 4.825)","(11.0, 18.5, 15.933333333333334)","(15.0, 17.5, 16.346153846153847)","(4.2, 5.3, 4.907142857142857)","(14.0, 25.0, 19.75)","(21.0, 75.0, 61.5)"
06-01-2023 16:49:50.720016,"(3.6, 5.9, 4.633333333333334)","(7.5, 9.2, 8.48)","(10.0, 13.0, 12.833333333333334)","(3.7, 5.2, 4.321428571428571)","(11.0, 18.5, 15.933333333333334)","(15.0, 17.5, 16.61764705882353)","(4.2, 5.3, 4.9944444444444445)","(14.0, 25.0, 19.75)","(21.0, 75.0, 48.0)"
06-01-2023 16:49:52.128632,"(3.6, 6.0, 4.790909090909091)","(7.5, 9.2, 8.48)","(10.0, 13.0, 12.833333333333334)","(3.7, 4.6, 4.625)","(11.0, 18.5, 15.933333333333334)","(15.0, 17.5, 16.346153846153847)","(4.2, 5.3, 4.907142857142857)","(14.0, 25.0, 19.75)","(21.0, 75.0, 48.0)"
06-01-2023 16:49:53.455687,"(3.6, 6.0, 4.25)","(7.5, 9.2, 8.48)","(10.0, 13.0, 12.833333333333334)","(3.7, 5.3, 4.6230769230769235)","(11.0, 18.5, 15.933333333333334)","(15.0, 17.5, 15.653846153846153)","(4.2, 5.3, 4.907142857142857)","(14.0, 25.0, 19.75)","(21.0, 75.0, 48.0)"
06-01-2023 16:49:54.831161,"(3.6, 6.0, 4.25)","(7.5, 9.2, 8.48)","(10.0, 13.0, 12.833333333333334)","(3.7, 5.2, 4.825)","(11.0, 18.5, 15.933333333333334)","(15.0, 17.0, 15.653846153846153)","(4.2, 5.3, 4.907142857142857)","(14.0, 25.0, 19.75)","(21.0, 75.0, 48.0)"
06-01-2023 16:49:56.317573,"(3.6, 6.0, 4.25)","(7.5, 9.2, 8.48)","(10.0, 13.0, 12.833333333333334)","(3.7, 5.2, 4.825)","(11.0, 18.5, 15.933333333333334)","(15.0, 17.0, 15.653846153846153)","(4.2, 5.3, 4.907142857142857)","(14.0, 25.0, 19.75)","(21.0, 75.0, 48.0)"
06-01-2023 16:49:57.808535,"(3.6, 6.0, 4.25)","(7.5, 9.2, 8.48)","(10.0, 13.0, 12.833333333333334)","(3.7, 5.2, 4.825)","(11.0, 18.5, 15.933333333333334)","(15.0, 17.0, 15.653846153846153)","(4.2, 5.3, 4.907142857142857)","(14.0, 25.0, 19.75)","(21.0, 75.0, 48.0)"
06-01-2023 16:49:59.422508,"(3.6, 6.0, 4.25)","(7.5, 9.2, 8.48)","(10.0, 13.0, 12.833333333333334)","(3.7, 5.2, 4.825)","(11.0, 18.5, 15.933333333333334)","(15.0, 17.0, 15.653846153846153)","(4.2, 5.3, 4.95)","(14.0, 25.0, 19.75)","(21.0, 75.0, 48.0)"
06-01-2023 16:50:00.838489,"(3.6, 6.0, 4.25)","(7.5, 9.2, 8.48)","(10.0, 13.0, 12.833333333333334)","(3.7, 5.2, 4.825)","(11.0, 18.5, 15.933333333333334)","(15.0, 17.0, 15.653846153846153)","(4.2, 5.2, 4.95)","(14.0, 25.0, 19.75)","(21.0, 75.0, 48.0)"
06-01-2023 16:50:02.365643,"(3.6, 6.0, 5.2)","(7.5, 9.2, 8.4)","(10.0, 13.0, 12.833333333333334)","(3.7, 5.2, 4.4)","(11.0, 18.5, 16.09375)","(15.0, 17.0, 15.653846153846153)","(4.2, 5.2, 4.92)","(14.0, 25.0, 19.75)","(21.0, 75.0, 48.0)"
06-01-2023 16:50:03.593877,"(3.6, 5.8, 5.2)","(7.5, 9.2, 8.4)","(10.0, 13.0, 12.833333333333334)","(3.7, 5.2, 4.4)","(11.0, 18.5, 16.09375)","(15.0, 17.0, 15.653846153846153)","(4.2, 5.2, 4.92)","(14.0, 25.0, 19.75)","(21.0, 75.0, 48.0)"
06-01-2023 16:50:04.910136,"(3.6, 5.8, 5.5)","(7.5, 9.2, 8.4)","(10.0, 13.0, 12.833333333333334)","(3.7, 5.2, 4.666666666666667)","(11.0, 18.5, 16.09375)","(15.0, 17.0, 15.75)","(4.2, 5.2, 4.92)","(14.0, 25.0, 19.75)","(21.0, 75.0, 48.0)"
06-01-2023 16:50:06.314389,"(3.6, 5.8, 5.5)","(7.5, 9.2, 8.4)","(10.0, 13.0, 12.833333333333334)","(3.7, 5.2, 4.666666666666667)","(11.0, 18.5, 16.09375)","(15.0, 17.0, 15.75)","(4.2, 5.2, 4.92)","(14.0, 25.0, 19.75)","(21.0, 75.0, 48.0)"
06-01-2023 16:50:07.733921,"(3.6, 5.8, 5.5)","(7.5, 9.2, 8.4)","(10.0, 13.0, 12.833333333333334)","(3.7, 5.2, 4.666666666666667)","(11.0, 18.5, 16.09375)","(15.0, 17.0, 15.75)","(4.2, 5.2, 4.92)","(14.0, 25.0, 19.75)","(21.0, 75.0, 48.0)"
06-01-2023 16:50:09.178703,"(3.6, 5.8, 5.5)","(7.5, 9.2, 8.4)","(10.0, 13.0, 12.833333333333334)","(3.7, 5.2, 4.666666666666667)","(11.0, 18.5, 16.09375)","(15.0, 17.0, 15.75)","(4.2, 5.2, 4.92)","(14.0, 25.0, 19.75)","(21.0, 75.0, 48.0)"
06-01-2023 16:50:10.475986,"(3.6, 5.8, 5.5)","(7.5, 9.2, 8.4)","(10.0, 13.0, 12.833333333333334)","(3.7, 5.2, 4.666666666666667)","(11.0, 18.5, 16.09375)","(15.0, 17.0, 15.75)","(4.2, 5.2, 4.95)","(14.0, 25.0, 20.5)","(21.0, 75.0, 50.0)"
06-01-2023 16:50:11.750341,"(3.6, 5.8, 5.5)","(7.5, 9.4, 8.233333333333334)","(10.0, 13.0, 12.833333333333334)","(3.7, 5.2, 4.128571428571429)","(11.0, 18.5, 16.09375)","(15.0, 17.0, 15.75)","(4.2, 5.2, 4.95)","(14.0, 28.0, 20.5)","(21.0, 80.0, 51.2)"
06-01-2023 16:50:13.004345,"(3.6, 5.8, 5.0)","(7.5, 9.4, 8.233333333333334)","(10.0, 13.0, 12.833333333333334)","(3.7, 4.9, 4.128571428571429)","(11.0, 18.5, 16.09375)","(15.0, 17.0, 15.75)","(4.2, 5.2, 4.95)","(14.0, 28.0, 20.5)","(21.0, 80.0, 51.2)"
06-01-2023 16:50:14.362861,"(3.6, 5.8, 5.125)","(7.5, 9.4, 8.233333333333334)","(10.0, 13.0, 12.833333333333334)","(3.7, 4.9, 4.128571428571429)","(11.0, 18.5, 16.09375)","(15.0, 17.0, 15.75)","(4.2, 5.2, 4.95)","(14.0, 28.0, 20.5)","(21.0, 80.0, 51.2)"
06-01-2023 16:50:15.756803,"(3.6, 5.8, 5.125)","(7.5, 9.4, 8.233333333333334)","(10.0, 13.0, 12.833333333333334)","(3.7, 4.9, 4.128571428571429)","(11.0, 18.5, 16.09375)","(15.0, 17.0, 15.75)","(4.2, 5.2, 4.95)","(14.0, 28.0, 20.5)","(21.0, 80.0, 51.2)"
06-01-2023 16:50:17.037546,"(3.6, 5.8, 5.125)","(7.5, 9.4, 8.233333333333334)","(10.0, 13.0, 12.833333333333334)","(3.7, 4.9, 4.12)","(11.0, 18.5, 16.09375)","(15.0, 17.0, 15.75)","(4.2, 5.2, 4.95)","(14.0, 28.0, 20.5)","(21.0, 80.0, 51.2)"
06-01-2023 16:50:18.251590,"(3.6, 5.8, 5.125)","(7.5, 9.4, 8.233333333333334)","(10.0, 13.0, 12.833333333333334)","(3.7, 4.9, 4.12)","(11.0, 18.5, 16.09375)","(15.0, 17.0, 15.75)","(4.2, 5.2, 4.95)","(14.0, 28.0, 20.5)","(21.0, 80.0, 51.2)"
06-01-2023 16:50:19.574668,"(3.6, 5.8, 5.125)","(7.5, 9.4, 8.233333333333334)","(10.0, 13.0, 12.833333333333334)","(3.7, 4.9, 4.12)","(11.0, 18.5, 16.09375)","(15.0, 17.0, 15.75)","(4.2, 5.2, 4.95)","(14.0, 28.0, 20.5)","(21.0, 80.0, 51.2)"
06-01-2023 16:50:20.923177,"(3.6, 5.8, 5.125)","(7.5, 9.4, 8.233333333333334)","(10.0, 13.0, 12.833333333333334)","(3.7, 4.9, 4.12)","(11.0, 18.5, 16.09375)","(15.0, 17.0, 15.75)","(4.2, 5.2, 4.954545454545454)","(14.0, 28.0, 20.5)","(21.0, 80.0, 51.2)"
06-01-2023 16:50:22.250874,"(3.6, 5.8, 5.125)","(7.5, 9.4, 8.233333333333334)","(10.0, 13.0, 12.833333333333334)","(3.7, 4.9, 4.12)","(11.0, 18.5, 16.09375)","(15.0, 17.0, 16.09090909090909)","(4.2, 5.1, 5.0058823529411764)","(14.0, 28.0, 20.5)","(21.0, 80.0, 51.2)"
06-01-2023 16:50:23.487101,"(3.6, 5.8, 5.125)","(7.5, 9.4, 8.233333333333334)","(10.0, 13.0, 12.833333333333334)","(3.7, 4.9, 4.12)","(11.0, 18.5, 16.09375)","(15.0, 17.0, 16.09090909090909)","(4.2, 5.1, 5.0058823529411764)","(14.0, 28.0, 20.5)","(21.0, 80.0, 51.2)"
06-01-2023 16:50:24.664353,"(3.6, 5.8, 5.125)","(7.5, 9.4, 8.233333333333334)","(10.0, 13.0, 12.833333333333334)","(3.7, 4.9, 4.12)","(11.0, 18.5, 16.09375)","(15.0, 17.0, 16.09090909090909)","(4.2, 5.1, 5.0058823529411764)","(14.0, 28.0, 20.5)","(21.0, 80.0, 51.2)"
06-01-2023 16:50:25.919993,"(3.6, 5.8, 5.125)","(7.5, 9.4, 8.233333333333334)","(10.0, 13.0, 12.833333333333334)","(3.7, 4.9, 4.12)","(11.0, 18.5, 16.09375)","(15.0, 17.0, 16.09090909090909)","(4.2, 5.1, 5.0058823529411764)","(14.0, 28.0, 20.5)","(21.0, 80.0, 51.2)"
06-01-2023 16:50:27.171696,"(3.6, 5.8, 5.125)","(7.5, 9.4, 8.233333333333334)","(10.0, 13.0, 12.833333333333334)","(3.7, 4.9, 4.12)","(11.0, 18.5, 16.09375)","(15.0, 17.0, 16.09090909090909)","(4.2, 5.1, 5.0058823529411764)","(14.0, 28.0, 20.5)","(21.0, 80.0, 51.2)"
06-01-2023 16:50:28.485155,"(3.6, 5.8, 5.125)","(7.5, 9.4, 8.233333333333334)","(10.0, 13.0, 12.833333333333334)","(3.7, 4.9, 4.12)","(11.0, 18.5, 16.09375)","(15.0, 17.0, 16.09090909090909)","(4.2, 5.1, 5.0058823529411764)","(14.0, 28.0, 20.5)","(21.0, 80.0, 51.2)"
06-01-2023 16:50:29.748476,"(3.6, 5.8, 5.125)","(7.5, 9.4, 8.233333333333334)","(10.0, 13.0, 12.833333333333334)","(3.7, 4.9, 4.12)","(11.0, 18.5, 15.25)","(15.0, 17.0, 16.09090909090909)","(4.2, 5.1, 5.0058823529411764)","(14.0, 28.0, 20.5)","(21.0, 80.0, 51.2)"
06-01-2023 16:50:31.033883,"(3.6, 5.8, 5.125)","(7.5, 9.4, 8.233333333333334)","(10.0, 13.0, 12.833333333333334)","(3.7, 4.9, 4.12)","(11.0, 18.5, 15.25)","(15.0, 17.0, 16.09090909090909)","(4.2, 5.1, 5.0058823529411764)","(14.0, 28.0, 20.5)","(21.0, 80.0, 51.2)"
06-01-2023 16:50:32.416257,"(3.6, 5.8, 5.125)","(7.5, 9.4, 8.233333333333334)","(10.0, 13.0, 12.833333333333334)","(3.7, 4.9, 4.25)","(11.0, 18.5, 15.25)","(15.0, 17.0, 16.09090909090909)","(4.2, 5.1, 5.0058823529411764)","(14.0, 28.0, 20.5)","(21.0, 80.0, 65.6)"
06-01-2023 16:50:33.749010,"(3.6, 5.8, 5.125)","(7.5, 9.4, 8.233333333333334)","(10.0, 13.0, 12.833333333333334)","(3.7, 4.9, 4.25)","(11.0, 18.5, 15.25)","(15.0, 17.0, 16.09090909090909)","(4.2, 5.1, 5.0058823529411764)","(14.0, 28.0, 20.5)","(21.0, 80.0, 65.6)"
06-01-2023 16:50:35.154195,"(3.6, 5.8, 5.125)","(7.5, 9.4, 8.233333333333334)","(10.0, 13.0, 12.833333333333334)","(3.7, 4.9, 4.25)","(11.0, 18.5, 15.25)","(15.0, 17.0, 16.09090909090909)","(4.2, 5.1, 5.0058823529411764)","(14.0, 28.0, 20.5)","(21.0, 80.0, 65.6)"
06-01-2023 16:50:36.518249,"(3.6, 5.8, 5.125)","(7.5, 9.4, 8.233333333333334)","(10.0, 13.0, 12.833333333333334)","(3.7, 4.9, 4.25)","(11.0, 18.5, 15.25)","(15.0, 17.0, 16.09090909090909)","(4.2, 5.1, 5.0058823529411764)","(14.0, 28.0, 20.5)","(21.0, 80.0, 65.6)"
06-01-2023 16:50:37.829303,"(3.6, 5.8, 5.125)","(7.5, 9.4, 8.233333333333334)","(10.0, 13.0, 12.833333333333334)","(3.7, 4.9, 4.25)","(11.0, 18.5, 15.25)","(15.0, 17.0, 16.09090909090909)","(4.2, 5.1, 5.0058823529411764)","(14.0, 28.0, 20.5)","(21.0, 80.0, 65.6)"
06-01-2023 16:50:39.122915,"(3.6, 5.8, 5.125)","(7.5, 9.4, 8.233333333333334)","(10.0, 13.0, 12.833333333333334)","(3.7, 4.9, 4.25)","(11.0, 18.5, 15.25)","(15.0, 17.0, 16.09090909090909)","(4.2, 5.1, 5.0058823529411764)","(14.0, 28.0, 20.5)","(21.0, 80.0, 65.6)"
06-01-2023 16:50:40.481755,"(3.6, 5.8, 5.125)","(7.5, 9.4, 8.233333333333334)","(10.0, 13.0, 12.833333333333334)","(3.7, 4.9, 4.25)","(11.0, 18.5, 15.25)","(15.0, 17.0, 16.09090909090909)","(4.2, 5.1, 5.0058823529411764)","(14.0, 28.0, 20.5)","(21.0, 80.0, 65.6)"
06-01-2023 16:50:41.912185,"(3.6, 5.8, 5.125)","(7.5, 9.4, 8.233333333333334)","(10.0, 13.0, 12.833333333333334)","(3.7, 4.9, 4.25)","(11.0, 18.5, 15.25)","(15.0, 17.0, 16.09090909090909)","(4.2, 5.1, 4.905263157894737)","(14.0, 28.0, 20.5)","(21.0, 80.0, 65.6)"
06-01-2023 16:50:43.321714,"(3.6, 5.8, 5.26)","(7.5, 9.4, 8.233333333333334)","(10.0, 13.0, 12.833333333333334)","(3.7, 4.9, 4.25)","(11.0, 18.5, 15.25)","(15.0, 17.0, 16.09090909090909)","(4.2, 5.0, 4.905263157894737)","(14.0, 28.0, 20.5)","(21.0, 80.0, 65.6)"
06-01-2023 16:50:44.680709,"(3.6, 5.8, 5.26)","(7.5, 9.4, 8.233333333333334)","(10.0, 13.0, 12.833333333333334)","(3.7, 4.9, 4.25)","(11.0, 18.5, 15.25)","(15.0, 17.0, 16.09090909090909)","(4.2, 5.0, 4.905263157894737)","(14.0, 28.0, 20.5)","(21.0, 80.0, 65.6)"
06-01-2023 16:50:45.953764,"(3.6, 5.8, 5.26)","(7.5, 9.4, 8.233333333333334)","(10.0, 13.0, 12.833333333333334)","(3.7, 4.9, 4.25)","(11.0, 18.5, 15.25)","(15.0, 17.0, 16.09090909090909)","(4.2, 5.0, 4.905263157894737)","(14.0, 28.0, 20.5)","(21.0, 80.0, 65.6)"
