,My Compass,King Of All,Lektra Nick,Irenes A Star,Prussian Spirit,Bushmans Prayer,Major China,Why Not Gigi
04-01-2023 16:07:06.943506,"(3.7, 5.8, 4.909375)","(4.8, 8.2, 7.085714285714285)","(10.0, 19.0, 15.466666666666667)","(3.9, 5.8, 4.953260869565217)","(21.0, 60.0, 40.0)","(7.0, 13.0, 12.373684210526317)","(5.0, 9.8, 8.43888888888889)","(10.0, 50.0, 31.818181818181817)"
04-01-2023 16:07:08.140086,"(3.7, 5.8, 4.909375)","(4.8, 8.2, 7.085714285714285)","(10.0, 19.0, 15.466666666666667)","(3.9, 5.8, 4.953260869565217)","(21.0, 60.0, 40.0)","(7.0, 13.0, 12.373684210526317)","(5.0, 9.8, 8.43888888888889)","(10.0, 50.0, 31.818181818181817)"
04-01-2023 16:07:09.218328,"(3.7, 5.8, 4.909375)","(4.8, 8.2, 7.085714285714285)","(10.0, 19.0, 15.466666666666667)","(3.9, 5.8, 4.953260869565217)","(21.0, 60.0, 40.0)","(7.0, 13.0, 12.373684210526317)","(5.0, 9.8, 8.43888888888889)","(10.0, 50.0, 31.818181818181817)"
04-01-2023 16:07:10.435637,"(3.7, 5.8, 4.909375)","(4.8, 8.2, 7.085714285714285)","(10.0, 19.0, 15.466666666666667)","(3.9, 5.8, 4.953260869565217)","(21.0, 60.0, 40.0)","(7.0, 13.0, 12.373684210526317)","(5.0, 9.8, 8.43888888888889)","(10.0, 50.0, 31.818181818181817)"
04-01-2023 16:07:11.619121,"(3.7, 5.8, 4.909375)","(4.8, 8.2, 7.085714285714285)","(10.0, 19.0, 15.466666666666667)","(3.9, 5.8, 4.953260869565217)","(21.0, 60.0, 40.0)","(7.0, 13.0, 12.373684210526317)","(5.0, 9.8, 8.43888888888889)","(10.0, 50.0, 31.818181818181817)"
04-01-2023 16:07:12.719107,"(3.7, 5.8, 4.909375)","(4.8, 8.2, 7.085714285714285)","(10.0, 19.0, 15.466666666666667)","(3.9, 5.8, 4.953260869565217)","(21.0, 60.0, 40.0)","(7.0, 13.0, 12.373684210526317)","(5.0, 9.8, 8.43888888888889)","(10.0, 50.0, 31.818181818181817)"
04-01-2023 16:07:13.853438,"(3.7, 5.8, 4.909375)","(4.8, 8.2, 7.085714285714285)","(10.0, 19.0, 15.466666666666667)","(3.9, 5.8, 4.953260869565217)","(21.0, 60.0, 40.0)","(7.0, 13.0, 12.373684210526317)","(5.0, 9.8, 8.43888888888889)","(10.0, 50.0, 31.818181818181817)"
04-01-2023 16:07:15.072548,"(3.7, 5.8, 4.909375)","(4.8, 8.2, 7.085714285714285)","(10.0, 19.0, 15.466666666666667)","(3.9, 5.8, 4.953260869565217)","(21.0, 60.0, 40.0)","(7.0, 13.0, 12.373684210526317)","(5.0, 9.8, 8.43888888888889)","(10.0, 50.0, 31.818181818181817)"
04-01-2023 16:07:16.273402,"(3.7, 5.8, 4.909375)","(4.8, 8.2, 7.085714285714285)","(10.0, 19.0, 15.466666666666667)","(3.9, 5.8, 4.953260869565217)","(21.0, 60.0, 40.0)","(7.0, 13.0, 12.373684210526317)","(5.0, 9.8, 8.43888888888889)","(10.0, 50.0, 31.818181818181817)"
04-01-2023 16:07:17.524537,"(3.7, 5.8, 4.909375)","(4.8, 8.2, 7.085714285714285)","(10.0, 19.0, 15.466666666666667)","(3.9, 5.8, 4.953260869565217)","(21.0, 60.0, 40.0)","(7.0, 13.0, 12.373684210526317)","(5.0, 9.8, 8.43888888888889)","(10.0, 50.0, 31.818181818181817)"
