,Goldngalaxy,Mata Ole Le Afa,Sheza Adda,Times Tickin,Last Mini Minor,Brooklyn Mai Tai
07-12-2022 13:29:32.435187,"(2.1, 2.9, 2.4866666666666664)","(1.7, 2.5, 2.24)","(26.0, 46.0, 33.333333333333336)","(81.0, 360.0, 231.11111111111111)","(26.0, 40.0, 37.4)","(8.0, 12.0, 10.857142857142858)"
07-12-2022 13:29:33.513604,"(2.1, 2.9, 2.4866666666666664)","(1.7, 2.5, 2.24)","(26.0, 46.0, 33.333333333333336)","(81.0, 360.0, 231.11111111111111)","(26.0, 40.0, 37.4)","(8.0, 12.0, 10.857142857142858)"
07-12-2022 13:29:34.571076,"(2.1, 2.9, 2.4866666666666664)","(1.7, 2.5, 2.24)","(26.0, 46.0, 33.333333333333336)","(81.0, 360.0, 231.11111111111111)","(26.0, 40.0, 37.4)","(8.0, 12.0, 10.857142857142858)"
07-12-2022 13:29:35.517712,"(2.1, 2.9, 2.4866666666666664)","(1.7, 2.5, 2.24)","(26.0, 46.0, 33.333333333333336)","(81.0, 360.0, 231.11111111111111)","(26.0, 40.0, 37.4)","(8.0, 12.0, 10.857142857142858)"
07-12-2022 13:29:36.576783,"(2.1, 2.9, 2.4866666666666664)","(1.7, 2.5, 2.24)","(26.0, 46.0, 33.333333333333336)","(81.0, 360.0, 231.11111111111111)","(26.0, 40.0, 37.4)","(8.0, 12.0, 10.857142857142858)"
07-12-2022 13:29:37.763857,"(2.1, 2.9, 2.4866666666666664)","(1.7, 2.5, 2.24)","(26.0, 46.0, 33.333333333333336)","(81.0, 360.0, 231.11111111111111)","(26.0, 40.0, 37.4)","(8.0, 12.0, 10.857142857142858)"
07-12-2022 13:29:38.867996,"(2.1, 2.9, 2.4866666666666664)","(1.7, 2.5, 2.24)","(26.0, 46.0, 33.333333333333336)","(81.0, 360.0, 231.11111111111111)","(26.0, 40.0, 37.4)","(8.0, 12.0, 10.857142857142858)"
07-12-2022 13:29:39.863031,"(2.1, 2.9, 2.4866666666666664)","(1.7, 2.5, 2.24)","(26.0, 46.0, 33.333333333333336)","(81.0, 360.0, 231.11111111111111)","(26.0, 40.0, 37.4)","(8.0, 12.0, 10.857142857142858)"
07-12-2022 13:29:40.881151,"(2.1, 2.9, 2.4866666666666664)","(1.7, 2.5, 2.24)","(26.0, 46.0, 33.333333333333336)","(81.0, 360.0, 231.11111111111111)","(26.0, 40.0, 37.4)","(8.0, 12.0, 10.857142857142858)"
07-12-2022 13:29:42.024641,"(2.1, 2.9, 2.4866666666666664)","(1.7, 2.5, 2.24)","(26.0, 46.0, 33.333333333333336)","(81.0, 360.0, 231.11111111111111)","(26.0, 40.0, 37.4)","(8.0, 12.0, 10.857142857142858)"
07-12-2022 13:29:43.040227,"(2.1, 2.9, 2.4866666666666664)","(1.7, 2.5, 2.24)","(26.0, 46.0, 33.333333333333336)","(81.0, 360.0, 231.11111111111111)","(26.0, 40.0, 37.4)","(8.0, 12.0, 10.857142857142858)"
07-12-2022 13:29:44.334502,"(2.1, 2.9, 2.4866666666666664)","(1.7, 2.5, 2.24)","(26.0, 46.0, 33.333333333333336)","(81.0, 360.0, 231.11111111111111)","(26.0, 40.0, 37.4)","(8.0, 12.0, 10.857142857142858)"
07-12-2022 13:29:45.430308,"(2.1, 2.9, 2.4866666666666664)","(1.7, 2.5, 2.24)","(26.0, 46.0, 33.333333333333336)","(81.0, 360.0, 231.11111111111111)","(26.0, 40.0, 37.4)","(8.0, 12.0, 10.857142857142858)"
07-12-2022 13:29:46.489146,"(2.1, 2.9, 2.4866666666666664)","(1.7, 2.5, 2.24)","(26.0, 46.0, 33.333333333333336)","(81.0, 360.0, 231.11111111111111)","(26.0, 40.0, 37.4)","(8.0, 12.0, 10.857142857142858)"
07-12-2022 13:29:47.711274,"(2.1, 2.9, 2.4866666666666664)","(1.7, 2.5, 2.24)","(26.0, 46.0, 33.333333333333336)","(81.0, 360.0, 231.11111111111111)","(26.0, 40.0, 37.4)","(8.0, 12.0, 10.857142857142858)"
07-12-2022 13:29:48.755915,"(2.1, 2.9, 2.4866666666666664)","(1.7, 2.5, 2.24)","(26.0, 46.0, 33.333333333333336)","(81.0, 360.0, 231.11111111111111)","(26.0, 40.0, 37.4)","(8.0, 12.0, 10.857142857142858)"
