,Dark Harmony,Eddy Street,Elroy,Johnny Utah,Kureder,Kalends,Daring Diego,Heroic Miss,Mission Of Love,Chaysen The King,Chicka,Mishani Supreme
11-01-2023 15:39:19.117919,"(3.3, 3.8, 3.7076923076923074)","(31.0, 42.0, 37.0)","(91.0, 190.0, 130.0)","(15.0, 23.0, 20.083333333333332)","(26.0, 42.0, 31.0)","(4.8, 5.5, 5.306451612903226)","(6.5, 8.2, 7.973333333333333)","(14.0, 30.0, 27.0)","(3.3, 4.2, 4.142307692307693)","(41.0, 55.0, 45.25)","(101.0, 150.0, 135.0)","(31.0, 85.0, 79.0)"
11-01-2023 15:39:20.709005,"(3.3, 3.8, 3.72)","(31.0, 42.0, 34.5)","(91.0, 190.0, 130.0)","(15.0, 23.0, 20.083333333333332)","(26.0, 40.0, 31.0)","(4.8, 5.5, 5.306451612903226)","(6.5, 8.2, 7.973333333333333)","(14.0, 30.0, 26.0)","(3.3, 4.2, 4.142307692307693)","(41.0, 55.0, 46.333333333333336)","(101.0, 150.0, 135.0)","(31.0, 85.0, 79.0)"
11-01-2023 15:39:22.157871,"(3.3, 3.8, 3.72)","(31.0, 42.0, 34.5)","(91.0, 190.0, 130.0)","(15.0, 23.0, 20.083333333333332)","(26.0, 40.0, 31.0)","(4.8, 5.5, 5.306451612903226)","(6.5, 8.2, 7.973333333333333)","(14.0, 30.0, 26.25)","(3.3, 4.2, 4.142307692307693)","(41.0, 55.0, 46.333333333333336)","(101.0, 150.0, 135.0)","(31.0, 85.0, 79.0)"
11-01-2023 15:39:23.637496,"(3.3, 3.8, 3.76)","(31.0, 42.0, 34.5)","(91.0, 190.0, 130.0)","(15.0, 23.0, 20.083333333333332)","(26.0, 40.0, 32.8)","(4.8, 5.5, 5.21875)","(6.5, 8.2, 7.9875)","(14.0, 30.0, 27.0)","(3.3, 4.2, 4.114285714285715)","(41.0, 55.0, 46.333333333333336)","(101.0, 150.0, 138.0)","(31.0, 85.0, 79.0)"
11-01-2023 15:39:25.155796,"(3.3, 3.8, 3.76)","(31.0, 42.0, 33.666666666666664)","(91.0, 190.0, 130.0)","(15.0, 23.0, 20.5)","(26.0, 40.0, 32.8)","(4.8, 5.5, 5.21875)","(6.5, 8.2, 7.9875)","(14.0, 30.0, 27.0)","(3.3, 4.2, 4.075)","(41.0, 55.0, 46.333333333333336)","(101.0, 150.0, 138.0)","(31.0, 85.0, 79.0)"
11-01-2023 15:39:26.719597,"(3.3, 3.8, 3.76)","(31.0, 42.0, 33.666666666666664)","(91.0, 190.0, 130.0)","(15.0, 23.0, 20.5)","(26.0, 40.0, 37.42857142857143)","(4.8, 5.5, 5.220454545454546)","(6.5, 9.0, 8.810526315789474)","(14.0, 30.0, 27.0)","(3.3, 4.2, 4.075)","(41.0, 55.0, 46.333333333333336)","(101.0, 150.0, 138.0)","(31.0, 85.0, 79.0)"
11-01-2023 15:39:28.207852,"(3.3, 3.8, 3.76)","(31.0, 42.0, 33.666666666666664)","(91.0, 190.0, 130.0)","(15.0, 23.0, 20.5)","(26.0, 40.0, 37.42857142857143)","(4.8, 5.5, 5.220454545454546)","(6.5, 9.0, 8.810526315789474)","(14.0, 30.0, 27.0)","(3.3, 4.2, 4.075)","(41.0, 55.0, 46.333333333333336)","(101.0, 150.0, 138.0)","(31.0, 85.0, 79.0)"
11-01-2023 15:39:29.704601,"(3.3, 3.8, 3.76)","(31.0, 42.0, 33.666666666666664)","(91.0, 190.0, 130.0)","(15.0, 23.0, 20.5)","(26.0, 40.0, 37.42857142857143)","(4.8, 5.5, 5.220454545454546)","(6.5, 9.0, 8.810526315789474)","(14.0, 30.0, 27.0)","(3.3, 4.2, 4.075)","(41.0, 55.0, 58.5)","(101.0, 180.0, 126.42857142857143)","(31.0, 85.0, 79.0)"
11-01-2023 15:39:31.112896,"(3.3, 3.8, 3.76)","(31.0, 42.0, 34.0)","(91.0, 190.0, 130.0)","(15.0, 23.0, 20.5)","(26.0, 40.0, 37.42857142857143)","(4.8, 5.5, 5.220454545454546)","(6.5, 9.0, 8.672727272727272)","(14.0, 30.0, 27.0)","(3.3, 4.2, 4.075)","(41.0, 75.0, 58.5)","(101.0, 180.0, 126.42857142857143)","(31.0, 85.0, 79.0)"
11-01-2023 15:39:32.701183,"(3.3, 3.8, 3.76)","(31.0, 44.0, 34.0)","(91.0, 190.0, 130.0)","(15.0, 23.0, 20.5)","(26.0, 40.0, 36.46153846153846)","(4.8, 5.5, 5.220454545454546)","(6.5, 9.0, 8.2)","(14.0, 30.0, 27.0)","(3.3, 4.2, 4.075)","(41.0, 75.0, 53.5)","(101.0, 180.0, 143.33333333333334)","(31.0, 85.0, 79.0)"
11-01-2023 15:39:34.254021,"(3.3, 3.8, 3.742857142857143)","(31.0, 44.0, 38.54545454545455)","(91.0, 190.0, 154.0)","(15.0, 23.0, 20.5)","(26.0, 38.0, 36.46153846153846)","(4.8, 5.5, 5.220454545454546)","(6.5, 8.8, 8.2)","(14.0, 30.0, 27.0)","(3.3, 4.2, 4.075)","(41.0, 65.0, 53.5)","(101.0, 170.0, 143.33333333333334)","(31.0, 85.0, 79.0)"
11-01-2023 15:39:35.845910,"(3.3, 3.8, 3.742857142857143)","(31.0, 44.0, 36.857142857142854)","(91.0, 190.0, 154.0)","(15.0, 23.0, 20.083333333333332)","(26.0, 38.0, 36.46153846153846)","(4.8, 5.5, 5.220454545454546)","(6.5, 8.8, 8.2)","(14.0, 30.0, 27.0)","(3.3, 4.2, 4.075)","(41.0, 65.0, 53.5)","(101.0, 170.0, 143.33333333333334)","(31.0, 85.0, 79.0)"
11-01-2023 15:39:37.362899,"(3.3, 3.8, 3.742857142857143)","(31.0, 44.0, 36.857142857142854)","(91.0, 190.0, 154.0)","(15.0, 23.0, 20.083333333333332)","(26.0, 38.0, 36.46153846153846)","(4.8, 5.5, 5.220454545454546)","(6.5, 8.8, 8.2)","(14.0, 30.0, 27.0)","(3.3, 4.2, 4.075)","(41.0, 65.0, 53.5)","(101.0, 170.0, 143.33333333333334)","(31.0, 85.0, 78.33333333333334)"
11-01-2023 15:39:38.859430,"(3.3, 3.8, 3.742857142857143)","(31.0, 44.0, 36.857142857142854)","(91.0, 190.0, 154.0)","(15.0, 23.0, 20.083333333333332)","(26.0, 38.0, 36.46153846153846)","(4.8, 5.5, 5.220454545454546)","(6.5, 8.8, 8.2)","(14.0, 30.0, 27.0)","(3.3, 4.2, 4.075)","(41.0, 65.0, 53.5)","(101.0, 170.0, 143.33333333333334)","(31.0, 85.0, 78.33333333333334)"
11-01-2023 15:39:40.452851,"(3.3, 3.8, 3.742857142857143)","(31.0, 44.0, 36.857142857142854)","(91.0, 190.0, 154.0)","(15.0, 23.0, 20.083333333333332)","(26.0, 38.0, 34.333333333333336)","(4.8, 5.5, 5.220454545454546)","(6.5, 8.8, 9.85)","(14.0, 30.0, 27.0)","(3.3, 4.2, 4.025)","(41.0, 65.0, 53.5)","(101.0, 170.0, 140.0)","(31.0, 85.0, 78.33333333333334)"
11-01-2023 15:39:42.122560,"(3.3, 3.8, 3.742857142857143)","(31.0, 44.0, 36.857142857142854)","(91.0, 190.0, 154.0)","(15.0, 23.0, 20.083333333333332)","(26.0, 38.0, 34.333333333333336)","(4.8, 5.5, 5.220454545454546)","(6.5, 10.0, 9.466666666666667)","(14.0, 30.0, 27.0)","(3.3, 4.2, 4.025)","(41.0, 65.0, 53.5)","(101.0, 160.0, 140.0)","(31.0, 85.0, 78.33333333333334)"
11-01-2023 15:39:43.669639,"(3.3, 3.8, 3.742857142857143)","(31.0, 44.0, 36.857142857142854)","(91.0, 190.0, 154.0)","(15.0, 23.0, 20.083333333333332)","(26.0, 38.0, 34.333333333333336)","(4.8, 5.5, 5.220454545454546)","(6.5, 10.0, 9.466666666666667)","(14.0, 30.0, 27.0)","(3.3, 4.2, 3.7666666666666666)","(41.0, 65.0, 53.5)","(101.0, 160.0, 140.0)","(31.0, 85.0, 78.33333333333334)"
11-01-2023 15:39:45.337754,"(3.3, 3.8, 3.742857142857143)","(31.0, 44.0, 36.857142857142854)","(91.0, 190.0, 154.0)","(15.0, 23.0, 20.083333333333332)","(26.0, 38.0, 34.333333333333336)","(4.8, 5.5, 5.220454545454546)","(6.5, 10.0, 9.466666666666667)","(14.0, 30.0, 27.0)","(3.3, 3.9, 3.735294117647059)","(41.0, 65.0, 53.5)","(101.0, 160.0, 140.0)","(31.0, 85.0, 78.33333333333334)"
11-01-2023 15:39:46.773880,"(3.3, 3.8, 3.742857142857143)","(31.0, 44.0, 36.857142857142854)","(91.0, 190.0, 154.0)","(15.0, 23.0, 20.083333333333332)","(26.0, 38.0, 34.333333333333336)","(4.8, 5.5, 5.220454545454546)","(6.5, 10.0, 9.466666666666667)","(14.0, 30.0, 27.0)","(3.3, 3.9, 3.735294117647059)","(41.0, 65.0, 53.5)","(101.0, 160.0, 140.0)","(31.0, 85.0, 78.33333333333334)"
11-01-2023 15:39:48.334259,"(3.3, 3.8, 3.742857142857143)","(31.0, 44.0, 36.857142857142854)","(91.0, 190.0, 154.0)","(15.0, 23.0, 20.083333333333332)","(26.0, 38.0, 34.333333333333336)","(4.8, 5.5, 5.220454545454546)","(6.5, 10.0, 9.466666666666667)","(14.0, 30.0, 27.0)","(3.3, 3.9, 3.7333333333333334)","(41.0, 65.0, 53.5)","(101.0, 160.0, 140.0)","(31.0, 85.0, 78.33333333333334)"
11-01-2023 15:39:49.928936,"(3.3, 3.8, 3.742857142857143)","(31.0, 44.0, 37.333333333333336)","(91.0, 190.0, 154.0)","(15.0, 23.0, 20.083333333333332)","(26.0, 38.0, 33.0)","(4.8, 5.5, 5.220454545454546)","(6.5, 10.0, 9.466666666666667)","(14.0, 30.0, 27.5)","(3.3, 3.9, 3.7333333333333334)","(41.0, 65.0, 53.5)","(101.0, 160.0, 140.0)","(31.0, 85.0, 78.33333333333334)"
11-01-2023 15:39:51.442563,"(3.3, 3.8, 3.742857142857143)","(31.0, 44.0, 37.333333333333336)","(91.0, 190.0, 154.0)","(15.0, 23.0, 20.083333333333332)","(26.0, 36.0, 33.0)","(4.8, 5.5, 5.220454545454546)","(6.5, 10.0, 9.466666666666667)","(14.0, 30.0, 27.5)","(3.3, 3.9, 3.7333333333333334)","(41.0, 65.0, 61.714285714285715)","(101.0, 160.0, 140.0)","(31.0, 85.0, 78.33333333333334)"
11-01-2023 15:39:52.942419,"(3.3, 3.8, 3.742857142857143)","(31.0, 44.0, 37.333333333333336)","(91.0, 190.0, 154.0)","(15.0, 23.0, 20.083333333333332)","(26.0, 36.0, 33.0)","(4.8, 5.5, 5.220454545454546)","(6.5, 10.0, 9.533333333333333)","(14.0, 30.0, 27.5)","(3.3, 3.9, 3.7333333333333334)","(41.0, 65.0, 62.7)","(101.0, 160.0, 140.0)","(31.0, 85.0, 78.33333333333334)"
11-01-2023 15:39:54.636129,"(3.3, 3.8, 3.742857142857143)","(31.0, 44.0, 37.333333333333336)","(91.0, 190.0, 154.0)","(15.0, 23.0, 20.083333333333332)","(26.0, 36.0, 33.0)","(4.8, 5.5, 5.220454545454546)","(6.5, 10.0, 9.533333333333333)","(14.0, 30.0, 27.5)","(3.3, 3.9, 3.716666666666667)","(41.0, 65.0, 62.7)","(101.0, 160.0, 140.0)","(31.0, 85.0, 78.33333333333334)"
11-01-2023 15:39:56.530347,"(3.3, 3.8, 3.742857142857143)","(31.0, 44.0, 40.92307692307692)","(91.0, 190.0, 150.0)","(15.0, 23.0, 22.02777777777778)","(26.0, 36.0, 33.0)","(4.8, 5.5, 5.220454545454546)","(6.5, 10.0, 9.95625)","(14.0, 30.0, 28.125)","(3.3, 3.85, 3.832089552238806)","(41.0, 65.0, 62.7)","(101.0, 160.0, 140.0)","(31.0, 85.0, 78.33333333333334)"
11-01-2023 15:39:58.384354,"(3.3, 3.8, 3.742857142857143)","(31.0, 44.0, 37.333333333333336)","(91.0, 190.0, 150.0)","(15.0, 23.0, 20.083333333333332)","(26.0, 36.0, 33.0)","(4.8, 5.5, 5.220454545454546)","(6.5, 10.0, 9.65)","(14.0, 30.0, 28.125)","(3.3, 3.85, 3.716666666666667)","(41.0, 65.0, 62.7)","(101.0, 160.0, 140.0)","(31.0, 85.0, 78.33333333333334)"
11-01-2023 15:40:00.141277,"(3.3, 3.8, 3.742857142857143)","(31.0, 44.0, 39.0)","(91.0, 190.0, 158.0)","(15.0, 23.0, 22.02777777777778)","(26.0, 36.0, 33.0)","(4.8, 5.5, 5.220454545454546)","(6.5, 10.0, 9.95625)","(14.0, 30.0, 28.125)","(3.3, 3.85, 3.716666666666667)","(41.0, 65.0, 62.7)","(101.0, 160.0, 140.0)","(31.0, 85.0, 78.33333333333334)"
11-01-2023 15:40:01.819184,"(3.3, 3.8, 3.742857142857143)","(31.0, 42.0, 39.0)","(91.0, 190.0, 160.0)","(15.0, 23.0, 20.083333333333332)","(26.0, 36.0, 33.0)","(4.8, 5.5, 5.220454545454546)","(6.5, 10.0, 9.65)","(14.0, 30.0, 28.125)","(3.3, 3.85, 3.716666666666667)","(41.0, 65.0, 62.7)","(101.0, 160.0, 140.0)","(31.0, 85.0, 78.33333333333334)"
11-01-2023 15:40:03.355221,"(3.3, 3.8, 3.742857142857143)","(31.0, 42.0, 39.0)","(91.0, 190.0, 160.0)","(15.0, 23.0, 20.083333333333332)","(26.0, 36.0, 32.0)","(4.8, 5.5, 5.220454545454546)","(6.5, 10.0, 9.626666666666667)","(14.0, 30.0, 28.5)","(3.3, 3.85, 3.716666666666667)","(41.0, 65.0, 62.7)","(101.0, 160.0, 140.0)","(31.0, 85.0, 68.33333333333333)"
11-01-2023 15:40:04.860162,"(3.3, 3.8, 3.742857142857143)","(31.0, 42.0, 39.0)","(91.0, 190.0, 164.28571428571428)","(15.0, 23.0, 20.083333333333332)","(26.0, 36.0, 34.769230769230774)","(4.8, 5.5, 5.220454545454546)","(6.5, 10.0, 9.863414634146341)","(14.0, 30.0, 28.5)","(3.3, 3.85, 3.716666666666667)","(41.0, 65.0, 62.7)","(101.0, 160.0, 140.0)","(31.0, 85.0, 68.33333333333333)"
11-01-2023 15:40:06.436415,"(3.3, 3.8, 3.742857142857143)","(31.0, 42.0, 40.0)","(91.0, 190.0, 164.28571428571428)","(15.0, 23.0, 20.083333333333332)","(26.0, 36.0, 33.2)","(4.8, 5.5, 5.220454545454546)","(6.5, 10.0, 9.845161290322581)","(14.0, 30.0, 28.5)","(3.3, 3.85, 3.8423076923076924)","(41.0, 65.0, 62.7)","(101.0, 160.0, 140.0)","(31.0, 85.0, 68.33333333333333)"
11-01-2023 15:40:08.040009,"(3.3, 3.8, 3.742857142857143)","(31.0, 42.0, 40.0)","(91.0, 190.0, 145.0)","(15.0, 23.0, 20.083333333333332)","(26.0, 36.0, 33.2)","(4.8, 5.5, 5.220454545454546)","(6.5, 10.0, 9.569230769230769)","(14.0, 30.0, 28.571428571428573)","(3.3, 3.85, 3.8423076923076924)","(41.0, 65.0, 62.7)","(101.0, 160.0, 140.0)","(31.0, 85.0, 68.33333333333333)"
11-01-2023 15:40:09.622049,"(3.3, 3.8, 3.742857142857143)","(31.0, 42.0, 40.0)","(91.0, 190.0, 145.0)","(15.0, 23.0, 20.083333333333332)","(26.0, 36.0, 38.75)","(4.8, 5.5, 5.220454545454546)","(6.5, 10.0, 9.569230769230769)","(14.0, 30.0, 28.333333333333332)","(3.3, 3.85, 3.8112903225806454)","(41.0, 65.0, 62.7)","(101.0, 160.0, 140.0)","(31.0, 85.0, 68.33333333333333)"
11-01-2023 15:40:11.148346,"(3.3, 3.8, 3.742857142857143)","(31.0, 42.0, 40.0)","(91.0, 190.0, 145.0)","(15.0, 23.0, 20.083333333333332)","(26.0, 42.0, 35.6)","(4.8, 5.5, 5.220454545454546)","(6.5, 10.0, 9.569230769230769)","(14.0, 30.0, 28.333333333333332)","(3.3, 3.85, 3.8112903225806454)","(41.0, 65.0, 62.7)","(101.0, 160.0, 140.0)","(31.0, 85.0, 68.33333333333333)"
11-01-2023 15:40:12.645316,"(3.3, 3.8, 3.742857142857143)","(31.0, 42.0, 40.0)","(91.0, 190.0, 145.0)","(15.0, 23.0, 20.083333333333332)","(26.0, 40.0, 38.42857142857143)","(4.8, 5.5, 5.220454545454546)","(6.5, 10.0, 9.569230769230769)","(14.0, 30.0, 28.333333333333332)","(3.3, 3.85, 3.8112903225806454)","(41.0, 65.0, 62.7)","(101.0, 160.0, 140.0)","(31.0, 85.0, 68.33333333333333)"
11-01-2023 15:40:14.192075,"(3.3, 3.8, 3.742857142857143)","(31.0, 42.0, 40.0)","(91.0, 190.0, 145.0)","(15.0, 23.0, 20.083333333333332)","(26.0, 40.0, 38.42857142857143)","(4.8, 5.5, 5.220454545454546)","(6.5, 10.0, 9.569230769230769)","(14.0, 30.0, 28.333333333333332)","(3.3, 3.85, 3.8112903225806454)","(41.0, 65.0, 62.7)","(101.0, 160.0, 140.0)","(31.0, 85.0, 68.33333333333333)"
11-01-2023 15:40:15.756899,"(3.3, 3.8, 3.742857142857143)","(31.0, 42.0, 40.0)","(91.0, 190.0, 145.0)","(15.0, 23.0, 20.083333333333332)","(26.0, 40.0, 35.6)","(4.8, 5.5, 5.220454545454546)","(6.5, 10.0, 9.569230769230769)","(14.0, 30.0, 28.333333333333332)","(3.3, 3.85, 3.8112903225806454)","(41.0, 65.0, 62.7)","(101.0, 160.0, 140.0)","(31.0, 85.0, 68.33333333333333)"
11-01-2023 15:40:17.352074,"(3.3, 3.8, 3.742857142857143)","(31.0, 42.0, 40.0)","(91.0, 190.0, 145.0)","(15.0, 23.0, 20.083333333333332)","(26.0, 40.0, 35.6)","(4.8, 5.5, 5.220454545454546)","(6.5, 10.0, 9.569230769230769)","(14.0, 30.0, 28.333333333333332)","(3.3, 3.85, 3.8112903225806454)","(41.0, 65.0, 62.7)","(101.0, 160.0, 140.0)","(31.0, 85.0, 68.33333333333333)"
11-01-2023 15:40:18.855178,"(3.3, 3.8, 3.742857142857143)","(31.0, 42.0, 40.0)","(91.0, 190.0, 145.0)","(15.0, 23.0, 20.083333333333332)","(26.0, 40.0, 35.6)","(4.8, 5.5, 5.220454545454546)","(6.5, 10.0, 9.569230769230769)","(14.0, 30.0, 28.333333333333332)","(3.3, 3.85, 3.8112903225806454)","(41.0, 65.0, 62.7)","(101.0, 160.0, 140.0)","(31.0, 85.0, 68.33333333333333)"
11-01-2023 15:40:20.388404,"(3.3, 3.8, 3.742857142857143)","(31.0, 42.0, 40.0)","(91.0, 190.0, 145.0)","(15.0, 23.0, 20.083333333333332)","(26.0, 40.0, 34.4)","(4.8, 5.5, 5.220454545454546)","(6.5, 10.0, 9.569230769230769)","(14.0, 30.0, 28.571428571428573)","(3.3, 3.85, 3.8423076923076924)","(41.0, 65.0, 62.7)","(101.0, 160.0, 140.0)","(31.0, 85.0, 68.33333333333333)"
11-01-2023 15:40:21.886611,"(3.3, 3.8, 3.742857142857143)","(31.0, 42.0, 40.0)","(91.0, 190.0, 145.0)","(15.0, 23.0, 20.083333333333332)","(26.0, 38.0, 34.4)","(4.8, 5.5, 5.220454545454546)","(6.5, 10.0, 9.569230769230769)","(14.0, 30.0, 28.571428571428573)","(3.3, 3.85, 3.8423076923076924)","(41.0, 65.0, 62.7)","(101.0, 160.0, 140.0)","(31.0, 85.0, 68.33333333333333)"
11-01-2023 15:40:23.404935,"(3.3, 3.8, 3.742857142857143)","(31.0, 42.0, 40.0)","(91.0, 190.0, 145.0)","(15.0, 23.0, 20.083333333333332)","(26.0, 38.0, 34.4)","(4.8, 5.5, 5.220454545454546)","(6.5, 10.0, 9.569230769230769)","(14.0, 30.0, 28.571428571428573)","(3.3, 3.85, 3.8112903225806454)","(41.0, 65.0, 62.7)","(101.0, 160.0, 140.0)","(31.0, 85.0, 68.33333333333333)"
11-01-2023 15:40:25.010628,"(3.3, 3.8, 3.742857142857143)","(31.0, 42.0, 40.0)","(91.0, 190.0, 145.0)","(15.0, 23.0, 20.083333333333332)","(26.0, 38.0, 34.4)","(4.8, 5.5, 5.220454545454546)","(6.5, 10.0, 9.569230769230769)","(14.0, 30.0, 28.571428571428573)","(3.3, 3.85, 3.716666666666667)","(41.0, 65.0, 62.7)","(101.0, 160.0, 140.0)","(31.0, 85.0, 68.33333333333333)"
11-01-2023 15:40:26.611134,"(3.3, 3.8, 3.742857142857143)","(31.0, 42.0, 39.0)","(91.0, 190.0, 145.0)","(15.0, 23.0, 20.083333333333332)","(26.0, 38.0, 33.0)","(4.8, 5.5, 5.220454545454546)","(6.5, 10.0, 9.569230769230769)","(14.0, 30.0, 28.571428571428573)","(3.3, 3.85, 3.716666666666667)","(41.0, 65.0, 62.7)","(101.0, 160.0, 140.0)","(31.0, 85.0, 68.33333333333333)"
11-01-2023 15:40:28.167137,"(3.3, 3.8, 3.742857142857143)","(31.0, 42.0, 39.0)","(91.0, 190.0, 145.0)","(15.0, 23.0, 20.083333333333332)","(26.0, 38.0, 33.0)","(4.8, 5.5, 5.220454545454546)","(6.5, 10.0, 9.569230769230769)","(14.0, 30.0, 28.571428571428573)","(3.3, 3.85, 3.716666666666667)","(41.0, 65.0, 62.7)","(101.0, 160.0, 140.0)","(31.0, 85.0, 68.33333333333333)"
11-01-2023 15:40:29.733960,"(3.3, 3.8, 3.742857142857143)","(31.0, 42.0, 39.0)","(91.0, 190.0, 145.0)","(15.0, 23.0, 20.083333333333332)","(26.0, 38.0, 33.0)","(4.8, 5.5, 5.220454545454546)","(6.5, 10.0, 9.569230769230769)","(14.0, 30.0, 28.571428571428573)","(3.3, 3.85, 3.716666666666667)","(41.0, 65.0, 62.7)","(101.0, 160.0, 140.0)","(31.0, 85.0, 68.33333333333333)"
11-01-2023 15:40:31.299108,"(3.3, 3.8, 3.742857142857143)","(31.0, 42.0, 39.0)","(91.0, 190.0, 145.0)","(15.0, 23.0, 20.083333333333332)","(26.0, 38.0, 33.0)","(4.8, 5.5, 5.220454545454546)","(6.5, 10.0, 9.569230769230769)","(14.0, 30.0, 28.571428571428573)","(3.3, 3.85, 3.716666666666667)","(41.0, 65.0, 62.7)","(101.0, 160.0, 140.0)","(31.0, 85.0, 68.33333333333333)"
11-01-2023 15:40:32.815737,"(3.3, 3.8, 3.742857142857143)","(31.0, 42.0, 39.0)","(91.0, 190.0, 145.0)","(15.0, 23.0, 20.083333333333332)","(26.0, 38.0, 34.333333333333336)","(4.8, 5.5, 5.220454545454546)","(6.5, 10.0, 9.569230769230769)","(14.0, 30.0, 28.571428571428573)","(3.3, 3.85, 3.716666666666667)","(41.0, 65.0, 62.7)","(101.0, 160.0, 140.0)","(31.0, 85.0, 68.33333333333333)"
