,Hillbilly Lass,Gazers Lane,Jasper Bale,Atomic Flea,Salience,Aston Delight,Reiko Clooney,Mr Fitty
09-01-2023 13:34:47.671337,"(3.1, 5.9, 5.1312500000000005)","(5.0, 8.6, 7.485714285714286)","(6.5, 13.0, 8.38)","(31.0, 100.0, 52.5)","(12.0, 26.0, 18.75)","(4.4, 6.6, 4.65)","(6.0, 9.8, 9.39)","(6.5, 12.0, 8.88888888888889)"
09-01-2023 13:34:48.928690,"(3.1, 5.9, 5.1312500000000005)","(5.0, 8.6, 7.485714285714286)","(6.5, 13.0, 8.38)","(31.0, 100.0, 52.5)","(12.0, 26.0, 18.75)","(4.4, 6.6, 4.65)","(6.0, 9.8, 9.39)","(6.5, 12.0, 8.88888888888889)"
09-01-2023 13:34:50.046264,"(3.1, 5.9, 5.1312500000000005)","(5.0, 8.6, 7.485714285714286)","(6.5, 13.0, 8.38)","(31.0, 100.0, 52.5)","(12.0, 26.0, 18.75)","(4.4, 6.6, 4.65)","(6.0, 9.8, 9.39)","(6.5, 12.0, 8.88888888888889)"
09-01-2023 13:34:51.175457,"(3.1, 5.9, 5.1312500000000005)","(5.0, 8.6, 7.485714285714286)","(6.5, 13.0, 8.38)","(31.0, 100.0, 52.5)","(12.0, 26.0, 18.75)","(4.4, 6.6, 4.65)","(6.0, 9.8, 9.39)","(6.5, 12.0, 8.88888888888889)"
09-01-2023 13:34:52.397481,"(3.1, 5.9, 5.1312500000000005)","(5.0, 8.6, 7.485714285714286)","(6.5, 13.0, 8.38)","(31.0, 100.0, 52.5)","(12.0, 26.0, 18.75)","(4.4, 6.6, 4.65)","(6.0, 9.8, 9.39)","(6.5, 12.0, 8.88888888888889)"
09-01-2023 13:34:53.686747,"(3.1, 5.9, 5.1312500000000005)","(5.0, 8.6, 7.485714285714286)","(6.5, 13.0, 8.38)","(31.0, 100.0, 52.5)","(12.0, 26.0, 18.75)","(4.4, 6.6, 4.65)","(6.0, 9.8, 9.39)","(6.5, 12.0, 8.88888888888889)"
09-01-2023 13:34:55.026563,"(3.1, 5.9, 5.1312500000000005)","(5.0, 8.6, 7.485714285714286)","(6.5, 13.0, 8.38)","(31.0, 100.0, 52.5)","(12.0, 26.0, 18.75)","(4.4, 6.6, 4.65)","(6.0, 9.8, 9.39)","(6.5, 12.0, 8.88888888888889)"
09-01-2023 13:34:56.291804,"(3.1, 5.9, 5.1312500000000005)","(5.0, 8.6, 7.485714285714286)","(6.5, 13.0, 8.38)","(31.0, 100.0, 52.5)","(12.0, 26.0, 18.75)","(4.4, 6.6, 4.65)","(6.0, 9.8, 9.39)","(6.5, 12.0, 8.88888888888889)"
09-01-2023 13:34:57.551640,"(3.1, 5.9, 5.1312500000000005)","(5.0, 8.6, 7.485714285714286)","(6.5, 13.0, 8.38)","(31.0, 100.0, 52.5)","(12.0, 26.0, 18.75)","(4.4, 6.6, 4.65)","(6.0, 9.8, 9.39)","(6.5, 12.0, 8.88888888888889)"
09-01-2023 13:34:58.778019,"(3.1, 5.9, 5.1312500000000005)","(5.0, 8.6, 7.485714285714286)","(6.5, 13.0, 8.38)","(31.0, 100.0, 52.5)","(12.0, 26.0, 18.75)","(4.4, 6.6, 4.65)","(6.0, 9.8, 9.39)","(6.5, 12.0, 8.88888888888889)"
09-01-2023 13:34:59.945233,"(3.1, 5.9, 5.1312500000000005)","(5.0, 8.6, 7.485714285714286)","(6.5, 13.0, 8.38)","(31.0, 100.0, 52.5)","(12.0, 26.0, 18.75)","(4.4, 6.6, 4.65)","(6.0, 9.8, 9.39)","(6.5, 12.0, 8.88888888888889)"
09-01-2023 13:35:01.169262,"(3.1, 5.9, 5.1312500000000005)","(5.0, 8.6, 7.485714285714286)","(6.5, 13.0, 8.38)","(31.0, 100.0, 52.5)","(12.0, 26.0, 18.75)","(4.4, 6.6, 4.65)","(6.0, 9.8, 9.39)","(6.5, 12.0, 8.88888888888889)"
09-01-2023 13:35:02.512249,"(3.1, 5.9, 5.1312500000000005)","(5.0, 8.6, 7.485714285714286)","(6.5, 13.0, 8.38)","(31.0, 100.0, 52.5)","(12.0, 26.0, 18.75)","(4.4, 6.6, 4.65)","(6.0, 9.8, 9.39)","(6.5, 12.0, 8.88888888888889)"
09-01-2023 13:35:03.857795,"(3.1, 5.9, 5.1312500000000005)","(5.0, 8.6, 7.485714285714286)","(6.5, 13.0, 8.38)","(31.0, 100.0, 52.5)","(12.0, 26.0, 18.75)","(4.4, 6.6, 4.65)","(6.0, 9.8, 9.39)","(6.5, 12.0, 8.88888888888889)"
09-01-2023 13:35:05.206717,"(3.1, 5.9, 5.1312500000000005)","(5.0, 8.6, 7.485714285714286)","(6.5, 13.0, 8.38)","(31.0, 100.0, 52.5)","(12.0, 26.0, 18.75)","(4.4, 6.6, 4.65)","(6.0, 9.8, 9.39)","(6.5, 12.0, 8.88888888888889)"
09-01-2023 13:35:06.568413,"(3.1, 5.9, 5.1312500000000005)","(5.0, 8.6, 7.485714285714286)","(6.5, 13.0, 8.38)","(31.0, 100.0, 52.5)","(12.0, 26.0, 18.75)","(4.4, 6.6, 4.65)","(6.0, 9.8, 9.39)","(6.5, 12.0, 8.88888888888889)"
09-01-2023 13:35:07.884518,"(3.1, 5.9, 5.1312500000000005)","(5.0, 8.6, 7.485714285714286)","(6.5, 13.0, 8.38)","(31.0, 100.0, 52.5)","(12.0, 26.0, 18.75)","(4.4, 6.6, 4.65)","(6.0, 9.8, 9.39)","(6.5, 12.0, 8.88888888888889)"
09-01-2023 13:35:09.098192,"(3.1, 5.9, 5.1312500000000005)","(5.0, 8.6, 7.485714285714286)","(6.5, 13.0, 8.38)","(31.0, 100.0, 52.5)","(12.0, 26.0, 18.75)","(4.4, 6.6, 4.65)","(6.0, 9.8, 9.39)","(6.5, 12.0, 8.88888888888889)"
09-01-2023 13:35:10.373492,"(3.1, 5.9, 5.1312500000000005)","(5.0, 8.6, 7.485714285714286)","(6.5, 13.0, 8.38)","(31.0, 100.0, 52.5)","(12.0, 26.0, 18.75)","(4.4, 6.6, 4.65)","(6.0, 9.8, 9.39)","(6.5, 12.0, 8.88888888888889)"
09-01-2023 13:35:11.664454,"(3.1, 5.9, 5.1312500000000005)","(5.0, 8.6, 7.485714285714286)","(6.5, 13.0, 8.38)","(31.0, 100.0, 52.5)","(12.0, 26.0, 18.75)","(4.4, 6.6, 4.65)","(6.0, 9.8, 9.39)","(6.5, 12.0, 8.88888888888889)"
09-01-2023 13:35:12.884314,"(3.1, 5.9, 5.1312500000000005)","(5.0, 8.6, 7.485714285714286)","(6.5, 13.0, 8.38)","(31.0, 100.0, 52.5)","(12.0, 26.0, 18.75)","(4.4, 6.6, 4.65)","(6.0, 9.8, 9.39)","(6.5, 12.0, 8.88888888888889)"
09-01-2023 13:35:14.137027,"(3.1, 5.9, 5.1312500000000005)","(5.0, 8.6, 7.485714285714286)","(6.5, 13.0, 8.38)","(31.0, 100.0, 52.5)","(12.0, 26.0, 18.75)","(4.4, 6.6, 4.65)","(6.0, 9.8, 9.39)","(6.5, 12.0, 8.88888888888889)"
09-01-2023 13:35:15.398206,"(3.1, 5.9, 5.1312500000000005)","(5.0, 8.6, 7.485714285714286)","(6.5, 13.0, 8.38)","(31.0, 100.0, 52.5)","(12.0, 26.0, 18.75)","(4.4, 6.6, 4.65)","(6.0, 9.8, 9.39)","(6.5, 12.0, 8.88888888888889)"
09-01-2023 13:35:16.702716,"(3.1, 5.9, 5.1312500000000005)","(5.0, 8.6, 7.485714285714286)","(6.5, 13.0, 8.38)","(31.0, 100.0, 52.5)","(12.0, 26.0, 18.75)","(4.4, 6.6, 4.65)","(6.0, 9.8, 9.39)","(6.5, 12.0, 8.88888888888889)"
09-01-2023 13:35:18.042564,"(3.1, 5.9, 5.1312500000000005)","(5.0, 8.6, 7.485714285714286)","(6.5, 13.0, 8.38)","(31.0, 100.0, 52.5)","(12.0, 26.0, 18.75)","(4.4, 6.6, 4.65)","(6.0, 9.8, 9.39)","(6.5, 12.0, 8.88888888888889)"
09-01-2023 13:35:19.311395,"(3.1, 5.9, 5.1312500000000005)","(5.0, 8.6, 7.485714285714286)","(6.5, 13.0, 8.38)","(31.0, 100.0, 52.5)","(12.0, 26.0, 18.75)","(4.4, 6.6, 4.65)","(6.0, 9.8, 9.39)","(6.5, 12.0, 8.88888888888889)"
09-01-2023 13:35:20.421650,"(3.1, 5.9, 5.1312500000000005)","(5.0, 8.6, 7.485714285714286)","(6.5, 13.0, 8.38)","(31.0, 100.0, 52.5)","(12.0, 26.0, 18.75)","(4.4, 6.6, 4.65)","(6.0, 9.8, 9.39)","(6.5, 12.0, 8.88888888888889)"
09-01-2023 13:35:21.570279,"(3.1, 5.9, 5.1312500000000005)","(5.0, 8.6, 7.485714285714286)","(6.5, 13.0, 8.38)","(31.0, 100.0, 52.5)","(12.0, 26.0, 18.75)","(4.4, 6.6, 4.65)","(6.0, 9.8, 9.39)","(6.5, 12.0, 8.88888888888889)"
09-01-2023 13:35:22.706358,"(3.1, 5.9, 5.1312500000000005)","(5.0, 8.6, 7.485714285714286)","(6.5, 13.0, 8.38)","(31.0, 100.0, 52.5)","(12.0, 26.0, 18.75)","(4.4, 6.6, 4.65)","(6.0, 9.8, 9.39)","(6.5, 12.0, 8.88888888888889)"
09-01-2023 13:35:23.894358,"(3.1, 5.9, 5.1312500000000005)","(5.0, 8.6, 7.485714285714286)","(6.5, 13.0, 8.38)","(31.0, 100.0, 52.5)","(12.0, 26.0, 18.75)","(4.4, 6.6, 4.65)","(6.0, 9.8, 9.39)","(6.5, 12.0, 8.88888888888889)"
09-01-2023 13:35:25.030105,"(3.1, 5.9, 5.1312500000000005)","(5.0, 8.6, 7.485714285714286)","(6.5, 13.0, 8.38)","(31.0, 100.0, 52.5)","(12.0, 26.0, 18.75)","(4.4, 6.6, 4.65)","(6.0, 9.8, 9.39)","(6.5, 12.0, 8.88888888888889)"
09-01-2023 13:35:26.160418,"(3.1, 5.9, 5.1312500000000005)","(5.0, 8.6, 7.485714285714286)","(6.5, 13.0, 8.38)","(31.0, 100.0, 52.5)","(12.0, 26.0, 18.75)","(4.4, 6.6, 4.65)","(6.0, 9.8, 9.39)","(6.5, 12.0, 8.88888888888889)"
09-01-2023 13:35:27.298456,"(3.1, 5.9, 5.1312500000000005)","(5.0, 8.6, 7.485714285714286)","(6.5, 13.0, 8.38)","(31.0, 100.0, 52.5)","(12.0, 26.0, 18.75)","(4.4, 6.6, 4.65)","(6.0, 9.8, 9.39)","(6.5, 12.0, 8.88888888888889)"
09-01-2023 13:35:28.656990,"(3.1, 5.9, 5.1312500000000005)","(5.0, 8.6, 7.485714285714286)","(6.5, 13.0, 8.38)","(31.0, 100.0, 52.5)","(12.0, 26.0, 18.75)","(4.4, 6.6, 4.65)","(6.0, 9.8, 9.39)","(6.5, 12.0, 8.88888888888889)"
09-01-2023 13:35:30.038708,"(3.1, 5.9, 5.1312500000000005)","(5.0, 8.6, 7.485714285714286)","(6.5, 13.0, 8.38)","(31.0, 100.0, 52.5)","(12.0, 26.0, 18.75)","(4.4, 6.6, 4.65)","(6.0, 9.8, 9.39)","(6.5, 12.0, 8.88888888888889)"
09-01-2023 13:35:31.412777,"(3.1, 5.9, 5.1312500000000005)","(5.0, 8.6, 7.485714285714286)","(6.5, 13.0, 8.38)","(31.0, 100.0, 52.5)","(12.0, 26.0, 18.75)","(4.4, 6.6, 4.65)","(6.0, 9.8, 9.39)","(6.5, 12.0, 8.88888888888889)"
09-01-2023 13:35:32.738605,"(3.1, 5.9, 5.1312500000000005)","(5.0, 8.6, 7.485714285714286)","(6.5, 13.0, 8.38)","(31.0, 100.0, 52.5)","(12.0, 26.0, 18.75)","(4.4, 6.6, 4.65)","(6.0, 9.8, 9.39)","(6.5, 12.0, 8.88888888888889)"
09-01-2023 13:35:34.055913,"(3.1, 5.9, 5.1312500000000005)","(5.0, 8.6, 7.485714285714286)","(6.5, 13.0, 8.38)","(31.0, 100.0, 52.5)","(12.0, 26.0, 18.75)","(4.4, 6.6, 4.65)","(6.0, 9.8, 9.39)","(6.5, 12.0, 8.88888888888889)"
09-01-2023 13:35:35.294974,"(3.1, 5.9, 5.1312500000000005)","(5.0, 8.6, 7.485714285714286)","(6.5, 13.0, 8.38)","(31.0, 100.0, 52.5)","(12.0, 26.0, 18.75)","(4.4, 6.6, 4.65)","(6.0, 9.8, 9.39)","(6.5, 12.0, 8.88888888888889)"
09-01-2023 13:35:36.545421,"(3.1, 5.9, 5.1312500000000005)","(5.0, 8.6, 7.485714285714286)","(6.5, 13.0, 8.38)","(31.0, 100.0, 52.5)","(12.0, 26.0, 18.75)","(4.4, 6.6, 4.65)","(6.0, 9.8, 9.39)","(6.5, 12.0, 8.88888888888889)"
09-01-2023 13:35:37.908406,"(3.1, 5.9, 5.1312500000000005)","(5.0, 8.6, 7.485714285714286)","(6.5, 13.0, 8.38)","(31.0, 100.0, 52.5)","(12.0, 26.0, 18.75)","(4.4, 6.6, 4.65)","(6.0, 9.8, 9.39)","(6.5, 12.0, 8.88888888888889)"
09-01-2023 13:35:39.148544,"(3.1, 5.9, 5.1312500000000005)","(5.0, 8.6, 7.485714285714286)","(6.5, 13.0, 8.38)","(31.0, 100.0, 52.5)","(12.0, 26.0, 18.75)","(4.4, 6.6, 4.65)","(6.0, 9.8, 9.39)","(6.5, 12.0, 8.88888888888889)"
09-01-2023 13:35:40.482676,"(3.1, 5.9, 5.1312500000000005)","(5.0, 8.6, 7.485714285714286)","(6.5, 13.0, 8.38)","(31.0, 100.0, 52.5)","(12.0, 26.0, 18.75)","(4.4, 6.6, 4.65)","(6.0, 9.8, 9.39)","(6.5, 12.0, 8.88888888888889)"
09-01-2023 13:35:41.785495,"(3.1, 5.9, 5.1312500000000005)","(5.0, 8.6, 7.485714285714286)","(6.5, 13.0, 8.38)","(31.0, 100.0, 52.5)","(12.0, 26.0, 18.75)","(4.4, 6.6, 4.65)","(6.0, 9.8, 9.39)","(6.5, 12.0, 8.88888888888889)"
09-01-2023 13:35:43.161137,"(3.1, 5.9, 5.1312500000000005)","(5.0, 8.6, 7.485714285714286)","(6.5, 13.0, 8.38)","(31.0, 100.0, 52.5)","(12.0, 26.0, 18.75)","(4.4, 6.6, 4.65)","(6.0, 9.8, 9.39)","(6.5, 12.0, 8.88888888888889)"
09-01-2023 13:35:44.565472,"(3.1, 5.9, 5.1312500000000005)","(5.0, 8.6, 7.485714285714286)","(6.5, 13.0, 8.38)","(31.0, 100.0, 52.5)","(12.0, 26.0, 18.75)","(4.4, 6.6, 4.65)","(6.0, 9.8, 9.39)","(6.5, 12.0, 8.88888888888889)"
09-01-2023 13:35:45.977283,"(3.1, 5.9, 5.1312500000000005)","(5.0, 8.6, 7.485714285714286)","(6.5, 13.0, 8.38)","(31.0, 100.0, 52.5)","(12.0, 26.0, 18.75)","(4.4, 6.6, 4.65)","(6.0, 9.8, 9.39)","(6.5, 12.0, 8.88888888888889)"
09-01-2023 13:35:47.353323,"(3.1, 5.9, 5.1312500000000005)","(5.0, 8.6, 7.485714285714286)","(6.5, 13.0, 8.38)","(31.0, 100.0, 52.5)","(12.0, 26.0, 18.75)","(4.4, 6.6, 4.65)","(6.0, 9.8, 9.39)","(6.5, 12.0, 8.88888888888889)"
09-01-2023 13:35:48.669321,"(3.1, 5.9, 5.1312500000000005)","(5.0, 8.6, 7.485714285714286)","(6.5, 13.0, 8.38)","(31.0, 100.0, 52.5)","(12.0, 26.0, 18.75)","(4.4, 6.6, 4.65)","(6.0, 9.8, 9.39)","(6.5, 12.0, 8.88888888888889)"
09-01-2023 13:35:49.911854,"(3.1, 5.9, 5.1312500000000005)","(5.0, 8.6, 7.485714285714286)","(6.5, 13.0, 8.38)","(31.0, 100.0, 52.5)","(12.0, 26.0, 18.75)","(4.4, 6.6, 4.65)","(6.0, 9.8, 9.39)","(6.5, 12.0, 8.88888888888889)"
09-01-2023 13:35:51.139940,"(3.1, 5.9, 5.1312500000000005)","(5.0, 8.6, 7.485714285714286)","(6.5, 13.0, 8.38)","(31.0, 100.0, 52.5)","(12.0, 26.0, 18.75)","(4.4, 6.6, 4.65)","(6.0, 9.8, 9.39)","(6.5, 12.0, 8.88888888888889)"
09-01-2023 13:35:52.367303,"(3.1, 5.9, 5.1312500000000005)","(5.0, 8.6, 7.485714285714286)","(6.5, 13.0, 8.38)","(31.0, 100.0, 52.5)","(12.0, 26.0, 18.75)","(4.4, 6.6, 4.65)","(6.0, 9.8, 9.39)","(6.5, 12.0, 8.88888888888889)"
09-01-2023 13:35:53.647925,"(3.1, 5.9, 5.1312500000000005)","(5.0, 8.6, 7.485714285714286)","(6.5, 13.0, 8.38)","(31.0, 100.0, 52.5)","(12.0, 26.0, 18.75)","(4.4, 6.6, 4.65)","(6.0, 9.8, 9.39)","(6.5, 12.0, 8.88888888888889)"
09-01-2023 13:35:54.937463,"(3.1, 5.9, 5.1312500000000005)","(5.0, 8.6, 7.485714285714286)","(6.5, 13.0, 8.38)","(31.0, 100.0, 52.5)","(12.0, 26.0, 18.75)","(4.4, 6.6, 4.65)","(6.0, 9.8, 9.39)","(6.5, 12.0, 8.88888888888889)"
09-01-2023 13:35:56.339881,"(3.1, 5.9, 5.1312500000000005)","(5.0, 8.6, 7.485714285714286)","(6.5, 13.0, 8.38)","(31.0, 100.0, 52.5)","(12.0, 26.0, 18.75)","(4.4, 6.6, 4.65)","(6.0, 9.8, 9.39)","(6.5, 12.0, 8.88888888888889)"
09-01-2023 13:35:57.674527,"(3.1, 5.9, 5.1312500000000005)","(5.0, 8.6, 7.485714285714286)","(6.5, 13.0, 8.38)","(31.0, 100.0, 52.5)","(12.0, 26.0, 18.75)","(4.4, 6.6, 4.65)","(6.0, 9.8, 9.39)","(6.5, 12.0, 8.88888888888889)"
09-01-2023 13:35:58.997514,"(3.1, 5.9, 5.1312500000000005)","(5.0, 8.6, 7.485714285714286)","(6.5, 13.0, 8.38)","(31.0, 100.0, 52.5)","(12.0, 26.0, 18.75)","(4.4, 6.6, 4.65)","(6.0, 9.8, 9.39)","(6.5, 12.0, 8.88888888888889)"
09-01-2023 13:36:00.335827,"(3.1, 5.9, 5.1312500000000005)","(5.0, 8.6, 7.485714285714286)","(6.5, 13.0, 8.38)","(31.0, 100.0, 52.5)","(12.0, 26.0, 18.75)","(4.4, 6.6, 4.65)","(6.0, 9.8, 9.39)","(6.5, 12.0, 8.88888888888889)"
09-01-2023 13:36:01.628217,"(3.1, 5.9, 5.1312500000000005)","(5.0, 8.6, 7.485714285714286)","(6.5, 13.0, 8.38)","(31.0, 100.0, 52.5)","(12.0, 26.0, 18.75)","(4.4, 6.6, 4.65)","(6.0, 9.8, 9.39)","(6.5, 12.0, 8.88888888888889)"
09-01-2023 13:36:02.908933,"(3.1, 5.9, 5.1312500000000005)","(5.0, 8.6, 7.485714285714286)","(6.5, 13.0, 8.38)","(31.0, 100.0, 52.5)","(12.0, 26.0, 18.75)","(4.4, 6.6, 4.65)","(6.0, 9.8, 9.39)","(6.5, 12.0, 8.88888888888889)"
09-01-2023 13:36:04.088923,"(3.1, 5.9, 5.1312500000000005)","(5.0, 8.6, 7.485714285714286)","(6.5, 13.0, 8.38)","(31.0, 100.0, 52.5)","(12.0, 26.0, 18.75)","(4.4, 6.6, 4.65)","(6.0, 9.8, 9.39)","(6.5, 12.0, 8.88888888888889)"
09-01-2023 13:36:05.414154,"(3.1, 5.9, 5.1312500000000005)","(5.0, 8.6, 7.485714285714286)","(6.5, 13.0, 8.38)","(31.0, 100.0, 52.5)","(12.0, 26.0, 18.75)","(4.4, 6.6, 4.65)","(6.0, 9.8, 9.39)","(6.5, 12.0, 8.88888888888889)"
09-01-2023 13:36:06.423126,"(3.1, 5.9, 5.1312500000000005)","(5.0, 8.6, 7.485714285714286)","(6.5, 13.0, 8.38)","(31.0, 100.0, 52.5)","(12.0, 26.0, 18.75)","(4.4, 6.6, 4.65)","(6.0, 9.8, 9.39)","(6.5, 12.0, 8.88888888888889)"
09-01-2023 13:36:07.534721,"(3.1, 5.9, 5.1312500000000005)","(5.0, 8.6, 7.485714285714286)","(6.5, 13.0, 8.38)","(31.0, 100.0, 52.5)","(12.0, 26.0, 18.75)","(4.4, 6.6, 4.65)","(6.0, 9.8, 9.39)","(6.5, 12.0, 8.88888888888889)"
09-01-2023 13:36:08.690563,"(3.1, 5.9, 5.1312500000000005)","(5.0, 8.6, 7.485714285714286)","(6.5, 13.0, 8.38)","(31.0, 100.0, 52.5)","(12.0, 26.0, 18.75)","(4.4, 6.6, 4.65)","(6.0, 9.8, 9.39)","(6.5, 12.0, 8.88888888888889)"
09-01-2023 13:36:09.801144,"(3.1, 5.9, 5.1312500000000005)","(5.0, 8.6, 7.485714285714286)","(6.5, 13.0, 8.38)","(31.0, 100.0, 52.5)","(12.0, 26.0, 18.75)","(4.4, 6.6, 4.65)","(6.0, 9.8, 9.39)","(6.5, 12.0, 8.88888888888889)"
09-01-2023 13:36:10.797971,"(3.1, 5.9, 5.1312500000000005)","(5.0, 8.6, 7.485714285714286)","(6.5, 13.0, 8.38)","(31.0, 100.0, 52.5)","(12.0, 26.0, 18.75)","(4.4, 6.6, 4.65)","(6.0, 9.8, 9.39)","(6.5, 12.0, 8.88888888888889)"
09-01-2023 13:36:11.913140,"(3.1, 5.9, 5.1312500000000005)","(5.0, 8.6, 7.485714285714286)","(6.5, 13.0, 8.38)","(31.0, 100.0, 52.5)","(12.0, 26.0, 18.75)","(4.4, 6.6, 4.65)","(6.0, 9.8, 9.39)","(6.5, 12.0, 8.88888888888889)"
