,Dont Tell Benji,Mac Cruz,Spellman,Aston Senator,Hey Tootle,Aston Zabbar,Kumani Sapphire
09-01-2023 14:56:26.671922,"(8.0, 14.0, 12.719999999999999)","(12.0, 30.0, 22.083333333333332)","(6.0, 17.0, 13.1)","(5.5, 9.0, 7.338461538461539)","(3.3, 5.7, 3.81)","(2.8, 3.8, 2.889375)","(10.0, 20.0, 15.923076923076923)"
09-01-2023 14:56:27.725286,"(8.0, 14.0, 12.719999999999999)","(12.0, 30.0, 22.083333333333332)","(6.0, 17.0, 13.1)","(5.5, 9.0, 7.338461538461539)","(3.3, 5.7, 3.81)","(2.8, 3.8, 2.889375)","(10.0, 20.0, 15.923076923076923)"
09-01-2023 14:56:28.771151,"(8.0, 14.0, 12.719999999999999)","(12.0, 30.0, 22.083333333333332)","(6.0, 17.0, 13.1)","(5.5, 9.0, 7.338461538461539)","(3.3, 5.7, 3.81)","(2.8, 3.8, 2.889375)","(10.0, 20.0, 15.923076923076923)"
09-01-2023 14:56:29.864350,"(8.0, 14.0, 12.719999999999999)","(12.0, 30.0, 22.083333333333332)","(6.0, 17.0, 13.1)","(5.5, 9.0, 7.338461538461539)","(3.3, 5.7, 3.81)","(2.8, 3.8, 2.889375)","(10.0, 20.0, 15.923076923076923)"
09-01-2023 14:56:30.989547,"(8.0, 14.0, 12.719999999999999)","(12.0, 30.0, 22.083333333333332)","(6.0, 17.0, 13.1)","(5.5, 9.0, 7.338461538461539)","(3.3, 5.7, 3.81)","(2.8, 3.8, 2.889375)","(10.0, 20.0, 15.923076923076923)"
09-01-2023 14:56:32.071789,"(8.0, 14.0, 12.719999999999999)","(12.0, 30.0, 22.083333333333332)","(6.0, 17.0, 13.1)","(5.5, 9.0, 7.338461538461539)","(3.3, 5.7, 3.81)","(2.8, 3.8, 2.889375)","(10.0, 20.0, 15.923076923076923)"
09-01-2023 14:56:33.256160,"(8.0, 14.0, 12.719999999999999)","(12.0, 30.0, 22.083333333333332)","(6.0, 17.0, 13.1)","(5.5, 9.0, 7.338461538461539)","(3.3, 5.7, 3.81)","(2.8, 3.8, 2.889375)","(10.0, 20.0, 15.923076923076923)"
09-01-2023 14:56:34.326002,"(8.0, 14.0, 12.719999999999999)","(12.0, 30.0, 26.041666666666664)","(6.0, 17.0, 13.1)","(5.5, 9.0, 7.338461538461539)","(3.3, 5.7, 3.81)","(2.8, 3.8, 2.889375)","(10.0, 20.0, 16.214285714285715)"
09-01-2023 14:56:35.381555,"(8.0, 14.0, 12.719999999999999)","(12.0, 30.0, 26.041666666666664)","(6.0, 17.0, 13.533333333333333)","(5.5, 9.0, 7.338461538461539)","(3.3, 5.7, 3.81)","(2.8, 3.8, 2.889375)","(10.0, 20.0, 16.214285714285715)"
09-01-2023 14:56:36.476175,"(8.0, 14.0, 12.719999999999999)","(12.0, 30.0, 26.041666666666664)","(6.0, 17.0, 13.533333333333333)","(5.5, 9.0, 7.338461538461539)","(3.3, 5.7, 3.81)","(2.8, 3.8, 2.889375)","(10.0, 20.0, 16.214285714285715)"
