,Book Launch,Dio,Foxys Star,Gottaluvjimmy,Kashiwa,Swiftly Ned,Ceejay,Prophets Choice,Alassak,Lotus Land,Springlodge,Miss Epernay
07-01-2023 13:26:35.586083,"(7.0, 11.5, 10.5)","(4.6, 5.6, 5.219047619047619)","(18.0, 42.0, 37.0)","(4.8, 5.3, 5.278260869565218)","(21.0, 55.0, 46.13333333333333)","(8.5, 12.5, 11.928571428571429)","(8.0, 9.2, 9.346666666666668)","(6.0, 7.0, 6.62051282051282)","(21.0, 25.0, 24.666666666666668)","(14.0, 22.0, 20.666666666666668)","(26.0, 90.0, 83.75)","(41.0, 95.0, 71.66666666666667)"
07-01-2023 13:26:37.178679,"(7.0, 11.5, 10.5)","(4.6, 5.6, 5.219047619047619)","(18.0, 40.0, 37.333333333333336)","(4.8, 5.3, 5.278260869565218)","(21.0, 55.0, 46.13333333333333)","(8.5, 12.5, 11.928571428571429)","(8.0, 9.4, 9.346666666666668)","(6.0, 7.0, 6.62051282051282)","(21.0, 25.0, 24.666666666666668)","(14.0, 22.0, 20.666666666666668)","(26.0, 95.0, 83.75)","(41.0, 95.0, 71.66666666666667)"
07-01-2023 13:26:38.754828,"(7.5, 11.5, 10.5)","(4.6, 5.6, 5.219047619047619)","(18.0, 42.0, 37.333333333333336)","(4.8, 5.3, 5.278260869565218)","(21.0, 55.0, 46.13333333333333)","(9.0, 12.5, 11.928571428571429)","(8.0, 9.4, 9.346666666666668)","(6.0, 7.0, 6.62051282051282)","(20.0, 25.0, 24.666666666666668)","(15.0, 22.0, 20.666666666666668)","(31.0, 95.0, 83.75)","(41.0, 95.0, 71.66666666666667)"
07-01-2023 13:26:40.344385,"(7.5, 11.5, 10.5)","(4.6, 5.6, 5.219047619047619)","(18.0, 42.0, 37.333333333333336)","(4.8, 5.3, 5.278260869565218)","(21.0, 55.0, 46.13333333333333)","(9.0, 12.5, 11.928571428571429)","(8.0, 9.4, 9.346666666666668)","(6.0, 7.0, 6.62051282051282)","(20.0, 25.0, 24.666666666666668)","(15.0, 22.0, 20.666666666666668)","(31.0, 95.0, 83.75)","(41.0, 95.0, 85.0)"
07-01-2023 13:26:41.952753,"(7.5, 11.5, 10.5)","(4.6, 5.6, 5.219047619047619)","(18.0, 42.0, 37.333333333333336)","(4.8, 5.3, 5.278260869565218)","(21.0, 55.0, 46.13333333333333)","(9.0, 12.5, 11.928571428571429)","(8.0, 9.4, 9.346666666666668)","(6.0, 7.0, 6.62051282051282)","(20.0, 25.0, 24.666666666666668)","(15.0, 22.0, 20.666666666666668)","(31.0, 95.0, 83.75)","(41.0, 110.0, 85.0)"
07-01-2023 13:26:43.580831,"(7.5, 11.5, 10.5)","(4.6, 5.6, 5.219047619047619)","(18.0, 42.0, 37.333333333333336)","(4.8, 5.3, 5.278260869565218)","(21.0, 55.0, 46.13333333333333)","(9.0, 12.5, 11.928571428571429)","(8.0, 9.4, 9.16)","(6.0, 7.0, 6.62051282051282)","(20.0, 25.0, 24.666666666666668)","(15.0, 22.0, 20.666666666666668)","(31.0, 95.0, 83.75)","(41.0, 110.0, 85.0)"
07-01-2023 13:26:45.247678,"(7.5, 11.5, 10.875)","(4.6, 5.6, 5.219047619047619)","(18.0, 42.0, 37.0)","(4.8, 5.3, 5.278260869565218)","(21.0, 55.0, 47.2)","(9.0, 12.5, 11.5)","(8.0, 9.2, 9.123809523809523)","(6.0, 7.0, 6.62051282051282)","(20.0, 25.0, 24.333333333333332)","(15.0, 22.0, 20.666666666666668)","(31.0, 95.0, 83.75)","(41.0, 110.0, 85.0)"
07-01-2023 13:26:46.831371,"(7.5, 11.5, 10.944444444444445)","(4.6, 5.6, 5.219047619047619)","(18.0, 40.0, 35.5)","(4.8, 5.3, 5.278260869565218)","(21.0, 50.0, 45.6)","(9.0, 12.0, 11.5)","(8.0, 9.2, 9.123809523809523)","(6.0, 7.0, 6.62051282051282)","(20.0, 25.0, 24.333333333333332)","(15.0, 22.0, 20.666666666666668)","(31.0, 95.0, 83.75)","(41.0, 190.0, 125.0)"
07-01-2023 13:26:48.347105,"(7.5, 11.5, 10.944444444444445)","(4.6, 5.6, 5.219047619047619)","(18.0, 38.0, 35.5)","(4.8, 5.3, 5.277272727272727)","(21.0, 48.0, 45.6)","(9.0, 12.0, 11.5)","(8.0, 9.2, 9.123809523809523)","(6.0, 7.0, 6.80722891566265)","(19.0, 25.0, 24.333333333333332)","(15.0, 22.0, 20.333333333333332)","(31.0, 95.0, 83.75)","(41.0, 190.0, 125.0)"
07-01-2023 13:26:49.943454,"(7.5, 11.5, 10.944444444444445)","(4.6, 5.6, 5.219047619047619)","(18.0, 38.0, 35.5)","(4.8, 5.3, 5.277272727272727)","(21.0, 48.0, 46.666666666666664)","(9.0, 12.0, 11.5)","(8.0, 9.2, 9.123809523809523)","(6.0, 7.0, 6.9)","(19.0, 25.0, 24.333333333333332)","(15.0, 21.0, 20.25)","(31.0, 95.0, 83.75)","(41.0, 190.0, 125.0)"
