,Donovans Warrior,Red October,Top Honors,Pink Higgins,Nerky Rose,Call Me Firey,Quiet As Midnight
08-12-2022 12:31:22.498062,"(21.0, 210.0, 116.5)","(4.2, 4.9, 4.275)","(2.9, 4.2, 3.975)","(4.6, 6.2, 6.036363636363636)","(10.0, 12.0, 10.4)","(15.0, 25.0, 19.5)","(4.6, 6.4, 6.04)"
08-12-2022 12:31:23.404015,"(21.0, 210.0, 116.5)","(4.2, 4.9, 4.2214285714285715)","(2.9, 4.2, 3.975)","(4.6, 6.4, 6.29)","(10.0, 12.0, 10.4)","(15.0, 25.0, 19.5)","(4.6, 6.4, 6.04)"
08-12-2022 12:31:24.358206,"(21.0, 210.0, 116.5)","(4.2, 4.9, 4.2214285714285715)","(2.9, 4.2, 3.975)","(4.6, 6.4, 5.828571428571429)","(10.0, 12.0, 10.4)","(15.0, 25.0, 19.5)","(4.6, 6.4, 6.04)"
08-12-2022 12:31:25.281874,"(21.0, 210.0, 116.5)","(4.2, 4.9, 4.2214285714285715)","(2.9, 4.2, 3.975)","(4.6, 6.4, 5.4222222222222225)","(10.0, 12.0, 10.4)","(15.0, 25.0, 19.5)","(4.6, 6.4, 6.04)"
08-12-2022 12:31:26.240918,"(21.0, 210.0, 116.5)","(4.2, 4.9, 4.2214285714285715)","(2.9, 4.2, 3.975)","(4.6, 6.4, 5.4222222222222225)","(10.0, 12.0, 10.4)","(15.0, 25.0, 19.5)","(4.6, 6.4, 6.04)"
08-12-2022 12:31:27.250787,"(21.0, 210.0, 116.5)","(4.2, 4.9, 4.2214285714285715)","(2.9, 4.2, 3.975)","(4.6, 6.4, 5.4222222222222225)","(10.0, 12.0, 10.4)","(15.0, 25.0, 19.5)","(4.6, 6.4, 6.04)"
08-12-2022 12:31:28.192360,"(21.0, 210.0, 116.5)","(4.2, 4.6, 4.094444444444444)","(2.9, 4.2, 3.975)","(4.6, 6.4, 5.4222222222222225)","(10.0, 12.0, 10.4)","(15.0, 25.0, 19.5)","(4.6, 6.4, 6.04)"
08-12-2022 12:31:29.134739,"(21.0, 210.0, 116.5)","(4.2, 4.6, 4.094444444444444)","(2.9, 4.2, 3.975)","(4.6, 6.4, 5.4222222222222225)","(10.0, 12.0, 10.4)","(15.0, 25.0, 19.5)","(4.6, 6.4, 6.04)"
08-12-2022 12:31:30.111910,"(21.0, 210.0, 116.5)","(4.2, 4.5, 4.133333333333334)","(2.9, 4.2, 3.975)","(4.6, 6.4, 5.4222222222222225)","(10.0, 12.0, 10.4)","(15.0, 25.0, 19.5)","(4.6, 6.4, 6.04)"
08-12-2022 12:31:31.046565,"(21.0, 210.0, 116.5)","(4.2, 4.5, 4.133333333333334)","(2.9, 4.2, 3.975)","(4.6, 6.4, 5.4222222222222225)","(10.0, 12.0, 10.4)","(15.0, 25.0, 19.5)","(4.6, 6.4, 6.04)"
08-12-2022 12:31:31.964520,"(21.0, 210.0, 116.5)","(4.2, 4.5, 4.366666666666666)","(2.9, 4.2, 3.975)","(4.6, 6.2, 5.95)","(10.0, 12.0, 10.4)","(15.0, 25.0, 19.5)","(4.6, 6.4, 6.04)"
08-12-2022 12:31:32.906281,"(21.0, 210.0, 116.5)","(4.2, 4.5, 4.366666666666666)","(2.9, 4.2, 3.975)","(4.6, 6.2, 6.05)","(10.0, 12.0, 10.4)","(15.0, 25.0, 19.5)","(4.6, 6.4, 6.04)"
08-12-2022 12:31:33.800878,"(21.0, 210.0, 116.5)","(4.4, 4.5, 4.366666666666666)","(3.1, 4.2, 3.975)","(4.4, 6.2, 6.0875)","(9.0, 12.0, 10.4)","(12.0, 25.0, 19.5)","(4.6, 6.4, 6.04)"
08-12-2022 12:31:34.752890,"(21.0, 210.0, 116.5)","(4.4, 4.5, 4.366666666666666)","(3.1, 4.2, 3.975)","(4.4, 6.2, 6.05)","(9.0, 12.0, 10.4)","(12.0, 25.0, 19.5)","(4.6, 6.4, 5.800000000000001)"
08-12-2022 12:31:35.727662,"(21.0, 210.0, 116.5)","(4.4, 4.5, 4.128571428571429)","(3.1, 4.2, 3.975)","(4.4, 6.2, 6.05)","(9.0, 12.0, 10.4)","(12.0, 25.0, 19.5)","(4.6, 6.4, 5.928571428571429)"
08-12-2022 12:31:36.675460,"(21.0, 210.0, 116.5)","(4.4, 4.5, 4.128571428571429)","(3.1, 4.2, 3.975)","(4.4, 6.2, 6.05)","(9.0, 12.0, 10.4)","(12.0, 25.0, 19.5)","(4.6, 6.4, 5.928571428571429)"
08-12-2022 12:31:37.581038,"(21.0, 210.0, 116.5)","(4.4, 4.5, 4.128571428571429)","(3.1, 4.2, 3.975)","(4.4, 6.2, 6.05)","(9.0, 12.0, 10.4)","(12.0, 25.0, 19.5)","(4.6, 6.4, 5.928571428571429)"
08-12-2022 12:31:38.654673,"(21.0, 210.0, 116.5)","(4.4, 4.5, 4.3)","(3.1, 4.2, 3.975)","(4.4, 6.2, 6.05)","(9.0, 12.0, 10.4)","(12.0, 25.0, 19.5)","(4.6, 6.4, 5.928571428571429)"
08-12-2022 12:31:39.635937,"(21.0, 210.0, 116.5)","(4.4, 4.5, 4.3)","(3.1, 4.2, 3.975)","(4.4, 6.2, 6.05)","(9.0, 12.0, 10.4)","(12.0, 25.0, 19.5)","(4.6, 6.4, 5.928571428571429)"
08-12-2022 12:31:40.669793,"(21.0, 210.0, 116.5)","(4.4, 4.5, 4.3)","(3.1, 4.2, 3.975)","(4.4, 6.4, 5.52)","(9.0, 12.0, 10.4)","(12.0, 25.0, 19.5)","(4.6, 6.4, 5.928571428571429)"
08-12-2022 12:31:41.745347,"(21.0, 210.0, 116.5)","(4.4, 4.5, 4.3)","(3.1, 4.2, 3.975)","(4.4, 6.4, 5.4222222222222225)","(9.0, 12.0, 10.4)","(12.0, 25.0, 19.5)","(4.6, 6.4, 5.928571428571429)"
08-12-2022 12:31:42.758260,"(21.0, 210.0, 116.5)","(4.4, 4.5, 4.3)","(3.1, 4.2, 3.975)","(4.4, 6.4, 5.4222222222222225)","(9.0, 12.0, 10.4)","(12.0, 25.0, 19.5)","(4.6, 6.4, 5.928571428571429)"
08-12-2022 12:31:43.806126,"(21.0, 210.0, 116.5)","(4.4, 4.5, 4.3)","(3.1, 4.2, 3.975)","(4.4, 6.4, 5.4222222222222225)","(9.0, 12.0, 10.4)","(12.0, 25.0, 19.5)","(4.6, 6.4, 5.928571428571429)"
08-12-2022 12:31:44.783926,"(21.0, 210.0, 116.5)","(4.4, 4.5, 4.3)","(3.1, 4.2, 3.975)","(4.4, 6.4, 5.4222222222222225)","(9.0, 12.0, 10.4)","(12.0, 25.0, 19.5)","(4.6, 6.4, 5.928571428571429)"
08-12-2022 12:31:45.772165,"(21.0, 210.0, 116.5)","(4.4, 4.5, 4.3)","(3.1, 4.2, 3.975)","(4.4, 6.4, 5.4222222222222225)","(9.0, 12.0, 10.4)","(12.0, 25.0, 19.5)","(4.6, 6.4, 5.928571428571429)"
08-12-2022 12:31:46.751755,"(21.0, 210.0, 116.5)","(4.4, 4.5, 4.3)","(3.1, 4.2, 3.975)","(4.4, 6.4, 5.4222222222222225)","(9.0, 12.0, 10.4)","(12.0, 25.0, 19.5)","(4.6, 6.4, 5.928571428571429)"
08-12-2022 12:31:47.681521,"(21.0, 210.0, 116.5)","(4.4, 4.5, 4.3)","(3.1, 4.2, 3.975)","(4.4, 6.2, 5.6)","(9.0, 12.0, 10.4)","(12.0, 25.0, 19.5)","(4.6, 6.4, 5.928571428571429)"
08-12-2022 12:31:48.619217,"(21.0, 210.0, 116.5)","(4.4, 4.5, 4.3)","(3.1, 4.2, 3.975)","(4.4, 6.2, 5.977777777777778)","(9.0, 12.0, 10.4)","(12.0, 25.0, 19.5)","(4.6, 6.4, 5.7)"
08-12-2022 12:31:49.560007,"(21.0, 210.0, 116.5)","(4.4, 4.5, 4.3)","(3.1, 4.2, 3.975)","(4.4, 6.2, 5.977777777777778)","(9.0, 12.0, 10.4)","(12.0, 25.0, 19.5)","(4.6, 6.4, 5.928571428571429)"
08-12-2022 12:31:50.487504,"(21.0, 210.0, 116.5)","(4.4, 4.5, 4.3)","(3.1, 4.2, 3.975)","(4.4, 6.2, 5.6)","(9.0, 12.0, 10.4)","(12.0, 25.0, 19.5)","(4.6, 6.4, 6.04)"
08-12-2022 12:31:51.407366,"(21.0, 210.0, 116.5)","(4.4, 4.5, 4.3)","(3.1, 4.2, 3.975)","(4.4, 6.2, 5.6)","(9.0, 12.0, 10.4)","(12.0, 25.0, 19.5)","(4.6, 6.4, 6.04)"
08-12-2022 12:31:52.315290,"(21.0, 210.0, 116.5)","(4.4, 4.5, 4.3)","(3.1, 4.2, 3.975)","(4.4, 6.2, 5.6)","(9.0, 12.0, 10.4)","(12.0, 25.0, 19.5)","(4.6, 6.4, 6.04)"
08-12-2022 12:31:53.241089,"(21.0, 210.0, 116.5)","(4.4, 4.5, 4.3)","(3.1, 4.2, 3.975)","(4.4, 6.2, 5.6)","(9.0, 12.0, 10.4)","(12.0, 25.0, 19.5)","(4.6, 6.4, 5.928571428571429)"
08-12-2022 12:31:54.163580,"(21.0, 210.0, 116.5)","(4.4, 4.5, 4.3)","(3.1, 4.2, 3.975)","(4.4, 6.2, 5.6)","(9.0, 12.0, 10.4)","(12.0, 25.0, 19.5)","(4.6, 6.4, 5.928571428571429)"
08-12-2022 12:31:55.114962,"(21.0, 210.0, 116.5)","(4.4, 4.5, 4.3)","(3.1, 4.2, 3.975)","(4.4, 6.2, 5.6)","(9.0, 12.0, 10.4)","(12.0, 25.0, 19.5)","(4.6, 6.4, 5.928571428571429)"
08-12-2022 12:31:56.120042,"(21.0, 210.0, 116.5)","(4.4, 4.5, 4.3)","(3.1, 4.2, 3.975)","(4.4, 6.4, 5.85)","(9.0, 12.0, 10.4)","(12.0, 25.0, 19.5)","(4.6, 6.4, 5.928571428571429)"
08-12-2022 12:31:57.133912,"(21.0, 210.0, 116.5)","(4.4, 4.5, 4.3)","(3.1, 4.2, 3.975)","(4.4, 6.4, 5.4222222222222225)","(9.0, 12.0, 10.4)","(12.0, 25.0, 19.5)","(4.6, 6.4, 5.928571428571429)"
08-12-2022 12:31:58.155302,"(21.0, 210.0, 116.5)","(4.4, 4.5, 4.3)","(3.1, 4.2, 3.975)","(4.4, 6.4, 5.4222222222222225)","(9.0, 12.0, 10.4)","(12.0, 25.0, 19.5)","(4.6, 6.4, 5.928571428571429)"
08-12-2022 12:31:59.350465,"(21.0, 210.0, 116.5)","(4.4, 4.5, 4.3)","(3.1, 4.2, 3.975)","(4.4, 6.4, 5.4222222222222225)","(9.0, 12.0, 10.4)","(12.0, 25.0, 19.5)","(4.6, 6.4, 5.928571428571429)"
08-12-2022 12:32:00.424126,"(21.0, 210.0, 116.5)","(4.4, 4.5, 4.3)","(3.1, 4.2, 3.975)","(4.4, 6.4, 5.4222222222222225)","(9.0, 12.0, 10.4)","(12.0, 25.0, 19.5)","(4.6, 6.4, 5.928571428571429)"
08-12-2022 12:32:01.351361,"(21.0, 210.0, 116.5)","(4.4, 4.5, 4.3)","(3.1, 4.2, 3.975)","(4.4, 6.4, 5.4222222222222225)","(9.0, 12.0, 10.4)","(12.0, 25.0, 19.5)","(4.6, 6.4, 5.928571428571429)"
08-12-2022 12:32:02.269356,"(21.0, 210.0, 147.33333333333331)","(4.4, 4.5, 4.3)","(3.1, 4.2, 3.975)","(4.4, 6.4, 5.4222222222222225)","(9.0, 12.0, 10.56)","(12.0, 25.0, 19.5)","(4.6, 6.4, 5.928571428571429)"
08-12-2022 12:32:03.157400,"(21.0, 210.0, 147.33333333333331)","(4.4, 4.5, 4.3)","(3.1, 4.2, 3.975)","(4.4, 6.4, 5.4222222222222225)","(9.0, 12.0, 10.56)","(12.0, 25.0, 19.5)","(4.6, 6.4, 5.928571428571429)"
08-12-2022 12:32:04.101326,"(21.0, 210.0, 147.33333333333331)","(4.4, 4.5, 4.3)","(3.1, 4.2, 3.975)","(4.4, 6.2, 5.6)","(9.0, 12.0, 10.56)","(12.0, 25.0, 19.5)","(4.6, 6.4, 5.928571428571429)"
08-12-2022 12:32:05.020990,"(21.0, 210.0, 147.33333333333331)","(4.4, 4.5, 4.3)","(3.1, 4.2, 3.975)","(4.4, 6.2, 5.6)","(9.0, 12.0, 10.56)","(12.0, 25.0, 19.5)","(4.6, 6.4, 5.928571428571429)"
08-12-2022 12:32:05.952207,"(21.0, 210.0, 147.33333333333331)","(4.4, 4.5, 4.3)","(3.1, 4.2, 3.975)","(4.4, 6.2, 5.6)","(9.0, 12.0, 10.56)","(12.0, 25.0, 19.5)","(4.6, 6.4, 5.7)"
08-12-2022 12:32:06.932033,"(21.0, 210.0, 147.33333333333331)","(4.4, 4.5, 4.3)","(3.1, 4.2, 3.975)","(4.4, 6.2, 5.6)","(9.0, 12.0, 10.56)","(12.0, 25.0, 19.5)","(4.6, 6.4, 6.0)"
08-12-2022 12:32:07.921694,"(21.0, 210.0, 147.33333333333331)","(4.4, 4.5, 4.3)","(3.1, 4.2, 3.975)","(4.4, 6.2, 5.6)","(9.0, 12.0, 10.56)","(12.0, 25.0, 19.5)","(4.6, 6.4, 6.0)"
08-12-2022 12:32:08.848244,"(21.0, 210.0, 147.33333333333331)","(4.4, 4.5, 4.3)","(3.1, 4.2, 3.975)","(4.4, 6.2, 5.6)","(9.0, 12.0, 10.56)","(12.0, 25.0, 19.5)","(4.6, 6.4, 5.928571428571429)"
08-12-2022 12:32:09.794230,"(21.0, 210.0, 147.33333333333331)","(4.4, 4.5, 4.3)","(3.1, 4.2, 3.975)","(4.4, 6.2, 5.6)","(9.0, 12.0, 10.56)","(12.0, 25.0, 19.5)","(4.6, 6.4, 5.928571428571429)"
08-12-2022 12:32:10.769311,"(21.0, 210.0, 147.33333333333331)","(4.4, 4.5, 4.3)","(3.1, 4.2, 3.975)","(4.4, 6.2, 5.6)","(9.0, 12.0, 10.56)","(12.0, 25.0, 19.5)","(4.6, 6.4, 5.928571428571429)"
08-12-2022 12:32:11.715240,"(21.0, 210.0, 147.33333333333331)","(4.4, 4.5, 4.3)","(3.1, 4.2, 3.975)","(4.4, 6.2, 5.6)","(9.0, 12.0, 10.56)","(12.0, 25.0, 19.5)","(4.6, 6.4, 5.928571428571429)"
08-12-2022 12:32:12.735724,"(21.0, 210.0, 147.33333333333331)","(4.4, 4.5, 4.3)","(3.1, 4.2, 3.975)","(4.4, 6.2, 5.85)","(9.0, 12.0, 10.56)","(12.0, 25.0, 19.5)","(4.6, 6.4, 5.928571428571429)"
08-12-2022 12:32:13.685424,"(21.0, 210.0, 147.33333333333331)","(4.4, 4.5, 4.3)","(3.1, 4.2, 3.975)","(4.4, 6.4, 5.4222222222222225)","(9.0, 12.0, 10.56)","(12.0, 25.0, 19.5)","(4.6, 6.4, 5.928571428571429)"
08-12-2022 12:32:14.674771,"(21.0, 210.0, 147.33333333333331)","(4.4, 4.5, 4.3)","(3.1, 4.2, 3.975)","(4.4, 6.4, 5.4222222222222225)","(9.0, 12.0, 10.56)","(12.0, 25.0, 19.5)","(4.6, 6.4, 5.928571428571429)"
08-12-2022 12:32:15.632201,"(21.0, 210.0, 147.33333333333331)","(4.4, 4.5, 4.3)","(3.1, 4.2, 3.975)","(4.4, 6.4, 5.4222222222222225)","(9.0, 12.0, 10.56)","(12.0, 25.0, 19.5)","(4.6, 6.4, 5.928571428571429)"
08-12-2022 12:32:16.596501,"(21.0, 210.0, 147.33333333333331)","(4.4, 4.5, 4.3)","(3.1, 4.2, 3.975)","(4.4, 6.4, 5.4222222222222225)","(9.0, 12.0, 10.56)","(12.0, 25.0, 19.5)","(4.6, 6.4, 5.928571428571429)"
08-12-2022 12:32:17.544439,"(21.0, 210.0, 147.33333333333331)","(4.4, 4.5, 4.3)","(3.1, 4.2, 3.975)","(4.4, 6.4, 5.4222222222222225)","(9.0, 12.0, 10.56)","(12.0, 25.0, 19.5)","(4.6, 6.4, 5.928571428571429)"
08-12-2022 12:32:18.529715,"(21.0, 210.0, 147.33333333333331)","(4.4, 4.5, 4.3)","(3.1, 4.2, 3.95)","(4.4, 6.4, 5.4222222222222225)","(9.0, 12.0, 9.942857142857143)","(12.0, 25.0, 19.5)","(4.6, 6.4, 5.928571428571429)"
08-12-2022 12:32:19.490206,"(21.0, 210.0, 147.33333333333331)","(4.4, 4.5, 4.3)","(3.1, 4.2, 3.95)","(4.4, 6.4, 5.4222222222222225)","(9.0, 12.0, 9.942857142857143)","(12.0, 25.0, 19.5)","(4.6, 6.4, 5.928571428571429)"
08-12-2022 12:32:20.486723,"(21.0, 210.0, 147.33333333333331)","(4.4, 4.5, 4.3)","(3.1, 4.2, 3.95)","(4.4, 6.4, 5.4222222222222225)","(9.0, 12.0, 9.942857142857143)","(12.0, 25.0, 19.5)","(4.6, 6.4, 5.928571428571429)"
08-12-2022 12:32:21.528556,"(21.0, 210.0, 147.33333333333331)","(4.4, 4.5, 4.3)","(3.1, 4.2, 3.95)","(4.4, 6.2, 5.6)","(9.0, 12.0, 9.942857142857143)","(12.0, 25.0, 19.5)","(4.6, 6.4, 6.04)"
08-12-2022 12:32:22.588150,"(21.0, 210.0, 147.33333333333331)","(4.4, 4.5, 4.3)","(3.1, 4.2, 3.95)","(4.4, 6.2, 5.6)","(9.0, 12.0, 9.942857142857143)","(12.0, 25.0, 19.5)","(4.6, 6.4, 6.04)"
08-12-2022 12:32:23.629265,"(21.0, 210.0, 147.33333333333331)","(4.4, 4.5, 4.3)","(3.1, 4.2, 3.95)","(4.4, 6.2, 5.942857142857143)","(9.0, 12.0, 9.942857142857143)","(12.0, 25.0, 19.5)","(4.6, 6.4, 5.928571428571429)"
08-12-2022 12:32:24.700387,"(21.0, 210.0, 147.33333333333331)","(4.4, 4.5, 4.3)","(3.1, 4.2, 3.95)","(4.4, 6.2, 5.6)","(9.0, 12.0, 9.942857142857143)","(12.0, 25.0, 19.5)","(4.6, 6.4, 5.928571428571429)"
08-12-2022 12:32:25.695138,"(21.0, 210.0, 147.33333333333331)","(4.4, 4.5, 4.3)","(3.1, 4.2, 3.95)","(4.4, 6.2, 5.6)","(9.0, 12.0, 9.942857142857143)","(12.0, 25.0, 19.5)","(4.6, 6.4, 5.928571428571429)"
08-12-2022 12:32:26.679707,"(21.0, 210.0, 147.33333333333331)","(4.4, 4.5, 4.3)","(3.1, 4.2, 3.95)","(4.4, 6.2, 5.6)","(9.0, 12.0, 9.942857142857143)","(12.0, 25.0, 19.5)","(4.6, 6.4, 5.928571428571429)"
08-12-2022 12:32:27.631342,"(21.0, 210.0, 147.33333333333331)","(4.4, 4.5, 4.3)","(3.1, 4.2, 3.95)","(4.4, 6.4, 5.4222222222222225)","(9.0, 12.0, 9.942857142857143)","(12.0, 25.0, 19.5)","(4.6, 6.4, 5.928571428571429)"
08-12-2022 12:32:28.610388,"(21.0, 210.0, 147.33333333333331)","(4.4, 4.5, 4.3)","(3.1, 4.2, 3.95)","(4.4, 6.4, 5.4222222222222225)","(9.0, 12.0, 9.942857142857143)","(12.0, 25.0, 19.5)","(4.6, 6.4, 5.928571428571429)"
08-12-2022 12:32:29.608400,"(21.0, 210.0, 147.33333333333331)","(4.4, 4.5, 4.3)","(3.1, 4.2, 3.95)","(4.4, 6.4, 5.4222222222222225)","(9.0, 12.0, 9.942857142857143)","(12.0, 25.0, 19.5)","(4.6, 6.4, 5.928571428571429)"
08-12-2022 12:32:30.611190,"(21.0, 210.0, 147.33333333333331)","(4.4, 4.5, 4.3)","(3.1, 4.2, 3.95)","(4.4, 6.4, 5.4222222222222225)","(9.0, 12.0, 9.942857142857143)","(12.0, 25.0, 19.5)","(4.6, 6.4, 5.928571428571429)"
08-12-2022 12:32:31.599462,"(21.0, 210.0, 147.33333333333331)","(4.4, 4.5, 4.3)","(3.1, 4.2, 3.95)","(4.4, 6.4, 5.4222222222222225)","(9.0, 12.0, 9.942857142857143)","(12.0, 25.0, 19.5)","(4.6, 6.4, 5.928571428571429)"
08-12-2022 12:32:32.666899,"(21.0, 210.0, 147.33333333333331)","(4.4, 4.5, 4.3)","(3.1, 4.2, 3.95)","(4.4, 6.4, 5.4222222222222225)","(9.0, 12.0, 9.942857142857143)","(12.0, 25.0, 19.5)","(4.6, 6.4, 5.928571428571429)"
