,Nando Sid,At Sea,Gotham Ethics,Feel The Magic,Queen Missile,Remembering,Outlaw Rambo
14-12-2022 13:06:06.197892,"(6.5, 16.5, 8.5375)","(1.85, 2.3, 2.1927659574468086)","(21.0, 90.0, 73.57142857142857)","(3.6, 6.2, 4.075862068965518)","(21.0, 95.0, 78.18181818181819)","(21.0, 60.0, 37.22222222222222)","(5.0, 9.8, 6.052941176470589)"
14-12-2022 13:06:07.393213,"(6.5, 16.5, 8.5375)","(1.85, 2.3, 2.1927659574468086)","(21.0, 90.0, 73.57142857142857)","(3.6, 6.2, 4.075862068965518)","(21.0, 95.0, 78.18181818181819)","(21.0, 60.0, 37.22222222222222)","(5.0, 9.8, 6.052941176470589)"
14-12-2022 13:06:08.537640,"(6.5, 16.5, 8.5375)","(1.85, 2.3, 2.1927659574468086)","(21.0, 90.0, 73.57142857142857)","(3.6, 6.2, 3.7800000000000002)","(21.0, 95.0, 78.18181818181819)","(21.0, 60.0, 37.22222222222222)","(5.0, 9.8, 6.052941176470589)"
14-12-2022 13:06:09.642773,"(6.5, 16.5, 8.5375)","(1.85, 2.3, 2.1927659574468086)","(21.0, 90.0, 73.57142857142857)","(3.6, 6.2, 3.7800000000000002)","(21.0, 95.0, 78.18181818181819)","(21.0, 60.0, 37.22222222222222)","(5.0, 9.8, 5.9)"
14-12-2022 13:06:10.737651,"(6.5, 16.5, 8.5375)","(1.85, 2.3, 2.1927659574468086)","(21.0, 90.0, 73.57142857142857)","(3.6, 6.2, 3.7800000000000002)","(21.0, 95.0, 78.18181818181819)","(21.0, 60.0, 37.22222222222222)","(5.0, 9.8, 5.9)"
14-12-2022 13:06:11.870578,"(6.5, 16.5, 8.5375)","(1.85, 2.3, 2.1927659574468086)","(21.0, 90.0, 73.57142857142857)","(3.6, 6.2, 5.016981132075472)","(21.0, 95.0, 78.18181818181819)","(21.0, 60.0, 37.22222222222222)","(5.0, 9.8, 5.9)"
14-12-2022 13:06:12.997490,"(6.5, 16.5, 8.5375)","(1.85, 2.3, 2.1927659574468086)","(21.0, 90.0, 73.57142857142857)","(3.6, 6.2, 3.7359999999999998)","(21.0, 95.0, 78.18181818181819)","(21.0, 60.0, 37.22222222222222)","(5.0, 9.8, 5.9)"
14-12-2022 13:06:14.002606,"(6.5, 16.5, 8.5375)","(1.85, 2.3, 2.1927659574468086)","(21.0, 90.0, 73.57142857142857)","(3.6, 6.2, 3.7359999999999998)","(21.0, 95.0, 78.18181818181819)","(21.0, 60.0, 37.22222222222222)","(5.0, 9.8, 6.188888888888889)"
14-12-2022 13:06:15.109511,"(6.5, 16.5, 8.5375)","(1.85, 2.3, 2.1927659574468086)","(21.0, 90.0, 73.57142857142857)","(3.6, 6.2, 3.7359999999999998)","(21.0, 95.0, 78.18181818181819)","(21.0, 60.0, 37.22222222222222)","(5.0, 9.8, 6.188888888888889)"
14-12-2022 13:06:16.152802,"(6.5, 16.5, 8.5375)","(1.85, 2.3, 2.1927659574468086)","(21.0, 90.0, 73.57142857142857)","(3.6, 6.2, 3.7359999999999998)","(21.0, 95.0, 78.18181818181819)","(21.0, 60.0, 37.22222222222222)","(5.0, 9.8, 6.188888888888889)"
14-12-2022 13:06:17.234634,"(6.5, 16.5, 8.5375)","(1.85, 2.3, 2.1927659574468086)","(21.0, 90.0, 73.57142857142857)","(3.6, 6.2, 3.7359999999999998)","(21.0, 95.0, 78.18181818181819)","(21.0, 60.0, 37.22222222222222)","(5.0, 9.8, 6.188888888888889)"
14-12-2022 13:06:18.401796,"(6.5, 16.5, 8.5375)","(1.85, 2.3, 2.1927659574468086)","(21.0, 90.0, 73.57142857142857)","(3.6, 6.2, 3.7359999999999998)","(21.0, 95.0, 78.18181818181819)","(21.0, 60.0, 37.22222222222222)","(5.0, 9.8, 6.188888888888889)"
14-12-2022 13:06:19.514906,"(6.5, 16.5, 8.5375)","(1.85, 2.3, 2.1927659574468086)","(21.0, 90.0, 73.57142857142857)","(3.6, 6.2, 3.7359999999999998)","(21.0, 95.0, 78.18181818181819)","(21.0, 60.0, 37.22222222222222)","(5.0, 9.8, 7.030434782608696)"
14-12-2022 13:06:20.627304,"(6.5, 16.5, 8.5375)","(1.85, 2.3, 2.1927659574468086)","(21.0, 90.0, 73.57142857142857)","(3.6, 6.2, 3.7359999999999998)","(21.0, 95.0, 78.18181818181819)","(21.0, 60.0, 37.22222222222222)","(5.0, 9.8, 5.9)"
14-12-2022 13:06:21.776601,"(6.5, 16.5, 8.5375)","(1.85, 2.3, 2.1927659574468086)","(21.0, 90.0, 73.57142857142857)","(3.6, 6.2, 3.7359999999999998)","(21.0, 95.0, 78.18181818181819)","(21.0, 60.0, 37.22222222222222)","(5.0, 9.8, 5.9)"
14-12-2022 13:06:22.804668,"(6.5, 16.5, 8.5375)","(1.85, 2.3, 2.1927659574468086)","(21.0, 90.0, 73.57142857142857)","(3.6, 6.2, 3.7359999999999998)","(21.0, 95.0, 78.18181818181819)","(21.0, 60.0, 37.22222222222222)","(5.0, 9.8, 5.9)"
14-12-2022 13:06:23.883968,"(6.5, 16.5, 8.5375)","(1.85, 2.3, 2.1927659574468086)","(21.0, 90.0, 73.57142857142857)","(3.6, 6.2, 3.7359999999999998)","(21.0, 95.0, 78.18181818181819)","(21.0, 60.0, 37.22222222222222)","(5.0, 9.8, 5.9)"
14-12-2022 13:06:24.928259,"(6.5, 16.5, 8.5375)","(1.85, 2.3, 2.1927659574468086)","(21.0, 90.0, 73.57142857142857)","(3.6, 6.2, 3.7359999999999998)","(21.0, 95.0, 78.18181818181819)","(21.0, 60.0, 37.22222222222222)","(5.0, 9.8, 5.9)"
14-12-2022 13:06:25.931172,"(6.5, 16.5, 8.5375)","(1.85, 2.3, 2.1927659574468086)","(21.0, 90.0, 73.57142857142857)","(3.6, 6.2, 3.7359999999999998)","(21.0, 95.0, 78.18181818181819)","(21.0, 60.0, 37.22222222222222)","(5.0, 9.8, 5.9)"
14-12-2022 13:06:26.916453,"(6.5, 16.5, 8.5375)","(1.85, 2.3, 2.1927659574468086)","(21.0, 90.0, 73.57142857142857)","(3.6, 6.2, 3.7359999999999998)","(21.0, 95.0, 78.18181818181819)","(21.0, 60.0, 37.22222222222222)","(5.0, 9.8, 6.188888888888889)"
14-12-2022 13:06:28.095737,"(6.5, 16.5, 8.5375)","(1.85, 2.3, 2.1927659574468086)","(21.0, 90.0, 73.57142857142857)","(3.6, 6.2, 3.7359999999999998)","(21.0, 95.0, 78.18181818181819)","(21.0, 60.0, 37.22222222222222)","(5.0, 9.8, 6.188888888888889)"
14-12-2022 13:06:29.115180,"(6.5, 16.5, 8.5375)","(1.85, 2.3, 2.1927659574468086)","(21.0, 90.0, 73.57142857142857)","(3.6, 6.2, 3.7359999999999998)","(21.0, 95.0, 78.18181818181819)","(21.0, 60.0, 37.22222222222222)","(5.0, 9.8, 6.188888888888889)"
14-12-2022 13:06:30.161282,"(6.5, 16.5, 8.5375)","(1.85, 2.3, 2.1927659574468086)","(21.0, 90.0, 73.57142857142857)","(3.6, 6.2, 3.7359999999999998)","(21.0, 95.0, 78.18181818181819)","(21.0, 60.0, 37.22222222222222)","(5.0, 9.8, 6.188888888888889)"
14-12-2022 13:06:31.237358,"(6.5, 16.5, 8.5375)","(1.85, 2.3, 2.1927659574468086)","(21.0, 90.0, 73.57142857142857)","(3.6, 6.2, 3.7359999999999998)","(21.0, 95.0, 78.18181818181819)","(21.0, 60.0, 37.22222222222222)","(5.0, 9.8, 7.030434782608696)"
14-12-2022 13:06:32.375314,"(6.5, 16.5, 8.5375)","(1.85, 2.3, 2.1927659574468086)","(21.0, 90.0, 73.57142857142857)","(3.6, 6.2, 3.7359999999999998)","(21.0, 95.0, 78.18181818181819)","(21.0, 60.0, 37.22222222222222)","(5.0, 9.8, 5.9)"
14-12-2022 13:06:33.431769,"(6.5, 16.5, 8.5375)","(1.85, 2.3, 2.1927659574468086)","(21.0, 90.0, 73.57142857142857)","(3.6, 6.2, 3.7359999999999998)","(21.0, 95.0, 78.18181818181819)","(21.0, 60.0, 37.22222222222222)","(5.0, 9.8, 5.9)"
14-12-2022 13:06:34.469917,"(6.5, 16.5, 8.5375)","(1.85, 2.3, 2.1927659574468086)","(21.0, 90.0, 73.57142857142857)","(3.6, 6.2, 3.7359999999999998)","(21.0, 95.0, 78.18181818181819)","(21.0, 60.0, 37.22222222222222)","(5.0, 9.8, 5.9)"
14-12-2022 13:06:35.601282,"(6.5, 16.5, 8.5375)","(1.85, 2.3, 2.1927659574468086)","(21.0, 90.0, 73.57142857142857)","(3.6, 6.2, 3.7359999999999998)","(21.0, 95.0, 78.18181818181819)","(21.0, 60.0, 37.22222222222222)","(5.0, 9.8, 5.9)"
14-12-2022 13:06:37.067092,"(6.5, 16.5, 8.5375)","(1.85, 2.3, 2.1927659574468086)","(21.0, 90.0, 73.57142857142857)","(3.6, 6.2, 3.7359999999999998)","(21.0, 95.0, 78.18181818181819)","(21.0, 60.0, 37.22222222222222)","(5.0, 9.8, 5.9)"
14-12-2022 13:06:38.473873,"(6.5, 16.5, 8.5375)","(1.85, 2.3, 2.1927659574468086)","(21.0, 90.0, 73.57142857142857)","(3.6, 6.2, 3.7359999999999998)","(21.0, 95.0, 78.18181818181819)","(21.0, 60.0, 37.22222222222222)","(5.0, 9.8, 5.9)"
14-12-2022 13:06:39.583310,"(6.5, 16.5, 8.5375)","(1.85, 2.3, 2.1927659574468086)","(21.0, 90.0, 73.57142857142857)","(3.6, 6.2, 3.7359999999999998)","(21.0, 95.0, 78.18181818181819)","(21.0, 60.0, 37.22222222222222)","(5.0, 9.8, 5.9)"
14-12-2022 13:06:40.719459,"(6.5, 16.5, 8.5375)","(1.85, 2.3, 2.1927659574468086)","(21.0, 90.0, 73.57142857142857)","(3.6, 6.2, 3.7359999999999998)","(21.0, 95.0, 78.18181818181819)","(21.0, 60.0, 37.22222222222222)","(5.0, 9.8, 6.188888888888889)"
14-12-2022 13:06:41.986707,"(6.5, 16.5, 8.5375)","(1.85, 2.3, 2.1927659574468086)","(21.0, 90.0, 73.57142857142857)","(3.6, 6.2, 3.7359999999999998)","(21.0, 95.0, 78.18181818181819)","(21.0, 60.0, 37.22222222222222)","(5.0, 9.8, 6.188888888888889)"
14-12-2022 13:06:43.167256,"(6.5, 16.5, 8.5375)","(1.85, 2.3, 2.1927659574468086)","(21.0, 90.0, 73.57142857142857)","(3.6, 6.2, 3.7359999999999998)","(21.0, 95.0, 78.18181818181819)","(21.0, 60.0, 37.22222222222222)","(5.0, 9.8, 6.188888888888889)"
14-12-2022 13:06:44.471061,"(6.5, 16.5, 8.5375)","(1.85, 2.3, 2.1927659574468086)","(21.0, 90.0, 73.57142857142857)","(3.6, 6.2, 3.7359999999999998)","(21.0, 95.0, 78.18181818181819)","(21.0, 60.0, 37.22222222222222)","(5.0, 9.8, 6.188888888888889)"
14-12-2022 13:06:45.773927,"(6.5, 16.5, 8.5375)","(1.85, 2.3, 2.1927659574468086)","(21.0, 90.0, 73.57142857142857)","(3.6, 6.2, 3.7359999999999998)","(21.0, 95.0, 78.18181818181819)","(21.0, 60.0, 37.22222222222222)","(5.0, 9.8, 7.030434782608696)"
14-12-2022 13:06:47.294572,"(6.5, 16.5, 8.411111111111111)","(1.85, 2.3, 2.1927659574468086)","(21.0, 90.0, 73.57142857142857)","(3.6, 6.2, 3.7359999999999998)","(21.0, 95.0, 78.18181818181819)","(21.0, 60.0, 37.22222222222222)","(5.0, 9.8, 5.9)"
14-12-2022 13:06:48.533781,"(6.5, 16.5, 8.411111111111111)","(1.85, 2.3, 2.1927659574468086)","(21.0, 90.0, 73.57142857142857)","(3.6, 6.2, 3.7359999999999998)","(21.0, 95.0, 78.18181818181819)","(21.0, 60.0, 37.22222222222222)","(5.0, 9.8, 5.9)"
14-12-2022 13:06:49.810744,"(6.5, 16.5, 8.411111111111111)","(1.85, 2.3, 2.1927659574468086)","(21.0, 90.0, 73.57142857142857)","(3.6, 6.2, 3.7359999999999998)","(21.0, 95.0, 78.18181818181819)","(21.0, 60.0, 37.22222222222222)","(5.0, 9.8, 5.9)"
14-12-2022 13:06:50.847376,"(6.5, 16.5, 8.411111111111111)","(1.85, 2.3, 2.1927659574468086)","(21.0, 90.0, 73.57142857142857)","(3.6, 6.2, 3.7359999999999998)","(21.0, 95.0, 78.18181818181819)","(21.0, 60.0, 37.22222222222222)","(5.0, 9.8, 5.9)"
14-12-2022 13:06:52.128556,"(6.5, 16.5, 8.411111111111111)","(1.85, 2.3, 2.1927659574468086)","(21.0, 90.0, 73.57142857142857)","(3.6, 6.2, 3.7359999999999998)","(21.0, 95.0, 78.18181818181819)","(21.0, 60.0, 37.22222222222222)","(5.0, 9.8, 5.9)"
14-12-2022 13:06:53.360428,"(6.5, 16.5, 8.411111111111111)","(1.85, 2.3, 2.1927659574468086)","(21.0, 90.0, 73.57142857142857)","(3.6, 6.2, 3.7359999999999998)","(21.0, 95.0, 78.18181818181819)","(21.0, 60.0, 37.22222222222222)","(5.0, 9.8, 6.188888888888889)"
14-12-2022 13:06:54.364131,"(6.5, 16.5, 8.411111111111111)","(1.85, 2.3, 2.1927659574468086)","(21.0, 90.0, 73.57142857142857)","(3.6, 6.2, 3.7359999999999998)","(21.0, 95.0, 78.18181818181819)","(21.0, 60.0, 37.22222222222222)","(5.0, 9.8, 6.188888888888889)"
14-12-2022 13:06:55.358832,"(6.5, 16.5, 8.411111111111111)","(1.85, 2.3, 2.1927659574468086)","(21.0, 90.0, 73.57142857142857)","(3.6, 6.2, 3.7359999999999998)","(21.0, 95.0, 78.18181818181819)","(21.0, 60.0, 37.22222222222222)","(5.0, 9.8, 6.188888888888889)"
14-12-2022 13:06:56.392156,"(6.5, 16.5, 8.411111111111111)","(1.85, 2.3, 2.1927659574468086)","(21.0, 90.0, 73.57142857142857)","(3.6, 6.2, 3.7359999999999998)","(21.0, 95.0, 78.18181818181819)","(21.0, 60.0, 37.22222222222222)","(5.0, 9.8, 6.188888888888889)"
14-12-2022 13:06:57.718489,"(6.5, 16.5, 8.411111111111111)","(1.85, 2.3, 2.1927659574468086)","(21.0, 90.0, 73.57142857142857)","(3.6, 6.2, 3.7359999999999998)","(21.0, 95.0, 78.18181818181819)","(21.0, 60.0, 37.22222222222222)","(5.0, 9.8, 6.188888888888889)"
14-12-2022 13:06:58.941454,"(6.5, 16.5, 8.411111111111111)","(1.85, 2.3, 2.1927659574468086)","(21.0, 90.0, 73.57142857142857)","(3.6, 6.2, 3.7359999999999998)","(21.0, 95.0, 78.18181818181819)","(21.0, 60.0, 37.22222222222222)","(5.0, 9.8, 5.9)"
14-12-2022 13:07:00.122165,"(6.5, 16.5, 8.411111111111111)","(1.85, 2.3, 2.1927659574468086)","(21.0, 90.0, 73.57142857142857)","(3.6, 6.2, 3.7359999999999998)","(21.0, 95.0, 78.18181818181819)","(21.0, 60.0, 37.22222222222222)","(5.0, 9.8, 5.9)"
14-12-2022 13:07:01.334555,"(6.5, 16.5, 8.411111111111111)","(1.85, 2.3, 2.1927659574468086)","(21.0, 90.0, 73.57142857142857)","(3.6, 6.2, 3.7359999999999998)","(21.0, 95.0, 78.18181818181819)","(21.0, 60.0, 37.22222222222222)","(5.0, 9.8, 5.9)"
14-12-2022 13:07:02.416070,"(6.5, 16.5, 8.411111111111111)","(1.85, 2.3, 2.1927659574468086)","(21.0, 90.0, 73.57142857142857)","(3.6, 6.2, 3.7359999999999998)","(21.0, 95.0, 78.18181818181819)","(21.0, 60.0, 37.22222222222222)","(5.0, 9.8, 5.9)"
14-12-2022 13:07:03.506759,"(6.5, 16.5, 8.411111111111111)","(1.85, 2.3, 2.1927659574468086)","(21.0, 90.0, 73.57142857142857)","(3.6, 6.2, 3.7359999999999998)","(21.0, 95.0, 78.18181818181819)","(21.0, 60.0, 37.22222222222222)","(5.0, 9.8, 5.9)"
14-12-2022 13:07:04.621329,"(6.5, 16.5, 8.411111111111111)","(1.85, 2.3, 2.1927659574468086)","(21.0, 90.0, 73.57142857142857)","(3.6, 6.2, 3.7359999999999998)","(21.0, 95.0, 78.18181818181819)","(21.0, 60.0, 37.22222222222222)","(5.0, 9.8, 6.188888888888889)"
14-12-2022 13:07:05.739652,"(6.5, 16.5, 8.411111111111111)","(1.85, 2.3, 2.1927659574468086)","(21.0, 90.0, 73.57142857142857)","(3.6, 6.2, 3.7359999999999998)","(21.0, 95.0, 78.18181818181819)","(21.0, 60.0, 37.22222222222222)","(5.0, 9.8, 6.188888888888889)"
14-12-2022 13:07:06.773416,"(6.5, 16.5, 8.411111111111111)","(1.85, 2.3, 2.1927659574468086)","(21.0, 90.0, 73.57142857142857)","(3.6, 6.2, 3.7359999999999998)","(21.0, 95.0, 78.18181818181819)","(21.0, 60.0, 37.22222222222222)","(5.0, 9.8, 6.188888888888889)"
14-12-2022 13:07:07.836163,"(6.5, 16.5, 8.411111111111111)","(1.85, 2.3, 2.1927659574468086)","(21.0, 90.0, 73.57142857142857)","(3.6, 6.2, 3.7359999999999998)","(21.0, 95.0, 78.18181818181819)","(21.0, 60.0, 37.22222222222222)","(5.0, 9.8, 6.188888888888889)"
14-12-2022 13:07:08.939324,"(6.5, 16.5, 8.411111111111111)","(1.85, 2.3, 2.1927659574468086)","(21.0, 90.0, 73.57142857142857)","(3.6, 6.2, 3.7359999999999998)","(21.0, 95.0, 78.18181818181819)","(21.0, 60.0, 37.22222222222222)","(5.0, 9.8, 6.188888888888889)"
14-12-2022 13:07:10.064151,"(6.5, 16.5, 8.411111111111111)","(1.85, 2.3, 2.1927659574468086)","(21.0, 90.0, 73.57142857142857)","(3.6, 6.2, 3.7359999999999998)","(21.0, 95.0, 78.18181818181819)","(21.0, 60.0, 37.22222222222222)","(5.0, 9.8, 6.188888888888889)"
14-12-2022 13:07:11.074490,"(6.5, 16.5, 8.411111111111111)","(1.85, 2.3, 2.1927659574468086)","(21.0, 90.0, 73.57142857142857)","(3.6, 6.2, 3.7359999999999998)","(21.0, 95.0, 78.18181818181819)","(21.0, 60.0, 37.22222222222222)","(5.0, 9.8, 5.9)"
14-12-2022 13:07:12.045078,"(6.5, 16.5, 8.411111111111111)","(1.85, 2.3, 2.1927659574468086)","(21.0, 90.0, 73.57142857142857)","(3.6, 6.2, 3.7359999999999998)","(21.0, 95.0, 78.18181818181819)","(21.0, 60.0, 37.22222222222222)","(5.0, 9.8, 5.9)"
14-12-2022 13:07:13.100179,"(6.5, 16.5, 8.411111111111111)","(1.85, 2.3, 2.1927659574468086)","(21.0, 90.0, 73.57142857142857)","(3.6, 6.2, 3.7359999999999998)","(21.0, 95.0, 78.18181818181819)","(21.0, 60.0, 37.22222222222222)","(5.0, 9.8, 5.9)"
14-12-2022 13:07:14.024391,"(6.5, 16.5, 8.411111111111111)","(1.85, 2.3, 2.1927659574468086)","(21.0, 90.0, 73.57142857142857)","(3.6, 6.2, 3.7359999999999998)","(21.0, 95.0, 78.18181818181819)","(21.0, 60.0, 37.22222222222222)","(5.0, 9.8, 5.9)"
14-12-2022 13:07:15.041256,"(6.5, 16.5, 8.411111111111111)","(1.85, 2.3, 2.1927659574468086)","(21.0, 90.0, 73.57142857142857)","(3.6, 6.2, 3.7359999999999998)","(21.0, 95.0, 78.18181818181819)","(21.0, 60.0, 37.22222222222222)","(5.0, 9.8, 5.9)"
14-12-2022 13:07:16.082820,"(6.5, 16.5, 8.411111111111111)","(1.85, 2.3, 2.1927659574468086)","(21.0, 90.0, 73.57142857142857)","(3.6, 6.2, 3.7359999999999998)","(21.0, 95.0, 78.18181818181819)","(21.0, 60.0, 37.22222222222222)","(5.0, 9.8, 6.188888888888889)"
14-12-2022 13:07:17.158914,"(6.5, 16.5, 8.411111111111111)","(1.85, 2.3, 2.1927659574468086)","(21.0, 90.0, 73.57142857142857)","(3.6, 6.2, 3.7359999999999998)","(21.0, 95.0, 78.18181818181819)","(21.0, 60.0, 37.22222222222222)","(5.0, 9.8, 6.188888888888889)"
14-12-2022 13:07:18.191227,"(6.5, 16.5, 8.411111111111111)","(1.85, 2.3, 2.1927659574468086)","(21.0, 90.0, 73.57142857142857)","(3.6, 6.2, 3.7359999999999998)","(21.0, 95.0, 78.18181818181819)","(21.0, 60.0, 26.25)","(5.0, 9.8, 6.188888888888889)"
14-12-2022 13:07:19.222436,"(6.5, 16.5, 8.588888888888889)","(1.85, 2.3, 2.1927659574468086)","(21.0, 90.0, 73.57142857142857)","(3.6, 6.2, 3.7359999999999998)","(21.0, 95.0, 78.18181818181819)","(21.0, 60.0, 26.25)","(5.0, 9.8, 6.188888888888889)"
14-12-2022 13:07:20.463247,"(6.5, 16.5, 8.411111111111111)","(1.85, 2.3, 2.1927659574468086)","(21.0, 90.0, 73.57142857142857)","(3.6, 6.2, 3.7359999999999998)","(21.0, 95.0, 78.18181818181819)","(21.0, 60.0, 26.25)","(5.0, 9.8, 6.188888888888889)"
14-12-2022 13:07:21.671170,"(6.5, 16.5, 8.411111111111111)","(1.85, 2.3, 2.1927659574468086)","(21.0, 90.0, 73.57142857142857)","(3.6, 6.2, 3.7359999999999998)","(21.0, 95.0, 78.18181818181819)","(21.0, 60.0, 26.25)","(5.0, 9.8, 6.188888888888889)"
14-12-2022 13:07:22.909806,"(6.5, 16.5, 9.881818181818183)","(1.85, 2.3, 2.1927659574468086)","(21.0, 90.0, 73.57142857142857)","(3.6, 6.2, 3.7359999999999998)","(21.0, 95.0, 78.18181818181819)","(21.0, 60.0, 26.25)","(5.0, 9.8, 5.9)"
14-12-2022 13:07:24.438023,"(6.5, 16.5, 9.881818181818183)","(1.85, 2.3, 2.1927659574468086)","(21.0, 90.0, 73.57142857142857)","(3.6, 6.2, 3.7359999999999998)","(21.0, 95.0, 78.18181818181819)","(21.0, 60.0, 26.25)","(5.0, 9.8, 5.9)"
14-12-2022 13:07:25.698563,"(6.5, 16.5, 9.881818181818183)","(1.85, 2.3, 2.1927659574468086)","(21.0, 90.0, 73.57142857142857)","(3.6, 6.2, 3.7359999999999998)","(21.0, 95.0, 78.18181818181819)","(21.0, 60.0, 26.25)","(5.0, 9.8, 5.9)"
14-12-2022 13:07:26.967029,"(6.5, 16.5, 9.881818181818183)","(1.85, 2.3, 2.1927659574468086)","(21.0, 90.0, 73.57142857142857)","(3.6, 6.2, 3.7359999999999998)","(21.0, 95.0, 78.18181818181819)","(21.0, 60.0, 26.25)","(5.0, 9.8, 5.9)"
14-12-2022 13:07:28.114164,"(6.5, 16.5, 9.881818181818183)","(1.85, 2.3, 2.1927659574468086)","(21.0, 90.0, 73.57142857142857)","(3.6, 6.2, 3.7359999999999998)","(21.0, 95.0, 78.18181818181819)","(21.0, 60.0, 26.25)","(5.0, 9.8, 5.726666666666667)"
