,Tarantula,Henryk Bale,Barefoot Di,Lucius Malfoy,Blazing Infrared,Harlem Shuffle,Big Jim Buzz,Winlock All Over
10-01-2023 19:29:44.065175,"(6.5, 19.0, 9.333333333333334)","(14.0, 29.0, 22.26923076923077)","(8.5, 17.0, 9.825000000000001)","(9.0, 13.5, 12.65)","(10.0, 19.0, 17.2)","(10.0, 30.0, 20.25)","(10.0, 32.0, 21.5)","(1.8, 2.38, 2.0966666666666667)"
10-01-2023 19:29:45.448598,"(6.5, 19.0, 9.333333333333334)","(14.0, 29.0, 22.26923076923077)","(8.5, 17.0, 9.825000000000001)","(9.0, 13.5, 12.65)","(10.0, 19.0, 17.2)","(10.0, 30.0, 20.25)","(10.0, 32.0, 21.5)","(1.8, 2.38, 2.0966666666666667)"
10-01-2023 19:29:46.710526,"(6.5, 19.0, 9.333333333333334)","(14.0, 29.0, 22.26923076923077)","(8.5, 17.0, 9.825000000000001)","(9.0, 13.5, 12.65)","(10.0, 19.0, 17.2)","(10.0, 30.0, 20.25)","(10.0, 32.0, 21.5)","(1.8, 2.38, 2.0966666666666667)"
10-01-2023 19:29:47.919082,"(6.5, 19.0, 9.333333333333334)","(14.0, 29.0, 22.26923076923077)","(8.5, 17.0, 9.825000000000001)","(9.0, 13.5, 12.65)","(10.0, 19.0, 17.2)","(10.0, 30.0, 20.25)","(10.0, 32.0, 21.5)","(1.8, 2.38, 2.0966666666666667)"
10-01-2023 19:29:49.202217,"(6.5, 19.0, 9.333333333333334)","(14.0, 29.0, 22.26923076923077)","(8.5, 17.0, 9.825000000000001)","(9.0, 13.5, 12.65)","(10.0, 19.0, 17.2)","(10.0, 30.0, 20.25)","(10.0, 32.0, 21.5)","(1.8, 2.36, 2.111111111111111)"
10-01-2023 19:29:50.467569,"(6.5, 19.0, 9.333333333333334)","(14.0, 29.0, 22.26923076923077)","(8.5, 17.0, 9.825000000000001)","(9.0, 13.5, 12.65)","(10.0, 19.0, 17.2)","(10.0, 30.0, 20.25)","(10.0, 32.0, 21.5)","(1.8, 2.36, 2.111111111111111)"
10-01-2023 19:29:51.846874,"(6.5, 19.0, 9.333333333333334)","(14.0, 29.0, 22.26923076923077)","(8.5, 17.0, 11.781818181818181)","(9.0, 13.5, 12.65)","(10.0, 19.0, 17.2)","(10.0, 30.0, 20.25)","(10.0, 32.0, 21.5)","(1.8, 2.36, 2.111111111111111)"
10-01-2023 19:29:53.181830,"(6.5, 19.0, 9.333333333333334)","(14.0, 29.0, 22.26923076923077)","(8.5, 17.0, 9.825000000000001)","(9.0, 13.5, 12.65)","(10.0, 19.0, 17.2)","(10.0, 30.0, 20.25)","(10.0, 32.0, 21.5)","(1.8, 2.36, 2.111111111111111)"
10-01-2023 19:29:54.572645,"(6.5, 19.0, 9.333333333333334)","(14.0, 29.0, 22.26923076923077)","(8.5, 17.0, 9.825000000000001)","(9.0, 13.5, 12.65)","(10.0, 19.0, 17.2)","(10.0, 30.0, 20.25)","(10.0, 32.0, 21.5)","(1.8, 2.36, 2.111111111111111)"
10-01-2023 19:29:55.999673,"(6.5, 19.0, 9.333333333333334)","(14.0, 29.0, 22.26923076923077)","(8.5, 17.0, 11.781818181818181)","(9.0, 13.5, 12.65)","(10.0, 19.0, 17.2)","(10.0, 30.0, 20.25)","(10.0, 32.0, 21.5)","(1.8, 2.36, 2.111111111111111)"
10-01-2023 19:29:57.569111,"(6.5, 19.0, 9.333333333333334)","(14.0, 29.0, 22.26923076923077)","(8.5, 17.0, 9.825000000000001)","(9.0, 13.5, 12.65)","(10.0, 19.0, 17.2)","(10.0, 30.0, 20.25)","(10.0, 32.0, 21.5)","(1.8, 2.36, 2.111111111111111)"
10-01-2023 19:29:59.368581,"(6.5, 19.0, 9.333333333333334)","(14.0, 29.0, 22.26923076923077)","(8.5, 17.0, 9.825000000000001)","(9.0, 13.5, 12.65)","(10.0, 19.0, 17.2)","(10.0, 30.0, 20.25)","(10.0, 32.0, 21.5)","(1.8, 2.36, 2.111111111111111)"
10-01-2023 19:30:00.821143,"(6.5, 19.0, 9.333333333333334)","(14.0, 29.0, 22.26923076923077)","(8.5, 17.0, 9.825000000000001)","(9.0, 13.5, 12.65)","(10.0, 19.0, 17.2)","(10.0, 30.0, 20.25)","(10.0, 32.0, 21.5)","(1.8, 2.36, 2.111111111111111)"
10-01-2023 19:30:02.155610,"(6.5, 19.0, 9.333333333333334)","(14.0, 29.0, 22.26923076923077)","(8.5, 17.0, 9.825000000000001)","(9.0, 13.5, 12.65)","(10.0, 19.0, 17.2)","(10.0, 30.0, 20.25)","(10.0, 32.0, 21.5)","(1.8, 2.36, 2.111111111111111)"
10-01-2023 19:30:03.483013,"(6.5, 19.0, 9.333333333333334)","(14.0, 29.0, 22.26923076923077)","(8.5, 17.0, 9.825000000000001)","(9.0, 13.5, 12.65)","(10.0, 19.0, 17.2)","(10.0, 30.0, 20.25)","(10.0, 32.0, 21.5)","(1.8, 2.36, 2.111111111111111)"
10-01-2023 19:30:04.832478,"(6.5, 19.0, 9.333333333333334)","(14.0, 29.0, 22.26923076923077)","(8.5, 17.0, 9.825000000000001)","(9.0, 13.5, 12.65)","(10.0, 19.0, 17.2)","(10.0, 30.0, 20.25)","(10.0, 32.0, 21.5)","(1.8, 2.36, 2.111111111111111)"
10-01-2023 19:30:06.228812,"(6.5, 19.0, 9.333333333333334)","(14.0, 29.0, 22.26923076923077)","(8.5, 17.0, 9.825000000000001)","(9.0, 13.5, 12.65)","(10.0, 19.0, 17.2)","(10.0, 30.0, 20.25)","(10.0, 32.0, 21.5)","(1.8, 2.36, 2.111111111111111)"
10-01-2023 19:30:07.578212,"(6.5, 19.0, 9.333333333333334)","(14.0, 29.0, 24.7)","(8.5, 17.0, 9.825000000000001)","(9.0, 13.5, 12.65)","(10.0, 19.0, 17.2)","(10.0, 30.0, 20.25)","(10.0, 32.0, 21.5)","(1.8, 2.36, 2.111111111111111)"
10-01-2023 19:30:08.936933,"(6.5, 19.0, 9.333333333333334)","(14.0, 28.0, 24.7)","(8.5, 17.0, 9.825000000000001)","(9.0, 13.5, 12.65)","(10.0, 19.0, 17.2)","(10.0, 30.0, 20.25)","(10.0, 32.0, 21.5)","(1.8, 2.36, 2.111111111111111)"
10-01-2023 19:30:10.398318,"(6.5, 19.0, 9.333333333333334)","(14.0, 28.0, 24.7)","(8.5, 17.0, 9.825000000000001)","(9.0, 13.5, 12.65)","(10.0, 19.0, 17.2)","(10.0, 30.0, 20.25)","(10.0, 32.0, 21.5)","(1.8, 2.36, 2.111111111111111)"
10-01-2023 19:30:11.773682,"(6.5, 19.0, 9.333333333333334)","(14.0, 28.0, 24.7)","(8.5, 17.0, 9.825000000000001)","(9.0, 13.5, 12.65)","(10.0, 19.0, 17.2)","(10.0, 30.0, 20.25)","(10.0, 32.0, 21.5)","(1.8, 2.36, 2.111111111111111)"
10-01-2023 19:30:13.199287,"(6.5, 19.0, 9.333333333333334)","(14.0, 28.0, 24.7)","(8.5, 17.0, 9.825000000000001)","(9.0, 13.5, 12.65)","(10.0, 19.0, 17.2)","(10.0, 30.0, 20.25)","(10.0, 32.0, 21.5)","(1.8, 2.36, 2.111111111111111)"
10-01-2023 19:30:14.799506,"(6.5, 19.0, 9.333333333333334)","(14.0, 28.0, 24.7)","(8.5, 17.0, 9.825000000000001)","(9.0, 13.5, 12.65)","(10.0, 19.0, 17.2)","(10.0, 30.0, 20.25)","(10.0, 32.0, 21.5)","(1.8, 2.36, 2.111111111111111)"
10-01-2023 19:30:16.607552,"(6.5, 19.0, 9.333333333333334)","(14.0, 28.0, 24.7)","(8.5, 17.0, 9.825000000000001)","(9.0, 13.5, 12.65)","(10.0, 19.0, 17.2)","(10.0, 30.0, 20.25)","(10.0, 32.0, 21.5)","(1.8, 2.36, 2.1066666666666665)"
10-01-2023 19:30:17.939976,"(6.5, 19.0, 9.333333333333334)","(14.0, 28.0, 24.7)","(8.5, 17.0, 9.825000000000001)","(9.0, 13.5, 12.65)","(10.0, 19.0, 17.2)","(10.0, 30.0, 20.25)","(10.0, 32.0, 21.5)","(1.8, 2.34, 2.086666666666667)"
10-01-2023 19:30:19.219115,"(6.5, 19.0, 9.333333333333334)","(14.0, 28.0, 24.7)","(8.5, 17.0, 9.825000000000001)","(9.0, 13.5, 12.65)","(10.0, 19.0, 17.2)","(10.0, 30.0, 20.25)","(10.0, 32.0, 21.5)","(1.8, 2.32, 2.086666666666667)"
10-01-2023 19:30:20.513210,"(6.5, 19.0, 9.333333333333334)","(14.0, 28.0, 24.7)","(8.5, 17.0, 9.825000000000001)","(9.0, 13.5, 12.65)","(10.0, 19.0, 17.2)","(10.0, 30.0, 20.25)","(10.0, 32.0, 21.5)","(1.8, 2.32, 2.086666666666667)"
10-01-2023 19:30:21.836819,"(6.5, 19.0, 9.333333333333334)","(14.0, 28.0, 24.7)","(8.5, 17.0, 9.825000000000001)","(9.0, 13.5, 12.65)","(10.0, 19.0, 17.2)","(10.0, 30.0, 20.25)","(10.0, 32.0, 21.5)","(1.8, 2.32, 2.086666666666667)"
10-01-2023 19:30:23.165190,"(6.5, 19.0, 9.333333333333334)","(14.0, 28.0, 24.7)","(8.5, 17.0, 9.825000000000001)","(9.0, 13.5, 12.65)","(10.0, 19.0, 17.2)","(10.0, 30.0, 20.25)","(10.0, 32.0, 21.5)","(1.8, 2.32, 2.086666666666667)"
10-01-2023 19:30:24.522600,"(6.5, 19.0, 9.333333333333334)","(14.0, 28.0, 24.7)","(8.5, 17.0, 9.825000000000001)","(9.0, 13.5, 12.65)","(10.0, 19.0, 17.2)","(10.0, 30.0, 20.25)","(10.0, 32.0, 21.5)","(1.8, 2.32, 2.097777777777778)"
10-01-2023 19:30:25.881413,"(6.5, 19.0, 9.333333333333334)","(14.0, 28.0, 24.7)","(8.5, 17.0, 9.825000000000001)","(9.0, 13.5, 12.65)","(10.0, 19.0, 17.2)","(10.0, 30.0, 20.25)","(10.0, 32.0, 21.5)","(1.8, 2.3, 2.097777777777778)"
10-01-2023 19:30:27.140933,"(6.5, 19.0, 9.333333333333334)","(14.0, 28.0, 25.27777777777778)","(8.5, 17.0, 9.825000000000001)","(9.0, 13.5, 12.65)","(10.0, 19.0, 17.2)","(10.0, 30.0, 20.25)","(10.0, 32.0, 21.5)","(1.8, 2.3, 2.097777777777778)"
10-01-2023 19:30:28.453152,"(6.5, 19.0, 9.333333333333334)","(14.0, 27.0, 25.27777777777778)","(8.5, 17.0, 9.825000000000001)","(9.0, 13.5, 12.65)","(10.0, 19.0, 17.2)","(10.0, 30.0, 20.25)","(10.0, 32.0, 21.5)","(1.8, 2.3, 2.097777777777778)"
10-01-2023 19:30:29.566820,"(6.5, 19.0, 9.333333333333334)","(14.0, 27.0, 25.27777777777778)","(8.5, 17.0, 9.825000000000001)","(9.0, 13.5, 12.65)","(10.0, 19.0, 17.2)","(10.0, 30.0, 20.25)","(10.0, 32.0, 21.5)","(1.8, 2.3, 2.097777777777778)"
10-01-2023 19:30:30.681897,"(6.5, 19.0, 9.333333333333334)","(14.0, 27.0, 25.27777777777778)","(8.5, 17.0, 9.825000000000001)","(9.0, 13.5, 12.65)","(10.0, 19.0, 17.2)","(10.0, 30.0, 20.25)","(10.0, 32.0, 21.5)","(1.8, 2.3, 2.097777777777778)"
10-01-2023 19:30:31.701005,"(6.5, 19.0, 9.333333333333334)","(14.0, 27.0, 25.27777777777778)","(8.5, 17.0, 9.825000000000001)","(9.0, 13.5, 12.65)","(10.0, 19.0, 17.2)","(10.0, 30.0, 20.25)","(10.0, 32.0, 21.5)","(1.8, 2.3, 2.097777777777778)"
10-01-2023 19:30:32.736903,"(6.5, 19.0, 9.333333333333334)","(14.0, 27.0, 25.27777777777778)","(8.5, 17.0, 9.825000000000001)","(9.0, 13.5, 12.65)","(10.0, 19.0, 17.2)","(10.0, 30.0, 20.25)","(10.0, 32.0, 21.5)","(1.8, 2.3, 2.097777777777778)"
10-01-2023 19:30:33.765796,"(6.5, 19.0, 9.333333333333334)","(14.0, 27.0, 25.27777777777778)","(8.5, 17.0, 9.825000000000001)","(9.0, 13.5, 12.65)","(10.0, 19.0, 17.2)","(10.0, 30.0, 20.25)","(10.0, 32.0, 21.5)","(1.8, 2.3, 2.097777777777778)"
10-01-2023 19:30:34.801413,"(6.5, 19.0, 9.333333333333334)","(14.0, 27.0, 25.27777777777778)","(8.5, 17.0, 9.825000000000001)","(9.0, 13.5, 12.65)","(10.0, 19.0, 17.2)","(10.0, 30.0, 20.25)","(10.0, 32.0, 21.5)","(1.8, 2.3, 2.097777777777778)"
10-01-2023 19:30:35.836179,"(6.5, 19.0, 9.333333333333334)","(14.0, 27.0, 25.27777777777778)","(8.5, 17.0, 9.825000000000001)","(9.0, 13.5, 12.65)","(10.0, 19.0, 17.2)","(10.0, 30.0, 20.25)","(10.0, 32.0, 21.5)","(1.8, 2.3, 2.097777777777778)"
10-01-2023 19:30:36.849535,"(6.5, 19.0, 9.333333333333334)","(14.0, 28.0, 26.166666666666664)","(8.5, 17.0, 9.825000000000001)","(9.0, 13.5, 12.65)","(10.0, 19.0, 17.2)","(10.0, 30.0, 20.25)","(10.0, 32.0, 21.5)","(1.8, 2.3, 2.097777777777778)"
10-01-2023 19:30:37.880652,"(6.5, 19.0, 9.333333333333334)","(14.0, 28.0, 21.653846153846153)","(8.5, 17.0, 9.825000000000001)","(9.0, 13.5, 12.65)","(10.0, 19.0, 17.2)","(10.0, 30.0, 20.25)","(10.0, 32.0, 21.5)","(1.8, 2.3, 2.097777777777778)"
10-01-2023 19:30:38.940081,"(6.5, 19.0, 9.333333333333334)","(14.0, 28.0, 21.653846153846153)","(8.5, 17.0, 9.825000000000001)","(9.0, 13.5, 12.65)","(10.0, 19.0, 17.2)","(10.0, 30.0, 20.25)","(10.0, 32.0, 21.5)","(1.8, 2.3, 2.097777777777778)"
10-01-2023 19:30:39.917099,"(6.5, 19.0, 9.333333333333334)","(14.0, 28.0, 21.653846153846153)","(8.5, 17.0, 9.825000000000001)","(9.0, 13.5, 12.65)","(10.0, 19.0, 17.2)","(10.0, 30.0, 20.25)","(10.0, 32.0, 21.5)","(1.8, 2.3, 2.097777777777778)"
10-01-2023 19:30:40.908630,"(6.5, 19.0, 9.333333333333334)","(14.0, 28.0, 21.653846153846153)","(8.5, 17.0, 9.825000000000001)","(9.0, 13.5, 12.65)","(10.0, 19.0, 17.2)","(10.0, 30.0, 20.25)","(10.0, 32.0, 21.5)","(1.8, 2.3, 2.097777777777778)"
10-01-2023 19:30:41.970967,"(6.5, 19.0, 9.333333333333334)","(14.0, 28.0, 21.653846153846153)","(8.5, 17.0, 9.825000000000001)","(9.0, 13.5, 12.65)","(10.0, 19.0, 17.2)","(10.0, 30.0, 20.25)","(10.0, 32.0, 21.5)","(1.8, 2.3, 2.097777777777778)"
