,Fallon Jewel,Smash Jagger,Goldstar Vargas,Silky Skylar,Impressive Amy,Retread Pete,Beau View Winnie,Homebush Bluey
06-01-2023 11:40:18.133029,"(10.0, 20.0, 18.96363636363636)","(5.5, 15.5, 14.153333333333334)","(4.8, 15.5, 10.2)","(10.0, 44.0, 32.266666666666666)","(16.0, 190.0, 92.5)","(2.7, 3.4, 2.9506976744186044)","(11.0, 22.0, 19.4)","(5.0, 17.0, 12.866666666666665)"
06-01-2023 11:40:19.453931,"(10.0, 20.0, 18.96363636363636)","(5.5, 15.5, 14.153333333333334)","(4.8, 15.5, 10.2)","(10.0, 44.0, 32.266666666666666)","(16.0, 190.0, 92.5)","(2.7, 3.4, 2.9506976744186044)","(11.0, 22.0, 19.4)","(5.0, 17.0, 12.866666666666665)"
06-01-2023 11:40:20.996357,"(10.0, 20.0, 18.96363636363636)","(5.5, 15.5, 14.153333333333334)","(4.8, 15.5, 10.2)","(10.0, 44.0, 32.266666666666666)","(16.0, 190.0, 92.5)","(2.7, 3.4, 2.9506976744186044)","(11.0, 22.0, 19.4)","(5.0, 17.0, 12.866666666666665)"
06-01-2023 11:40:22.497647,"(10.0, 20.0, 18.96363636363636)","(5.5, 15.5, 14.153333333333334)","(4.8, 15.5, 10.2)","(10.0, 44.0, 32.266666666666666)","(16.0, 190.0, 92.5)","(2.7, 3.4, 2.9506976744186044)","(11.0, 22.0, 19.4)","(5.0, 17.0, 12.866666666666665)"
06-01-2023 11:40:24.150706,"(10.0, 20.0, 18.96363636363636)","(5.5, 15.5, 14.153333333333334)","(4.8, 15.5, 10.2)","(10.0, 44.0, 32.266666666666666)","(16.0, 190.0, 92.5)","(2.7, 3.4, 2.9506976744186044)","(11.0, 22.0, 19.4)","(5.0, 17.0, 12.866666666666665)"
06-01-2023 11:40:25.646165,"(10.0, 20.0, 18.96363636363636)","(5.5, 15.5, 14.153333333333334)","(4.8, 15.5, 10.2)","(10.0, 44.0, 32.266666666666666)","(16.0, 190.0, 92.5)","(2.7, 3.4, 2.9506976744186044)","(11.0, 22.0, 19.4)","(5.0, 17.0, 12.866666666666665)"
06-01-2023 11:40:27.103772,"(10.0, 20.0, 18.96363636363636)","(5.5, 15.5, 14.153333333333334)","(4.8, 15.5, 10.2)","(10.0, 44.0, 32.266666666666666)","(16.0, 190.0, 92.5)","(2.7, 3.4, 2.9506976744186044)","(11.0, 22.0, 19.4)","(5.0, 17.0, 12.866666666666665)"
06-01-2023 11:40:28.380971,"(10.0, 20.0, 18.96363636363636)","(5.5, 15.5, 14.153333333333334)","(4.8, 15.5, 10.2)","(10.0, 44.0, 32.266666666666666)","(16.0, 190.0, 92.5)","(2.7, 3.4, 2.9506976744186044)","(11.0, 22.0, 19.4)","(5.0, 17.0, 12.866666666666665)"
06-01-2023 11:40:29.716279,"(10.0, 20.0, 18.96363636363636)","(5.5, 15.5, 14.153333333333334)","(4.8, 15.5, 10.2)","(10.0, 44.0, 32.266666666666666)","(16.0, 190.0, 92.5)","(2.7, 3.4, 2.9506976744186044)","(11.0, 22.0, 19.4)","(5.0, 17.0, 12.866666666666665)"
06-01-2023 11:40:30.948648,"(10.0, 20.0, 18.96363636363636)","(5.5, 15.5, 14.153333333333334)","(4.8, 15.5, 10.2)","(10.0, 44.0, 32.266666666666666)","(16.0, 190.0, 92.5)","(2.7, 3.4, 2.9506976744186044)","(11.0, 22.0, 19.4)","(5.0, 17.0, 12.866666666666665)"
06-01-2023 11:40:32.085852,"(10.0, 20.0, 18.96363636363636)","(5.5, 15.5, 14.153333333333334)","(4.8, 15.5, 10.2)","(10.0, 44.0, 32.266666666666666)","(16.0, 190.0, 92.5)","(2.7, 3.4, 2.9506976744186044)","(11.0, 22.0, 19.4)","(5.0, 17.0, 12.866666666666665)"
06-01-2023 11:40:33.273915,"(10.0, 20.0, 18.96363636363636)","(5.5, 15.5, 14.153333333333334)","(4.8, 15.5, 10.2)","(10.0, 44.0, 32.266666666666666)","(16.0, 190.0, 92.5)","(2.7, 3.4, 2.9506976744186044)","(11.0, 22.0, 19.4)","(5.0, 17.0, 13.736842105263158)"
06-01-2023 11:40:34.425483,"(10.0, 20.0, 18.96363636363636)","(5.5, 15.5, 14.153333333333334)","(4.8, 15.5, 10.2)","(10.0, 44.0, 32.266666666666666)","(16.0, 190.0, 92.5)","(2.7, 3.4, 2.9506976744186044)","(11.0, 22.0, 19.4)","(5.0, 17.0, 13.736842105263158)"
06-01-2023 11:40:35.637827,"(10.0, 20.0, 18.96363636363636)","(5.5, 15.5, 14.153333333333334)","(4.8, 15.5, 10.2)","(10.0, 44.0, 32.266666666666666)","(16.0, 190.0, 92.5)","(2.7, 3.4, 2.9506976744186044)","(11.0, 22.0, 19.4)","(5.0, 17.0, 13.736842105263158)"
06-01-2023 11:40:36.967642,"(10.0, 20.0, 18.96363636363636)","(5.5, 15.5, 14.153333333333334)","(4.8, 15.5, 10.2)","(10.0, 44.0, 32.266666666666666)","(16.0, 190.0, 92.5)","(2.7, 3.4, 2.9506976744186044)","(11.0, 22.0, 19.4)","(5.0, 17.0, 13.736842105263158)"
06-01-2023 11:40:38.294472,"(10.0, 20.0, 18.96363636363636)","(5.5, 15.5, 14.153333333333334)","(4.8, 15.5, 10.2)","(10.0, 44.0, 32.266666666666666)","(16.0, 190.0, 92.5)","(2.7, 3.4, 3.1974468085106382)","(11.0, 22.0, 19.4)","(5.0, 17.0, 13.736842105263158)"
06-01-2023 11:40:39.660837,"(10.0, 20.0, 18.96363636363636)","(5.5, 15.5, 14.153333333333334)","(4.8, 15.5, 10.2)","(10.0, 44.0, 32.266666666666666)","(16.0, 190.0, 92.5)","(2.7, 3.4, 3.1974468085106382)","(11.0, 22.0, 19.4)","(5.0, 17.0, 13.736842105263158)"
06-01-2023 11:40:41.013792,"(10.0, 20.0, 18.96363636363636)","(5.5, 15.5, 14.153333333333334)","(4.8, 15.5, 10.2)","(10.0, 44.0, 32.266666666666666)","(16.0, 190.0, 92.5)","(2.7, 3.4, 3.1974468085106382)","(11.0, 22.0, 19.4)","(5.0, 17.0, 13.736842105263158)"
06-01-2023 11:40:42.349454,"(10.0, 20.0, 18.96363636363636)","(5.5, 15.5, 14.153333333333334)","(4.8, 15.5, 10.2)","(10.0, 44.0, 32.266666666666666)","(16.0, 190.0, 92.5)","(2.7, 3.4, 3.1974468085106382)","(11.0, 22.0, 19.4)","(5.0, 17.0, 13.736842105263158)"
06-01-2023 11:40:43.674477,"(10.0, 20.0, 18.96363636363636)","(5.5, 15.5, 14.153333333333334)","(4.8, 15.5, 10.2)","(10.0, 44.0, 32.266666666666666)","(16.0, 190.0, 92.5)","(2.7, 3.4, 3.1974468085106382)","(11.0, 22.0, 19.4)","(5.0, 17.0, 13.736842105263158)"
06-01-2023 11:40:45.058546,"(10.0, 20.0, 18.96363636363636)","(5.5, 15.5, 14.153333333333334)","(4.8, 15.5, 10.2)","(10.0, 44.0, 32.266666666666666)","(16.0, 190.0, 92.5)","(2.7, 3.4, 3.1974468085106382)","(11.0, 22.0, 19.4)","(5.0, 17.0, 13.736842105263158)"
06-01-2023 11:40:46.328825,"(10.0, 20.0, 18.96363636363636)","(5.5, 15.5, 14.153333333333334)","(4.8, 15.5, 10.2)","(10.0, 44.0, 32.266666666666666)","(16.0, 190.0, 92.5)","(2.7, 3.4, 3.1974468085106382)","(11.0, 22.0, 19.4)","(5.0, 17.0, 13.736842105263158)"
06-01-2023 11:40:47.616407,"(10.0, 20.0, 18.96363636363636)","(5.5, 15.5, 14.153333333333334)","(4.8, 15.5, 10.2)","(10.0, 44.0, 32.266666666666666)","(16.0, 190.0, 92.5)","(2.7, 3.4, 3.1974468085106382)","(11.0, 22.0, 19.4)","(5.0, 17.0, 13.736842105263158)"
06-01-2023 11:40:49.002018,"(10.0, 20.0, 18.96363636363636)","(5.5, 15.5, 14.153333333333334)","(4.8, 15.5, 10.2)","(10.0, 44.0, 32.266666666666666)","(16.0, 190.0, 92.5)","(2.7, 3.4, 3.1974468085106382)","(11.0, 22.0, 19.4)","(5.0, 17.0, 13.736842105263158)"
06-01-2023 11:40:50.417809,"(10.0, 20.0, 18.96363636363636)","(5.5, 15.5, 14.153333333333334)","(4.8, 15.5, 10.2)","(10.0, 44.0, 32.266666666666666)","(16.0, 190.0, 92.5)","(2.7, 3.4, 3.1974468085106382)","(11.0, 22.0, 19.4)","(5.0, 17.0, 13.736842105263158)"
06-01-2023 11:40:51.813776,"(10.0, 20.0, 18.96363636363636)","(5.5, 15.5, 14.153333333333334)","(4.8, 15.5, 10.2)","(10.0, 44.0, 32.266666666666666)","(16.0, 190.0, 92.5)","(2.7, 3.4, 3.1974468085106382)","(11.0, 22.0, 19.4)","(5.0, 17.0, 13.736842105263158)"
06-01-2023 11:40:53.194255,"(10.0, 20.0, 18.96363636363636)","(5.5, 15.5, 14.153333333333334)","(4.8, 15.5, 10.2)","(10.0, 44.0, 32.266666666666666)","(16.0, 190.0, 92.5)","(2.7, 3.4, 3.1974468085106382)","(11.0, 22.0, 19.4)","(5.0, 17.0, 13.736842105263158)"
06-01-2023 11:40:54.808897,"(10.0, 20.0, 18.96363636363636)","(5.5, 15.5, 14.153333333333334)","(4.8, 15.5, 10.2)","(10.0, 44.0, 32.266666666666666)","(16.0, 190.0, 92.5)","(2.7, 3.4, 3.1974468085106382)","(11.0, 22.0, 19.4)","(5.0, 17.0, 13.736842105263158)"
06-01-2023 11:40:56.040935,"(10.0, 20.0, 18.96363636363636)","(5.5, 15.5, 14.153333333333334)","(4.8, 15.5, 10.2)","(10.0, 44.0, 32.266666666666666)","(16.0, 190.0, 92.5)","(2.7, 3.4, 3.1974468085106382)","(11.0, 22.0, 19.4)","(5.0, 17.0, 13.736842105263158)"
06-01-2023 11:40:57.407805,"(10.0, 20.0, 18.96363636363636)","(5.5, 15.5, 14.153333333333334)","(4.8, 15.5, 10.2)","(10.0, 44.0, 32.266666666666666)","(16.0, 190.0, 92.5)","(2.7, 3.4, 3.1974468085106382)","(11.0, 22.0, 19.4)","(5.0, 17.0, 13.736842105263158)"
06-01-2023 11:40:58.550820,"(10.0, 20.0, 18.96363636363636)","(5.5, 15.5, 14.153333333333334)","(4.8, 15.5, 10.2)","(10.0, 44.0, 32.266666666666666)","(16.0, 190.0, 92.5)","(2.7, 3.4, 3.1974468085106382)","(11.0, 22.0, 19.4)","(5.0, 17.0, 13.736842105263158)"
06-01-2023 11:40:59.839967,"(10.0, 20.0, 18.96363636363636)","(5.5, 15.5, 14.153333333333334)","(4.8, 15.5, 10.2)","(10.0, 44.0, 32.266666666666666)","(16.0, 190.0, 92.5)","(2.7, 3.4, 3.1974468085106382)","(11.0, 22.0, 19.4)","(5.0, 17.0, 13.736842105263158)"
06-01-2023 11:41:01.188133,"(10.0, 20.0, 18.96363636363636)","(5.5, 15.5, 14.153333333333334)","(4.8, 15.5, 10.2)","(10.0, 44.0, 32.266666666666666)","(16.0, 190.0, 92.5)","(2.7, 3.4, 3.1974468085106382)","(11.0, 22.0, 19.4)","(5.0, 17.0, 13.736842105263158)"
06-01-2023 11:41:02.417912,"(10.0, 20.0, 18.96363636363636)","(5.5, 15.5, 14.153333333333334)","(4.8, 15.5, 10.2)","(10.0, 44.0, 32.266666666666666)","(16.0, 190.0, 92.5)","(2.7, 3.4, 3.1974468085106382)","(11.0, 22.0, 19.4)","(5.0, 17.0, 13.736842105263158)"
06-01-2023 11:41:03.651981,"(10.0, 20.0, 18.96363636363636)","(5.5, 15.5, 14.153333333333334)","(4.8, 15.5, 10.2)","(10.0, 44.0, 32.266666666666666)","(16.0, 190.0, 92.5)","(2.7, 3.4, 3.1974468085106382)","(11.0, 22.0, 19.4)","(5.0, 17.0, 13.736842105263158)"
06-01-2023 11:41:04.906838,"(10.0, 20.0, 18.96363636363636)","(5.5, 15.5, 14.153333333333334)","(4.8, 15.5, 10.2)","(10.0, 44.0, 32.266666666666666)","(16.0, 190.0, 92.5)","(2.7, 3.4, 3.1974468085106382)","(11.0, 22.0, 19.4)","(5.0, 17.0, 13.736842105263158)"
06-01-2023 11:41:06.144742,"(10.0, 20.0, 18.96363636363636)","(5.5, 15.5, 14.153333333333334)","(4.8, 15.5, 10.2)","(10.0, 44.0, 32.266666666666666)","(16.0, 190.0, 92.5)","(2.7, 3.4, 3.1974468085106382)","(11.0, 22.0, 19.4)","(5.0, 17.0, 13.736842105263158)"
06-01-2023 11:41:07.560596,"(10.0, 20.0, 18.96363636363636)","(5.5, 15.5, 14.153333333333334)","(4.8, 15.5, 10.2)","(10.0, 44.0, 42.618181818181824)","(16.0, 190.0, 92.5)","(2.7, 3.4, 3.1974468085106382)","(11.0, 22.0, 19.4)","(5.0, 17.0, 13.736842105263158)"
06-01-2023 11:41:08.950539,"(10.0, 20.0, 18.96363636363636)","(5.5, 15.5, 14.153333333333334)","(4.8, 15.5, 10.2)","(10.0, 46.0, 30.933333333333334)","(16.0, 190.0, 92.5)","(2.7, 3.4, 3.1974468085106382)","(11.0, 22.0, 21.0)","(5.0, 17.0, 11.916666666666666)"
06-01-2023 11:41:10.252953,"(10.0, 22.0, 20.78181818181818)","(5.5, 15.5, 14.153333333333334)","(4.8, 15.5, 10.2)","(10.0, 42.0, 30.933333333333334)","(16.0, 190.0, 92.5)","(2.7, 3.4, 3.1974468085106382)","(11.0, 24.0, 21.0)","(5.0, 17.0, 11.916666666666666)"
06-01-2023 11:41:11.489631,"(10.0, 22.0, 20.78181818181818)","(5.5, 15.5, 14.153333333333334)","(4.8, 15.5, 10.2)","(10.0, 42.0, 30.933333333333334)","(16.0, 190.0, 92.5)","(2.7, 3.4, 3.1974468085106382)","(11.0, 24.0, 21.0)","(5.0, 17.0, 11.916666666666666)"
06-01-2023 11:41:12.686749,"(10.0, 22.0, 20.78181818181818)","(5.5, 15.5, 14.153333333333334)","(4.8, 15.5, 10.2)","(10.0, 42.0, 30.933333333333334)","(16.0, 190.0, 92.5)","(2.7, 3.4, 3.1974468085106382)","(11.0, 24.0, 21.0)","(5.0, 17.0, 11.916666666666666)"
06-01-2023 11:41:13.899546,"(10.0, 22.0, 20.78181818181818)","(5.5, 15.5, 14.153333333333334)","(4.8, 15.5, 10.2)","(10.0, 42.0, 30.933333333333334)","(16.0, 190.0, 92.5)","(2.7, 3.4, 3.1974468085106382)","(11.0, 24.0, 21.0)","(5.0, 17.0, 11.916666666666666)"
06-01-2023 11:41:15.106712,"(10.0, 22.0, 20.78181818181818)","(5.5, 15.5, 14.153333333333334)","(4.8, 15.5, 10.2)","(10.0, 42.0, 30.933333333333334)","(16.0, 190.0, 92.5)","(2.7, 3.4, 3.1974468085106382)","(11.0, 24.0, 21.0)","(5.0, 17.0, 11.916666666666666)"
06-01-2023 11:41:16.363604,"(10.0, 22.0, 20.78181818181818)","(5.5, 15.5, 14.153333333333334)","(4.8, 15.5, 10.2)","(10.0, 42.0, 30.933333333333334)","(16.0, 190.0, 92.5)","(2.7, 3.4, 3.1974468085106382)","(11.0, 24.0, 21.0)","(5.0, 17.0, 11.916666666666666)"
06-01-2023 11:41:17.661346,"(10.0, 22.0, 20.78181818181818)","(5.5, 15.5, 14.153333333333334)","(4.8, 15.5, 10.2)","(10.0, 42.0, 30.933333333333334)","(16.0, 190.0, 92.5)","(2.7, 3.4, 3.1974468085106382)","(11.0, 24.0, 21.0)","(5.0, 17.0, 11.916666666666666)"
06-01-2023 11:41:18.961664,"(10.0, 22.0, 20.78181818181818)","(5.5, 15.5, 14.153333333333334)","(4.8, 15.5, 10.2)","(10.0, 42.0, 30.933333333333334)","(16.0, 190.0, 92.5)","(2.7, 3.4, 3.1974468085106382)","(11.0, 24.0, 21.0)","(5.0, 17.0, 10.95)"
06-01-2023 11:41:20.108442,"(10.0, 22.0, 20.78181818181818)","(5.5, 15.5, 14.153333333333334)","(4.8, 15.5, 10.2)","(10.0, 42.0, 30.933333333333334)","(16.0, 190.0, 92.5)","(2.7, 3.4, 3.1974468085106382)","(11.0, 24.0, 21.0)","(5.0, 17.0, 10.95)"
06-01-2023 11:41:21.180317,"(10.0, 22.0, 20.78181818181818)","(5.5, 15.5, 14.153333333333334)","(4.8, 15.5, 10.2)","(10.0, 42.0, 30.933333333333334)","(16.0, 190.0, 92.5)","(2.7, 3.4, 3.1974468085106382)","(11.0, 24.0, 21.0)","(5.0, 17.0, 10.95)"
06-01-2023 11:41:22.293600,"(10.0, 22.0, 20.78181818181818)","(5.5, 15.5, 14.153333333333334)","(4.8, 15.5, 10.2)","(10.0, 42.0, 30.933333333333334)","(16.0, 190.0, 92.5)","(2.7, 3.4, 3.1974468085106382)","(11.0, 24.0, 21.0)","(5.0, 17.0, 10.95)"
06-01-2023 11:41:23.472409,"(10.0, 22.0, 20.78181818181818)","(5.5, 15.5, 14.153333333333334)","(4.8, 15.5, 10.2)","(10.0, 42.0, 30.933333333333334)","(16.0, 190.0, 92.5)","(2.7, 3.4, 3.1974468085106382)","(11.0, 24.0, 21.0)","(5.0, 17.0, 10.95)"
06-01-2023 11:41:24.710467,"(10.0, 22.0, 20.78181818181818)","(5.5, 15.5, 14.153333333333334)","(4.8, 15.5, 10.2)","(10.0, 42.0, 30.933333333333334)","(16.0, 190.0, 92.5)","(2.7, 3.4, 3.1974468085106382)","(11.0, 24.0, 21.0)","(5.0, 17.0, 10.95)"
06-01-2023 11:41:25.995566,"(10.0, 22.0, 20.78181818181818)","(5.5, 15.5, 14.153333333333334)","(4.8, 15.5, 10.2)","(10.0, 42.0, 30.933333333333334)","(16.0, 190.0, 92.5)","(2.7, 3.4, 3.1974468085106382)","(11.0, 24.0, 21.0)","(5.0, 17.0, 10.95)"
06-01-2023 11:41:27.144492,"(10.0, 22.0, 20.78181818181818)","(5.5, 15.5, 14.153333333333334)","(4.8, 15.5, 10.2)","(10.0, 42.0, 30.933333333333334)","(16.0, 190.0, 92.5)","(2.7, 3.4, 2.725925925925926)","(11.0, 24.0, 21.0)","(5.0, 17.0, 10.95)"
06-01-2023 11:41:28.265384,"(10.0, 22.0, 20.78181818181818)","(5.5, 15.5, 14.153333333333334)","(4.8, 15.5, 10.2)","(10.0, 42.0, 30.933333333333334)","(16.0, 190.0, 92.5)","(2.7, 3.4, 2.725925925925926)","(11.0, 24.0, 21.0)","(5.0, 17.0, 10.95)"
06-01-2023 11:41:29.433455,"(10.0, 22.0, 20.78181818181818)","(5.5, 15.5, 14.153333333333334)","(4.8, 15.5, 10.2)","(10.0, 42.0, 30.933333333333334)","(16.0, 190.0, 92.5)","(2.7, 3.4, 2.725925925925926)","(11.0, 24.0, 21.0)","(5.0, 17.0, 10.95)"
06-01-2023 11:41:30.624051,"(10.0, 22.0, 20.53333333333333)","(5.5, 15.5, 14.153333333333334)","(4.8, 15.5, 10.2)","(10.0, 42.0, 30.933333333333334)","(16.0, 190.0, 92.5)","(2.7, 3.4, 2.725925925925926)","(11.0, 24.0, 21.0)","(5.0, 17.0, 10.95)"
06-01-2023 11:41:31.830290,"(10.0, 22.0, 20.53333333333333)","(5.5, 15.5, 14.153333333333334)","(4.8, 15.5, 10.2)","(10.0, 42.0, 30.933333333333334)","(16.0, 190.0, 92.5)","(2.7, 3.4, 2.725925925925926)","(11.0, 24.0, 21.0)","(5.0, 17.0, 10.95)"
06-01-2023 11:41:33.088865,"(10.0, 22.0, 20.53333333333333)","(5.5, 15.5, 14.153333333333334)","(4.8, 15.5, 10.2)","(10.0, 42.0, 30.933333333333334)","(16.0, 190.0, 92.5)","(2.7, 3.4, 2.725925925925926)","(11.0, 24.0, 21.0)","(5.0, 17.0, 10.95)"
06-01-2023 11:41:34.367886,"(10.0, 22.0, 20.53333333333333)","(5.5, 15.5, 14.153333333333334)","(4.8, 15.5, 10.2)","(10.0, 42.0, 30.933333333333334)","(16.0, 190.0, 92.5)","(2.7, 3.4, 2.725925925925926)","(11.0, 24.0, 21.0)","(5.0, 17.0, 10.95)"
06-01-2023 11:41:35.593091,"(10.0, 22.0, 20.53333333333333)","(5.5, 15.5, 14.153333333333334)","(4.8, 15.5, 10.2)","(10.0, 42.0, 30.933333333333334)","(16.0, 190.0, 92.5)","(2.7, 3.4, 2.725925925925926)","(11.0, 24.0, 21.0)","(5.0, 17.0, 10.95)"
06-01-2023 11:41:36.852300,"(10.0, 22.0, 20.53333333333333)","(5.5, 15.5, 14.153333333333334)","(4.8, 15.5, 10.2)","(10.0, 42.0, 30.933333333333334)","(16.0, 190.0, 92.5)","(2.7, 3.4, 2.9560975609756097)","(11.0, 24.0, 21.0)","(5.0, 17.0, 10.95)"
06-01-2023 11:41:38.083995,"(10.0, 22.0, 20.53333333333333)","(5.5, 15.5, 14.153333333333334)","(4.8, 15.5, 10.2)","(10.0, 42.0, 30.933333333333334)","(16.0, 190.0, 92.5)","(2.7, 3.4, 2.9560975609756097)","(11.0, 24.0, 22.92857142857143)","(5.0, 17.0, 10.95)"
06-01-2023 11:41:39.370677,"(10.0, 22.0, 20.53333333333333)","(5.5, 15.5, 14.153333333333334)","(4.8, 15.5, 10.2)","(10.0, 42.0, 30.933333333333334)","(16.0, 190.0, 92.5)","(2.7, 3.4, 2.9560975609756097)","(11.0, 24.0, 22.92857142857143)","(5.0, 17.0, 10.95)"
06-01-2023 11:41:40.581903,"(10.0, 22.0, 20.53333333333333)","(5.5, 15.5, 14.153333333333334)","(4.8, 15.5, 10.2)","(10.0, 42.0, 30.933333333333334)","(16.0, 190.0, 92.5)","(2.7, 3.4, 2.9560975609756097)","(11.0, 24.0, 22.92857142857143)","(5.0, 17.0, 10.95)"
06-01-2023 11:41:41.763118,"(10.0, 22.0, 20.53333333333333)","(5.5, 15.5, 14.153333333333334)","(4.8, 15.5, 10.2)","(10.0, 42.0, 30.933333333333334)","(16.0, 190.0, 78.31818181818181)","(2.7, 3.4, 2.9560975609756097)","(11.0, 24.0, 22.92857142857143)","(5.0, 17.0, 10.95)"
06-01-2023 11:41:42.942974,"(10.0, 22.0, 20.53333333333333)","(5.5, 15.5, 14.153333333333334)","(4.8, 15.5, 10.2)","(10.0, 42.0, 30.933333333333334)","(16.0, 190.0, 78.31818181818181)","(2.7, 3.4, 2.9560975609756097)","(11.0, 24.0, 22.92857142857143)","(5.0, 17.0, 10.95)"
06-01-2023 11:41:44.136456,"(10.0, 22.0, 20.53333333333333)","(5.5, 15.5, 14.153333333333334)","(4.8, 15.5, 10.2)","(10.0, 42.0, 30.933333333333334)","(16.0, 190.0, 78.31818181818181)","(2.7, 3.4, 2.9560975609756097)","(11.0, 24.0, 22.92857142857143)","(5.0, 17.0, 10.95)"
06-01-2023 11:41:45.337418,"(10.0, 22.0, 20.53333333333333)","(5.5, 15.5, 14.153333333333334)","(4.8, 15.5, 10.2)","(10.0, 42.0, 30.933333333333334)","(16.0, 190.0, 92.5)","(2.7, 3.4, 2.9560975609756097)","(11.0, 24.0, 22.92857142857143)","(5.0, 17.0, 9.375)"
06-01-2023 11:41:46.584052,"(10.0, 22.0, 20.53333333333333)","(5.5, 15.5, 14.153333333333334)","(4.8, 15.5, 10.2)","(10.0, 42.0, 30.933333333333334)","(16.0, 190.0, 92.5)","(2.7, 3.4, 2.9560975609756097)","(11.0, 24.0, 22.92857142857143)","(5.0, 17.0, 9.375)"
06-01-2023 11:41:47.754480,"(10.0, 22.0, 20.53333333333333)","(5.5, 15.5, 14.153333333333334)","(4.8, 15.5, 10.2)","(10.0, 42.0, 30.933333333333334)","(16.0, 190.0, 92.5)","(2.7, 3.4, 2.9560975609756097)","(11.0, 24.0, 22.92857142857143)","(5.0, 17.0, 9.375)"
06-01-2023 11:41:48.899592,"(10.0, 22.0, 20.53333333333333)","(5.5, 15.5, 14.153333333333334)","(4.8, 15.5, 10.2)","(10.0, 42.0, 30.933333333333334)","(16.0, 190.0, 92.5)","(2.7, 3.4, 2.9560975609756097)","(11.0, 24.0, 22.92857142857143)","(5.0, 17.0, 9.375)"
06-01-2023 11:41:50.214449,"(10.0, 22.0, 20.53333333333333)","(5.5, 15.5, 14.153333333333334)","(4.8, 15.5, 10.2)","(10.0, 42.0, 30.933333333333334)","(16.0, 190.0, 92.5)","(2.7, 3.4, 2.9560975609756097)","(11.0, 24.0, 22.92857142857143)","(5.0, 17.0, 9.375)"
