,Better Tomorrow,Samedi,Pentacost,Apollo Blu,Hunka Hunka Harry,One Man Band,Danali,Wynsome Maid,Princess Pancakes,Chelsea Toff,Luminara,Ski Zoom
07-01-2023 14:35:22.564532,"(4.8, 7.4, 6.95)","(5.0, 6.4, 5.65)","(6.0, 12.5, 11.56)","(17.0, 80.0, 55.8)","(26.0, 90.0, 66.0)","(16.0, 75.0, 56.666666666666664)","(18.0, 80.0, 65.25)","(21.0, 32.0, 31.1)","(5.5, 6.2, 6.1695652173913045)","(12.0, 18.5, 18.205882352941178)","(8.0, 12.5, 11.266666666666667)","(16.0, 27.0, 25.857142857142858)"
07-01-2023 14:35:23.960487,"(4.8, 7.4, 6.95)","(5.0, 6.4, 5.65)","(6.0, 12.5, 11.56)","(17.0, 80.0, 55.8)","(26.0, 90.0, 66.0)","(16.0, 75.0, 56.666666666666664)","(18.0, 80.0, 65.25)","(21.0, 32.0, 31.1)","(5.5, 6.2, 6.1695652173913045)","(12.0, 18.5, 18.205882352941178)","(8.0, 12.5, 10.75)","(16.0, 27.0, 25.857142857142858)"
07-01-2023 14:35:25.329575,"(4.8, 7.4, 6.95)","(5.0, 6.4, 5.65)","(6.0, 12.5, 11.6)","(17.0, 80.0, 55.8)","(26.0, 90.0, 66.0)","(16.0, 75.0, 65.75)","(18.0, 80.0, 65.25)","(21.0, 32.0, 31.1)","(5.5, 6.2, 6.1695652173913045)","(12.0, 18.5, 18.205882352941178)","(8.0, 12.5, 10.75)","(16.0, 27.0, 25.857142857142858)"
07-01-2023 14:35:26.696440,"(4.8, 7.4, 6.95)","(5.0, 6.4, 5.65)","(6.0, 12.5, 11.6)","(17.0, 80.0, 55.8)","(26.0, 90.0, 66.0)","(16.0, 75.0, 65.75)","(18.0, 80.0, 65.25)","(21.0, 32.0, 31.1)","(5.5, 6.2, 6.1695652173913045)","(12.0, 18.5, 18.205882352941178)","(8.0, 12.5, 10.75)","(16.0, 27.0, 25.857142857142858)"
07-01-2023 14:35:28.101906,"(4.8, 7.4, 6.95)","(5.0, 6.4, 5.65)","(6.0, 12.5, 11.6)","(17.0, 80.0, 55.8)","(26.0, 90.0, 66.0)","(16.0, 75.0, 65.75)","(18.0, 80.0, 65.25)","(21.0, 32.0, 31.1)","(5.5, 6.2, 6.1695652173913045)","(12.0, 18.5, 18.205882352941178)","(8.0, 12.5, 10.75)","(16.0, 27.0, 25.857142857142858)"
07-01-2023 14:35:29.497920,"(4.8, 7.4, 6.95)","(5.0, 6.4, 5.65)","(6.0, 12.5, 11.6)","(17.0, 80.0, 55.8)","(26.0, 90.0, 66.0)","(16.0, 75.0, 65.75)","(18.0, 80.0, 65.25)","(21.0, 32.0, 31.1)","(5.5, 6.2, 6.1695652173913045)","(12.0, 18.5, 18.205882352941178)","(8.0, 12.5, 10.75)","(16.0, 27.0, 25.857142857142858)"
07-01-2023 14:35:30.866445,"(4.8, 7.4, 6.95)","(5.0, 6.4, 5.65)","(6.0, 12.5, 11.6)","(17.0, 80.0, 55.8)","(26.0, 90.0, 66.0)","(16.0, 75.0, 65.75)","(18.0, 80.0, 65.25)","(21.0, 32.0, 31.1)","(5.5, 6.2, 6.1695652173913045)","(12.0, 18.5, 18.205882352941178)","(8.0, 12.5, 9.583333333333334)","(16.0, 27.0, 25.857142857142858)"
07-01-2023 14:35:32.288355,"(4.8, 7.4, 6.95)","(5.0, 6.4, 5.65)","(6.0, 12.5, 11.6)","(17.0, 80.0, 55.8)","(26.0, 90.0, 66.0)","(16.0, 75.0, 65.75)","(18.0, 80.0, 65.25)","(21.0, 32.0, 32.9)","(5.5, 6.2, 6.1695652173913045)","(12.0, 18.5, 18.205882352941178)","(8.0, 12.5, 9.583333333333334)","(16.0, 27.0, 25.857142857142858)"
07-01-2023 14:35:33.667023,"(4.8, 7.4, 6.95)","(5.0, 6.4, 5.65)","(6.0, 12.5, 11.6)","(17.0, 80.0, 55.8)","(26.0, 90.0, 66.0)","(16.0, 75.0, 65.75)","(18.0, 80.0, 65.25)","(21.0, 34.0, 32.9)","(5.5, 6.2, 6.1695652173913045)","(12.0, 18.5, 18.205882352941178)","(8.0, 12.5, 9.583333333333334)","(16.0, 27.0, 25.857142857142858)"
07-01-2023 14:35:35.195381,"(4.8, 7.4, 6.95)","(5.0, 6.4, 5.65)","(6.0, 12.5, 11.6)","(17.0, 80.0, 55.8)","(26.0, 90.0, 66.0)","(16.0, 75.0, 65.75)","(18.0, 80.0, 65.25)","(21.0, 34.0, 32.9)","(5.5, 6.2, 6.1695652173913045)","(12.0, 18.5, 18.205882352941178)","(8.0, 12.5, 9.583333333333334)","(16.0, 27.0, 25.857142857142858)"
07-01-2023 14:35:36.595911,"(4.8, 7.4, 6.95)","(5.0, 6.4, 5.65)","(6.0, 12.5, 11.6)","(17.0, 80.0, 55.8)","(26.0, 90.0, 66.0)","(16.0, 75.0, 65.75)","(18.0, 80.0, 65.25)","(21.0, 34.0, 32.9)","(5.5, 6.2, 6.1695652173913045)","(12.0, 18.5, 18.205882352941178)","(8.0, 12.5, 9.583333333333334)","(16.0, 27.0, 25.857142857142858)"
07-01-2023 14:35:37.947407,"(4.8, 7.4, 6.95)","(5.0, 6.4, 5.65)","(6.0, 12.5, 11.6)","(17.0, 80.0, 55.8)","(26.0, 90.0, 66.0)","(16.0, 75.0, 65.75)","(18.0, 80.0, 65.25)","(21.0, 34.0, 32.9)","(5.5, 6.2, 6.1695652173913045)","(12.0, 18.5, 18.205882352941178)","(8.0, 12.5, 9.166666666666666)","(16.0, 27.0, 25.857142857142858)"
07-01-2023 14:35:39.272830,"(4.8, 7.4, 6.95)","(5.0, 6.4, 5.65)","(6.0, 12.5, 11.6)","(17.0, 80.0, 55.8)","(26.0, 90.0, 66.0)","(16.0, 75.0, 65.75)","(18.0, 80.0, 65.25)","(21.0, 34.0, 32.9)","(5.5, 6.2, 6.1695652173913045)","(12.0, 18.5, 18.205882352941178)","(8.0, 12.0, 9.166666666666666)","(16.0, 27.0, 25.857142857142858)"
07-01-2023 14:35:40.596648,"(4.8, 7.4, 6.95)","(5.0, 6.4, 5.65)","(6.0, 12.5, 11.6)","(17.0, 80.0, 55.8)","(26.0, 90.0, 66.0)","(16.0, 75.0, 65.75)","(18.0, 80.0, 65.25)","(21.0, 34.0, 32.9)","(5.5, 6.2, 6.1695652173913045)","(12.0, 18.5, 18.205882352941178)","(8.0, 12.0, 9.333333333333334)","(16.0, 27.0, 25.857142857142858)"
07-01-2023 14:35:41.889954,"(4.8, 7.4, 6.95)","(5.0, 6.4, 5.65)","(6.0, 12.5, 11.6)","(17.0, 80.0, 55.8)","(26.0, 90.0, 66.0)","(16.0, 75.0, 65.75)","(18.0, 80.0, 65.25)","(21.0, 34.0, 32.9)","(5.5, 6.2, 6.1695652173913045)","(12.0, 18.5, 18.205882352941178)","(8.0, 12.0, 9.333333333333334)","(16.0, 27.0, 25.857142857142858)"
07-01-2023 14:35:43.428257,"(4.8, 7.4, 6.95)","(5.0, 6.4, 5.65)","(6.0, 12.5, 11.6)","(17.0, 80.0, 55.8)","(26.0, 90.0, 66.0)","(16.0, 75.0, 65.75)","(18.0, 80.0, 65.25)","(21.0, 34.0, 32.9)","(5.5, 6.2, 6.1695652173913045)","(12.0, 18.5, 18.205882352941178)","(8.0, 12.0, 9.333333333333334)","(16.0, 27.0, 25.857142857142858)"
07-01-2023 14:35:44.969754,"(4.8, 7.4, 6.95)","(5.0, 6.4, 5.65)","(6.0, 12.5, 11.6)","(17.0, 80.0, 55.8)","(26.0, 90.0, 66.0)","(16.0, 75.0, 65.83333333333333)","(18.0, 80.0, 65.25)","(21.0, 34.0, 32.9)","(5.5, 6.2, 6.1695652173913045)","(12.0, 18.5, 18.205882352941178)","(8.0, 12.0, 10.0)","(16.0, 27.0, 25.857142857142858)"
07-01-2023 14:35:46.389356,"(4.8, 7.4, 6.95)","(5.0, 6.4, 5.65)","(6.0, 12.5, 11.6)","(17.0, 80.0, 55.8)","(26.0, 90.0, 66.0)","(16.0, 75.0, 65.83333333333333)","(18.0, 80.0, 65.25)","(21.0, 34.0, 32.9)","(5.5, 6.2, 6.1695652173913045)","(12.0, 18.5, 18.205882352941178)","(8.0, 12.0, 10.0)","(16.0, 27.0, 25.857142857142858)"
07-01-2023 14:35:47.794425,"(4.8, 7.4, 6.95)","(5.0, 6.4, 5.65)","(6.0, 12.5, 11.6)","(17.0, 80.0, 55.8)","(26.0, 90.0, 66.0)","(16.0, 75.0, 65.83333333333333)","(18.0, 80.0, 65.25)","(21.0, 34.0, 32.9)","(5.5, 6.2, 6.1695652173913045)","(12.0, 18.5, 18.205882352941178)","(8.0, 12.0, 10.0)","(16.0, 27.0, 25.857142857142858)"
