,Violetta Gift,La Perriere,Kimora Saffi,Leanne Leeann,Keayang Xena,Copacabana,Kyvalleyhoneybunny
11-01-2023 18:14:26.034549,"(18.0, 38.0, 29.200000000000003)","(5.0, 7.8, 6.6)","(4.2, 6.0, 5.4)","(7.5, 9.8, 8.9)","(2.5, 2.96, 2.8200000000000003)","(5.0, 7.4, 6.266666666666667)","(12.0, 15.5, 14.375)"
11-01-2023 18:14:27.246616,"(18.0, 38.0, 29.200000000000003)","(5.0, 7.8, 6.6)","(4.2, 6.0, 5.4)","(7.5, 9.8, 8.9)","(2.5, 2.96, 2.8200000000000003)","(5.0, 7.4, 6.266666666666667)","(12.0, 15.5, 14.375)"
11-01-2023 18:14:28.369162,"(18.0, 38.0, 29.200000000000003)","(5.0, 7.8, 6.6)","(4.2, 6.0, 5.4)","(7.5, 9.8, 8.9)","(2.5, 2.96, 2.8200000000000003)","(5.0, 7.4, 6.266666666666667)","(12.0, 15.5, 14.375)"
11-01-2023 18:14:29.500664,"(18.0, 38.0, 29.200000000000003)","(5.0, 7.8, 6.6)","(4.2, 6.0, 5.4)","(7.5, 9.8, 8.9)","(2.5, 2.96, 2.8200000000000003)","(5.0, 7.4, 6.266666666666667)","(12.0, 15.5, 14.375)"
11-01-2023 18:14:30.915422,"(18.0, 38.0, 29.200000000000003)","(5.0, 7.8, 6.6)","(4.2, 6.0, 5.4)","(7.5, 9.8, 8.9)","(2.5, 2.96, 2.8200000000000003)","(5.0, 7.4, 6.266666666666667)","(12.0, 15.5, 14.375)"
11-01-2023 18:14:32.461541,"(18.0, 38.0, 29.200000000000003)","(5.0, 7.8, 6.6)","(4.2, 6.0, 5.4)","(7.5, 9.8, 8.9)","(2.5, 2.96, 2.8200000000000003)","(5.0, 7.4, 6.266666666666667)","(12.0, 15.5, 14.375)"
11-01-2023 18:14:33.706670,"(18.0, 38.0, 29.200000000000003)","(5.0, 7.8, 6.6)","(4.2, 6.0, 5.4)","(7.5, 9.8, 8.9)","(2.5, 2.96, 2.8200000000000003)","(5.0, 7.4, 6.266666666666667)","(12.0, 15.5, 14.375)"
11-01-2023 18:14:34.955977,"(18.0, 38.0, 29.200000000000003)","(5.0, 7.8, 6.6)","(4.2, 6.0, 5.4)","(7.5, 9.8, 8.9)","(2.5, 2.96, 2.8200000000000003)","(5.0, 7.4, 6.266666666666667)","(12.0, 15.5, 14.375)"
11-01-2023 18:14:36.145677,"(18.0, 38.0, 29.200000000000003)","(5.0, 7.8, 6.6)","(4.2, 6.0, 5.4)","(7.5, 9.8, 8.9)","(2.5, 2.96, 2.8200000000000003)","(5.0, 7.4, 6.266666666666667)","(12.0, 15.5, 14.375)"
11-01-2023 18:14:37.313160,"(18.0, 38.0, 29.200000000000003)","(5.0, 7.8, 6.6)","(4.2, 6.0, 5.4)","(7.5, 9.8, 8.9)","(2.5, 2.96, 2.8200000000000003)","(5.0, 7.4, 6.266666666666667)","(12.0, 15.5, 14.375)"
11-01-2023 18:14:38.542661,"(18.0, 38.0, 29.200000000000003)","(5.0, 7.8, 6.6)","(4.2, 6.0, 5.4)","(7.5, 9.8, 8.9)","(2.5, 2.96, 2.8200000000000003)","(5.0, 7.4, 6.266666666666667)","(12.0, 15.5, 14.375)"
11-01-2023 18:14:39.639419,"(18.0, 38.0, 29.200000000000003)","(5.0, 7.8, 6.6)","(4.2, 6.0, 5.4)","(7.5, 9.8, 8.9)","(2.5, 2.96, 2.8200000000000003)","(5.0, 7.4, 6.266666666666667)","(12.0, 15.5, 14.375)"
11-01-2023 18:14:40.789358,"(18.0, 38.0, 29.200000000000003)","(5.0, 7.8, 6.6)","(4.2, 6.0, 5.4)","(7.5, 9.8, 8.9)","(2.5, 2.96, 2.8200000000000003)","(5.0, 7.4, 6.266666666666667)","(12.0, 15.5, 14.375)"
11-01-2023 18:14:41.820515,"(18.0, 38.0, 29.200000000000003)","(5.0, 7.8, 6.6)","(4.2, 6.0, 5.4)","(7.5, 9.8, 8.9)","(2.5, 2.96, 2.8200000000000003)","(5.0, 7.4, 6.266666666666667)","(12.0, 15.5, 14.375)"
11-01-2023 18:14:42.951286,"(18.0, 38.0, 29.200000000000003)","(5.0, 7.8, 6.6)","(4.2, 6.0, 5.4)","(7.5, 9.8, 8.9)","(2.5, 2.96, 2.8200000000000003)","(5.0, 7.4, 6.266666666666667)","(12.0, 15.5, 14.375)"
11-01-2023 18:14:44.074253,"(18.0, 38.0, 29.200000000000003)","(5.0, 7.8, 6.6)","(4.2, 6.0, 5.4)","(7.5, 9.8, 8.9)","(2.5, 2.96, 2.8200000000000003)","(5.0, 7.4, 6.266666666666667)","(12.0, 15.5, 14.375)"
11-01-2023 18:14:45.215623,"(18.0, 38.0, 29.200000000000003)","(5.0, 7.8, 6.6)","(4.2, 6.0, 5.4)","(7.5, 9.8, 8.9)","(2.5, 2.96, 2.8200000000000003)","(5.0, 7.4, 6.266666666666667)","(12.0, 15.5, 14.375)"
11-01-2023 18:14:46.542915,"(18.0, 38.0, 29.200000000000003)","(5.0, 7.8, 6.6)","(4.2, 6.0, 5.4)","(7.5, 9.8, 8.9)","(2.5, 2.96, 2.85)","(5.0, 7.4, 6.15)","(12.0, 15.5, 14.375)"
11-01-2023 18:14:47.858027,"(18.0, 38.0, 30.666666666666664)","(5.0, 7.6, 6.4)","(4.2, 6.0, 5.5)","(7.5, 9.8, 8.9)","(2.5, 2.96, 2.85)","(5.0, 7.2, 6.15)","(12.0, 15.5, 14.375)"
11-01-2023 18:14:49.053321,"(18.0, 38.0, 30.666666666666664)","(5.0, 7.6, 6.4)","(4.2, 6.0, 5.5)","(7.5, 9.8, 8.9)","(2.5, 2.96, 2.85)","(5.0, 7.2, 6.15)","(12.0, 15.5, 14.375)"
11-01-2023 18:14:50.266383,"(18.0, 38.0, 30.666666666666664)","(5.0, 7.6, 6.4)","(4.2, 6.0, 5.5)","(7.5, 9.8, 8.9)","(2.5, 2.96, 2.85)","(5.0, 7.2, 6.15)","(12.0, 15.5, 14.375)"
11-01-2023 18:14:51.725642,"(18.0, 38.0, 34.85714285714286)","(5.0, 7.6, 6.4)","(4.2, 6.0, 5.5)","(7.5, 9.8, 8.9)","(2.5, 2.96, 2.85)","(5.0, 7.2, 6.15)","(12.0, 15.5, 14.375)"
11-01-2023 18:14:53.280730,"(18.0, 38.0, 34.85714285714286)","(5.0, 7.6, 6.4)","(4.2, 6.0, 5.5)","(7.5, 9.8, 8.9)","(2.5, 2.96, 2.85)","(5.0, 7.2, 6.15)","(12.0, 15.5, 14.375)"
11-01-2023 18:14:54.672967,"(18.0, 38.0, 34.85714285714286)","(5.0, 7.6, 6.4)","(4.2, 6.0, 5.5)","(7.5, 9.8, 8.9)","(2.5, 2.96, 2.85)","(5.0, 7.2, 6.15)","(12.0, 15.5, 14.375)"
11-01-2023 18:14:55.726549,"(18.0, 38.0, 34.85714285714286)","(5.0, 7.6, 6.4)","(4.2, 6.0, 5.5)","(7.5, 9.8, 8.9)","(2.5, 2.96, 2.85)","(5.0, 7.2, 6.15)","(12.0, 15.5, 14.375)"
11-01-2023 18:14:56.952171,"(18.0, 38.0, 34.85714285714286)","(5.0, 7.6, 6.4)","(4.2, 6.0, 5.5)","(7.5, 9.8, 8.9)","(2.5, 2.96, 2.85)","(5.0, 7.2, 6.15)","(12.0, 15.5, 14.375)"
11-01-2023 18:14:58.099553,"(18.0, 38.0, 29.4)","(5.0, 7.6, 6.4)","(4.2, 6.0, 5.5)","(7.5, 9.8, 8.9)","(2.5, 2.96, 2.85)","(5.0, 7.2, 6.15)","(12.0, 15.5, 14.375)"
11-01-2023 18:14:59.338948,"(18.0, 38.0, 29.4)","(5.0, 7.6, 6.4)","(4.2, 6.0, 5.5)","(7.5, 9.8, 8.9)","(2.5, 2.96, 2.85)","(5.0, 7.2, 6.15)","(12.0, 15.5, 14.375)"
11-01-2023 18:15:00.517020,"(18.0, 38.0, 29.4)","(5.0, 7.6, 6.4)","(4.2, 6.0, 5.5)","(7.5, 9.8, 8.9)","(2.5, 2.96, 2.85)","(5.0, 7.2, 6.15)","(12.0, 15.5, 14.375)"
11-01-2023 18:15:01.762582,"(18.0, 38.0, 29.4)","(5.0, 7.6, 6.4)","(4.2, 6.0, 5.5)","(7.5, 9.8, 8.9)","(2.5, 2.96, 2.85)","(5.0, 7.2, 6.15)","(12.0, 15.5, 14.375)"
11-01-2023 18:15:03.017112,"(18.0, 38.0, 29.4)","(5.0, 7.6, 6.4)","(4.2, 6.0, 5.5)","(7.5, 9.8, 8.9)","(2.5, 2.96, 2.85)","(5.0, 7.2, 6.15)","(12.0, 15.5, 14.375)"
11-01-2023 18:15:04.224292,"(18.0, 38.0, 29.4)","(5.0, 7.6, 6.4)","(4.2, 6.0, 5.5)","(7.5, 9.8, 8.9)","(2.5, 2.96, 2.85)","(5.0, 7.2, 6.15)","(12.0, 15.5, 14.375)"
11-01-2023 18:15:05.425125,"(18.0, 38.0, 29.4)","(5.0, 7.6, 6.4)","(4.2, 6.0, 5.5)","(7.5, 9.8, 8.9)","(2.5, 2.96, 2.85)","(5.0, 7.2, 6.15)","(12.0, 15.5, 14.375)"
11-01-2023 18:15:06.630191,"(18.0, 38.0, 29.4)","(5.0, 7.6, 6.4)","(4.2, 6.0, 5.5)","(7.5, 9.8, 8.9)","(2.5, 2.96, 2.85)","(5.0, 7.2, 6.15)","(12.0, 15.5, 14.375)"
11-01-2023 18:15:07.826412,"(18.0, 38.0, 29.4)","(5.0, 7.6, 6.4)","(4.2, 6.0, 5.5)","(7.5, 9.8, 8.9)","(2.5, 2.96, 2.85)","(5.0, 7.2, 6.15)","(12.0, 15.5, 14.375)"
11-01-2023 18:15:09.001282,"(18.0, 38.0, 29.4)","(5.0, 7.6, 6.4)","(4.2, 6.0, 5.5)","(7.5, 9.8, 8.9)","(2.5, 2.96, 2.85)","(5.0, 7.2, 6.15)","(12.0, 15.5, 14.375)"
11-01-2023 18:15:10.171959,"(18.0, 38.0, 29.4)","(5.0, 7.6, 6.4)","(4.2, 6.0, 5.5)","(7.5, 9.8, 8.9)","(2.5, 2.96, 2.85)","(5.0, 7.2, 6.15)","(12.0, 15.5, 14.375)"
11-01-2023 18:15:11.371013,"(18.0, 38.0, 29.4)","(5.0, 7.6, 6.4)","(4.2, 6.0, 5.5)","(7.5, 9.8, 8.9)","(2.5, 2.96, 2.85)","(5.0, 7.2, 6.15)","(12.0, 15.5, 14.375)"
11-01-2023 18:15:12.772262,"(18.0, 38.0, 29.4)","(5.0, 7.6, 6.4)","(4.2, 6.0, 5.5)","(7.5, 9.8, 8.9)","(2.5, 2.96, 2.85)","(5.0, 7.2, 6.15)","(12.0, 15.5, 14.375)"
11-01-2023 18:15:14.256544,"(18.0, 38.0, 29.4)","(5.0, 7.6, 6.4)","(4.2, 6.0, 5.5)","(7.5, 9.8, 8.9)","(2.5, 2.96, 2.85)","(5.0, 7.2, 6.15)","(12.0, 15.5, 14.375)"
11-01-2023 18:15:15.624437,"(18.0, 38.0, 29.4)","(5.0, 7.6, 6.4)","(4.2, 6.0, 5.5)","(7.5, 9.8, 8.9)","(2.5, 2.96, 2.85)","(5.0, 7.2, 6.15)","(12.0, 15.5, 14.375)"
11-01-2023 18:15:17.017234,"(18.0, 38.0, 29.4)","(5.0, 7.6, 6.4)","(4.2, 6.0, 5.5)","(7.5, 9.8, 8.9)","(2.5, 2.96, 2.85)","(5.0, 7.2, 6.15)","(12.0, 15.5, 14.375)"
11-01-2023 18:15:18.377686,"(18.0, 38.0, 29.4)","(5.0, 7.6, 6.4)","(4.2, 6.0, 5.5)","(7.5, 9.8, 8.9)","(2.5, 2.96, 2.85)","(5.0, 7.2, 6.15)","(12.0, 15.5, 14.375)"
11-01-2023 18:15:19.646588,"(18.0, 38.0, 29.4)","(5.0, 7.6, 6.4)","(4.2, 6.0, 5.5)","(7.5, 9.8, 8.9)","(2.5, 2.96, 2.85)","(5.0, 7.2, 6.15)","(12.0, 15.5, 14.375)"
11-01-2023 18:15:20.753720,"(18.0, 38.0, 29.4)","(5.0, 7.6, 6.4)","(4.2, 6.0, 5.5)","(7.5, 9.8, 8.9)","(2.5, 2.96, 2.85)","(5.0, 7.2, 6.15)","(12.0, 15.5, 14.375)"
11-01-2023 18:15:22.095112,"(18.0, 38.0, 31.0)","(5.0, 7.6, 6.4)","(4.2, 6.0, 5.5)","(7.5, 9.8, 8.9)","(2.5, 2.96, 2.85)","(5.0, 7.2, 6.15)","(12.0, 15.5, 14.375)"
11-01-2023 18:15:23.397174,"(18.0, 38.0, 31.0)","(5.0, 7.6, 6.4)","(4.2, 6.0, 5.5)","(7.5, 9.8, 8.9)","(2.5, 2.96, 2.85)","(5.0, 7.2, 6.15)","(12.0, 15.5, 14.375)"
11-01-2023 18:15:24.696893,"(18.0, 38.0, 31.0)","(5.0, 7.6, 6.4)","(4.2, 6.0, 5.5)","(7.5, 9.8, 8.9)","(2.5, 2.96, 2.85)","(5.0, 7.2, 6.15)","(12.0, 15.5, 14.375)"
11-01-2023 18:15:26.025357,"(18.0, 38.0, 31.0)","(5.0, 7.6, 6.173333333333333)","(4.2, 6.0, 5.3)","(7.5, 9.8, 8.9)","(2.5, 2.96, 2.81)","(5.0, 7.2, 6.45)","(12.0, 15.5, 14.375)"
11-01-2023 18:15:27.239739,"(18.0, 38.0, 33.333333333333336)","(5.0, 8.6, 6.173333333333333)","(4.2, 6.0, 5.3)","(7.5, 9.8, 8.9)","(2.5, 2.96, 2.81)","(5.0, 7.4, 6.45)","(12.0, 15.5, 14.375)"
11-01-2023 18:15:28.429785,"(18.0, 38.0, 33.333333333333336)","(5.0, 8.6, 6.173333333333333)","(4.2, 6.0, 5.3)","(7.5, 9.8, 8.9)","(2.5, 2.96, 2.79)","(5.0, 7.4, 6.45)","(12.0, 15.5, 14.375)"
11-01-2023 18:15:29.699426,"(18.0, 38.0, 33.333333333333336)","(5.0, 8.6, 6.8)","(4.2, 6.0, 5.3)","(7.5, 9.8, 8.9)","(2.5, 2.96, 2.8)","(5.0, 7.4, 6.45)","(12.0, 15.5, 14.375)"
11-01-2023 18:15:30.911042,"(18.0, 38.0, 33.333333333333336)","(5.0, 8.4, 6.8)","(4.2, 6.0, 5.3)","(7.5, 9.8, 8.9)","(2.5, 2.96, 2.8)","(5.0, 7.4, 6.45)","(12.0, 15.5, 14.375)"
11-01-2023 18:15:32.144431,"(18.0, 38.0, 33.333333333333336)","(5.0, 8.4, 6.8)","(4.2, 6.0, 5.3)","(7.5, 9.8, 8.9)","(2.5, 2.96, 2.8)","(5.0, 7.4, 6.45)","(12.0, 15.5, 14.375)"
11-01-2023 18:15:33.371781,"(18.0, 38.0, 33.333333333333336)","(5.0, 8.4, 6.8)","(4.2, 6.0, 5.3)","(7.5, 9.8, 8.9)","(2.5, 2.96, 2.8)","(5.0, 7.4, 6.45)","(12.0, 15.5, 14.375)"
11-01-2023 18:15:34.794202,"(18.0, 38.0, 33.333333333333336)","(5.0, 8.4, 6.8)","(4.2, 6.0, 5.3)","(7.5, 9.8, 8.9)","(2.5, 2.96, 2.8)","(5.0, 7.4, 6.45)","(12.0, 15.5, 14.375)"
11-01-2023 18:15:36.081396,"(18.0, 38.0, 33.333333333333336)","(5.0, 8.4, 6.8)","(4.2, 6.0, 5.3)","(7.5, 9.8, 8.9)","(2.5, 2.96, 2.8)","(5.0, 7.4, 6.45)","(12.0, 15.5, 14.375)"
11-01-2023 18:15:37.469577,"(18.0, 38.0, 33.333333333333336)","(5.0, 8.4, 6.8)","(4.2, 6.0, 5.3)","(7.5, 9.8, 8.9)","(2.5, 2.96, 2.8)","(5.0, 7.4, 6.45)","(12.0, 15.5, 14.375)"
11-01-2023 18:15:38.768749,"(18.0, 38.0, 33.333333333333336)","(5.0, 8.4, 6.8)","(4.2, 6.0, 5.3)","(7.5, 9.8, 8.9)","(2.5, 2.96, 2.8)","(5.0, 7.4, 6.45)","(12.0, 15.5, 14.375)"
11-01-2023 18:15:40.316207,"(18.0, 38.0, 33.333333333333336)","(5.0, 8.4, 6.8)","(4.2, 6.0, 5.3)","(7.5, 9.8, 8.9)","(2.5, 2.96, 2.8)","(5.0, 7.4, 6.45)","(12.0, 15.5, 14.375)"
11-01-2023 18:15:41.901475,"(18.0, 38.0, 33.333333333333336)","(5.0, 8.4, 6.8)","(4.2, 6.0, 5.3)","(7.5, 9.8, 8.9)","(2.5, 2.96, 2.8)","(5.0, 7.4, 6.45)","(12.0, 15.5, 14.375)"
11-01-2023 18:15:43.227615,"(18.0, 38.0, 33.333333333333336)","(5.0, 8.4, 6.8)","(4.2, 6.0, 5.3)","(7.5, 9.8, 8.9)","(2.5, 2.96, 2.8)","(5.0, 7.4, 6.45)","(12.0, 15.5, 14.375)"
11-01-2023 18:15:44.575350,"(18.0, 38.0, 33.333333333333336)","(5.0, 8.4, 6.8)","(4.2, 6.0, 5.3)","(7.5, 9.8, 8.9)","(2.5, 2.96, 2.8)","(5.0, 7.4, 6.45)","(12.0, 15.5, 14.375)"
11-01-2023 18:15:45.668873,"(18.0, 38.0, 33.333333333333336)","(5.0, 8.4, 6.8)","(4.2, 6.0, 5.3)","(7.5, 9.8, 8.9)","(2.5, 2.96, 2.8)","(5.0, 7.4, 6.45)","(12.0, 15.5, 14.375)"
11-01-2023 18:15:46.859122,"(18.0, 38.0, 33.333333333333336)","(5.0, 8.4, 6.8)","(4.2, 6.0, 5.3)","(7.5, 9.8, 8.9)","(2.5, 2.96, 2.8)","(5.0, 7.4, 6.45)","(12.0, 15.5, 14.375)"
11-01-2023 18:15:48.124994,"(18.0, 38.0, 33.333333333333336)","(5.0, 8.4, 6.8)","(4.2, 6.0, 5.3)","(7.5, 9.8, 8.9)","(2.5, 2.96, 2.8)","(5.0, 7.4, 6.45)","(12.0, 15.5, 14.375)"
11-01-2023 18:15:49.391569,"(18.0, 38.0, 33.333333333333336)","(5.0, 8.4, 6.8)","(4.2, 6.0, 5.3)","(7.5, 9.8, 8.9)","(2.5, 2.96, 2.8)","(5.0, 7.4, 6.45)","(12.0, 15.5, 14.375)"
11-01-2023 18:15:50.562702,"(18.0, 38.0, 33.333333333333336)","(5.0, 8.4, 6.8)","(4.2, 6.0, 5.3)","(7.5, 9.8, 8.9)","(2.5, 2.96, 2.8)","(5.0, 7.4, 6.45)","(12.0, 15.5, 14.375)"
11-01-2023 18:15:51.822461,"(18.0, 38.0, 33.333333333333336)","(5.0, 8.4, 6.8)","(4.2, 6.0, 5.3)","(7.5, 9.8, 8.9)","(2.5, 2.96, 2.8)","(5.0, 7.4, 6.45)","(12.0, 15.5, 14.375)"
11-01-2023 18:15:53.056730,"(18.0, 38.0, 33.333333333333336)","(5.0, 8.4, 6.8)","(4.2, 6.0, 5.3)","(7.5, 9.8, 8.9)","(2.5, 2.96, 2.8)","(5.0, 7.4, 6.45)","(12.0, 15.5, 14.375)"
11-01-2023 18:15:54.339141,"(18.0, 38.0, 33.333333333333336)","(5.0, 8.4, 6.8)","(4.2, 6.0, 5.3)","(7.5, 9.8, 8.9)","(2.5, 2.96, 2.8)","(5.0, 7.4, 6.45)","(12.0, 15.5, 14.375)"
11-01-2023 18:15:55.665116,"(18.0, 38.0, 33.333333333333336)","(5.0, 8.4, 6.8)","(4.2, 6.0, 5.3)","(7.5, 9.8, 8.9)","(2.5, 2.96, 2.8)","(5.0, 7.4, 6.45)","(12.0, 15.5, 14.375)"
11-01-2023 18:15:56.913884,"(18.0, 38.0, 33.333333333333336)","(5.0, 8.4, 6.8)","(4.2, 6.0, 5.3)","(7.5, 9.8, 8.9)","(2.5, 2.96, 2.8)","(5.0, 7.4, 6.45)","(12.0, 15.5, 14.375)"
11-01-2023 18:15:58.189637,"(18.0, 38.0, 33.333333333333336)","(5.0, 8.4, 6.8)","(4.2, 6.0, 5.3)","(7.5, 9.8, 8.9)","(2.5, 2.96, 2.8)","(5.0, 7.4, 6.45)","(12.0, 15.5, 14.375)"
11-01-2023 18:15:59.619548,"(18.0, 38.0, 33.333333333333336)","(5.0, 8.4, 6.8)","(4.2, 6.0, 5.3)","(7.5, 9.8, 8.9)","(2.5, 2.96, 2.8)","(5.0, 7.4, 6.45)","(12.0, 15.5, 14.375)"
11-01-2023 18:16:00.839883,"(18.0, 38.0, 33.333333333333336)","(5.0, 8.4, 6.8)","(4.2, 6.0, 5.3)","(7.5, 9.8, 8.9)","(2.5, 2.96, 2.8)","(5.0, 7.4, 6.45)","(12.0, 15.5, 14.375)"
11-01-2023 18:16:02.041600,"(18.0, 38.0, 30.0)","(5.0, 8.4, 6.8)","(4.2, 6.0, 5.3)","(7.5, 9.8, 8.9)","(2.5, 2.96, 2.8)","(5.0, 7.4, 6.45)","(12.0, 15.5, 14.375)"
11-01-2023 18:16:03.225067,"(18.0, 38.0, 30.0)","(5.0, 8.4, 6.8)","(4.2, 6.0, 5.3)","(7.5, 9.8, 8.9)","(2.5, 2.96, 2.8)","(5.0, 7.4, 6.45)","(12.0, 15.5, 14.375)"
11-01-2023 18:16:04.519668,"(18.0, 38.0, 30.0)","(5.0, 8.4, 6.8)","(4.2, 6.0, 5.3)","(7.5, 9.8, 8.9)","(2.5, 2.96, 2.8)","(5.0, 7.4, 6.45)","(12.0, 15.5, 14.375)"
11-01-2023 18:16:05.783676,"(18.0, 38.0, 30.0)","(5.0, 8.4, 6.8)","(4.2, 6.0, 5.3)","(7.5, 9.8, 8.9)","(2.5, 2.96, 2.8)","(5.0, 7.4, 6.45)","(12.0, 15.5, 14.375)"
11-01-2023 18:16:07.083672,"(18.0, 38.0, 30.0)","(5.0, 8.4, 6.8)","(4.2, 6.0, 5.3)","(7.5, 9.8, 8.9)","(2.5, 2.96, 2.8)","(5.0, 7.4, 6.45)","(12.0, 15.5, 14.375)"
11-01-2023 18:16:08.556091,"(18.0, 38.0, 30.0)","(5.0, 8.4, 6.8)","(4.2, 6.0, 5.3)","(7.5, 9.8, 8.9)","(2.5, 2.96, 2.8)","(5.0, 7.4, 6.45)","(12.0, 15.5, 14.375)"
11-01-2023 18:16:10.037610,"(18.0, 38.0, 30.0)","(5.0, 8.4, 6.8)","(4.2, 6.0, 5.3)","(7.5, 9.8, 8.9)","(2.5, 2.96, 2.8)","(5.0, 7.4, 6.45)","(12.0, 15.5, 14.375)"
11-01-2023 18:16:11.627931,"(18.0, 38.0, 34.92857142857143)","(5.0, 8.4, 6.8)","(4.2, 6.0, 5.3)","(7.5, 9.8, 8.9)","(2.5, 2.96, 2.8)","(5.0, 7.4, 6.45)","(12.0, 15.5, 14.375)"
11-01-2023 18:16:12.941337,"(18.0, 38.0, 34.92857142857143)","(5.0, 8.4, 6.8)","(4.2, 6.0, 5.3)","(7.5, 9.8, 8.9)","(2.5, 2.96, 2.8)","(5.0, 7.4, 6.45)","(12.0, 15.5, 14.375)"
11-01-2023 18:16:14.202478,"(18.0, 38.0, 34.92857142857143)","(5.0, 8.4, 6.8)","(4.2, 6.0, 5.3)","(7.5, 9.8, 8.9)","(2.5, 2.96, 2.8)","(5.0, 7.4, 6.45)","(12.0, 15.5, 14.375)"
11-01-2023 18:16:15.528454,"(18.0, 38.0, 34.92857142857143)","(5.0, 8.4, 6.8)","(4.2, 6.0, 5.3)","(7.5, 9.8, 8.9)","(2.5, 2.96, 2.8)","(5.0, 7.4, 6.45)","(12.0, 15.5, 14.375)"
11-01-2023 18:16:16.841655,"(18.0, 38.0, 34.92857142857143)","(5.0, 8.4, 6.8)","(4.2, 6.0, 5.3)","(7.5, 9.8, 8.9)","(2.5, 2.96, 2.8)","(5.0, 7.4, 6.45)","(12.0, 15.5, 14.375)"
11-01-2023 18:16:18.113499,"(18.0, 38.0, 34.92857142857143)","(5.0, 8.4, 6.8)","(4.2, 6.0, 5.3)","(7.5, 9.8, 8.9)","(2.5, 2.96, 2.8)","(5.0, 7.4, 6.45)","(12.0, 15.5, 14.375)"
11-01-2023 18:16:19.444229,"(18.0, 38.0, 34.92857142857143)","(5.0, 8.4, 6.8)","(4.2, 6.0, 5.3)","(7.5, 9.8, 8.9)","(2.5, 2.96, 2.8)","(5.0, 7.4, 6.45)","(12.0, 15.5, 14.375)"
11-01-2023 18:16:20.704086,"(18.0, 38.0, 34.92857142857143)","(5.0, 8.4, 6.8)","(4.2, 6.0, 5.3)","(7.5, 9.8, 8.9)","(2.5, 2.96, 2.8)","(5.0, 7.4, 6.45)","(12.0, 15.5, 14.375)"
11-01-2023 18:16:21.899144,"(18.0, 38.0, 34.92857142857143)","(5.0, 8.4, 6.8)","(4.2, 6.0, 5.3)","(7.5, 9.8, 8.9)","(2.5, 2.96, 2.8)","(5.0, 7.4, 6.45)","(12.0, 15.5, 14.375)"
