,Alecia,Devante,Foxtrot Tango,Halwes,Mohinga Chase
11-01-2023 12:30:43.559742,"(4.6, 7.6, 4.96)","(1.85, 2.42, 1.986451612903226)","(18.0, 48.0, 31.200000000000003)","(3.5, 6.2, 3.644642857142857)","(6.5, 16.5, 11.45)"
11-01-2023 12:30:44.523730,"(4.6, 7.6, 4.96)","(1.85, 2.42, 1.986451612903226)","(18.0, 48.0, 31.200000000000003)","(3.5, 6.2, 3.644642857142857)","(6.5, 16.5, 11.45)"
11-01-2023 12:30:45.588503,"(4.6, 7.6, 4.96)","(1.85, 2.42, 1.986451612903226)","(18.0, 48.0, 31.200000000000003)","(3.5, 6.2, 3.644642857142857)","(6.5, 16.5, 11.45)"
11-01-2023 12:30:46.573796,"(4.6, 7.6, 4.96)","(1.85, 2.42, 1.986451612903226)","(18.0, 48.0, 31.200000000000003)","(3.5, 5.6, 3.6476190476190475)","(6.5, 16.5, 11.45)"
11-01-2023 12:30:47.570818,"(4.6, 7.6, 4.96)","(1.85, 2.42, 1.986451612903226)","(18.0, 48.0, 31.200000000000003)","(3.5, 5.6, 3.6476190476190475)","(6.5, 16.5, 11.45)"
11-01-2023 12:30:48.423108,"(4.6, 7.6, 4.96)","(1.85, 2.42, 1.986451612903226)","(18.0, 48.0, 31.200000000000003)","(3.5, 5.6, 3.6476190476190475)","(6.5, 16.5, 11.45)"
11-01-2023 12:30:49.362738,"(4.6, 7.6, 4.96)","(1.85, 2.42, 1.986451612903226)","(18.0, 48.0, 31.200000000000003)","(3.5, 5.6, 3.6476190476190475)","(6.5, 16.5, 11.45)"
11-01-2023 12:30:50.374330,"(4.6, 7.6, 4.96)","(1.85, 2.42, 1.986451612903226)","(18.0, 48.0, 31.200000000000003)","(3.5, 5.6, 3.6476190476190475)","(6.5, 16.5, 11.45)"
11-01-2023 12:30:51.377349,"(4.6, 7.6, 4.96)","(1.85, 2.42, 1.986451612903226)","(18.0, 48.0, 31.200000000000003)","(3.5, 5.6, 3.6476190476190475)","(6.5, 16.5, 11.45)"
11-01-2023 12:30:52.278465,"(4.6, 7.6, 4.96)","(1.85, 2.42, 1.986451612903226)","(18.0, 48.0, 31.200000000000003)","(3.5, 5.6, 3.6476190476190475)","(6.5, 16.5, 11.45)"
11-01-2023 12:30:53.097137,"(4.6, 7.6, 4.96)","(1.85, 2.42, 1.986451612903226)","(18.0, 48.0, 31.200000000000003)","(3.5, 5.6, 3.6476190476190475)","(6.5, 16.5, 11.45)"
11-01-2023 12:30:54.149700,"(4.6, 7.6, 4.96)","(1.85, 2.42, 1.986451612903226)","(18.0, 48.0, 31.200000000000003)","(3.5, 5.6, 3.6476190476190475)","(6.5, 16.5, 11.45)"
11-01-2023 12:30:55.212388,"(4.6, 7.6, 4.96)","(1.85, 2.42, 1.986451612903226)","(18.0, 48.0, 38.55)","(3.5, 5.6, 3.6476190476190475)","(6.5, 16.5, 11.45)"
11-01-2023 12:30:56.195409,"(4.6, 8.2, 6.25)","(1.85, 2.42, 1.986451612903226)","(18.0, 48.0, 38.55)","(3.5, 5.6, 3.6476190476190475)","(6.5, 16.5, 11.45)"
11-01-2023 12:30:57.072545,"(4.6, 7.4, 4.92)","(1.85, 2.42, 1.986451612903226)","(18.0, 46.0, 30.266666666666666)","(3.5, 5.6, 3.6476190476190475)","(6.5, 16.5, 11.45)"
11-01-2023 12:30:58.051294,"(4.6, 7.4, 4.92)","(1.85, 2.42, 1.986451612903226)","(18.0, 46.0, 30.266666666666666)","(3.5, 5.6, 3.6476190476190475)","(6.5, 16.5, 11.45)"
11-01-2023 12:30:58.999390,"(4.6, 7.4, 4.92)","(1.85, 2.42, 1.986451612903226)","(18.0, 46.0, 30.266666666666666)","(3.5, 5.6, 3.6476190476190475)","(6.5, 16.5, 11.45)"
11-01-2023 12:30:59.896141,"(4.6, 7.4, 4.92)","(1.85, 2.42, 1.986451612903226)","(18.0, 46.0, 30.266666666666666)","(3.5, 5.6, 3.6476190476190475)","(6.5, 16.5, 11.45)"
11-01-2023 12:31:00.793968,"(4.6, 7.4, 4.92)","(1.85, 2.42, 1.986451612903226)","(18.0, 46.0, 30.266666666666666)","(3.5, 5.6, 3.6476190476190475)","(6.5, 16.5, 11.45)"
11-01-2023 12:31:01.730339,"(4.6, 7.4, 4.92)","(1.85, 2.42, 1.986451612903226)","(18.0, 46.0, 30.266666666666666)","(3.5, 5.6, 3.6476190476190475)","(6.5, 16.5, 11.45)"
11-01-2023 12:31:02.671325,"(4.6, 7.4, 4.92)","(1.85, 2.42, 1.986451612903226)","(18.0, 46.0, 30.266666666666666)","(3.5, 5.6, 3.6476190476190475)","(6.5, 16.5, 11.45)"
11-01-2023 12:31:03.552058,"(4.6, 7.4, 4.92)","(1.85, 2.42, 1.986451612903226)","(18.0, 46.0, 30.266666666666666)","(3.5, 5.6, 3.6476190476190475)","(6.5, 16.5, 11.45)"
11-01-2023 12:31:04.397645,"(4.6, 7.4, 4.92)","(1.85, 2.42, 1.986451612903226)","(18.0, 46.0, 30.266666666666666)","(3.5, 5.6, 3.6476190476190475)","(6.5, 16.5, 11.45)"
11-01-2023 12:31:05.344437,"(4.6, 7.4, 4.92)","(1.85, 2.42, 1.986451612903226)","(18.0, 46.0, 30.266666666666666)","(3.5, 5.6, 3.6476190476190475)","(6.5, 16.5, 11.45)"
11-01-2023 12:31:06.289499,"(4.6, 7.4, 4.92)","(1.85, 2.42, 1.986451612903226)","(18.0, 46.0, 30.266666666666666)","(3.5, 5.6, 3.6476190476190475)","(6.5, 16.5, 11.45)"
11-01-2023 12:31:07.194145,"(4.6, 7.4, 4.92)","(1.85, 2.42, 1.986451612903226)","(18.0, 46.0, 30.266666666666666)","(3.5, 5.6, 3.6476190476190475)","(6.5, 16.5, 11.45)"
11-01-2023 12:31:08.159374,"(4.6, 7.4, 4.92)","(1.85, 2.42, 1.986451612903226)","(18.0, 46.0, 30.266666666666666)","(3.5, 5.6, 3.6476190476190475)","(6.5, 16.5, 11.45)"
11-01-2023 12:31:09.108649,"(4.6, 7.4, 4.92)","(1.85, 2.42, 1.986451612903226)","(18.0, 46.0, 30.266666666666666)","(3.5, 5.6, 3.6476190476190475)","(6.5, 16.5, 11.45)"
11-01-2023 12:31:10.115126,"(4.6, 7.4, 4.92)","(1.85, 2.42, 1.986451612903226)","(18.0, 46.0, 30.266666666666666)","(3.5, 5.6, 3.6476190476190475)","(6.5, 16.5, 11.45)"
11-01-2023 12:31:11.024191,"(4.6, 7.4, 4.92)","(1.85, 2.42, 1.986451612903226)","(18.0, 46.0, 30.266666666666666)","(3.5, 5.6, 3.6476190476190475)","(6.5, 16.5, 11.45)"
11-01-2023 12:31:11.855764,"(4.6, 7.4, 4.92)","(1.85, 2.42, 1.986451612903226)","(18.0, 46.0, 30.266666666666666)","(3.5, 5.6, 3.6476190476190475)","(6.5, 16.5, 11.45)"
11-01-2023 12:31:12.821255,"(4.6, 7.4, 4.92)","(1.85, 2.42, 1.986451612903226)","(18.0, 46.0, 30.266666666666666)","(3.5, 5.6, 3.6476190476190475)","(6.5, 16.5, 11.45)"
11-01-2023 12:31:13.744449,"(4.6, 7.4, 4.92)","(1.85, 2.42, 1.986451612903226)","(18.0, 46.0, 30.266666666666666)","(3.5, 5.6, 3.6476190476190475)","(6.5, 16.5, 11.45)"
11-01-2023 12:31:14.629161,"(4.6, 7.4, 4.92)","(1.85, 2.42, 1.986451612903226)","(18.0, 46.0, 30.266666666666666)","(3.5, 5.6, 3.6476190476190475)","(6.5, 16.5, 11.45)"
11-01-2023 12:31:15.559664,"(4.6, 7.4, 4.92)","(1.85, 2.42, 1.986451612903226)","(18.0, 46.0, 30.266666666666666)","(3.5, 5.6, 3.6476190476190475)","(6.5, 16.5, 11.45)"
11-01-2023 12:31:16.532992,"(4.6, 7.4, 4.92)","(1.85, 2.42, 1.986451612903226)","(18.0, 46.0, 30.266666666666666)","(3.5, 5.6, 3.6476190476190475)","(6.5, 16.5, 11.45)"
11-01-2023 12:31:17.429583,"(4.6, 7.4, 4.92)","(1.85, 2.42, 1.986451612903226)","(18.0, 46.0, 30.266666666666666)","(3.5, 5.6, 3.6476190476190475)","(6.5, 16.5, 11.45)"
11-01-2023 12:31:18.220838,"(4.6, 7.4, 4.92)","(1.85, 2.42, 1.986451612903226)","(18.0, 46.0, 30.266666666666666)","(3.5, 5.6, 3.6476190476190475)","(6.5, 16.5, 11.45)"
11-01-2023 12:31:19.182933,"(4.6, 7.4, 4.92)","(1.85, 2.42, 1.986451612903226)","(18.0, 46.0, 30.266666666666666)","(3.5, 5.6, 3.6476190476190475)","(6.5, 16.5, 11.45)"
11-01-2023 12:31:20.231028,"(4.6, 7.4, 4.92)","(1.85, 2.42, 1.986451612903226)","(18.0, 46.0, 30.266666666666666)","(3.5, 5.6, 3.6476190476190475)","(6.5, 16.5, 11.45)"
11-01-2023 12:31:21.187092,"(4.6, 7.4, 4.92)","(1.85, 2.42, 1.986451612903226)","(18.0, 46.0, 30.266666666666666)","(3.5, 5.6, 3.6476190476190475)","(6.5, 16.5, 11.45)"
11-01-2023 12:31:22.194389,"(4.6, 7.4, 4.92)","(1.85, 2.42, 1.986451612903226)","(18.0, 46.0, 30.266666666666666)","(3.5, 5.6, 3.6476190476190475)","(6.5, 16.5, 11.45)"
11-01-2023 12:31:23.025677,"(4.6, 7.4, 4.92)","(1.85, 2.42, 1.986451612903226)","(18.0, 46.0, 30.266666666666666)","(3.5, 5.6, 3.6476190476190475)","(6.5, 16.5, 11.45)"
11-01-2023 12:31:23.894234,"(4.6, 7.4, 4.92)","(1.85, 2.42, 1.986451612903226)","(18.0, 46.0, 30.266666666666666)","(3.5, 5.6, 3.6476190476190475)","(6.5, 16.5, 11.45)"
11-01-2023 12:31:24.848746,"(4.6, 7.4, 4.92)","(1.85, 2.42, 1.986451612903226)","(18.0, 46.0, 30.266666666666666)","(3.5, 5.6, 3.6476190476190475)","(6.5, 16.5, 11.45)"
11-01-2023 12:31:25.786144,"(4.6, 7.4, 4.92)","(1.85, 2.42, 1.986451612903226)","(18.0, 46.0, 30.266666666666666)","(3.5, 5.6, 3.6476190476190475)","(6.5, 16.5, 11.45)"
11-01-2023 12:31:26.757333,"(4.6, 7.4, 4.92)","(1.85, 2.42, 1.986451612903226)","(18.0, 46.0, 30.266666666666666)","(3.5, 5.6, 3.6476190476190475)","(6.5, 16.5, 11.45)"
11-01-2023 12:31:27.702858,"(4.6, 7.4, 4.92)","(1.85, 2.42, 1.986451612903226)","(18.0, 46.0, 30.266666666666666)","(3.5, 5.6, 3.6476190476190475)","(6.5, 16.5, 11.45)"
11-01-2023 12:31:28.534031,"(4.6, 7.4, 4.92)","(1.85, 2.42, 1.986451612903226)","(18.0, 46.0, 30.266666666666666)","(3.5, 5.6, 3.6476190476190475)","(6.5, 16.5, 11.45)"
11-01-2023 12:31:29.445350,"(4.6, 7.4, 4.92)","(1.85, 2.42, 1.986451612903226)","(18.0, 46.0, 30.266666666666666)","(3.5, 5.6, 3.6476190476190475)","(6.5, 16.5, 11.45)"
11-01-2023 12:31:30.457853,"(4.6, 7.4, 4.92)","(1.85, 2.42, 1.986451612903226)","(18.0, 46.0, 30.266666666666666)","(3.5, 5.6, 3.6476190476190475)","(6.5, 16.5, 11.45)"
11-01-2023 12:31:31.444662,"(4.6, 7.4, 4.92)","(1.85, 2.42, 1.986451612903226)","(18.0, 46.0, 30.266666666666666)","(3.5, 5.6, 3.6476190476190475)","(6.5, 16.5, 11.45)"
11-01-2023 12:31:32.407758,"(4.6, 7.4, 4.92)","(1.85, 2.42, 1.986451612903226)","(18.0, 46.0, 30.266666666666666)","(3.5, 5.6, 3.6476190476190475)","(6.5, 16.5, 11.45)"
11-01-2023 12:31:33.462871,"(4.6, 7.4, 4.92)","(1.85, 2.42, 1.986451612903226)","(18.0, 46.0, 30.266666666666666)","(3.5, 5.6, 3.6476190476190475)","(6.5, 16.5, 11.45)"
11-01-2023 12:31:34.477782,"(4.6, 7.4, 4.92)","(1.85, 2.42, 1.986451612903226)","(18.0, 46.0, 30.266666666666666)","(3.5, 5.6, 3.6476190476190475)","(6.5, 16.5, 11.45)"
11-01-2023 12:31:35.480925,"(4.6, 7.4, 4.92)","(1.85, 2.42, 1.986451612903226)","(18.0, 46.0, 30.266666666666666)","(3.5, 5.6, 3.6476190476190475)","(6.5, 16.5, 11.45)"
11-01-2023 12:31:36.481955,"(4.6, 7.4, 4.92)","(1.85, 2.42, 1.986451612903226)","(18.0, 46.0, 30.266666666666666)","(3.5, 5.6, 3.6476190476190475)","(6.5, 16.5, 11.45)"
11-01-2023 12:31:37.666832,"(4.6, 7.4, 4.92)","(1.85, 2.42, 1.986451612903226)","(18.0, 46.0, 30.266666666666666)","(3.5, 5.6, 3.6476190476190475)","(6.5, 16.5, 11.45)"
11-01-2023 12:31:38.720913,"(4.6, 7.4, 4.92)","(1.85, 2.42, 1.986451612903226)","(18.0, 46.0, 27.5625)","(3.5, 5.6, 3.6476190476190475)","(6.5, 16.5, 11.45)"
11-01-2023 12:31:39.777783,"(4.6, 7.4, 4.92)","(1.85, 2.42, 1.986451612903226)","(18.0, 46.0, 27.5625)","(3.5, 5.6, 3.6476190476190475)","(6.5, 16.5, 11.45)"
11-01-2023 12:31:40.753562,"(4.6, 7.4, 4.92)","(1.85, 2.42, 1.986451612903226)","(18.0, 46.0, 27.5625)","(3.5, 5.6, 3.6476190476190475)","(6.5, 16.5, 11.45)"
11-01-2023 12:31:41.695553,"(4.6, 7.4, 4.92)","(1.85, 2.42, 1.986451612903226)","(18.0, 46.0, 27.5625)","(3.5, 5.6, 3.6476190476190475)","(6.5, 16.5, 11.45)"
11-01-2023 12:31:42.649560,"(4.6, 7.4, 4.92)","(1.85, 2.42, 1.986451612903226)","(18.0, 46.0, 27.5625)","(3.5, 5.6, 3.6476190476190475)","(6.5, 16.5, 11.45)"
11-01-2023 12:31:43.627493,"(4.6, 7.4, 4.92)","(1.85, 2.42, 1.986451612903226)","(17.0, 46.0, 27.5625)","(3.5, 5.6, 3.6476190476190475)","(6.5, 16.5, 11.45)"
11-01-2023 12:31:44.629458,"(4.6, 7.4, 4.92)","(1.85, 2.42, 1.986451612903226)","(17.0, 46.0, 27.5625)","(3.5, 5.6, 3.6476190476190475)","(6.5, 16.5, 11.45)"
11-01-2023 12:31:45.726352,"(4.6, 7.4, 4.92)","(1.85, 2.42, 1.986451612903226)","(17.0, 46.0, 27.5625)","(3.5, 5.6, 3.6476190476190475)","(6.5, 16.5, 11.45)"
11-01-2023 12:31:46.761625,"(4.6, 7.4, 4.92)","(1.85, 2.42, 1.986451612903226)","(17.0, 46.0, 27.5625)","(3.5, 5.6, 3.6476190476190475)","(6.5, 16.5, 11.45)"
11-01-2023 12:31:47.650323,"(4.6, 7.4, 4.92)","(1.85, 2.42, 1.986451612903226)","(17.0, 46.0, 29.61111111111111)","(3.5, 5.6, 3.6476190476190475)","(6.5, 16.5, 11.45)"
11-01-2023 12:31:48.511317,"(4.6, 7.4, 4.92)","(1.85, 2.42, 1.986451612903226)","(17.0, 46.0, 29.61111111111111)","(3.5, 5.6, 3.6476190476190475)","(6.5, 16.5, 11.45)"
11-01-2023 12:31:49.534656,"(4.6, 7.4, 4.92)","(1.85, 2.42, 1.986451612903226)","(17.0, 46.0, 29.61111111111111)","(3.5, 5.6, 3.6476190476190475)","(6.5, 16.5, 11.45)"
11-01-2023 12:31:50.587556,"(4.6, 7.4, 4.92)","(1.85, 2.42, 1.986451612903226)","(17.0, 46.0, 29.61111111111111)","(3.5, 5.6, 3.6476190476190475)","(6.5, 16.5, 11.45)"
11-01-2023 12:31:51.486072,"(4.6, 7.4, 4.92)","(1.85, 2.42, 1.986451612903226)","(17.0, 46.0, 29.61111111111111)","(3.5, 5.6, 3.6476190476190475)","(6.5, 16.5, 11.45)"
11-01-2023 12:31:52.424366,"(4.6, 7.4, 4.92)","(1.85, 2.42, 1.986451612903226)","(17.0, 46.0, 29.61111111111111)","(3.5, 5.6, 3.6476190476190475)","(6.5, 16.5, 11.45)"
11-01-2023 12:31:53.432472,"(4.6, 7.4, 4.92)","(1.85, 2.42, 1.986451612903226)","(17.0, 46.0, 29.61111111111111)","(3.5, 5.6, 3.6476190476190475)","(6.5, 16.5, 11.45)"
11-01-2023 12:31:54.396975,"(4.6, 7.4, 4.92)","(1.85, 2.42, 1.986451612903226)","(17.0, 46.0, 29.61111111111111)","(3.5, 5.6, 3.6476190476190475)","(6.5, 16.5, 11.45)"
11-01-2023 12:31:55.335536,"(4.6, 7.4, 4.92)","(1.85, 2.42, 1.986451612903226)","(17.0, 46.0, 29.61111111111111)","(3.5, 5.6, 3.6476190476190475)","(6.5, 16.5, 11.45)"
11-01-2023 12:31:56.376716,"(4.6, 7.4, 4.92)","(1.85, 2.42, 1.986451612903226)","(17.0, 46.0, 29.61111111111111)","(3.5, 5.6, 3.6476190476190475)","(6.5, 16.5, 11.45)"
11-01-2023 12:31:57.341154,"(4.6, 7.4, 4.92)","(1.85, 2.42, 1.986451612903226)","(17.0, 46.0, 29.61111111111111)","(3.5, 5.6, 3.6476190476190475)","(6.5, 16.5, 11.45)"
11-01-2023 12:31:58.229083,"(4.6, 7.4, 4.92)","(1.85, 2.42, 1.986451612903226)","(17.0, 46.0, 29.61111111111111)","(3.5, 5.6, 3.6476190476190475)","(6.5, 16.5, 11.45)"
11-01-2023 12:31:59.202768,"(4.6, 7.4, 4.92)","(1.85, 2.42, 1.986451612903226)","(17.0, 46.0, 29.61111111111111)","(3.5, 5.6, 3.6476190476190475)","(6.5, 16.5, 11.45)"
11-01-2023 12:32:00.176341,"(4.6, 7.4, 4.92)","(1.85, 2.42, 1.986451612903226)","(17.0, 46.0, 29.61111111111111)","(3.5, 5.6, 3.6476190476190475)","(6.5, 16.5, 11.45)"
11-01-2023 12:32:01.083224,"(4.6, 7.4, 4.92)","(1.85, 2.42, 1.986451612903226)","(17.0, 46.0, 29.61111111111111)","(3.5, 5.6, 3.6476190476190475)","(6.5, 16.5, 11.45)"
11-01-2023 12:32:01.972312,"(4.6, 7.4, 4.92)","(1.85, 2.42, 1.986451612903226)","(17.0, 46.0, 29.61111111111111)","(3.5, 5.6, 3.6476190476190475)","(6.5, 16.5, 11.45)"
11-01-2023 12:32:02.905253,"(4.6, 7.4, 4.92)","(1.85, 2.42, 1.986451612903226)","(17.0, 46.0, 29.61111111111111)","(3.5, 5.6, 3.6476190476190475)","(6.5, 16.5, 11.45)"
11-01-2023 12:32:03.917978,"(4.6, 7.4, 4.92)","(1.85, 2.42, 1.986451612903226)","(17.0, 46.0, 29.61111111111111)","(3.5, 5.6, 3.6476190476190475)","(6.5, 16.5, 11.45)"
11-01-2023 12:32:04.823874,"(4.6, 7.4, 4.92)","(1.85, 2.42, 1.986451612903226)","(17.0, 46.0, 29.61111111111111)","(3.5, 5.6, 3.6476190476190475)","(6.5, 16.5, 11.45)"
11-01-2023 12:32:05.675437,"(4.6, 7.4, 4.92)","(1.85, 2.42, 1.986451612903226)","(18.0, 46.0, 29.61111111111111)","(3.5, 5.6, 3.6476190476190475)","(6.5, 16.5, 11.45)"
11-01-2023 12:32:06.689175,"(4.6, 7.4, 4.92)","(1.85, 2.42, 1.986451612903226)","(18.0, 46.0, 29.61111111111111)","(3.5, 5.6, 3.6476190476190475)","(6.5, 16.5, 11.45)"
11-01-2023 12:32:07.674798,"(4.6, 7.4, 4.92)","(1.85, 2.42, 1.986451612903226)","(18.0, 46.0, 29.61111111111111)","(3.5, 5.6, 3.6476190476190475)","(6.5, 16.5, 11.45)"
11-01-2023 12:32:08.604793,"(4.6, 7.4, 4.92)","(1.85, 2.42, 1.986451612903226)","(18.0, 46.0, 29.61111111111111)","(3.5, 5.6, 3.6476190476190475)","(6.5, 16.5, 11.45)"
11-01-2023 12:32:09.544403,"(4.6, 7.4, 4.92)","(1.85, 2.42, 1.986451612903226)","(18.0, 46.0, 29.61111111111111)","(3.5, 5.6, 3.6476190476190475)","(6.5, 16.5, 11.45)"
11-01-2023 12:32:10.428170,"(4.6, 7.4, 4.92)","(1.85, 2.42, 1.986451612903226)","(18.0, 46.0, 29.61111111111111)","(3.5, 5.6, 3.6476190476190475)","(6.5, 16.5, 11.45)"
11-01-2023 12:32:11.335658,"(4.6, 7.4, 4.92)","(1.85, 2.42, 1.986451612903226)","(18.0, 46.0, 29.61111111111111)","(3.5, 5.6, 3.6476190476190475)","(6.5, 16.5, 11.45)"
11-01-2023 12:32:12.221242,"(4.6, 7.4, 4.92)","(1.85, 2.42, 1.986451612903226)","(18.0, 46.0, 29.61111111111111)","(3.5, 5.6, 3.6476190476190475)","(6.5, 16.5, 11.45)"
11-01-2023 12:32:13.100760,"(4.6, 7.4, 4.92)","(1.85, 2.42, 1.986451612903226)","(18.0, 46.0, 29.61111111111111)","(3.5, 5.6, 3.6476190476190475)","(6.5, 16.5, 11.45)"
11-01-2023 12:32:13.976741,"(4.6, 7.4, 4.92)","(1.85, 2.42, 1.986451612903226)","(18.0, 46.0, 29.61111111111111)","(3.5, 5.6, 3.6476190476190475)","(6.5, 16.5, 11.45)"
11-01-2023 12:32:14.933035,"(4.6, 7.4, 4.92)","(1.85, 2.42, 1.986451612903226)","(18.0, 46.0, 29.61111111111111)","(3.5, 5.6, 3.6476190476190475)","(6.5, 16.5, 11.45)"
11-01-2023 12:32:15.843155,"(4.6, 7.4, 4.92)","(1.85, 2.42, 1.986451612903226)","(18.0, 46.0, 29.61111111111111)","(3.5, 5.6, 3.6476190476190475)","(6.5, 16.5, 11.45)"
11-01-2023 12:32:16.674831,"(4.6, 7.4, 4.92)","(1.85, 2.42, 1.986451612903226)","(18.0, 46.0, 29.61111111111111)","(3.5, 5.6, 3.6476190476190475)","(6.5, 16.5, 11.45)"
11-01-2023 12:32:17.652261,"(4.6, 7.4, 4.92)","(1.85, 2.42, 1.986451612903226)","(18.0, 46.0, 29.61111111111111)","(3.5, 5.6, 3.6476190476190475)","(6.5, 16.5, 11.45)"
11-01-2023 12:32:18.707674,"(4.6, 7.4, 4.92)","(1.85, 2.42, 1.986451612903226)","(18.0, 46.0, 29.61111111111111)","(3.5, 5.6, 3.6476190476190475)","(6.5, 16.5, 11.45)"
11-01-2023 12:32:19.578586,"(4.6, 7.4, 4.92)","(1.85, 2.42, 1.986451612903226)","(18.0, 46.0, 29.61111111111111)","(3.5, 5.6, 3.6476190476190475)","(6.5, 16.5, 11.45)"
11-01-2023 12:32:20.594521,"(4.6, 7.4, 4.92)","(1.85, 2.42, 1.986451612903226)","(18.0, 46.0, 29.61111111111111)","(3.5, 5.6, 3.6476190476190475)","(6.5, 16.5, 11.45)"
11-01-2023 12:32:21.566452,"(4.6, 7.4, 4.92)","(1.85, 2.42, 1.986451612903226)","(18.0, 46.0, 29.61111111111111)","(3.5, 5.6, 3.6476190476190475)","(6.5, 16.5, 11.45)"
11-01-2023 12:32:22.731166,"(4.6, 7.4, 4.92)","(1.85, 2.42, 1.986451612903226)","(18.0, 46.0, 29.61111111111111)","(3.5, 5.6, 3.6476190476190475)","(6.5, 16.5, 11.45)"
11-01-2023 12:32:23.787876,"(4.6, 7.4, 4.92)","(1.85, 2.42, 1.986451612903226)","(18.0, 46.0, 29.61111111111111)","(3.5, 5.6, 3.6476190476190475)","(6.5, 16.5, 11.45)"
11-01-2023 12:32:24.792180,"(4.6, 7.4, 4.92)","(1.85, 2.42, 1.986451612903226)","(18.0, 46.0, 29.61111111111111)","(3.5, 5.6, 3.6476190476190475)","(6.5, 16.5, 11.45)"
11-01-2023 12:32:25.739269,"(4.6, 7.4, 4.92)","(1.85, 2.42, 1.986451612903226)","(18.0, 46.0, 29.61111111111111)","(3.5, 5.6, 3.6476190476190475)","(6.5, 16.5, 11.45)"
11-01-2023 12:32:26.740291,"(4.6, 7.4, 4.92)","(1.85, 2.42, 1.986451612903226)","(18.0, 46.0, 29.61111111111111)","(3.5, 5.6, 3.6476190476190475)","(6.5, 16.5, 11.45)"
11-01-2023 12:32:27.695609,"(4.6, 7.4, 4.92)","(1.85, 2.42, 1.986451612903226)","(18.0, 46.0, 29.61111111111111)","(3.5, 5.6, 3.6476190476190475)","(6.5, 16.5, 11.45)"
11-01-2023 12:32:28.617683,"(4.6, 7.4, 4.92)","(1.85, 2.42, 1.986451612903226)","(18.0, 46.0, 29.61111111111111)","(3.5, 5.6, 3.6476190476190475)","(6.5, 16.5, 11.45)"
11-01-2023 12:32:29.516635,"(4.6, 7.4, 4.92)","(1.85, 2.42, 1.986451612903226)","(18.0, 46.0, 29.61111111111111)","(3.5, 5.6, 3.6476190476190475)","(6.5, 16.5, 11.45)"
11-01-2023 12:32:30.482324,"(4.6, 7.4, 4.92)","(1.85, 2.42, 1.986451612903226)","(18.0, 46.0, 29.61111111111111)","(3.5, 5.6, 3.6476190476190475)","(6.5, 16.5, 11.45)"
11-01-2023 12:32:31.378561,"(4.6, 7.4, 4.92)","(1.85, 2.42, 1.986451612903226)","(18.0, 46.0, 29.61111111111111)","(3.5, 5.6, 3.6476190476190475)","(6.5, 16.5, 11.45)"
11-01-2023 12:32:32.378120,"(4.6, 7.4, 4.92)","(1.85, 2.42, 1.986451612903226)","(18.0, 46.0, 29.61111111111111)","(3.5, 5.6, 3.6476190476190475)","(6.5, 16.5, 11.45)"
11-01-2023 12:32:33.401504,"(4.6, 7.4, 4.92)","(1.85, 2.42, 1.986451612903226)","(18.0, 46.0, 29.61111111111111)","(3.5, 5.6, 3.6476190476190475)","(6.5, 16.5, 11.45)"
