,Chillout Cookie,Shim Girl,Coach Beard,Inga Zach,Foxtrot Tango,Go Gigi Go,Inga Lenny
14-12-2022 13:46:39.267938,"(3.9, 6.2, 5.886956521739131)","(6.5, 12.0, 10.405714285714286)","(3.9, 6.6, 5.744262295081967)","(6.0, 12.5, 10.615625)","(3.1, 6.0, 3.7319999999999998)","(10.0, 18.5, 15.466666666666667)","(18.0, 60.0, 33.125)"
14-12-2022 13:46:40.289545,"(3.9, 6.2, 5.886956521739131)","(6.5, 12.0, 10.405714285714286)","(3.9, 6.6, 5.744262295081967)","(6.0, 12.5, 10.615625)","(3.1, 6.0, 3.7319999999999998)","(10.0, 18.5, 15.466666666666667)","(18.0, 60.0, 33.125)"
14-12-2022 13:46:41.388548,"(3.9, 6.2, 5.886956521739131)","(6.5, 12.0, 10.405714285714286)","(3.9, 6.6, 5.744262295081967)","(6.0, 12.5, 10.559375)","(3.1, 6.0, 3.7319999999999998)","(10.0, 18.5, 15.466666666666667)","(18.0, 60.0, 33.125)"
14-12-2022 13:46:42.547343,"(3.9, 6.2, 5.886956521739131)","(6.5, 12.0, 10.405714285714286)","(3.9, 6.6, 5.744262295081967)","(6.0, 12.5, 10.559375)","(3.1, 6.0, 3.7319999999999998)","(10.0, 18.5, 15.466666666666667)","(18.0, 60.0, 33.125)"
14-12-2022 13:46:43.692749,"(3.9, 6.2, 5.886956521739131)","(6.5, 12.0, 10.405714285714286)","(3.9, 6.6, 5.744262295081967)","(6.0, 12.5, 10.559375)","(3.1, 6.0, 3.7319999999999998)","(10.0, 18.5, 15.466666666666667)","(18.0, 60.0, 33.125)"
14-12-2022 13:46:44.919496,"(3.9, 6.2, 5.886956521739131)","(6.5, 12.0, 10.405714285714286)","(3.9, 6.6, 5.744262295081967)","(6.0, 12.5, 10.559375)","(3.1, 6.0, 3.7319999999999998)","(10.0, 18.5, 15.466666666666667)","(18.0, 60.0, 33.125)"
14-12-2022 13:46:46.046490,"(3.9, 6.2, 5.886956521739131)","(6.5, 12.0, 10.405714285714286)","(3.9, 6.6, 5.744262295081967)","(6.0, 12.5, 10.559375)","(3.1, 6.0, 3.7319999999999998)","(10.0, 18.5, 15.466666666666667)","(18.0, 60.0, 33.125)"
14-12-2022 13:46:47.079778,"(3.9, 6.2, 5.886956521739131)","(6.5, 12.0, 10.405714285714286)","(3.9, 6.6, 5.744262295081967)","(6.0, 12.5, 10.559375)","(3.1, 6.0, 3.7319999999999998)","(10.0, 18.5, 15.466666666666667)","(18.0, 60.0, 33.125)"
14-12-2022 13:46:48.094261,"(3.9, 6.2, 5.886956521739131)","(6.5, 12.0, 10.405714285714286)","(3.9, 6.6, 5.744262295081967)","(6.0, 12.5, 10.559375)","(3.1, 6.0, 3.7319999999999998)","(10.0, 18.5, 15.466666666666667)","(18.0, 60.0, 33.125)"
14-12-2022 13:46:49.256973,"(3.9, 6.2, 5.886956521739131)","(6.5, 12.0, 10.405714285714286)","(3.9, 6.6, 5.744262295081967)","(6.0, 12.5, 10.559375)","(3.1, 6.0, 3.7319999999999998)","(10.0, 18.5, 17.3375)","(18.0, 60.0, 41.875)"
14-12-2022 13:46:50.394499,"(3.9, 6.2, 5.886956521739131)","(6.5, 12.0, 10.405714285714286)","(3.9, 6.6, 5.744262295081967)","(6.0, 12.5, 10.559375)","(3.1, 6.0, 3.7319999999999998)","(10.0, 18.5, 17.3375)","(18.0, 60.0, 41.875)"
14-12-2022 13:46:51.406820,"(3.9, 6.2, 5.886956521739131)","(6.5, 12.0, 10.405714285714286)","(3.9, 6.6, 5.744262295081967)","(6.0, 12.5, 10.559375)","(3.1, 6.0, 3.7319999999999998)","(10.0, 18.5, 17.3375)","(18.0, 60.0, 41.875)"
14-12-2022 13:46:52.516813,"(3.9, 6.2, 5.886956521739131)","(6.5, 12.0, 10.405714285714286)","(3.9, 6.6, 5.744262295081967)","(6.0, 12.5, 10.559375)","(3.1, 6.0, 3.7319999999999998)","(10.0, 18.5, 17.3375)","(18.0, 60.0, 41.875)"
14-12-2022 13:46:53.577808,"(3.9, 6.2, 5.886956521739131)","(6.5, 12.0, 10.405714285714286)","(3.9, 6.6, 5.744262295081967)","(6.0, 12.5, 10.559375)","(3.1, 6.0, 3.7319999999999998)","(10.0, 18.5, 17.3375)","(18.0, 60.0, 41.875)"
14-12-2022 13:46:54.631377,"(3.9, 6.2, 5.886956521739131)","(6.5, 12.0, 10.405714285714286)","(3.9, 6.6, 5.744262295081967)","(6.0, 12.5, 10.559375)","(3.1, 6.0, 3.7319999999999998)","(10.0, 18.5, 17.3375)","(18.0, 60.0, 41.875)"
14-12-2022 13:46:55.605770,"(3.9, 6.2, 5.886956521739131)","(6.5, 12.0, 10.405714285714286)","(3.9, 6.6, 5.744262295081967)","(6.0, 12.5, 10.559375)","(3.1, 6.0, 3.7319999999999998)","(10.0, 18.5, 17.3375)","(18.0, 60.0, 41.875)"
14-12-2022 13:46:56.659599,"(3.9, 6.2, 5.886956521739131)","(6.5, 12.0, 10.405714285714286)","(3.9, 6.6, 5.744262295081967)","(6.0, 12.5, 10.559375)","(3.1, 6.0, 3.7319999999999998)","(10.0, 18.5, 17.3375)","(18.0, 60.0, 41.875)"
14-12-2022 13:46:57.728193,"(3.9, 6.2, 5.886956521739131)","(6.5, 12.0, 10.405714285714286)","(3.9, 6.6, 5.744262295081967)","(6.0, 12.5, 10.559375)","(3.1, 6.0, 3.7319999999999998)","(10.0, 18.5, 17.3375)","(18.0, 60.0, 41.875)"
14-12-2022 13:46:58.788954,"(3.9, 6.2, 5.886956521739131)","(6.5, 12.0, 10.405714285714286)","(3.9, 6.6, 5.744262295081967)","(6.0, 12.5, 10.559375)","(3.1, 6.0, 3.7319999999999998)","(10.0, 18.5, 17.3375)","(18.0, 60.0, 41.875)"
14-12-2022 13:46:59.876227,"(3.9, 6.2, 5.886956521739131)","(6.5, 12.0, 10.405714285714286)","(3.9, 6.6, 5.744262295081967)","(6.0, 12.5, 10.559375)","(3.1, 6.0, 3.7319999999999998)","(10.0, 18.5, 17.3375)","(18.0, 60.0, 41.875)"
14-12-2022 13:47:00.811902,"(3.9, 6.2, 5.886956521739131)","(6.5, 12.0, 10.405714285714286)","(3.9, 6.6, 5.744262295081967)","(6.0, 12.5, 10.559375)","(3.1, 6.0, 3.7319999999999998)","(10.0, 18.5, 17.3375)","(18.0, 60.0, 41.875)"
14-12-2022 13:47:01.764265,"(3.9, 6.2, 5.886956521739131)","(6.5, 12.0, 10.405714285714286)","(3.9, 6.6, 5.744262295081967)","(6.0, 12.5, 10.559375)","(3.1, 6.0, 3.7319999999999998)","(10.0, 18.5, 17.3375)","(18.0, 60.0, 41.875)"
14-12-2022 13:47:02.931223,"(3.9, 6.2, 5.886956521739131)","(6.5, 12.0, 10.405714285714286)","(3.9, 6.6, 5.744262295081967)","(6.0, 12.5, 10.559375)","(3.1, 6.0, 3.7319999999999998)","(10.0, 18.5, 17.3375)","(18.0, 60.0, 41.875)"
14-12-2022 13:47:04.078655,"(3.9, 6.2, 5.886956521739131)","(6.5, 12.0, 10.405714285714286)","(3.9, 6.6, 5.744262295081967)","(6.0, 12.5, 10.559375)","(3.1, 6.0, 3.7319999999999998)","(10.0, 18.5, 17.3375)","(18.0, 60.0, 41.875)"
14-12-2022 13:47:05.321438,"(3.9, 6.2, 5.886956521739131)","(6.5, 12.0, 10.405714285714286)","(3.9, 6.6, 5.744262295081967)","(6.0, 12.5, 10.559375)","(3.1, 6.0, 3.7319999999999998)","(10.0, 18.5, 17.3375)","(18.0, 60.0, 41.875)"
14-12-2022 13:47:06.570613,"(3.9, 6.2, 5.886956521739131)","(6.5, 12.0, 10.405714285714286)","(3.9, 6.6, 5.744262295081967)","(6.0, 12.5, 10.559375)","(3.1, 6.0, 3.7319999999999998)","(10.0, 18.5, 17.3375)","(18.0, 60.0, 41.875)"
14-12-2022 13:47:07.838533,"(3.9, 6.2, 5.886956521739131)","(6.5, 12.0, 10.405714285714286)","(3.9, 6.6, 5.744262295081967)","(6.0, 12.5, 10.559375)","(3.1, 6.0, 3.7319999999999998)","(10.0, 18.5, 17.3375)","(18.0, 60.0, 41.875)"
14-12-2022 13:47:09.055519,"(3.9, 6.2, 5.886956521739131)","(6.5, 12.0, 10.405714285714286)","(3.9, 6.6, 5.744262295081967)","(6.0, 12.5, 10.559375)","(3.1, 6.0, 3.7319999999999998)","(10.0, 18.5, 17.3375)","(18.0, 60.0, 41.875)"
14-12-2022 13:47:10.299937,"(3.9, 6.2, 5.886956521739131)","(6.5, 12.0, 10.405714285714286)","(3.9, 6.6, 5.744262295081967)","(6.0, 12.5, 10.559375)","(3.1, 6.0, 3.7319999999999998)","(10.0, 18.5, 17.3375)","(18.0, 60.0, 41.875)"
14-12-2022 13:47:11.438298,"(3.9, 6.2, 5.886956521739131)","(6.5, 12.0, 10.405714285714286)","(3.9, 6.6, 5.744262295081967)","(6.0, 12.5, 10.559375)","(3.1, 6.0, 3.7319999999999998)","(10.0, 18.5, 17.3375)","(18.0, 60.0, 41.875)"
14-12-2022 13:47:12.544045,"(3.9, 6.2, 5.886956521739131)","(6.5, 12.0, 10.405714285714286)","(3.9, 6.6, 4.6269230769230765)","(6.0, 12.5, 10.559375)","(3.1, 6.0, 3.7319999999999998)","(10.0, 18.5, 17.3375)","(18.0, 60.0, 41.875)"
14-12-2022 13:47:13.677338,"(3.9, 6.2, 5.115384615384615)","(6.5, 12.0, 10.405714285714286)","(3.9, 6.6, 4.6269230769230765)","(6.0, 12.5, 10.559375)","(3.1, 6.0, 3.7319999999999998)","(10.0, 18.5, 17.3375)","(18.0, 60.0, 41.875)"
14-12-2022 13:47:14.823978,"(3.9, 6.2, 5.115384615384615)","(6.5, 12.0, 10.405714285714286)","(3.9, 6.6, 4.6269230769230765)","(6.0, 12.5, 10.559375)","(3.1, 6.0, 3.7319999999999998)","(10.0, 18.5, 17.3375)","(18.0, 60.0, 41.875)"
14-12-2022 13:47:15.818066,"(3.9, 6.2, 5.115384615384615)","(6.5, 12.0, 10.405714285714286)","(3.9, 6.6, 4.6269230769230765)","(6.0, 12.5, 10.559375)","(3.1, 6.0, 3.7319999999999998)","(10.0, 18.5, 17.3375)","(18.0, 60.0, 41.875)"
14-12-2022 13:47:17.057953,"(3.9, 6.2, 5.115384615384615)","(6.5, 12.0, 10.405714285714286)","(3.9, 6.6, 4.6269230769230765)","(6.0, 12.5, 10.559375)","(3.1, 6.0, 3.7319999999999998)","(10.0, 18.5, 17.3375)","(18.0, 60.0, 41.875)"
14-12-2022 13:47:18.189668,"(3.9, 6.2, 5.115384615384615)","(6.5, 12.0, 10.405714285714286)","(3.9, 6.6, 4.6269230769230765)","(6.0, 12.5, 10.559375)","(3.1, 6.0, 3.7319999999999998)","(10.0, 18.5, 17.3375)","(18.0, 60.0, 41.875)"
14-12-2022 13:47:19.575247,"(3.9, 6.2, 5.115384615384615)","(6.5, 12.0, 10.405714285714286)","(3.9, 6.6, 4.6269230769230765)","(6.0, 12.5, 10.559375)","(3.1, 6.0, 3.7319999999999998)","(10.0, 18.5, 17.3375)","(18.0, 60.0, 41.875)"
14-12-2022 13:47:20.861507,"(3.9, 6.2, 5.115384615384615)","(6.5, 12.0, 10.405714285714286)","(3.9, 6.6, 4.369565217391305)","(6.0, 12.5, 10.559375)","(3.1, 6.0, 3.7319999999999998)","(10.0, 18.5, 17.3375)","(18.0, 60.0, 41.875)"
14-12-2022 13:47:22.053666,"(3.9, 6.2, 5.115384615384615)","(6.5, 12.0, 10.405714285714286)","(3.9, 6.6, 4.3304347826086955)","(6.0, 12.5, 10.559375)","(3.1, 6.0, 3.7319999999999998)","(10.0, 18.5, 17.3375)","(18.0, 60.0, 41.875)"
14-12-2022 13:47:23.264206,"(3.9, 6.2, 5.115384615384615)","(6.5, 12.0, 10.405714285714286)","(3.9, 6.6, 4.3304347826086955)","(6.0, 12.5, 10.559375)","(3.1, 6.0, 3.7319999999999998)","(10.0, 18.5, 17.3375)","(18.0, 60.0, 41.875)"
14-12-2022 13:47:24.333408,"(3.9, 6.2, 5.115384615384615)","(6.5, 12.0, 10.405714285714286)","(3.9, 6.6, 4.3304347826086955)","(6.0, 12.5, 10.559375)","(3.1, 6.0, 3.7319999999999998)","(10.0, 18.5, 17.3375)","(18.0, 60.0, 41.875)"
14-12-2022 13:47:25.384653,"(3.9, 6.2, 5.115384615384615)","(6.5, 12.0, 10.405714285714286)","(3.9, 6.6, 4.3304347826086955)","(6.0, 12.5, 10.559375)","(3.1, 6.0, 3.7319999999999998)","(10.0, 18.5, 17.3375)","(18.0, 60.0, 41.875)"
14-12-2022 13:47:26.469241,"(3.9, 6.2, 5.115384615384615)","(6.5, 12.0, 10.405714285714286)","(3.9, 6.6, 4.3304347826086955)","(6.0, 12.5, 10.559375)","(3.1, 6.0, 3.7319999999999998)","(10.0, 18.5, 17.3375)","(18.0, 60.0, 41.875)"
14-12-2022 13:47:27.555659,"(3.9, 6.2, 5.115384615384615)","(6.5, 12.0, 10.405714285714286)","(3.9, 6.6, 4.3304347826086955)","(6.0, 12.5, 10.559375)","(3.1, 6.0, 3.7319999999999998)","(10.0, 18.5, 17.3375)","(18.0, 60.0, 41.875)"
14-12-2022 13:47:28.608673,"(3.9, 6.2, 5.115384615384615)","(6.5, 12.0, 10.405714285714286)","(3.9, 6.6, 4.3304347826086955)","(6.0, 12.5, 10.559375)","(3.1, 6.0, 3.7319999999999998)","(10.0, 18.5, 17.3375)","(18.0, 60.0, 41.875)"
14-12-2022 13:47:29.729443,"(3.9, 6.2, 5.115384615384615)","(6.5, 12.0, 10.405714285714286)","(3.9, 6.6, 4.3304347826086955)","(6.0, 12.5, 10.559375)","(3.1, 6.0, 3.7319999999999998)","(10.0, 18.5, 17.3375)","(18.0, 60.0, 41.875)"
14-12-2022 13:47:30.833196,"(3.9, 6.2, 5.115384615384615)","(6.5, 12.0, 10.405714285714286)","(3.9, 6.6, 4.3304347826086955)","(6.0, 12.5, 10.559375)","(3.1, 6.0, 3.7319999999999998)","(10.0, 18.5, 17.3375)","(18.0, 60.0, 41.875)"
14-12-2022 13:47:31.991313,"(3.9, 6.2, 5.115384615384615)","(6.5, 12.0, 10.405714285714286)","(3.9, 6.6, 4.3304347826086955)","(6.0, 12.5, 10.559375)","(3.1, 6.0, 3.7319999999999998)","(10.0, 18.5, 17.3375)","(18.0, 60.0, 41.875)"
14-12-2022 13:47:33.135708,"(3.9, 6.2, 5.115384615384615)","(6.5, 12.0, 10.405714285714286)","(3.9, 6.6, 4.3304347826086955)","(6.0, 12.5, 10.559375)","(3.1, 6.0, 3.7319999999999998)","(10.0, 18.5, 17.3375)","(18.0, 60.0, 41.875)"
14-12-2022 13:47:34.339228,"(3.9, 6.2, 5.115384615384615)","(6.5, 12.0, 10.405714285714286)","(3.9, 6.6, 4.3304347826086955)","(6.0, 12.5, 10.559375)","(3.1, 6.0, 3.7319999999999998)","(10.0, 18.5, 17.3375)","(18.0, 60.0, 41.875)"
14-12-2022 13:47:35.518177,"(3.9, 6.2, 5.115384615384615)","(6.5, 12.0, 10.405714285714286)","(3.9, 6.6, 4.3304347826086955)","(6.0, 12.5, 10.559375)","(3.1, 6.0, 3.7319999999999998)","(10.0, 18.5, 17.3375)","(18.0, 60.0, 41.875)"
14-12-2022 13:47:36.648582,"(3.9, 6.2, 5.115384615384615)","(6.5, 12.0, 10.405714285714286)","(3.9, 6.6, 4.3304347826086955)","(6.0, 12.5, 10.559375)","(3.1, 6.0, 3.7319999999999998)","(10.0, 18.5, 17.3375)","(18.0, 60.0, 41.875)"
14-12-2022 13:47:37.683526,"(3.9, 6.2, 5.115384615384615)","(6.5, 12.0, 10.405714285714286)","(3.9, 6.6, 4.3304347826086955)","(6.0, 12.5, 10.559375)","(3.1, 6.0, 3.7319999999999998)","(10.0, 18.5, 15.466666666666667)","(18.0, 60.0, 33.125)"
14-12-2022 13:47:38.743629,"(3.9, 6.2, 5.115384615384615)","(6.5, 12.0, 10.405714285714286)","(3.9, 6.6, 4.3304347826086955)","(6.0, 12.5, 10.559375)","(3.1, 6.0, 3.7319999999999998)","(10.0, 18.5, 15.466666666666667)","(18.0, 60.0, 33.125)"
14-12-2022 13:47:39.874395,"(3.9, 6.2, 5.115384615384615)","(6.5, 12.0, 10.405714285714286)","(3.9, 6.6, 4.3304347826086955)","(6.0, 12.5, 10.559375)","(3.1, 6.0, 3.7319999999999998)","(10.0, 18.5, 15.466666666666667)","(18.0, 60.0, 33.125)"
