,Hartley Bale,Bollard Bobby,Line And Length,Bank On Frankie,Victory Heist,Aston Stout
09-01-2023 16:48:07.552758,"(1.8, 2.6, 1.8971428571428572)","(15.0, 48.0, 44.0)","(8.0, 15.0, 9.0)","(5.0, 9.4, 6.25)","(19.0, 55.0, 35.266666666666666)","(3.5, 5.6, 3.9499999999999997)"
09-01-2023 16:48:08.629363,"(1.8, 2.6, 1.8971428571428572)","(15.0, 48.0, 44.0)","(8.0, 15.0, 9.0)","(5.0, 9.4, 6.25)","(19.0, 55.0, 35.266666666666666)","(3.5, 5.6, 3.9499999999999997)"
09-01-2023 16:48:09.668502,"(1.8, 2.6, 1.8971428571428572)","(15.0, 48.0, 44.0)","(8.0, 15.0, 9.0)","(5.0, 9.4, 6.25)","(19.0, 55.0, 35.266666666666666)","(3.5, 5.6, 3.9499999999999997)"
09-01-2023 16:48:10.774590,"(1.8, 2.6, 1.8971428571428572)","(15.0, 48.0, 44.0)","(8.0, 15.0, 9.0)","(5.0, 9.4, 6.25)","(19.0, 55.0, 35.266666666666666)","(3.5, 5.6, 3.9499999999999997)"
09-01-2023 16:48:11.846483,"(1.8, 2.6, 1.8971428571428572)","(15.0, 48.0, 40.0)","(8.0, 15.0, 9.0)","(5.0, 9.4, 6.25)","(19.0, 55.0, 35.266666666666666)","(3.5, 5.6, 3.9499999999999997)"
09-01-2023 16:48:12.870697,"(1.8, 2.6, 1.8971428571428572)","(15.0, 48.0, 43.75)","(8.0, 15.0, 9.0)","(5.0, 9.4, 6.25)","(19.0, 55.0, 35.266666666666666)","(3.5, 5.6, 3.9499999999999997)"
09-01-2023 16:48:13.964361,"(1.8, 2.6, 1.8971428571428572)","(15.0, 48.0, 41.3)","(8.0, 15.0, 9.0)","(5.0, 9.4, 6.25)","(19.0, 55.0, 35.266666666666666)","(3.5, 5.6, 3.9499999999999997)"
09-01-2023 16:48:15.079809,"(1.8, 2.6, 1.8971428571428572)","(15.0, 48.0, 41.3)","(8.0, 15.0, 9.0)","(5.0, 9.4, 6.25)","(19.0, 55.0, 35.266666666666666)","(3.5, 5.6, 3.9499999999999997)"
09-01-2023 16:48:16.207528,"(1.8, 2.6, 1.8971428571428572)","(15.0, 48.0, 41.3)","(8.0, 15.0, 9.0)","(5.0, 9.4, 6.25)","(19.0, 55.0, 35.266666666666666)","(3.5, 5.6, 3.9499999999999997)"
09-01-2023 16:48:17.314575,"(1.8, 2.6, 1.8971428571428572)","(15.0, 48.0, 41.3)","(8.0, 15.0, 9.0)","(5.0, 9.4, 6.25)","(19.0, 55.0, 35.266666666666666)","(3.5, 5.6, 3.9499999999999997)"
09-01-2023 16:48:18.362925,"(1.8, 2.6, 1.8971428571428572)","(15.0, 48.0, 39.875)","(8.0, 15.0, 9.0)","(5.0, 9.4, 6.25)","(19.0, 55.0, 35.266666666666666)","(3.5, 5.6, 3.9499999999999997)"
09-01-2023 16:48:19.388374,"(1.8, 2.6, 1.8971428571428572)","(15.0, 48.0, 39.875)","(8.0, 15.0, 9.0)","(5.0, 9.4, 6.25)","(19.0, 55.0, 35.266666666666666)","(3.5, 5.6, 3.9499999999999997)"
09-01-2023 16:48:20.394151,"(1.8, 2.6, 1.8971428571428572)","(15.0, 48.0, 39.875)","(8.0, 15.0, 9.0)","(5.0, 9.4, 6.25)","(19.0, 55.0, 35.266666666666666)","(3.5, 5.6, 3.9499999999999997)"
09-01-2023 16:48:21.452570,"(1.8, 2.6, 1.8971428571428572)","(15.0, 55.0, 48.875)","(8.0, 15.0, 9.0)","(5.0, 9.4, 6.25)","(19.0, 55.0, 35.266666666666666)","(3.5, 5.6, 3.9499999999999997)"
09-01-2023 16:48:22.567714,"(1.8, 2.6, 1.8971428571428572)","(15.0, 60.0, 49.0)","(8.0, 15.0, 9.0)","(5.0, 9.4, 6.25)","(19.0, 55.0, 35.266666666666666)","(3.5, 5.8, 3.992857142857143)"
09-01-2023 16:48:23.677941,"(1.8, 2.6, 1.8971428571428572)","(15.0, 60.0, 49.0)","(8.0, 15.0, 9.0)","(5.0, 9.4, 6.25)","(19.0, 55.0, 35.266666666666666)","(3.5, 5.8, 3.992857142857143)"
09-01-2023 16:48:24.763735,"(1.8, 2.6, 1.8971428571428572)","(15.0, 60.0, 49.0)","(8.0, 15.0, 9.0)","(5.0, 9.4, 6.25)","(19.0, 55.0, 35.266666666666666)","(3.5, 5.8, 3.992857142857143)"
09-01-2023 16:48:25.861775,"(1.8, 2.6, 1.8971428571428572)","(15.0, 60.0, 49.0)","(8.0, 15.0, 9.0)","(5.0, 9.4, 6.25)","(19.0, 55.0, 35.266666666666666)","(3.5, 5.8, 3.992857142857143)"
09-01-2023 16:48:26.887047,"(1.8, 2.6, 1.8971428571428572)","(15.0, 60.0, 49.0)","(8.0, 15.0, 9.0)","(5.0, 9.4, 6.25)","(19.0, 55.0, 35.266666666666666)","(3.5, 5.8, 3.992857142857143)"
09-01-2023 16:48:27.922681,"(1.8, 2.56, 1.8210526315789475)","(15.0, 60.0, 49.0)","(8.0, 15.0, 9.0)","(5.0, 9.4, 6.25)","(19.0, 55.0, 35.266666666666666)","(3.5, 5.8, 3.992857142857143)"
09-01-2023 16:48:29.032390,"(1.8, 2.56, 1.8210526315789475)","(15.0, 60.0, 49.0)","(8.0, 15.0, 9.0)","(5.0, 9.4, 6.25)","(19.0, 55.0, 35.266666666666666)","(3.5, 5.8, 3.992857142857143)"
09-01-2023 16:48:30.080327,"(1.8, 2.54, 1.8885714285714286)","(15.0, 60.0, 49.0)","(8.0, 15.0, 9.0)","(5.0, 9.4, 6.25)","(19.0, 55.0, 35.266666666666666)","(3.5, 5.8, 3.992857142857143)"
09-01-2023 16:48:31.065537,"(1.8, 2.54, 1.8885714285714286)","(15.0, 60.0, 49.0)","(8.0, 15.0, 9.0)","(5.0, 9.4, 6.25)","(19.0, 55.0, 39.583333333333336)","(3.5, 5.8, 3.992857142857143)"
09-01-2023 16:48:32.173678,"(1.8, 2.54, 1.8885714285714286)","(15.0, 60.0, 54.5625)","(8.0, 15.0, 9.0)","(5.0, 9.4, 6.25)","(19.0, 50.0, 36.666666666666664)","(3.5, 5.8, 3.992857142857143)"
09-01-2023 16:48:33.291304,"(1.8, 2.54, 1.8885714285714286)","(15.0, 60.0, 54.5625)","(8.0, 15.0, 9.0)","(5.0, 9.4, 6.25)","(19.0, 50.0, 36.666666666666664)","(3.5, 5.8, 3.992857142857143)"
09-01-2023 16:48:34.427358,"(1.8, 2.54, 1.8885714285714286)","(15.0, 60.0, 54.5625)","(8.0, 15.0, 9.0)","(5.0, 9.4, 6.25)","(19.0, 50.0, 36.666666666666664)","(3.5, 5.8, 3.992857142857143)"
09-01-2023 16:48:35.443817,"(1.8, 2.54, 1.8885714285714286)","(15.0, 60.0, 54.5625)","(8.0, 15.0, 9.0)","(5.0, 9.4, 6.25)","(19.0, 50.0, 30.625)","(3.5, 5.8, 3.992857142857143)"
09-01-2023 16:48:36.469723,"(1.8, 2.54, 1.8885714285714286)","(15.0, 60.0, 54.5625)","(8.0, 15.0, 9.0)","(5.0, 9.4, 6.25)","(19.0, 50.0, 30.625)","(3.5, 5.8, 3.992857142857143)"
09-01-2023 16:48:37.548853,"(1.8, 2.54, 1.8885714285714286)","(15.0, 60.0, 54.5625)","(8.0, 15.0, 9.0)","(5.0, 9.4, 6.25)","(19.0, 50.0, 27.454545454545453)","(3.5, 5.8, 3.992857142857143)"
09-01-2023 16:48:38.626350,"(1.8, 2.54, 1.8885714285714286)","(15.0, 60.0, 54.5625)","(8.0, 15.0, 9.0)","(5.0, 9.4, 6.25)","(19.0, 50.0, 27.81818181818182)","(3.5, 5.8, 3.992857142857143)"
09-01-2023 16:48:39.637750,"(1.8, 2.54, 1.8885714285714286)","(15.0, 60.0, 54.5625)","(8.0, 15.0, 9.0)","(5.0, 9.4, 6.25)","(19.0, 50.0, 27.81818181818182)","(3.5, 5.8, 3.992857142857143)"
09-01-2023 16:48:40.652229,"(1.8, 2.54, 1.8885714285714286)","(15.0, 60.0, 54.5625)","(8.0, 15.0, 9.0)","(5.0, 9.4, 6.25)","(19.0, 50.0, 27.81818181818182)","(3.5, 5.8, 3.992857142857143)"
09-01-2023 16:48:41.756245,"(1.8, 2.54, 1.8885714285714286)","(15.0, 60.0, 49.25)","(8.0, 15.0, 9.0)","(5.0, 9.4, 6.25)","(19.0, 50.0, 27.81818181818182)","(3.5, 5.8, 3.992857142857143)"
09-01-2023 16:48:42.864438,"(1.8, 2.54, 1.8885714285714286)","(15.0, 60.0, 49.25)","(8.0, 15.0, 9.0)","(5.0, 9.4, 6.25)","(19.0, 50.0, 27.81818181818182)","(3.5, 5.8, 3.992857142857143)"
09-01-2023 16:48:43.897794,"(1.8, 2.54, 1.8885714285714286)","(15.0, 60.0, 49.25)","(8.0, 15.0, 9.0)","(5.0, 9.4, 6.25)","(19.0, 50.0, 27.81818181818182)","(3.5, 5.8, 3.992857142857143)"
09-01-2023 16:48:45.005187,"(1.8, 2.54, 1.8885714285714286)","(15.0, 60.0, 49.25)","(8.0, 15.0, 9.0)","(5.0, 9.4, 6.25)","(19.0, 50.0, 27.81818181818182)","(3.5, 5.8, 3.992857142857143)"
09-01-2023 16:48:46.029885,"(1.8, 2.54, 1.8885714285714286)","(15.0, 60.0, 49.25)","(8.0, 15.0, 9.0)","(5.0, 9.4, 6.25)","(19.0, 50.0, 27.81818181818182)","(3.5, 5.8, 3.992857142857143)"
09-01-2023 16:48:47.059950,"(1.8, 2.54, 1.8885714285714286)","(15.0, 60.0, 49.25)","(8.0, 15.0, 9.0)","(5.0, 9.4, 6.25)","(19.0, 50.0, 27.81818181818182)","(3.5, 5.8, 3.992857142857143)"
09-01-2023 16:48:47.998553,"(1.8, 2.54, 1.8885714285714286)","(15.0, 60.0, 49.25)","(8.0, 15.0, 9.0)","(5.0, 9.4, 6.25)","(19.0, 50.0, 27.81818181818182)","(3.5, 5.8, 3.992857142857143)"
09-01-2023 16:48:49.095814,"(1.8, 2.54, 1.8885714285714286)","(15.0, 60.0, 49.25)","(8.0, 15.0, 9.0)","(5.0, 9.4, 6.25)","(19.0, 50.0, 27.81818181818182)","(3.5, 5.8, 3.992857142857143)"
09-01-2023 16:48:50.294932,"(1.8, 2.54, 1.8885714285714286)","(15.0, 60.0, 49.25)","(8.0, 15.0, 9.0)","(5.0, 9.4, 6.25)","(19.0, 50.0, 27.81818181818182)","(3.5, 5.8, 3.992857142857143)"
09-01-2023 16:48:51.370902,"(1.8, 2.54, 1.8885714285714286)","(15.0, 60.0, 49.25)","(8.0, 15.0, 9.0)","(5.0, 9.4, 6.25)","(19.0, 50.0, 27.81818181818182)","(3.5, 5.8, 3.992857142857143)"
09-01-2023 16:48:52.339462,"(1.8, 2.54, 1.8885714285714286)","(15.0, 60.0, 49.25)","(8.0, 15.0, 9.0)","(5.0, 9.4, 6.25)","(19.0, 50.0, 27.81818181818182)","(3.5, 5.8, 3.992857142857143)"
09-01-2023 16:48:53.356454,"(1.8, 2.54, 1.8885714285714286)","(15.0, 60.0, 49.25)","(8.0, 15.0, 9.0)","(5.0, 9.4, 6.25)","(19.0, 50.0, 27.81818181818182)","(3.5, 5.8, 3.992857142857143)"
09-01-2023 16:48:54.461779,"(1.8, 2.54, 1.8885714285714286)","(15.0, 60.0, 49.25)","(8.0, 15.0, 9.0)","(5.0, 9.4, 6.25)","(19.0, 50.0, 27.81818181818182)","(3.5, 5.8, 3.992857142857143)"
09-01-2023 16:48:55.538040,"(1.8, 2.54, 1.8885714285714286)","(15.0, 60.0, 49.25)","(8.0, 15.0, 9.0)","(5.0, 9.4, 6.25)","(19.0, 50.0, 27.81818181818182)","(3.5, 5.8, 3.992857142857143)"
09-01-2023 16:48:56.518573,"(1.8, 2.54, 1.8885714285714286)","(15.0, 60.0, 49.25)","(8.0, 15.0, 9.0)","(5.0, 9.4, 6.25)","(19.0, 50.0, 27.81818181818182)","(3.5, 5.8, 3.992857142857143)"
09-01-2023 16:48:57.577022,"(1.8, 2.54, 1.8885714285714286)","(15.0, 60.0, 49.25)","(8.0, 15.0, 9.0)","(5.0, 9.4, 6.25)","(19.0, 50.0, 27.81818181818182)","(3.5, 5.8, 3.992857142857143)"
09-01-2023 16:48:58.795362,"(1.8, 2.54, 1.8885714285714286)","(15.0, 60.0, 49.25)","(8.0, 15.0, 10.333333333333334)","(5.0, 9.4, 6.25)","(19.0, 50.0, 30.9375)","(3.5, 5.8, 3.992857142857143)"
09-01-2023 16:48:59.945458,"(1.8, 2.54, 1.8885714285714286)","(15.0, 60.0, 49.25)","(8.0, 15.0, 10.333333333333334)","(5.0, 9.4, 6.25)","(19.0, 50.0, 30.9375)","(3.5, 5.8, 3.992857142857143)"
09-01-2023 16:49:01.030631,"(1.8, 2.54, 1.8885714285714286)","(15.0, 60.0, 49.25)","(8.0, 15.0, 10.333333333333334)","(5.0, 9.4, 6.25)","(19.0, 50.0, 30.9375)","(3.5, 5.8, 3.992857142857143)"
09-01-2023 16:49:02.173278,"(1.8, 2.54, 1.8885714285714286)","(15.0, 60.0, 49.25)","(8.0, 15.0, 10.333333333333334)","(5.0, 9.4, 6.25)","(19.0, 50.0, 30.9375)","(3.5, 5.8, 3.992857142857143)"
09-01-2023 16:49:03.241888,"(1.8, 2.54, 1.8885714285714286)","(15.0, 60.0, 49.25)","(8.0, 15.0, 10.333333333333334)","(5.0, 9.4, 6.25)","(19.0, 50.0, 30.9375)","(3.5, 5.8, 3.992857142857143)"
09-01-2023 16:49:04.438328,"(1.8, 2.54, 1.8885714285714286)","(15.0, 60.0, 49.375)","(8.0, 15.0, 10.333333333333334)","(5.0, 9.4, 6.25)","(19.0, 50.0, 32.8125)","(3.5, 5.8, 3.992857142857143)"
09-01-2023 16:49:05.556271,"(1.8, 2.54, 1.8885714285714286)","(15.0, 60.0, 49.375)","(8.0, 15.0, 10.333333333333334)","(5.0, 9.4, 6.25)","(19.0, 55.0, 32.8125)","(3.5, 5.8, 3.992857142857143)"
09-01-2023 16:49:06.614580,"(1.8, 2.54, 1.8885714285714286)","(15.0, 60.0, 49.375)","(8.0, 15.0, 10.333333333333334)","(5.0, 9.4, 6.25)","(19.0, 55.0, 32.8125)","(3.5, 5.8, 3.992857142857143)"
09-01-2023 16:49:07.597210,"(1.8, 2.54, 1.8885714285714286)","(15.0, 60.0, 49.375)","(8.0, 15.0, 10.333333333333334)","(5.0, 9.4, 6.25)","(19.0, 55.0, 32.8125)","(3.5, 5.8, 3.992857142857143)"
09-01-2023 16:49:08.716908,"(1.8, 2.54, 1.8885714285714286)","(15.0, 60.0, 49.375)","(8.0, 15.0, 10.333333333333334)","(5.0, 9.4, 6.25)","(19.0, 55.0, 32.8125)","(3.5, 5.8, 3.992857142857143)"
09-01-2023 16:49:09.807171,"(1.8, 2.54, 1.8885714285714286)","(15.0, 60.0, 49.375)","(8.0, 15.0, 10.333333333333334)","(5.0, 9.4, 6.25)","(19.0, 55.0, 32.8125)","(3.5, 5.8, 3.992857142857143)"
09-01-2023 16:49:10.813464,"(1.8, 2.54, 1.8885714285714286)","(15.0, 60.0, 49.375)","(8.0, 15.0, 10.333333333333334)","(5.0, 9.4, 6.25)","(19.0, 55.0, 32.8125)","(3.5, 5.8, 3.992857142857143)"
09-01-2023 16:49:11.832588,"(1.8, 2.54, 1.8885714285714286)","(15.0, 60.0, 49.375)","(8.0, 15.0, 10.333333333333334)","(5.0, 9.4, 6.25)","(19.0, 55.0, 32.8125)","(3.5, 5.8, 3.992857142857143)"
09-01-2023 16:49:12.925869,"(1.8, 2.54, 1.8885714285714286)","(15.0, 60.0, 49.375)","(8.0, 15.0, 10.333333333333334)","(5.0, 9.4, 6.25)","(19.0, 55.0, 32.8125)","(3.5, 5.8, 3.992857142857143)"
09-01-2023 16:49:13.992174,"(1.8, 2.54, 1.8885714285714286)","(15.0, 60.0, 49.375)","(8.0, 15.0, 10.333333333333334)","(5.0, 9.4, 6.25)","(19.0, 55.0, 32.8125)","(3.5, 5.8, 3.992857142857143)"
09-01-2023 16:49:14.959356,"(1.8, 2.54, 1.8885714285714286)","(15.0, 60.0, 49.375)","(8.0, 15.0, 10.333333333333334)","(5.0, 9.4, 6.25)","(19.0, 55.0, 32.8125)","(3.5, 5.8, 3.992857142857143)"
09-01-2023 16:49:16.038208,"(1.8, 2.54, 1.8885714285714286)","(15.0, 60.0, 49.375)","(8.0, 15.0, 10.333333333333334)","(5.0, 9.4, 6.25)","(19.0, 55.0, 32.8125)","(3.5, 5.8, 3.992857142857143)"
09-01-2023 16:49:17.166501,"(1.8, 2.54, 1.8885714285714286)","(15.0, 60.0, 49.375)","(8.0, 15.0, 10.333333333333334)","(5.0, 9.4, 6.25)","(19.0, 55.0, 32.8125)","(3.5, 5.8, 3.992857142857143)"
09-01-2023 16:49:18.276288,"(1.8, 2.54, 1.8885714285714286)","(15.0, 60.0, 49.375)","(8.0, 15.0, 10.333333333333334)","(5.0, 9.4, 6.25)","(19.0, 55.0, 32.8125)","(3.5, 5.8, 3.992857142857143)"
09-01-2023 16:49:19.312958,"(1.8, 2.54, 1.8885714285714286)","(15.0, 60.0, 49.375)","(8.0, 15.0, 10.333333333333334)","(5.0, 9.4, 6.25)","(19.0, 55.0, 32.8125)","(3.5, 5.8, 3.992857142857143)"
09-01-2023 16:49:20.304553,"(1.8, 2.54, 1.8885714285714286)","(15.0, 60.0, 49.375)","(8.0, 15.0, 10.333333333333334)","(5.0, 9.4, 6.25)","(19.0, 55.0, 32.8125)","(3.5, 5.8, 3.992857142857143)"
09-01-2023 16:49:21.445469,"(1.8, 2.54, 1.8885714285714286)","(15.0, 60.0, 49.375)","(8.0, 15.0, 10.333333333333334)","(5.0, 9.4, 6.25)","(19.0, 55.0, 32.8125)","(3.5, 5.8, 3.992857142857143)"
09-01-2023 16:49:22.532269,"(1.8, 2.54, 1.8885714285714286)","(15.0, 60.0, 48.875)","(8.0, 15.0, 10.333333333333334)","(5.0, 9.4, 6.25)","(19.0, 55.0, 32.8125)","(3.5, 5.8, 3.992857142857143)"
09-01-2023 16:49:23.536666,"(1.8, 2.54, 1.8885714285714286)","(15.0, 60.0, 49.0)","(8.0, 15.0, 10.333333333333334)","(5.0, 9.4, 6.25)","(19.0, 55.0, 32.8125)","(3.5, 5.8, 3.992857142857143)"
09-01-2023 16:49:24.650322,"(1.8, 2.54, 1.8885714285714286)","(15.0, 60.0, 49.0)","(8.0, 15.0, 10.333333333333334)","(5.0, 9.4, 6.25)","(19.0, 55.0, 32.8125)","(3.5, 5.8, 3.992857142857143)"
09-01-2023 16:49:25.800942,"(1.8, 2.54, 1.8885714285714286)","(15.0, 60.0, 49.0)","(8.0, 15.0, 10.333333333333334)","(5.0, 9.4, 6.25)","(19.0, 55.0, 32.8125)","(3.5, 5.8, 3.992857142857143)"
09-01-2023 16:49:26.808755,"(1.8, 2.54, 1.8885714285714286)","(15.0, 60.0, 49.0)","(8.0, 15.0, 10.333333333333334)","(5.0, 9.4, 6.25)","(19.0, 55.0, 32.8125)","(3.5, 5.8, 3.992857142857143)"
09-01-2023 16:49:27.885285,"(1.8, 2.54, 1.8885714285714286)","(15.0, 60.0, 49.0)","(8.0, 15.0, 10.333333333333334)","(5.0, 9.4, 6.25)","(19.0, 55.0, 32.8125)","(3.5, 5.8, 3.992857142857143)"
09-01-2023 16:49:28.946461,"(1.8, 2.54, 1.8885714285714286)","(15.0, 60.0, 49.0)","(8.0, 15.0, 10.333333333333334)","(5.0, 9.4, 6.25)","(19.0, 55.0, 32.8125)","(3.5, 5.8, 3.992857142857143)"
09-01-2023 16:49:30.029341,"(1.8, 2.54, 1.8885714285714286)","(15.0, 60.0, 49.0)","(8.0, 15.0, 10.333333333333334)","(5.0, 9.4, 6.25)","(19.0, 55.0, 32.8125)","(3.5, 5.8, 3.992857142857143)"
09-01-2023 16:49:31.058139,"(1.8, 2.54, 1.8885714285714286)","(15.0, 60.0, 49.0)","(8.0, 15.0, 10.333333333333334)","(5.0, 9.4, 6.25)","(19.0, 55.0, 32.8125)","(3.5, 5.8, 3.992857142857143)"
09-01-2023 16:49:32.077173,"(1.8, 2.54, 1.8885714285714286)","(15.0, 60.0, 49.0)","(8.0, 15.0, 10.333333333333334)","(5.0, 9.4, 6.25)","(19.0, 55.0, 32.8125)","(3.5, 5.8, 3.992857142857143)"
09-01-2023 16:49:33.225472,"(1.8, 2.54, 1.8885714285714286)","(15.0, 60.0, 49.0)","(8.0, 15.0, 10.333333333333334)","(5.0, 9.4, 6.25)","(19.0, 55.0, 32.8125)","(3.5, 5.8, 3.992857142857143)"
09-01-2023 16:49:34.375010,"(1.8, 2.54, 1.8885714285714286)","(15.0, 60.0, 49.0)","(8.0, 15.0, 10.333333333333334)","(5.0, 9.4, 6.25)","(19.0, 55.0, 32.8125)","(3.5, 5.8, 3.992857142857143)"
09-01-2023 16:49:35.472825,"(1.8, 2.54, 1.8885714285714286)","(15.0, 60.0, 49.0)","(8.0, 15.0, 10.333333333333334)","(5.0, 9.4, 6.25)","(19.0, 55.0, 32.8125)","(3.5, 5.8, 3.992857142857143)"
09-01-2023 16:49:36.478889,"(1.8, 2.54, 1.8885714285714286)","(15.0, 60.0, 49.0)","(8.0, 15.0, 10.333333333333334)","(5.0, 9.4, 6.25)","(19.0, 55.0, 32.8125)","(3.5, 5.8, 3.992857142857143)"
09-01-2023 16:49:37.545126,"(1.8, 2.54, 1.8885714285714286)","(15.0, 60.0, 49.0)","(8.0, 15.0, 10.333333333333334)","(5.0, 9.4, 6.25)","(19.0, 55.0, 32.8125)","(3.5, 5.8, 3.992857142857143)"
09-01-2023 16:49:38.676425,"(1.8, 2.54, 1.8885714285714286)","(15.0, 60.0, 49.0)","(8.0, 15.0, 10.333333333333334)","(5.0, 9.4, 6.25)","(19.0, 55.0, 32.8125)","(3.5, 5.8, 3.992857142857143)"
09-01-2023 16:49:39.691487,"(1.8, 2.54, 1.8885714285714286)","(15.0, 60.0, 49.0)","(8.0, 15.0, 9.0)","(5.0, 9.4, 6.25)","(19.0, 55.0, 29.18181818181818)","(3.5, 5.8, 3.992857142857143)"
09-01-2023 16:49:40.798186,"(1.8, 2.54, 1.8885714285714286)","(15.0, 60.0, 54.5)","(8.0, 15.0, 9.0)","(5.0, 9.4, 6.25)","(19.0, 55.0, 29.18181818181818)","(3.5, 5.8, 3.992857142857143)"
09-01-2023 16:49:41.881771,"(1.8, 2.54, 1.8885714285714286)","(15.0, 60.0, 49.0)","(8.0, 15.0, 9.0)","(5.0, 9.4, 6.25)","(19.0, 55.0, 29.18181818181818)","(3.5, 5.8, 3.992857142857143)"
09-01-2023 16:49:42.989746,"(1.8, 2.54, 1.8885714285714286)","(15.0, 60.0, 49.0)","(8.0, 15.0, 9.0)","(5.0, 9.4, 6.25)","(19.0, 55.0, 29.18181818181818)","(3.5, 5.8, 3.992857142857143)"
09-01-2023 16:49:43.944383,"(1.8, 2.54, 1.8885714285714286)","(15.0, 60.0, 49.0)","(8.0, 15.0, 9.0)","(5.0, 9.4, 6.25)","(19.0, 55.0, 29.18181818181818)","(3.5, 5.8, 3.992857142857143)"
09-01-2023 16:49:44.954839,"(1.8, 2.54, 1.8885714285714286)","(15.0, 60.0, 49.0)","(8.0, 15.0, 9.0)","(5.0, 9.4, 6.25)","(19.0, 55.0, 29.18181818181818)","(3.5, 5.8, 3.992857142857143)"
09-01-2023 16:49:46.086208,"(1.8, 2.54, 1.8885714285714286)","(15.0, 60.0, 49.0)","(8.0, 15.0, 9.0)","(5.0, 9.4, 6.25)","(19.0, 55.0, 29.18181818181818)","(3.5, 5.8, 3.992857142857143)"
