,Daddysruby,Carmel By The Sea,Forever Lovely,Blazin Bae,Vintage,Lady Of The Light,Like No Other,Rose Of Mooncoin,Fourth Street,Smile And Profile
08-01-2023 09:19:31.639032,"(12.0, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)","(26.0, 99999, 99990)","(7.0, 99999, 99990)","(18.0, 99999, 99990)","(6.0, 99999, 99990)","(4.2, 99999, 99990)","(3.6, 99999, 99990)","(8.5, 99999, 99990)"
08-01-2023 09:19:32.723920,"(12.0, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)","(26.0, 99999, 99990)","(7.0, 99999, 99990)","(18.0, 99999, 99990)","(6.0, 99999, 99990)","(4.2, 99999, 99990)","(3.6, 99999, 99990)","(8.5, 99999, 99990)"
08-01-2023 09:19:33.848473,"(12.0, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)","(26.0, 99999, 99990)","(7.0, 99999, 99990)","(18.0, 99999, 99990)","(6.0, 99999, 99990)","(4.2, 99999, 99990)","(3.6, 99999, 99990)","(8.5, 99999, 99990)"
08-01-2023 09:19:34.941516,"(12.0, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)","(26.0, 99999, 99990)","(7.0, 99999, 99990)","(18.0, 99999, 99990)","(6.0, 99999, 99990)","(4.2, 99999, 99990)","(3.6, 99999, 99990)","(8.5, 99999, 99990)"
08-01-2023 09:19:36.042528,"(12.0, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)","(26.0, 99999, 99990)","(7.0, 99999, 99990)","(18.0, 99999, 99990)","(6.0, 99999, 99990)","(4.2, 99999, 99990)","(3.6, 99999, 99990)","(8.5, 99999, 99990)"
08-01-2023 09:19:37.140556,"(12.0, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)","(26.0, 99999, 99990)","(7.0, 99999, 99990)","(18.0, 99999, 99990)","(6.0, 99999, 99990)","(4.2, 99999, 99990)","(3.6, 99999, 99990)","(8.5, 99999, 99990)"
08-01-2023 09:19:38.227043,"(12.0, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)","(26.0, 99999, 99990)","(7.0, 99999, 99990)","(18.0, 99999, 99990)","(6.0, 99999, 99990)","(4.2, 99999, 99990)","(3.6, 99999, 99990)","(8.5, 99999, 99990)"
08-01-2023 09:19:39.329636,"(12.0, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)","(26.0, 99999, 99990)","(7.0, 99999, 99990)","(18.0, 99999, 99990)","(6.0, 99999, 99990)","(4.2, 99999, 99990)","(3.6, 99999, 99990)","(8.5, 99999, 99990)"
08-01-2023 09:19:40.413859,"(12.0, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)","(26.0, 99999, 99990)","(7.0, 99999, 99990)","(18.0, 99999, 99990)","(6.0, 99999, 99990)","(4.2, 99999, 99990)","(3.6, 99999, 99990)","(8.5, 99999, 99990)"
08-01-2023 09:19:41.501620,"(12.0, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)","(26.0, 99999, 99990)","(7.0, 99999, 99990)","(18.0, 99999, 99990)","(6.0, 99999, 99990)","(4.2, 99999, 99990)","(3.6, 99999, 99990)","(8.5, 99999, 99990)"
08-01-2023 09:19:42.601683,"(12.0, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)","(26.0, 99999, 99990)","(7.0, 99999, 99990)","(18.0, 99999, 99990)","(6.0, 99999, 99990)","(4.2, 99999, 99990)","(3.6, 99999, 99990)","(8.5, 99999, 99990)"
08-01-2023 09:19:43.706892,"(12.0, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)","(26.0, 99999, 99990)","(7.0, 99999, 99990)","(18.0, 99999, 99990)","(6.0, 99999, 99990)","(4.2, 99999, 99990)","(3.6, 99999, 99990)","(8.5, 99999, 99990)"
08-01-2023 09:19:44.798626,"(12.0, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)","(26.0, 99999, 99990)","(7.0, 99999, 99990)","(18.0, 99999, 99990)","(6.0, 99999, 99990)","(4.2, 99999, 99990)","(3.6, 99999, 99990)","(8.5, 99999, 99990)"
08-01-2023 09:19:45.909650,"(12.0, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)","(26.0, 99999, 99990)","(7.0, 99999, 99990)","(18.0, 99999, 99990)","(6.0, 99999, 99990)","(4.2, 99999, 99990)","(3.6, 99999, 99990)","(8.5, 99999, 99990)"
