,Im Indigo,Moyarra Minstrel,Bushmans Prayer,Bold Linda,Honest Thief,Chappys Cosmog,Kraken Skye,Dark Krystal
15-12-2022 12:06:16.212411,"(5.5, 8.2, 6.0)","(14.0, 30.0, 24.833333333333336)","(7.0, 10.0, 8.8)","(7.5, 13.5, 12.02)","(19.0, 60.0, 37.5)","(3.4, 4.6, 4.133333333333333)","(3.6, 6.0, 5.216666666666667)","(7.0, 16.5, 13.599999999999998)"
15-12-2022 12:06:17.456084,"(5.5, 8.2, 6.0)","(14.0, 30.0, 24.833333333333336)","(7.0, 10.0, 8.8)","(7.5, 13.5, 12.02)","(19.0, 60.0, 37.5)","(3.4, 4.6, 4.155555555555555)","(3.6, 6.0, 5.342857142857143)","(7.0, 16.5, 12.857142857142858)"
15-12-2022 12:06:18.691330,"(5.5, 8.2, 6.0)","(14.0, 30.0, 24.833333333333336)","(7.0, 10.0, 8.8)","(7.5, 13.5, 12.02)","(19.0, 60.0, 37.5)","(3.4, 4.6, 4.155555555555555)","(3.6, 6.0, 5.342857142857143)","(7.0, 16.5, 12.857142857142858)"
15-12-2022 12:06:19.900356,"(5.5, 8.2, 6.0)","(14.0, 30.0, 24.833333333333336)","(7.0, 10.0, 8.8)","(7.5, 13.5, 12.02)","(19.0, 60.0, 37.5)","(3.4, 4.6, 4.057142857142857)","(3.6, 6.0, 5.342857142857143)","(7.0, 16.5, 12.857142857142858)"
15-12-2022 12:06:21.089236,"(5.5, 8.2, 6.0)","(14.0, 30.0, 23.8)","(7.0, 10.0, 8.8)","(7.5, 13.5, 11.35)","(19.0, 60.0, 37.5)","(3.4, 4.6, 4.057142857142857)","(3.6, 6.0, 4.366666666666666)","(7.0, 16.5, 12.857142857142858)"
15-12-2022 12:06:22.463475,"(5.5, 8.2, 6.0)","(14.0, 30.0, 24.833333333333336)","(7.0, 10.0, 8.8)","(7.5, 13.5, 11.35)","(19.0, 60.0, 37.5)","(3.4, 4.6, 4.057142857142857)","(3.6, 6.0, 4.366666666666666)","(7.0, 16.5, 12.857142857142858)"
15-12-2022 12:06:23.613446,"(5.5, 8.2, 6.0)","(14.0, 30.0, 24.833333333333336)","(7.0, 10.0, 8.8)","(7.5, 13.5, 11.35)","(19.0, 60.0, 37.5)","(3.4, 4.6, 4.2)","(3.6, 6.0, 5.314285714285715)","(7.0, 16.5, 12.857142857142858)"
15-12-2022 12:06:24.774374,"(5.5, 8.2, 6.0)","(14.0, 30.0, 24.833333333333336)","(7.0, 10.0, 8.8)","(7.5, 13.5, 11.35)","(19.0, 60.0, 37.5)","(3.4, 4.6, 4.2)","(3.6, 6.0, 5.1)","(7.0, 16.5, 12.857142857142858)"
15-12-2022 12:06:25.898405,"(5.5, 8.2, 6.0)","(14.0, 30.0, 24.833333333333336)","(7.0, 10.0, 8.8)","(7.5, 13.5, 11.86)","(19.0, 60.0, 37.5)","(3.4, 4.6, 3.817647058823529)","(3.6, 6.0, 5.1)","(7.0, 16.5, 13.8)"
15-12-2022 12:06:27.019631,"(5.5, 8.2, 6.0)","(14.0, 30.0, 24.833333333333336)","(7.0, 10.0, 8.8)","(7.5, 13.5, 11.86)","(19.0, 60.0, 37.5)","(3.4, 4.6, 3.789473684210526)","(3.6, 6.0, 4.714285714285714)","(7.0, 16.5, 13.8)"
15-12-2022 12:06:28.125802,"(5.5, 8.2, 6.0)","(14.0, 30.0, 25.0)","(7.0, 10.0, 8.8)","(7.5, 13.5, 11.86)","(19.0, 60.0, 37.5)","(3.4, 4.6, 3.863157894736842)","(3.6, 6.0, 5.022222222222222)","(7.0, 16.5, 13.8)"
15-12-2022 12:06:29.197841,"(5.5, 8.2, 6.0)","(14.0, 30.0, 25.0)","(7.0, 10.0, 8.8)","(7.5, 13.5, 11.86)","(19.0, 60.0, 37.5)","(3.4, 4.6, 3.863157894736842)","(3.6, 6.0, 4.646153846153846)","(7.0, 16.5, 13.8)"
15-12-2022 12:06:30.201854,"(5.5, 8.2, 6.0)","(14.0, 30.0, 25.0)","(7.0, 10.0, 8.8)","(7.5, 13.5, 11.86)","(19.0, 60.0, 37.5)","(3.4, 4.6, 3.863157894736842)","(3.6, 6.0, 4.646153846153846)","(7.0, 16.5, 13.8)"
15-12-2022 12:06:31.298064,"(5.5, 8.2, 6.0)","(14.0, 30.0, 25.0)","(7.0, 10.0, 8.8)","(7.5, 13.5, 11.86)","(19.0, 60.0, 37.5)","(3.4, 4.6, 3.7352941176470584)","(3.6, 6.0, 4.363636363636363)","(7.0, 16.5, 13.8)"
15-12-2022 12:06:32.371310,"(5.5, 8.2, 6.0)","(14.0, 30.0, 25.0)","(7.0, 10.0, 8.8)","(7.5, 13.5, 11.86)","(19.0, 60.0, 37.5)","(3.4, 4.6, 3.7352941176470584)","(3.6, 6.0, 3.822222222222222)","(7.0, 16.5, 13.8)"
15-12-2022 12:06:33.436883,"(5.5, 8.2, 6.0)","(14.0, 30.0, 25.0)","(7.0, 10.0, 8.8)","(7.5, 13.5, 11.86)","(19.0, 60.0, 37.5)","(3.4, 4.6, 3.863157894736842)","(3.6, 6.0, 4.646153846153846)","(7.0, 16.5, 13.114285714285714)"
15-12-2022 12:06:34.552304,"(5.5, 8.2, 6.0)","(14.0, 30.0, 25.0)","(7.0, 10.0, 8.8)","(7.5, 13.5, 11.86)","(19.0, 60.0, 37.5)","(3.4, 4.6, 3.863157894736842)","(3.6, 6.0, 4.646153846153846)","(7.0, 16.5, 13.114285714285714)"
15-12-2022 12:06:35.645264,"(5.5, 8.2, 6.0)","(14.0, 30.0, 25.0)","(7.0, 10.0, 8.8)","(7.5, 13.5, 11.86)","(19.0, 60.0, 37.5)","(3.4, 4.6, 3.863157894736842)","(3.6, 6.0, 4.646153846153846)","(7.0, 16.5, 13.114285714285714)"
15-12-2022 12:06:36.710864,"(5.5, 8.2, 6.0)","(14.0, 30.0, 25.0)","(7.0, 10.0, 8.8)","(7.5, 13.5, 11.86)","(19.0, 60.0, 37.5)","(3.4, 4.6, 3.776470588235294)","(3.6, 6.0, 3.822222222222222)","(7.0, 16.5, 13.114285714285714)"
15-12-2022 12:06:37.769656,"(5.5, 8.2, 6.0)","(14.0, 30.0, 25.0)","(7.0, 10.0, 8.8)","(7.5, 13.5, 11.86)","(19.0, 60.0, 37.5)","(3.4, 4.6, 3.7352941176470584)","(3.6, 6.0, 3.822222222222222)","(7.0, 16.5, 13.114285714285714)"
15-12-2022 12:06:38.789060,"(5.5, 8.2, 6.0)","(14.0, 30.0, 24.0)","(7.0, 10.0, 8.8)","(7.5, 13.5, 11.86)","(19.0, 60.0, 37.5)","(3.4, 4.6, 3.7352941176470584)","(3.6, 6.0, 4.523076923076923)","(7.0, 16.5, 13.114285714285714)"
15-12-2022 12:06:39.753325,"(5.5, 8.2, 6.0)","(14.0, 30.0, 24.0)","(7.0, 10.0, 8.8)","(7.5, 13.5, 11.86)","(19.0, 60.0, 37.5)","(3.4, 4.6, 3.817647058823529)","(3.6, 6.0, 4.4363636363636365)","(7.0, 16.5, 13.114285714285714)"
15-12-2022 12:06:40.925226,"(5.5, 8.2, 6.0)","(14.0, 30.0, 25.0)","(7.0, 10.0, 8.8)","(7.5, 13.5, 12.385714285714286)","(19.0, 60.0, 37.5)","(3.4, 4.6, 3.817647058823529)","(3.6, 6.0, 4.4363636363636365)","(7.0, 16.5, 13.114285714285714)"
15-12-2022 12:06:41.939029,"(5.5, 8.2, 6.0)","(14.0, 30.0, 25.166666666666664)","(7.0, 10.0, 8.8)","(7.5, 13.5, 12.385714285714286)","(19.0, 60.0, 37.5)","(3.4, 4.6, 3.817647058823529)","(3.6, 6.0, 4.4363636363636365)","(7.0, 16.5, 13.114285714285714)"
15-12-2022 12:06:43.065806,"(5.5, 8.2, 6.0)","(14.0, 30.0, 25.166666666666664)","(7.0, 10.0, 8.8)","(7.5, 13.5, 12.266666666666667)","(19.0, 60.0, 37.5)","(3.4, 4.6, 3.817647058823529)","(3.6, 6.0, 4.4363636363636365)","(7.0, 16.5, 13.114285714285714)"
15-12-2022 12:06:44.147657,"(5.5, 8.2, 5.8)","(14.0, 30.0, 25.166666666666664)","(7.0, 10.0, 8.8)","(7.5, 13.5, 12.266666666666667)","(19.0, 60.0, 37.5)","(3.4, 4.6, 3.817647058823529)","(3.6, 6.0, 4.707692307692308)","(7.0, 16.5, 13.114285714285714)"
15-12-2022 12:06:45.196953,"(5.5, 8.2, 5.866666666666667)","(14.0, 30.0, 25.166666666666664)","(7.0, 10.0, 8.8)","(7.5, 13.5, 12.266666666666667)","(19.0, 60.0, 37.5)","(3.4, 4.6, 3.936842105263158)","(3.6, 6.0, 4.707692307692308)","(7.0, 16.5, 13.114285714285714)"
15-12-2022 12:06:46.305757,"(5.5, 8.2, 5.866666666666667)","(14.0, 30.0, 25.166666666666664)","(7.0, 10.0, 8.8)","(7.5, 13.5, 12.266666666666667)","(19.0, 60.0, 37.5)","(3.4, 4.6, 3.936842105263158)","(3.6, 6.0, 4.707692307692308)","(7.0, 16.5, 13.114285714285714)"
15-12-2022 12:06:47.528302,"(5.5, 8.2, 5.866666666666667)","(14.0, 30.0, 25.166666666666664)","(7.0, 10.0, 8.8)","(7.5, 13.5, 11.35)","(19.0, 60.0, 37.5)","(3.4, 4.6, 4.057142857142857)","(3.6, 6.0, 4.327272727272727)","(7.0, 16.5, 13.114285714285714)"
15-12-2022 12:06:48.674548,"(5.5, 8.2, 6.057142857142857)","(14.0, 30.0, 25.166666666666664)","(7.0, 10.0, 8.8)","(7.5, 13.5, 11.35)","(19.0, 60.0, 37.5)","(3.4, 4.6, 4.2)","(3.6, 6.0, 4.615384615384615)","(7.0, 16.5, 12.542857142857143)"
15-12-2022 12:06:49.790391,"(5.5, 8.2, 6.699999999999999)","(14.0, 30.0, 25.166666666666664)","(7.0, 10.0, 8.8)","(7.5, 13.5, 11.35)","(19.0, 60.0, 37.5)","(3.4, 4.6, 4.2)","(3.6, 6.0, 4.615384615384615)","(7.0, 15.5, 12.542857142857143)"
15-12-2022 12:06:50.962530,"(5.5, 8.2, 6.699999999999999)","(14.0, 30.0, 25.166666666666664)","(7.0, 10.0, 8.8)","(7.5, 13.5, 11.35)","(19.0, 60.0, 37.5)","(3.4, 4.6, 4.2)","(3.6, 6.0, 4.615384615384615)","(7.0, 15.5, 12.542857142857143)"
15-12-2022 12:06:51.950529,"(5.5, 8.2, 6.699999999999999)","(14.0, 30.0, 25.166666666666664)","(7.0, 10.0, 8.8)","(7.5, 13.5, 11.86)","(19.0, 60.0, 37.5)","(3.4, 4.6, 4.2)","(3.6, 6.0, 4.615384615384615)","(7.0, 15.5, 12.542857142857143)"
15-12-2022 12:06:53.102591,"(5.5, 8.2, 6.699999999999999)","(14.0, 30.0, 25.166666666666664)","(7.0, 10.0, 8.8)","(7.5, 13.5, 11.86)","(19.0, 60.0, 37.5)","(3.4, 4.6, 4.114285714285714)","(3.6, 6.0, 4.327272727272727)","(7.0, 15.5, 12.542857142857143)"
15-12-2022 12:06:54.235421,"(5.5, 8.2, 6.449999999999999)","(14.0, 30.0, 25.166666666666664)","(7.0, 10.0, 8.8)","(7.5, 13.5, 11.86)","(19.0, 60.0, 37.5)","(3.4, 4.6, 4.2444444444444445)","(3.6, 6.0, 4.615384615384615)","(7.0, 15.5, 12.542857142857143)"
15-12-2022 12:06:55.250925,"(5.5, 8.2, 6.449999999999999)","(14.0, 30.0, 25.166666666666664)","(7.0, 10.0, 8.8)","(7.5, 13.5, 11.86)","(19.0, 60.0, 37.5)","(3.4, 4.6, 4.2444444444444445)","(3.6, 6.0, 4.615384615384615)","(7.0, 15.5, 12.542857142857143)"
15-12-2022 12:06:56.431440,"(5.5, 8.2, 6.449999999999999)","(14.0, 30.0, 25.166666666666664)","(7.0, 10.0, 8.8)","(7.5, 13.5, 11.86)","(19.0, 60.0, 37.5)","(3.4, 4.6, 4.2444444444444445)","(3.6, 6.0, 4.615384615384615)","(7.0, 15.5, 12.542857142857143)"
15-12-2022 12:06:57.651855,"(5.5, 8.2, 6.449999999999999)","(14.0, 30.0, 25.166666666666664)","(7.0, 10.0, 8.8)","(7.5, 13.5, 11.86)","(19.0, 60.0, 37.5)","(3.4, 4.6, 4.2444444444444445)","(3.6, 6.0, 4.615384615384615)","(7.0, 15.5, 12.542857142857143)"
15-12-2022 12:06:58.944954,"(5.5, 8.2, 6.449999999999999)","(14.0, 30.0, 25.166666666666664)","(7.0, 10.0, 8.8)","(7.5, 13.5, 11.86)","(19.0, 60.0, 37.5)","(3.4, 4.6, 4.114285714285714)","(3.6, 6.0, 4.4)","(7.0, 15.5, 12.542857142857143)"
15-12-2022 12:07:00.032850,"(5.5, 8.2, 6.449999999999999)","(14.0, 30.0, 25.166666666666664)","(7.0, 10.0, 8.8)","(7.5, 13.5, 11.86)","(19.0, 60.0, 37.5)","(3.4, 4.6, 4.2444444444444445)","(3.6, 6.0, 4.676923076923077)","(7.0, 15.5, 12.542857142857143)"
15-12-2022 12:07:01.036410,"(5.5, 8.2, 6.449999999999999)","(14.0, 30.0, 25.166666666666664)","(7.0, 10.0, 8.8)","(7.5, 13.5, 11.86)","(19.0, 60.0, 37.5)","(3.4, 4.6, 4.2444444444444445)","(3.6, 6.0, 4.676923076923077)","(7.0, 15.5, 12.542857142857143)"
15-12-2022 12:07:02.235952,"(5.5, 8.2, 6.449999999999999)","(14.0, 30.0, 25.166666666666664)","(7.0, 10.0, 8.8)","(7.5, 13.5, 11.86)","(19.0, 60.0, 37.5)","(3.4, 4.6, 4.2444444444444445)","(3.6, 6.0, 4.676923076923077)","(7.0, 15.5, 12.542857142857143)"
15-12-2022 12:07:03.708683,"(5.5, 8.2, 6.699999999999999)","(14.0, 30.0, 26.375)","(7.0, 10.0, 8.8)","(7.5, 13.5, 12.214285714285715)","(19.0, 60.0, 34.6875)","(3.4, 4.6, 4.114285714285714)","(3.6, 6.0, 5.1380952380952385)","(7.0, 15.5, 12.542857142857143)"
15-12-2022 12:07:05.274606,"(5.5, 8.2, 7.066666666666666)","(14.0, 30.0, 26.375)","(7.0, 10.0, 8.8)","(7.5, 13.5, 10.833333333333334)","(19.0, 60.0, 34.6875)","(3.4, 4.6, 4.2444444444444445)","(3.6, 5.9, 4.785714285714286)","(7.0, 15.5, 12.542857142857143)"
15-12-2022 12:07:06.718367,"(5.5, 8.0, 7.066666666666666)","(14.0, 30.0, 26.375)","(7.0, 10.0, 8.8)","(7.5, 14.5, 11.5)","(19.0, 60.0, 34.6875)","(3.4, 4.6, 4.2444444444444445)","(3.6, 5.9, 5.0)","(7.0, 15.5, 12.257142857142856)"
15-12-2022 12:07:07.806188,"(5.5, 8.0, 7.066666666666666)","(14.0, 30.0, 26.375)","(7.0, 10.0, 8.8)","(7.5, 14.5, 11.5)","(19.0, 60.0, 34.6875)","(3.4, 4.6, 4.2444444444444445)","(3.6, 5.7, 5.0)","(7.0, 15.0, 12.257142857142856)"
15-12-2022 12:07:08.915506,"(5.5, 8.0, 7.066666666666666)","(14.0, 30.0, 26.375)","(7.0, 10.0, 8.8)","(7.5, 14.5, 11.5)","(19.0, 60.0, 34.6875)","(3.4, 4.6, 4.2444444444444445)","(3.6, 5.7, 5.0)","(7.0, 15.0, 12.257142857142856)"
15-12-2022 12:07:10.155779,"(5.5, 8.0, 7.066666666666666)","(14.0, 30.0, 26.375)","(7.0, 10.0, 8.8)","(7.5, 14.5, 13.583333333333332)","(19.0, 60.0, 34.6875)","(3.4, 4.6, 3.7352941176470584)","(3.6, 5.7, 4.3)","(7.0, 15.0, 12.257142857142856)"
15-12-2022 12:07:11.310751,"(5.5, 8.0, 7.066666666666666)","(14.0, 30.0, 26.375)","(7.0, 10.0, 8.8)","(7.5, 14.5, 13.48)","(19.0, 60.0, 34.6875)","(3.4, 4.6, 3.863157894736842)","(3.6, 5.7, 5.02)","(7.0, 15.0, 12.257142857142856)"
15-12-2022 12:07:12.415523,"(5.5, 8.0, 7.066666666666666)","(14.0, 30.0, 26.375)","(7.0, 10.0, 8.8)","(7.5, 14.5, 11.525)","(19.0, 60.0, 34.6875)","(3.4, 4.6, 3.863157894736842)","(3.6, 5.7, 5.02)","(7.0, 15.0, 12.257142857142856)"
15-12-2022 12:07:13.533161,"(5.5, 8.0, 7.066666666666666)","(14.0, 30.0, 26.375)","(7.0, 10.0, 8.8)","(7.5, 14.5, 10.0375)","(19.0, 60.0, 34.6875)","(3.4, 4.6, 3.7352941176470584)","(3.6, 5.8, 4.163636363636364)","(7.0, 15.0, 12.257142857142856)"
15-12-2022 12:07:14.662132,"(5.5, 8.0, 7.066666666666666)","(14.0, 30.0, 26.375)","(7.0, 10.0, 8.8)","(7.5, 14.5, 10.0375)","(19.0, 60.0, 34.6875)","(3.4, 4.6, 3.769230769230769)","(3.6, 5.8, 4.17)","(7.0, 15.0, 12.542857142857143)"
15-12-2022 12:07:15.790586,"(5.5, 8.0, 7.066666666666666)","(14.0, 30.0, 26.375)","(7.0, 10.0, 8.8)","(7.5, 14.5, 10.0375)","(19.0, 60.0, 34.6875)","(3.4, 4.5, 3.9)","(3.6, 5.7, 4.671428571428571)","(7.0, 15.5, 12.542857142857143)"
15-12-2022 12:07:16.885361,"(5.5, 8.0, 7.066666666666666)","(14.0, 30.0, 26.375)","(7.0, 10.0, 8.8)","(7.5, 14.5, 10.128571428571428)","(19.0, 60.0, 34.6875)","(3.4, 4.5, 3.8461538461538463)","(3.6, 5.7, 4.671428571428571)","(7.0, 15.5, 10.64)"
15-12-2022 12:07:18.027158,"(5.0, 8.0, 7.066666666666666)","(14.0, 30.0, 26.375)","(7.5, 10.0, 8.8)","(7.5, 14.5, 10.128571428571428)","(18.0, 60.0, 34.6875)","(3.5, 4.5, 3.82)","(3.6, 5.7, 4.671428571428571)","(7.0, 15.5, 10.64)"
15-12-2022 12:07:19.147256,"(5.0, 8.0, 7.066666666666666)","(14.0, 30.0, 26.375)","(7.5, 10.0, 8.8)","(7.5, 14.5, 10.675)","(18.0, 60.0, 34.6875)","(3.5, 4.5, 4.025)","(3.6, 5.7, 4.735714285714286)","(7.0, 15.5, 13.07)"
15-12-2022 12:07:20.304724,"(5.0, 8.0, 7.066666666666666)","(14.0, 30.0, 26.375)","(7.5, 10.0, 8.9)","(7.5, 14.5, 10.675)","(18.0, 60.0, 34.6875)","(3.5, 4.4, 4.1375)","(3.6, 5.7, 4.8)","(7.0, 15.5, 12.866666666666667)"
15-12-2022 12:07:21.404244,"(5.0, 8.0, 6.65)","(14.0, 30.0, 26.375)","(7.5, 10.0, 8.9)","(7.5, 14.5, 11.753846153846155)","(18.0, 60.0, 34.6875)","(3.5, 4.4, 4.1375)","(3.6, 5.7, 4.8)","(7.0, 15.5, 12.866666666666667)"
15-12-2022 12:07:22.410778,"(5.0, 8.0, 6.65)","(14.0, 30.0, 26.375)","(7.5, 10.0, 8.9)","(7.5, 14.5, 11.753846153846155)","(18.0, 60.0, 34.6875)","(3.5, 4.4, 4.1375)","(3.6, 5.7, 4.949999999999999)","(7.0, 15.5, 12.866666666666667)"
