,Zipping Glamour,Venom Encounter,Wow Shes Sweet,Black Redeemer,Susie Zeus,Tick It Off,Lady Marcella
10-01-2023 13:28:21.718373,"(5.5, 9.4, 6.04)","(61.0, 520.0, 468.8888888888889)","(2.4, 3.95, 2.604090909090909)","(3.6, 7.0, 5.036206896551724)","(17.0, 55.0, 28.090909090909093)","(17.0, 46.0, 25.272727272727273)","(3.3, 5.0, 3.6222222222222222)"
10-01-2023 13:28:22.815435,"(5.5, 9.4, 6.04)","(61.0, 520.0, 468.8888888888889)","(2.4, 3.95, 2.604090909090909)","(3.6, 7.0, 5.036206896551724)","(17.0, 55.0, 28.090909090909093)","(17.0, 46.0, 25.272727272727273)","(3.3, 5.0, 3.6222222222222222)"
10-01-2023 13:28:23.953796,"(5.5, 9.4, 6.04)","(61.0, 520.0, 468.8888888888889)","(2.4, 3.95, 2.604090909090909)","(3.6, 7.0, 5.036206896551724)","(17.0, 55.0, 28.090909090909093)","(17.0, 46.0, 25.272727272727273)","(3.3, 5.0, 3.6222222222222222)"
10-01-2023 13:28:25.101829,"(5.5, 9.4, 6.04)","(61.0, 520.0, 468.8888888888889)","(2.4, 3.95, 2.604090909090909)","(3.6, 7.0, 5.036206896551724)","(17.0, 55.0, 28.090909090909093)","(17.0, 46.0, 25.272727272727273)","(3.3, 5.0, 3.6222222222222222)"
10-01-2023 13:28:26.298003,"(5.5, 9.4, 6.04)","(61.0, 520.0, 468.8888888888889)","(2.4, 3.95, 2.604090909090909)","(3.6, 7.0, 5.036206896551724)","(17.0, 55.0, 28.090909090909093)","(17.0, 46.0, 25.272727272727273)","(3.3, 5.0, 3.6222222222222222)"
10-01-2023 13:28:27.549790,"(5.5, 9.4, 6.04)","(61.0, 520.0, 468.8888888888889)","(2.4, 3.95, 2.604090909090909)","(3.6, 7.0, 5.036206896551724)","(17.0, 55.0, 28.090909090909093)","(17.0, 46.0, 25.272727272727273)","(3.3, 5.0, 3.6222222222222222)"
10-01-2023 13:28:28.847014,"(5.5, 9.4, 6.04)","(61.0, 520.0, 468.8888888888889)","(2.4, 3.95, 2.604090909090909)","(3.6, 7.0, 5.036206896551724)","(17.0, 55.0, 28.090909090909093)","(17.0, 46.0, 25.272727272727273)","(3.3, 5.0, 3.6222222222222222)"
10-01-2023 13:28:30.171252,"(5.5, 9.4, 6.04)","(61.0, 520.0, 468.8888888888889)","(2.4, 3.95, 2.604090909090909)","(3.6, 7.0, 5.036206896551724)","(17.0, 55.0, 28.090909090909093)","(17.0, 46.0, 25.272727272727273)","(3.3, 5.0, 3.6222222222222222)"
10-01-2023 13:28:31.240019,"(5.5, 9.4, 6.04)","(61.0, 520.0, 468.8888888888889)","(2.4, 3.95, 2.604090909090909)","(3.6, 7.0, 5.036206896551724)","(17.0, 55.0, 28.090909090909093)","(17.0, 46.0, 25.272727272727273)","(3.3, 5.0, 3.6222222222222222)"
10-01-2023 13:28:32.365268,"(5.5, 9.4, 6.04)","(61.0, 520.0, 468.8888888888889)","(2.4, 3.95, 2.604090909090909)","(3.6, 7.0, 5.036206896551724)","(17.0, 55.0, 28.090909090909093)","(17.0, 46.0, 25.272727272727273)","(3.3, 5.0, 3.6222222222222222)"
10-01-2023 13:28:33.688785,"(5.5, 9.4, 6.04)","(61.0, 520.0, 468.8888888888889)","(2.4, 3.95, 2.604090909090909)","(3.6, 7.0, 5.036206896551724)","(17.0, 55.0, 28.090909090909093)","(17.0, 46.0, 25.272727272727273)","(3.3, 5.0, 3.6222222222222222)"
10-01-2023 13:28:34.941666,"(5.5, 9.4, 6.04)","(61.0, 520.0, 468.8888888888889)","(2.4, 3.95, 2.604090909090909)","(3.6, 7.0, 5.036206896551724)","(17.0, 55.0, 28.090909090909093)","(17.0, 46.0, 25.272727272727273)","(3.3, 5.0, 3.6222222222222222)"
10-01-2023 13:28:36.055085,"(5.5, 9.4, 6.04)","(61.0, 520.0, 468.8888888888889)","(2.4, 3.95, 2.604090909090909)","(3.6, 7.0, 5.036206896551724)","(17.0, 55.0, 28.090909090909093)","(17.0, 46.0, 25.272727272727273)","(3.3, 5.0, 3.6222222222222222)"
10-01-2023 13:28:37.206910,"(5.5, 9.4, 6.04)","(61.0, 520.0, 468.8888888888889)","(2.4, 3.95, 2.604090909090909)","(3.6, 7.0, 5.036206896551724)","(17.0, 55.0, 28.090909090909093)","(17.0, 46.0, 25.272727272727273)","(3.3, 5.0, 3.6222222222222222)"
10-01-2023 13:28:38.321017,"(5.5, 9.4, 6.04)","(61.0, 520.0, 468.8888888888889)","(2.4, 3.95, 2.604090909090909)","(3.6, 7.0, 5.036206896551724)","(17.0, 55.0, 28.090909090909093)","(17.0, 46.0, 25.272727272727273)","(3.3, 5.0, 3.6222222222222222)"
10-01-2023 13:28:39.350473,"(5.5, 9.4, 6.04)","(61.0, 520.0, 468.8888888888889)","(2.4, 3.95, 2.604090909090909)","(3.6, 7.0, 5.036206896551724)","(17.0, 55.0, 39.375)","(17.0, 46.0, 41.73529411764706)","(3.3, 5.0, 3.6222222222222222)"
10-01-2023 13:28:40.481240,"(5.5, 9.4, 6.04)","(61.0, 520.0, 443.33333333333337)","(2.4, 3.95, 2.604090909090909)","(3.6, 7.0, 5.036206896551724)","(17.0, 55.0, 39.375)","(17.0, 46.0, 41.73529411764706)","(3.3, 5.0, 3.6222222222222222)"
10-01-2023 13:28:41.616647,"(5.5, 9.4, 6.04)","(61.0, 520.0, 443.33333333333337)","(2.4, 3.95, 2.604090909090909)","(3.6, 7.0, 5.036206896551724)","(17.0, 55.0, 39.375)","(17.0, 46.0, 41.73529411764706)","(3.3, 5.0, 3.6222222222222222)"
10-01-2023 13:28:42.743741,"(5.5, 9.4, 6.04)","(61.0, 520.0, 443.33333333333337)","(2.4, 3.95, 2.604090909090909)","(3.6, 7.0, 5.036206896551724)","(17.0, 55.0, 39.375)","(17.0, 46.0, 41.73529411764706)","(3.3, 5.0, 3.6222222222222222)"
10-01-2023 13:28:43.838283,"(5.5, 9.4, 6.04)","(61.0, 520.0, 443.33333333333337)","(2.4, 3.95, 2.604090909090909)","(3.6, 7.0, 5.036206896551724)","(17.0, 55.0, 39.375)","(17.0, 46.0, 41.73529411764706)","(3.3, 5.0, 3.6222222222222222)"
10-01-2023 13:28:44.976535,"(5.5, 9.4, 6.04)","(61.0, 520.0, 443.33333333333337)","(2.4, 3.95, 2.604090909090909)","(3.6, 7.0, 5.036206896551724)","(17.0, 55.0, 39.375)","(17.0, 46.0, 41.73529411764706)","(3.3, 5.0, 3.6222222222222222)"
10-01-2023 13:28:46.073186,"(5.5, 9.4, 6.04)","(61.0, 520.0, 443.33333333333337)","(2.4, 3.95, 2.604090909090909)","(3.6, 7.0, 5.036206896551724)","(17.0, 55.0, 39.375)","(17.0, 46.0, 41.73529411764706)","(3.3, 5.0, 3.6222222222222222)"
10-01-2023 13:28:47.301073,"(5.5, 9.4, 6.04)","(61.0, 520.0, 443.33333333333337)","(2.4, 3.95, 2.604090909090909)","(3.6, 7.0, 5.036206896551724)","(17.0, 55.0, 39.375)","(17.0, 46.0, 41.73529411764706)","(3.3, 5.0, 3.6222222222222222)"
10-01-2023 13:28:48.515825,"(5.5, 9.4, 6.04)","(61.0, 520.0, 443.33333333333337)","(2.4, 3.95, 2.604090909090909)","(3.6, 7.0, 5.036206896551724)","(17.0, 55.0, 39.375)","(17.0, 46.0, 41.73529411764706)","(3.3, 5.0, 3.6222222222222222)"
10-01-2023 13:28:49.637124,"(5.5, 9.4, 6.04)","(61.0, 520.0, 443.33333333333337)","(2.4, 3.95, 2.604090909090909)","(3.6, 7.0, 5.036206896551724)","(17.0, 55.0, 39.375)","(17.0, 46.0, 41.73529411764706)","(3.3, 5.0, 3.6222222222222222)"
10-01-2023 13:28:50.772812,"(5.5, 9.4, 6.04)","(61.0, 520.0, 443.33333333333337)","(2.4, 3.95, 2.604090909090909)","(3.6, 7.0, 5.036206896551724)","(17.0, 55.0, 39.375)","(17.0, 46.0, 41.73529411764706)","(3.3, 5.0, 3.6222222222222222)"
10-01-2023 13:28:51.922827,"(5.5, 9.4, 6.04)","(61.0, 520.0, 443.33333333333337)","(2.4, 3.95, 2.604090909090909)","(3.6, 7.0, 5.036206896551724)","(17.0, 55.0, 39.375)","(17.0, 46.0, 41.73529411764706)","(3.3, 5.0, 3.6222222222222222)"
10-01-2023 13:28:53.059599,"(5.5, 9.4, 6.04)","(61.0, 520.0, 443.33333333333337)","(2.4, 3.95, 2.604090909090909)","(3.6, 7.0, 5.036206896551724)","(17.0, 55.0, 39.375)","(17.0, 46.0, 41.73529411764706)","(3.3, 5.0, 3.6222222222222222)"
10-01-2023 13:28:54.172344,"(5.5, 9.4, 6.04)","(61.0, 520.0, 443.33333333333337)","(2.4, 3.95, 2.604090909090909)","(3.6, 7.0, 5.036206896551724)","(17.0, 55.0, 39.375)","(17.0, 46.0, 41.73529411764706)","(3.3, 5.0, 3.6222222222222222)"
10-01-2023 13:28:55.356563,"(5.5, 9.4, 6.04)","(61.0, 520.0, 443.33333333333337)","(2.4, 3.95, 2.604090909090909)","(3.6, 7.0, 5.036206896551724)","(17.0, 55.0, 39.375)","(17.0, 46.0, 41.73529411764706)","(3.3, 5.0, 3.6222222222222222)"
10-01-2023 13:28:56.542894,"(5.5, 9.4, 6.04)","(61.0, 520.0, 443.33333333333337)","(2.4, 3.95, 2.604090909090909)","(3.6, 7.0, 5.036206896551724)","(17.0, 55.0, 39.375)","(17.0, 46.0, 41.73529411764706)","(3.3, 5.0, 3.6222222222222222)"
10-01-2023 13:28:57.641608,"(5.5, 9.4, 6.04)","(61.0, 520.0, 443.33333333333337)","(2.4, 3.95, 2.604090909090909)","(3.6, 7.0, 5.036206896551724)","(17.0, 55.0, 39.375)","(17.0, 46.0, 41.73529411764706)","(3.3, 5.0, 3.6222222222222222)"
10-01-2023 13:28:58.691914,"(5.5, 9.4, 6.04)","(61.0, 520.0, 443.33333333333337)","(2.4, 3.95, 2.604090909090909)","(3.6, 7.0, 5.036206896551724)","(17.0, 55.0, 39.375)","(17.0, 46.0, 41.73529411764706)","(3.3, 5.0, 3.6222222222222222)"
10-01-2023 13:28:59.792528,"(5.5, 9.4, 6.04)","(61.0, 520.0, 443.33333333333337)","(2.4, 3.95, 2.604090909090909)","(3.6, 7.0, 5.036206896551724)","(17.0, 55.0, 39.375)","(17.0, 46.0, 41.73529411764706)","(3.3, 5.0, 3.6222222222222222)"
10-01-2023 13:29:01.006351,"(5.5, 9.4, 6.04)","(61.0, 520.0, 443.33333333333337)","(2.4, 3.95, 2.604090909090909)","(3.6, 7.0, 5.036206896551724)","(17.0, 55.0, 39.375)","(17.0, 46.0, 41.73529411764706)","(3.3, 5.0, 3.6222222222222222)"
10-01-2023 13:29:02.245173,"(5.5, 9.4, 6.04)","(61.0, 520.0, 443.33333333333337)","(2.4, 3.95, 2.604090909090909)","(3.6, 7.0, 5.036206896551724)","(17.0, 55.0, 39.375)","(17.0, 46.0, 41.73529411764706)","(3.3, 5.0, 3.6222222222222222)"
10-01-2023 13:29:03.628237,"(5.5, 9.4, 6.04)","(61.0, 520.0, 443.33333333333337)","(2.4, 3.95, 2.604090909090909)","(3.6, 7.0, 5.036206896551724)","(17.0, 55.0, 39.375)","(17.0, 46.0, 41.73529411764706)","(3.3, 5.0, 3.6222222222222222)"
10-01-2023 13:29:05.001398,"(5.5, 9.4, 6.04)","(61.0, 520.0, 443.33333333333337)","(2.4, 3.95, 2.604090909090909)","(3.6, 7.0, 5.036206896551724)","(17.0, 55.0, 39.375)","(17.0, 46.0, 41.73529411764706)","(3.3, 5.0, 3.6222222222222222)"
10-01-2023 13:29:06.713568,"(5.5, 9.4, 6.04)","(61.0, 520.0, 443.33333333333337)","(2.4, 3.95, 2.604090909090909)","(3.6, 7.0, 5.036206896551724)","(17.0, 55.0, 39.375)","(17.0, 46.0, 41.73529411764706)","(3.3, 5.0, 3.6222222222222222)"
10-01-2023 13:29:08.452181,"(5.5, 9.4, 6.04)","(61.0, 520.0, 443.33333333333337)","(2.4, 3.95, 2.604090909090909)","(3.6, 7.0, 5.036206896551724)","(17.0, 55.0, 39.375)","(17.0, 46.0, 41.73529411764706)","(3.3, 5.0, 3.6222222222222222)"
10-01-2023 13:29:09.862996,"(5.5, 9.4, 6.04)","(61.0, 520.0, 443.33333333333337)","(2.4, 3.95, 2.604090909090909)","(3.6, 7.0, 5.036206896551724)","(17.0, 55.0, 39.375)","(17.0, 46.0, 41.73529411764706)","(3.3, 5.0, 3.6222222222222222)"
10-01-2023 13:29:10.966642,"(5.5, 9.4, 6.04)","(61.0, 520.0, 443.33333333333337)","(2.4, 3.95, 2.604090909090909)","(3.6, 7.0, 5.036206896551724)","(17.0, 55.0, 39.375)","(17.0, 46.0, 41.73529411764706)","(3.3, 5.0, 3.6222222222222222)"
10-01-2023 13:29:12.131006,"(5.5, 9.4, 6.04)","(61.0, 520.0, 443.33333333333337)","(2.4, 3.95, 2.604090909090909)","(3.6, 7.0, 5.036206896551724)","(17.0, 55.0, 39.375)","(17.0, 46.0, 41.73529411764706)","(3.3, 5.0, 3.6222222222222222)"
10-01-2023 13:29:13.378986,"(5.5, 9.4, 6.04)","(61.0, 520.0, 443.33333333333337)","(2.4, 3.95, 2.604090909090909)","(3.6, 7.0, 5.036206896551724)","(17.0, 55.0, 39.375)","(17.0, 46.0, 41.73529411764706)","(3.3, 5.0, 3.6222222222222222)"
10-01-2023 13:29:14.622733,"(5.5, 9.4, 6.04)","(61.0, 520.0, 443.33333333333337)","(2.4, 3.95, 2.604090909090909)","(3.6, 7.0, 5.036206896551724)","(17.0, 55.0, 39.375)","(17.0, 46.0, 41.73529411764706)","(3.3, 5.0, 3.6222222222222222)"
10-01-2023 13:29:15.813652,"(5.5, 9.4, 6.04)","(61.0, 520.0, 443.33333333333337)","(2.4, 3.95, 2.604090909090909)","(3.6, 7.0, 5.036206896551724)","(17.0, 55.0, 39.375)","(17.0, 46.0, 41.73529411764706)","(3.3, 5.0, 3.6222222222222222)"
10-01-2023 13:29:17.020463,"(5.5, 9.4, 6.04)","(61.0, 520.0, 443.33333333333337)","(2.4, 3.95, 2.604090909090909)","(3.6, 7.0, 5.036206896551724)","(17.0, 55.0, 39.375)","(17.0, 46.0, 41.73529411764706)","(3.3, 5.0, 3.6222222222222222)"
10-01-2023 13:29:18.238742,"(5.5, 9.4, 6.04)","(61.0, 520.0, 443.33333333333337)","(2.4, 3.95, 2.604090909090909)","(3.6, 7.0, 5.036206896551724)","(17.0, 55.0, 39.375)","(17.0, 46.0, 41.73529411764706)","(3.3, 5.0, 3.6222222222222222)"
10-01-2023 13:29:19.334382,"(5.5, 9.4, 6.04)","(61.0, 520.0, 443.33333333333337)","(2.4, 3.95, 2.604090909090909)","(3.6, 7.0, 5.036206896551724)","(17.0, 55.0, 39.375)","(17.0, 46.0, 41.73529411764706)","(3.3, 5.0, 3.6222222222222222)"
10-01-2023 13:29:20.470369,"(5.5, 9.4, 6.04)","(61.0, 520.0, 443.33333333333337)","(2.4, 3.95, 2.604090909090909)","(3.6, 7.0, 5.036206896551724)","(17.0, 55.0, 39.375)","(17.0, 46.0, 41.73529411764706)","(3.3, 5.0, 3.6222222222222222)"
10-01-2023 13:29:21.703630,"(5.5, 9.4, 6.04)","(61.0, 520.0, 443.33333333333337)","(2.4, 3.95, 2.604090909090909)","(3.6, 7.0, 5.036206896551724)","(17.0, 55.0, 39.375)","(17.0, 46.0, 41.73529411764706)","(3.3, 5.0, 3.6222222222222222)"
10-01-2023 13:29:22.873238,"(5.5, 9.4, 6.04)","(61.0, 520.0, 443.33333333333337)","(2.4, 3.95, 2.604090909090909)","(3.6, 7.0, 5.036206896551724)","(17.0, 55.0, 39.375)","(17.0, 46.0, 41.73529411764706)","(3.3, 5.0, 3.6222222222222222)"
10-01-2023 13:29:23.979002,"(5.5, 9.4, 6.04)","(61.0, 520.0, 443.33333333333337)","(2.4, 3.95, 2.604090909090909)","(3.6, 7.0, 5.036206896551724)","(17.0, 55.0, 39.375)","(17.0, 46.0, 41.73529411764706)","(3.3, 5.0, 3.6222222222222222)"
