,Crispy Pie,Taking A Toll,Monkeys Style,Real Mickoy,French Wood,Sweet Lola,Kouta Marjen
08-12-2022 14:11:12.042490,"(8.5, 17.5, 13.9375)","(11.0, 32.0, 25.28125)","(4.4, 6.8, 6.4399999999999995)","(3.4, 5.3, 4.157142857142857)","(4.2, 7.2, 5.8845238095238095)","(10.0, 24.0, 19.5)","(4.2, 6.4, 6.055)"
08-12-2022 14:11:13.104692,"(8.5, 17.5, 13.9375)","(11.0, 32.0, 25.28125)","(4.4, 6.8, 6.4399999999999995)","(3.4, 5.3, 4.157142857142857)","(4.2, 7.2, 5.8845238095238095)","(10.0, 24.0, 19.5)","(4.2, 6.4, 6.055)"
08-12-2022 14:11:14.193763,"(8.5, 17.5, 13.9375)","(11.0, 32.0, 25.28125)","(4.4, 6.8, 6.4399999999999995)","(3.4, 5.3, 4.157142857142857)","(4.2, 7.2, 5.8845238095238095)","(10.0, 24.0, 19.5)","(4.2, 6.4, 6.055)"
08-12-2022 14:11:15.289004,"(8.5, 17.5, 13.9375)","(11.0, 32.0, 25.28125)","(4.4, 6.8, 6.4399999999999995)","(3.4, 5.3, 4.157142857142857)","(4.2, 7.2, 5.8845238095238095)","(10.0, 24.0, 19.5)","(4.2, 6.4, 6.055)"
08-12-2022 14:11:16.313879,"(8.5, 17.5, 13.9375)","(11.0, 32.0, 25.28125)","(4.4, 6.8, 6.4399999999999995)","(3.4, 5.3, 4.157142857142857)","(4.2, 7.2, 5.8845238095238095)","(10.0, 24.0, 19.5)","(4.2, 6.4, 6.055)"
08-12-2022 14:11:17.376115,"(8.5, 17.5, 13.9375)","(11.0, 32.0, 25.28125)","(4.4, 6.8, 6.4399999999999995)","(3.4, 5.3, 4.157142857142857)","(4.2, 7.2, 5.8845238095238095)","(10.0, 24.0, 19.5)","(4.2, 6.4, 6.055)"
08-12-2022 14:11:18.398220,"(8.5, 17.5, 13.9375)","(11.0, 32.0, 25.28125)","(4.4, 6.8, 6.4399999999999995)","(3.4, 5.3, 4.157142857142857)","(4.2, 7.2, 5.8845238095238095)","(10.0, 24.0, 19.5)","(4.2, 6.4, 6.055)"
08-12-2022 14:11:19.432198,"(8.5, 17.5, 13.9375)","(11.0, 32.0, 25.28125)","(4.4, 6.8, 6.4399999999999995)","(3.4, 5.3, 4.157142857142857)","(4.2, 7.2, 5.8845238095238095)","(10.0, 24.0, 19.266666666666666)","(4.2, 6.4, 5.575)"
08-12-2022 14:11:20.488298,"(8.5, 17.5, 14.0125)","(11.0, 32.0, 25.0)","(4.4, 6.8, 5.825)","(3.4, 5.3, 4.157142857142857)","(4.2, 7.2, 5.8845238095238095)","(10.0, 24.0, 19.266666666666666)","(4.2, 6.4, 5.575)"
08-12-2022 14:11:21.523525,"(8.5, 17.5, 14.0125)","(11.0, 32.0, 25.0)","(4.4, 6.8, 5.825)","(3.4, 5.3, 4.157142857142857)","(4.2, 7.2, 5.8845238095238095)","(10.0, 24.0, 19.266666666666666)","(4.2, 6.4, 5.575)"
08-12-2022 14:11:22.555236,"(8.5, 17.5, 14.0125)","(11.0, 32.0, 25.0)","(4.4, 6.8, 5.825)","(3.4, 5.3, 4.157142857142857)","(4.2, 7.2, 5.8845238095238095)","(10.0, 24.0, 19.266666666666666)","(4.2, 6.4, 5.575)"
08-12-2022 14:11:23.544860,"(8.5, 17.5, 14.0125)","(11.0, 32.0, 25.0)","(4.4, 6.8, 5.825)","(3.4, 5.3, 4.157142857142857)","(4.2, 7.2, 5.8845238095238095)","(10.0, 24.0, 19.266666666666666)","(4.2, 6.4, 5.575)"
08-12-2022 14:11:24.484295,"(8.5, 17.5, 14.0125)","(11.0, 32.0, 25.0)","(4.4, 6.8, 5.825)","(3.4, 5.3, 4.157142857142857)","(4.2, 7.2, 5.8845238095238095)","(10.0, 24.0, 19.266666666666666)","(4.2, 6.4, 5.575)"
08-12-2022 14:11:25.520363,"(8.5, 17.5, 14.0125)","(11.0, 32.0, 25.0)","(4.4, 6.8, 5.825)","(3.4, 5.3, 4.157142857142857)","(4.2, 7.2, 5.8845238095238095)","(10.0, 24.0, 19.266666666666666)","(4.2, 6.4, 5.575)"
08-12-2022 14:11:26.550700,"(8.5, 17.5, 14.0125)","(11.0, 32.0, 25.0)","(4.4, 6.8, 5.825)","(3.4, 5.3, 4.157142857142857)","(4.2, 7.2, 5.8845238095238095)","(10.0, 24.0, 19.266666666666666)","(4.2, 6.4, 5.575)"
08-12-2022 14:11:27.556189,"(8.5, 17.5, 14.0125)","(11.0, 32.0, 25.0)","(4.4, 6.8, 5.825)","(3.4, 5.3, 4.157142857142857)","(4.2, 7.2, 5.8845238095238095)","(10.0, 24.0, 19.266666666666666)","(4.2, 6.4, 5.575)"
08-12-2022 14:11:28.546156,"(8.5, 17.5, 14.0125)","(11.0, 32.0, 25.0)","(4.4, 6.8, 5.825)","(3.4, 5.3, 4.157142857142857)","(4.2, 7.2, 5.8845238095238095)","(10.0, 24.0, 19.266666666666666)","(4.2, 6.4, 5.575)"
08-12-2022 14:11:29.589391,"(8.5, 17.5, 14.0125)","(11.0, 32.0, 25.0)","(4.4, 6.8, 5.825)","(3.4, 5.3, 4.157142857142857)","(4.2, 7.2, 5.8845238095238095)","(10.0, 24.0, 19.266666666666666)","(4.2, 6.4, 5.575)"
08-12-2022 14:11:30.594625,"(8.5, 17.5, 14.0125)","(11.0, 32.0, 25.0)","(4.4, 6.8, 5.825)","(3.4, 5.3, 4.157142857142857)","(4.2, 7.2, 5.8845238095238095)","(10.0, 24.0, 19.266666666666666)","(4.2, 6.4, 5.575)"
08-12-2022 14:11:31.702975,"(8.5, 17.5, 14.0125)","(11.0, 32.0, 25.0)","(4.4, 6.8, 5.825)","(3.4, 5.3, 4.157142857142857)","(4.2, 7.2, 5.8845238095238095)","(10.0, 24.0, 19.266666666666666)","(4.2, 6.4, 5.575)"
08-12-2022 14:11:32.783388,"(8.5, 17.5, 14.0125)","(11.0, 32.0, 25.0)","(4.4, 6.8, 5.825)","(3.4, 5.3, 4.157142857142857)","(4.2, 7.2, 5.8845238095238095)","(10.0, 24.0, 19.266666666666666)","(4.2, 6.4, 5.575)"
08-12-2022 14:11:33.737973,"(8.5, 17.5, 14.0125)","(11.0, 32.0, 25.0)","(4.4, 6.8, 5.825)","(3.4, 5.3, 4.157142857142857)","(4.2, 7.2, 5.8845238095238095)","(10.0, 24.0, 19.266666666666666)","(4.2, 6.4, 5.575)"
08-12-2022 14:11:34.690132,"(8.5, 17.5, 14.0125)","(11.0, 32.0, 25.0)","(4.4, 6.8, 5.825)","(3.4, 5.3, 4.157142857142857)","(4.2, 7.2, 5.8845238095238095)","(10.0, 24.0, 19.266666666666666)","(4.2, 6.4, 5.575)"
08-12-2022 14:11:35.673104,"(8.5, 17.5, 14.0125)","(11.0, 32.0, 25.0)","(4.4, 6.8, 5.825)","(3.4, 5.3, 4.157142857142857)","(4.2, 7.2, 5.8845238095238095)","(10.0, 24.0, 19.266666666666666)","(4.2, 6.4, 5.575)"
08-12-2022 14:11:36.672456,"(8.5, 17.5, 14.0125)","(11.0, 32.0, 25.0)","(4.4, 6.8, 5.825)","(3.4, 5.3, 4.157142857142857)","(4.2, 7.2, 5.8845238095238095)","(10.0, 24.0, 19.266666666666666)","(4.2, 6.4, 5.575)"
08-12-2022 14:11:37.725196,"(8.5, 17.5, 14.0125)","(11.0, 32.0, 25.0)","(4.4, 6.8, 5.825)","(3.4, 5.3, 4.157142857142857)","(4.2, 7.2, 5.8845238095238095)","(10.0, 24.0, 19.266666666666666)","(4.2, 6.4, 5.575)"
08-12-2022 14:11:38.717752,"(8.5, 17.5, 14.0125)","(11.0, 32.0, 25.0)","(4.4, 6.8, 5.825)","(3.4, 5.3, 4.157142857142857)","(4.2, 7.2, 5.8845238095238095)","(10.0, 24.0, 19.266666666666666)","(4.2, 6.4, 5.575)"
08-12-2022 14:11:39.670441,"(8.5, 17.5, 14.0125)","(11.0, 32.0, 25.0)","(4.4, 6.8, 5.825)","(3.4, 5.3, 4.157142857142857)","(4.2, 7.2, 5.8845238095238095)","(10.0, 24.0, 19.266666666666666)","(4.2, 6.4, 5.575)"
08-12-2022 14:11:40.719589,"(8.5, 17.5, 14.0125)","(11.0, 32.0, 25.0)","(4.4, 6.8, 5.825)","(3.4, 5.3, 4.157142857142857)","(4.2, 7.2, 5.8845238095238095)","(10.0, 24.0, 19.266666666666666)","(4.2, 6.4, 5.575)"
08-12-2022 14:11:41.848429,"(8.5, 17.5, 14.0125)","(11.0, 32.0, 25.0)","(4.4, 6.8, 5.825)","(3.4, 5.3, 4.157142857142857)","(4.2, 7.2, 5.8845238095238095)","(10.0, 24.0, 19.266666666666666)","(4.2, 6.4, 5.575)"
08-12-2022 14:11:42.899769,"(8.5, 17.5, 14.0125)","(11.0, 32.0, 25.0)","(4.4, 6.8, 5.825)","(3.4, 5.3, 4.157142857142857)","(4.2, 7.2, 5.8845238095238095)","(10.0, 24.0, 19.266666666666666)","(4.2, 6.4, 5.575)"
08-12-2022 14:11:44.009313,"(8.5, 17.5, 14.0125)","(11.0, 32.0, 25.0)","(4.4, 6.8, 5.825)","(3.4, 5.3, 4.157142857142857)","(4.2, 7.2, 5.8845238095238095)","(10.0, 24.0, 19.266666666666666)","(4.2, 6.4, 5.575)"
08-12-2022 14:11:45.150362,"(8.5, 17.5, 14.0125)","(11.0, 32.0, 25.0)","(4.4, 6.8, 5.825)","(3.4, 5.3, 4.157142857142857)","(4.2, 7.2, 5.8845238095238095)","(10.0, 24.0, 19.266666666666666)","(4.2, 6.4, 5.575)"
08-12-2022 14:11:46.123652,"(8.5, 17.5, 14.0125)","(11.0, 32.0, 25.0)","(4.4, 6.8, 5.825)","(3.4, 5.3, 4.157142857142857)","(4.2, 7.2, 5.8845238095238095)","(10.0, 24.0, 19.266666666666666)","(4.2, 6.4, 5.575)"
08-12-2022 14:11:47.099198,"(8.5, 17.5, 14.0125)","(11.0, 32.0, 25.0)","(4.4, 6.8, 5.825)","(3.4, 5.3, 4.157142857142857)","(4.2, 7.2, 5.8845238095238095)","(10.0, 24.0, 19.266666666666666)","(4.2, 6.4, 5.575)"
08-12-2022 14:11:48.197829,"(8.5, 17.5, 14.0125)","(11.0, 32.0, 25.0)","(4.4, 6.8, 5.825)","(3.4, 5.3, 4.157142857142857)","(4.2, 7.2, 5.8845238095238095)","(10.0, 24.0, 19.266666666666666)","(4.2, 6.4, 5.575)"
08-12-2022 14:11:49.273552,"(8.5, 17.5, 14.0125)","(11.0, 32.0, 25.0)","(4.4, 6.8, 5.825)","(3.4, 5.3, 4.157142857142857)","(4.2, 7.2, 5.8845238095238095)","(10.0, 24.0, 19.266666666666666)","(4.2, 6.4, 5.575)"
08-12-2022 14:11:50.313969,"(8.5, 17.5, 14.0125)","(11.0, 32.0, 25.0)","(4.4, 6.8, 5.825)","(3.4, 5.3, 4.157142857142857)","(4.2, 7.2, 5.8845238095238095)","(10.0, 24.0, 19.266666666666666)","(4.2, 6.4, 5.575)"
08-12-2022 14:11:51.403455,"(8.5, 17.5, 14.0125)","(11.0, 32.0, 25.0)","(4.4, 6.8, 5.825)","(3.4, 5.3, 4.157142857142857)","(4.2, 7.2, 5.8845238095238095)","(10.0, 24.0, 19.266666666666666)","(4.2, 6.4, 5.575)"
08-12-2022 14:11:52.488254,"(8.5, 17.5, 14.0125)","(11.0, 32.0, 25.0)","(4.4, 6.8, 5.825)","(3.4, 5.3, 4.157142857142857)","(4.2, 7.2, 5.8845238095238095)","(10.0, 24.0, 19.266666666666666)","(4.2, 6.4, 5.575)"
08-12-2022 14:11:53.505000,"(8.5, 17.5, 14.0125)","(11.0, 32.0, 25.0)","(4.4, 6.8, 5.825)","(3.4, 5.3, 4.157142857142857)","(4.2, 7.2, 5.8845238095238095)","(10.0, 24.0, 19.266666666666666)","(4.2, 6.4, 5.575)"
08-12-2022 14:11:54.590848,"(8.5, 17.5, 14.0125)","(11.0, 32.0, 25.0)","(4.4, 6.8, 5.825)","(3.4, 5.3, 4.157142857142857)","(4.2, 7.2, 5.8845238095238095)","(10.0, 24.0, 19.266666666666666)","(4.2, 6.4, 5.575)"
08-12-2022 14:11:55.591704,"(8.5, 17.5, 14.0125)","(11.0, 32.0, 25.0)","(4.4, 6.8, 5.825)","(3.4, 5.3, 4.157142857142857)","(4.2, 7.2, 5.8845238095238095)","(10.0, 24.0, 19.266666666666666)","(4.2, 6.4, 5.575)"
08-12-2022 14:11:56.693245,"(8.5, 17.5, 14.0125)","(11.0, 32.0, 25.0)","(4.4, 6.8, 5.825)","(3.4, 5.3, 4.157142857142857)","(4.2, 7.2, 5.8845238095238095)","(10.0, 24.0, 19.266666666666666)","(4.2, 6.4, 5.575)"
08-12-2022 14:11:57.785119,"(8.5, 17.5, 14.0125)","(11.0, 32.0, 25.0)","(4.4, 6.8, 5.825)","(3.4, 5.3, 4.157142857142857)","(4.2, 7.2, 5.8845238095238095)","(10.0, 24.0, 19.266666666666666)","(4.2, 6.4, 5.575)"
08-12-2022 14:11:58.952841,"(8.5, 17.5, 14.0125)","(11.0, 32.0, 25.0)","(4.4, 6.8, 5.825)","(3.4, 5.3, 4.157142857142857)","(4.2, 7.2, 5.8845238095238095)","(10.0, 24.0, 19.266666666666666)","(4.2, 6.4, 5.575)"
08-12-2022 14:12:00.183967,"(8.5, 17.5, 14.0125)","(11.0, 32.0, 25.59375)","(4.4, 6.8, 5.825)","(3.4, 5.3, 4.157142857142857)","(4.2, 7.2, 5.8845238095238095)","(10.0, 24.0, 19.625)","(4.2, 6.4, 5.575)"
08-12-2022 14:12:01.344274,"(8.5, 17.5, 14.0125)","(11.0, 32.0, 25.59375)","(4.4, 6.8, 5.825)","(3.4, 5.3, 4.157142857142857)","(4.2, 7.2, 5.8845238095238095)","(10.0, 24.0, 19.625)","(4.2, 6.4, 5.575)"
08-12-2022 14:12:02.438732,"(8.5, 17.5, 14.0125)","(11.0, 32.0, 25.59375)","(4.4, 6.8, 5.825)","(3.4, 5.3, 4.157142857142857)","(4.2, 7.2, 5.8845238095238095)","(10.0, 24.0, 19.625)","(4.2, 6.4, 5.575)"
08-12-2022 14:12:03.409755,"(8.5, 17.5, 14.0125)","(11.0, 32.0, 25.59375)","(4.4, 6.8, 5.825)","(3.4, 5.3, 4.157142857142857)","(4.2, 7.2, 5.8845238095238095)","(10.0, 24.0, 19.625)","(4.2, 6.4, 5.575)"
08-12-2022 14:12:04.448151,"(8.5, 17.5, 14.0125)","(11.0, 32.0, 25.59375)","(4.4, 6.8, 5.825)","(3.4, 5.3, 4.157142857142857)","(4.2, 7.2, 5.8845238095238095)","(10.0, 24.0, 19.625)","(4.2, 6.4, 5.575)"
08-12-2022 14:12:05.519812,"(8.5, 17.5, 14.0125)","(11.0, 32.0, 25.59375)","(4.4, 6.8, 5.825)","(3.4, 5.3, 4.157142857142857)","(4.2, 7.2, 5.8845238095238095)","(10.0, 24.0, 19.625)","(4.2, 6.4, 5.575)"
08-12-2022 14:12:06.570268,"(8.5, 17.5, 14.0125)","(11.0, 32.0, 25.59375)","(4.4, 6.8, 5.825)","(3.4, 5.3, 4.157142857142857)","(4.2, 7.2, 5.8845238095238095)","(10.0, 24.0, 19.625)","(4.2, 6.4, 5.575)"
08-12-2022 14:12:07.640902,"(8.5, 17.5, 14.0125)","(11.0, 32.0, 25.59375)","(4.4, 6.8, 5.825)","(3.4, 5.3, 4.157142857142857)","(4.2, 7.2, 5.8845238095238095)","(10.0, 24.0, 19.625)","(4.2, 6.4, 5.575)"
08-12-2022 14:12:08.690678,"(8.5, 17.5, 14.0125)","(11.0, 32.0, 25.59375)","(4.4, 6.8, 5.825)","(3.4, 5.3, 4.157142857142857)","(4.2, 7.2, 5.8845238095238095)","(10.0, 24.0, 19.625)","(4.2, 6.4, 5.575)"
08-12-2022 14:12:09.715233,"(8.5, 17.5, 14.0125)","(11.0, 32.0, 25.59375)","(4.4, 6.8, 5.825)","(3.4, 5.3, 4.157142857142857)","(4.2, 7.2, 5.8845238095238095)","(10.0, 24.0, 19.625)","(4.2, 6.4, 5.575)"
08-12-2022 14:12:10.851011,"(8.5, 17.5, 14.0125)","(11.0, 32.0, 25.59375)","(4.4, 6.8, 5.825)","(3.4, 5.3, 4.157142857142857)","(4.2, 7.2, 5.8845238095238095)","(10.0, 24.0, 19.625)","(4.2, 6.4, 5.575)"
08-12-2022 14:12:12.032540,"(8.5, 17.5, 14.0125)","(11.0, 32.0, 25.59375)","(4.4, 6.8, 5.825)","(3.4, 5.3, 4.157142857142857)","(4.2, 7.2, 5.8845238095238095)","(10.0, 24.0, 19.625)","(4.2, 6.4, 5.575)"
08-12-2022 14:12:13.190584,"(8.5, 17.5, 14.0125)","(11.0, 32.0, 25.59375)","(4.4, 6.8, 5.825)","(3.4, 5.3, 4.157142857142857)","(4.2, 7.2, 5.8845238095238095)","(10.0, 24.0, 19.625)","(4.2, 6.4, 5.575)"
08-12-2022 14:12:14.324389,"(8.5, 17.5, 14.0125)","(11.0, 32.0, 25.59375)","(4.4, 6.8, 5.825)","(3.4, 5.3, 4.157142857142857)","(4.2, 7.2, 5.8845238095238095)","(10.0, 24.0, 19.625)","(4.2, 6.4, 5.575)"
08-12-2022 14:12:15.445350,"(8.5, 17.5, 14.0125)","(11.0, 32.0, 25.59375)","(4.4, 6.8, 5.825)","(3.4, 5.3, 4.157142857142857)","(4.2, 7.2, 5.8845238095238095)","(10.0, 24.0, 19.625)","(4.2, 6.4, 5.575)"
08-12-2022 14:12:16.434446,"(8.5, 17.5, 14.0125)","(11.0, 32.0, 25.59375)","(4.4, 6.8, 5.825)","(3.4, 5.3, 4.157142857142857)","(4.2, 7.2, 5.8845238095238095)","(10.0, 24.0, 19.625)","(4.2, 6.4, 5.575)"
08-12-2022 14:12:17.559929,"(8.5, 17.5, 14.0125)","(11.0, 32.0, 25.59375)","(4.4, 6.8, 5.825)","(3.4, 5.3, 4.157142857142857)","(4.2, 7.2, 5.8845238095238095)","(10.0, 24.0, 19.625)","(4.2, 6.4, 5.575)"
08-12-2022 14:12:18.641743,"(8.5, 17.5, 14.0125)","(11.0, 32.0, 25.59375)","(4.4, 6.8, 5.825)","(3.4, 5.3, 4.157142857142857)","(4.2, 7.2, 5.8845238095238095)","(10.0, 24.0, 19.625)","(4.2, 6.4, 5.575)"
08-12-2022 14:12:19.766035,"(8.5, 17.5, 14.0125)","(11.0, 32.0, 25.59375)","(4.4, 6.8, 5.825)","(3.4, 5.3, 4.157142857142857)","(4.2, 7.2, 5.8845238095238095)","(10.0, 24.0, 19.625)","(4.2, 6.4, 5.575)"
08-12-2022 14:12:20.896875,"(8.5, 17.5, 14.0125)","(11.0, 32.0, 25.59375)","(4.4, 6.8, 6.41)","(3.4, 5.3, 4.157142857142857)","(4.2, 7.2, 5.8845238095238095)","(10.0, 24.0, 19.625)","(4.2, 6.4, 6.055)"
08-12-2022 14:12:22.045126,"(8.5, 17.5, 13.9375)","(11.0, 32.0, 25.59375)","(4.4, 6.8, 6.4399999999999995)","(3.4, 5.3, 4.157142857142857)","(4.2, 7.2, 5.8845238095238095)","(10.0, 24.0, 19.625)","(4.2, 6.4, 6.055)"
08-12-2022 14:12:23.055827,"(8.5, 17.5, 13.9375)","(11.0, 32.0, 25.59375)","(4.4, 6.8, 6.4399999999999995)","(3.4, 5.3, 4.157142857142857)","(4.2, 7.2, 5.8845238095238095)","(10.0, 24.0, 19.625)","(4.2, 6.4, 6.055)"
08-12-2022 14:12:24.104801,"(8.5, 17.5, 13.9375)","(11.0, 32.0, 25.59375)","(4.4, 6.8, 6.4399999999999995)","(3.4, 5.3, 4.157142857142857)","(4.2, 7.2, 5.8845238095238095)","(10.0, 24.0, 19.625)","(4.2, 6.4, 6.055)"
08-12-2022 14:12:25.180216,"(8.5, 17.5, 13.9375)","(11.0, 32.0, 25.59375)","(4.4, 6.8, 6.4399999999999995)","(3.4, 5.3, 4.157142857142857)","(4.2, 7.2, 5.8845238095238095)","(10.0, 24.0, 19.625)","(4.2, 6.4, 6.055)"
08-12-2022 14:12:26.329947,"(8.5, 17.5, 13.9375)","(11.0, 32.0, 25.59375)","(4.4, 6.8, 6.4399999999999995)","(3.4, 5.3, 4.157142857142857)","(4.2, 7.2, 5.8845238095238095)","(10.0, 24.0, 19.625)","(4.2, 6.4, 6.055)"
08-12-2022 14:12:27.491509,"(8.5, 17.5, 13.9375)","(11.0, 32.0, 25.59375)","(4.4, 6.8, 6.4399999999999995)","(3.4, 5.3, 4.157142857142857)","(4.2, 7.2, 5.8845238095238095)","(10.0, 24.0, 19.625)","(4.2, 6.4, 6.055)"
08-12-2022 14:12:28.590780,"(8.5, 17.5, 13.9375)","(11.0, 32.0, 25.59375)","(4.4, 6.8, 6.4399999999999995)","(3.4, 5.3, 4.157142857142857)","(4.2, 7.2, 5.8845238095238095)","(10.0, 24.0, 19.625)","(4.2, 6.4, 6.055)"
08-12-2022 14:12:29.630690,"(8.5, 17.5, 13.9375)","(11.0, 32.0, 25.59375)","(4.4, 6.8, 6.4399999999999995)","(3.4, 5.3, 4.157142857142857)","(4.2, 7.2, 5.8845238095238095)","(10.0, 24.0, 19.5)","(4.2, 6.4, 6.055)"
08-12-2022 14:12:30.733866,"(8.5, 17.5, 13.9375)","(11.0, 32.0, 25.28125)","(4.4, 6.8, 6.4399999999999995)","(3.4, 5.3, 4.157142857142857)","(4.2, 7.2, 5.8845238095238095)","(10.0, 24.0, 19.5)","(4.2, 6.4, 6.055)"
08-12-2022 14:12:31.917010,"(8.5, 17.5, 13.9375)","(11.0, 32.0, 25.28125)","(4.4, 6.8, 6.4399999999999995)","(3.4, 5.3, 4.157142857142857)","(4.2, 7.2, 5.8845238095238095)","(10.0, 24.0, 19.5)","(4.2, 6.4, 6.055)"
08-12-2022 14:12:33.091527,"(8.5, 17.5, 13.9375)","(11.0, 32.0, 25.28125)","(4.4, 6.8, 6.4399999999999995)","(3.4, 5.3, 4.157142857142857)","(4.2, 7.2, 5.8845238095238095)","(10.0, 24.0, 19.5)","(4.2, 6.4, 6.055)"
08-12-2022 14:12:34.177194,"(8.5, 17.5, 13.9375)","(11.0, 32.0, 25.28125)","(4.4, 6.8, 6.4399999999999995)","(3.4, 5.3, 4.157142857142857)","(4.2, 7.2, 5.8845238095238095)","(10.0, 24.0, 19.5)","(4.2, 6.4, 6.055)"
08-12-2022 14:12:35.297741,"(8.5, 17.5, 13.9375)","(11.0, 32.0, 25.28125)","(4.4, 6.8, 6.4399999999999995)","(3.4, 5.3, 4.157142857142857)","(4.2, 7.2, 5.8845238095238095)","(10.0, 24.0, 19.5)","(4.2, 6.4, 6.055)"
08-12-2022 14:12:36.408657,"(8.5, 17.5, 13.9375)","(11.0, 32.0, 25.28125)","(4.4, 6.8, 6.4399999999999995)","(3.4, 5.3, 4.157142857142857)","(4.2, 7.2, 5.8845238095238095)","(10.0, 24.0, 19.5)","(4.2, 6.4, 6.055)"
08-12-2022 14:12:37.582156,"(8.5, 17.5, 13.9375)","(11.0, 32.0, 25.28125)","(4.4, 6.8, 6.4399999999999995)","(3.4, 5.3, 4.157142857142857)","(4.2, 7.2, 5.8845238095238095)","(10.0, 24.0, 19.5)","(4.2, 6.4, 6.055)"
