,Tuta Mimosa,Quick Cash,Black Patch,Austrian Beauty,Giddey Keats,Heres Caza,Sassy Boo
14-12-2022 13:41:28.867764,"(13.0, 32.0, 20.333333333333332)","(2.2, 2.6, 2.315)","(7.0, 13.5, 11.266666666666666)","(41.0, 390.0, 137.14285714285714)","(2.5, 5.7, 3.7869565217391306)","(6.0, 13.0, 11.46)","(31.0, 310.0, 169.5)"
14-12-2022 13:41:30.097930,"(13.0, 32.0, 20.333333333333332)","(2.2, 2.6, 2.315)","(7.0, 13.5, 11.266666666666666)","(41.0, 390.0, 137.14285714285714)","(2.5, 5.7, 3.7869565217391306)","(6.0, 13.0, 11.46)","(31.0, 310.0, 169.5)"
14-12-2022 13:41:31.360431,"(13.0, 32.0, 20.333333333333332)","(2.2, 2.6, 2.315)","(7.0, 13.5, 11.266666666666666)","(41.0, 390.0, 137.14285714285714)","(2.5, 5.7, 3.7869565217391306)","(6.0, 13.0, 11.46)","(31.0, 310.0, 169.5)"
14-12-2022 13:41:32.670813,"(13.0, 32.0, 20.333333333333332)","(2.2, 2.6, 2.315)","(7.0, 13.5, 11.266666666666666)","(41.0, 390.0, 137.14285714285714)","(2.5, 5.7, 3.7869565217391306)","(6.0, 13.0, 11.46)","(31.0, 310.0, 169.5)"
14-12-2022 13:41:33.924195,"(13.0, 32.0, 20.333333333333332)","(2.2, 2.6, 2.315)","(7.0, 13.5, 11.266666666666666)","(41.0, 390.0, 137.14285714285714)","(2.5, 5.7, 3.7869565217391306)","(6.0, 13.0, 11.46)","(31.0, 310.0, 169.5)"
14-12-2022 13:41:35.077501,"(13.0, 32.0, 20.333333333333332)","(2.2, 2.6, 2.315)","(7.0, 13.5, 11.266666666666666)","(41.0, 390.0, 137.14285714285714)","(2.5, 5.7, 3.7869565217391306)","(6.0, 13.0, 11.46)","(31.0, 310.0, 169.5)"
14-12-2022 13:41:36.322676,"(13.0, 32.0, 20.333333333333332)","(2.2, 2.6, 2.315)","(7.0, 13.5, 11.266666666666666)","(41.0, 390.0, 137.14285714285714)","(2.5, 5.7, 3.7869565217391306)","(6.0, 13.0, 11.46)","(31.0, 310.0, 169.5)"
14-12-2022 13:41:37.546454,"(13.0, 32.0, 20.333333333333332)","(2.2, 2.6, 2.315)","(7.0, 13.5, 11.266666666666666)","(41.0, 390.0, 137.14285714285714)","(2.5, 5.7, 3.7869565217391306)","(6.0, 13.0, 11.46)","(31.0, 310.0, 169.5)"
14-12-2022 13:41:38.788046,"(13.0, 32.0, 20.333333333333332)","(2.2, 2.6, 2.315)","(7.0, 13.5, 11.266666666666666)","(41.0, 390.0, 137.14285714285714)","(2.5, 5.7, 3.7869565217391306)","(6.0, 13.0, 11.46)","(31.0, 310.0, 169.5)"
14-12-2022 13:41:39.972396,"(13.0, 32.0, 20.333333333333332)","(2.2, 2.6, 2.315)","(7.0, 13.5, 11.266666666666666)","(41.0, 390.0, 137.14285714285714)","(2.5, 5.7, 3.7869565217391306)","(6.0, 13.0, 11.46)","(31.0, 310.0, 169.5)"
14-12-2022 13:41:41.218165,"(13.0, 32.0, 20.333333333333332)","(2.2, 2.6, 2.315)","(7.0, 13.5, 11.266666666666666)","(41.0, 390.0, 137.14285714285714)","(2.5, 5.7, 3.7869565217391306)","(6.0, 13.0, 11.46)","(31.0, 310.0, 169.5)"
14-12-2022 13:41:42.483378,"(13.0, 32.0, 20.333333333333332)","(2.2, 2.6, 2.315)","(7.0, 14.0, 8.6)","(41.0, 390.0, 137.14285714285714)","(2.5, 5.7, 3.7869565217391306)","(6.0, 13.0, 11.46)","(31.0, 310.0, 169.5)"
14-12-2022 13:41:43.767640,"(13.0, 32.0, 20.333333333333332)","(2.2, 2.6, 2.315)","(7.0, 14.0, 8.6)","(41.0, 390.0, 137.14285714285714)","(2.5, 5.7, 3.7869565217391306)","(6.0, 13.0, 11.46)","(31.0, 310.0, 169.5)"
14-12-2022 13:41:45.028262,"(13.0, 32.0, 20.333333333333332)","(2.2, 2.6, 2.315)","(7.0, 14.0, 8.6)","(41.0, 390.0, 137.14285714285714)","(2.5, 5.7, 3.7869565217391306)","(6.0, 13.0, 11.46)","(31.0, 310.0, 169.5)"
14-12-2022 13:41:46.350201,"(13.0, 32.0, 20.333333333333332)","(2.2, 2.6, 2.315)","(7.0, 14.0, 8.6)","(41.0, 390.0, 137.14285714285714)","(2.5, 5.7, 3.7869565217391306)","(6.0, 13.0, 11.46)","(31.0, 310.0, 169.5)"
14-12-2022 13:41:47.538617,"(13.0, 32.0, 20.333333333333332)","(2.2, 2.6, 2.315)","(7.0, 14.0, 8.6)","(41.0, 390.0, 137.14285714285714)","(2.5, 5.7, 3.7869565217391306)","(6.0, 13.0, 11.46)","(31.0, 310.0, 169.5)"
14-12-2022 13:41:48.805945,"(13.0, 32.0, 20.333333333333332)","(2.2, 2.6, 2.315)","(7.0, 14.0, 8.6)","(41.0, 390.0, 137.14285714285714)","(2.5, 5.7, 3.7869565217391306)","(6.0, 13.0, 11.46)","(31.0, 310.0, 169.5)"
14-12-2022 13:41:49.938464,"(13.0, 32.0, 20.333333333333332)","(2.2, 2.6, 2.315)","(7.0, 14.0, 8.6)","(41.0, 390.0, 137.14285714285714)","(2.5, 5.7, 3.7869565217391306)","(6.0, 13.0, 11.46)","(31.0, 310.0, 169.5)"
14-12-2022 13:41:51.177715,"(13.0, 32.0, 20.333333333333332)","(2.2, 2.6, 2.315)","(7.0, 14.0, 8.6)","(41.0, 390.0, 137.14285714285714)","(2.5, 5.7, 3.7869565217391306)","(6.0, 13.0, 11.46)","(31.0, 310.0, 169.5)"
14-12-2022 13:41:52.648127,"(13.0, 32.0, 20.333333333333332)","(2.2, 2.6, 2.315)","(7.0, 14.0, 8.6)","(41.0, 390.0, 137.14285714285714)","(2.5, 5.7, 3.7869565217391306)","(6.0, 13.0, 11.46)","(31.0, 310.0, 169.5)"
14-12-2022 13:41:54.010582,"(13.0, 32.0, 20.333333333333332)","(2.2, 2.6, 2.315)","(7.0, 14.0, 8.6)","(41.0, 390.0, 137.14285714285714)","(2.5, 5.7, 3.7869565217391306)","(6.0, 13.0, 11.46)","(31.0, 310.0, 169.5)"
14-12-2022 13:41:55.335981,"(13.0, 32.0, 20.333333333333332)","(2.2, 2.6, 2.315)","(7.0, 14.0, 8.6)","(41.0, 390.0, 137.14285714285714)","(2.5, 5.7, 3.7869565217391306)","(6.0, 13.0, 11.46)","(31.0, 310.0, 169.5)"
14-12-2022 13:41:56.766751,"(13.0, 32.0, 20.333333333333332)","(2.2, 2.6, 2.315)","(7.0, 14.0, 8.6)","(41.0, 390.0, 137.14285714285714)","(2.5, 5.7, 3.7869565217391306)","(6.0, 13.0, 11.46)","(31.0, 310.0, 169.5)"
14-12-2022 13:41:58.156432,"(13.0, 32.0, 20.333333333333332)","(2.2, 2.6, 2.315)","(7.0, 14.0, 8.6)","(41.0, 390.0, 137.14285714285714)","(2.5, 5.7, 3.7869565217391306)","(6.0, 13.0, 11.46)","(31.0, 310.0, 169.5)"
14-12-2022 13:41:59.091063,"(13.0, 32.0, 20.333333333333332)","(2.2, 2.6, 2.315)","(7.0, 14.0, 8.6)","(41.0, 390.0, 137.14285714285714)","(2.5, 5.7, 3.7869565217391306)","(6.0, 13.0, 11.46)","(31.0, 310.0, 169.5)"
14-12-2022 13:42:00.419640,"(13.0, 32.0, 20.333333333333332)","(2.2, 2.6, 2.315)","(7.0, 14.0, 8.6)","(41.0, 390.0, 137.14285714285714)","(2.5, 5.7, 3.7869565217391306)","(6.0, 13.0, 11.46)","(31.0, 310.0, 169.5)"
14-12-2022 13:42:01.677724,"(13.0, 32.0, 20.333333333333332)","(2.2, 2.6, 2.315)","(7.0, 14.0, 8.6)","(41.0, 390.0, 137.14285714285714)","(2.5, 5.7, 3.7869565217391306)","(6.0, 13.0, 11.46)","(31.0, 310.0, 169.5)"
14-12-2022 13:42:03.031022,"(13.0, 32.0, 20.333333333333332)","(2.2, 2.6, 2.315)","(7.0, 14.0, 8.6)","(41.0, 390.0, 137.14285714285714)","(2.5, 5.7, 3.7869565217391306)","(6.0, 13.0, 11.46)","(31.0, 310.0, 169.5)"
14-12-2022 13:42:04.238878,"(13.0, 32.0, 20.333333333333332)","(2.2, 2.6, 2.315)","(7.0, 14.0, 8.6)","(41.0, 390.0, 137.14285714285714)","(2.5, 5.7, 3.7869565217391306)","(6.0, 13.0, 11.46)","(31.0, 310.0, 169.5)"
14-12-2022 13:42:05.653046,"(13.0, 32.0, 20.333333333333332)","(2.2, 2.6, 2.315)","(7.0, 14.0, 8.6)","(41.0, 390.0, 137.14285714285714)","(2.5, 5.7, 3.7869565217391306)","(6.0, 13.0, 11.46)","(31.0, 310.0, 169.5)"
14-12-2022 13:42:07.006909,"(13.0, 32.0, 20.333333333333332)","(2.2, 2.6, 2.315)","(7.0, 14.0, 8.6)","(41.0, 390.0, 137.14285714285714)","(2.5, 5.7, 3.7869565217391306)","(6.0, 13.0, 11.46)","(31.0, 310.0, 169.5)"
14-12-2022 13:42:08.096655,"(13.0, 32.0, 20.333333333333332)","(2.2, 2.6, 2.315)","(7.0, 14.0, 8.6)","(41.0, 390.0, 137.14285714285714)","(2.5, 5.7, 3.7869565217391306)","(6.0, 13.0, 11.46)","(31.0, 310.0, 169.5)"
14-12-2022 13:42:09.367088,"(13.0, 32.0, 20.333333333333332)","(2.2, 2.6, 2.315)","(7.0, 14.0, 8.6)","(41.0, 390.0, 137.14285714285714)","(2.5, 5.7, 3.7869565217391306)","(6.0, 13.0, 11.46)","(31.0, 310.0, 169.5)"
14-12-2022 13:42:10.682517,"(13.0, 32.0, 20.333333333333332)","(2.2, 2.6, 2.315)","(7.0, 14.0, 8.6)","(41.0, 390.0, 137.14285714285714)","(2.5, 5.7, 3.7869565217391306)","(6.0, 13.0, 11.46)","(31.0, 310.0, 169.5)"
14-12-2022 13:42:11.913675,"(13.0, 32.0, 20.333333333333332)","(2.2, 2.6, 2.315)","(7.0, 14.0, 8.6)","(41.0, 390.0, 137.14285714285714)","(2.5, 5.7, 3.7869565217391306)","(6.0, 13.0, 11.46)","(31.0, 310.0, 169.5)"
14-12-2022 13:42:13.180179,"(13.0, 32.0, 20.333333333333332)","(2.2, 2.6, 2.315)","(7.0, 14.0, 8.6)","(41.0, 390.0, 137.14285714285714)","(2.5, 5.7, 3.7869565217391306)","(6.0, 13.0, 11.46)","(31.0, 310.0, 169.5)"
14-12-2022 13:42:14.384059,"(13.0, 32.0, 20.333333333333332)","(2.2, 2.6, 2.3590243902439028)","(7.0, 14.0, 8.6)","(41.0, 390.0, 137.14285714285714)","(2.5, 5.7, 3.7869565217391306)","(6.0, 13.0, 11.46)","(31.0, 310.0, 169.5)"
14-12-2022 13:42:15.612635,"(13.0, 32.0, 20.333333333333332)","(2.2, 2.6, 2.3590243902439028)","(7.0, 14.0, 8.6)","(41.0, 390.0, 137.14285714285714)","(2.5, 5.7, 3.7869565217391306)","(6.0, 13.0, 11.46)","(31.0, 310.0, 169.5)"
14-12-2022 13:42:16.781684,"(13.0, 32.0, 20.333333333333332)","(2.2, 2.6, 2.3590243902439028)","(7.0, 14.0, 8.6)","(41.0, 390.0, 137.14285714285714)","(2.5, 5.7, 4.405882352941177)","(6.0, 13.0, 11.46)","(31.0, 310.0, 169.5)"
14-12-2022 13:42:18.077961,"(13.0, 32.0, 20.333333333333332)","(2.2, 2.6, 2.3590243902439028)","(7.0, 14.0, 8.6)","(41.0, 390.0, 137.14285714285714)","(2.5, 5.7, 4.405882352941177)","(6.0, 13.0, 11.46)","(31.0, 310.0, 169.5)"
14-12-2022 13:42:19.417476,"(13.0, 32.0, 20.333333333333332)","(2.2, 2.6, 2.3590243902439028)","(7.0, 14.0, 11.266666666666666)","(41.0, 390.0, 137.14285714285714)","(2.5, 5.7, 4.405882352941177)","(6.0, 13.0, 11.46)","(31.0, 310.0, 169.5)"
14-12-2022 13:42:20.730330,"(13.0, 32.0, 20.333333333333332)","(2.2, 2.6, 2.3590243902439028)","(7.0, 13.5, 11.266666666666666)","(41.0, 390.0, 137.14285714285714)","(2.5, 5.7, 4.405882352941177)","(6.0, 13.0, 11.46)","(31.0, 310.0, 169.5)"
14-12-2022 13:42:21.750966,"(13.0, 32.0, 20.333333333333332)","(2.2, 2.6, 2.3590243902439028)","(7.0, 13.5, 11.266666666666666)","(41.0, 390.0, 137.14285714285714)","(2.5, 5.7, 4.405882352941177)","(6.0, 13.0, 11.46)","(31.0, 310.0, 169.5)"
14-12-2022 13:42:22.886717,"(13.0, 32.0, 20.333333333333332)","(2.2, 2.6, 2.3590243902439028)","(7.0, 13.5, 11.266666666666666)","(41.0, 390.0, 137.14285714285714)","(2.5, 5.7, 4.405882352941177)","(6.0, 13.0, 11.46)","(31.0, 310.0, 169.5)"
14-12-2022 13:42:24.251749,"(13.0, 32.0, 20.333333333333332)","(2.2, 2.6, 2.3590243902439028)","(7.0, 13.5, 11.266666666666666)","(41.0, 390.0, 137.14285714285714)","(2.5, 5.7, 4.405882352941177)","(6.0, 13.0, 11.46)","(31.0, 310.0, 169.5)"
14-12-2022 13:42:25.499963,"(13.0, 32.0, 20.333333333333332)","(2.2, 2.6, 2.3590243902439028)","(7.0, 13.5, 11.266666666666666)","(41.0, 390.0, 137.14285714285714)","(2.5, 5.7, 4.405882352941177)","(6.0, 13.0, 11.46)","(31.0, 310.0, 169.5)"
14-12-2022 13:42:26.786548,"(13.0, 32.0, 23.25)","(2.2, 2.6, 2.3590243902439028)","(7.0, 13.5, 11.266666666666666)","(41.0, 390.0, 137.14285714285714)","(2.5, 5.7, 4.405882352941177)","(6.0, 13.0, 11.46)","(31.0, 310.0, 169.5)"
14-12-2022 13:42:27.974364,"(13.0, 32.0, 23.25)","(2.2, 2.6, 2.3590243902439028)","(7.0, 13.5, 11.266666666666666)","(41.0, 390.0, 137.14285714285714)","(2.5, 5.7, 4.405882352941177)","(6.0, 13.0, 11.46)","(31.0, 310.0, 169.5)"
14-12-2022 13:42:29.277051,"(13.0, 32.0, 23.25)","(2.2, 2.6, 2.3590243902439028)","(7.0, 13.5, 11.266666666666666)","(41.0, 390.0, 137.14285714285714)","(2.5, 5.7, 4.405882352941177)","(6.0, 13.0, 11.46)","(31.0, 310.0, 169.5)"
14-12-2022 13:42:30.617241,"(13.0, 32.0, 23.25)","(2.2, 2.6, 2.3590243902439028)","(7.0, 13.5, 11.266666666666666)","(41.0, 390.0, 137.14285714285714)","(2.5, 5.7, 4.405882352941177)","(6.0, 13.0, 11.46)","(31.0, 310.0, 169.5)"
14-12-2022 13:42:31.800634,"(13.0, 32.0, 23.25)","(2.2, 2.6, 2.3590243902439028)","(7.0, 13.5, 11.266666666666666)","(41.0, 390.0, 137.14285714285714)","(2.5, 5.7, 4.405882352941177)","(6.0, 13.0, 11.46)","(31.0, 310.0, 169.5)"
14-12-2022 13:42:32.924983,"(13.0, 32.0, 23.25)","(2.2, 2.6, 2.3590243902439028)","(7.0, 13.5, 11.266666666666666)","(41.0, 390.0, 137.14285714285714)","(2.5, 5.7, 4.405882352941177)","(6.0, 13.0, 11.46)","(31.0, 310.0, 169.5)"
14-12-2022 13:42:34.092060,"(13.0, 32.0, 23.25)","(2.2, 2.6, 2.3590243902439028)","(7.0, 13.5, 11.266666666666666)","(41.0, 390.0, 137.14285714285714)","(2.5, 5.7, 4.405882352941177)","(6.0, 13.0, 11.46)","(31.0, 310.0, 169.5)"
14-12-2022 13:42:35.234289,"(13.0, 32.0, 23.25)","(2.2, 2.6, 2.3590243902439028)","(7.0, 13.5, 11.266666666666666)","(41.0, 390.0, 137.14285714285714)","(2.5, 5.7, 4.405882352941177)","(6.0, 13.0, 11.46)","(31.0, 310.0, 169.5)"
14-12-2022 13:42:36.440746,"(13.0, 32.0, 23.25)","(2.2, 2.6, 2.3590243902439028)","(7.0, 13.5, 11.266666666666666)","(41.0, 390.0, 137.14285714285714)","(2.5, 5.7, 4.405882352941177)","(6.0, 13.0, 11.46)","(31.0, 310.0, 169.5)"
14-12-2022 13:42:37.802241,"(13.0, 32.0, 23.25)","(2.2, 2.6, 2.3590243902439028)","(7.0, 13.5, 11.266666666666666)","(41.0, 390.0, 137.14285714285714)","(2.5, 5.7, 4.405882352941177)","(6.0, 13.0, 11.46)","(31.0, 310.0, 169.5)"
14-12-2022 13:42:38.990537,"(13.0, 32.0, 23.25)","(2.2, 2.6, 2.3590243902439028)","(7.0, 13.5, 11.266666666666666)","(41.0, 390.0, 137.14285714285714)","(2.5, 5.7, 4.405882352941177)","(6.0, 13.0, 11.46)","(31.0, 310.0, 169.5)"
14-12-2022 13:42:40.231943,"(13.0, 32.0, 23.25)","(2.2, 2.6, 2.3590243902439028)","(7.0, 13.5, 11.266666666666666)","(41.0, 390.0, 137.14285714285714)","(2.5, 5.7, 4.405882352941177)","(6.0, 13.0, 11.46)","(31.0, 310.0, 169.5)"
14-12-2022 13:42:41.583086,"(13.0, 32.0, 23.25)","(2.2, 2.6, 2.3590243902439028)","(7.0, 13.5, 11.266666666666666)","(41.0, 390.0, 137.14285714285714)","(2.5, 5.7, 4.405882352941177)","(6.0, 13.0, 11.46)","(31.0, 310.0, 169.5)"
14-12-2022 13:42:43.011372,"(13.0, 32.0, 23.25)","(2.2, 2.6, 2.3590243902439028)","(7.0, 13.5, 11.266666666666666)","(41.0, 390.0, 137.14285714285714)","(2.5, 5.7, 4.405882352941177)","(6.0, 13.0, 11.46)","(31.0, 310.0, 201.92307692307693)"
14-12-2022 13:42:44.595593,"(13.0, 32.0, 23.25)","(2.2, 2.6, 2.303125)","(7.0, 13.5, 11.875)","(41.0, 390.0, 137.14285714285714)","(2.5, 5.7, 4.405882352941177)","(6.0, 13.0, 11.46)","(31.0, 310.0, 201.92307692307693)"
14-12-2022 13:42:46.036518,"(13.0, 32.0, 23.25)","(2.2, 2.6, 2.303125)","(7.0, 13.5, 11.975)","(41.0, 390.0, 137.14285714285714)","(2.5, 5.7, 4.405882352941177)","(6.0, 13.0, 11.46)","(31.0, 310.0, 201.92307692307693)"
14-12-2022 13:42:47.514652,"(13.0, 32.0, 23.25)","(2.2, 2.6, 2.303125)","(7.0, 13.5, 11.975)","(41.0, 390.0, 137.14285714285714)","(2.5, 5.7, 4.405882352941177)","(6.0, 13.0, 11.46)","(31.0, 310.0, 201.92307692307693)"
14-12-2022 13:42:48.857158,"(13.0, 32.0, 23.25)","(2.2, 2.6, 2.303125)","(7.0, 13.5, 11.975)","(41.0, 390.0, 137.14285714285714)","(2.5, 5.7, 4.405882352941177)","(6.0, 13.0, 11.46)","(31.0, 310.0, 201.92307692307693)"
14-12-2022 13:42:50.212855,"(13.0, 32.0, 23.25)","(2.2, 2.6, 2.3166666666666664)","(7.0, 13.5, 11.975)","(41.0, 390.0, 137.14285714285714)","(2.5, 5.7, 4.405882352941177)","(6.0, 13.0, 11.46)","(31.0, 310.0, 201.92307692307693)"
14-12-2022 13:42:51.396805,"(13.0, 32.0, 23.25)","(2.2, 2.4, 2.3166666666666664)","(7.0, 13.5, 11.975)","(41.0, 390.0, 137.14285714285714)","(2.5, 5.7, 4.405882352941177)","(6.0, 13.0, 11.46)","(31.0, 310.0, 201.92307692307693)"
14-12-2022 13:42:52.550380,"(13.0, 32.0, 23.25)","(2.2, 2.4, 2.3166666666666664)","(7.0, 13.5, 11.975)","(41.0, 390.0, 137.14285714285714)","(2.5, 5.7, 4.405882352941177)","(6.0, 13.0, 11.46)","(31.0, 310.0, 201.92307692307693)"
14-12-2022 13:42:53.714204,"(13.0, 32.0, 23.25)","(2.2, 2.4, 2.3166666666666664)","(7.0, 13.5, 11.975)","(41.0, 390.0, 137.14285714285714)","(2.5, 5.7, 4.405882352941177)","(6.0, 13.0, 11.46)","(31.0, 310.0, 201.92307692307693)"
14-12-2022 13:42:54.867879,"(13.0, 32.0, 23.25)","(2.2, 2.4, 2.3166666666666664)","(7.0, 13.5, 11.975)","(41.0, 390.0, 137.14285714285714)","(2.5, 5.7, 4.405882352941177)","(6.0, 13.0, 11.46)","(31.0, 310.0, 201.92307692307693)"
14-12-2022 13:42:56.122782,"(13.0, 32.0, 23.25)","(2.2, 2.4, 2.3166666666666664)","(7.0, 13.5, 11.975)","(41.0, 390.0, 137.14285714285714)","(2.5, 5.7, 4.405882352941177)","(6.0, 13.0, 11.46)","(31.0, 310.0, 201.92307692307693)"
14-12-2022 13:42:57.331433,"(13.0, 32.0, 23.25)","(2.2, 2.4, 2.3166666666666664)","(7.0, 13.5, 11.975)","(41.0, 390.0, 137.14285714285714)","(2.5, 5.7, 4.405882352941177)","(6.0, 13.0, 11.46)","(31.0, 310.0, 201.92307692307693)"
14-12-2022 13:42:58.530960,"(13.0, 32.0, 23.25)","(2.2, 2.4, 2.3166666666666664)","(7.0, 13.5, 11.975)","(41.0, 390.0, 137.14285714285714)","(2.5, 5.7, 4.405882352941177)","(6.0, 13.0, 11.46)","(31.0, 310.0, 201.92307692307693)"
14-12-2022 13:42:59.722422,"(13.0, 32.0, 23.25)","(2.2, 2.4, 2.3166666666666664)","(7.0, 13.5, 11.975)","(41.0, 390.0, 137.14285714285714)","(2.5, 5.7, 4.405882352941177)","(6.0, 13.0, 11.46)","(31.0, 310.0, 201.92307692307693)"
14-12-2022 13:43:00.776890,"(13.0, 32.0, 23.25)","(2.2, 2.4, 2.3166666666666664)","(7.0, 13.5, 11.975)","(41.0, 390.0, 137.14285714285714)","(2.5, 5.7, 4.405882352941177)","(6.0, 13.0, 11.46)","(31.0, 310.0, 201.92307692307693)"
14-12-2022 13:43:01.917280,"(13.0, 32.0, 23.25)","(2.2, 2.4, 2.3166666666666664)","(7.0, 13.5, 11.975)","(41.0, 390.0, 137.14285714285714)","(2.5, 5.7, 4.405882352941177)","(6.0, 13.0, 11.46)","(31.0, 310.0, 201.92307692307693)"
