,Aramoana,Sinha Man,Lonely Gemma,Smash Wave,Made The Cut,Homebush Honey,Dispute Or Not,Lucas Jewel
12-01-2023 13:12:26.742904,"(4.4, 6.8, 5.24)","(5.0, 10.5, 7.7)","(31.0, 340.0, 210.41666666666669)","(4.0, 6.4, 5.63)","(4.2, 11.5, 8.32857142857143)","(14.0, 32.0, 29.3125)","(5.5, 8.6, 8.072)","(8.0, 19.0, 18.213333333333335)"
12-01-2023 13:12:28.176895,"(4.4, 6.8, 5.24)","(5.0, 10.5, 7.7)","(31.0, 340.0, 210.41666666666669)","(4.0, 6.4, 5.63)","(4.2, 11.5, 8.32857142857143)","(14.0, 32.0, 29.3125)","(5.5, 8.6, 8.072)","(8.0, 19.0, 18.213333333333335)"
12-01-2023 13:12:29.347116,"(4.4, 6.8, 5.24)","(5.0, 10.5, 7.7)","(31.0, 340.0, 210.41666666666669)","(4.0, 6.4, 5.63)","(4.2, 11.5, 8.32857142857143)","(14.0, 32.0, 29.3125)","(5.5, 8.6, 8.072)","(8.0, 19.0, 18.213333333333335)"
12-01-2023 13:12:30.726175,"(4.4, 6.8, 5.24)","(5.0, 10.5, 7.7)","(31.0, 340.0, 210.41666666666669)","(4.0, 6.4, 5.63)","(4.2, 11.5, 8.32857142857143)","(14.0, 32.0, 29.3125)","(5.5, 8.6, 8.072)","(8.0, 19.0, 18.213333333333335)"
12-01-2023 13:12:32.077096,"(4.4, 6.8, 5.24)","(5.0, 10.5, 7.7)","(31.0, 340.0, 210.41666666666669)","(4.0, 6.4, 5.63)","(4.2, 11.5, 8.32857142857143)","(14.0, 32.0, 29.3125)","(5.5, 8.6, 8.072)","(8.0, 19.0, 18.213333333333335)"
12-01-2023 13:12:33.487037,"(4.4, 6.8, 5.24)","(5.0, 10.5, 7.7)","(31.0, 340.0, 210.41666666666669)","(4.0, 6.4, 5.63)","(4.2, 11.5, 8.32857142857143)","(14.0, 32.0, 29.3125)","(5.5, 8.6, 8.072)","(8.0, 19.0, 18.213333333333335)"
12-01-2023 13:12:34.835607,"(4.4, 6.8, 5.24)","(5.0, 10.5, 7.7)","(31.0, 340.0, 210.41666666666669)","(4.0, 6.4, 5.63)","(4.2, 11.5, 8.32857142857143)","(14.0, 32.0, 29.3125)","(5.5, 8.6, 8.072)","(8.0, 19.0, 18.213333333333335)"
12-01-2023 13:12:36.221860,"(4.4, 6.8, 5.24)","(5.0, 10.5, 7.7)","(31.0, 340.0, 210.41666666666669)","(4.0, 6.4, 5.63)","(4.2, 11.5, 8.32857142857143)","(14.0, 32.0, 29.3125)","(5.5, 8.6, 8.072)","(8.0, 19.0, 18.213333333333335)"
12-01-2023 13:12:37.579467,"(4.4, 6.8, 5.24)","(5.0, 10.5, 7.7)","(31.0, 340.0, 210.41666666666669)","(4.0, 6.4, 5.63)","(4.2, 11.5, 8.32857142857143)","(14.0, 32.0, 29.3125)","(5.5, 8.6, 8.072)","(8.0, 19.0, 18.213333333333335)"
12-01-2023 13:12:38.865779,"(4.4, 6.8, 5.24)","(5.0, 10.5, 7.7)","(31.0, 340.0, 210.41666666666669)","(4.0, 6.4, 5.63)","(4.2, 11.5, 8.32857142857143)","(14.0, 32.0, 29.3125)","(5.5, 8.6, 8.072)","(8.0, 19.0, 18.213333333333335)"
12-01-2023 13:12:39.984647,"(4.4, 6.8, 5.24)","(5.0, 10.5, 7.7)","(31.0, 340.0, 210.41666666666669)","(4.0, 6.4, 5.63)","(4.2, 11.5, 8.32857142857143)","(14.0, 32.0, 29.3125)","(5.5, 8.6, 8.072)","(8.0, 19.0, 18.213333333333335)"
12-01-2023 13:12:41.233876,"(4.4, 6.8, 5.24)","(5.0, 10.5, 7.7)","(31.0, 340.0, 210.41666666666669)","(4.0, 6.4, 5.63)","(4.2, 11.5, 8.32857142857143)","(14.0, 32.0, 29.3125)","(5.5, 8.6, 8.072)","(8.0, 19.0, 18.213333333333335)"
12-01-2023 13:12:42.477172,"(4.4, 6.8, 5.24)","(5.0, 10.5, 7.7)","(31.0, 340.0, 210.41666666666669)","(4.0, 6.4, 5.63)","(4.2, 11.5, 8.32857142857143)","(14.0, 32.0, 29.3125)","(5.5, 8.6, 8.072)","(8.0, 19.0, 18.213333333333335)"
12-01-2023 13:12:43.768142,"(4.4, 6.8, 5.24)","(5.0, 10.5, 7.7)","(31.0, 340.0, 210.41666666666669)","(4.0, 6.4, 5.63)","(4.2, 11.5, 8.32857142857143)","(14.0, 32.0, 29.3125)","(5.5, 8.6, 8.072)","(8.0, 19.0, 18.213333333333335)"
12-01-2023 13:12:44.968157,"(4.4, 6.8, 5.24)","(5.0, 10.5, 7.7)","(31.0, 340.0, 210.41666666666669)","(4.0, 6.4, 5.63)","(4.2, 11.5, 8.32857142857143)","(14.0, 32.0, 29.3125)","(5.5, 8.6, 8.072)","(8.0, 19.0, 18.213333333333335)"
12-01-2023 13:12:46.236175,"(4.4, 6.8, 5.24)","(5.0, 10.5, 7.7)","(31.0, 340.0, 210.41666666666669)","(4.0, 6.4, 5.63)","(4.2, 11.5, 8.32857142857143)","(14.0, 32.0, 29.3125)","(5.5, 8.6, 8.072)","(8.0, 19.0, 18.213333333333335)"
12-01-2023 13:12:47.454217,"(4.4, 6.8, 5.24)","(5.0, 10.5, 7.7)","(31.0, 340.0, 210.41666666666669)","(4.0, 6.4, 5.63)","(4.2, 11.5, 8.32857142857143)","(14.0, 32.0, 29.3125)","(5.5, 8.6, 8.072)","(8.0, 19.0, 18.213333333333335)"
12-01-2023 13:12:48.707398,"(4.4, 6.8, 5.24)","(5.0, 10.5, 7.7)","(31.0, 340.0, 210.41666666666669)","(4.0, 6.4, 5.63)","(4.2, 11.5, 8.32857142857143)","(14.0, 32.0, 29.3125)","(5.5, 8.6, 8.072)","(8.0, 19.0, 18.213333333333335)"
12-01-2023 13:12:49.846703,"(4.4, 6.8, 5.24)","(5.0, 10.5, 7.7)","(31.0, 340.0, 210.41666666666669)","(4.0, 6.4, 5.63)","(4.2, 11.5, 8.32857142857143)","(14.0, 32.0, 29.3125)","(5.5, 8.6, 8.072)","(8.0, 19.0, 18.213333333333335)"
12-01-2023 13:12:51.042105,"(4.4, 6.8, 5.24)","(5.0, 10.5, 7.7)","(31.0, 340.0, 210.41666666666669)","(4.0, 6.4, 5.63)","(4.2, 11.5, 8.32857142857143)","(14.0, 32.0, 29.3125)","(5.5, 8.6, 8.072)","(8.0, 19.0, 18.213333333333335)"
12-01-2023 13:12:52.330239,"(4.4, 6.8, 5.24)","(5.0, 10.5, 7.7)","(31.0, 340.0, 210.41666666666669)","(4.0, 6.4, 5.63)","(4.2, 11.5, 8.32857142857143)","(14.0, 32.0, 29.3125)","(5.5, 8.6, 8.072)","(8.0, 19.0, 18.213333333333335)"
12-01-2023 13:12:53.643139,"(4.4, 6.8, 5.24)","(5.0, 10.5, 7.7)","(31.0, 340.0, 210.41666666666669)","(4.0, 6.4, 5.63)","(4.2, 11.5, 8.32857142857143)","(14.0, 32.0, 29.3125)","(5.5, 8.6, 8.072)","(8.0, 19.0, 18.213333333333335)"
12-01-2023 13:12:54.899627,"(4.4, 6.8, 5.24)","(5.0, 10.5, 7.7)","(31.0, 340.0, 210.41666666666669)","(4.0, 6.4, 5.63)","(4.2, 11.5, 8.32857142857143)","(14.0, 32.0, 29.3125)","(5.5, 8.6, 8.072)","(8.0, 19.0, 18.213333333333335)"
12-01-2023 13:12:56.115104,"(4.4, 6.8, 5.24)","(5.0, 10.5, 7.7)","(31.0, 340.0, 210.41666666666669)","(4.0, 6.4, 5.63)","(4.2, 11.5, 8.32857142857143)","(14.0, 32.0, 29.3125)","(5.5, 8.6, 8.072)","(8.0, 19.0, 18.213333333333335)"
12-01-2023 13:12:57.278925,"(4.4, 7.0, 5.444444444444445)","(5.0, 10.5, 7.7)","(31.0, 340.0, 210.41666666666669)","(4.0, 6.4, 5.63)","(4.2, 11.5, 8.32857142857143)","(14.0, 32.0, 29.3125)","(5.5, 8.6, 8.072)","(8.0, 19.0, 18.213333333333335)"
12-01-2023 13:12:58.521706,"(4.4, 7.0, 5.444444444444445)","(5.0, 10.5, 7.7)","(31.0, 340.0, 210.41666666666669)","(4.0, 6.4, 5.63)","(4.2, 11.5, 8.32857142857143)","(14.0, 32.0, 29.3125)","(5.5, 8.6, 8.072)","(8.0, 19.0, 18.213333333333335)"
12-01-2023 13:12:59.734223,"(4.4, 7.0, 5.444444444444445)","(5.0, 10.5, 7.7)","(31.0, 340.0, 210.41666666666669)","(4.0, 6.4, 5.63)","(4.2, 11.5, 8.32857142857143)","(14.0, 32.0, 29.3125)","(5.5, 8.6, 8.072)","(8.0, 19.0, 18.213333333333335)"
12-01-2023 13:13:00.915784,"(4.4, 7.0, 5.444444444444445)","(5.0, 10.5, 7.7)","(31.0, 340.0, 210.41666666666669)","(4.0, 6.4, 5.63)","(4.2, 11.5, 8.32857142857143)","(14.0, 32.0, 29.3125)","(5.5, 8.6, 8.072)","(8.0, 19.0, 18.213333333333335)"
12-01-2023 13:13:02.168695,"(4.4, 7.0, 5.444444444444445)","(5.0, 10.5, 7.7)","(31.0, 340.0, 210.41666666666669)","(4.0, 6.4, 5.63)","(4.2, 11.5, 8.32857142857143)","(14.0, 32.0, 29.3125)","(5.5, 8.6, 8.072)","(8.0, 19.0, 18.213333333333335)"
12-01-2023 13:13:03.447978,"(4.4, 7.0, 5.444444444444445)","(5.0, 10.5, 7.7)","(31.0, 340.0, 210.41666666666669)","(4.0, 6.4, 5.63)","(4.2, 11.5, 8.32857142857143)","(14.0, 32.0, 29.3125)","(5.5, 8.6, 8.072)","(8.0, 19.0, 18.213333333333335)"
12-01-2023 13:13:04.700728,"(4.4, 7.0, 5.444444444444445)","(5.0, 10.5, 7.7)","(31.0, 340.0, 210.41666666666669)","(4.0, 6.4, 5.63)","(4.2, 11.5, 8.32857142857143)","(14.0, 32.0, 29.3125)","(5.5, 8.6, 8.072)","(8.0, 19.0, 18.213333333333335)"
12-01-2023 13:13:05.910495,"(4.4, 7.0, 5.444444444444445)","(5.0, 10.5, 7.7)","(31.0, 340.0, 210.41666666666669)","(4.0, 6.4, 5.63)","(4.2, 11.5, 8.32857142857143)","(14.0, 32.0, 29.3125)","(5.5, 8.6, 8.072)","(8.0, 19.0, 18.213333333333335)"
12-01-2023 13:13:07.177028,"(4.4, 7.0, 5.444444444444445)","(5.0, 10.5, 7.7)","(31.0, 340.0, 210.41666666666669)","(4.0, 6.4, 5.63)","(4.2, 11.5, 8.32857142857143)","(14.0, 32.0, 29.3125)","(5.5, 8.6, 8.072)","(8.0, 19.0, 18.213333333333335)"
12-01-2023 13:13:08.444654,"(4.4, 7.0, 5.444444444444445)","(5.0, 10.5, 7.7)","(31.0, 340.0, 210.41666666666669)","(4.0, 6.4, 5.63)","(4.2, 11.5, 8.32857142857143)","(14.0, 32.0, 29.3125)","(5.5, 8.6, 8.072)","(8.0, 19.0, 18.213333333333335)"
12-01-2023 13:13:09.710460,"(4.4, 7.0, 5.444444444444445)","(5.0, 10.5, 7.7)","(31.0, 340.0, 210.41666666666669)","(4.0, 6.4, 5.63)","(4.2, 11.5, 8.32857142857143)","(14.0, 32.0, 29.3125)","(5.5, 8.6, 8.072)","(8.0, 19.0, 18.213333333333335)"
12-01-2023 13:13:10.867120,"(4.4, 7.0, 5.444444444444445)","(5.0, 10.5, 7.7)","(31.0, 340.0, 210.41666666666669)","(4.0, 6.4, 5.63)","(4.2, 11.5, 8.32857142857143)","(14.0, 32.0, 29.3125)","(5.5, 8.6, 8.072)","(8.0, 19.0, 18.213333333333335)"
12-01-2023 13:13:12.025690,"(4.4, 7.0, 5.444444444444445)","(5.0, 10.5, 7.7)","(31.0, 340.0, 210.41666666666669)","(4.0, 6.4, 5.63)","(4.2, 11.5, 8.32857142857143)","(14.0, 32.0, 29.3125)","(5.5, 8.6, 8.072)","(8.0, 19.0, 18.213333333333335)"
12-01-2023 13:13:13.238663,"(4.4, 7.0, 5.444444444444445)","(5.0, 10.5, 7.7)","(31.0, 340.0, 210.41666666666669)","(4.0, 6.4, 5.63)","(4.2, 11.5, 8.32857142857143)","(14.0, 32.0, 29.3125)","(5.5, 8.6, 8.072)","(8.0, 19.0, 18.213333333333335)"
12-01-2023 13:13:14.457681,"(4.4, 7.0, 5.444444444444445)","(5.0, 10.5, 7.300000000000001)","(31.0, 340.0, 210.41666666666669)","(4.0, 6.4, 5.196875)","(4.2, 11.5, 8.32857142857143)","(14.0, 32.0, 29.3125)","(5.5, 8.6, 8.072)","(8.0, 19.0, 16.650000000000002)"
12-01-2023 13:13:15.530351,"(4.4, 7.0, 5.444444444444445)","(5.0, 8.8, 6.571428571428572)","(31.0, 340.0, 210.41666666666669)","(4.0, 6.4, 5.196875)","(4.2, 11.5, 8.32857142857143)","(14.0, 32.0, 29.3125)","(5.5, 8.6, 8.072)","(8.0, 18.0, 16.650000000000002)"
12-01-2023 13:13:16.719494,"(4.4, 7.0, 5.444444444444445)","(5.0, 8.8, 6.571428571428572)","(31.0, 340.0, 210.41666666666669)","(4.0, 6.4, 5.196875)","(4.2, 11.5, 8.32857142857143)","(14.0, 32.0, 29.3125)","(5.5, 8.6, 8.072)","(8.0, 18.0, 16.650000000000002)"
12-01-2023 13:13:17.938755,"(4.4, 7.0, 5.444444444444445)","(5.0, 8.8, 6.571428571428572)","(31.0, 340.0, 210.41666666666669)","(4.0, 6.4, 5.196875)","(4.2, 11.5, 8.32857142857143)","(14.0, 32.0, 29.3125)","(5.5, 8.6, 8.072)","(8.0, 18.0, 16.650000000000002)"
12-01-2023 13:13:19.216102,"(4.4, 7.0, 5.444444444444445)","(5.0, 8.8, 6.571428571428572)","(31.0, 340.0, 210.41666666666669)","(4.0, 6.4, 5.196875)","(4.2, 11.5, 8.32857142857143)","(14.0, 32.0, 29.3125)","(5.5, 8.6, 8.072)","(8.0, 18.0, 16.650000000000002)"
12-01-2023 13:13:20.438818,"(4.4, 7.0, 5.444444444444445)","(5.0, 8.8, 6.571428571428572)","(31.0, 340.0, 210.41666666666669)","(4.0, 6.4, 5.196875)","(4.2, 11.5, 8.32857142857143)","(14.0, 32.0, 29.3125)","(5.5, 8.6, 8.072)","(8.0, 18.0, 16.650000000000002)"
12-01-2023 13:13:21.683138,"(4.4, 7.0, 5.444444444444445)","(5.0, 8.8, 6.571428571428572)","(31.0, 340.0, 210.41666666666669)","(4.0, 6.4, 5.196875)","(4.2, 11.5, 8.32857142857143)","(14.0, 32.0, 29.3125)","(5.5, 8.6, 8.072)","(8.0, 18.0, 16.650000000000002)"
12-01-2023 13:13:22.904358,"(4.4, 7.0, 5.444444444444445)","(5.0, 8.8, 6.571428571428572)","(31.0, 340.0, 210.41666666666669)","(4.0, 6.4, 5.196875)","(4.2, 11.5, 8.32857142857143)","(14.0, 32.0, 29.3125)","(5.5, 8.6, 8.072)","(8.0, 18.0, 16.650000000000002)"
12-01-2023 13:13:24.131586,"(4.4, 7.0, 5.444444444444445)","(5.0, 8.8, 6.571428571428572)","(31.0, 340.0, 210.41666666666669)","(4.0, 6.4, 5.196875)","(4.2, 11.5, 8.32857142857143)","(14.0, 32.0, 29.3125)","(5.5, 8.6, 8.072)","(8.0, 18.0, 16.650000000000002)"
12-01-2023 13:13:25.334239,"(4.4, 7.0, 5.444444444444445)","(5.0, 8.8, 6.571428571428572)","(31.0, 340.0, 210.41666666666669)","(4.0, 6.4, 5.196875)","(4.2, 11.5, 8.32857142857143)","(14.0, 32.0, 29.3125)","(5.5, 8.6, 8.072)","(8.0, 18.0, 16.42857142857143)"
12-01-2023 13:13:26.431689,"(4.4, 7.0, 5.444444444444445)","(5.0, 8.8, 6.571428571428572)","(31.0, 340.0, 210.41666666666669)","(4.0, 6.4, 5.196875)","(4.2, 11.5, 8.32857142857143)","(14.0, 32.0, 29.3125)","(5.5, 8.6, 8.072)","(8.0, 18.0, 16.42857142857143)"
12-01-2023 13:13:27.663840,"(4.4, 7.0, 5.444444444444445)","(5.0, 8.8, 6.571428571428572)","(31.0, 340.0, 210.41666666666669)","(4.0, 6.4, 5.196875)","(4.2, 11.5, 8.32857142857143)","(14.0, 32.0, 29.3125)","(5.5, 8.6, 8.072)","(8.0, 18.0, 16.42857142857143)"
12-01-2023 13:13:28.940835,"(4.4, 7.0, 5.444444444444445)","(5.0, 8.8, 6.571428571428572)","(31.0, 340.0, 210.41666666666669)","(4.0, 6.4, 5.196875)","(4.2, 11.5, 8.32857142857143)","(14.0, 32.0, 29.3125)","(5.5, 8.6, 8.072)","(8.0, 18.0, 16.42857142857143)"
12-01-2023 13:13:30.135139,"(4.4, 7.0, 5.444444444444445)","(5.0, 8.8, 6.571428571428572)","(31.0, 340.0, 210.41666666666669)","(4.0, 6.4, 5.196875)","(4.2, 11.5, 8.32857142857143)","(14.0, 32.0, 29.3125)","(5.5, 8.6, 8.072)","(8.0, 18.0, 16.42857142857143)"
12-01-2023 13:13:31.392156,"(4.4, 7.0, 5.444444444444445)","(5.0, 8.8, 6.571428571428572)","(31.0, 340.0, 210.41666666666669)","(4.0, 6.4, 5.196875)","(4.2, 11.5, 8.32857142857143)","(14.0, 32.0, 29.3125)","(5.5, 8.6, 8.072)","(8.0, 18.0, 16.42857142857143)"
12-01-2023 13:13:32.639576,"(4.4, 7.0, 5.444444444444445)","(5.0, 8.8, 6.571428571428572)","(31.0, 340.0, 210.41666666666669)","(4.0, 6.4, 5.196875)","(4.2, 11.5, 8.32857142857143)","(14.0, 32.0, 29.3125)","(5.5, 8.6, 8.072)","(8.0, 18.0, 16.42857142857143)"
12-01-2023 13:13:33.899370,"(4.4, 7.0, 5.444444444444445)","(5.0, 8.8, 6.571428571428572)","(31.0, 340.0, 210.41666666666669)","(4.0, 6.4, 5.196875)","(4.2, 11.5, 8.32857142857143)","(14.0, 32.0, 29.3125)","(5.5, 8.6, 8.072)","(8.0, 18.0, 16.42857142857143)"
12-01-2023 13:13:35.155476,"(4.4, 7.0, 5.444444444444445)","(5.0, 8.8, 6.571428571428572)","(31.0, 340.0, 210.41666666666669)","(4.0, 6.4, 5.196875)","(4.2, 11.5, 8.32857142857143)","(14.0, 32.0, 29.3125)","(5.5, 8.6, 8.072)","(8.0, 18.0, 16.42857142857143)"
12-01-2023 13:13:36.329077,"(4.4, 7.0, 5.444444444444445)","(5.0, 8.8, 6.571428571428572)","(31.0, 340.0, 210.41666666666669)","(4.0, 6.4, 5.196875)","(4.2, 11.5, 8.32857142857143)","(14.0, 32.0, 29.3125)","(5.5, 8.6, 8.072)","(8.0, 18.0, 16.42857142857143)"
12-01-2023 13:13:37.480210,"(4.4, 7.0, 5.444444444444445)","(5.0, 8.8, 6.571428571428572)","(31.0, 340.0, 210.41666666666669)","(4.0, 6.4, 5.196875)","(4.2, 11.5, 8.32857142857143)","(14.0, 32.0, 29.3125)","(5.5, 8.6, 8.072)","(8.0, 18.0, 16.42857142857143)"
12-01-2023 13:13:38.717418,"(4.4, 7.0, 5.444444444444445)","(5.0, 8.8, 6.571428571428572)","(31.0, 340.0, 210.41666666666669)","(4.0, 6.4, 5.196875)","(4.2, 11.5, 8.32857142857143)","(14.0, 32.0, 29.3125)","(5.5, 8.6, 8.072)","(8.0, 18.0, 16.42857142857143)"
12-01-2023 13:13:39.934348,"(4.4, 7.0, 5.444444444444445)","(5.0, 8.8, 6.571428571428572)","(31.0, 340.0, 210.41666666666669)","(4.0, 6.4, 5.196875)","(4.2, 11.5, 8.32857142857143)","(14.0, 32.0, 29.3125)","(5.5, 8.6, 8.072)","(8.0, 18.0, 16.42857142857143)"
12-01-2023 13:13:41.074351,"(4.4, 7.0, 5.444444444444445)","(5.0, 8.8, 6.571428571428572)","(31.0, 340.0, 210.41666666666669)","(4.0, 6.4, 5.196875)","(4.2, 11.5, 8.32857142857143)","(14.0, 32.0, 29.3125)","(5.5, 8.6, 8.072)","(8.0, 18.0, 16.42857142857143)"
12-01-2023 13:13:42.200781,"(4.4, 7.0, 5.444444444444445)","(5.0, 8.8, 6.571428571428572)","(31.0, 340.0, 210.41666666666669)","(4.0, 6.4, 5.196875)","(4.2, 11.5, 8.32857142857143)","(14.0, 32.0, 29.3125)","(5.5, 8.6, 8.072)","(8.0, 18.0, 16.857142857142858)"
12-01-2023 13:13:43.462667,"(4.4, 7.2, 5.533333333333333)","(5.0, 8.8, 6.571428571428572)","(31.0, 340.0, 210.41666666666669)","(4.0, 6.4, 5.196875)","(4.2, 11.5, 8.32857142857143)","(14.0, 32.0, 29.3125)","(5.5, 8.6, 8.072)","(8.0, 18.5, 18.076923076923077)"
12-01-2023 13:13:44.709691,"(4.4, 7.2, 5.533333333333333)","(5.0, 9.0, 6.6571428571428575)","(31.0, 340.0, 210.41666666666669)","(4.0, 6.4, 5.196875)","(4.2, 11.5, 8.32857142857143)","(14.0, 32.0, 29.3125)","(5.5, 8.6, 8.072)","(8.0, 19.0, 18.076923076923077)"
12-01-2023 13:13:45.943771,"(4.4, 7.2, 5.533333333333333)","(5.0, 9.0, 6.6571428571428575)","(31.0, 340.0, 210.41666666666669)","(4.0, 6.4, 5.196875)","(4.2, 11.5, 8.32857142857143)","(14.0, 32.0, 29.3125)","(5.5, 8.6, 8.072)","(8.0, 19.0, 18.076923076923077)"
12-01-2023 13:13:47.155102,"(4.4, 7.2, 5.533333333333333)","(5.0, 9.0, 6.6571428571428575)","(31.0, 340.0, 210.41666666666669)","(4.0, 6.4, 5.196875)","(4.2, 11.5, 8.32857142857143)","(14.0, 32.0, 29.3125)","(5.5, 8.6, 8.072)","(8.0, 19.0, 18.076923076923077)"
12-01-2023 13:13:48.415921,"(4.4, 7.2, 5.533333333333333)","(5.0, 9.0, 6.6571428571428575)","(31.0, 340.0, 210.41666666666669)","(4.0, 6.4, 5.196875)","(4.2, 11.5, 8.32857142857143)","(14.0, 32.0, 29.3125)","(5.5, 8.6, 8.072)","(8.0, 19.0, 18.076923076923077)"
12-01-2023 13:13:49.630960,"(4.4, 7.2, 5.533333333333333)","(5.0, 9.0, 6.6571428571428575)","(31.0, 340.0, 210.41666666666669)","(4.0, 6.4, 5.196875)","(4.2, 11.5, 8.32857142857143)","(14.0, 32.0, 29.3125)","(5.5, 8.6, 8.072)","(8.0, 19.0, 18.076923076923077)"
12-01-2023 13:13:50.708085,"(4.4, 7.2, 5.533333333333333)","(5.0, 9.0, 6.6571428571428575)","(31.0, 340.0, 210.41666666666669)","(4.0, 6.4, 5.196875)","(4.2, 11.5, 8.32857142857143)","(14.0, 32.0, 29.3125)","(5.5, 8.6, 8.072)","(8.0, 19.0, 18.076923076923077)"
