,Applicant,Torpedo Tears,Providence Bale,Balbina Bale,Rosies No Angel,Modern Collinda,Jigglypuff
07-01-2023 19:21:08.780129,"(2.25, 3.1, 3.0680966767371602)","(16.0, 60.0, 48.875)","(7.5, 15.0, 12.4)","(8.0, 14.5, 14.31081081081081)","(3.8, 8.0, 5.8)","(5.0, 8.8, 8.689908256880734)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:21:09.893606,"(2.25, 3.1, 3.0680966767371602)","(16.0, 60.0, 48.875)","(7.5, 15.0, 12.4)","(8.0, 14.5, 14.31081081081081)","(3.8, 8.0, 5.8)","(5.0, 8.8, 8.689908256880734)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:21:11.007189,"(2.25, 3.1, 3.0680966767371602)","(16.0, 60.0, 48.875)","(7.5, 15.0, 12.4)","(8.0, 14.5, 14.31081081081081)","(3.8, 8.0, 5.8)","(5.0, 8.8, 8.689908256880734)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:21:12.156872,"(2.25, 3.1, 3.0680966767371602)","(16.0, 60.0, 48.875)","(7.5, 15.0, 12.4)","(8.0, 14.5, 14.31081081081081)","(3.8, 8.0, 5.8)","(5.0, 8.8, 8.689908256880734)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:21:13.239395,"(2.25, 3.1, 3.0680966767371602)","(16.0, 60.0, 48.875)","(7.5, 15.0, 12.4)","(8.0, 14.5, 14.31081081081081)","(3.8, 8.0, 5.8)","(5.0, 8.8, 8.689908256880734)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:21:14.314262,"(2.25, 3.1, 3.0680966767371602)","(16.0, 60.0, 48.875)","(7.5, 15.0, 12.4)","(8.0, 14.5, 14.31081081081081)","(3.8, 8.0, 5.8)","(5.0, 8.8, 8.689908256880734)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:21:15.346414,"(2.25, 3.1, 3.0680966767371602)","(16.0, 60.0, 48.875)","(7.5, 15.0, 12.4)","(8.0, 14.5, 14.31081081081081)","(3.8, 8.0, 5.8)","(5.0, 8.8, 8.689908256880734)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:21:16.550264,"(2.25, 3.1, 3.0680966767371602)","(16.0, 60.0, 48.875)","(7.5, 15.0, 12.4)","(8.0, 14.5, 14.31081081081081)","(3.8, 8.0, 5.8)","(5.0, 8.8, 8.689908256880734)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:21:17.645173,"(2.25, 3.1, 3.0680966767371602)","(16.0, 60.0, 48.875)","(7.5, 15.0, 12.4)","(8.0, 14.5, 14.31081081081081)","(3.8, 8.0, 5.8)","(5.0, 8.8, 8.689908256880734)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:21:18.763037,"(2.25, 3.1, 3.0680966767371602)","(16.0, 60.0, 48.875)","(7.5, 15.0, 12.4)","(8.0, 14.5, 14.31081081081081)","(3.8, 8.0, 5.8)","(5.0, 8.8, 8.689908256880734)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:21:19.912549,"(2.25, 3.1, 3.0680966767371602)","(16.0, 60.0, 48.875)","(7.5, 15.0, 12.4)","(8.0, 14.5, 14.31081081081081)","(3.8, 8.0, 5.8)","(5.0, 8.8, 8.689908256880734)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:21:21.097200,"(2.25, 3.1, 3.0680966767371602)","(16.0, 60.0, 48.875)","(7.5, 15.0, 12.4)","(8.0, 14.5, 14.31081081081081)","(3.8, 8.0, 5.8)","(5.0, 8.8, 8.689908256880734)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:21:22.276689,"(2.25, 3.1, 3.0680966767371602)","(16.0, 60.0, 48.875)","(7.5, 15.0, 12.4)","(8.0, 14.5, 14.31081081081081)","(3.8, 8.0, 5.8)","(5.0, 8.8, 8.689908256880734)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:21:23.504789,"(2.25, 3.1, 3.0680966767371602)","(16.0, 60.0, 48.875)","(7.5, 15.0, 12.4)","(8.0, 14.5, 14.31081081081081)","(3.8, 8.0, 5.8)","(5.0, 8.8, 8.689908256880734)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:21:24.613997,"(2.25, 3.1, 3.0680966767371602)","(16.0, 60.0, 48.875)","(7.5, 15.0, 12.4)","(8.0, 14.5, 14.31081081081081)","(3.8, 8.0, 5.8)","(5.0, 8.8, 8.689908256880734)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:21:25.659040,"(2.25, 3.1, 3.0680966767371602)","(16.0, 60.0, 48.875)","(7.5, 15.0, 12.4)","(8.0, 14.5, 14.31081081081081)","(3.8, 8.0, 5.8)","(5.0, 8.8, 8.689908256880734)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:21:26.764260,"(2.25, 3.1, 3.0680966767371602)","(16.0, 60.0, 48.875)","(7.5, 15.0, 12.4)","(8.0, 14.5, 14.31081081081081)","(3.8, 8.0, 5.8)","(5.0, 8.8, 8.689908256880734)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:21:27.959902,"(2.25, 3.1, 3.0680966767371602)","(16.0, 60.0, 48.875)","(7.5, 15.0, 12.4)","(8.0, 14.5, 14.31081081081081)","(3.8, 8.0, 5.8)","(5.0, 8.8, 8.689908256880734)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:21:29.139848,"(2.25, 3.1, 3.0680966767371602)","(16.0, 60.0, 48.875)","(7.5, 15.0, 12.4)","(8.0, 14.5, 14.31081081081081)","(3.8, 8.0, 5.8)","(5.0, 8.8, 8.689908256880734)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:21:30.186088,"(2.25, 3.1, 3.0680966767371602)","(16.0, 60.0, 48.875)","(7.5, 15.0, 12.4)","(8.0, 14.5, 14.31081081081081)","(3.8, 8.0, 5.8)","(5.0, 8.8, 8.689908256880734)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:21:31.352916,"(2.25, 3.1, 3.0680966767371602)","(16.0, 60.0, 48.875)","(7.5, 15.0, 12.4)","(8.0, 14.5, 14.31081081081081)","(3.8, 8.0, 5.8)","(5.0, 8.8, 8.689908256880734)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:21:32.644214,"(2.25, 3.1, 3.0680966767371602)","(16.0, 60.0, 48.875)","(7.5, 15.0, 12.4)","(8.0, 14.5, 14.31081081081081)","(3.8, 8.0, 5.8)","(5.0, 8.8, 8.689908256880734)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:21:33.962009,"(2.25, 3.1, 3.0680966767371602)","(16.0, 60.0, 48.875)","(7.5, 15.0, 12.4)","(8.0, 14.5, 14.31081081081081)","(3.8, 8.0, 5.8)","(5.0, 8.8, 8.689908256880734)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:21:35.221021,"(2.25, 3.1, 3.0680966767371602)","(16.0, 60.0, 48.875)","(7.5, 15.0, 12.4)","(8.0, 14.5, 14.31081081081081)","(3.8, 8.0, 5.8)","(5.0, 8.8, 8.689908256880734)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:21:36.727720,"(2.25, 3.1, 3.0680966767371602)","(16.0, 60.0, 48.875)","(7.5, 15.0, 12.4)","(8.0, 14.5, 14.31081081081081)","(3.8, 8.0, 5.8)","(5.0, 8.8, 8.689908256880734)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:21:37.984242,"(2.25, 3.1, 3.0680966767371602)","(16.0, 60.0, 48.875)","(7.5, 15.0, 12.4)","(8.0, 14.5, 14.31081081081081)","(3.8, 8.0, 5.8)","(5.0, 8.8, 8.689908256880734)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:21:39.393677,"(2.25, 3.1, 3.0680966767371602)","(16.0, 60.0, 48.875)","(7.5, 15.0, 12.4)","(8.0, 14.5, 14.31081081081081)","(3.8, 8.0, 5.8)","(5.0, 8.8, 8.689908256880734)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:21:40.540728,"(2.25, 3.1, 3.0680966767371602)","(16.0, 60.0, 48.875)","(7.5, 15.0, 12.4)","(8.0, 14.5, 14.31081081081081)","(3.8, 8.0, 5.8)","(5.0, 8.8, 8.689908256880734)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:21:41.601998,"(2.25, 3.1, 3.0680966767371602)","(16.0, 60.0, 48.875)","(7.5, 15.0, 12.4)","(8.0, 14.5, 14.31081081081081)","(3.8, 8.0, 5.8)","(5.0, 8.8, 8.689908256880734)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:21:42.649683,"(2.25, 3.1, 3.0680966767371602)","(16.0, 60.0, 48.875)","(7.5, 15.0, 12.4)","(8.0, 14.5, 14.31081081081081)","(3.8, 8.0, 5.8)","(5.0, 8.8, 8.689908256880734)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:21:43.727700,"(2.25, 3.1, 3.0680966767371602)","(16.0, 60.0, 48.875)","(7.5, 15.0, 12.4)","(8.0, 14.5, 14.31081081081081)","(3.8, 8.0, 5.8)","(5.0, 8.8, 8.689908256880734)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:21:44.879778,"(2.25, 3.1, 3.0680966767371602)","(16.0, 60.0, 48.875)","(7.5, 15.0, 12.4)","(8.0, 14.5, 14.31081081081081)","(3.8, 8.0, 5.8)","(5.0, 8.8, 8.689908256880734)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:21:46.042017,"(2.25, 3.1, 3.0680966767371602)","(16.0, 60.0, 48.875)","(7.5, 15.0, 12.4)","(8.0, 14.5, 14.31081081081081)","(3.8, 8.0, 5.8)","(5.0, 8.8, 8.689908256880734)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:21:47.055933,"(2.25, 3.1, 3.053274336283186)","(16.0, 60.0, 48.875)","(7.5, 15.0, 12.4)","(8.0, 14.5, 14.31081081081081)","(3.8, 8.0, 5.8)","(5.0, 8.8, 8.689908256880734)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:21:48.119406,"(2.25, 3.1, 3.053274336283186)","(16.0, 60.0, 48.875)","(7.5, 15.0, 12.4)","(8.0, 14.5, 14.31081081081081)","(3.8, 8.0, 5.8)","(5.0, 8.8, 8.689908256880734)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:21:49.322916,"(2.25, 3.1, 3.053274336283186)","(16.0, 60.0, 48.875)","(7.5, 15.0, 12.4)","(8.0, 14.5, 14.31081081081081)","(3.8, 8.0, 5.8)","(5.0, 8.8, 8.689908256880734)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:21:50.496737,"(2.25, 3.1, 3.053274336283186)","(16.0, 60.0, 48.875)","(7.5, 15.0, 12.4)","(8.0, 14.5, 14.31081081081081)","(3.8, 8.0, 5.8)","(5.0, 8.8, 8.689908256880734)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:21:51.692929,"(2.25, 3.1, 3.053274336283186)","(16.0, 60.0, 48.875)","(7.5, 15.0, 12.4)","(8.0, 14.5, 14.31081081081081)","(3.8, 8.0, 5.8)","(5.0, 8.8, 8.689908256880734)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:21:52.943008,"(2.25, 3.1, 3.053274336283186)","(16.0, 60.0, 48.875)","(7.5, 15.0, 12.4)","(8.0, 14.5, 14.31081081081081)","(3.8, 8.0, 5.8)","(5.0, 8.8, 8.689908256880734)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:21:54.074306,"(2.25, 3.1, 3.053274336283186)","(16.0, 60.0, 48.875)","(7.5, 15.0, 12.4)","(8.0, 14.5, 14.31081081081081)","(3.8, 8.0, 5.8)","(5.0, 8.8, 8.689908256880734)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:21:55.074054,"(2.25, 3.1, 3.053274336283186)","(16.0, 60.0, 48.875)","(7.5, 15.0, 12.4)","(8.0, 14.5, 14.31081081081081)","(3.8, 8.0, 5.8)","(5.0, 8.8, 8.689908256880734)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:21:56.093410,"(2.25, 3.1, 3.053274336283186)","(16.0, 60.0, 48.875)","(7.5, 15.0, 12.4)","(8.0, 14.5, 14.31081081081081)","(3.8, 8.0, 5.8)","(5.0, 8.8, 8.689908256880734)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:21:57.226343,"(2.25, 3.1, 3.053274336283186)","(16.0, 60.0, 48.875)","(7.5, 15.0, 12.4)","(8.0, 14.5, 14.31081081081081)","(3.8, 8.0, 5.8)","(5.0, 8.8, 8.689908256880734)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:21:58.352815,"(2.25, 3.1, 3.053274336283186)","(16.0, 60.0, 48.875)","(7.5, 15.0, 12.4)","(8.0, 14.5, 14.31081081081081)","(3.8, 8.0, 5.8)","(5.0, 8.8, 8.689908256880734)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:21:59.418747,"(2.25, 3.1, 3.053274336283186)","(16.0, 60.0, 48.875)","(7.5, 15.0, 12.4)","(8.0, 14.5, 14.31081081081081)","(3.8, 8.0, 5.8)","(5.0, 8.8, 8.689908256880734)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:22:00.524784,"(2.25, 3.1, 3.053274336283186)","(16.0, 60.0, 48.875)","(7.5, 15.0, 12.4)","(8.0, 14.5, 14.31081081081081)","(3.8, 8.0, 5.8)","(5.0, 8.8, 8.689908256880734)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:22:01.537946,"(2.25, 3.1, 3.053274336283186)","(16.0, 60.0, 48.875)","(7.5, 15.0, 12.4)","(8.0, 14.5, 14.31081081081081)","(3.8, 8.0, 5.8)","(5.0, 8.8, 8.689908256880734)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:22:02.501977,"(2.25, 3.1, 3.053274336283186)","(16.0, 60.0, 48.875)","(7.5, 15.0, 12.4)","(8.0, 14.5, 14.31081081081081)","(3.8, 8.0, 5.8)","(5.0, 8.8, 8.689908256880734)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:22:03.550855,"(2.25, 3.1, 3.053274336283186)","(16.0, 60.0, 48.875)","(7.5, 15.0, 12.4)","(8.0, 14.5, 14.31081081081081)","(3.8, 8.0, 5.8)","(5.0, 8.8, 8.689908256880734)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:22:04.694822,"(2.25, 3.1, 3.053274336283186)","(16.0, 60.0, 48.875)","(7.5, 15.0, 12.4)","(8.0, 14.5, 14.31081081081081)","(3.8, 8.0, 5.8)","(5.0, 8.8, 8.689908256880734)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:22:05.890070,"(2.25, 3.1, 3.053274336283186)","(16.0, 60.0, 54.375)","(7.5, 15.0, 9.8)","(8.0, 14.5, 14.31081081081081)","(3.8, 8.0, 5.8)","(5.0, 8.8, 8.689908256880734)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:22:06.983150,"(2.25, 3.1, 3.053274336283186)","(16.0, 60.0, 54.375)","(7.5, 15.0, 9.8)","(8.0, 14.5, 14.31081081081081)","(3.8, 8.0, 5.8)","(5.0, 8.8, 8.689908256880734)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:22:08.016913,"(2.25, 3.1, 3.053274336283186)","(16.0, 60.0, 54.375)","(7.5, 15.0, 9.8)","(8.0, 14.5, 14.31081081081081)","(3.8, 8.0, 5.8)","(5.0, 8.8, 8.689908256880734)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:22:09.111406,"(2.25, 3.1, 3.053274336283186)","(16.0, 60.0, 54.375)","(7.5, 15.0, 9.8)","(8.0, 14.5, 14.31081081081081)","(3.8, 8.0, 5.8)","(5.0, 8.8, 8.689908256880734)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:22:10.106363,"(2.25, 3.1, 3.053274336283186)","(16.0, 60.0, 54.375)","(7.5, 15.0, 9.8)","(8.0, 14.5, 14.31081081081081)","(3.8, 8.0, 5.8)","(5.0, 8.8, 8.689908256880734)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:22:11.109815,"(2.25, 3.1, 3.053274336283186)","(16.0, 60.0, 54.375)","(7.5, 15.0, 9.8)","(8.0, 14.5, 14.31081081081081)","(3.8, 8.0, 5.8)","(5.0, 8.8, 8.689908256880734)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:22:12.123013,"(2.25, 3.1, 3.053274336283186)","(16.0, 60.0, 54.375)","(7.5, 15.0, 9.8)","(8.0, 14.5, 14.31081081081081)","(3.8, 8.0, 5.8)","(5.0, 8.8, 8.689908256880734)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:22:13.114727,"(2.25, 3.1, 3.053274336283186)","(16.0, 60.0, 54.375)","(7.5, 15.0, 9.8)","(8.0, 14.5, 14.31081081081081)","(3.8, 8.0, 5.8)","(5.0, 8.8, 8.689908256880734)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:22:14.230610,"(2.25, 3.1, 3.053274336283186)","(16.0, 60.0, 54.375)","(7.5, 15.0, 9.8)","(8.0, 14.5, 14.31081081081081)","(3.8, 8.0, 5.8)","(5.0, 8.8, 8.689908256880734)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:22:15.268903,"(2.25, 3.1, 3.053274336283186)","(16.0, 60.0, 54.375)","(7.5, 15.0, 9.8)","(8.0, 14.5, 14.31081081081081)","(3.8, 8.0, 5.8)","(5.0, 8.8, 8.689908256880734)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:22:16.211376,"(2.25, 3.1, 3.053274336283186)","(16.0, 60.0, 54.375)","(7.5, 15.0, 9.8)","(8.0, 14.5, 14.31081081081081)","(3.8, 8.0, 5.8)","(5.0, 8.8, 8.689908256880734)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:22:17.209624,"(2.25, 3.1, 3.053274336283186)","(16.0, 60.0, 54.375)","(7.5, 15.0, 9.8)","(8.0, 14.5, 14.31081081081081)","(3.8, 8.0, 5.8)","(5.0, 8.8, 8.689908256880734)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:22:18.287214,"(2.25, 3.1, 3.053274336283186)","(16.0, 60.0, 54.375)","(7.5, 15.0, 9.8)","(8.0, 14.5, 14.31081081081081)","(3.8, 8.0, 5.8)","(5.0, 8.8, 8.689908256880734)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:22:19.397749,"(2.25, 3.1, 3.053274336283186)","(16.0, 60.0, 54.375)","(7.5, 15.0, 9.8)","(8.0, 14.5, 14.31081081081081)","(3.8, 8.0, 5.8)","(5.0, 8.8, 8.689908256880734)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:22:20.497634,"(2.25, 3.1, 3.053274336283186)","(16.0, 60.0, 54.375)","(7.5, 15.0, 9.8)","(8.0, 14.5, 14.31081081081081)","(3.8, 8.0, 5.8)","(5.0, 8.8, 8.689908256880734)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:22:21.562856,"(2.25, 3.1, 3.053274336283186)","(16.0, 60.0, 54.375)","(7.5, 15.0, 9.8)","(8.0, 14.5, 14.31081081081081)","(3.8, 8.0, 5.8)","(5.0, 8.8, 8.689908256880734)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:22:22.591732,"(2.25, 3.1, 3.053274336283186)","(16.0, 60.0, 54.375)","(7.5, 15.0, 9.8)","(8.0, 14.5, 14.31081081081081)","(3.8, 8.0, 5.8)","(5.0, 8.8, 8.689908256880734)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:22:23.600940,"(2.25, 3.1, 3.053274336283186)","(16.0, 60.0, 54.375)","(7.5, 15.0, 9.8)","(8.0, 14.5, 14.31081081081081)","(3.8, 8.0, 5.8)","(5.0, 8.8, 8.689908256880734)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:22:24.559143,"(2.25, 3.1, 3.053274336283186)","(16.0, 60.0, 54.375)","(7.5, 15.0, 9.8)","(8.0, 14.5, 14.31081081081081)","(3.8, 8.0, 5.8)","(5.0, 8.8, 8.689908256880734)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:22:25.625591,"(2.25, 3.1, 3.053274336283186)","(16.0, 60.0, 54.375)","(7.5, 15.0, 9.8)","(8.0, 14.5, 14.31081081081081)","(3.8, 8.0, 5.8)","(5.0, 8.8, 8.689908256880734)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:22:26.708880,"(2.25, 3.1, 3.053274336283186)","(16.0, 60.0, 54.375)","(7.5, 15.0, 9.8)","(8.0, 14.5, 14.31081081081081)","(3.8, 8.0, 5.8)","(5.0, 8.8, 8.689908256880734)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:22:27.782305,"(2.25, 3.1, 3.053274336283186)","(16.0, 60.0, 54.375)","(7.5, 15.0, 9.8)","(8.0, 14.5, 14.31081081081081)","(3.8, 8.0, 5.8)","(5.0, 8.8, 8.689908256880734)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:22:28.773613,"(2.25, 3.1, 3.053274336283186)","(16.0, 60.0, 54.375)","(7.5, 15.0, 9.8)","(8.0, 14.5, 14.31081081081081)","(3.8, 8.0, 5.8)","(5.0, 8.8, 8.689908256880734)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:22:29.787847,"(2.25, 3.1, 3.053274336283186)","(16.0, 60.0, 54.375)","(7.5, 15.0, 9.8)","(8.0, 14.5, 14.31081081081081)","(3.8, 8.0, 5.8)","(5.0, 8.8, 8.689908256880734)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:22:30.738085,"(2.25, 3.1, 3.053274336283186)","(16.0, 60.0, 54.375)","(7.5, 15.0, 9.8)","(8.0, 14.5, 14.31081081081081)","(3.8, 8.0, 5.8)","(5.0, 8.8, 8.689908256880734)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:22:31.709895,"(2.25, 3.1, 3.053274336283186)","(16.0, 60.0, 54.375)","(7.5, 15.0, 9.8)","(8.0, 14.5, 14.31081081081081)","(3.8, 8.0, 5.8)","(5.0, 8.8, 8.689908256880734)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:22:32.802280,"(2.25, 3.1, 3.053274336283186)","(16.0, 60.0, 54.375)","(7.5, 15.0, 9.8)","(8.0, 14.5, 14.31081081081081)","(3.8, 8.0, 5.8)","(5.0, 8.8, 8.689908256880734)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:22:33.952173,"(2.25, 3.1, 3.053274336283186)","(16.0, 60.0, 54.375)","(7.5, 15.0, 9.8)","(8.0, 14.5, 14.31081081081081)","(3.8, 8.0, 5.8)","(5.0, 8.8, 8.689908256880734)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:22:35.008806,"(2.25, 3.1, 3.053274336283186)","(16.0, 60.0, 54.375)","(7.5, 15.0, 9.8)","(8.0, 14.5, 14.31081081081081)","(3.8, 8.0, 5.8)","(5.0, 8.8, 8.689908256880734)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:22:35.981236,"(2.25, 3.1, 3.053274336283186)","(16.0, 60.0, 54.375)","(7.5, 15.0, 9.8)","(8.0, 14.5, 14.31081081081081)","(3.8, 8.0, 5.8)","(5.0, 8.8, 8.689908256880734)","(17.0, 70.0, 67.84615384615384)"
