,Bradman Best,Cherokee Outlaw,Zulu Boy,Sketchy Zara,Murphey,Fab Two Times
09-01-2023 17:22:42.638697,"(3.2, 5.7, 4.75)","(1.6, 2.22, 1.9500000000000002)","(51.0, 390.0, 218.0)","(61.0, 500.0, 144.0)","(7.5, 13.5, 13.175)","(6.5, 13.0, 12.142857142857142)"
09-01-2023 17:22:43.731147,"(3.2, 5.7, 4.75)","(1.6, 2.22, 1.9500000000000002)","(51.0, 390.0, 218.0)","(61.0, 500.0, 144.0)","(7.5, 13.5, 13.175)","(6.5, 13.0, 12.142857142857142)"
09-01-2023 17:22:44.788447,"(3.2, 5.7, 4.75)","(1.6, 2.22, 1.9500000000000002)","(51.0, 390.0, 218.0)","(61.0, 500.0, 144.0)","(7.5, 13.5, 13.175)","(6.5, 13.0, 12.142857142857142)"
09-01-2023 17:22:45.777393,"(3.2, 5.7, 4.75)","(1.6, 2.22, 1.9500000000000002)","(51.0, 390.0, 218.0)","(61.0, 500.0, 144.0)","(7.5, 13.5, 13.175)","(6.5, 13.0, 12.142857142857142)"
09-01-2023 17:22:46.820118,"(3.2, 5.7, 4.75)","(1.6, 2.22, 1.9500000000000002)","(51.0, 390.0, 218.0)","(61.0, 500.0, 144.0)","(7.5, 13.5, 13.175)","(6.5, 13.0, 12.142857142857142)"
09-01-2023 17:22:47.843358,"(3.2, 5.7, 4.75)","(1.6, 2.22, 1.9500000000000002)","(51.0, 390.0, 218.0)","(61.0, 500.0, 144.0)","(7.5, 13.5, 13.175)","(6.5, 13.0, 12.142857142857142)"
09-01-2023 17:22:48.771967,"(3.2, 5.7, 4.75)","(1.6, 2.22, 1.9500000000000002)","(51.0, 390.0, 218.0)","(61.0, 500.0, 144.0)","(7.5, 13.5, 13.175)","(6.5, 13.0, 12.142857142857142)"
09-01-2023 17:22:49.800836,"(3.2, 5.7, 4.75)","(1.6, 2.22, 1.9500000000000002)","(51.0, 390.0, 218.0)","(61.0, 500.0, 144.0)","(7.5, 13.5, 13.175)","(6.5, 13.0, 12.142857142857142)"
09-01-2023 17:22:50.785709,"(3.2, 5.7, 4.56)","(1.6, 2.22, 1.9500000000000002)","(51.0, 390.0, 218.0)","(61.0, 500.0, 144.0)","(7.5, 13.5, 13.175)","(6.5, 13.0, 12.142857142857142)"
09-01-2023 17:22:51.921968,"(3.2, 5.7, 4.56)","(1.6, 2.22, 1.848)","(51.0, 390.0, 218.0)","(61.0, 500.0, 144.0)","(7.5, 13.5, 12.280000000000001)","(6.5, 13.0, 11.879999999999999)"
09-01-2023 17:22:53.004157,"(3.2, 5.7, 4.56)","(1.6, 2.22, 1.854)","(51.0, 390.0, 218.0)","(61.0, 500.0, 144.0)","(7.5, 13.5, 13.175)","(6.5, 13.0, 12.142857142857142)"
09-01-2023 17:22:54.109546,"(3.2, 5.7, 4.56)","(1.6, 2.22, 1.848)","(51.0, 390.0, 218.0)","(61.0, 500.0, 304.44444444444446)","(7.5, 13.5, 13.175)","(6.5, 13.0, 12.142857142857142)"
09-01-2023 17:22:55.239433,"(3.2, 5.7, 4.56)","(1.6, 2.22, 1.848)","(51.0, 390.0, 218.0)","(61.0, 500.0, 304.44444444444446)","(7.5, 13.5, 13.175)","(6.5, 13.0, 12.142857142857142)"
09-01-2023 17:22:56.492852,"(3.2, 5.7, 4.75)","(1.6, 2.22, 1.848)","(51.0, 390.0, 218.0)","(61.0, 500.0, 304.44444444444446)","(7.5, 13.5, 13.175)","(6.5, 13.0, 12.142857142857142)"
09-01-2023 17:22:57.647568,"(3.2, 5.7, 4.75)","(1.6, 2.22, 1.848)","(51.0, 390.0, 218.0)","(61.0, 500.0, 304.44444444444446)","(7.5, 13.5, 13.175)","(6.5, 13.0, 12.142857142857142)"
09-01-2023 17:22:58.707952,"(3.2, 5.7, 4.75)","(1.6, 2.22, 1.836)","(51.0, 390.0, 218.0)","(61.0, 500.0, 304.44444444444446)","(7.5, 13.5, 13.175)","(6.5, 13.0, 12.142857142857142)"
09-01-2023 17:22:59.653711,"(3.2, 5.7, 4.75)","(1.6, 2.22, 1.836)","(51.0, 390.0, 218.0)","(61.0, 500.0, 304.44444444444446)","(7.5, 13.5, 13.175)","(6.5, 13.0, 12.142857142857142)"
09-01-2023 17:23:00.640653,"(3.2, 5.7, 4.75)","(1.6, 2.22, 1.836)","(51.0, 390.0, 218.0)","(61.0, 500.0, 304.44444444444446)","(7.5, 13.5, 13.175)","(6.5, 13.0, 12.142857142857142)"
09-01-2023 17:23:01.682650,"(3.2, 5.7, 4.75)","(1.6, 2.22, 1.836)","(51.0, 390.0, 218.0)","(61.0, 500.0, 304.44444444444446)","(7.5, 13.5, 13.175)","(6.5, 13.0, 12.142857142857142)"
09-01-2023 17:23:02.740659,"(3.2, 5.7, 4.75)","(1.6, 2.22, 1.836)","(51.0, 390.0, 218.0)","(61.0, 500.0, 304.44444444444446)","(7.5, 13.5, 13.175)","(6.5, 13.0, 12.142857142857142)"
09-01-2023 17:23:03.789779,"(3.2, 5.7, 4.75)","(1.6, 2.22, 1.836)","(51.0, 390.0, 218.0)","(61.0, 500.0, 304.44444444444446)","(7.5, 13.5, 13.175)","(6.5, 13.0, 12.142857142857142)"
09-01-2023 17:23:04.758891,"(3.2, 5.7, 4.75)","(1.6, 2.22, 1.836)","(51.0, 390.0, 218.0)","(61.0, 500.0, 304.44444444444446)","(7.5, 13.5, 13.175)","(6.5, 13.0, 12.142857142857142)"
09-01-2023 17:23:05.687952,"(3.2, 5.7, 4.75)","(1.6, 2.22, 1.836)","(51.0, 390.0, 218.0)","(61.0, 500.0, 304.44444444444446)","(7.5, 13.5, 13.175)","(6.5, 13.0, 10.6)"
09-01-2023 17:23:06.746938,"(3.2, 5.7, 4.2384615384615385)","(1.6, 2.22, 1.836)","(51.0, 390.0, 218.0)","(61.0, 500.0, 304.44444444444446)","(7.5, 13.5, 13.175)","(6.5, 13.0, 10.6)"
09-01-2023 17:23:07.867835,"(3.2, 5.7, 4.2384615384615385)","(1.6, 2.22, 1.848)","(51.0, 390.0, 218.0)","(61.0, 500.0, 304.44444444444446)","(7.5, 13.5, 13.175)","(6.5, 13.0, 10.6)"
09-01-2023 17:23:08.984223,"(3.2, 5.7, 4.2384615384615385)","(1.6, 2.22, 1.848)","(51.0, 390.0, 218.0)","(61.0, 500.0, 144.0)","(7.5, 13.5, 13.175)","(6.5, 13.0, 10.6)"
09-01-2023 17:23:10.127207,"(3.2, 5.7, 4.2384615384615385)","(1.6, 2.22, 1.848)","(51.0, 390.0, 218.0)","(61.0, 500.0, 144.0)","(7.5, 13.5, 13.175)","(6.5, 13.0, 10.6)"
09-01-2023 17:23:11.192675,"(3.2, 5.7, 4.2384615384615385)","(1.6, 2.22, 1.848)","(51.0, 390.0, 218.0)","(61.0, 500.0, 144.0)","(7.5, 13.5, 13.175)","(6.5, 13.0, 10.6)"
09-01-2023 17:23:12.244818,"(3.2, 5.7, 4.2384615384615385)","(1.6, 2.22, 2.1706329113924054)","(51.0, 390.0, 218.0)","(61.0, 500.0, 144.0)","(7.5, 13.5, 13.175)","(6.5, 13.0, 10.6)"
09-01-2023 17:23:13.197535,"(3.2, 5.7, 4.2384615384615385)","(1.6, 2.22, 1.836)","(51.0, 390.0, 218.0)","(61.0, 500.0, 144.0)","(7.5, 13.5, 12.2)","(6.5, 13.0, 10.2)"
09-01-2023 17:23:14.129769,"(3.2, 5.7, 4.315384615384615)","(1.6, 2.22, 1.842)","(51.0, 390.0, 218.0)","(61.0, 500.0, 144.0)","(7.5, 13.5, 12.280000000000001)","(6.5, 13.0, 10.2)"
09-01-2023 17:23:15.169302,"(3.2, 5.7, 4.315384615384615)","(1.6, 2.22, 1.842)","(51.0, 390.0, 218.0)","(61.0, 500.0, 144.0)","(7.5, 13.5, 12.280000000000001)","(6.5, 13.0, 10.2)"
09-01-2023 17:23:16.246911,"(3.2, 5.7, 4.315384615384615)","(1.6, 2.22, 1.842)","(51.0, 390.0, 218.0)","(61.0, 500.0, 144.0)","(7.5, 13.5, 13.175)","(6.5, 13.0, 10.6)"
09-01-2023 17:23:17.320689,"(3.2, 5.7, 4.2384615384615385)","(1.6, 2.22, 1.842)","(51.0, 390.0, 218.0)","(61.0, 500.0, 144.0)","(7.5, 13.5, 12.24)","(6.5, 13.0, 11.4)"
09-01-2023 17:23:18.273505,"(3.2, 5.7, 4.315384615384615)","(1.6, 2.22, 1.842)","(51.0, 390.0, 218.0)","(61.0, 500.0, 144.0)","(7.5, 13.5, 12.24)","(6.5, 13.0, 11.4)"
09-01-2023 17:23:19.254768,"(3.2, 5.7, 4.2384615384615385)","(1.6, 2.22, 1.842)","(51.0, 390.0, 218.0)","(61.0, 500.0, 144.0)","(7.5, 13.5, 12.24)","(6.5, 13.0, 11.4)"
09-01-2023 17:23:20.398586,"(3.2, 5.7, 4.2384615384615385)","(1.6, 2.22, 1.9720000000000002)","(51.0, 390.0, 218.0)","(61.0, 500.0, 144.0)","(7.5, 13.5, 12.24)","(6.5, 13.0, 11.4)"
09-01-2023 17:23:21.551726,"(3.2, 5.7, 4.2384615384615385)","(1.6, 2.22, 1.9720000000000002)","(51.0, 390.0, 218.0)","(61.0, 500.0, 144.0)","(7.5, 13.5, 12.24)","(6.5, 13.0, 11.4)"
09-01-2023 17:23:22.694314,"(3.2, 5.7, 4.2384615384615385)","(1.6, 2.22, 1.854)","(51.0, 390.0, 218.0)","(61.0, 500.0, 144.0)","(7.5, 13.5, 12.24)","(6.5, 13.0, 11.4)"
09-01-2023 17:23:23.853749,"(3.2, 5.7, 4.2384615384615385)","(1.6, 2.22, 1.854)","(51.0, 390.0, 218.0)","(61.0, 500.0, 144.0)","(7.5, 13.5, 12.24)","(6.5, 13.0, 11.4)"
09-01-2023 17:23:25.061279,"(3.2, 5.7, 4.2384615384615385)","(1.6, 2.22, 1.854)","(51.0, 390.0, 218.0)","(61.0, 500.0, 144.0)","(7.5, 13.5, 12.24)","(6.5, 13.0, 11.4)"
09-01-2023 17:23:26.162064,"(3.2, 5.7, 4.2384615384615385)","(1.6, 2.22, 1.854)","(51.0, 390.0, 218.0)","(61.0, 500.0, 144.0)","(7.5, 13.5, 12.24)","(6.5, 13.0, 11.4)"
09-01-2023 17:23:27.137635,"(3.2, 5.7, 4.116666666666666)","(1.6, 2.22, 1.854)","(51.0, 390.0, 218.0)","(61.0, 500.0, 144.0)","(7.5, 13.5, 12.24)","(6.5, 13.0, 11.4)"
09-01-2023 17:23:28.112008,"(3.2, 5.7, 4.116666666666666)","(1.6, 2.22, 1.842)","(51.0, 390.0, 218.0)","(61.0, 500.0, 144.0)","(7.5, 13.5, 12.24)","(6.5, 13.0, 11.4)"
09-01-2023 17:23:29.152266,"(3.2, 5.7, 4.116666666666666)","(1.6, 2.22, 1.848)","(51.0, 390.0, 218.0)","(61.0, 500.0, 144.0)","(7.5, 13.5, 12.24)","(6.5, 13.0, 11.4)"
09-01-2023 17:23:30.290013,"(3.2, 5.7, 4.116666666666666)","(1.6, 2.22, 1.848)","(51.0, 390.0, 218.0)","(61.0, 500.0, 144.0)","(7.5, 13.5, 12.24)","(6.5, 13.0, 11.4)"
09-01-2023 17:23:31.450150,"(3.2, 5.7, 4.116666666666666)","(1.6, 2.22, 1.836)","(51.0, 390.0, 218.0)","(61.0, 500.0, 144.0)","(7.5, 13.5, 12.24)","(6.5, 13.0, 11.4)"
09-01-2023 17:23:32.380512,"(3.2, 5.7, 4.2384615384615385)","(1.6, 2.22, 1.842)","(51.0, 390.0, 218.0)","(61.0, 500.0, 144.0)","(7.5, 13.5, 12.24)","(6.5, 13.0, 11.4)"
09-01-2023 17:23:33.579086,"(3.2, 5.7, 4.2384615384615385)","(1.6, 2.22, 1.86)","(51.0, 390.0, 218.0)","(61.0, 500.0, 144.0)","(7.5, 13.5, 12.24)","(6.5, 13.0, 11.4)"
09-01-2023 17:23:34.736795,"(3.2, 5.7, 4.2384615384615385)","(1.6, 2.22, 1.86)","(51.0, 390.0, 218.0)","(61.0, 500.0, 144.0)","(7.5, 13.5, 12.24)","(6.5, 13.0, 11.4)"
09-01-2023 17:23:36.069037,"(3.2, 5.7, 4.2384615384615385)","(1.6, 2.22, 1.86)","(51.0, 390.0, 218.0)","(61.0, 500.0, 144.0)","(7.5, 13.5, 12.24)","(6.5, 13.0, 12.5)"
09-01-2023 17:23:37.303526,"(3.2, 5.7, 4.2384615384615385)","(1.6, 2.22, 1.86)","(51.0, 390.0, 218.0)","(61.0, 500.0, 144.0)","(7.5, 13.5, 12.24)","(6.5, 13.0, 12.5)"
09-01-2023 17:23:38.551128,"(3.2, 5.7, 4.2384615384615385)","(1.6, 2.22, 1.86)","(51.0, 390.0, 218.0)","(61.0, 500.0, 144.0)","(7.5, 13.5, 12.24)","(6.5, 13.0, 12.5)"
09-01-2023 17:23:39.602846,"(3.2, 5.7, 4.2384615384615385)","(1.6, 2.22, 1.86)","(51.0, 390.0, 218.0)","(61.0, 500.0, 144.0)","(7.5, 13.5, 12.24)","(6.5, 13.0, 12.5)"
09-01-2023 17:23:40.587111,"(3.2, 5.7, 4.2384615384615385)","(1.6, 2.22, 1.836)","(51.0, 390.0, 218.0)","(61.0, 500.0, 144.0)","(7.5, 13.5, 12.24)","(6.5, 13.0, 12.5)"
09-01-2023 17:23:41.509242,"(3.2, 5.7, 4.2384615384615385)","(1.6, 2.22, 1.836)","(51.0, 390.0, 218.0)","(61.0, 500.0, 144.0)","(7.5, 13.5, 12.24)","(6.5, 13.0, 12.5)"
09-01-2023 17:23:42.531788,"(3.2, 5.7, 4.2384615384615385)","(1.6, 2.22, 1.836)","(51.0, 390.0, 218.0)","(61.0, 500.0, 144.0)","(7.5, 13.5, 12.24)","(6.5, 13.0, 12.5)"
09-01-2023 17:23:43.593190,"(3.2, 5.7, 4.2384615384615385)","(1.6, 2.22, 1.836)","(51.0, 390.0, 218.0)","(61.0, 500.0, 304.44444444444446)","(7.5, 13.5, 12.24)","(6.5, 13.0, 12.5)"
09-01-2023 17:23:44.611023,"(3.2, 5.7, 4.2384615384615385)","(1.6, 2.22, 1.836)","(51.0, 390.0, 218.0)","(61.0, 500.0, 304.44444444444446)","(7.5, 13.5, 12.24)","(6.5, 13.0, 12.5)"
09-01-2023 17:23:45.596922,"(3.2, 5.7, 4.2384615384615385)","(1.6, 2.22, 1.836)","(51.0, 390.0, 218.0)","(61.0, 500.0, 304.44444444444446)","(7.5, 13.5, 12.24)","(6.5, 13.0, 12.5)"
09-01-2023 17:23:46.550772,"(3.2, 5.7, 4.2384615384615385)","(1.6, 2.22, 1.848)","(51.0, 390.0, 218.0)","(61.0, 500.0, 304.44444444444446)","(7.5, 13.5, 12.24)","(6.5, 13.0, 12.5)"
09-01-2023 17:23:47.596219,"(3.2, 5.7, 4.2384615384615385)","(1.6, 2.22, 1.848)","(51.0, 390.0, 218.0)","(61.0, 500.0, 304.44444444444446)","(7.5, 13.5, 12.24)","(6.5, 13.0, 12.5)"
09-01-2023 17:23:48.706373,"(3.2, 5.7, 4.2384615384615385)","(1.6, 2.22, 1.848)","(51.0, 390.0, 218.0)","(61.0, 500.0, 304.44444444444446)","(7.5, 13.5, 12.24)","(6.5, 13.0, 12.5)"
09-01-2023 17:23:49.845033,"(3.2, 5.7, 4.2384615384615385)","(1.6, 2.22, 1.848)","(51.0, 390.0, 218.0)","(61.0, 500.0, 304.44444444444446)","(7.5, 13.5, 12.24)","(6.5, 13.0, 12.5)"
09-01-2023 17:23:50.979315,"(3.2, 5.7, 4.2384615384615385)","(1.6, 2.22, 1.848)","(51.0, 390.0, 218.0)","(61.0, 500.0, 304.44444444444446)","(7.5, 13.5, 12.24)","(6.5, 13.0, 12.5)"
09-01-2023 17:23:52.067896,"(3.2, 5.7, 4.2384615384615385)","(1.6, 2.22, 1.848)","(51.0, 390.0, 218.0)","(61.0, 500.0, 304.44444444444446)","(7.5, 13.5, 12.24)","(6.5, 13.0, 12.5)"
09-01-2023 17:23:53.175028,"(3.2, 5.7, 4.2384615384615385)","(1.6, 2.22, 1.836)","(51.0, 390.0, 218.0)","(61.0, 500.0, 304.44444444444446)","(7.5, 13.5, 12.24)","(6.5, 13.0, 12.5)"
09-01-2023 17:23:54.127618,"(3.2, 5.7, 4.2384615384615385)","(1.6, 2.22, 1.836)","(51.0, 390.0, 218.0)","(61.0, 500.0, 304.44444444444446)","(7.5, 13.5, 12.24)","(6.5, 13.0, 12.5)"
09-01-2023 17:23:55.072740,"(3.2, 5.7, 4.2384615384615385)","(1.6, 2.22, 1.836)","(51.0, 390.0, 218.0)","(61.0, 500.0, 144.0)","(7.5, 13.5, 12.24)","(6.5, 13.0, 12.5)"
09-01-2023 17:23:56.202179,"(3.2, 5.7, 4.2384615384615385)","(1.6, 2.22, 1.836)","(51.0, 390.0, 218.0)","(61.0, 500.0, 144.0)","(7.5, 13.5, 12.24)","(6.5, 13.0, 12.5)"
09-01-2023 17:23:57.301919,"(3.2, 5.7, 4.2384615384615385)","(1.6, 2.22, 1.836)","(51.0, 390.0, 218.0)","(61.0, 500.0, 144.0)","(7.5, 13.5, 12.24)","(6.5, 13.0, 12.5)"
09-01-2023 17:23:58.373680,"(3.2, 5.7, 4.2384615384615385)","(1.6, 2.22, 1.836)","(51.0, 390.0, 218.0)","(61.0, 500.0, 144.0)","(7.5, 13.5, 12.24)","(6.5, 13.0, 12.5)"
09-01-2023 17:23:59.425693,"(3.2, 5.7, 4.2384615384615385)","(1.6, 2.22, 1.836)","(51.0, 390.0, 218.0)","(61.0, 500.0, 144.0)","(7.5, 13.5, 12.24)","(6.5, 13.0, 12.5)"
09-01-2023 17:24:00.464888,"(3.2, 5.7, 4.2384615384615385)","(1.6, 2.22, 1.9500000000000002)","(51.0, 390.0, 218.0)","(61.0, 500.0, 144.0)","(7.5, 13.5, 12.24)","(6.5, 13.0, 12.5)"
09-01-2023 17:24:01.592879,"(3.2, 5.7, 4.116666666666666)","(1.6, 2.22, 1.9500000000000002)","(51.0, 390.0, 218.0)","(61.0, 500.0, 144.0)","(7.5, 13.5, 12.24)","(6.5, 13.0, 12.5)"
09-01-2023 17:24:02.602979,"(3.2, 5.7, 4.116666666666666)","(1.6, 2.22, 1.9500000000000002)","(51.0, 390.0, 218.0)","(61.0, 500.0, 144.0)","(7.5, 13.5, 12.24)","(6.5, 13.0, 12.5)"
09-01-2023 17:24:03.701228,"(3.2, 5.7, 4.116666666666666)","(1.6, 2.22, 1.9500000000000002)","(51.0, 390.0, 218.0)","(61.0, 500.0, 144.0)","(7.5, 13.5, 12.24)","(6.5, 13.0, 12.5)"
09-01-2023 17:24:04.650969,"(3.2, 5.7, 4.2384615384615385)","(1.6, 2.22, 1.9500000000000002)","(51.0, 390.0, 218.0)","(61.0, 500.0, 144.0)","(7.5, 13.5, 12.24)","(6.5, 13.0, 12.5)"
09-01-2023 17:24:05.621999,"(3.2, 5.7, 4.2384615384615385)","(1.6, 2.22, 1.9500000000000002)","(51.0, 390.0, 218.0)","(61.0, 500.0, 144.0)","(7.5, 13.5, 12.24)","(6.5, 13.0, 12.5)"
09-01-2023 17:24:06.603946,"(3.2, 5.7, 4.2384615384615385)","(1.6, 2.22, 1.9500000000000002)","(51.0, 390.0, 218.0)","(61.0, 500.0, 144.0)","(7.5, 13.5, 12.24)","(6.5, 13.0, 12.5)"
09-01-2023 17:24:07.594519,"(3.2, 5.7, 4.2384615384615385)","(1.6, 2.22, 1.9500000000000002)","(51.0, 390.0, 218.0)","(61.0, 500.0, 144.0)","(7.5, 13.5, 12.24)","(6.5, 13.0, 12.5)"
09-01-2023 17:24:08.564877,"(3.2, 5.7, 4.2384615384615385)","(1.6, 2.22, 1.9500000000000002)","(51.0, 390.0, 218.0)","(61.0, 500.0, 144.0)","(7.5, 13.5, 12.24)","(6.5, 13.0, 12.5)"
09-01-2023 17:24:09.545476,"(3.2, 5.7, 4.96)","(1.6, 2.22, 1.9500000000000002)","(51.0, 390.0, 218.0)","(61.0, 500.0, 144.0)","(7.5, 13.5, 12.24)","(6.5, 13.0, 12.5)"
09-01-2023 17:24:10.464979,"(3.2, 5.7, 4.2)","(1.6, 2.22, 1.9500000000000002)","(51.0, 390.0, 218.0)","(61.0, 500.0, 144.0)","(7.5, 13.5, 12.24)","(6.5, 13.0, 12.5)"
09-01-2023 17:24:11.313051,"(3.2, 5.7, 4.2)","(1.6, 2.22, 1.9500000000000002)","(51.0, 390.0, 218.0)","(61.0, 500.0, 144.0)","(7.5, 13.5, 12.24)","(6.5, 13.0, 12.5)"
09-01-2023 17:24:12.224464,"(3.2, 5.7, 4.2)","(1.6, 2.22, 1.9500000000000002)","(51.0, 390.0, 218.0)","(61.0, 500.0, 144.0)","(7.5, 13.5, 12.24)","(6.5, 13.0, 12.5)"
09-01-2023 17:24:13.205405,"(3.2, 5.7, 4.2)","(1.6, 2.22, 1.9500000000000002)","(51.0, 390.0, 218.0)","(61.0, 500.0, 144.0)","(7.5, 13.5, 12.24)","(6.5, 13.0, 12.5)"
09-01-2023 17:24:14.231170,"(3.2, 5.7, 4.2)","(1.6, 2.22, 1.9500000000000002)","(51.0, 390.0, 218.0)","(61.0, 500.0, 144.0)","(7.5, 13.5, 12.24)","(6.5, 13.0, 12.5)"
09-01-2023 17:24:15.248735,"(3.2, 5.7, 4.2)","(1.6, 2.22, 1.9500000000000002)","(51.0, 390.0, 218.0)","(61.0, 500.0, 144.0)","(7.5, 13.5, 12.24)","(6.5, 13.0, 12.5)"
09-01-2023 17:24:16.298001,"(3.2, 5.7, 4.2)","(1.6, 2.22, 1.9500000000000002)","(51.0, 390.0, 218.0)","(61.0, 500.0, 144.0)","(7.5, 13.5, 12.24)","(6.5, 13.0, 12.5)"
09-01-2023 17:24:17.236048,"(3.2, 5.7, 4.2)","(1.6, 2.22, 1.9500000000000002)","(51.0, 390.0, 218.0)","(61.0, 500.0, 144.0)","(7.5, 13.5, 12.24)","(6.5, 13.0, 12.5)"
09-01-2023 17:24:18.131460,"(3.2, 5.7, 4.2)","(1.6, 2.22, 1.9500000000000002)","(51.0, 390.0, 218.0)","(61.0, 500.0, 144.0)","(7.5, 13.5, 12.24)","(6.5, 13.0, 12.5)"
09-01-2023 17:24:18.996800,"(3.2, 5.7, 4.2)","(1.6, 2.22, 1.9500000000000002)","(51.0, 390.0, 218.0)","(61.0, 500.0, 144.0)","(7.5, 13.5, 12.24)","(6.5, 13.0, 12.5)"
09-01-2023 17:24:19.955667,"(3.2, 5.7, 4.2)","(1.6, 2.22, 1.9500000000000002)","(51.0, 390.0, 218.0)","(61.0, 500.0, 144.0)","(7.5, 13.5, 12.24)","(6.5, 13.0, 12.5)"
09-01-2023 17:24:20.902482,"(3.2, 5.7, 4.2)","(1.6, 2.22, 1.9500000000000002)","(51.0, 390.0, 218.0)","(61.0, 500.0, 144.0)","(7.5, 13.5, 12.24)","(6.5, 13.0, 12.5)"
09-01-2023 17:24:21.881522,"(3.2, 5.7, 4.2)","(1.6, 2.22, 1.9500000000000002)","(51.0, 390.0, 218.0)","(61.0, 500.0, 144.0)","(7.5, 13.5, 12.24)","(6.5, 13.0, 12.5)"
09-01-2023 17:24:22.795311,"(3.2, 5.7, 4.62)","(1.6, 2.22, 1.9500000000000002)","(51.0, 390.0, 218.0)","(61.0, 500.0, 144.0)","(7.5, 13.5, 12.24)","(6.5, 13.0, 12.5)"
09-01-2023 17:24:23.694313,"(3.2, 5.7, 4.62)","(1.6, 2.22, 1.9500000000000002)","(51.0, 390.0, 218.0)","(61.0, 500.0, 144.0)","(7.5, 13.5, 12.24)","(6.5, 13.0, 12.5)"
09-01-2023 17:24:24.556544,"(3.2, 5.7, 4.62)","(1.6, 2.22, 1.9500000000000002)","(51.0, 390.0, 218.0)","(61.0, 500.0, 144.0)","(7.5, 13.5, 12.24)","(6.5, 13.0, 12.5)"
