,Archbishop,Avancer,Dumpus,Prince Carlos,Threetimeslucky,Yazh,Salt City,Super Mind,Cheeky Secrets,Harpers Jewel,Billabull,I Told Rubick
12-01-2023 14:25:41.177511,"(14.0, 28.0, 21.5)","(20.0, 150.0, 98.0)","(3.8, 5.6, 4.733333333333333)","(6.0, 9.6, 9.2)","(3.5, 6.0, 4.975)","(61.0, 230.0, 200.83333333333334)","(10.0, 17.0, 14.333333333333334)","(71.0, 230.0, 201.66666666666666)","(19.0, 130.0, 58.0)","(5.0, 7.4, 6.823076923076924)","(18.0, 130.0, 82.42857142857143)","(26.0, 180.0, 87.6)"
12-01-2023 14:25:42.712977,"(14.0, 28.0, 21.5)","(20.0, 150.0, 98.0)","(3.8, 5.6, 4.733333333333333)","(6.0, 9.6, 9.2)","(3.5, 6.0, 4.975)","(61.0, 230.0, 200.83333333333334)","(10.0, 17.0, 14.333333333333334)","(71.0, 230.0, 201.66666666666666)","(19.0, 130.0, 58.0)","(5.0, 7.4, 6.823076923076924)","(18.0, 130.0, 82.42857142857143)","(26.0, 180.0, 87.6)"
12-01-2023 14:25:44.221411,"(14.0, 28.0, 21.5)","(20.0, 150.0, 98.0)","(3.8, 5.6, 4.733333333333333)","(6.0, 9.6, 9.2)","(3.5, 6.0, 4.975)","(61.0, 230.0, 200.83333333333334)","(10.0, 17.0, 14.333333333333334)","(71.0, 230.0, 201.66666666666666)","(19.0, 130.0, 81.14285714285714)","(5.0, 7.4, 6.823076923076924)","(18.0, 130.0, 77.54545454545455)","(26.0, 180.0, 87.6)"
12-01-2023 14:25:45.671902,"(14.0, 28.0, 21.5)","(20.0, 150.0, 98.0)","(3.8, 5.6, 4.733333333333333)","(6.0, 9.6, 9.2)","(3.5, 6.0, 4.975)","(61.0, 230.0, 200.83333333333334)","(10.0, 17.0, 14.333333333333334)","(71.0, 230.0, 201.66666666666666)","(19.0, 160.0, 81.14285714285714)","(5.0, 7.4, 6.823076923076924)","(18.0, 180.0, 77.54545454545455)","(26.0, 180.0, 87.6)"
12-01-2023 14:25:47.118802,"(14.0, 28.0, 21.5)","(20.0, 150.0, 98.0)","(3.8, 5.6, 4.733333333333333)","(6.0, 9.6, 9.2)","(3.5, 6.0, 4.975)","(61.0, 230.0, 212.5)","(10.0, 17.0, 14.333333333333334)","(71.0, 230.0, 201.66666666666666)","(19.0, 160.0, 86.80000000000001)","(5.0, 7.4, 6.823076923076924)","(18.0, 180.0, 82.42857142857143)","(26.0, 180.0, 87.6)"
12-01-2023 14:25:48.513236,"(14.0, 28.0, 21.5)","(20.0, 150.0, 98.0)","(3.8, 5.6, 4.733333333333333)","(6.0, 9.6, 9.2)","(3.5, 6.0, 4.975)","(61.0, 230.0, 212.5)","(10.0, 17.0, 14.333333333333334)","(71.0, 230.0, 201.66666666666666)","(19.0, 130.0, 58.0)","(5.0, 7.4, 6.823076923076924)","(18.0, 130.0, 82.42857142857143)","(26.0, 180.0, 87.6)"
12-01-2023 14:25:49.925635,"(14.0, 28.0, 21.5)","(20.0, 150.0, 98.0)","(3.8, 5.6, 4.733333333333333)","(6.0, 9.6, 9.2)","(3.5, 6.0, 4.975)","(61.0, 230.0, 212.5)","(10.0, 17.0, 14.333333333333334)","(71.0, 230.0, 201.66666666666666)","(19.0, 130.0, 58.0)","(5.0, 7.4, 6.823076923076924)","(18.0, 130.0, 82.42857142857143)","(26.0, 180.0, 87.6)"
12-01-2023 14:25:51.445960,"(14.0, 28.0, 21.5)","(20.0, 150.0, 98.0)","(3.8, 5.6, 4.733333333333333)","(6.0, 9.6, 9.2)","(3.5, 6.0, 4.975)","(61.0, 230.0, 212.5)","(10.0, 17.0, 14.333333333333334)","(71.0, 230.0, 201.66666666666666)","(19.0, 130.0, 58.0)","(5.0, 7.4, 6.823076923076924)","(18.0, 130.0, 82.42857142857143)","(26.0, 180.0, 87.6)"
12-01-2023 14:25:52.933720,"(14.0, 28.0, 21.5)","(20.0, 150.0, 98.0)","(3.8, 5.6, 4.733333333333333)","(6.0, 9.6, 9.2)","(3.5, 6.0, 4.975)","(61.0, 230.0, 212.5)","(10.0, 17.0, 14.333333333333334)","(71.0, 230.0, 201.66666666666666)","(19.0, 130.0, 58.0)","(5.0, 7.4, 6.823076923076924)","(18.0, 130.0, 82.42857142857143)","(26.0, 180.0, 87.6)"
12-01-2023 14:25:54.460708,"(14.0, 28.0, 21.5)","(20.0, 150.0, 98.0)","(3.8, 5.6, 4.733333333333333)","(6.0, 9.6, 9.2)","(3.5, 6.0, 4.975)","(61.0, 230.0, 212.5)","(10.0, 17.0, 14.333333333333334)","(71.0, 230.0, 201.66666666666666)","(19.0, 130.0, 58.0)","(5.0, 7.4, 6.823076923076924)","(18.0, 130.0, 82.42857142857143)","(26.0, 180.0, 87.6)"
12-01-2023 14:25:55.973002,"(14.0, 28.0, 21.5)","(20.0, 150.0, 98.0)","(3.8, 5.6, 4.733333333333333)","(6.0, 9.6, 9.2)","(3.5, 6.0, 4.975)","(61.0, 230.0, 212.5)","(10.0, 17.0, 14.333333333333334)","(71.0, 230.0, 201.66666666666666)","(19.0, 130.0, 58.0)","(5.0, 7.4, 6.823076923076924)","(18.0, 130.0, 82.42857142857143)","(26.0, 180.0, 87.6)"
12-01-2023 14:25:57.506511,"(14.0, 28.0, 21.5)","(20.0, 150.0, 98.0)","(3.8, 5.6, 4.733333333333333)","(6.0, 9.6, 9.2)","(3.5, 6.0, 4.975)","(61.0, 230.0, 212.5)","(10.0, 17.0, 14.333333333333334)","(71.0, 230.0, 201.66666666666666)","(19.0, 130.0, 58.0)","(5.0, 7.4, 6.823076923076924)","(18.0, 130.0, 82.42857142857143)","(26.0, 180.0, 87.6)"
12-01-2023 14:25:59.085276,"(14.0, 28.0, 21.5)","(20.0, 150.0, 98.0)","(3.8, 5.6, 4.733333333333333)","(6.0, 9.6, 9.2)","(3.5, 6.0, 4.975)","(61.0, 230.0, 212.5)","(10.0, 17.0, 14.333333333333334)","(71.0, 230.0, 201.66666666666666)","(19.0, 130.0, 58.0)","(5.0, 7.4, 6.823076923076924)","(18.0, 130.0, 82.42857142857143)","(26.0, 180.0, 87.6)"
12-01-2023 14:26:00.566492,"(14.0, 28.0, 21.5)","(20.0, 150.0, 98.0)","(3.8, 5.6, 4.733333333333333)","(6.0, 9.6, 9.2)","(3.5, 6.0, 4.975)","(61.0, 230.0, 212.5)","(10.0, 17.0, 14.333333333333334)","(71.0, 230.0, 201.66666666666666)","(19.0, 130.0, 58.0)","(5.0, 7.4, 6.823076923076924)","(18.0, 130.0, 82.42857142857143)","(26.0, 180.0, 87.6)"
12-01-2023 14:26:02.018954,"(14.0, 28.0, 21.5)","(20.0, 150.0, 98.0)","(3.8, 5.6, 4.733333333333333)","(6.0, 9.6, 9.2)","(3.5, 6.0, 4.975)","(61.0, 230.0, 212.5)","(10.0, 17.0, 14.333333333333334)","(71.0, 230.0, 201.66666666666666)","(19.0, 130.0, 86.80000000000001)","(5.0, 7.4, 6.823076923076924)","(18.0, 130.0, 82.42857142857143)","(26.0, 180.0, 87.6)"
12-01-2023 14:26:03.475736,"(14.0, 28.0, 21.5)","(20.0, 150.0, 98.0)","(3.8, 5.4, 4.52)","(6.0, 9.6, 9.2)","(3.5, 6.0, 4.975)","(61.0, 230.0, 212.5)","(10.0, 17.0, 14.333333333333334)","(71.0, 230.0, 201.66666666666666)","(19.0, 130.0, 86.80000000000001)","(5.0, 7.4, 6.823076923076924)","(18.0, 130.0, 82.42857142857143)","(26.0, 180.0, 87.6)"
12-01-2023 14:26:04.961152,"(14.0, 28.0, 21.5)","(20.0, 150.0, 98.0)","(3.8, 5.4, 4.52)","(6.0, 9.6, 9.2)","(3.5, 6.0, 4.975)","(61.0, 230.0, 212.5)","(10.0, 17.0, 14.333333333333334)","(71.0, 230.0, 201.66666666666666)","(19.0, 130.0, 86.80000000000001)","(5.0, 7.4, 6.823076923076924)","(18.0, 130.0, 82.42857142857143)","(26.0, 180.0, 87.6)"
12-01-2023 14:26:06.485289,"(14.0, 28.0, 21.5)","(20.0, 150.0, 98.0)","(3.8, 5.4, 4.52)","(6.0, 9.6, 9.2)","(3.5, 6.0, 4.975)","(61.0, 230.0, 212.5)","(10.0, 17.0, 14.333333333333334)","(71.0, 230.0, 201.66666666666666)","(19.0, 130.0, 86.80000000000001)","(5.0, 7.4, 6.823076923076924)","(18.0, 130.0, 82.42857142857143)","(26.0, 180.0, 87.6)"
12-01-2023 14:26:07.935411,"(14.0, 28.0, 21.5)","(20.0, 150.0, 98.0)","(3.8, 5.4, 4.52)","(6.0, 9.6, 9.2)","(3.5, 6.0, 4.975)","(61.0, 230.0, 212.5)","(10.0, 17.0, 14.333333333333334)","(71.0, 230.0, 201.66666666666666)","(19.0, 130.0, 86.80000000000001)","(5.0, 7.4, 6.823076923076924)","(18.0, 130.0, 82.42857142857143)","(26.0, 180.0, 87.6)"
12-01-2023 14:26:09.453121,"(14.0, 28.0, 21.5)","(20.0, 150.0, 98.0)","(3.8, 5.4, 4.52)","(6.0, 9.6, 9.2)","(3.5, 6.0, 4.975)","(61.0, 230.0, 212.5)","(10.0, 17.0, 14.333333333333334)","(71.0, 230.0, 201.66666666666666)","(19.0, 130.0, 81.14285714285714)","(5.0, 7.4, 6.823076923076924)","(18.0, 130.0, 82.42857142857143)","(26.0, 180.0, 87.6)"
12-01-2023 14:26:10.854675,"(14.0, 28.0, 21.5)","(20.0, 150.0, 98.0)","(3.8, 5.4, 4.52)","(6.0, 9.6, 9.2)","(3.5, 6.0, 4.975)","(61.0, 230.0, 212.5)","(10.0, 17.0, 14.333333333333334)","(71.0, 230.0, 201.66666666666666)","(19.0, 160.0, 81.14285714285714)","(5.0, 7.4, 6.823076923076924)","(18.0, 130.0, 82.42857142857143)","(26.0, 180.0, 87.6)"
12-01-2023 14:26:12.306688,"(14.0, 28.0, 21.5)","(20.0, 150.0, 98.0)","(3.8, 5.4, 4.52)","(6.0, 9.6, 9.2)","(3.5, 6.0, 4.975)","(61.0, 230.0, 212.5)","(10.0, 17.0, 14.333333333333334)","(71.0, 230.0, 201.66666666666666)","(19.0, 160.0, 81.14285714285714)","(5.0, 7.4, 6.823076923076924)","(19.0, 130.0, 82.42857142857143)","(26.0, 180.0, 87.6)"
12-01-2023 14:26:13.739185,"(14.0, 28.0, 21.5)","(20.0, 150.0, 98.0)","(3.8, 5.4, 4.52)","(6.0, 9.6, 9.2)","(3.5, 6.0, 4.975)","(61.0, 230.0, 212.5)","(10.0, 17.0, 14.333333333333334)","(71.0, 230.0, 201.66666666666666)","(19.0, 160.0, 86.80000000000001)","(5.0, 7.4, 6.823076923076924)","(19.0, 130.0, 82.42857142857143)","(26.0, 180.0, 87.6)"
12-01-2023 14:26:15.189222,"(14.0, 28.0, 21.5)","(20.0, 150.0, 98.0)","(3.8, 5.4, 4.52)","(6.0, 9.6, 9.2)","(3.5, 6.0, 4.975)","(61.0, 230.0, 212.5)","(10.0, 17.0, 14.333333333333334)","(71.0, 230.0, 201.66666666666666)","(19.0, 130.0, 86.80000000000001)","(5.0, 7.4, 6.823076923076924)","(19.0, 130.0, 82.42857142857143)","(26.0, 180.0, 87.6)"
12-01-2023 14:26:16.668035,"(14.0, 28.0, 21.5)","(20.0, 150.0, 98.0)","(3.8, 5.4, 4.52)","(6.0, 9.6, 9.2)","(3.5, 6.0, 4.975)","(61.0, 230.0, 212.5)","(10.0, 17.0, 14.333333333333334)","(71.0, 230.0, 201.66666666666666)","(19.0, 130.0, 86.80000000000001)","(5.0, 7.4, 6.823076923076924)","(19.0, 130.0, 82.42857142857143)","(26.0, 180.0, 87.6)"
12-01-2023 14:26:18.157157,"(14.0, 28.0, 21.5)","(20.0, 150.0, 98.0)","(3.8, 5.4, 4.52)","(6.0, 9.6, 9.2)","(3.5, 6.0, 4.975)","(61.0, 230.0, 212.5)","(10.0, 17.0, 14.333333333333334)","(71.0, 230.0, 201.66666666666666)","(19.0, 130.0, 86.80000000000001)","(5.0, 7.4, 6.823076923076924)","(19.0, 130.0, 82.42857142857143)","(26.0, 180.0, 87.6)"
12-01-2023 14:26:19.640327,"(14.0, 28.0, 21.5)","(20.0, 150.0, 98.0)","(3.8, 5.4, 4.52)","(6.0, 9.6, 9.2)","(3.5, 6.0, 4.975)","(61.0, 230.0, 212.5)","(10.0, 17.0, 14.333333333333334)","(71.0, 230.0, 201.66666666666666)","(19.0, 130.0, 86.80000000000001)","(5.0, 7.4, 6.823076923076924)","(19.0, 130.0, 82.42857142857143)","(26.0, 180.0, 87.6)"
12-01-2023 14:26:21.106098,"(14.0, 28.0, 21.5)","(20.0, 150.0, 98.0)","(3.8, 5.4, 4.52)","(6.0, 9.6, 9.2)","(3.5, 6.0, 4.975)","(61.0, 230.0, 212.5)","(10.0, 17.0, 14.333333333333334)","(71.0, 230.0, 201.66666666666666)","(19.0, 130.0, 86.80000000000001)","(5.0, 7.4, 6.823076923076924)","(19.0, 130.0, 82.42857142857143)","(26.0, 180.0, 87.6)"
12-01-2023 14:26:22.576220,"(14.0, 28.0, 21.5)","(20.0, 150.0, 98.0)","(3.8, 5.4, 4.52)","(6.0, 9.6, 9.2)","(3.5, 6.0, 4.975)","(61.0, 230.0, 212.5)","(10.0, 17.0, 14.333333333333334)","(71.0, 230.0, 201.66666666666666)","(19.0, 130.0, 86.80000000000001)","(5.0, 7.4, 6.823076923076924)","(19.0, 130.0, 82.42857142857143)","(26.0, 180.0, 87.6)"
12-01-2023 14:26:24.099943,"(14.0, 28.0, 21.5)","(20.0, 150.0, 98.0)","(3.8, 5.4, 4.52)","(6.0, 9.6, 9.2)","(3.5, 6.0, 4.975)","(61.0, 230.0, 212.5)","(10.0, 17.0, 14.333333333333334)","(71.0, 230.0, 201.66666666666666)","(19.0, 130.0, 86.80000000000001)","(5.0, 7.4, 6.823076923076924)","(19.0, 130.0, 82.42857142857143)","(26.0, 180.0, 87.6)"
12-01-2023 14:26:25.564113,"(14.0, 28.0, 21.5)","(20.0, 150.0, 98.0)","(3.8, 5.4, 4.52)","(6.0, 9.6, 9.2)","(3.5, 6.0, 4.975)","(61.0, 230.0, 212.5)","(10.0, 17.0, 14.333333333333334)","(71.0, 230.0, 201.66666666666666)","(19.0, 130.0, 86.80000000000001)","(5.0, 7.4, 6.823076923076924)","(19.0, 130.0, 82.42857142857143)","(26.0, 180.0, 87.6)"
