,Elegantly Wasted,Thumbs Up,Love Letter,Farmor Smitten,Nothing Matters,Butterfly Bloom,Yumar,Flying Yumi
14-12-2022 14:39:06.476213,"(6.0, 8.2, 7.3)","(2.3, 2.54, 2.5321951219512195)","(31.0, 70.0, 46.0)","(4.6, 8.2, 7.788235294117646)","(5.5, 6.8, 5.76)","(5.5, 18.0, 15.5)","(12.0, 44.0, 30.0)","(41.0, 240.0, 220.20000000000002)"
14-12-2022 14:39:07.867413,"(6.0, 8.2, 7.3)","(2.3, 2.54, 2.5321951219512195)","(31.0, 70.0, 46.0)","(4.6, 8.2, 7.788235294117646)","(5.5, 6.8, 5.76)","(5.5, 18.0, 15.5)","(12.0, 44.0, 30.0)","(41.0, 240.0, 220.20000000000002)"
14-12-2022 14:39:09.234338,"(6.0, 8.2, 7.3)","(2.3, 2.54, 2.5321951219512195)","(31.0, 70.0, 46.0)","(4.6, 8.2, 7.788235294117646)","(5.5, 6.8, 5.76)","(5.5, 18.0, 15.5)","(12.0, 44.0, 30.0)","(41.0, 240.0, 220.20000000000002)"
14-12-2022 14:39:10.657844,"(6.0, 8.2, 7.3)","(2.3, 2.54, 2.5321951219512195)","(31.0, 70.0, 46.0)","(4.6, 8.2, 7.311111111111111)","(5.5, 6.8, 5.89)","(5.5, 18.0, 15.5)","(12.0, 44.0, 30.0)","(41.0, 240.0, 215.75)"
14-12-2022 14:39:12.074045,"(6.0, 8.2, 6.6)","(2.3, 2.54, 2.5321951219512195)","(31.0, 70.0, 46.0)","(4.6, 8.2, 7.699999999999999)","(5.5, 6.8, 5.89)","(5.5, 18.0, 15.5)","(12.0, 44.0, 39.8)","(41.0, 240.0, 215.75)"
14-12-2022 14:39:13.575755,"(6.0, 8.2, 7.092307692307692)","(2.3, 2.54, 2.518666666666667)","(31.0, 70.0, 46.0)","(4.6, 8.2, 7.699999999999999)","(5.5, 6.8, 5.89)","(5.5, 18.0, 15.5)","(12.0, 44.0, 39.8)","(41.0, 240.0, 215.75)"
14-12-2022 14:39:14.984279,"(6.0, 8.2, 7.092307692307692)","(2.3, 2.54, 2.518666666666667)","(31.0, 70.0, 46.0)","(4.6, 8.2, 7.699999999999999)","(5.5, 6.8, 5.89)","(5.5, 18.0, 15.5)","(12.0, 44.0, 39.8)","(41.0, 240.0, 215.75)"
14-12-2022 14:39:16.395703,"(6.0, 8.2, 6.6)","(2.3, 2.54, 2.5)","(31.0, 70.0, 46.0)","(4.6, 8.2, 7.133333333333333)","(5.5, 6.8, 5.89)","(5.5, 18.0, 15.5)","(12.0, 44.0, 39.8)","(41.0, 240.0, 215.75)"
14-12-2022 14:39:17.677827,"(6.0, 8.2, 6.6)","(2.3, 2.54, 2.505714285714286)","(31.0, 70.0, 46.0)","(4.6, 8.2, 7.5)","(5.5, 6.8, 5.89)","(5.5, 18.0, 15.5)","(12.0, 44.0, 33.5)","(41.0, 240.0, 215.75)"
14-12-2022 14:39:19.098026,"(6.0, 8.2, 7.092307692307692)","(2.3, 2.54, 2.4745454545454546)","(31.0, 70.0, 46.0)","(4.6, 8.2, 7.5)","(5.5, 6.8, 5.89)","(5.5, 18.0, 15.5)","(12.0, 44.0, 30.636363636363637)","(41.0, 240.0, 215.75)"
14-12-2022 14:39:20.490658,"(6.0, 8.2, 7.092307692307692)","(2.3, 2.54, 2.4745454545454546)","(31.0, 70.0, 46.0)","(4.6, 8.2, 7.5)","(5.5, 6.8, 5.89)","(5.5, 18.0, 15.5)","(12.0, 44.0, 30.636363636363637)","(41.0, 240.0, 215.75)"
14-12-2022 14:39:21.887734,"(6.0, 8.2, 7.092307692307692)","(2.3, 2.54, 2.5324324324324325)","(31.0, 70.0, 46.0)","(4.6, 8.2, 7.133333333333333)","(5.5, 6.8, 5.89)","(5.5, 18.0, 15.5)","(12.0, 44.0, 30.636363636363637)","(41.0, 240.0, 215.75)"
14-12-2022 14:39:23.275671,"(6.0, 8.2, 6.6)","(2.3, 2.54, 2.5324324324324325)","(31.0, 70.0, 46.0)","(4.6, 8.2, 7.133333333333333)","(5.5, 6.8, 5.89)","(5.5, 18.0, 14.75)","(12.0, 44.0, 30.636363636363637)","(41.0, 240.0, 215.75)"
14-12-2022 14:39:24.659789,"(6.0, 8.2, 6.6)","(2.3, 2.54, 2.505714285714286)","(31.0, 70.0, 46.0)","(4.6, 8.2, 7.338461538461538)","(5.5, 6.8, 5.89)","(5.5, 18.0, 14.75)","(12.0, 44.0, 30.636363636363637)","(41.0, 240.0, 215.75)"
14-12-2022 14:39:26.097689,"(6.0, 8.2, 7.092307692307692)","(2.3, 2.54, 2.4976470588235293)","(31.0, 70.0, 46.0)","(4.6, 8.2, 7.338461538461538)","(5.5, 6.8, 5.76)","(5.5, 18.0, 14.75)","(12.0, 44.0, 30.636363636363637)","(41.0, 240.0, 215.75)"
14-12-2022 14:39:27.459694,"(6.0, 8.2, 7.092307692307692)","(2.3, 2.54, 2.516)","(31.0, 70.0, 46.0)","(4.6, 8.2, 7.133333333333333)","(5.5, 6.8, 5.76)","(5.5, 18.0, 18.533333333333335)","(12.0, 44.0, 30.636363636363637)","(41.0, 240.0, 215.75)"
14-12-2022 14:39:28.886819,"(6.0, 8.2, 6.6)","(2.3, 2.54, 2.516)","(31.0, 70.0, 46.0)","(4.6, 8.2, 7.133333333333333)","(5.5, 6.8, 5.76)","(5.5, 19.0, 18.533333333333335)","(12.0, 44.0, 30.636363636363637)","(41.0, 240.0, 215.75)"
14-12-2022 14:39:30.174611,"(6.0, 8.2, 7.092307692307692)","(2.3, 2.54, 2.4745454545454546)","(31.0, 70.0, 46.0)","(4.6, 8.2, 7.092307692307692)","(5.5, 6.8, 5.76)","(5.5, 19.0, 18.727272727272727)","(12.0, 44.0, 30.636363636363637)","(41.0, 240.0, 215.75)"
14-12-2022 14:39:31.486519,"(6.0, 8.2, 7.092307692307692)","(2.3, 2.54, 2.4745454545454546)","(31.0, 70.0, 46.0)","(4.6, 8.2, 7.092307692307692)","(5.5, 6.8, 5.76)","(5.5, 19.0, 18.727272727272727)","(12.0, 44.0, 30.636363636363637)","(41.0, 240.0, 215.75)"
14-12-2022 14:39:32.796258,"(6.0, 8.2, 7.092307692307692)","(2.3, 2.54, 2.4745454545454546)","(31.0, 70.0, 46.0)","(4.6, 8.2, 6.6)","(5.5, 6.8, 5.76)","(5.5, 19.0, 18.727272727272727)","(12.0, 44.0, 30.636363636363637)","(41.0, 240.0, 215.75)"
14-12-2022 14:39:34.091287,"(6.0, 8.2, 6.6)","(2.3, 2.54, 2.4745454545454546)","(31.0, 70.0, 46.0)","(4.6, 8.2, 7.092307692307692)","(5.5, 6.8, 5.76)","(5.5, 19.0, 15.866666666666667)","(12.0, 44.0, 30.636363636363637)","(41.0, 240.0, 215.75)"
14-12-2022 14:39:35.474262,"(6.0, 8.2, 7.092307692307692)","(2.3, 2.54, 2.4745454545454546)","(31.0, 70.0, 46.0)","(4.6, 8.2, 7.092307692307692)","(5.5, 6.8, 5.76)","(5.5, 21.0, 15.866666666666667)","(12.0, 44.0, 30.636363636363637)","(41.0, 240.0, 215.75)"
14-12-2022 14:39:36.983062,"(6.0, 8.2, 7.092307692307692)","(2.3, 2.54, 2.4745454545454546)","(31.0, 70.0, 46.0)","(4.6, 8.2, 7.092307692307692)","(5.5, 6.8, 5.76)","(5.5, 21.0, 16.695652173913043)","(12.0, 44.0, 33.5)","(41.0, 240.0, 215.75)"
14-12-2022 14:39:38.371503,"(6.0, 8.2, 7.092307692307692)","(2.3, 2.54, 2.468)","(31.0, 70.0, 46.0)","(4.6, 8.2, 6.969230769230769)","(5.5, 6.8, 5.76)","(5.5, 21.0, 16.5)","(12.0, 44.0, 33.5)","(41.0, 240.0, 215.75)"
14-12-2022 14:39:39.562221,"(6.0, 8.2, 6.6)","(2.3, 2.54, 2.468)","(31.0, 70.0, 46.0)","(4.6, 8.2, 6.969230769230769)","(5.5, 6.8, 5.76)","(5.5, 21.0, 16.5)","(12.0, 44.0, 33.5)","(41.0, 240.0, 215.75)"
14-12-2022 14:39:40.831462,"(6.0, 8.2, 7.092307692307692)","(2.3, 2.54, 2.4854545454545454)","(31.0, 70.0, 46.0)","(4.6, 8.2, 7.092307692307692)","(5.5, 6.8, 5.76)","(5.5, 21.0, 16.5)","(12.0, 44.0, 33.5)","(41.0, 240.0, 215.75)"
14-12-2022 14:39:42.167627,"(6.0, 8.2, 7.092307692307692)","(2.3, 2.54, 2.4854545454545454)","(31.0, 70.0, 46.0)","(4.6, 8.2, 7.092307692307692)","(5.5, 6.8, 5.76)","(5.5, 21.0, 17.192307692307693)","(12.0, 44.0, 33.5)","(41.0, 240.0, 215.75)"
14-12-2022 14:39:43.556285,"(6.0, 8.2, 7.092307692307692)","(2.3, 2.54, 2.5175)","(31.0, 70.0, 46.0)","(4.6, 8.2, 6.969230769230769)","(5.5, 6.8, 5.76)","(5.5, 21.0, 17.192307692307693)","(12.0, 44.0, 33.5)","(41.0, 240.0, 215.75)"
14-12-2022 14:39:44.962344,"(6.0, 8.2, 6.6)","(2.3, 2.54, 2.4854545454545454)","(31.0, 70.0, 46.0)","(4.6, 8.2, 7.092307692307692)","(5.5, 6.8, 5.76)","(5.5, 21.0, 17.192307692307693)","(12.0, 44.0, 33.5)","(41.0, 240.0, 215.75)"
14-12-2022 14:39:46.571854,"(6.0, 8.2, 7.092307692307692)","(2.3, 2.54, 2.4854545454545454)","(31.0, 70.0, 46.0)","(4.6, 8.2, 6.92)","(5.5, 6.8, 5.76)","(5.5, 21.0, 18.26923076923077)","(12.0, 44.0, 33.5)","(41.0, 240.0, 215.75)"
14-12-2022 14:39:48.088711,"(6.0, 8.2, 7.092307692307692)","(2.3, 2.54, 2.5175)","(31.0, 70.0, 46.0)","(4.6, 8.2, 6.92)","(5.5, 6.8, 5.76)","(5.5, 20.0, 17.75)","(12.0, 44.0, 33.5)","(41.0, 240.0, 215.75)"
14-12-2022 14:39:49.484585,"(6.0, 8.2, 6.6)","(2.3, 2.54, 2.5151724137931035)","(31.0, 70.0, 46.0)","(4.6, 8.2, 6.92)","(5.5, 6.8, 5.76)","(5.5, 20.0, 17.75)","(12.0, 44.0, 34.66666666666667)","(41.0, 240.0, 215.75)"
14-12-2022 14:39:50.914113,"(6.0, 8.2, 7.092307692307692)","(2.3, 2.54, 2.5151724137931035)","(31.0, 70.0, 46.0)","(4.6, 8.2, 7.338461538461538)","(5.5, 6.8, 5.89)","(5.5, 20.0, 17.75)","(12.0, 44.0, 34.66666666666667)","(41.0, 240.0, 215.75)"
14-12-2022 14:39:52.320801,"(6.0, 8.2, 6.92)","(2.3, 2.54, 2.4854545454545454)","(31.0, 70.0, 46.0)","(4.6, 8.2, 7.338461538461538)","(5.5, 6.8, 5.89)","(5.5, 20.0, 17.75)","(12.0, 44.0, 34.66666666666667)","(41.0, 240.0, 215.75)"
14-12-2022 14:39:53.700996,"(6.0, 8.2, 6.92)","(2.3, 2.54, 2.5142857142857142)","(31.0, 70.0, 46.0)","(4.6, 8.2, 6.92)","(5.5, 6.8, 5.89)","(5.5, 20.0, 17.75)","(12.0, 44.0, 34.66666666666667)","(41.0, 240.0, 215.75)"
14-12-2022 14:39:55.010482,"(6.0, 8.2, 6.92)","(2.3, 2.54, 2.5142857142857142)","(31.0, 70.0, 46.0)","(4.6, 8.2, 7.338461538461538)","(5.5, 6.8, 5.89)","(5.5, 20.0, 17.75)","(12.0, 44.0, 34.66666666666667)","(41.0, 240.0, 215.75)"
14-12-2022 14:39:56.417513,"(6.0, 8.2, 7.338461538461538)","(2.3, 2.54, 2.4854545454545454)","(31.0, 70.0, 46.0)","(4.6, 8.2, 7.338461538461538)","(5.5, 6.8, 5.89)","(5.5, 20.0, 17.96153846153846)","(12.0, 44.0, 34.66666666666667)","(41.0, 240.0, 215.75)"
14-12-2022 14:39:57.877092,"(6.0, 8.2, 7.338461538461538)","(2.3, 2.54, 2.4854545454545454)","(31.0, 70.0, 46.0)","(4.6, 8.2, 7.338461538461538)","(5.5, 6.8, 5.89)","(5.5, 19.5, 17.5)","(12.0, 44.0, 34.66666666666667)","(41.0, 240.0, 107.72727272727272)"
14-12-2022 14:39:59.228798,"(6.0, 8.2, 7.338461538461538)","(2.3, 2.54, 2.5142857142857142)","(31.0, 70.0, 46.0)","(4.6, 8.2, 6.92)","(5.5, 6.8, 5.89)","(5.5, 19.5, 17.5)","(12.0, 44.0, 34.66666666666667)","(41.0, 240.0, 107.72727272727272)"
14-12-2022 14:40:00.658407,"(6.0, 8.2, 6.92)","(2.3, 2.54, 2.4745454545454546)","(31.0, 70.0, 46.0)","(4.6, 8.2, 7.338461538461538)","(5.5, 6.8, 5.89)","(5.5, 19.5, 17.5)","(12.0, 44.0, 34.66666666666667)","(41.0, 240.0, 107.72727272727272)"
14-12-2022 14:40:01.996221,"(6.0, 8.2, 7.338461538461538)","(2.3, 2.54, 2.4854545454545454)","(31.0, 70.0, 46.0)","(4.6, 8.2, 7.338461538461538)","(5.5, 6.8, 5.89)","(5.5, 19.5, 17.5)","(12.0, 44.0, 34.66666666666667)","(41.0, 240.0, 107.72727272727272)"
14-12-2022 14:40:03.125641,"(6.0, 8.2, 7.338461538461538)","(2.3, 2.54, 2.4854545454545454)","(31.0, 70.0, 46.0)","(4.6, 8.2, 6.92)","(5.5, 6.8, 5.89)","(5.5, 19.5, 17.5)","(12.0, 44.0, 35.0)","(41.0, 240.0, 107.72727272727272)"
14-12-2022 14:40:04.381413,"(6.0, 8.2, 6.92)","(2.3, 2.54, 2.5142857142857142)","(31.0, 70.0, 44.285714285714285)","(4.6, 8.2, 6.92)","(5.5, 6.8, 5.89)","(5.5, 19.5, 17.5)","(12.0, 44.0, 35.0)","(41.0, 240.0, 107.72727272727272)"
14-12-2022 14:40:05.866756,"(6.0, 8.2, 6.92)","(2.3, 2.54, 2.5142857142857142)","(31.0, 70.0, 44.285714285714285)","(4.6, 8.2, 6.92)","(5.5, 6.8, 5.89)","(5.5, 19.5, 16.891304347826086)","(12.0, 44.0, 35.0)","(41.0, 240.0, 107.72727272727272)"
14-12-2022 14:40:07.309254,"(6.0, 8.2, 6.92)","(2.3, 2.54, 2.5142857142857142)","(31.0, 70.0, 44.285714285714285)","(4.6, 8.2, 6.92)","(5.5, 6.8, 5.89)","(5.5, 19.5, 17.5)","(12.0, 44.0, 35.0)","(41.0, 240.0, 107.72727272727272)"
14-12-2022 14:40:08.577745,"(6.0, 8.2, 7.338461538461538)","(2.3, 2.54, 2.508695652173913)","(31.0, 70.0, 44.285714285714285)","(4.6, 8.2, 7.338461538461538)","(5.5, 6.8, 5.866666666666666)","(5.5, 19.0, 17.5)","(12.0, 44.0, 35.0)","(41.0, 240.0, 107.72727272727272)"
14-12-2022 14:40:10.071216,"(6.0, 8.2, 7.338461538461538)","(2.3, 2.54, 2.508695652173913)","(31.0, 70.0, 44.285714285714285)","(4.6, 8.2, 7.08)","(5.5, 6.6, 5.753846153846154)","(5.5, 19.0, 17.5)","(12.0, 44.0, 35.0)","(41.0, 240.0, 107.72727272727272)"
14-12-2022 14:40:11.366571,"(6.0, 8.2, 6.92)","(2.3, 2.54, 2.508695652173913)","(31.0, 70.0, 44.285714285714285)","(4.6, 8.2, 6.92)","(5.5, 6.6, 5.753846153846154)","(5.5, 19.0, 17.5)","(12.0, 44.0, 35.0)","(41.0, 240.0, 107.72727272727272)"
14-12-2022 14:40:12.769110,"(6.0, 8.2, 7.338461538461538)","(2.3, 2.54, 2.5072727272727273)","(31.0, 70.0, 44.285714285714285)","(4.6, 8.2, 7.338461538461538)","(5.5, 6.6, 5.975)","(5.5, 19.0, 17.5)","(12.0, 44.0, 35.0)","(41.0, 240.0, 107.72727272727272)"
14-12-2022 14:40:14.021583,"(6.0, 8.2, 7.338461538461538)","(2.3, 2.54, 2.5072727272727273)","(31.0, 70.0, 44.285714285714285)","(4.6, 8.2, 7.338461538461538)","(5.5, 6.6, 5.975)","(5.5, 19.0, 17.5)","(12.0, 44.0, 35.0)","(41.0, 240.0, 107.72727272727272)"
14-12-2022 14:40:15.322759,"(6.0, 8.2, 7.338461538461538)","(2.3, 2.54, 2.511764705882353)","(31.0, 70.0, 44.285714285714285)","(4.6, 8.2, 7.215384615384615)","(5.5, 6.6, 5.975)","(5.5, 19.0, 17.055555555555557)","(12.0, 44.0, 35.0)","(41.0, 240.0, 107.72727272727272)"
14-12-2022 14:40:16.586063,"(6.0, 8.2, 6.92)","(2.25, 2.54, 2.503076923076923)","(31.0, 70.0, 44.285714285714285)","(4.6, 8.2, 7.338461538461538)","(5.5, 6.6, 5.975)","(5.5, 19.0, 17.055555555555557)","(13.0, 44.0, 35.0)","(41.0, 240.0, 107.72727272727272)"
14-12-2022 14:40:17.883484,"(6.0, 8.2, 7.338461538461538)","(2.25, 2.54, 2.4894736842105263)","(31.0, 70.0, 44.285714285714285)","(4.6, 8.2, 7.338461538461538)","(5.5, 6.6, 5.975)","(5.5, 19.0, 17.055555555555557)","(13.0, 44.0, 35.0)","(41.0, 240.0, 107.72727272727272)"
14-12-2022 14:40:19.045521,"(6.0, 8.2, 7.338461538461538)","(2.25, 2.54, 2.4894736842105263)","(31.0, 70.0, 47.5)","(4.6, 8.2, 7.338461538461538)","(5.5, 6.6, 5.975)","(5.5, 19.0, 17.055555555555557)","(13.0, 44.0, 35.0)","(41.0, 240.0, 107.72727272727272)"
14-12-2022 14:40:20.202986,"(6.0, 8.2, 7.338461538461538)","(2.25, 2.54, 2.4894736842105263)","(31.0, 70.0, 53.333333333333336)","(4.6, 8.2, 7.215384615384615)","(5.5, 6.6, 5.753846153846154)","(5.5, 19.0, 17.055555555555557)","(13.0, 44.0, 35.0)","(41.0, 240.0, 107.72727272727272)"
14-12-2022 14:40:21.415147,"(6.0, 8.2, 6.92)","(2.25, 2.54, 2.498)","(31.0, 70.0, 53.333333333333336)","(4.6, 8.2, 7.338461538461538)","(5.5, 6.6, 5.753846153846154)","(5.5, 19.0, 17.214285714285715)","(13.0, 44.0, 35.0)","(41.0, 240.0, 107.72727272727272)"
14-12-2022 14:40:22.672359,"(6.0, 8.2, 7.188888888888888)","(2.25, 2.54, 2.498)","(31.0, 70.0, 53.333333333333336)","(4.6, 8.2, 7.338461538461538)","(5.5, 6.6, 5.753846153846154)","(5.5, 18.5, 17.214285714285715)","(13.0, 44.0, 35.0)","(41.0, 240.0, 107.72727272727272)"
14-12-2022 14:40:23.963588,"(6.0, 8.2, 7.188888888888888)","(2.25, 2.54, 2.498)","(31.0, 70.0, 53.333333333333336)","(4.6, 8.2, 7.338461538461538)","(5.5, 6.6, 5.753846153846154)","(5.5, 18.5, 17.214285714285715)","(13.0, 44.0, 35.0)","(41.0, 240.0, 107.72727272727272)"
14-12-2022 14:40:25.231900,"(6.0, 8.2, 6.813333333333333)","(2.25, 2.54, 2.484)","(31.0, 70.0, 53.333333333333336)","(4.6, 8.2, 7.338461538461538)","(5.5, 6.6, 6.0)","(5.5, 18.5, 17.214285714285715)","(13.0, 44.0, 35.0)","(41.0, 240.0, 107.72727272727272)"
14-12-2022 14:40:26.473209,"(6.0, 8.2, 6.813333333333333)","(2.25, 2.54, 2.484)","(31.0, 70.0, 53.333333333333336)","(4.6, 8.2, 7.461538461538462)","(5.5, 6.6, 6.0)","(5.5, 18.5, 17.55263157894737)","(13.0, 44.0, 30.0)","(41.0, 240.0, 107.72727272727272)"
14-12-2022 14:40:27.728910,"(6.0, 8.2, 7.188888888888888)","(2.25, 2.54, 2.484)","(31.0, 70.0, 53.333333333333336)","(4.6, 8.2, 7.461538461538462)","(5.5, 6.6, 6.0)","(5.5, 18.5, 19.0)","(13.0, 44.0, 34.11764705882353)","(41.0, 240.0, 107.72727272727272)"
14-12-2022 14:40:28.931329,"(6.0, 8.2, 7.188888888888888)","(2.25, 2.54, 2.484)","(31.0, 70.0, 53.333333333333336)","(4.6, 8.2, 7.461538461538462)","(5.5, 6.6, 6.0)","(5.5, 20.0, 18.125)","(13.0, 44.0, 34.11764705882353)","(41.0, 240.0, 132.22222222222223)"
14-12-2022 14:40:30.127209,"(6.0, 8.2, 7.188888888888888)","(2.25, 2.54, 2.484)","(31.0, 70.0, 53.333333333333336)","(4.6, 8.2, 7.338461538461538)","(5.5, 6.6, 6.0)","(5.5, 20.0, 18.125)","(13.0, 44.0, 34.11764705882353)","(41.0, 240.0, 132.22222222222223)"
14-12-2022 14:40:31.256601,"(6.0, 8.2, 6.813333333333333)","(2.25, 2.54, 2.484)","(31.0, 70.0, 53.333333333333336)","(4.6, 8.2, 7.338461538461538)","(5.5, 6.6, 6.0)","(5.5, 20.0, 18.125)","(13.0, 44.0, 34.11764705882353)","(41.0, 240.0, 132.22222222222223)"
14-12-2022 14:40:32.390365,"(6.0, 8.2, 6.813333333333333)","(2.25, 2.54, 2.484)","(31.0, 70.0, 53.333333333333336)","(4.6, 8.2, 7.461538461538462)","(5.5, 6.6, 6.0)","(5.5, 20.0, 18.26923076923077)","(13.0, 44.0, 34.11764705882353)","(41.0, 240.0, 132.22222222222223)"
14-12-2022 14:40:33.604202,"(6.0, 8.2, 7.188888888888888)","(2.25, 2.54, 2.4745454545454546)","(31.0, 70.0, 53.333333333333336)","(4.6, 8.2, 7.461538461538462)","(5.5, 6.6, 6.0)","(5.5, 20.0, 18.18181818181818)","(13.0, 44.0, 36.15384615384615)","(41.0, 240.0, 96.0)"
14-12-2022 14:40:34.840903,"(6.0, 8.2, 7.188888888888888)","(2.25, 2.54, 2.4745454545454546)","(31.0, 70.0, 53.333333333333336)","(4.6, 8.2, 7.461538461538462)","(5.5, 6.6, 6.0)","(5.5, 20.0, 18.18181818181818)","(13.0, 42.0, 36.15384615384615)","(41.0, 240.0, 96.0)"
14-12-2022 14:40:36.106367,"(6.0, 8.2, 7.188888888888888)","(2.25, 2.54, 2.495)","(31.0, 70.0, 53.333333333333336)","(4.6, 8.2, 7.215384615384615)","(5.5, 6.6, 6.0)","(5.5, 20.0, 18.18181818181818)","(13.0, 42.0, 36.15384615384615)","(41.0, 240.0, 96.0)"
14-12-2022 14:40:37.295855,"(6.0, 8.2, 6.813333333333333)","(2.25, 2.54, 2.4745454545454546)","(31.0, 70.0, 53.333333333333336)","(4.6, 8.2, 7.215384615384615)","(5.5, 6.6, 6.0)","(5.5, 20.0, 18.18181818181818)","(13.0, 42.0, 36.15384615384615)","(41.0, 240.0, 96.0)"
14-12-2022 14:40:38.472248,"(6.0, 8.2, 6.813333333333333)","(2.25, 2.54, 2.4745454545454546)","(31.0, 70.0, 53.333333333333336)","(4.6, 8.2, 7.461538461538462)","(5.5, 6.6, 6.0)","(5.5, 20.0, 18.75)","(13.0, 42.0, 36.15384615384615)","(41.0, 240.0, 96.0)"
14-12-2022 14:40:39.659429,"(6.0, 8.2, 7.188888888888888)","(2.25, 2.54, 2.4854545454545454)","(31.0, 70.0, 53.333333333333336)","(4.6, 8.2, 7.584615384615384)","(5.5, 6.6, 6.0)","(5.5, 20.0, 18.75)","(13.0, 42.0, 32.5)","(41.0, 240.0, 124.8)"
14-12-2022 14:40:40.858638,"(6.0, 8.2, 7.188888888888888)","(2.25, 2.54, 2.4854545454545454)","(31.0, 70.0, 53.333333333333336)","(4.6, 8.2, 7.584615384615384)","(5.5, 6.6, 6.0)","(5.5, 20.0, 18.75)","(13.0, 42.0, 32.5)","(41.0, 240.0, 124.8)"
14-12-2022 14:40:42.009609,"(6.0, 8.0, 7.133333333333333)","(2.25, 2.54, 2.4854545454545454)","(31.0, 70.0, 53.333333333333336)","(4.6, 8.2, 7.584615384615384)","(5.5, 6.6, 6.0)","(5.5, 20.0, 16.96)","(13.0, 42.0, 32.5)","(41.0, 240.0, 124.8)"
14-12-2022 14:40:43.179602,"(6.0, 8.0, 6.9111111111111105)","(2.25, 2.54, 2.4745454545454546)","(31.0, 70.0, 53.333333333333336)","(4.6, 8.2, 7.461538461538462)","(5.5, 6.6, 6.0)","(5.5, 20.0, 16.96)","(13.0, 42.0, 32.5)","(41.0, 240.0, 124.8)"
14-12-2022 14:40:44.301968,"(6.0, 8.0, 6.9111111111111105)","(2.25, 2.54, 2.4745454545454546)","(31.0, 70.0, 53.333333333333336)","(4.6, 8.2, 7.461538461538462)","(5.5, 6.6, 6.0)","(5.5, 20.0, 16.807692307692307)","(13.0, 42.0, 32.5)","(41.0, 240.0, 124.8)"
