,Hands On Nz,Kissmelvis,Western Style,Cool Rocking Daddy,Mymatepog,Tasty Delight,The Stain,Dance For Glory,Mustang Milly
07-01-2023 20:28:47.066813,"(51.0, 99999, 99990)","(10.0, 26.0, 20.46666666666667)","(5.5, 11.5, 8.45)","(21.0, 60.0, 33.9)","(4.4, 5.9, 5.366666666666667)","(1.95, 3.9, 2.913333333333333)","(17.0, 22.0, 19.666666666666668)","(41.0, 190.0, 131.6)","(8.0, 17.0, 12.7)"
07-01-2023 20:28:48.400647,"(51.0, 99999, 99990)","(10.0, 26.0, 20.46666666666667)","(5.5, 11.5, 8.45)","(21.0, 60.0, 33.9)","(4.4, 5.9, 5.366666666666667)","(1.95, 3.9, 2.913333333333333)","(17.0, 22.0, 19.666666666666668)","(41.0, 190.0, 131.6)","(8.0, 17.0, 12.7)"
07-01-2023 20:28:49.737069,"(51.0, 99999, 99990)","(10.0, 26.0, 20.46666666666667)","(5.5, 11.5, 8.45)","(21.0, 60.0, 33.9)","(4.4, 5.9, 5.366666666666667)","(1.95, 3.9, 2.913333333333333)","(17.0, 22.0, 19.666666666666668)","(41.0, 190.0, 131.6)","(8.0, 17.0, 12.7)"
07-01-2023 20:28:51.161680,"(51.0, 99999, 99990)","(10.0, 26.0, 20.46666666666667)","(5.5, 11.5, 8.45)","(21.0, 60.0, 33.9)","(4.4, 5.9, 5.366666666666667)","(1.95, 3.9, 2.913333333333333)","(17.0, 22.0, 19.666666666666668)","(41.0, 190.0, 131.6)","(8.0, 17.0, 12.7)"
07-01-2023 20:28:52.975850,"(51.0, 99999, 99990)","(10.0, 26.0, 20.46666666666667)","(5.5, 11.5, 8.45)","(21.0, 60.0, 33.9)","(4.4, 5.9, 5.366666666666667)","(1.95, 3.9, 2.913333333333333)","(17.0, 22.0, 19.666666666666668)","(41.0, 190.0, 131.6)","(8.0, 17.0, 12.7)"
07-01-2023 20:28:54.582101,"(51.0, 99999, 99990)","(10.0, 26.0, 20.46666666666667)","(5.5, 11.5, 8.45)","(21.0, 60.0, 33.9)","(4.4, 5.9, 5.366666666666667)","(1.95, 3.9, 2.913333333333333)","(17.0, 22.0, 19.666666666666668)","(41.0, 190.0, 131.6)","(8.0, 17.0, 12.7)"
07-01-2023 20:28:56.198757,"(51.0, 99999, 99990)","(10.0, 26.0, 20.46666666666667)","(5.5, 11.5, 8.45)","(21.0, 60.0, 33.9)","(4.4, 5.9, 5.366666666666667)","(1.95, 3.9, 2.913333333333333)","(17.0, 22.0, 19.666666666666668)","(41.0, 190.0, 131.6)","(8.0, 17.0, 12.7)"
07-01-2023 20:28:57.787400,"(51.0, 99999, 99990)","(10.0, 26.0, 20.46666666666667)","(5.5, 11.5, 8.45)","(21.0, 60.0, 33.9)","(4.4, 5.9, 5.366666666666667)","(1.95, 3.9, 2.913333333333333)","(17.0, 22.0, 19.666666666666668)","(41.0, 190.0, 131.6)","(8.0, 17.0, 12.7)"
07-01-2023 20:28:59.160303,"(51.0, 99999, 99990)","(10.0, 26.0, 20.46666666666667)","(5.5, 11.5, 8.45)","(21.0, 60.0, 33.9)","(4.4, 5.9, 5.366666666666667)","(1.95, 3.9, 2.913333333333333)","(17.0, 22.0, 19.666666666666668)","(41.0, 190.0, 131.6)","(8.0, 17.0, 12.7)"
07-01-2023 20:29:00.492483,"(51.0, 99999, 99990)","(10.0, 26.0, 20.46666666666667)","(5.5, 11.5, 8.45)","(21.0, 60.0, 33.9)","(4.4, 5.9, 5.366666666666667)","(1.95, 3.9, 2.913333333333333)","(17.0, 22.0, 19.666666666666668)","(41.0, 190.0, 131.6)","(8.0, 17.0, 12.7)"
07-01-2023 20:29:01.855899,"(51.0, 99999, 99990)","(10.0, 26.0, 20.46666666666667)","(5.5, 11.5, 8.45)","(21.0, 60.0, 33.9)","(4.4, 5.9, 5.366666666666667)","(1.95, 3.9, 2.913333333333333)","(17.0, 22.0, 19.666666666666668)","(41.0, 190.0, 131.6)","(8.0, 17.0, 12.7)"
07-01-2023 20:29:03.029496,"(51.0, 99999, 99990)","(10.0, 26.0, 20.46666666666667)","(5.5, 11.5, 8.45)","(21.0, 60.0, 33.9)","(4.4, 5.9, 5.366666666666667)","(1.95, 3.9, 2.913333333333333)","(17.0, 22.0, 19.666666666666668)","(41.0, 190.0, 131.6)","(8.0, 17.0, 12.7)"
07-01-2023 20:29:04.319226,"(51.0, 99999, 99990)","(10.0, 26.0, 20.46666666666667)","(5.5, 11.5, 8.45)","(21.0, 60.0, 33.9)","(4.4, 5.9, 5.366666666666667)","(1.95, 3.9, 2.913333333333333)","(17.0, 22.0, 19.666666666666668)","(41.0, 190.0, 148.85714285714286)","(8.0, 17.0, 12.7)"
07-01-2023 20:29:05.644510,"(51.0, 99999, 99990)","(10.0, 26.0, 20.46666666666667)","(5.5, 11.5, 8.45)","(21.0, 60.0, 33.9)","(4.4, 5.9, 5.26)","(1.95, 3.9, 2.913333333333333)","(17.0, 22.0, 19.666666666666668)","(41.0, 190.0, 148.85714285714286)","(8.0, 17.0, 11.266666666666667)"
07-01-2023 20:29:07.073340,"(51.0, 99999, 99990)","(10.0, 26.0, 20.46666666666667)","(5.5, 11.5, 8.45)","(21.0, 60.0, 33.9)","(4.4, 5.9, 5.366666666666667)","(1.95, 3.9, 2.913333333333333)","(17.0, 22.0, 19.666666666666668)","(41.0, 190.0, 148.85714285714286)","(8.0, 17.0, 12.7)"
07-01-2023 20:29:08.566903,"(51.0, 99999, 99990)","(10.0, 26.0, 20.46666666666667)","(5.5, 11.5, 8.45)","(21.0, 60.0, 33.9)","(4.4, 5.9, 5.366666666666667)","(1.95, 3.9, 2.913333333333333)","(17.0, 22.0, 19.666666666666668)","(41.0, 190.0, 148.85714285714286)","(8.0, 17.0, 12.7)"
07-01-2023 20:29:10.036227,"(51.0, 99999, 99990)","(10.0, 26.0, 20.46666666666667)","(5.5, 11.5, 8.45)","(21.0, 60.0, 33.9)","(4.4, 5.9, 5.366666666666667)","(1.95, 3.9, 2.913333333333333)","(17.0, 22.0, 19.666666666666668)","(41.0, 190.0, 148.85714285714286)","(8.0, 17.0, 12.7)"
07-01-2023 20:29:11.408451,"(51.0, 99999, 99990)","(10.0, 26.0, 20.46666666666667)","(5.5, 11.5, 8.45)","(21.0, 60.0, 33.9)","(4.4, 5.9, 5.366666666666667)","(1.95, 3.9, 2.913333333333333)","(17.0, 22.0, 19.666666666666668)","(41.0, 190.0, 148.85714285714286)","(8.0, 17.0, 12.7)"
07-01-2023 20:29:12.841343,"(51.0, 99999, 99990)","(10.0, 26.0, 20.46666666666667)","(5.5, 11.5, 8.45)","(21.0, 60.0, 33.9)","(4.4, 5.9, 5.366666666666667)","(1.95, 3.9, 2.913333333333333)","(17.0, 22.0, 19.666666666666668)","(41.0, 190.0, 148.85714285714286)","(8.0, 17.0, 12.7)"
07-01-2023 20:29:14.276746,"(51.0, 99999, 99990)","(10.0, 26.0, 20.46666666666667)","(5.5, 11.5, 8.45)","(21.0, 60.0, 49.5)","(4.4, 5.9, 5.366666666666667)","(1.95, 3.9, 2.913333333333333)","(17.0, 22.0, 19.666666666666668)","(41.0, 190.0, 148.85714285714286)","(8.0, 17.0, 12.7)"
07-01-2023 20:29:15.719911,"(51.0, 99999, 99990)","(10.0, 26.0, 20.46666666666667)","(5.5, 11.5, 8.45)","(21.0, 55.0, 49.5)","(4.4, 5.9, 5.366666666666667)","(1.95, 3.9, 2.913333333333333)","(17.0, 22.0, 19.666666666666668)","(41.0, 190.0, 148.85714285714286)","(8.0, 17.0, 12.7)"
07-01-2023 20:29:17.069035,"(51.0, 99999, 99990)","(10.0, 26.0, 20.46666666666667)","(5.5, 11.5, 8.45)","(21.0, 55.0, 49.5)","(4.4, 5.9, 5.366666666666667)","(1.95, 3.9, 2.913333333333333)","(17.0, 22.0, 19.666666666666668)","(41.0, 190.0, 148.85714285714286)","(8.0, 17.0, 12.7)"
07-01-2023 20:29:18.463835,"(51.0, 99999, 99990)","(10.0, 26.0, 20.46666666666667)","(5.5, 11.5, 8.45)","(21.0, 55.0, 49.5)","(4.4, 5.9, 5.366666666666667)","(1.95, 3.9, 2.913333333333333)","(17.0, 22.0, 19.666666666666668)","(41.0, 190.0, 148.85714285714286)","(8.0, 17.0, 12.7)"
07-01-2023 20:29:19.883694,"(51.0, 99999, 99990)","(10.0, 26.0, 20.46666666666667)","(5.5, 11.5, 8.45)","(21.0, 55.0, 49.5)","(4.4, 5.9, 5.366666666666667)","(1.95, 3.9, 2.913333333333333)","(17.0, 22.0, 19.666666666666668)","(41.0, 190.0, 148.85714285714286)","(8.0, 17.0, 12.7)"
07-01-2023 20:29:21.394282,"(51.0, 99999, 99990)","(10.0, 26.0, 20.46666666666667)","(5.5, 11.5, 8.45)","(21.0, 55.0, 49.5)","(4.4, 5.9, 5.366666666666667)","(1.95, 3.9, 2.913333333333333)","(17.0, 22.0, 19.666666666666668)","(41.0, 190.0, 148.85714285714286)","(8.0, 17.0, 12.7)"
07-01-2023 20:29:22.757996,"(51.0, 99999, 99990)","(10.0, 26.0, 20.46666666666667)","(5.5, 11.5, 8.45)","(21.0, 55.0, 49.5)","(4.4, 5.9, 5.366666666666667)","(1.95, 3.9, 2.913333333333333)","(17.0, 22.0, 19.666666666666668)","(41.0, 190.0, 148.85714285714286)","(8.0, 17.0, 12.7)"
07-01-2023 20:29:24.290857,"(51.0, 99999, 99990)","(10.0, 26.0, 20.46666666666667)","(5.5, 11.5, 8.45)","(21.0, 55.0, 49.5)","(4.4, 5.9, 5.366666666666667)","(1.95, 3.9, 2.913333333333333)","(17.0, 22.0, 19.666666666666668)","(41.0, 190.0, 148.85714285714286)","(8.0, 17.0, 12.7)"
07-01-2023 20:29:25.636643,"(51.0, 99999, 99990)","(10.0, 26.0, 20.46666666666667)","(5.5, 11.5, 8.45)","(21.0, 55.0, 49.5)","(4.4, 5.9, 5.366666666666667)","(1.95, 3.9, 2.913333333333333)","(17.0, 22.0, 19.666666666666668)","(41.0, 190.0, 148.85714285714286)","(8.0, 17.0, 12.7)"
07-01-2023 20:29:26.815621,"(51.0, 99999, 99990)","(10.0, 26.0, 20.46666666666667)","(5.5, 11.5, 8.45)","(21.0, 55.0, 49.5)","(4.4, 5.9, 5.366666666666667)","(1.95, 3.9, 2.913333333333333)","(17.0, 22.0, 19.666666666666668)","(41.0, 190.0, 148.85714285714286)","(8.0, 17.0, 12.7)"
07-01-2023 20:29:28.113926,"(51.0, 99999, 99990)","(10.0, 26.0, 20.46666666666667)","(5.5, 11.5, 8.45)","(21.0, 55.0, 49.5)","(4.4, 5.9, 5.366666666666667)","(1.95, 3.9, 2.913333333333333)","(17.0, 22.0, 19.666666666666668)","(41.0, 190.0, 148.85714285714286)","(8.0, 17.0, 12.7)"
07-01-2023 20:29:29.419993,"(51.0, 99999, 99990)","(10.0, 26.0, 20.46666666666667)","(5.5, 11.5, 8.45)","(21.0, 55.0, 49.5)","(4.4, 5.9, 5.366666666666667)","(1.95, 3.9, 2.913333333333333)","(17.0, 22.0, 19.666666666666668)","(41.0, 190.0, 148.85714285714286)","(8.0, 17.0, 12.7)"
07-01-2023 20:29:30.838649,"(51.0, 99999, 99990)","(10.0, 26.0, 20.46666666666667)","(5.5, 11.5, 8.45)","(21.0, 55.0, 49.5)","(4.4, 5.9, 5.366666666666667)","(1.95, 3.9, 3.6950000000000003)","(17.0, 22.0, 19.666666666666668)","(41.0, 190.0, 148.85714285714286)","(8.0, 17.0, 12.7)"
07-01-2023 20:29:32.192590,"(51.0, 99999, 99990)","(10.0, 26.0, 20.46666666666667)","(5.5, 11.5, 8.45)","(21.0, 55.0, 49.5)","(4.4, 5.9, 5.366666666666667)","(1.95, 3.85, 3.527272727272727)","(17.0, 22.0, 19.666666666666668)","(41.0, 190.0, 148.85714285714286)","(8.0, 17.0, 12.7)"
07-01-2023 20:29:33.597872,"(51.0, 99999, 99990)","(10.0, 26.0, 20.46666666666667)","(5.5, 11.5, 8.45)","(21.0, 55.0, 49.5)","(4.4, 5.9, 5.366666666666667)","(1.95, 3.8, 3.527272727272727)","(17.0, 22.0, 19.666666666666668)","(41.0, 190.0, 148.85714285714286)","(8.0, 17.0, 12.7)"
07-01-2023 20:29:35.150808,"(51.0, 99999, 99990)","(10.0, 26.0, 20.46666666666667)","(5.5, 11.5, 8.45)","(21.0, 55.0, 49.5)","(4.4, 5.9, 5.366666666666667)","(1.95, 3.8, 3.605)","(17.0, 22.0, 19.666666666666668)","(41.0, 190.0, 129.75)","(8.0, 17.0, 12.7)"
07-01-2023 20:29:36.871055,"(51.0, 99999, 99990)","(10.0, 26.0, 20.46666666666667)","(5.5, 11.5, 8.45)","(21.0, 55.0, 49.5)","(4.4, 5.9, 5.366666666666667)","(1.95, 3.75, 3.4454545454545458)","(17.0, 22.0, 19.666666666666668)","(41.0, 180.0, 134.57142857142858)","(8.0, 17.0, 12.7)"
07-01-2023 20:29:38.589398,"(51.0, 99999, 99990)","(10.0, 26.0, 20.46666666666667)","(5.5, 11.5, 8.45)","(21.0, 55.0, 49.5)","(4.4, 5.9, 5.366666666666667)","(1.95, 3.7, 3.2)","(17.0, 22.0, 19.666666666666668)","(41.0, 170.0, 134.57142857142858)","(8.0, 17.0, 12.7)"
07-01-2023 20:29:40.202527,"(51.0, 99999, 99990)","(10.0, 26.0, 16.77777777777778)","(5.5, 11.5, 8.45)","(21.0, 55.0, 42.166666666666664)","(4.4, 5.9, 5.366666666666667)","(1.95, 3.7, 3.5149999999999997)","(17.0, 22.0, 19.666666666666668)","(41.0, 170.0, 114.88888888888889)","(8.0, 17.0, 11.266666666666667)"
07-01-2023 20:29:41.960856,"(51.0, 99999, 99990)","(10.0, 26.0, 16.77777777777778)","(5.5, 11.5, 8.45)","(21.0, 55.0, 40.125)","(4.4, 5.9, 5.366666666666667)","(1.95, 3.65, 3.3636363636363638)","(17.0, 22.0, 19.666666666666668)","(41.0, 170.0, 114.88888888888889)","(8.0, 17.0, 11.266666666666667)"
07-01-2023 20:29:43.566411,"(51.0, 99999, 99990)","(10.0, 26.0, 16.77777777777778)","(5.5, 11.5, 8.45)","(21.0, 48.0, 41.785714285714285)","(4.4, 5.9, 5.366666666666667)","(1.95, 3.6, 3.2818181818181817)","(17.0, 22.0, 19.666666666666668)","(41.0, 170.0, 114.88888888888889)","(8.0, 17.0, 11.266666666666667)"
07-01-2023 20:29:45.227705,"(51.0, 99999, 99990)","(10.0, 26.0, 16.77777777777778)","(5.5, 11.5, 8.45)","(21.0, 46.0, 37.125)","(4.4, 5.9, 5.366666666666667)","(1.95, 3.5, 3.2818181818181817)","(17.0, 22.0, 19.666666666666668)","(41.0, 170.0, 114.88888888888889)","(8.0, 17.0, 11.266666666666667)"
07-01-2023 20:29:46.509617,"(51.0, 99999, 99990)","(10.0, 26.0, 16.77777777777778)","(5.5, 11.5, 8.45)","(21.0, 44.0, 37.125)","(4.4, 5.9, 5.366666666666667)","(1.95, 3.5, 3.605)","(17.0, 22.0, 19.666666666666668)","(41.0, 170.0, 114.88888888888889)","(8.0, 17.0, 11.266666666666667)"
07-01-2023 20:29:47.896856,"(51.0, 99999, 99990)","(10.0, 26.0, 16.77777777777778)","(5.5, 11.5, 8.45)","(21.0, 44.0, 37.125)","(4.4, 5.9, 5.366666666666667)","(1.95, 3.75, 3.4454545454545458)","(17.0, 22.0, 19.666666666666668)","(41.0, 170.0, 114.88888888888889)","(8.0, 17.0, 11.266666666666667)"
07-01-2023 20:29:49.241461,"(51.0, 99999, 99990)","(10.0, 26.0, 16.77777777777778)","(5.5, 11.5, 8.45)","(21.0, 44.0, 37.125)","(4.4, 5.9, 5.366666666666667)","(1.95, 3.7, 3.4454545454545458)","(17.0, 22.0, 19.666666666666668)","(41.0, 170.0, 114.88888888888889)","(8.0, 17.0, 11.266666666666667)"
07-01-2023 20:29:50.637454,"(51.0, 99999, 99990)","(10.0, 26.0, 16.77777777777778)","(5.5, 11.5, 8.45)","(21.0, 44.0, 37.125)","(4.4, 5.9, 5.366666666666667)","(1.95, 3.7, 3.4454545454545458)","(17.0, 22.0, 19.666666666666668)","(41.0, 170.0, 114.88888888888889)","(8.0, 17.0, 11.266666666666667)"
07-01-2023 20:29:51.987406,"(51.0, 99999, 99990)","(10.0, 26.0, 16.77777777777778)","(5.5, 11.5, 8.45)","(21.0, 44.0, 37.125)","(4.4, 5.9, 5.366666666666667)","(1.95, 3.65, 3.5149999999999997)","(17.0, 22.0, 19.666666666666668)","(41.0, 170.0, 114.88888888888889)","(8.0, 17.0, 11.266666666666667)"
07-01-2023 20:29:53.400472,"(51.0, 99999, 99990)","(10.0, 26.0, 16.77777777777778)","(5.5, 11.5, 8.45)","(21.0, 44.0, 37.125)","(4.4, 5.9, 5.366666666666667)","(1.95, 3.6, 3.3636363636363638)","(17.0, 22.0, 19.666666666666668)","(41.0, 170.0, 114.88888888888889)","(8.0, 17.0, 11.266666666666667)"
07-01-2023 20:29:54.812643,"(51.0, 99999, 99990)","(10.0, 26.0, 16.77777777777778)","(5.5, 11.5, 8.45)","(21.0, 44.0, 34.83333333333333)","(4.4, 5.9, 5.366666666666667)","(1.95, 3.6, 3.425)","(17.0, 22.0, 19.666666666666668)","(41.0, 170.0, 114.88888888888889)","(8.0, 17.0, 11.266666666666667)"
