,Idyllic Sky,Lala Speed,Iron Atlas,Extreme Rage,Royal Gypsy,Angus Anchovy,Osprey Knight
07-01-2023 17:24:28.443900,"(3.5, 5.1, 4.686363636363636)","(11.0, 21.0, 20.0)","(1.85, 2.7, 2.2866666666666666)","(5.5, 15.5, 10.754545454545454)","(9.0, 19.0, 14.3)","(17.0, 80.0, 64.57142857142858)","(15.0, 50.0, 26.0)"
07-01-2023 17:24:29.368769,"(3.5, 5.1, 4.686363636363636)","(11.0, 23.0, 21.666666666666664)","(1.85, 2.7, 2.2866666666666666)","(5.5, 15.5, 10.754545454545454)","(9.0, 19.0, 14.3)","(17.0, 80.0, 64.57142857142858)","(15.0, 48.0, 35.6)"
07-01-2023 17:24:30.328904,"(3.5, 5.1, 4.686363636363636)","(11.0, 23.0, 21.666666666666664)","(1.85, 2.7, 2.2866666666666666)","(5.5, 15.5, 10.754545454545454)","(9.0, 19.0, 14.3)","(17.0, 80.0, 64.57142857142858)","(15.0, 48.0, 35.6)"
07-01-2023 17:24:31.336838,"(3.5, 5.1, 4.686363636363636)","(11.0, 23.0, 21.666666666666664)","(1.85, 2.7, 2.2866666666666666)","(5.5, 15.5, 10.754545454545454)","(9.0, 19.0, 14.3)","(17.0, 80.0, 64.57142857142858)","(15.0, 48.0, 35.6)"
07-01-2023 17:24:32.375883,"(3.5, 5.1, 4.686363636363636)","(11.0, 23.0, 21.666666666666664)","(1.85, 2.7, 2.2866666666666666)","(5.5, 15.5, 10.754545454545454)","(9.0, 19.0, 14.3)","(17.0, 80.0, 64.57142857142858)","(15.0, 48.0, 35.6)"
07-01-2023 17:24:33.420241,"(3.5, 5.1, 4.686363636363636)","(11.0, 23.0, 21.666666666666664)","(1.85, 2.7, 2.2866666666666666)","(5.5, 15.5, 10.754545454545454)","(9.0, 19.0, 14.3)","(17.0, 80.0, 64.57142857142858)","(15.0, 48.0, 35.6)"
07-01-2023 17:24:34.441090,"(3.5, 4.9, 4.7705882352941185)","(11.0, 23.0, 20.0)","(1.85, 2.7, 2.2866666666666666)","(5.5, 15.5, 10.754545454545454)","(9.0, 19.0, 14.3)","(17.0, 80.0, 64.57142857142858)","(15.0, 48.0, 35.6)"
07-01-2023 17:24:35.467927,"(3.5, 4.9, 4.7705882352941185)","(11.0, 23.0, 20.0)","(1.85, 2.7, 2.2866666666666666)","(5.5, 15.5, 10.754545454545454)","(9.0, 19.0, 14.3)","(17.0, 80.0, 64.57142857142858)","(15.0, 48.0, 35.6)"
07-01-2023 17:24:36.433820,"(3.5, 4.9, 4.7705882352941185)","(11.0, 23.0, 20.0)","(1.85, 2.7, 2.2866666666666666)","(5.5, 15.5, 10.754545454545454)","(9.0, 19.0, 14.3)","(17.0, 80.0, 64.57142857142858)","(15.0, 48.0, 26.3)"
07-01-2023 17:24:37.440058,"(3.5, 4.9, 4.7705882352941185)","(11.0, 23.0, 20.0)","(1.85, 2.7, 2.2866666666666666)","(5.5, 15.5, 10.754545454545454)","(9.0, 19.0, 14.3)","(17.0, 80.0, 64.57142857142858)","(15.0, 48.0, 27.125)"
