,Lizzie Lass,Hes A Gift,My Shout Zoe,Supasonic Romeo,Gotham Baron,Fat Santa,Harros Girl
07-12-2022 20:23:30.905001,"(10.0, 24.0, 22.142857142857142)","(31.0, 130.0, 57.14285714285714)","(2.8, 4.2, 3.307777777777778)","(6.5, 14.5, 10.85)","(1.75, 2.26, 1.926530612244898)","(21.0, 95.0, 68.21428571428571)","(16.0, 55.0, 42.5)"
07-12-2022 20:23:32.292849,"(10.0, 24.0, 22.142857142857142)","(31.0, 130.0, 57.14285714285714)","(2.8, 4.2, 3.307777777777778)","(6.5, 14.5, 10.85)","(1.75, 2.26, 1.926530612244898)","(21.0, 95.0, 68.21428571428571)","(16.0, 55.0, 42.5)"
07-12-2022 20:23:33.888132,"(10.0, 24.0, 22.142857142857142)","(31.0, 130.0, 57.14285714285714)","(2.8, 4.2, 3.307777777777778)","(6.5, 14.5, 10.1)","(1.75, 2.26, 1.926530612244898)","(21.0, 95.0, 68.21428571428571)","(16.0, 55.0, 42.5)"
07-12-2022 20:23:35.222960,"(10.0, 24.0, 22.142857142857142)","(31.0, 130.0, 57.14285714285714)","(2.8, 4.2, 3.307777777777778)","(6.5, 13.0, 10.1)","(1.75, 2.26, 1.926530612244898)","(21.0, 95.0, 68.21428571428571)","(16.0, 55.0, 42.5)"
07-12-2022 20:23:36.463486,"(10.0, 24.0, 22.142857142857142)","(31.0, 130.0, 57.14285714285714)","(2.8, 4.2, 3.307777777777778)","(6.5, 13.0, 10.1)","(1.75, 2.26, 1.8952)","(21.0, 95.0, 68.21428571428571)","(16.0, 55.0, 42.5)"
07-12-2022 20:23:37.634258,"(10.0, 24.0, 22.142857142857142)","(31.0, 130.0, 57.14285714285714)","(2.8, 4.2, 3.307777777777778)","(6.5, 13.0, 10.1)","(1.75, 2.26, 1.8952)","(21.0, 95.0, 68.21428571428571)","(16.0, 55.0, 42.5)"
07-12-2022 20:23:38.752385,"(10.0, 24.0, 22.142857142857142)","(31.0, 130.0, 57.14285714285714)","(2.8, 4.2, 3.307777777777778)","(6.5, 13.0, 10.1)","(1.75, 2.26, 1.8952)","(21.0, 95.0, 68.21428571428571)","(16.0, 55.0, 42.5)"
07-12-2022 20:23:39.996978,"(10.0, 24.0, 22.142857142857142)","(31.0, 130.0, 57.14285714285714)","(2.8, 4.2, 3.307777777777778)","(6.5, 13.0, 10.1)","(1.75, 2.26, 1.8952)","(21.0, 95.0, 68.21428571428571)","(16.0, 55.0, 42.5)"
07-12-2022 20:23:41.249210,"(10.0, 24.0, 22.142857142857142)","(31.0, 130.0, 57.14285714285714)","(2.8, 4.2, 3.307777777777778)","(6.5, 13.0, 10.1)","(1.75, 2.26, 1.8952)","(21.0, 95.0, 68.21428571428571)","(16.0, 55.0, 42.5)"
07-12-2022 20:23:42.487101,"(10.0, 24.0, 22.142857142857142)","(31.0, 130.0, 57.14285714285714)","(2.8, 4.2, 3.307777777777778)","(6.5, 13.0, 10.1)","(1.75, 2.26, 1.8952)","(21.0, 95.0, 68.21428571428571)","(16.0, 55.0, 42.5)"
07-12-2022 20:23:43.724086,"(10.0, 24.0, 22.142857142857142)","(31.0, 130.0, 57.14285714285714)","(2.8, 4.2, 3.307777777777778)","(6.5, 13.0, 10.1)","(1.75, 2.26, 1.8952)","(21.0, 95.0, 68.21428571428571)","(16.0, 55.0, 42.5)"
07-12-2022 20:23:44.888831,"(10.0, 24.0, 22.142857142857142)","(31.0, 130.0, 57.14285714285714)","(2.8, 4.2, 3.307777777777778)","(6.5, 13.0, 10.1)","(1.75, 2.26, 1.8952)","(21.0, 95.0, 68.21428571428571)","(16.0, 55.0, 42.5)"
07-12-2022 20:23:46.235854,"(10.0, 24.0, 22.142857142857142)","(31.0, 130.0, 57.14285714285714)","(2.8, 4.2, 3.307777777777778)","(6.5, 13.0, 10.1)","(1.75, 2.26, 1.8952)","(21.0, 95.0, 68.21428571428571)","(16.0, 55.0, 42.5)"
07-12-2022 20:23:47.475244,"(10.0, 24.0, 22.142857142857142)","(31.0, 130.0, 57.14285714285714)","(2.8, 4.2, 3.307777777777778)","(6.5, 13.0, 10.1)","(1.75, 2.26, 1.8952)","(21.0, 95.0, 68.21428571428571)","(16.0, 55.0, 42.5)"
07-12-2022 20:23:48.700601,"(10.0, 24.0, 22.142857142857142)","(31.0, 130.0, 57.14285714285714)","(2.8, 4.2, 3.307777777777778)","(6.5, 13.0, 9.266666666666667)","(1.75, 2.26, 1.8952)","(21.0, 95.0, 68.21428571428571)","(16.0, 55.0, 42.5)"
07-12-2022 20:23:50.109276,"(10.0, 24.0, 22.142857142857142)","(31.0, 130.0, 57.14285714285714)","(2.8, 4.2, 3.307777777777778)","(6.5, 13.0, 10.1)","(1.75, 2.26, 1.9028)","(21.0, 95.0, 68.21428571428571)","(16.0, 55.0, 42.5)"
07-12-2022 20:23:51.446507,"(10.0, 24.0, 22.142857142857142)","(31.0, 130.0, 57.14285714285714)","(2.8, 4.2, 3.307777777777778)","(6.5, 15.5, 10.1)","(1.75, 2.26, 1.8438095238095238)","(21.0, 95.0, 68.21428571428571)","(16.0, 55.0, 42.5)"
07-12-2022 20:23:52.771842,"(10.0, 24.0, 22.142857142857142)","(31.0, 130.0, 57.14285714285714)","(2.8, 4.2, 3.307777777777778)","(6.5, 15.5, 10.1)","(1.75, 2.26, 1.8438095238095238)","(21.0, 95.0, 68.21428571428571)","(16.0, 55.0, 42.5)"
07-12-2022 20:23:53.926258,"(10.0, 24.0, 22.142857142857142)","(31.0, 130.0, 57.14285714285714)","(2.8, 4.2, 3.307777777777778)","(6.5, 15.5, 10.1)","(1.75, 2.26, 1.852857142857143)","(21.0, 95.0, 68.21428571428571)","(16.0, 55.0, 42.5)"
07-12-2022 20:23:55.070744,"(10.0, 24.0, 22.142857142857142)","(31.0, 130.0, 57.14285714285714)","(2.8, 4.2, 3.307777777777778)","(6.5, 15.5, 10.1)","(1.75, 2.26, 1.852857142857143)","(21.0, 95.0, 68.21428571428571)","(16.0, 55.0, 42.5)"
07-12-2022 20:23:56.317988,"(10.0, 24.0, 22.142857142857142)","(31.0, 130.0, 57.14285714285714)","(2.8, 4.2, 3.307777777777778)","(6.5, 15.5, 10.1)","(1.75, 2.26, 1.852857142857143)","(21.0, 95.0, 68.21428571428571)","(16.0, 55.0, 42.5)"
07-12-2022 20:23:57.543894,"(10.0, 24.0, 22.142857142857142)","(31.0, 130.0, 57.14285714285714)","(2.8, 4.2, 3.307777777777778)","(6.5, 15.5, 12.8)","(1.75, 2.26, 1.852857142857143)","(21.0, 95.0, 68.21428571428571)","(16.0, 55.0, 42.5)"
07-12-2022 20:23:58.576245,"(10.0, 24.0, 22.142857142857142)","(31.0, 130.0, 57.14285714285714)","(2.8, 4.2, 3.307777777777778)","(6.5, 15.5, 12.8)","(1.75, 2.26, 1.852857142857143)","(21.0, 95.0, 68.21428571428571)","(16.0, 55.0, 42.5)"
07-12-2022 20:23:59.739751,"(10.0, 24.0, 22.142857142857142)","(31.0, 130.0, 57.14285714285714)","(2.8, 4.2, 3.307777777777778)","(6.5, 15.5, 12.966666666666667)","(1.75, 2.26, 1.852857142857143)","(21.0, 95.0, 68.21428571428571)","(16.0, 55.0, 42.5)"
07-12-2022 20:24:00.991911,"(10.0, 24.0, 22.142857142857142)","(31.0, 130.0, 57.14285714285714)","(2.8, 4.2, 3.307777777777778)","(6.5, 14.5, 12.966666666666667)","(1.75, 2.26, 1.852857142857143)","(21.0, 95.0, 68.21428571428571)","(16.0, 55.0, 42.5)"
07-12-2022 20:24:02.263526,"(10.0, 24.0, 22.142857142857142)","(31.0, 130.0, 57.14285714285714)","(2.8, 4.2, 3.307777777777778)","(6.5, 14.5, 12.2)","(1.75, 2.26, 1.852857142857143)","(21.0, 95.0, 68.21428571428571)","(16.0, 55.0, 42.5)"
07-12-2022 20:24:03.519838,"(10.0, 24.0, 22.142857142857142)","(31.0, 130.0, 57.14285714285714)","(2.8, 4.2, 3.307777777777778)","(6.5, 14.5, 12.2)","(1.75, 2.26, 1.852857142857143)","(21.0, 95.0, 68.21428571428571)","(16.0, 55.0, 42.5)"
07-12-2022 20:24:04.756443,"(10.0, 24.0, 22.142857142857142)","(31.0, 130.0, 57.14285714285714)","(2.8, 4.2, 3.307777777777778)","(6.5, 14.5, 12.2)","(1.75, 2.26, 1.852857142857143)","(21.0, 95.0, 68.21428571428571)","(16.0, 55.0, 42.5)"
07-12-2022 20:24:05.951820,"(10.0, 24.0, 22.142857142857142)","(31.0, 130.0, 57.14285714285714)","(2.8, 4.2, 3.307777777777778)","(6.5, 14.5, 12.2)","(1.75, 2.26, 1.852857142857143)","(21.0, 95.0, 68.21428571428571)","(16.0, 55.0, 42.5)"
07-12-2022 20:24:07.079669,"(10.0, 24.0, 22.142857142857142)","(31.0, 130.0, 57.14285714285714)","(2.8, 4.2, 3.307777777777778)","(6.5, 14.5, 12.2)","(1.75, 2.26, 1.852857142857143)","(21.0, 95.0, 68.21428571428571)","(16.0, 55.0, 42.5)"
07-12-2022 20:24:08.428928,"(10.0, 24.0, 22.142857142857142)","(31.0, 130.0, 57.14285714285714)","(2.8, 4.2, 3.307777777777778)","(6.5, 14.5, 12.2)","(1.75, 2.26, 1.852857142857143)","(21.0, 95.0, 68.21428571428571)","(16.0, 55.0, 42.5)"
07-12-2022 20:24:09.728546,"(10.0, 24.0, 22.142857142857142)","(31.0, 130.0, 57.14285714285714)","(2.8, 4.2, 3.307777777777778)","(6.5, 14.5, 12.2)","(1.75, 2.26, 1.852857142857143)","(21.0, 95.0, 68.21428571428571)","(16.0, 55.0, 42.5)"
07-12-2022 20:24:10.973127,"(10.0, 24.0, 22.142857142857142)","(31.0, 130.0, 57.14285714285714)","(2.8, 4.2, 3.307777777777778)","(6.5, 14.5, 12.2)","(1.75, 2.26, 1.852857142857143)","(21.0, 95.0, 68.21428571428571)","(16.0, 55.0, 42.5)"
07-12-2022 20:24:12.202972,"(10.0, 24.0, 22.142857142857142)","(31.0, 130.0, 57.14285714285714)","(2.8, 4.2, 3.307777777777778)","(6.5, 14.5, 12.2)","(1.75, 2.26, 1.852857142857143)","(21.0, 95.0, 68.21428571428571)","(16.0, 55.0, 42.5)"
07-12-2022 20:24:13.256028,"(10.0, 24.0, 22.142857142857142)","(31.0, 130.0, 57.14285714285714)","(2.8, 4.2, 3.307777777777778)","(6.5, 14.5, 12.2)","(1.75, 2.26, 1.9187755102040815)","(21.0, 95.0, 68.21428571428571)","(16.0, 55.0, 42.5)"
07-12-2022 20:24:14.404567,"(10.0, 24.0, 22.142857142857142)","(31.0, 130.0, 57.14285714285714)","(2.8, 4.2, 3.307777777777778)","(6.5, 14.5, 12.2)","(1.75, 2.26, 1.9187755102040815)","(21.0, 95.0, 68.21428571428571)","(16.0, 55.0, 42.5)"
07-12-2022 20:24:15.546224,"(10.0, 24.0, 22.142857142857142)","(31.0, 130.0, 57.14285714285714)","(2.8, 4.2, 3.307777777777778)","(6.5, 14.5, 12.2)","(1.75, 2.26, 1.9187755102040815)","(21.0, 95.0, 68.21428571428571)","(16.0, 55.0, 42.5)"
07-12-2022 20:24:16.716019,"(10.0, 24.0, 22.142857142857142)","(31.0, 130.0, 57.14285714285714)","(2.8, 4.2, 3.307777777777778)","(6.5, 14.5, 12.2)","(1.75, 2.26, 1.9187755102040815)","(21.0, 95.0, 68.21428571428571)","(16.0, 55.0, 42.5)"
07-12-2022 20:24:17.916889,"(10.0, 24.0, 22.142857142857142)","(31.0, 130.0, 57.14285714285714)","(2.8, 4.2, 3.307777777777778)","(6.5, 14.5, 12.2)","(1.75, 2.26, 1.9187755102040815)","(21.0, 95.0, 68.21428571428571)","(16.0, 55.0, 42.5)"
07-12-2022 20:24:19.114069,"(10.0, 24.0, 22.142857142857142)","(31.0, 130.0, 57.14285714285714)","(2.8, 4.2, 3.307777777777778)","(6.5, 14.5, 12.2)","(1.75, 2.26, 1.9187755102040815)","(21.0, 95.0, 68.21428571428571)","(16.0, 55.0, 42.5)"
07-12-2022 20:24:20.353965,"(10.0, 24.0, 22.142857142857142)","(31.0, 130.0, 57.14285714285714)","(2.8, 4.2, 3.307777777777778)","(6.5, 14.5, 12.2)","(1.75, 2.26, 1.8952)","(21.0, 95.0, 68.21428571428571)","(16.0, 55.0, 42.5)"
07-12-2022 20:24:21.356185,"(10.0, 24.0, 22.375)","(31.0, 130.0, 57.14285714285714)","(2.8, 4.2, 3.307777777777778)","(6.5, 14.5, 12.2)","(1.75, 2.26, 1.8952)","(21.0, 95.0, 68.21428571428571)","(16.0, 55.0, 42.5)"
07-12-2022 20:24:22.401791,"(10.0, 24.0, 22.375)","(31.0, 130.0, 57.14285714285714)","(2.8, 4.2, 3.307777777777778)","(6.5, 14.5, 12.2)","(1.75, 2.26, 1.8952)","(21.0, 95.0, 68.21428571428571)","(16.0, 55.0, 42.5)"
07-12-2022 20:24:23.395847,"(10.0, 24.0, 22.375)","(31.0, 130.0, 57.14285714285714)","(2.8, 4.2, 3.307777777777778)","(6.5, 14.5, 12.2)","(1.75, 2.26, 1.8952)","(21.0, 95.0, 68.21428571428571)","(16.0, 55.0, 42.5)"
07-12-2022 20:24:24.560837,"(10.0, 24.0, 22.375)","(31.0, 130.0, 57.14285714285714)","(2.8, 4.2, 3.307777777777778)","(6.5, 14.5, 12.2)","(1.75, 2.26, 1.8952)","(21.0, 95.0, 68.21428571428571)","(16.0, 55.0, 42.5)"
07-12-2022 20:24:25.741974,"(10.0, 24.0, 22.375)","(31.0, 130.0, 57.14285714285714)","(2.8, 4.2, 3.307777777777778)","(6.5, 14.5, 12.2)","(1.75, 2.26, 1.8952)","(21.0, 95.0, 68.21428571428571)","(16.0, 55.0, 42.5)"
07-12-2022 20:24:26.877105,"(10.0, 24.0, 22.375)","(31.0, 130.0, 57.14285714285714)","(2.8, 4.2, 3.307777777777778)","(6.5, 14.5, 12.2)","(1.75, 2.26, 1.8952)","(21.0, 95.0, 68.21428571428571)","(16.0, 55.0, 42.5)"
07-12-2022 20:24:28.038766,"(10.0, 24.0, 22.375)","(31.0, 130.0, 57.14285714285714)","(2.8, 4.2, 3.307777777777778)","(6.5, 14.5, 12.2)","(1.75, 2.26, 1.8952)","(21.0, 95.0, 68.21428571428571)","(16.0, 55.0, 42.5)"
07-12-2022 20:24:29.161584,"(10.0, 24.0, 22.375)","(31.0, 130.0, 57.14285714285714)","(2.8, 4.2, 3.307777777777778)","(6.5, 14.5, 12.2)","(1.75, 2.26, 1.8952)","(21.0, 95.0, 68.21428571428571)","(16.0, 55.0, 42.5)"
07-12-2022 20:24:30.289582,"(10.0, 24.0, 22.375)","(31.0, 130.0, 57.14285714285714)","(2.8, 4.2, 3.307777777777778)","(6.5, 14.5, 12.2)","(1.75, 2.26, 1.8952)","(21.0, 95.0, 68.21428571428571)","(16.0, 55.0, 42.5)"
07-12-2022 20:24:31.463737,"(10.0, 24.0, 22.375)","(31.0, 130.0, 57.14285714285714)","(2.8, 4.2, 3.307777777777778)","(6.5, 14.5, 12.2)","(1.75, 2.26, 1.8952)","(21.0, 95.0, 68.21428571428571)","(16.0, 55.0, 42.5)"
07-12-2022 20:24:32.647390,"(10.0, 24.0, 22.375)","(31.0, 130.0, 57.14285714285714)","(2.8, 4.2, 3.307777777777778)","(6.5, 14.5, 12.2)","(1.75, 2.26, 1.8952)","(21.0, 95.0, 68.21428571428571)","(16.0, 55.0, 42.5)"
07-12-2022 20:24:33.732171,"(10.0, 24.0, 22.375)","(31.0, 130.0, 57.14285714285714)","(2.8, 4.2, 3.307777777777778)","(6.5, 14.5, 12.2)","(1.75, 2.26, 1.8952)","(21.0, 95.0, 68.21428571428571)","(16.0, 55.0, 42.5)"
07-12-2022 20:24:34.782662,"(10.0, 24.0, 22.375)","(31.0, 130.0, 57.14285714285714)","(2.8, 4.2, 3.307777777777778)","(6.5, 14.5, 12.2)","(1.75, 2.26, 1.8952)","(21.0, 95.0, 68.21428571428571)","(16.0, 55.0, 42.5)"
07-12-2022 20:24:35.827427,"(10.0, 24.0, 22.375)","(31.0, 130.0, 57.14285714285714)","(2.8, 4.2, 3.307777777777778)","(6.5, 14.5, 12.2)","(1.75, 2.26, 1.9028)","(21.0, 95.0, 68.21428571428571)","(16.0, 55.0, 42.5)"
07-12-2022 20:24:36.942026,"(10.0, 24.0, 22.375)","(31.0, 130.0, 57.14285714285714)","(2.8, 4.2, 3.307777777777778)","(6.5, 14.5, 12.2)","(1.75, 2.26, 1.9028)","(21.0, 95.0, 68.21428571428571)","(16.0, 55.0, 42.5)"
07-12-2022 20:24:38.185060,"(10.0, 24.0, 22.375)","(31.0, 130.0, 57.14285714285714)","(2.8, 4.2, 3.307777777777778)","(6.5, 14.5, 12.2)","(1.75, 2.26, 1.9028)","(21.0, 95.0, 68.21428571428571)","(16.0, 55.0, 42.5)"
07-12-2022 20:24:39.401827,"(10.0, 24.0, 22.375)","(31.0, 130.0, 57.14285714285714)","(2.8, 4.2, 3.307777777777778)","(6.5, 14.5, 12.2)","(1.75, 2.26, 1.8438095238095238)","(21.0, 95.0, 68.21428571428571)","(16.0, 55.0, 42.5)"
07-12-2022 20:24:40.631521,"(10.0, 24.0, 22.375)","(31.0, 130.0, 57.14285714285714)","(2.8, 4.2, 3.307777777777778)","(6.5, 14.5, 12.2)","(1.75, 2.26, 1.8438095238095238)","(21.0, 95.0, 68.21428571428571)","(16.0, 55.0, 42.5)"
07-12-2022 20:24:41.746462,"(10.0, 24.0, 22.375)","(31.0, 130.0, 57.14285714285714)","(2.8, 4.2, 3.307777777777778)","(6.5, 14.5, 12.2)","(1.75, 2.26, 1.8438095238095238)","(21.0, 95.0, 68.21428571428571)","(16.0, 55.0, 42.5)"
07-12-2022 20:24:42.755011,"(10.0, 24.0, 22.375)","(31.0, 130.0, 57.14285714285714)","(2.8, 4.2, 3.307777777777778)","(6.5, 14.5, 12.2)","(1.75, 2.26, 1.8438095238095238)","(21.0, 95.0, 68.21428571428571)","(16.0, 55.0, 42.5)"
07-12-2022 20:24:43.793338,"(10.0, 24.0, 22.375)","(31.0, 130.0, 57.14285714285714)","(2.8, 4.2, 3.307777777777778)","(6.5, 14.5, 12.2)","(1.75, 2.26, 1.8438095238095238)","(21.0, 95.0, 68.21428571428571)","(16.0, 55.0, 42.5)"
07-12-2022 20:24:44.899505,"(10.0, 24.0, 22.375)","(31.0, 130.0, 57.14285714285714)","(2.8, 4.2, 3.307777777777778)","(6.5, 14.5, 12.2)","(1.75, 2.26, 1.8438095238095238)","(21.0, 95.0, 68.21428571428571)","(16.0, 55.0, 42.5)"
07-12-2022 20:24:46.059030,"(10.0, 24.0, 22.375)","(31.0, 130.0, 57.14285714285714)","(2.8, 4.2, 3.307777777777778)","(6.5, 14.5, 12.2)","(1.75, 2.26, 1.8438095238095238)","(21.0, 95.0, 68.21428571428571)","(16.0, 55.0, 42.5)"
07-12-2022 20:24:47.219540,"(10.0, 24.0, 22.375)","(31.0, 130.0, 57.14285714285714)","(2.8, 4.2, 3.307777777777778)","(6.5, 14.5, 12.2)","(1.75, 2.26, 1.8438095238095238)","(21.0, 95.0, 68.21428571428571)","(16.0, 55.0, 42.5)"
07-12-2022 20:24:48.353732,"(10.0, 24.0, 22.375)","(31.0, 130.0, 57.14285714285714)","(2.8, 4.2, 3.307777777777778)","(6.5, 14.5, 12.2)","(1.75, 2.26, 1.8438095238095238)","(21.0, 95.0, 68.21428571428571)","(16.0, 55.0, 42.5)"
07-12-2022 20:24:49.494181,"(10.0, 24.0, 22.375)","(31.0, 130.0, 57.14285714285714)","(2.8, 4.2, 3.307777777777778)","(6.5, 14.5, 12.2)","(1.75, 2.26, 1.8438095238095238)","(21.0, 95.0, 68.21428571428571)","(16.0, 55.0, 42.5)"
07-12-2022 20:24:50.566584,"(10.0, 24.0, 22.375)","(31.0, 130.0, 57.14285714285714)","(2.8, 4.2, 3.307777777777778)","(6.5, 14.5, 12.2)","(1.75, 2.26, 1.8438095238095238)","(21.0, 95.0, 68.21428571428571)","(16.0, 55.0, 42.5)"
07-12-2022 20:24:51.643991,"(10.0, 24.0, 22.375)","(31.0, 130.0, 57.14285714285714)","(2.8, 4.2, 3.307777777777778)","(6.5, 14.5, 12.2)","(1.75, 2.26, 1.8438095238095238)","(21.0, 95.0, 68.21428571428571)","(16.0, 55.0, 42.5)"
07-12-2022 20:24:52.740817,"(10.0, 24.0, 22.375)","(31.0, 130.0, 57.14285714285714)","(2.8, 4.2, 3.307777777777778)","(6.5, 14.5, 12.2)","(1.75, 2.26, 1.8438095238095238)","(21.0, 95.0, 68.21428571428571)","(16.0, 55.0, 42.5)"
07-12-2022 20:24:53.836198,"(10.0, 24.0, 22.375)","(31.0, 130.0, 57.14285714285714)","(2.8, 4.2, 3.307777777777778)","(6.5, 14.5, 12.2)","(1.75, 2.26, 1.8438095238095238)","(21.0, 95.0, 68.21428571428571)","(16.0, 55.0, 42.5)"
07-12-2022 20:24:54.907092,"(10.0, 24.0, 22.375)","(31.0, 130.0, 57.14285714285714)","(2.8, 4.2, 3.307777777777778)","(6.5, 14.5, 12.2)","(1.75, 2.26, 1.8438095238095238)","(21.0, 95.0, 68.21428571428571)","(16.0, 55.0, 42.5)"
07-12-2022 20:24:56.023270,"(10.0, 24.0, 22.375)","(31.0, 130.0, 57.14285714285714)","(2.8, 4.2, 3.307777777777778)","(6.5, 14.5, 12.2)","(1.75, 2.26, 1.8438095238095238)","(21.0, 95.0, 68.21428571428571)","(16.0, 55.0, 42.5)"
07-12-2022 20:24:57.167949,"(10.0, 24.0, 22.375)","(31.0, 130.0, 57.14285714285714)","(2.8, 4.2, 3.307777777777778)","(6.5, 14.5, 12.2)","(1.75, 2.26, 1.8438095238095238)","(21.0, 95.0, 68.21428571428571)","(16.0, 55.0, 42.5)"
07-12-2022 20:24:58.324081,"(10.0, 24.0, 22.375)","(31.0, 130.0, 57.14285714285714)","(2.8, 4.2, 3.307777777777778)","(6.5, 14.5, 12.2)","(1.75, 2.26, 1.918)","(21.0, 95.0, 68.21428571428571)","(16.0, 55.0, 42.5)"
07-12-2022 20:24:59.548583,"(10.0, 24.0, 22.375)","(31.0, 130.0, 57.14285714285714)","(2.8, 4.2, 3.307777777777778)","(6.5, 14.5, 12.2)","(1.75, 2.26, 1.918)","(21.0, 95.0, 68.21428571428571)","(16.0, 55.0, 42.5)"
07-12-2022 20:25:00.774982,"(10.0, 24.0, 22.375)","(31.0, 130.0, 57.14285714285714)","(2.8, 4.2, 3.307777777777778)","(6.5, 14.5, 11.2)","(1.75, 2.26, 1.918)","(21.0, 95.0, 68.21428571428571)","(16.0, 55.0, 42.5)"
07-12-2022 20:25:02.023889,"(10.0, 24.0, 22.375)","(31.0, 130.0, 57.14285714285714)","(2.8, 4.2, 3.307777777777778)","(6.5, 13.0, 11.2)","(1.75, 2.26, 1.861904761904762)","(21.0, 95.0, 68.21428571428571)","(16.0, 55.0, 42.5)"
07-12-2022 20:25:03.257982,"(10.0, 24.0, 22.375)","(31.0, 130.0, 57.14285714285714)","(2.8, 4.2, 3.307777777777778)","(6.5, 13.0, 11.2)","(1.75, 2.26, 1.861904761904762)","(21.0, 95.0, 68.21428571428571)","(16.0, 55.0, 42.5)"
07-12-2022 20:25:04.405641,"(10.0, 24.0, 22.375)","(31.0, 130.0, 57.14285714285714)","(2.8, 4.2, 3.307777777777778)","(6.5, 13.0, 11.2)","(1.75, 2.26, 1.870952380952381)","(21.0, 95.0, 68.21428571428571)","(16.0, 55.0, 42.5)"
07-12-2022 20:25:05.527870,"(10.0, 24.0, 22.375)","(31.0, 130.0, 57.14285714285714)","(2.8, 4.2, 3.307777777777778)","(6.5, 13.0, 11.2)","(1.75, 2.26, 1.870952380952381)","(21.0, 95.0, 68.21428571428571)","(16.0, 55.0, 42.5)"
07-12-2022 20:25:06.663833,"(10.0, 24.0, 22.375)","(31.0, 130.0, 57.14285714285714)","(2.8, 4.2, 3.307777777777778)","(6.5, 13.0, 11.2)","(1.75, 2.26, 1.870952380952381)","(21.0, 95.0, 68.21428571428571)","(16.0, 55.0, 42.5)"
07-12-2022 20:25:07.859951,"(10.0, 24.0, 22.375)","(31.0, 130.0, 57.14285714285714)","(2.8, 4.2, 3.307777777777778)","(6.5, 13.0, 11.2)","(1.75, 2.26, 1.870952380952381)","(21.0, 95.0, 68.21428571428571)","(16.0, 55.0, 42.5)"
07-12-2022 20:25:09.053278,"(10.0, 24.0, 22.375)","(31.0, 130.0, 57.14285714285714)","(2.8, 4.2, 3.307777777777778)","(6.5, 13.0, 11.2)","(1.75, 2.26, 1.870952380952381)","(21.0, 95.0, 68.21428571428571)","(16.0, 55.0, 42.5)"
