,Elliott Ness,Mercury Icon,Aston Rosa,Starfleet,Van Diemen,Funky Felix,Im A Lawyer,Bingo Ringo
12-01-2023 09:32:28.362051,"(5.0, 8.6, 5.469230769230769)","(10.0, 24.0, 19.764705882352942)","(6.5, 13.5, 7.82)","(11.0, 27.0, 16.6875)","(4.6, 9.4, 8.733333333333334)","(10.0, 23.0, 18.142857142857142)","(3.9, 6.0, 4.03695652173913)","(4.6, 7.4, 4.6875)"
12-01-2023 09:32:29.452068,"(5.0, 8.6, 5.469230769230769)","(10.0, 24.0, 19.764705882352942)","(6.5, 13.5, 7.82)","(11.0, 27.0, 16.6875)","(4.6, 9.4, 8.733333333333334)","(10.0, 23.0, 18.142857142857142)","(3.9, 6.0, 4.03695652173913)","(4.6, 7.4, 4.6875)"
12-01-2023 09:32:30.596027,"(5.0, 8.6, 5.469230769230769)","(10.0, 24.0, 19.764705882352942)","(6.5, 13.5, 7.82)","(11.0, 27.0, 16.6875)","(4.6, 9.4, 8.733333333333334)","(10.0, 23.0, 18.142857142857142)","(3.9, 6.0, 4.03695652173913)","(4.6, 7.4, 4.6875)"
12-01-2023 09:32:31.680500,"(5.0, 8.6, 5.469230769230769)","(10.0, 24.0, 19.764705882352942)","(6.5, 13.5, 7.82)","(11.0, 27.0, 16.6875)","(4.6, 9.4, 8.733333333333334)","(10.0, 23.0, 18.142857142857142)","(3.9, 6.0, 4.03695652173913)","(4.6, 7.4, 4.6875)"
12-01-2023 09:32:32.870121,"(5.0, 8.6, 5.469230769230769)","(10.0, 24.0, 19.764705882352942)","(6.5, 13.5, 7.82)","(11.0, 27.0, 16.6875)","(4.6, 9.4, 8.733333333333334)","(10.0, 23.0, 18.142857142857142)","(3.9, 6.0, 4.03695652173913)","(4.6, 7.4, 4.6875)"
12-01-2023 09:32:33.856051,"(5.0, 8.6, 5.469230769230769)","(10.0, 24.0, 19.764705882352942)","(6.5, 13.5, 7.82)","(11.0, 27.0, 16.6875)","(4.6, 9.4, 8.733333333333334)","(10.0, 23.0, 18.142857142857142)","(3.9, 6.0, 4.03695652173913)","(4.6, 7.4, 4.6875)"
12-01-2023 09:32:34.950771,"(5.0, 8.6, 5.469230769230769)","(10.0, 24.0, 19.764705882352942)","(6.5, 13.5, 7.82)","(11.0, 27.0, 16.6875)","(4.6, 9.4, 8.733333333333334)","(10.0, 23.0, 18.142857142857142)","(3.9, 6.0, 4.03695652173913)","(4.6, 7.4, 4.6875)"
12-01-2023 09:32:36.040575,"(5.0, 8.6, 5.469230769230769)","(10.0, 24.0, 19.764705882352942)","(6.5, 13.5, 7.82)","(11.0, 27.0, 16.6875)","(4.6, 9.4, 8.733333333333334)","(10.0, 23.0, 18.142857142857142)","(3.9, 6.0, 4.03695652173913)","(4.6, 7.4, 4.6875)"
12-01-2023 09:32:37.226186,"(5.0, 8.6, 5.469230769230769)","(10.0, 24.0, 19.764705882352942)","(6.5, 13.5, 7.82)","(11.0, 27.0, 16.6875)","(4.6, 9.4, 8.733333333333334)","(10.0, 23.0, 18.142857142857142)","(3.9, 6.0, 4.03695652173913)","(4.6, 7.4, 4.6875)"
12-01-2023 09:32:38.386652,"(5.0, 8.6, 5.469230769230769)","(10.0, 24.0, 19.764705882352942)","(6.5, 13.5, 7.82)","(11.0, 27.0, 16.6875)","(4.6, 9.4, 8.733333333333334)","(10.0, 23.0, 18.142857142857142)","(3.9, 6.0, 4.03695652173913)","(4.6, 7.4, 4.6875)"
12-01-2023 09:32:39.608120,"(5.0, 8.6, 5.469230769230769)","(10.0, 24.0, 19.764705882352942)","(6.5, 13.5, 7.82)","(11.0, 27.0, 16.6875)","(4.6, 9.4, 8.733333333333334)","(10.0, 23.0, 18.142857142857142)","(3.9, 6.0, 4.03695652173913)","(4.6, 7.4, 4.6875)"
12-01-2023 09:32:40.765875,"(5.0, 8.6, 5.469230769230769)","(10.0, 24.0, 19.764705882352942)","(6.5, 13.5, 7.82)","(11.0, 27.0, 16.6875)","(4.6, 9.4, 8.733333333333334)","(10.0, 23.0, 18.142857142857142)","(3.9, 6.0, 4.03695652173913)","(4.6, 7.4, 4.6875)"
12-01-2023 09:32:41.919728,"(5.0, 8.6, 5.469230769230769)","(10.0, 24.0, 19.764705882352942)","(6.5, 13.5, 7.82)","(11.0, 27.0, 16.6875)","(4.6, 9.4, 8.733333333333334)","(10.0, 23.0, 18.142857142857142)","(3.9, 6.0, 4.03695652173913)","(4.6, 7.4, 4.6875)"
12-01-2023 09:32:43.072279,"(5.0, 8.6, 5.469230769230769)","(10.0, 24.0, 19.764705882352942)","(6.5, 13.5, 7.82)","(11.0, 27.0, 16.6875)","(4.6, 9.4, 8.733333333333334)","(10.0, 23.0, 18.142857142857142)","(3.9, 6.0, 4.03695652173913)","(4.6, 7.4, 4.6875)"
12-01-2023 09:32:44.211240,"(5.0, 8.6, 5.469230769230769)","(10.0, 24.0, 19.764705882352942)","(6.5, 13.5, 7.82)","(11.0, 27.0, 16.6875)","(4.6, 9.4, 8.733333333333334)","(10.0, 23.0, 18.142857142857142)","(3.9, 6.0, 4.03695652173913)","(4.6, 7.4, 4.6875)"
12-01-2023 09:32:45.377875,"(5.0, 8.6, 5.469230769230769)","(10.0, 24.0, 19.764705882352942)","(6.5, 13.5, 7.82)","(11.0, 27.0, 16.6875)","(4.6, 9.4, 8.733333333333334)","(10.0, 23.0, 18.142857142857142)","(3.9, 6.0, 4.03695652173913)","(4.6, 7.4, 4.6875)"
12-01-2023 09:32:46.570921,"(5.0, 8.6, 5.469230769230769)","(10.0, 24.0, 19.764705882352942)","(6.5, 13.5, 7.82)","(11.0, 27.0, 16.6875)","(4.6, 9.4, 8.733333333333334)","(10.0, 23.0, 18.142857142857142)","(3.9, 6.0, 4.03695652173913)","(4.6, 7.4, 4.6875)"
12-01-2023 09:32:47.764508,"(5.0, 8.6, 5.469230769230769)","(10.0, 24.0, 19.764705882352942)","(6.5, 13.5, 7.82)","(11.0, 27.0, 16.6875)","(4.6, 9.4, 6.133333333333334)","(10.0, 23.0, 18.142857142857142)","(3.9, 6.0, 4.03695652173913)","(4.6, 7.4, 4.6875)"
12-01-2023 09:32:48.851214,"(5.0, 8.6, 5.469230769230769)","(10.0, 24.0, 19.764705882352942)","(6.5, 13.5, 7.82)","(11.0, 27.0, 16.6875)","(4.6, 9.4, 6.133333333333334)","(10.0, 23.0, 18.142857142857142)","(3.9, 6.0, 4.03695652173913)","(4.6, 7.4, 4.6875)"
12-01-2023 09:32:49.966043,"(5.0, 8.6, 5.469230769230769)","(10.0, 24.0, 19.764705882352942)","(6.5, 13.5, 7.82)","(11.0, 27.0, 16.6875)","(4.6, 9.4, 6.133333333333334)","(10.0, 23.0, 18.142857142857142)","(3.9, 6.0, 4.03695652173913)","(4.6, 7.4, 4.6875)"
12-01-2023 09:32:51.134374,"(5.0, 8.6, 5.469230769230769)","(10.0, 24.0, 19.764705882352942)","(6.5, 13.5, 7.82)","(11.0, 27.0, 16.6875)","(4.6, 9.4, 6.133333333333334)","(10.0, 23.0, 18.142857142857142)","(3.9, 6.0, 4.03695652173913)","(4.6, 7.4, 4.6875)"
12-01-2023 09:32:52.371498,"(5.0, 8.6, 5.469230769230769)","(10.0, 24.0, 19.764705882352942)","(6.5, 13.5, 7.82)","(11.0, 27.0, 16.6875)","(4.6, 9.4, 6.133333333333334)","(10.0, 23.0, 18.142857142857142)","(3.9, 6.0, 4.03695652173913)","(4.6, 7.4, 4.6875)"
12-01-2023 09:32:53.625315,"(5.0, 8.6, 5.469230769230769)","(10.0, 24.0, 19.764705882352942)","(6.5, 13.5, 7.82)","(11.0, 27.0, 16.6875)","(4.6, 9.4, 6.133333333333334)","(10.0, 23.0, 18.142857142857142)","(3.9, 6.0, 4.03695652173913)","(4.6, 7.4, 4.6875)"
12-01-2023 09:32:54.781232,"(5.0, 8.6, 5.469230769230769)","(10.0, 24.0, 19.764705882352942)","(6.5, 13.5, 7.82)","(11.0, 27.0, 16.6875)","(4.6, 9.4, 6.133333333333334)","(10.0, 23.0, 18.142857142857142)","(3.9, 6.0, 4.03695652173913)","(4.6, 7.4, 4.6875)"
12-01-2023 09:32:55.916755,"(5.0, 8.6, 5.469230769230769)","(10.0, 24.0, 19.764705882352942)","(6.5, 13.5, 7.82)","(11.0, 27.0, 16.6875)","(4.6, 9.4, 6.133333333333334)","(10.0, 23.0, 18.142857142857142)","(3.9, 6.0, 4.03695652173913)","(4.6, 7.4, 4.6875)"
12-01-2023 09:32:57.032951,"(5.0, 8.6, 5.469230769230769)","(10.0, 24.0, 19.764705882352942)","(6.5, 13.5, 7.82)","(11.0, 27.0, 16.6875)","(4.6, 9.4, 6.133333333333334)","(10.0, 23.0, 18.142857142857142)","(3.9, 6.0, 4.03695652173913)","(4.6, 7.4, 4.6875)"
12-01-2023 09:32:58.217847,"(5.0, 8.6, 5.469230769230769)","(10.0, 24.0, 19.764705882352942)","(6.5, 13.5, 7.82)","(11.0, 27.0, 16.6875)","(4.6, 9.4, 6.133333333333334)","(10.0, 23.0, 18.142857142857142)","(3.9, 6.0, 4.03695652173913)","(4.6, 7.4, 4.6875)"
12-01-2023 09:32:59.426444,"(5.0, 8.6, 5.469230769230769)","(10.0, 24.0, 19.764705882352942)","(6.5, 13.5, 7.82)","(11.0, 27.0, 16.6875)","(4.6, 9.4, 6.133333333333334)","(10.0, 23.0, 18.142857142857142)","(3.9, 6.0, 4.03695652173913)","(4.6, 7.4, 4.6875)"
12-01-2023 09:33:00.633955,"(5.0, 8.6, 5.469230769230769)","(10.0, 24.0, 19.764705882352942)","(6.5, 13.5, 7.82)","(11.0, 27.0, 16.6875)","(4.6, 9.4, 6.133333333333334)","(10.0, 23.0, 18.142857142857142)","(3.9, 6.0, 4.03695652173913)","(4.6, 7.4, 4.6875)"
12-01-2023 09:33:01.856561,"(5.0, 8.6, 5.469230769230769)","(10.0, 24.0, 19.764705882352942)","(6.5, 13.5, 7.82)","(11.0, 27.0, 16.6875)","(4.6, 9.4, 6.133333333333334)","(10.0, 23.0, 18.142857142857142)","(3.9, 6.0, 4.03695652173913)","(4.6, 7.4, 4.6875)"
12-01-2023 09:33:02.982397,"(5.0, 8.6, 5.469230769230769)","(10.0, 24.0, 19.764705882352942)","(6.5, 13.5, 7.82)","(11.0, 27.0, 16.6875)","(4.6, 9.4, 6.133333333333334)","(10.0, 23.0, 18.142857142857142)","(3.9, 6.0, 4.03695652173913)","(4.6, 7.4, 4.6875)"
12-01-2023 09:33:04.092971,"(5.0, 8.6, 5.469230769230769)","(10.0, 24.0, 19.764705882352942)","(6.5, 13.5, 7.82)","(11.0, 27.0, 16.6875)","(4.6, 9.4, 6.133333333333334)","(10.0, 23.0, 18.142857142857142)","(3.9, 6.0, 4.03695652173913)","(4.6, 7.4, 4.6875)"
12-01-2023 09:33:05.231711,"(5.0, 8.6, 5.469230769230769)","(10.0, 24.0, 19.764705882352942)","(6.5, 13.5, 7.82)","(11.0, 27.0, 16.6875)","(4.6, 9.4, 6.133333333333334)","(10.0, 23.0, 18.142857142857142)","(3.9, 6.0, 4.03695652173913)","(4.6, 7.4, 4.6875)"
12-01-2023 09:33:06.449216,"(5.0, 8.6, 5.469230769230769)","(10.0, 24.0, 19.764705882352942)","(6.5, 13.5, 7.82)","(11.0, 27.0, 16.6875)","(4.6, 9.4, 6.133333333333334)","(10.0, 23.0, 18.142857142857142)","(3.9, 6.0, 4.03695652173913)","(4.6, 7.4, 4.6875)"
12-01-2023 09:33:07.593122,"(5.0, 8.6, 5.469230769230769)","(10.0, 24.0, 19.764705882352942)","(6.5, 13.5, 7.82)","(11.0, 27.0, 16.6875)","(4.6, 9.4, 6.133333333333334)","(10.0, 23.0, 18.142857142857142)","(3.9, 6.0, 4.03695652173913)","(4.6, 7.4, 4.6875)"
12-01-2023 09:33:08.822048,"(5.0, 8.6, 5.469230769230769)","(10.0, 24.0, 19.764705882352942)","(6.5, 13.5, 7.82)","(11.0, 27.0, 16.6875)","(4.6, 9.4, 6.133333333333334)","(10.0, 23.0, 18.142857142857142)","(3.9, 6.0, 4.03695652173913)","(4.6, 7.4, 4.6875)"
12-01-2023 09:33:10.013788,"(5.0, 8.6, 5.469230769230769)","(10.0, 24.0, 19.764705882352942)","(6.5, 13.5, 7.82)","(11.0, 27.0, 16.6875)","(4.6, 9.4, 6.133333333333334)","(10.0, 23.0, 18.142857142857142)","(3.9, 6.0, 4.03695652173913)","(4.6, 7.4, 4.6875)"
12-01-2023 09:33:11.171798,"(5.0, 8.6, 5.469230769230769)","(10.0, 24.0, 19.764705882352942)","(6.5, 13.5, 7.82)","(11.0, 27.0, 16.6875)","(4.6, 9.4, 6.133333333333334)","(10.0, 23.0, 18.142857142857142)","(3.9, 6.0, 4.03695652173913)","(4.6, 7.4, 4.6875)"
12-01-2023 09:33:12.280190,"(5.0, 8.6, 5.469230769230769)","(10.0, 24.0, 19.764705882352942)","(6.5, 13.5, 7.82)","(11.0, 27.0, 16.6875)","(4.6, 9.4, 6.133333333333334)","(10.0, 23.0, 18.142857142857142)","(3.9, 6.0, 4.03695652173913)","(4.6, 7.4, 4.6875)"
12-01-2023 09:33:13.410964,"(5.0, 8.6, 5.469230769230769)","(10.0, 24.0, 19.764705882352942)","(6.5, 13.5, 7.82)","(11.0, 27.0, 16.6875)","(4.6, 9.4, 6.133333333333334)","(10.0, 23.0, 18.142857142857142)","(3.9, 6.0, 4.03695652173913)","(4.6, 7.4, 4.6875)"
12-01-2023 09:33:14.503226,"(5.0, 8.6, 5.469230769230769)","(10.0, 24.0, 19.764705882352942)","(6.5, 13.5, 7.82)","(11.0, 27.0, 16.6875)","(4.6, 9.4, 6.133333333333334)","(10.0, 23.0, 18.142857142857142)","(3.9, 6.0, 4.03695652173913)","(4.6, 7.4, 4.6875)"
12-01-2023 09:33:15.626825,"(5.0, 8.6, 5.469230769230769)","(10.0, 24.0, 19.764705882352942)","(6.5, 13.5, 7.82)","(11.0, 27.0, 16.6875)","(4.6, 9.4, 8.760000000000002)","(10.0, 23.0, 18.142857142857142)","(3.9, 6.0, 4.03695652173913)","(4.6, 7.4, 4.6875)"
12-01-2023 09:33:16.709180,"(5.0, 8.6, 5.469230769230769)","(10.0, 24.0, 19.764705882352942)","(6.5, 13.5, 7.82)","(11.0, 27.0, 16.6875)","(4.6, 9.4, 8.760000000000002)","(10.0, 23.0, 18.142857142857142)","(3.9, 6.0, 4.03695652173913)","(4.6, 7.4, 4.6875)"
12-01-2023 09:33:17.752980,"(5.0, 8.6, 5.469230769230769)","(10.0, 24.0, 19.764705882352942)","(6.5, 13.5, 7.82)","(11.0, 27.0, 16.6875)","(4.6, 9.4, 8.760000000000002)","(10.0, 23.0, 18.142857142857142)","(3.9, 6.0, 4.03695652173913)","(4.6, 7.4, 4.6875)"
12-01-2023 09:33:18.761369,"(5.0, 8.6, 5.469230769230769)","(10.0, 24.0, 19.764705882352942)","(6.5, 13.5, 7.82)","(11.0, 27.0, 16.6875)","(4.6, 9.4, 8.760000000000002)","(10.0, 23.0, 18.142857142857142)","(3.9, 6.0, 4.03695652173913)","(4.6, 7.4, 4.6875)"
12-01-2023 09:33:19.847567,"(5.0, 8.6, 5.469230769230769)","(10.0, 24.0, 19.764705882352942)","(6.5, 13.5, 7.82)","(11.0, 27.0, 16.6875)","(4.6, 9.4, 8.760000000000002)","(10.0, 23.0, 18.142857142857142)","(3.9, 6.0, 4.03695652173913)","(4.6, 7.4, 4.6875)"
12-01-2023 09:33:20.922540,"(5.0, 8.6, 5.469230769230769)","(10.0, 24.0, 19.764705882352942)","(6.5, 13.5, 7.82)","(11.0, 27.0, 16.6875)","(4.6, 9.4, 8.760000000000002)","(10.0, 23.0, 18.142857142857142)","(3.9, 6.0, 4.03695652173913)","(4.6, 7.4, 4.6875)"
12-01-2023 09:33:21.929442,"(5.0, 8.6, 5.469230769230769)","(10.0, 24.0, 19.764705882352942)","(6.5, 13.5, 7.82)","(11.0, 27.0, 16.6875)","(4.6, 9.4, 8.760000000000002)","(10.0, 23.0, 18.142857142857142)","(3.9, 6.0, 4.03695652173913)","(4.6, 7.4, 4.6875)"
12-01-2023 09:33:23.024303,"(5.0, 8.6, 5.469230769230769)","(10.0, 24.0, 19.764705882352942)","(6.5, 13.5, 7.82)","(11.0, 27.0, 16.6875)","(4.6, 9.4, 8.760000000000002)","(10.0, 23.0, 18.142857142857142)","(3.9, 6.0, 4.03695652173913)","(4.6, 7.4, 4.6875)"
12-01-2023 09:33:24.085929,"(5.0, 8.6, 5.469230769230769)","(10.0, 24.0, 19.764705882352942)","(6.5, 13.5, 7.82)","(11.0, 27.0, 16.6875)","(4.6, 9.4, 8.760000000000002)","(10.0, 23.0, 18.142857142857142)","(3.9, 6.0, 4.03695652173913)","(4.6, 7.4, 4.6875)"
12-01-2023 09:33:25.232792,"(5.0, 8.6, 5.469230769230769)","(10.0, 24.0, 19.764705882352942)","(6.5, 13.5, 7.82)","(11.0, 27.0, 16.6875)","(4.6, 9.4, 8.760000000000002)","(10.0, 23.0, 18.142857142857142)","(3.9, 6.0, 4.03695652173913)","(4.6, 7.4, 4.6875)"
12-01-2023 09:33:26.376115,"(5.0, 8.6, 5.469230769230769)","(10.0, 24.0, 19.764705882352942)","(6.5, 13.5, 7.82)","(11.0, 27.0, 16.6875)","(4.6, 9.4, 8.760000000000002)","(10.0, 23.0, 18.142857142857142)","(3.9, 6.0, 4.03695652173913)","(4.6, 7.4, 4.6875)"
12-01-2023 09:33:27.525107,"(5.0, 8.6, 5.469230769230769)","(10.0, 24.0, 19.764705882352942)","(6.5, 13.5, 7.82)","(11.0, 27.0, 16.6875)","(4.6, 9.4, 8.760000000000002)","(10.0, 23.0, 18.142857142857142)","(3.9, 6.0, 4.03695652173913)","(4.6, 7.4, 4.6875)"
12-01-2023 09:33:28.741262,"(5.0, 8.6, 5.469230769230769)","(10.0, 24.0, 19.764705882352942)","(6.5, 13.5, 7.82)","(11.0, 27.0, 16.6875)","(4.6, 9.4, 8.760000000000002)","(10.0, 23.0, 18.142857142857142)","(3.9, 6.0, 4.03695652173913)","(4.6, 7.4, 4.6875)"
12-01-2023 09:33:29.939992,"(5.0, 8.6, 5.469230769230769)","(10.0, 24.0, 19.764705882352942)","(6.5, 13.5, 7.82)","(11.0, 27.0, 16.6875)","(4.6, 9.4, 8.760000000000002)","(10.0, 23.0, 18.142857142857142)","(3.9, 6.0, 4.03695652173913)","(4.6, 7.4, 4.6875)"
12-01-2023 09:33:31.079447,"(5.0, 8.6, 5.469230769230769)","(10.0, 24.0, 19.764705882352942)","(6.5, 13.5, 7.82)","(11.0, 27.0, 16.6875)","(4.6, 9.4, 8.760000000000002)","(10.0, 23.0, 18.142857142857142)","(3.9, 6.0, 4.03695652173913)","(4.6, 7.4, 4.6875)"
12-01-2023 09:33:32.254817,"(5.0, 8.6, 5.469230769230769)","(10.0, 24.0, 19.764705882352942)","(6.5, 13.5, 7.82)","(11.0, 27.0, 16.6875)","(4.6, 9.4, 8.760000000000002)","(10.0, 23.0, 18.142857142857142)","(3.9, 6.0, 4.03695652173913)","(4.6, 7.4, 4.6875)"
12-01-2023 09:33:33.430130,"(5.0, 8.6, 5.469230769230769)","(10.0, 24.0, 19.764705882352942)","(6.5, 13.5, 7.82)","(11.0, 27.0, 16.6875)","(4.6, 9.4, 8.760000000000002)","(10.0, 23.0, 18.142857142857142)","(3.9, 6.0, 4.03695652173913)","(4.6, 7.4, 4.6875)"
12-01-2023 09:33:34.587909,"(5.0, 8.6, 5.469230769230769)","(10.0, 24.0, 19.764705882352942)","(6.5, 13.5, 7.82)","(11.0, 27.0, 16.6875)","(4.6, 9.4, 8.733333333333334)","(10.0, 23.0, 18.142857142857142)","(3.9, 6.0, 4.03695652173913)","(4.6, 7.4, 4.6875)"
12-01-2023 09:33:35.740084,"(5.0, 8.6, 5.469230769230769)","(10.0, 24.0, 19.764705882352942)","(6.5, 13.5, 7.82)","(11.0, 27.0, 16.6875)","(4.6, 9.4, 8.733333333333334)","(10.0, 23.0, 18.142857142857142)","(3.9, 6.0, 4.03695652173913)","(4.6, 7.4, 4.6875)"
12-01-2023 09:33:36.886401,"(5.0, 8.6, 5.469230769230769)","(10.0, 24.0, 19.764705882352942)","(6.5, 13.5, 7.82)","(11.0, 27.0, 16.6875)","(4.6, 9.4, 8.733333333333334)","(10.0, 23.0, 18.142857142857142)","(3.9, 6.0, 4.03695652173913)","(4.6, 7.4, 4.6875)"
12-01-2023 09:33:37.966795,"(5.0, 8.6, 5.469230769230769)","(10.0, 24.0, 19.764705882352942)","(6.5, 13.5, 7.82)","(11.0, 27.0, 16.6875)","(4.6, 9.4, 8.733333333333334)","(10.0, 23.0, 18.142857142857142)","(3.9, 6.0, 4.03695652173913)","(4.6, 7.4, 4.6875)"
12-01-2023 09:33:39.081500,"(5.0, 8.6, 5.469230769230769)","(10.0, 24.0, 19.764705882352942)","(6.5, 13.5, 7.82)","(11.0, 27.0, 16.6875)","(4.6, 9.4, 8.733333333333334)","(10.0, 23.0, 18.142857142857142)","(3.9, 6.0, 4.03695652173913)","(4.6, 7.4, 4.6875)"
12-01-2023 09:33:40.244187,"(5.0, 8.6, 5.469230769230769)","(10.0, 24.0, 19.764705882352942)","(6.5, 13.5, 7.82)","(11.0, 27.0, 16.6875)","(4.6, 9.4, 8.733333333333334)","(10.0, 23.0, 18.142857142857142)","(3.9, 6.0, 4.03695652173913)","(4.6, 7.4, 4.6875)"
12-01-2023 09:33:41.479955,"(5.0, 8.6, 5.469230769230769)","(10.0, 24.0, 19.764705882352942)","(6.5, 13.5, 7.82)","(11.0, 27.0, 16.6875)","(4.6, 9.4, 8.733333333333334)","(10.0, 23.0, 18.142857142857142)","(3.9, 6.0, 4.03695652173913)","(4.6, 7.4, 4.6875)"
12-01-2023 09:33:42.655342,"(5.0, 8.6, 5.469230769230769)","(10.0, 24.0, 19.764705882352942)","(6.5, 13.5, 7.82)","(11.0, 27.0, 16.6875)","(4.6, 9.4, 8.733333333333334)","(10.0, 23.0, 18.142857142857142)","(3.9, 6.0, 4.03695652173913)","(4.6, 7.4, 4.6875)"
12-01-2023 09:33:43.777367,"(5.0, 8.6, 5.469230769230769)","(10.0, 24.0, 19.764705882352942)","(6.5, 13.5, 7.82)","(11.0, 27.0, 16.6875)","(4.6, 9.4, 8.733333333333334)","(10.0, 23.0, 18.142857142857142)","(3.9, 6.0, 4.03695652173913)","(4.6, 7.4, 4.6875)"
12-01-2023 09:33:44.921808,"(5.0, 8.6, 5.469230769230769)","(10.0, 24.0, 19.764705882352942)","(6.5, 13.5, 7.82)","(11.0, 27.0, 16.6875)","(4.6, 9.4, 8.733333333333334)","(10.0, 23.0, 18.142857142857142)","(3.9, 6.0, 4.03695652173913)","(4.6, 7.4, 4.6875)"
12-01-2023 09:33:45.947208,"(5.0, 8.6, 5.469230769230769)","(10.0, 24.0, 19.764705882352942)","(6.5, 13.5, 7.82)","(11.0, 27.0, 16.6875)","(4.6, 9.4, 8.733333333333334)","(10.0, 23.0, 18.142857142857142)","(3.9, 6.0, 4.03695652173913)","(4.6, 7.4, 4.6875)"
12-01-2023 09:33:47.068437,"(5.0, 8.6, 5.469230769230769)","(10.0, 24.0, 19.764705882352942)","(6.5, 13.5, 7.82)","(11.0, 27.0, 16.6875)","(4.6, 9.4, 8.733333333333334)","(10.0, 23.0, 18.142857142857142)","(3.9, 6.0, 4.03695652173913)","(4.6, 7.4, 4.6875)"
12-01-2023 09:33:48.209552,"(5.0, 8.6, 5.469230769230769)","(10.0, 24.0, 19.764705882352942)","(6.5, 13.5, 7.82)","(11.0, 27.0, 16.6875)","(4.6, 9.4, 8.733333333333334)","(10.0, 23.0, 18.142857142857142)","(3.9, 6.0, 4.03695652173913)","(4.6, 7.4, 4.6875)"
