,Unleashed Buffy,Moment To Polka,Tears And Tanty,What A Phoenix,Big Kahuna,Hello Harley,Kid Kimetto,Bazinga Girl
11-01-2023 20:30:08.894498,"(4.2, 6.8, 4.828571428571428)","(3.1, 4.8, 3.7545454545454544)","(16.0, 42.0, 24.333333333333336)","(51.0, 550.0, 300.0)","(2.4, 3.0, 2.486666666666667)","(13.0, 32.0, 26.0)","(9.0, 17.5, 13.708333333333334)","(15.0, 46.0, 29.055555555555557)"
11-01-2023 20:30:10.107877,"(4.2, 6.8, 4.828571428571428)","(3.1, 4.8, 3.7545454545454544)","(16.0, 42.0, 24.333333333333336)","(51.0, 550.0, 300.0)","(2.4, 3.0, 2.486666666666667)","(13.0, 32.0, 26.0)","(9.0, 17.5, 13.708333333333334)","(15.0, 46.0, 29.055555555555557)"
11-01-2023 20:30:11.261656,"(4.2, 6.8, 4.828571428571428)","(3.1, 4.8, 3.7545454545454544)","(16.0, 42.0, 24.333333333333336)","(51.0, 550.0, 300.0)","(2.4, 3.0, 2.486666666666667)","(13.0, 32.0, 26.0)","(9.0, 17.5, 13.708333333333334)","(15.0, 46.0, 29.055555555555557)"
11-01-2023 20:30:12.458320,"(4.2, 6.8, 4.828571428571428)","(3.1, 4.8, 3.7545454545454544)","(16.0, 42.0, 24.333333333333336)","(51.0, 550.0, 300.0)","(2.4, 3.0, 2.486666666666667)","(13.0, 32.0, 26.0)","(9.0, 17.5, 13.708333333333334)","(15.0, 46.0, 29.055555555555557)"
11-01-2023 20:30:13.560545,"(4.2, 6.8, 4.828571428571428)","(3.1, 5.0, 3.81875)","(16.0, 42.0, 24.333333333333336)","(51.0, 550.0, 300.0)","(2.4, 3.0, 2.486666666666667)","(13.0, 32.0, 26.0)","(9.0, 17.5, 13.708333333333334)","(15.0, 46.0, 29.055555555555557)"
11-01-2023 20:30:14.770498,"(4.2, 6.8, 4.828571428571428)","(3.1, 4.9, 3.9)","(16.0, 42.0, 24.333333333333336)","(51.0, 550.0, 300.0)","(2.4, 3.0, 2.486666666666667)","(13.0, 32.0, 26.0)","(9.0, 17.5, 13.708333333333334)","(15.0, 46.0, 29.055555555555557)"
11-01-2023 20:30:16.002807,"(4.2, 6.8, 4.828571428571428)","(3.1, 4.9, 3.9)","(16.0, 42.0, 24.333333333333336)","(51.0, 550.0, 300.0)","(2.4, 3.0, 2.486666666666667)","(13.0, 32.0, 26.0)","(9.0, 17.5, 13.708333333333334)","(15.0, 46.0, 29.055555555555557)"
11-01-2023 20:30:17.266884,"(4.2, 6.8, 4.828571428571428)","(3.1, 4.9, 3.7545454545454544)","(16.0, 42.0, 24.333333333333336)","(51.0, 550.0, 300.0)","(2.4, 3.0, 2.486666666666667)","(13.0, 32.0, 26.0)","(9.0, 17.5, 13.708333333333334)","(15.0, 46.0, 29.055555555555557)"
11-01-2023 20:30:18.556447,"(4.2, 6.8, 4.828571428571428)","(3.1, 4.8, 3.7545454545454544)","(16.0, 42.0, 24.333333333333336)","(51.0, 550.0, 300.0)","(2.4, 3.0, 2.486666666666667)","(13.0, 32.0, 26.0)","(9.0, 17.5, 13.708333333333334)","(15.0, 46.0, 29.055555555555557)"
11-01-2023 20:30:20.032886,"(4.2, 6.8, 4.828571428571428)","(3.1, 4.8, 3.7545454545454544)","(16.0, 42.0, 24.333333333333336)","(51.0, 550.0, 300.0)","(2.4, 3.0, 2.486666666666667)","(13.0, 32.0, 26.0)","(9.0, 17.5, 13.708333333333334)","(15.0, 46.0, 29.055555555555557)"
11-01-2023 20:30:21.500491,"(4.2, 6.8, 4.828571428571428)","(3.1, 4.8, 3.7545454545454544)","(16.0, 42.0, 24.333333333333336)","(51.0, 550.0, 300.0)","(2.4, 3.0, 2.486666666666667)","(13.0, 32.0, 26.0)","(9.0, 17.5, 13.708333333333334)","(15.0, 46.0, 29.055555555555557)"
11-01-2023 20:30:22.660134,"(4.2, 6.8, 4.828571428571428)","(3.1, 4.8, 3.7545454545454544)","(16.0, 42.0, 24.333333333333336)","(51.0, 550.0, 300.0)","(2.4, 3.0, 2.486666666666667)","(13.0, 32.0, 26.0)","(9.0, 17.5, 13.708333333333334)","(15.0, 46.0, 29.055555555555557)"
11-01-2023 20:30:23.895311,"(4.2, 6.8, 4.828571428571428)","(3.1, 4.8, 3.7545454545454544)","(16.0, 42.0, 24.333333333333336)","(51.0, 550.0, 300.0)","(2.4, 3.0, 2.486666666666667)","(13.0, 32.0, 26.0)","(9.0, 17.5, 13.708333333333334)","(15.0, 46.0, 29.055555555555557)"
11-01-2023 20:30:24.936656,"(4.2, 6.8, 4.828571428571428)","(3.1, 4.8, 3.7545454545454544)","(16.0, 42.0, 24.333333333333336)","(51.0, 550.0, 300.0)","(2.4, 3.0, 2.486666666666667)","(13.0, 32.0, 26.0)","(9.0, 17.5, 13.708333333333334)","(15.0, 46.0, 29.055555555555557)"
11-01-2023 20:30:26.076202,"(4.2, 6.8, 4.828571428571428)","(3.1, 4.8, 3.7545454545454544)","(16.0, 42.0, 24.333333333333336)","(51.0, 550.0, 300.0)","(2.4, 3.0, 2.486666666666667)","(13.0, 32.0, 26.0)","(9.0, 17.5, 13.708333333333334)","(15.0, 46.0, 29.055555555555557)"
11-01-2023 20:30:27.302736,"(4.2, 6.8, 4.828571428571428)","(3.1, 4.8, 3.7545454545454544)","(16.0, 42.0, 24.333333333333336)","(51.0, 550.0, 300.0)","(2.4, 3.0, 2.486666666666667)","(13.0, 32.0, 26.0)","(9.0, 17.5, 13.708333333333334)","(15.0, 46.0, 29.055555555555557)"
11-01-2023 20:30:28.524750,"(4.2, 6.8, 4.828571428571428)","(3.1, 4.8, 3.7545454545454544)","(16.0, 42.0, 24.333333333333336)","(51.0, 550.0, 300.0)","(2.4, 3.0, 2.486666666666667)","(13.0, 32.0, 26.0)","(9.0, 17.5, 13.708333333333334)","(15.0, 46.0, 29.055555555555557)"
11-01-2023 20:30:29.826703,"(4.2, 6.8, 4.828571428571428)","(3.1, 4.8, 3.7545454545454544)","(16.0, 42.0, 24.333333333333336)","(51.0, 550.0, 300.0)","(2.4, 3.0, 2.486666666666667)","(13.0, 32.0, 26.0)","(9.0, 17.5, 13.708333333333334)","(15.0, 46.0, 29.055555555555557)"
11-01-2023 20:30:31.108988,"(4.2, 6.8, 4.828571428571428)","(3.1, 4.8, 3.7545454545454544)","(16.0, 42.0, 24.333333333333336)","(51.0, 550.0, 300.0)","(2.4, 3.0, 2.486666666666667)","(13.0, 32.0, 26.0)","(9.0, 17.5, 13.708333333333334)","(15.0, 46.0, 29.055555555555557)"
11-01-2023 20:30:32.316270,"(4.2, 6.8, 4.828571428571428)","(3.1, 4.8, 3.7545454545454544)","(16.0, 42.0, 24.333333333333336)","(51.0, 550.0, 300.0)","(2.4, 3.0, 2.486666666666667)","(13.0, 32.0, 26.0)","(9.0, 17.5, 13.708333333333334)","(15.0, 46.0, 29.055555555555557)"
11-01-2023 20:30:33.639732,"(4.2, 6.8, 4.828571428571428)","(3.1, 4.8, 3.7545454545454544)","(16.0, 42.0, 24.333333333333336)","(51.0, 550.0, 300.0)","(2.4, 3.0, 2.486666666666667)","(13.0, 32.0, 26.0)","(9.0, 17.5, 13.708333333333334)","(15.0, 46.0, 29.055555555555557)"
11-01-2023 20:30:34.822917,"(4.2, 6.8, 4.828571428571428)","(3.1, 4.8, 3.7545454545454544)","(16.0, 42.0, 24.333333333333336)","(51.0, 550.0, 300.0)","(2.4, 3.0, 2.486666666666667)","(13.0, 32.0, 26.0)","(9.0, 17.5, 13.708333333333334)","(15.0, 46.0, 29.055555555555557)"
11-01-2023 20:30:36.040442,"(4.2, 6.8, 4.828571428571428)","(3.1, 4.8, 3.7545454545454544)","(16.0, 42.0, 24.333333333333336)","(51.0, 550.0, 300.0)","(2.4, 3.0, 2.486666666666667)","(13.0, 32.0, 26.0)","(9.0, 17.5, 13.708333333333334)","(15.0, 46.0, 29.055555555555557)"
11-01-2023 20:30:37.163699,"(4.2, 6.8, 4.828571428571428)","(3.1, 4.8, 3.7545454545454544)","(16.0, 42.0, 24.333333333333336)","(51.0, 550.0, 300.0)","(2.4, 3.0, 2.486666666666667)","(13.0, 32.0, 26.0)","(9.0, 17.5, 13.708333333333334)","(15.0, 46.0, 29.055555555555557)"
11-01-2023 20:30:38.327244,"(4.2, 6.8, 4.828571428571428)","(3.1, 4.8, 3.7545454545454544)","(16.0, 42.0, 24.333333333333336)","(51.0, 550.0, 300.0)","(2.4, 3.0, 2.486666666666667)","(13.0, 32.0, 26.0)","(9.0, 17.5, 13.708333333333334)","(15.0, 46.0, 29.055555555555557)"
11-01-2023 20:30:39.608037,"(4.2, 6.8, 4.828571428571428)","(3.1, 4.8, 3.7545454545454544)","(16.0, 42.0, 24.333333333333336)","(51.0, 550.0, 300.0)","(2.4, 3.0, 2.486666666666667)","(13.0, 32.0, 26.0)","(9.0, 17.5, 13.708333333333334)","(15.0, 46.0, 29.055555555555557)"
11-01-2023 20:30:40.839562,"(4.2, 6.8, 4.828571428571428)","(3.1, 4.8, 3.7545454545454544)","(16.0, 42.0, 24.333333333333336)","(51.0, 550.0, 300.0)","(2.4, 3.0, 2.486666666666667)","(13.0, 32.0, 26.0)","(9.0, 17.5, 13.708333333333334)","(15.0, 46.0, 31.9)"
11-01-2023 20:30:42.109576,"(4.2, 6.8, 4.828571428571428)","(3.1, 4.8, 3.7545454545454544)","(16.0, 42.0, 24.333333333333336)","(51.0, 550.0, 300.0)","(2.4, 3.0, 2.486666666666667)","(13.0, 32.0, 26.0)","(9.0, 17.5, 13.708333333333334)","(15.0, 36.0, 31.9)"
11-01-2023 20:30:43.434234,"(4.2, 6.8, 4.828571428571428)","(3.1, 4.8, 3.7545454545454544)","(16.0, 42.0, 24.333333333333336)","(51.0, 550.0, 300.0)","(2.4, 3.0, 2.486666666666667)","(13.0, 32.0, 26.0)","(9.0, 17.5, 13.708333333333334)","(15.0, 36.0, 31.9)"
11-01-2023 20:30:44.587114,"(4.2, 6.8, 4.828571428571428)","(3.1, 4.8, 3.7545454545454544)","(16.0, 42.0, 24.333333333333336)","(51.0, 550.0, 300.0)","(2.4, 3.0, 2.486666666666667)","(13.0, 32.0, 26.0)","(9.0, 17.5, 13.708333333333334)","(15.0, 36.0, 31.9)"
11-01-2023 20:30:45.856946,"(4.2, 6.8, 4.828571428571428)","(3.1, 4.8, 3.7545454545454544)","(16.0, 42.0, 24.333333333333336)","(51.0, 550.0, 300.0)","(2.4, 3.0, 2.486666666666667)","(13.0, 32.0, 26.0)","(9.0, 17.5, 13.708333333333334)","(15.0, 36.0, 31.9)"
11-01-2023 20:30:47.068365,"(4.2, 6.8, 4.828571428571428)","(3.1, 4.8, 3.7545454545454544)","(16.0, 42.0, 24.333333333333336)","(51.0, 550.0, 300.0)","(2.4, 3.0, 2.486666666666667)","(13.0, 32.0, 26.0)","(9.0, 17.5, 13.708333333333334)","(15.0, 36.0, 34.5)"
11-01-2023 20:30:48.408324,"(4.2, 6.8, 4.828571428571428)","(3.1, 4.7, 3.7454545454545456)","(16.0, 42.0, 24.333333333333336)","(51.0, 550.0, 300.0)","(2.4, 3.0, 2.486666666666667)","(13.0, 32.0, 26.0)","(9.0, 17.5, 13.708333333333334)","(15.0, 44.0, 29.055555555555557)"
11-01-2023 20:30:49.705204,"(4.2, 6.8, 4.828571428571428)","(3.1, 4.7, 3.7454545454545456)","(16.0, 42.0, 24.333333333333336)","(51.0, 550.0, 300.0)","(2.4, 3.0, 2.486666666666667)","(13.0, 32.0, 26.0)","(9.0, 17.5, 13.708333333333334)","(15.0, 46.0, 29.055555555555557)"
11-01-2023 20:30:50.949625,"(4.2, 6.8, 4.828571428571428)","(3.1, 4.7, 3.7454545454545456)","(16.0, 42.0, 24.333333333333336)","(51.0, 550.0, 300.0)","(2.4, 3.0, 2.486666666666667)","(13.0, 32.0, 26.0)","(9.0, 17.5, 13.708333333333334)","(15.0, 46.0, 29.055555555555557)"
11-01-2023 20:30:52.222368,"(4.2, 6.8, 4.828571428571428)","(3.1, 4.7, 3.7454545454545456)","(16.0, 42.0, 24.333333333333336)","(51.0, 550.0, 300.0)","(2.4, 3.0, 2.486666666666667)","(13.0, 32.0, 26.0)","(9.0, 17.5, 13.708333333333334)","(15.0, 46.0, 29.055555555555557)"
11-01-2023 20:30:53.611771,"(4.2, 6.8, 4.828571428571428)","(3.1, 4.7, 3.7454545454545456)","(16.0, 42.0, 24.333333333333336)","(51.0, 550.0, 300.0)","(2.4, 3.0, 2.486666666666667)","(13.0, 32.0, 26.0)","(9.0, 17.5, 13.708333333333334)","(15.0, 46.0, 29.055555555555557)"
11-01-2023 20:30:54.787443,"(4.2, 6.8, 4.828571428571428)","(3.1, 4.7, 3.7454545454545456)","(16.0, 42.0, 24.333333333333336)","(51.0, 550.0, 300.0)","(2.4, 3.0, 2.486666666666667)","(13.0, 32.0, 26.0)","(9.0, 17.5, 13.708333333333334)","(15.0, 46.0, 29.055555555555557)"
11-01-2023 20:30:56.118425,"(4.2, 6.8, 4.828571428571428)","(3.1, 4.7, 3.7454545454545456)","(16.0, 42.0, 24.333333333333336)","(51.0, 550.0, 300.0)","(2.4, 3.0, 2.486666666666667)","(13.0, 32.0, 26.0)","(9.0, 17.5, 13.708333333333334)","(15.0, 46.0, 29.055555555555557)"
11-01-2023 20:30:57.508020,"(4.2, 6.8, 4.828571428571428)","(3.1, 4.7, 3.7454545454545456)","(16.0, 42.0, 24.333333333333336)","(51.0, 550.0, 300.0)","(2.4, 3.0, 2.486666666666667)","(13.0, 32.0, 26.0)","(9.0, 17.5, 13.708333333333334)","(15.0, 46.0, 29.055555555555557)"
11-01-2023 20:30:58.821229,"(4.2, 6.8, 4.828571428571428)","(3.1, 4.7, 3.7454545454545456)","(16.0, 42.0, 24.333333333333336)","(51.0, 550.0, 300.0)","(2.4, 3.0, 2.486666666666667)","(13.0, 32.0, 26.0)","(9.0, 17.5, 13.708333333333334)","(15.0, 46.0, 29.055555555555557)"
11-01-2023 20:31:00.290422,"(4.2, 6.8, 4.828571428571428)","(3.1, 4.7, 3.7454545454545456)","(16.0, 42.0, 24.333333333333336)","(51.0, 550.0, 300.0)","(2.4, 3.0, 2.486666666666667)","(13.0, 32.0, 26.0)","(9.0, 17.5, 13.708333333333334)","(15.0, 46.0, 29.055555555555557)"
11-01-2023 20:31:01.688659,"(4.2, 6.8, 4.828571428571428)","(3.1, 4.7, 3.808333333333333)","(16.0, 42.0, 24.333333333333336)","(51.0, 550.0, 300.0)","(2.4, 3.0, 2.486666666666667)","(13.0, 32.0, 26.0)","(9.0, 17.5, 15.088888888888889)","(15.0, 46.0, 29.055555555555557)"
11-01-2023 20:31:03.193286,"(4.2, 6.8, 4.828571428571428)","(3.1, 4.6, 3.7454545454545456)","(16.0, 42.0, 24.333333333333336)","(51.0, 550.0, 300.0)","(2.4, 3.0, 2.486666666666667)","(13.0, 32.0, 29.5)","(9.0, 17.0, 14.7)","(15.0, 46.0, 29.055555555555557)"
11-01-2023 20:31:04.479186,"(4.2, 6.8, 4.828571428571428)","(3.1, 4.7, 3.7454545454545456)","(16.0, 42.0, 24.333333333333336)","(51.0, 550.0, 300.0)","(2.4, 3.0, 2.486666666666667)","(13.0, 32.0, 29.5)","(9.0, 16.5, 14.7)","(15.0, 46.0, 29.055555555555557)"
11-01-2023 20:31:05.820536,"(4.2, 6.8, 4.828571428571428)","(3.1, 4.7, 3.7454545454545456)","(16.0, 42.0, 24.333333333333336)","(51.0, 550.0, 300.0)","(2.4, 3.0, 2.486666666666667)","(13.0, 32.0, 29.5)","(9.0, 16.5, 14.7)","(15.0, 46.0, 29.055555555555557)"
11-01-2023 20:31:07.096024,"(4.2, 6.8, 4.828571428571428)","(3.1, 4.7, 3.7454545454545456)","(16.0, 42.0, 24.333333333333336)","(51.0, 550.0, 300.0)","(2.4, 3.0, 2.486666666666667)","(13.0, 32.0, 29.5)","(9.0, 16.5, 14.7)","(15.0, 46.0, 29.055555555555557)"
11-01-2023 20:31:08.237330,"(4.2, 6.8, 4.828571428571428)","(3.1, 4.7, 3.7454545454545456)","(16.0, 42.0, 24.333333333333336)","(51.0, 550.0, 300.0)","(2.4, 3.0, 2.486666666666667)","(13.0, 32.0, 29.5)","(9.0, 16.5, 14.7)","(15.0, 46.0, 29.055555555555557)"
11-01-2023 20:31:09.505939,"(4.2, 6.8, 4.828571428571428)","(3.1, 4.7, 3.7454545454545456)","(16.0, 42.0, 24.333333333333336)","(51.0, 550.0, 300.0)","(2.4, 3.0, 2.486666666666667)","(13.0, 32.0, 29.5)","(9.0, 16.5, 14.7)","(15.0, 46.0, 29.055555555555557)"
11-01-2023 20:31:10.653326,"(4.2, 6.8, 4.828571428571428)","(3.1, 4.7, 3.7454545454545456)","(16.0, 42.0, 24.333333333333336)","(51.0, 550.0, 300.0)","(2.4, 3.0, 2.486666666666667)","(13.0, 32.0, 29.5)","(9.0, 16.5, 14.7)","(15.0, 46.0, 29.055555555555557)"
11-01-2023 20:31:11.767474,"(4.2, 6.8, 4.828571428571428)","(3.1, 4.7, 3.7454545454545456)","(16.0, 42.0, 24.333333333333336)","(51.0, 550.0, 300.0)","(2.4, 3.0, 2.486666666666667)","(13.0, 32.0, 29.5)","(9.0, 16.5, 14.7)","(15.0, 46.0, 29.055555555555557)"
11-01-2023 20:31:12.914413,"(4.2, 6.8, 4.828571428571428)","(3.1, 4.7, 3.7454545454545456)","(16.0, 42.0, 24.333333333333336)","(51.0, 550.0, 300.0)","(2.4, 3.0, 2.486666666666667)","(13.0, 32.0, 29.5)","(9.0, 16.5, 14.7)","(15.0, 46.0, 29.055555555555557)"
11-01-2023 20:31:14.171056,"(4.2, 6.8, 4.828571428571428)","(3.1, 4.7, 3.7454545454545456)","(16.0, 42.0, 24.333333333333336)","(51.0, 550.0, 300.0)","(2.4, 3.0, 2.486666666666667)","(13.0, 32.0, 29.5)","(9.0, 16.5, 14.7)","(15.0, 46.0, 29.055555555555557)"
11-01-2023 20:31:15.482686,"(4.2, 6.8, 4.828571428571428)","(3.1, 4.7, 3.7454545454545456)","(16.0, 42.0, 24.333333333333336)","(51.0, 550.0, 300.0)","(2.4, 3.0, 2.486666666666667)","(13.0, 32.0, 29.5)","(9.0, 16.5, 14.7)","(15.0, 46.0, 29.055555555555557)"
11-01-2023 20:31:16.779854,"(4.2, 6.8, 4.828571428571428)","(3.1, 4.7, 3.7454545454545456)","(16.0, 42.0, 24.333333333333336)","(51.0, 550.0, 300.0)","(2.4, 3.0, 2.486666666666667)","(13.0, 32.0, 29.5)","(9.0, 16.5, 14.7)","(15.0, 46.0, 29.055555555555557)"
11-01-2023 20:31:18.081404,"(4.2, 6.8, 4.828571428571428)","(3.1, 4.7, 3.81875)","(16.0, 42.0, 24.333333333333336)","(51.0, 550.0, 300.0)","(2.4, 3.0, 2.486666666666667)","(13.0, 32.0, 29.5)","(9.0, 16.5, 14.7)","(15.0, 46.0, 29.055555555555557)"
11-01-2023 20:31:19.321413,"(4.2, 6.8, 4.828571428571428)","(3.1, 5.0, 3.81875)","(16.0, 42.0, 24.333333333333336)","(51.0, 550.0, 300.0)","(2.4, 3.0, 2.486666666666667)","(13.0, 32.0, 29.5)","(9.0, 16.5, 14.7)","(15.0, 46.0, 29.055555555555557)"
11-01-2023 20:31:20.609386,"(4.2, 6.8, 4.828571428571428)","(3.1, 5.0, 3.81875)","(16.0, 42.0, 24.333333333333336)","(51.0, 550.0, 300.0)","(2.4, 3.0, 2.486666666666667)","(13.0, 32.0, 29.5)","(9.0, 16.5, 14.7)","(15.0, 46.0, 29.055555555555557)"
11-01-2023 20:31:21.970331,"(4.2, 6.8, 5.42)","(3.1, 5.0, 4.7046875)","(16.0, 42.0, 24.333333333333336)","(51.0, 550.0, 300.0)","(2.4, 3.0, 2.486666666666667)","(13.0, 32.0, 29.5)","(9.0, 16.5, 13.866666666666667)","(15.0, 46.0, 29.055555555555557)"
11-01-2023 20:31:23.271312,"(4.2, 6.8, 5.42)","(3.1, 5.0, 4.566666666666666)","(16.0, 42.0, 24.333333333333336)","(51.0, 550.0, 300.0)","(2.4, 3.0, 2.486666666666667)","(13.0, 32.0, 29.5)","(9.0, 16.5, 13.866666666666667)","(15.0, 46.0, 29.055555555555557)"
11-01-2023 20:31:24.631956,"(4.2, 6.8, 5.42)","(3.1, 5.0, 4.566666666666666)","(16.0, 42.0, 24.333333333333336)","(51.0, 550.0, 300.0)","(2.4, 3.0, 2.486666666666667)","(13.0, 32.0, 29.5)","(9.0, 16.5, 13.866666666666667)","(15.0, 46.0, 29.055555555555557)"
11-01-2023 20:31:25.876123,"(4.2, 6.8, 5.42)","(3.1, 5.0, 4.566666666666666)","(16.0, 42.0, 24.333333333333336)","(51.0, 550.0, 300.0)","(2.4, 3.0, 2.486666666666667)","(13.0, 32.0, 29.5)","(9.0, 16.5, 12.542857142857143)","(15.0, 46.0, 29.055555555555557)"
