,Resolve Now,Poker Play,God Help Us,Aquimine,Rare Stripe,Cuatro Madres
15-12-2022 10:49:11.468577,"(19.0, 46.0, 27.0)","(8.5, 12.5, 11.885714285714286)","(11.0, 25.0, 22.5)","(2.35, 2.38, 2.3266666666666667)","(4.2, 5.9, 5.5)","(3.8, 5.3, 5.208333333333333)"
15-12-2022 10:49:12.463836,"(19.0, 46.0, 27.0)","(8.5, 12.5, 11.816666666666666)","(11.0, 25.0, 22.5)","(2.35, 2.38, 2.3266666666666667)","(4.2, 5.9, 5.5)","(3.8, 5.3, 5.208333333333333)"
15-12-2022 10:49:13.389089,"(19.0, 46.0, 27.0)","(8.5, 12.5, 11.816666666666666)","(11.0, 25.0, 22.5)","(2.35, 2.38, 2.3266666666666667)","(4.2, 5.9, 5.5)","(3.8, 5.3, 5.208333333333333)"
15-12-2022 10:49:14.286924,"(19.0, 46.0, 27.0)","(8.5, 12.5, 11.816666666666666)","(11.0, 25.0, 22.5)","(2.35, 2.38, 2.3266666666666667)","(4.2, 5.9, 5.778787878787879)","(3.8, 5.3, 4.95625)"
15-12-2022 10:49:15.248178,"(19.0, 46.0, 27.0)","(8.5, 12.5, 11.816666666666666)","(11.0, 25.0, 22.5)","(2.35, 2.38, 2.3266666666666667)","(4.2, 5.9, 5.778787878787879)","(3.8, 5.3, 4.8)"
15-12-2022 10:49:16.169273,"(19.0, 46.0, 27.0)","(8.5, 12.5, 10.9625)","(11.0, 25.0, 23.166666666666668)","(2.35, 2.38, 2.3266666666666667)","(4.2, 5.9, 5.385714285714286)","(3.8, 5.3, 4.8)"
15-12-2022 10:49:17.061980,"(19.0, 46.0, 27.0)","(8.5, 12.5, 10.9625)","(11.0, 25.0, 23.166666666666668)","(2.35, 2.38, 2.3266666666666667)","(4.2, 5.9, 5.385714285714286)","(3.8, 5.3, 4.8)"
15-12-2022 10:49:17.992940,"(19.0, 46.0, 27.0)","(8.5, 12.5, 10.9625)","(11.0, 25.0, 23.166666666666668)","(2.35, 2.38, 2.3266666666666667)","(4.2, 5.9, 5.385714285714286)","(3.8, 5.3, 5.006666666666667)"
15-12-2022 10:49:18.934247,"(19.0, 46.0, 27.0)","(8.5, 12.5, 10.9625)","(11.0, 25.0, 23.166666666666668)","(2.35, 2.38, 2.3266666666666667)","(4.2, 5.9, 5.572727272727273)","(3.8, 5.3, 5.006666666666667)"
15-12-2022 10:49:19.872874,"(19.0, 46.0, 27.0)","(8.5, 12.5, 10.9625)","(11.0, 25.0, 23.166666666666668)","(2.35, 2.38, 2.3266666666666667)","(4.2, 5.9, 5.572727272727273)","(3.8, 5.3, 5.006666666666667)"
15-12-2022 10:49:20.822747,"(19.0, 46.0, 27.0)","(8.5, 12.5, 10.9625)","(11.0, 25.0, 23.166666666666668)","(2.35, 2.38, 2.3266666666666667)","(4.2, 5.9, 5.572727272727273)","(3.8, 5.3, 5.006666666666667)"
15-12-2022 10:49:21.823729,"(19.0, 46.0, 27.0)","(8.5, 12.5, 10.9625)","(11.0, 25.0, 23.166666666666668)","(2.35, 2.38, 2.3266666666666667)","(4.2, 5.9, 5.572727272727273)","(3.8, 5.3, 5.2)"
15-12-2022 10:49:22.762318,"(19.0, 46.0, 27.0)","(8.5, 12.5, 11.1125)","(11.0, 25.0, 23.166666666666668)","(2.35, 2.38, 2.3266666666666667)","(4.2, 5.9, 5.797142857142857)","(3.8, 5.3, 5.2)"
15-12-2022 10:49:23.671969,"(19.0, 46.0, 27.0)","(8.5, 12.5, 10.75)","(11.0, 25.0, 23.166666666666668)","(2.35, 2.38, 2.3266666666666667)","(4.2, 5.9, 5.797142857142857)","(3.8, 5.3, 5.042857142857143)"
15-12-2022 10:49:24.691527,"(19.0, 46.0, 27.0)","(8.5, 12.5, 11.1875)","(11.0, 25.0, 23.166666666666668)","(2.35, 2.38, 2.3266666666666667)","(4.2, 5.9, 5.797142857142857)","(3.8, 5.3, 5.042857142857143)"
15-12-2022 10:49:25.664099,"(19.0, 46.0, 27.0)","(8.5, 12.5, 11.1875)","(11.0, 25.0, 23.166666666666668)","(2.35, 2.38, 2.3266666666666667)","(4.2, 5.9, 5.797142857142857)","(3.8, 5.3, 5.042857142857143)"
15-12-2022 10:49:26.602886,"(19.0, 46.0, 27.0)","(8.5, 12.5, 11.1875)","(11.0, 25.0, 23.166666666666668)","(2.35, 2.38, 2.3266666666666667)","(4.2, 5.9, 5.797142857142857)","(3.8, 5.3, 5.042857142857143)"
15-12-2022 10:49:27.446342,"(19.0, 46.0, 27.0)","(8.5, 12.5, 11.1875)","(11.0, 25.0, 23.166666666666668)","(2.35, 2.38, 2.3266666666666667)","(4.2, 5.9, 5.797142857142857)","(3.8, 5.3, 5.042857142857143)"
15-12-2022 10:49:28.375278,"(19.0, 46.0, 27.0)","(8.5, 12.5, 11.1875)","(11.0, 25.0, 23.166666666666668)","(2.35, 2.38, 2.3266666666666667)","(4.2, 5.9, 5.797142857142857)","(3.8, 5.3, 5.042857142857143)"
15-12-2022 10:49:29.371468,"(19.0, 46.0, 27.0)","(8.5, 12.5, 11.1875)","(11.0, 25.0, 23.166666666666668)","(2.35, 2.38, 2.3266666666666667)","(4.2, 5.9, 5.797142857142857)","(3.8, 5.3, 5.042857142857143)"
15-12-2022 10:49:30.344220,"(19.0, 46.0, 27.0)","(8.5, 12.5, 11.1875)","(11.0, 25.0, 23.166666666666668)","(2.35, 2.38, 2.3266666666666667)","(4.2, 5.9, 5.797142857142857)","(3.8, 5.3, 4.9)"
15-12-2022 10:49:31.362918,"(19.0, 46.0, 27.0)","(8.5, 12.5, 11.1875)","(11.0, 25.0, 23.166666666666668)","(2.35, 2.38, 2.3266666666666667)","(4.2, 5.9, 5.797142857142857)","(3.8, 5.3, 4.9)"
15-12-2022 10:49:32.375248,"(19.0, 46.0, 27.0)","(8.5, 12.5, 11.1875)","(11.0, 25.0, 23.166666666666668)","(2.35, 2.38, 2.3266666666666667)","(4.2, 5.9, 5.797142857142857)","(3.8, 5.3, 5.014285714285714)"
15-12-2022 10:49:33.261042,"(19.0, 46.0, 27.0)","(8.5, 12.5, 11.1875)","(11.0, 25.0, 23.166666666666668)","(2.35, 2.38, 2.3266666666666667)","(4.2, 5.9, 5.797142857142857)","(3.8, 5.3, 5.014285714285714)"
15-12-2022 10:49:34.228924,"(19.0, 46.0, 27.0)","(8.5, 12.5, 11.88125)","(11.0, 25.0, 23.166666666666668)","(2.35, 2.38, 2.3266666666666667)","(4.2, 5.9, 5.544444444444444)","(3.8, 5.3, 4.728571428571429)"
15-12-2022 10:49:35.144095,"(19.0, 46.0, 27.0)","(8.5, 12.5, 11.88125)","(11.0, 26.0, 23.4)","(2.35, 2.38, 2.3266666666666667)","(4.2, 5.9, 5.45)","(3.8, 5.3, 4.785714285714286)"
15-12-2022 10:49:36.130397,"(19.0, 46.0, 27.0)","(8.5, 12.5, 11.88125)","(11.0, 25.0, 23.625)","(2.35, 2.38, 2.3266666666666667)","(4.2, 5.9, 5.171428571428572)","(3.8, 5.3, 4.785714285714286)"
15-12-2022 10:49:37.101420,"(19.0, 46.0, 27.0)","(8.5, 12.5, 11.88125)","(11.0, 25.0, 23.625)","(2.35, 2.38, 2.3266666666666667)","(4.2, 6.2, 5.003703703703704)","(3.8, 5.3, 4.785714285714286)"
15-12-2022 10:49:38.039491,"(19.0, 46.0, 27.0)","(8.5, 12.5, 11.88125)","(11.0, 25.0, 23.625)","(2.35, 2.38, 2.3266666666666667)","(4.2, 6.2, 4.67)","(3.8, 5.3, 4.785714285714286)"
15-12-2022 10:49:38.920248,"(19.0, 46.0, 27.0)","(8.5, 12.5, 12.264285714285714)","(11.0, 25.0, 23.625)","(2.35, 2.38, 2.3266666666666667)","(4.2, 6.2, 5.103225806451613)","(3.8, 5.3, 4.785714285714286)"
15-12-2022 10:49:39.875998,"(19.0, 46.0, 27.0)","(8.5, 12.5, 12.264285714285714)","(11.0, 25.0, 23.625)","(2.35, 2.38, 2.3266666666666667)","(4.2, 6.2, 5.6)","(3.8, 5.3, 4.672727272727273)"
15-12-2022 10:49:40.898261,"(19.0, 46.0, 27.0)","(8.5, 12.5, 12.264285714285714)","(11.0, 25.0, 23.625)","(2.35, 2.38, 2.3266666666666667)","(4.2, 6.0, 5.58)","(3.8, 5.4, 4.672727272727273)"
15-12-2022 10:49:41.853889,"(19.0, 46.0, 27.0)","(8.5, 12.5, 12.264285714285714)","(11.0, 25.0, 23.625)","(2.35, 2.38, 2.3266666666666667)","(4.2, 5.9, 5.58)","(3.8, 5.4, 4.672727272727273)"
15-12-2022 10:49:42.768948,"(19.0, 46.0, 27.0)","(8.5, 12.5, 12.264285714285714)","(11.0, 25.0, 23.625)","(2.35, 2.38, 2.3266666666666667)","(4.2, 5.9, 5.763636363636364)","(3.8, 5.4, 4.672727272727273)"
15-12-2022 10:49:43.638753,"(19.0, 46.0, 27.0)","(8.5, 12.5, 12.264285714285714)","(11.0, 25.0, 23.625)","(2.35, 2.38, 2.3266666666666667)","(4.2, 5.9, 5.763636363636364)","(3.8, 5.4, 4.672727272727273)"
15-12-2022 10:49:44.620415,"(19.0, 46.0, 27.0)","(8.5, 12.5, 12.264285714285714)","(11.0, 25.0, 23.625)","(2.35, 2.38, 2.3266666666666667)","(4.2, 5.9, 5.763636363636364)","(3.8, 5.4, 4.785714285714286)"
15-12-2022 10:49:45.600170,"(19.0, 46.0, 27.0)","(8.5, 12.5, 12.264285714285714)","(11.0, 25.0, 23.625)","(2.35, 2.38, 2.3266666666666667)","(4.2, 5.9, 5.763636363636364)","(3.8, 5.3, 4.785714285714286)"
15-12-2022 10:49:46.641414,"(19.0, 46.0, 27.0)","(8.5, 12.5, 12.264285714285714)","(11.0, 25.0, 23.625)","(2.35, 2.38, 2.3266666666666667)","(4.2, 5.9, 5.8500000000000005)","(3.8, 5.3, 5.194117647058824)"
15-12-2022 10:49:47.644433,"(19.0, 46.0, 32.25)","(8.5, 12.5, 11.375)","(11.0, 25.0, 23.625)","(2.35, 2.38, 2.3266666666666667)","(4.2, 5.9, 5.78)","(3.7, 5.3, 5.183870967741935)"
15-12-2022 10:49:48.565390,"(19.0, 46.0, 32.25)","(8.5, 12.5, 11.885714285714286)","(11.0, 25.0, 23.625)","(2.35, 2.38, 2.3266666666666667)","(4.2, 6.0, 5.6)","(3.7, 5.3, 5.009090909090909)"
15-12-2022 10:49:49.496926,"(19.0, 46.0, 32.25)","(8.5, 12.5, 11.885714285714286)","(11.0, 25.0, 23.625)","(2.35, 2.38, 2.3266666666666667)","(4.2, 6.0, 5.6)","(3.7, 5.3, 5.1)"
15-12-2022 10:49:50.438363,"(19.0, 46.0, 32.25)","(8.5, 12.5, 11.885714285714286)","(11.0, 25.0, 23.625)","(2.35, 2.38, 2.3266666666666667)","(4.2, 6.0, 5.6)","(3.7, 5.3, 5.1)"
15-12-2022 10:49:51.372372,"(19.0, 46.0, 32.25)","(8.5, 12.5, 11.885714285714286)","(11.0, 25.0, 23.625)","(2.35, 2.38, 2.3266666666666667)","(4.2, 6.0, 5.6)","(3.7, 5.3, 5.1)"
15-12-2022 10:49:52.421093,"(19.0, 46.0, 32.25)","(8.5, 12.5, 11.885714285714286)","(11.0, 25.0, 23.625)","(2.35, 2.38, 2.3266666666666667)","(4.2, 6.0, 5.6)","(3.7, 5.3, 5.1)"
15-12-2022 10:49:53.460525,"(19.0, 46.0, 32.25)","(8.5, 12.5, 11.816666666666666)","(11.0, 25.0, 23.625)","(2.35, 2.38, 2.3266666666666667)","(4.2, 6.0, 5.6)","(3.7, 5.3, 5.1)"
15-12-2022 10:49:54.444806,"(19.0, 46.0, 32.25)","(8.5, 12.5, 11.816666666666666)","(11.0, 25.0, 23.625)","(2.35, 2.38, 2.3266666666666667)","(4.2, 6.0, 5.6)","(3.7, 5.3, 5.1)"
15-12-2022 10:49:55.365007,"(19.0, 46.0, 32.25)","(8.5, 12.5, 11.816666666666666)","(11.0, 25.0, 23.625)","(2.35, 2.38, 2.3266666666666667)","(4.2, 6.0, 5.43125)","(3.7, 5.3, 5.1)"
15-12-2022 10:49:56.274798,"(19.0, 46.0, 32.25)","(8.5, 12.5, 11.816666666666666)","(11.0, 25.0, 23.625)","(2.35, 2.38, 2.3266666666666667)","(4.2, 6.0, 5.43125)","(3.7, 5.4, 5.04)"
15-12-2022 10:49:57.135902,"(19.0, 46.0, 32.25)","(8.5, 12.5, 11.816666666666666)","(11.0, 25.0, 23.625)","(2.35, 2.38, 2.3266666666666667)","(4.2, 6.0, 5.236363636363636)","(3.7, 5.4, 5.04)"
15-12-2022 10:49:58.151184,"(19.0, 46.0, 32.25)","(8.5, 12.5, 10.9625)","(11.0, 25.0, 23.625)","(2.35, 2.38, 2.3266666666666667)","(4.2, 6.0, 5.4)","(3.7, 5.4, 5.04)"
15-12-2022 10:49:59.142867,"(19.0, 46.0, 32.25)","(8.5, 12.5, 10.9625)","(11.0, 25.0, 23.625)","(2.35, 2.38, 2.3266666666666667)","(4.2, 6.0, 5.4)","(3.7, 5.4, 5.206666666666666)"
15-12-2022 10:50:00.031313,"(19.0, 46.0, 41.0)","(8.5, 12.5, 11.811764705882354)","(11.0, 25.0, 23.625)","(2.35, 2.38, 2.3266666666666667)","(4.2, 6.0, 5.4)","(3.7, 5.3, 5.206666666666666)"
15-12-2022 10:50:00.964554,"(19.0, 46.0, 41.0)","(8.5, 12.5, 11.490909090909092)","(11.0, 25.0, 23.625)","(2.35, 2.38, 2.3266666666666667)","(4.2, 6.0, 5.661538461538462)","(3.7, 5.3, 4.957142857142857)"
15-12-2022 10:50:01.881285,"(19.0, 46.0, 41.0)","(8.5, 12.5, 11.490909090909092)","(11.0, 25.0, 23.625)","(2.35, 2.38, 2.3266666666666667)","(4.2, 6.0, 5.661538461538462)","(3.7, 5.3, 4.957142857142857)"
15-12-2022 10:50:02.872686,"(19.0, 46.0, 41.0)","(8.5, 12.5, 11.490909090909092)","(11.0, 25.0, 23.625)","(2.35, 2.38, 2.3266666666666667)","(4.2, 6.0, 5.661538461538462)","(3.7, 5.3, 4.957142857142857)"
15-12-2022 10:50:03.905539,"(19.0, 46.0, 41.0)","(8.5, 12.5, 11.490909090909092)","(11.0, 25.0, 23.625)","(2.35, 2.38, 2.3266666666666667)","(4.2, 6.0, 5.661538461538462)","(3.7, 5.3, 4.957142857142857)"
15-12-2022 10:50:04.750316,"(19.0, 46.0, 41.0)","(8.5, 12.5, 11.490909090909092)","(11.0, 25.0, 23.625)","(2.35, 2.38, 2.3266666666666667)","(4.2, 6.0, 5.661538461538462)","(3.7, 5.3, 4.957142857142857)"
15-12-2022 10:50:05.702775,"(19.0, 46.0, 41.0)","(8.5, 12.5, 11.490909090909092)","(11.0, 25.0, 23.625)","(2.35, 2.38, 2.3266666666666667)","(4.2, 6.0, 5.661538461538462)","(3.7, 5.3, 4.957142857142857)"
15-12-2022 10:50:06.748906,"(19.0, 46.0, 41.0)","(8.5, 12.5, 11.490909090909092)","(11.0, 25.0, 23.625)","(2.35, 2.38, 2.3266666666666667)","(4.2, 6.0, 5.661538461538462)","(3.7, 5.3, 4.957142857142857)"
15-12-2022 10:50:07.793077,"(19.0, 46.0, 41.0)","(8.5, 12.5, 11.490909090909092)","(11.0, 25.0, 23.625)","(2.35, 2.38, 2.3266666666666667)","(4.2, 6.0, 5.661538461538462)","(3.7, 5.3, 5.081818181818182)"
15-12-2022 10:50:08.835542,"(19.0, 46.0, 41.0)","(8.5, 12.5, 11.490909090909092)","(11.0, 25.0, 23.625)","(2.35, 2.38, 2.3266666666666667)","(4.2, 6.0, 5.661538461538462)","(3.7, 5.3, 5.081818181818182)"
15-12-2022 10:50:09.769050,"(19.0, 46.0, 41.0)","(8.5, 12.5, 11.490909090909092)","(11.0, 25.0, 23.625)","(2.35, 2.38, 2.3266666666666667)","(4.2, 6.0, 5.661538461538462)","(3.7, 5.3, 5.081818181818182)"
15-12-2022 10:50:10.609925,"(19.0, 46.0, 41.0)","(8.5, 12.5, 11.490909090909092)","(11.0, 25.0, 23.625)","(2.35, 2.38, 2.3145454545454545)","(4.2, 6.2, 5.6312500000000005)","(3.7, 5.4, 5.026666666666667)"
15-12-2022 10:50:11.536357,"(19.0, 46.0, 41.0)","(8.5, 12.5, 11.490909090909092)","(11.0, 25.0, 23.625)","(2.35, 2.38, 2.3145454545454545)","(4.2, 6.2, 5.4363636363636365)","(3.7, 5.4, 5.026666666666667)"
15-12-2022 10:50:12.521774,"(19.0, 46.0, 41.0)","(8.5, 12.5, 11.490909090909092)","(11.0, 25.0, 23.625)","(2.35, 2.38, 2.3145454545454545)","(4.2, 6.2, 5.4363636363636365)","(3.7, 5.4, 4.91304347826087)"
15-12-2022 10:50:13.434975,"(19.0, 46.0, 32.25)","(8.5, 12.5, 11.1125)","(11.0, 25.0, 20.666666666666668)","(2.35, 2.38, 2.3145454545454545)","(4.2, 6.2, 5.4363636363636365)","(3.7, 5.4, 4.91304347826087)"
15-12-2022 10:50:14.288441,"(19.0, 46.0, 32.25)","(8.5, 12.5, 10.485714285714286)","(11.0, 25.0, 20.666666666666668)","(2.35, 2.38, 2.3145454545454545)","(4.2, 6.2, 5.4363636363636365)","(3.7, 5.4, 4.91304347826087)"
15-12-2022 10:50:15.235598,"(19.0, 46.0, 32.25)","(8.5, 12.5, 10.8125)","(11.0, 25.0, 20.666666666666668)","(2.35, 2.36, 2.32)","(4.2, 6.0, 5.5)","(3.7, 5.4, 4.84)"
15-12-2022 10:50:16.230753,"(19.0, 46.0, 32.25)","(8.5, 12.5, 11.066666666666666)","(11.0, 25.0, 20.666666666666668)","(2.35, 2.36, 2.32)","(4.2, 6.0, 5.5)","(3.7, 5.4, 4.84)"
15-12-2022 10:50:17.210803,"(19.0, 46.0, 32.25)","(8.5, 12.5, 10.45)","(11.0, 25.0, 20.666666666666668)","(2.35, 2.36, 2.32)","(4.2, 6.0, 5.5)","(3.7, 5.4, 5.0)"
15-12-2022 10:50:18.051096,"(19.0, 46.0, 32.25)","(8.5, 12.5, 10.485714285714286)","(11.0, 25.0, 20.666666666666668)","(2.35, 2.36, 2.32)","(4.2, 6.0, 5.5)","(3.7, 5.3, 5.0)"
15-12-2022 10:50:18.978877,"(19.0, 46.0, 32.25)","(8.5, 12.5, 11.0375)","(11.0, 25.0, 20.666666666666668)","(2.35, 2.36, 2.32)","(4.2, 6.0, 5.5)","(3.7, 5.3, 5.0)"
15-12-2022 10:50:20.000589,"(19.0, 46.0, 32.25)","(8.5, 12.5, 11.0375)","(11.0, 25.0, 20.666666666666668)","(2.35, 2.36, 2.32)","(4.2, 6.0, 5.5)","(3.7, 5.3, 5.0)"
15-12-2022 10:50:21.043165,"(19.0, 46.0, 32.25)","(8.5, 12.5, 10.485714285714286)","(11.0, 25.0, 20.666666666666668)","(2.35, 2.36, 2.32)","(4.2, 6.0, 5.5)","(3.7, 5.3, 4.95)"
15-12-2022 10:50:22.020287,"(19.0, 46.0, 32.25)","(8.5, 12.5, 10.485714285714286)","(11.0, 25.0, 20.666666666666668)","(2.35, 2.36, 2.32)","(4.2, 6.0, 5.5)","(3.7, 5.2, 5.092307692307692)"
15-12-2022 10:50:22.860941,"(19.0, 46.0, 32.25)","(8.5, 12.5, 10.485714285714286)","(11.0, 25.0, 20.666666666666668)","(2.35, 2.36, 2.32)","(4.2, 6.0, 5.5)","(3.7, 5.2, 5.092307692307692)"
15-12-2022 10:50:23.749394,"(19.0, 46.0, 32.25)","(8.5, 12.5, 10.485714285714286)","(11.0, 25.0, 20.666666666666668)","(2.35, 2.36, 2.32)","(4.2, 6.0, 5.5)","(3.7, 5.2, 4.75)"
15-12-2022 10:50:24.746044,"(19.0, 46.0, 39.25)","(8.5, 12.5, 11.75)","(11.0, 25.0, 22.6)","(2.35, 2.36, 2.32)","(4.2, 6.0, 5.871428571428571)","(3.7, 5.2, 4.783333333333333)"
15-12-2022 10:50:25.781558,"(19.0, 46.0, 39.25)","(8.5, 12.5, 11.066666666666666)","(11.0, 25.0, 22.8)","(2.35, 2.36, 2.32)","(4.2, 6.0, 5.871428571428571)","(3.7, 5.2, 4.783333333333333)"
15-12-2022 10:50:26.820842,"(19.0, 46.0, 39.25)","(8.5, 12.5, 11.425)","(11.0, 25.0, 22.8)","(2.35, 2.36, 2.32)","(4.2, 6.0, 5.82)","(3.7, 5.2, 4.783333333333333)"
15-12-2022 10:50:27.719241,"(19.0, 46.0, 39.25)","(8.5, 12.5, 11.425)","(11.0, 25.0, 22.8)","(2.35, 2.36, 2.32)","(4.2, 6.0, 5.82)","(3.7, 5.2, 5.095833333333333)"
15-12-2022 10:50:28.597691,"(19.0, 46.0, 39.25)","(8.5, 12.5, 11.425)","(11.0, 25.0, 22.8)","(2.35, 2.4, 2.3035714285714284)","(4.2, 6.2, 5.8652173913043475)","(3.7, 5.2, 5.1000000000000005)"
15-12-2022 10:50:29.511161,"(19.0, 46.0, 39.25)","(8.5, 12.5, 11.425)","(11.0, 25.0, 22.8)","(2.35, 2.4, 2.3035714285714284)","(4.2, 6.2, 5.5636363636363635)","(3.7, 5.2, 5.1000000000000005)"
15-12-2022 10:50:30.502056,"(19.0, 46.0, 39.25)","(8.5, 12.5, 10.9625)","(11.0, 25.0, 22.8)","(2.35, 2.4, 2.3035714285714284)","(4.2, 6.2, 5.5636363636363635)","(3.7, 5.2, 5.1000000000000005)"
15-12-2022 10:50:31.465630,"(19.0, 46.0, 39.25)","(8.5, 12.5, 11.0375)","(11.0, 25.0, 22.8)","(2.35, 2.4, 2.3035714285714284)","(4.2, 6.2, 5.5636363636363635)","(3.7, 5.2, 5.1000000000000005)"
15-12-2022 10:50:32.389476,"(19.0, 46.0, 39.25)","(8.5, 12.5, 11.0375)","(11.0, 25.0, 22.8)","(2.35, 2.4, 2.3035714285714284)","(4.2, 6.2, 5.5636363636363635)","(3.7, 5.2, 5.1000000000000005)"
15-12-2022 10:50:33.308903,"(19.0, 46.0, 39.25)","(8.5, 11.5, 11.016666666666666)","(11.0, 25.0, 22.8)","(2.35, 2.38, 2.3266666666666667)","(4.2, 6.0, 5.6)","(3.7, 5.2, 5.1000000000000005)"
15-12-2022 10:50:34.216211,"(19.0, 46.0, 39.25)","(8.5, 11.5, 11.016666666666666)","(11.0, 25.0, 22.8)","(2.35, 2.38, 2.3266666666666667)","(4.2, 6.0, 5.6)","(3.7, 5.2, 5.1000000000000005)"
