,Moraine Marco,Crackerjack Bull,Menari Tom,Winston Town,Your Colour Room,Aston Wyatt,Moraine Baloo
10-01-2023 15:01:45.704037,"(14.0, 42.0, 24.666666666666664)","(2.6, 4.6, 3.289090909090909)","(41.0, 350.0, 195.0)","(4.2, 6.8, 4.7)","(1.9, 2.7, 2.018181818181818)","(21.0, 75.0, 44.16666666666667)","(81.0, 570.0, 485.0)"
10-01-2023 15:01:46.932588,"(14.0, 42.0, 24.666666666666664)","(2.6, 4.6, 3.289090909090909)","(41.0, 350.0, 195.0)","(4.2, 6.8, 4.7)","(1.9, 2.7, 2.018181818181818)","(21.0, 75.0, 44.16666666666667)","(81.0, 570.0, 485.0)"
10-01-2023 15:01:48.130604,"(14.0, 42.0, 24.666666666666664)","(2.6, 4.6, 3.289090909090909)","(41.0, 350.0, 195.0)","(4.2, 6.8, 4.7)","(1.9, 2.7, 2.018181818181818)","(21.0, 75.0, 44.16666666666667)","(81.0, 570.0, 485.0)"
10-01-2023 15:01:49.326184,"(14.0, 42.0, 24.666666666666664)","(2.6, 4.6, 3.289090909090909)","(41.0, 350.0, 195.0)","(4.2, 6.8, 4.7)","(1.9, 2.7, 2.018181818181818)","(21.0, 75.0, 44.16666666666667)","(81.0, 570.0, 485.0)"
10-01-2023 15:01:50.479275,"(14.0, 42.0, 24.666666666666664)","(2.6, 4.6, 3.289090909090909)","(41.0, 350.0, 195.0)","(4.2, 6.8, 4.7)","(1.9, 2.7, 2.018181818181818)","(21.0, 75.0, 44.16666666666667)","(81.0, 570.0, 485.0)"
10-01-2023 15:01:51.635391,"(14.0, 42.0, 24.666666666666664)","(2.6, 4.6, 3.289090909090909)","(41.0, 350.0, 195.0)","(4.2, 6.8, 4.7)","(1.9, 2.7, 2.018181818181818)","(21.0, 75.0, 44.16666666666667)","(81.0, 570.0, 485.0)"
10-01-2023 15:01:52.743663,"(14.0, 42.0, 24.666666666666664)","(2.6, 4.6, 3.289090909090909)","(41.0, 350.0, 195.0)","(4.2, 6.8, 4.7)","(1.9, 2.7, 2.018181818181818)","(21.0, 75.0, 44.16666666666667)","(81.0, 570.0, 485.0)"
10-01-2023 15:01:53.842877,"(14.0, 42.0, 24.666666666666664)","(2.6, 4.6, 4.4215)","(41.0, 350.0, 195.0)","(4.2, 6.8, 4.7)","(1.9, 2.7, 2.018181818181818)","(21.0, 75.0, 44.16666666666667)","(81.0, 570.0, 485.0)"
10-01-2023 15:01:54.984289,"(14.0, 42.0, 24.666666666666664)","(2.6, 4.6, 2.8675)","(41.0, 350.0, 195.0)","(4.2, 6.8, 4.7)","(1.9, 2.7, 2.018181818181818)","(21.0, 75.0, 44.16666666666667)","(81.0, 570.0, 485.0)"
10-01-2023 15:01:56.127022,"(14.0, 42.0, 24.666666666666664)","(2.6, 4.6, 2.8675)","(41.0, 350.0, 195.0)","(4.2, 6.8, 4.7)","(1.9, 2.7, 2.018181818181818)","(21.0, 75.0, 44.16666666666667)","(81.0, 570.0, 485.0)"
10-01-2023 15:01:57.247347,"(14.0, 42.0, 24.666666666666664)","(2.6, 4.6, 2.8675)","(41.0, 350.0, 195.0)","(4.2, 6.8, 4.7)","(1.9, 2.7, 2.018181818181818)","(21.0, 75.0, 44.16666666666667)","(81.0, 570.0, 485.0)"
10-01-2023 15:01:58.329371,"(14.0, 42.0, 24.666666666666664)","(2.6, 4.6, 2.8675)","(41.0, 350.0, 195.0)","(4.2, 6.8, 4.7)","(1.9, 2.7, 2.018181818181818)","(21.0, 75.0, 44.16666666666667)","(81.0, 570.0, 485.0)"
10-01-2023 15:01:59.504553,"(14.0, 42.0, 24.666666666666664)","(2.6, 4.6, 2.8675)","(41.0, 350.0, 195.0)","(4.2, 6.8, 4.7)","(1.9, 2.7, 2.018181818181818)","(21.0, 75.0, 44.16666666666667)","(81.0, 570.0, 485.0)"
10-01-2023 15:02:00.706497,"(14.0, 42.0, 24.666666666666664)","(2.6, 4.6, 2.8675)","(41.0, 350.0, 195.0)","(4.2, 6.8, 4.7)","(1.9, 2.7, 2.018181818181818)","(21.0, 75.0, 44.16666666666667)","(81.0, 570.0, 485.0)"
10-01-2023 15:02:02.003882,"(14.0, 42.0, 24.666666666666664)","(2.6, 4.6, 2.8675)","(41.0, 350.0, 195.0)","(4.2, 6.8, 4.7)","(1.9, 2.7, 2.018181818181818)","(21.0, 75.0, 44.16666666666667)","(81.0, 570.0, 485.0)"
10-01-2023 15:02:03.306954,"(14.0, 42.0, 24.666666666666664)","(2.6, 4.6, 2.8675)","(41.0, 350.0, 195.0)","(4.2, 6.8, 4.7)","(1.9, 2.7, 2.018181818181818)","(21.0, 75.0, 44.16666666666667)","(81.0, 570.0, 485.0)"
10-01-2023 15:02:04.536738,"(14.0, 42.0, 24.666666666666664)","(2.6, 4.6, 2.8675)","(41.0, 350.0, 195.0)","(4.2, 6.8, 4.7)","(1.9, 2.7, 2.018181818181818)","(21.0, 75.0, 44.16666666666667)","(81.0, 570.0, 485.0)"
10-01-2023 15:02:06.018000,"(14.0, 42.0, 24.666666666666664)","(2.6, 4.6, 2.8675)","(41.0, 350.0, 195.0)","(4.2, 6.8, 4.7)","(1.9, 2.7, 2.018181818181818)","(21.0, 75.0, 44.16666666666667)","(81.0, 570.0, 485.0)"
10-01-2023 15:02:07.191843,"(14.0, 42.0, 24.666666666666664)","(2.6, 4.6, 2.8675)","(41.0, 350.0, 195.0)","(4.2, 6.8, 4.7)","(1.9, 2.7, 2.018181818181818)","(21.0, 75.0, 44.16666666666667)","(81.0, 570.0, 485.0)"
10-01-2023 15:02:08.742404,"(14.0, 42.0, 24.666666666666664)","(2.6, 4.6, 2.8675)","(41.0, 350.0, 195.0)","(4.2, 6.8, 4.7)","(1.9, 2.7, 2.018181818181818)","(21.0, 75.0, 44.16666666666667)","(81.0, 570.0, 485.0)"
10-01-2023 15:02:10.603047,"(14.0, 42.0, 24.666666666666664)","(2.6, 4.6, 2.8675)","(41.0, 350.0, 195.0)","(4.2, 6.8, 4.7)","(1.9, 2.7, 2.018181818181818)","(21.0, 75.0, 44.16666666666667)","(81.0, 570.0, 485.0)"
10-01-2023 15:02:11.794144,"(14.0, 42.0, 24.666666666666664)","(2.6, 4.6, 2.8675)","(41.0, 350.0, 195.0)","(4.2, 6.8, 4.7)","(1.9, 2.7, 2.018181818181818)","(21.0, 75.0, 44.16666666666667)","(81.0, 570.0, 485.0)"
10-01-2023 15:02:12.936350,"(14.0, 42.0, 24.666666666666664)","(2.6, 4.6, 2.8675)","(41.0, 350.0, 195.0)","(4.2, 6.8, 4.7)","(1.9, 2.7, 2.018181818181818)","(21.0, 75.0, 44.16666666666667)","(81.0, 570.0, 485.0)"
10-01-2023 15:02:13.997302,"(14.0, 42.0, 24.666666666666664)","(2.6, 4.6, 2.8675)","(41.0, 350.0, 195.0)","(4.2, 6.8, 4.373333333333333)","(1.9, 2.7, 2.018181818181818)","(21.0, 75.0, 44.16666666666667)","(81.0, 570.0, 485.0)"
10-01-2023 15:02:15.118897,"(14.0, 42.0, 24.666666666666664)","(2.6, 4.6, 2.8675)","(41.0, 350.0, 195.0)","(4.2, 6.8, 4.373333333333333)","(1.9, 2.7, 2.018181818181818)","(21.0, 75.0, 44.16666666666667)","(81.0, 570.0, 485.0)"
10-01-2023 15:02:16.225565,"(14.0, 42.0, 24.666666666666664)","(2.6, 4.6, 2.8675)","(41.0, 350.0, 195.0)","(4.2, 6.8, 4.373333333333333)","(1.9, 2.7, 2.018181818181818)","(21.0, 75.0, 44.16666666666667)","(81.0, 570.0, 485.0)"
10-01-2023 15:02:17.425409,"(14.0, 42.0, 24.666666666666664)","(2.6, 4.6, 2.8675)","(41.0, 350.0, 195.0)","(4.2, 6.8, 4.373333333333333)","(1.9, 2.7, 2.018181818181818)","(21.0, 75.0, 44.16666666666667)","(81.0, 570.0, 485.0)"
10-01-2023 15:02:18.652638,"(14.0, 42.0, 24.666666666666664)","(2.6, 4.6, 2.8675)","(41.0, 350.0, 195.0)","(4.2, 6.8, 4.373333333333333)","(1.9, 2.7, 2.018181818181818)","(21.0, 75.0, 44.16666666666667)","(81.0, 570.0, 485.0)"
10-01-2023 15:02:19.780111,"(14.0, 42.0, 24.666666666666664)","(2.6, 4.6, 2.8675)","(41.0, 350.0, 195.0)","(4.2, 6.8, 4.373333333333333)","(1.9, 2.7, 2.018181818181818)","(21.0, 75.0, 44.16666666666667)","(81.0, 570.0, 485.0)"
10-01-2023 15:02:20.844846,"(14.0, 42.0, 24.666666666666664)","(2.6, 4.6, 2.8675)","(41.0, 350.0, 195.0)","(4.2, 6.8, 4.373333333333333)","(1.9, 2.7, 2.018181818181818)","(21.0, 75.0, 44.16666666666667)","(81.0, 570.0, 485.0)"
10-01-2023 15:02:21.999025,"(14.0, 42.0, 24.666666666666664)","(2.6, 4.6, 2.8675)","(41.0, 350.0, 195.0)","(4.2, 6.8, 4.373333333333333)","(1.9, 2.7, 2.018181818181818)","(21.0, 75.0, 44.16666666666667)","(81.0, 570.0, 485.0)"
10-01-2023 15:02:23.186559,"(14.0, 42.0, 24.666666666666664)","(2.6, 4.6, 2.8675)","(41.0, 350.0, 195.0)","(4.2, 6.8, 4.373333333333333)","(1.9, 2.7, 2.018181818181818)","(21.0, 75.0, 44.16666666666667)","(81.0, 570.0, 485.0)"
10-01-2023 15:02:24.349208,"(14.0, 42.0, 24.666666666666664)","(2.6, 4.6, 2.8675)","(41.0, 350.0, 195.0)","(4.2, 6.8, 4.373333333333333)","(1.9, 2.7, 2.018181818181818)","(21.0, 75.0, 44.16666666666667)","(81.0, 570.0, 485.0)"
10-01-2023 15:02:25.526486,"(14.0, 42.0, 24.666666666666664)","(2.6, 4.6, 2.8675)","(41.0, 350.0, 195.0)","(4.2, 6.8, 4.373333333333333)","(1.9, 2.7, 2.018181818181818)","(21.0, 75.0, 44.16666666666667)","(81.0, 570.0, 485.0)"
10-01-2023 15:02:26.684972,"(14.0, 42.0, 24.666666666666664)","(2.6, 4.6, 2.8675)","(41.0, 350.0, 195.0)","(4.2, 6.8, 4.373333333333333)","(1.9, 2.7, 2.018181818181818)","(21.0, 75.0, 44.16666666666667)","(81.0, 570.0, 485.0)"
10-01-2023 15:02:27.794151,"(14.0, 42.0, 24.666666666666664)","(2.6, 4.6, 2.8675)","(41.0, 350.0, 195.0)","(4.2, 6.8, 4.373333333333333)","(1.9, 2.7, 2.018181818181818)","(21.0, 75.0, 44.16666666666667)","(81.0, 570.0, 485.0)"
10-01-2023 15:02:28.933943,"(14.0, 42.0, 24.666666666666664)","(2.6, 4.6, 2.8675)","(41.0, 350.0, 195.0)","(4.2, 6.8, 4.373333333333333)","(1.9, 2.7, 2.018181818181818)","(21.0, 75.0, 44.16666666666667)","(81.0, 570.0, 485.0)"
10-01-2023 15:02:30.105132,"(14.0, 42.0, 26.4)","(2.6, 4.6, 2.8675)","(41.0, 350.0, 195.0)","(4.2, 6.8, 4.373333333333333)","(1.9, 2.7, 2.018181818181818)","(21.0, 75.0, 44.16666666666667)","(81.0, 570.0, 485.0)"
10-01-2023 15:02:31.297549,"(14.0, 42.0, 26.4)","(2.6, 4.6, 2.8675)","(41.0, 350.0, 195.0)","(4.2, 6.8, 4.373333333333333)","(1.9, 2.7, 2.018181818181818)","(21.0, 75.0, 44.16666666666667)","(81.0, 570.0, 485.0)"
10-01-2023 15:02:32.513760,"(14.0, 42.0, 26.4)","(2.6, 4.6, 2.8675)","(41.0, 350.0, 195.0)","(4.2, 6.8, 4.373333333333333)","(1.9, 2.7, 2.018181818181818)","(21.0, 75.0, 44.16666666666667)","(81.0, 570.0, 485.0)"
10-01-2023 15:02:33.687451,"(14.0, 42.0, 26.4)","(2.6, 4.6, 2.8675)","(41.0, 350.0, 195.0)","(4.2, 6.8, 4.373333333333333)","(1.9, 2.7, 2.018181818181818)","(21.0, 75.0, 44.16666666666667)","(81.0, 570.0, 485.0)"
10-01-2023 15:02:34.720968,"(14.0, 42.0, 26.4)","(2.6, 4.6, 3.83)","(41.0, 350.0, 195.0)","(4.2, 6.8, 4.373333333333333)","(1.9, 2.7, 2.018181818181818)","(21.0, 75.0, 44.16666666666667)","(81.0, 570.0, 485.0)"
10-01-2023 15:02:35.767838,"(14.0, 42.0, 26.4)","(2.6, 4.6, 3.83)","(41.0, 350.0, 195.0)","(4.2, 6.8, 4.373333333333333)","(1.9, 2.7, 2.018181818181818)","(21.0, 75.0, 44.16666666666667)","(81.0, 570.0, 485.0)"
10-01-2023 15:02:36.858373,"(14.0, 42.0, 26.4)","(2.6, 4.6, 3.83)","(41.0, 350.0, 195.0)","(4.2, 6.8, 4.373333333333333)","(1.9, 2.7, 2.018181818181818)","(21.0, 75.0, 44.16666666666667)","(81.0, 570.0, 485.0)"
10-01-2023 15:02:38.023917,"(14.0, 42.0, 26.4)","(2.6, 4.6, 3.3527272727272726)","(41.0, 350.0, 195.0)","(4.2, 6.8, 4.373333333333333)","(1.9, 2.7, 2.018181818181818)","(21.0, 75.0, 44.16666666666667)","(81.0, 570.0, 485.0)"
10-01-2023 15:02:39.227545,"(14.0, 42.0, 26.4)","(2.6, 4.6, 3.3527272727272726)","(41.0, 350.0, 195.0)","(4.2, 6.8, 4.373333333333333)","(1.9, 2.7, 2.018181818181818)","(21.0, 75.0, 44.16666666666667)","(81.0, 570.0, 485.0)"
10-01-2023 15:02:40.401897,"(14.0, 42.0, 26.4)","(2.6, 4.6, 3.3527272727272726)","(41.0, 350.0, 195.0)","(4.2, 6.8, 4.373333333333333)","(1.9, 2.7, 2.018181818181818)","(21.0, 75.0, 44.16666666666667)","(81.0, 570.0, 485.0)"
10-01-2023 15:02:41.610925,"(14.0, 42.0, 26.4)","(2.6, 4.6, 3.3527272727272726)","(41.0, 350.0, 195.0)","(4.2, 6.8, 4.373333333333333)","(1.9, 2.7, 2.018181818181818)","(21.0, 75.0, 44.16666666666667)","(81.0, 570.0, 485.0)"
10-01-2023 15:02:42.701340,"(14.0, 42.0, 26.4)","(2.6, 4.6, 3.3527272727272726)","(41.0, 350.0, 195.0)","(4.2, 6.8, 4.373333333333333)","(1.9, 2.7, 2.018181818181818)","(21.0, 75.0, 44.16666666666667)","(81.0, 570.0, 485.0)"
10-01-2023 15:02:43.782876,"(14.0, 42.0, 26.4)","(2.6, 4.6, 3.3527272727272726)","(41.0, 350.0, 195.0)","(4.2, 6.8, 4.373333333333333)","(1.9, 2.7, 2.018181818181818)","(21.0, 75.0, 44.16666666666667)","(81.0, 570.0, 485.0)"
10-01-2023 15:02:44.869830,"(14.0, 42.0, 26.4)","(2.6, 4.6, 3.3527272727272726)","(41.0, 350.0, 195.0)","(4.2, 6.8, 4.373333333333333)","(1.9, 2.7, 2.018181818181818)","(21.0, 75.0, 44.16666666666667)","(81.0, 570.0, 485.0)"
10-01-2023 15:02:45.995406,"(14.0, 42.0, 26.4)","(2.6, 4.6, 3.3527272727272726)","(41.0, 350.0, 195.0)","(4.2, 6.8, 4.373333333333333)","(1.9, 2.7, 2.018181818181818)","(21.0, 75.0, 44.16666666666667)","(81.0, 570.0, 485.0)"
10-01-2023 15:02:47.042473,"(14.0, 42.0, 26.4)","(2.6, 4.6, 3.3527272727272726)","(41.0, 350.0, 195.0)","(4.2, 6.8, 4.373333333333333)","(1.9, 2.7, 2.018181818181818)","(21.0, 75.0, 44.16666666666667)","(81.0, 570.0, 485.0)"
10-01-2023 15:02:48.144266,"(14.0, 42.0, 26.4)","(2.6, 4.6, 3.3527272727272726)","(41.0, 350.0, 195.0)","(4.2, 6.8, 4.373333333333333)","(1.9, 2.7, 2.018181818181818)","(21.0, 75.0, 44.16666666666667)","(81.0, 570.0, 485.0)"
10-01-2023 15:02:49.205189,"(14.0, 42.0, 26.4)","(2.6, 4.6, 3.3527272727272726)","(41.0, 350.0, 195.0)","(4.2, 6.8, 4.373333333333333)","(1.9, 2.7, 2.018181818181818)","(21.0, 75.0, 44.16666666666667)","(81.0, 570.0, 485.0)"
10-01-2023 15:02:50.326585,"(14.0, 42.0, 26.4)","(2.6, 4.6, 3.3527272727272726)","(41.0, 350.0, 195.0)","(4.2, 6.8, 4.373333333333333)","(1.9, 2.7, 2.018181818181818)","(21.0, 75.0, 44.16666666666667)","(81.0, 570.0, 485.0)"
10-01-2023 15:02:51.507422,"(14.0, 42.0, 26.4)","(2.6, 4.6, 3.3527272727272726)","(41.0, 350.0, 195.0)","(4.2, 6.8, 4.373333333333333)","(1.9, 2.7, 2.018181818181818)","(21.0, 75.0, 44.16666666666667)","(81.0, 570.0, 485.0)"
10-01-2023 15:02:52.711518,"(14.0, 42.0, 26.4)","(2.6, 4.6, 3.3527272727272726)","(41.0, 350.0, 195.0)","(4.2, 6.8, 4.373333333333333)","(1.9, 2.7, 2.018181818181818)","(21.0, 75.0, 44.16666666666667)","(81.0, 570.0, 485.0)"
10-01-2023 15:02:53.935973,"(14.0, 42.0, 26.4)","(2.6, 4.6, 3.3527272727272726)","(41.0, 350.0, 195.0)","(4.2, 6.8, 4.373333333333333)","(1.9, 2.7, 2.018181818181818)","(21.0, 75.0, 44.16666666666667)","(81.0, 570.0, 485.0)"
10-01-2023 15:02:55.146020,"(14.0, 42.0, 26.4)","(2.6, 4.6, 3.3527272727272726)","(41.0, 350.0, 195.0)","(4.2, 6.8, 4.373333333333333)","(1.9, 2.7, 2.018181818181818)","(21.0, 75.0, 44.16666666666667)","(81.0, 570.0, 485.0)"
10-01-2023 15:02:56.362835,"(14.0, 42.0, 26.4)","(2.6, 4.6, 3.3527272727272726)","(41.0, 350.0, 195.0)","(4.2, 6.8, 4.373333333333333)","(1.9, 2.7, 2.018181818181818)","(21.0, 75.0, 44.16666666666667)","(81.0, 570.0, 485.0)"
10-01-2023 15:02:57.516978,"(14.0, 42.0, 26.4)","(2.6, 4.6, 3.3527272727272726)","(41.0, 350.0, 195.0)","(4.2, 6.8, 4.373333333333333)","(1.9, 2.7, 2.018181818181818)","(21.0, 75.0, 44.16666666666667)","(81.0, 570.0, 485.0)"
10-01-2023 15:02:58.581304,"(14.0, 42.0, 26.4)","(2.6, 4.6, 3.3527272727272726)","(41.0, 350.0, 195.0)","(4.2, 6.8, 4.373333333333333)","(1.9, 2.7, 2.018181818181818)","(21.0, 75.0, 44.16666666666667)","(81.0, 570.0, 485.0)"
10-01-2023 15:02:59.596572,"(14.0, 42.0, 26.4)","(2.6, 4.6, 3.3527272727272726)","(41.0, 350.0, 195.0)","(4.2, 6.8, 4.373333333333333)","(1.9, 2.7, 2.018181818181818)","(21.0, 75.0, 44.16666666666667)","(81.0, 570.0, 485.0)"
10-01-2023 15:03:00.723406,"(14.0, 42.0, 26.4)","(2.6, 4.6, 3.3527272727272726)","(41.0, 350.0, 195.0)","(4.2, 6.8, 4.373333333333333)","(1.9, 2.7, 2.018181818181818)","(21.0, 75.0, 44.16666666666667)","(81.0, 570.0, 485.0)"
10-01-2023 15:03:01.876902,"(14.0, 42.0, 26.4)","(2.6, 4.6, 3.3527272727272726)","(41.0, 350.0, 195.0)","(4.2, 6.8, 4.373333333333333)","(1.9, 2.7, 2.018181818181818)","(21.0, 75.0, 44.16666666666667)","(81.0, 570.0, 485.0)"
10-01-2023 15:03:03.083181,"(14.0, 42.0, 26.4)","(2.6, 4.6, 3.3527272727272726)","(41.0, 350.0, 195.0)","(4.2, 6.8, 4.373333333333333)","(1.9, 2.7, 2.018181818181818)","(21.0, 75.0, 44.16666666666667)","(81.0, 570.0, 485.0)"
10-01-2023 15:03:04.297896,"(14.0, 42.0, 26.4)","(2.6, 4.6, 3.3527272727272726)","(41.0, 350.0, 195.0)","(4.2, 6.8, 4.373333333333333)","(1.9, 2.7, 2.018181818181818)","(21.0, 75.0, 44.16666666666667)","(81.0, 570.0, 485.0)"
10-01-2023 15:03:05.495468,"(14.0, 42.0, 26.4)","(2.6, 4.6, 3.3527272727272726)","(41.0, 350.0, 195.0)","(4.2, 6.8, 4.373333333333333)","(1.9, 2.7, 2.018181818181818)","(21.0, 75.0, 44.16666666666667)","(81.0, 570.0, 485.0)"
10-01-2023 15:03:06.580668,"(14.0, 42.0, 26.4)","(2.6, 4.6, 3.3527272727272726)","(41.0, 350.0, 195.0)","(4.2, 6.8, 4.373333333333333)","(1.9, 2.7, 2.018181818181818)","(21.0, 75.0, 44.16666666666667)","(81.0, 570.0, 485.0)"
10-01-2023 15:03:07.699484,"(14.0, 42.0, 26.4)","(2.6, 4.6, 3.3527272727272726)","(41.0, 350.0, 195.0)","(4.2, 6.8, 4.373333333333333)","(1.9, 2.7, 2.018181818181818)","(21.0, 75.0, 44.16666666666667)","(81.0, 570.0, 485.0)"
10-01-2023 15:03:08.688276,"(14.0, 42.0, 26.4)","(2.6, 4.6, 3.3527272727272726)","(41.0, 350.0, 195.0)","(4.2, 6.8, 4.373333333333333)","(1.9, 2.7, 2.018181818181818)","(21.0, 75.0, 44.16666666666667)","(81.0, 570.0, 485.0)"
10-01-2023 15:03:09.789282,"(14.0, 42.0, 26.4)","(2.6, 4.6, 3.3527272727272726)","(41.0, 350.0, 195.0)","(4.2, 6.8, 4.373333333333333)","(1.9, 2.7, 2.018181818181818)","(21.0, 75.0, 44.16666666666667)","(81.0, 570.0, 485.0)"
10-01-2023 15:03:10.984285,"(14.0, 42.0, 26.4)","(2.6, 4.6, 3.3527272727272726)","(41.0, 350.0, 195.0)","(4.2, 6.8, 4.373333333333333)","(1.9, 2.7, 2.018181818181818)","(21.0, 75.0, 44.16666666666667)","(81.0, 570.0, 485.0)"
10-01-2023 15:03:12.177670,"(14.0, 42.0, 26.4)","(2.6, 4.6, 3.3527272727272726)","(41.0, 350.0, 195.0)","(4.2, 6.8, 4.373333333333333)","(1.9, 2.7, 2.018181818181818)","(21.0, 75.0, 44.16666666666667)","(81.0, 570.0, 485.0)"
10-01-2023 15:03:13.457924,"(14.0, 42.0, 26.4)","(2.6, 4.6, 4.438588235294118)","(41.0, 350.0, 195.0)","(4.2, 6.8, 4.373333333333333)","(1.9, 2.7, 2.018181818181818)","(21.0, 75.0, 44.16666666666667)","(81.0, 570.0, 485.0)"
10-01-2023 15:03:14.643077,"(14.0, 42.0, 26.4)","(2.6, 4.6, 4.438588235294118)","(41.0, 350.0, 195.0)","(4.2, 6.8, 4.373333333333333)","(1.9, 2.7, 2.018181818181818)","(21.0, 75.0, 44.16666666666667)","(81.0, 570.0, 485.0)"
10-01-2023 15:03:15.866703,"(14.0, 42.0, 26.4)","(2.6, 4.6, 2.9375)","(41.0, 350.0, 195.0)","(4.2, 6.8, 4.373333333333333)","(1.9, 2.7, 2.018181818181818)","(21.0, 75.0, 44.16666666666667)","(81.0, 570.0, 485.0)"
10-01-2023 15:03:17.418613,"(14.0, 42.0, 26.4)","(2.6, 4.6, 2.9375)","(41.0, 350.0, 195.0)","(4.2, 6.8, 4.373333333333333)","(1.9, 2.7, 2.018181818181818)","(21.0, 75.0, 44.16666666666667)","(81.0, 570.0, 485.0)"
10-01-2023 15:03:18.669285,"(14.0, 42.0, 26.4)","(2.6, 4.6, 2.9375)","(41.0, 350.0, 195.0)","(4.2, 6.8, 4.373333333333333)","(1.9, 2.7, 2.018181818181818)","(21.0, 75.0, 44.16666666666667)","(81.0, 570.0, 485.0)"
10-01-2023 15:03:20.140890,"(14.0, 42.0, 26.4)","(2.6, 4.6, 2.9375)","(41.0, 350.0, 195.0)","(4.2, 6.8, 4.373333333333333)","(1.9, 2.7, 2.018181818181818)","(21.0, 75.0, 44.16666666666667)","(81.0, 570.0, 485.0)"
10-01-2023 15:03:21.296604,"(14.0, 42.0, 26.4)","(2.6, 4.6, 2.9375)","(41.0, 350.0, 195.0)","(4.2, 6.8, 4.373333333333333)","(1.9, 2.7, 2.018181818181818)","(21.0, 75.0, 44.16666666666667)","(81.0, 570.0, 485.0)"
