,Uri Bale,Tiggerlong Demon,Goldstar Clover,Smash Wave,Amuri Ruru,Taieri Taylee,Homebush Lennon,Sozins Royal
08-12-2022 12:35:33.434540,"(4.8, 8.6, 5.885714285714285)","(5.5, 9.0, 6.357142857142857)","(10.0, 21.0, 14.6)","(1.7, 2.72, 2.4625000000000004)","(26.0, 290.0, 105.15384615384616)","(7.5, 14.0, 11.6)","(41.0, 340.0, 289.0)","(21.0, 250.0, 103.42857142857142)"
08-12-2022 12:35:34.732725,"(4.8, 8.6, 5.885714285714285)","(5.5, 9.0, 6.357142857142857)","(10.0, 21.0, 14.6)","(1.7, 2.72, 2.4625000000000004)","(26.0, 290.0, 105.15384615384616)","(7.5, 14.0, 11.6)","(41.0, 340.0, 289.0)","(21.0, 250.0, 103.42857142857142)"
08-12-2022 12:35:35.992633,"(4.8, 8.6, 5.885714285714285)","(5.5, 9.0, 6.357142857142857)","(10.0, 21.0, 14.6)","(1.7, 2.72, 2.4625000000000004)","(26.0, 290.0, 105.15384615384616)","(7.5, 14.0, 11.6)","(41.0, 340.0, 289.0)","(21.0, 250.0, 103.42857142857142)"
08-12-2022 12:35:37.311241,"(4.8, 8.6, 5.885714285714285)","(5.5, 9.0, 6.357142857142857)","(10.0, 21.0, 14.6)","(1.7, 2.72, 2.4625000000000004)","(26.0, 290.0, 105.15384615384616)","(7.5, 14.0, 11.6)","(41.0, 340.0, 289.0)","(21.0, 250.0, 103.42857142857142)"
08-12-2022 12:35:38.637339,"(4.8, 8.6, 5.885714285714285)","(5.5, 9.0, 6.357142857142857)","(10.0, 21.0, 14.6)","(1.7, 2.72, 2.4625000000000004)","(26.0, 290.0, 105.15384615384616)","(7.5, 14.0, 11.6)","(41.0, 340.0, 289.0)","(21.0, 250.0, 103.42857142857142)"
08-12-2022 12:35:39.994637,"(4.8, 8.6, 5.885714285714285)","(5.5, 9.0, 6.357142857142857)","(10.0, 21.0, 14.6)","(1.7, 2.72, 2.4625000000000004)","(26.0, 290.0, 105.15384615384616)","(7.5, 14.0, 11.6)","(41.0, 340.0, 289.0)","(21.0, 250.0, 103.42857142857142)"
08-12-2022 12:35:41.289543,"(4.8, 8.6, 5.885714285714285)","(5.5, 9.0, 6.357142857142857)","(10.0, 21.0, 14.6)","(1.7, 2.72, 2.4625000000000004)","(26.0, 290.0, 105.15384615384616)","(7.5, 14.0, 11.6)","(41.0, 340.0, 289.0)","(21.0, 250.0, 103.42857142857142)"
08-12-2022 12:35:42.608226,"(4.8, 8.6, 5.885714285714285)","(5.5, 9.0, 6.357142857142857)","(10.0, 21.0, 14.6)","(1.7, 2.72, 2.4625000000000004)","(26.0, 290.0, 105.15384615384616)","(7.5, 14.0, 11.6)","(41.0, 340.0, 289.0)","(21.0, 250.0, 103.42857142857142)"
08-12-2022 12:35:44.016694,"(4.8, 8.6, 5.885714285714285)","(5.5, 9.0, 6.357142857142857)","(10.0, 21.0, 14.6)","(1.7, 2.72, 2.4625000000000004)","(26.0, 290.0, 105.15384615384616)","(7.5, 14.0, 11.6)","(41.0, 340.0, 289.0)","(21.0, 250.0, 103.42857142857142)"
08-12-2022 12:35:45.343682,"(4.8, 8.6, 5.885714285714285)","(5.5, 9.0, 6.357142857142857)","(10.0, 21.0, 14.6)","(1.7, 2.72, 2.4625000000000004)","(26.0, 290.0, 105.15384615384616)","(7.5, 14.0, 11.6)","(41.0, 340.0, 289.0)","(21.0, 250.0, 103.42857142857142)"
