,Veilazig,Strong Woman,Musical Millie,Frosty Flirt,Senorita Cometa,Staythirstymyamigo,Kimbells Strategy
08-12-2022 13:36:07.140120,"(14.0, 34.0, 28.5)","(5.5, 7.6, 6.6)","(5.5, 8.8, 6.5600000000000005)","(3.3, 3.85, 3.535714285714286)","(15.0, 19.0, 15.8)","(21.0, 36.0, 25.142857142857142)","(2.7, 4.5, 4.047272727272727)"
08-12-2022 13:36:08.213161,"(14.0, 34.0, 28.5)","(5.5, 7.6, 6.6)","(5.5, 8.8, 6.5600000000000005)","(3.3, 3.85, 3.535714285714286)","(15.0, 19.0, 15.8)","(21.0, 32.0, 21.333333333333332)","(2.7, 4.5, 4.047272727272727)"
08-12-2022 13:36:09.396567,"(14.0, 34.0, 28.5)","(5.5, 7.6, 6.290909090909091)","(5.5, 8.8, 6.5600000000000005)","(3.3, 3.85, 3.535714285714286)","(15.0, 19.0, 15.8)","(21.0, 32.0, 14.69090909090909)","(2.7, 4.5, 3.433333333333333)"
08-12-2022 13:36:10.772793,"(14.0, 34.0, 28.5)","(5.5, 7.6, 6.290909090909091)","(5.5, 8.8, 6.991666666666667)","(3.3, 3.85, 3.535714285714286)","(15.0, 19.0, 15.8)","(21.0, 32.0, 17.47692307692308)","(2.7, 4.5, 3.42)"
08-12-2022 13:36:11.892721,"(14.0, 34.0, 28.5)","(5.5, 7.6, 6.290909090909091)","(5.5, 8.8, 6.991666666666667)","(3.3, 3.85, 3.535714285714286)","(15.0, 19.0, 15.8)","(21.0, 32.0, 14.98181818181818)","(2.7, 4.5, 3.4466666666666668)"
08-12-2022 13:36:13.013670,"(14.0, 34.0, 28.5)","(5.5, 7.6, 6.290909090909091)","(5.5, 8.8, 6.7)","(3.3, 3.85, 3.535714285714286)","(15.0, 19.0, 15.8)","(21.0, 32.0, 16.533333333333335)","(2.7, 4.5, 3.7199999999999998)"
08-12-2022 13:36:14.079143,"(14.0, 34.0, 28.5)","(5.5, 7.6, 6.290909090909091)","(5.5, 8.8, 6.5600000000000005)","(3.3, 3.85, 3.535714285714286)","(15.0, 19.0, 15.8)","(21.0, 32.0, 17.96923076923077)","(2.7, 4.5, 3.7199999999999998)"
08-12-2022 13:36:15.043691,"(14.0, 34.0, 28.5)","(5.5, 7.6, 6.290909090909091)","(5.5, 8.8, 6.5600000000000005)","(3.3, 3.85, 3.535714285714286)","(15.0, 19.0, 15.8)","(21.0, 32.0, 15.563636363636364)","(2.7, 4.5, 4.065714285714286)"
08-12-2022 13:36:16.136220,"(14.0, 34.0, 28.5)","(5.5, 7.6, 6.290909090909091)","(5.5, 8.8, 6.5600000000000005)","(3.3, 3.85, 3.535714285714286)","(15.0, 19.0, 15.5)","(21.0, 32.0, 15.563636363636364)","(2.7, 4.5, 4.065714285714286)"
08-12-2022 13:36:17.311441,"(14.0, 34.0, 28.5)","(5.5, 7.6, 6.290909090909091)","(5.5, 8.8, 6.25)","(3.3, 3.85, 3.535714285714286)","(15.0, 18.5, 15.5)","(21.0, 32.0, 17.230769230769234)","(2.7, 4.5, 3.42)"
08-12-2022 13:36:18.487445,"(14.0, 34.0, 28.5)","(5.5, 7.6, 6.22)","(5.5, 8.8, 7.4799999999999995)","(3.3, 3.85, 3.535714285714286)","(15.0, 18.5, 15.5)","(21.0, 32.0, 21.333333333333332)","(2.7, 4.5, 4.0636363636363635)"
08-12-2022 13:36:19.545221,"(14.0, 34.0, 28.5)","(5.5, 7.6, 7.16)","(5.5, 8.6, 7.4799999999999995)","(3.3, 3.85, 3.535714285714286)","(15.0, 18.5, 15.5)","(21.0, 32.0, 17.47692307692308)","(2.7, 4.5, 3.4466666666666668)"
08-12-2022 13:36:20.617383,"(14.0, 34.0, 28.5)","(5.5, 7.6, 6.657142857142857)","(5.5, 8.4, 6.65)","(3.3, 3.85, 3.535714285714286)","(15.0, 18.5, 15.5)","(21.0, 32.0, 14.98181818181818)","(2.7, 4.5, 4.0600000000000005)"
08-12-2022 13:36:21.713659,"(14.0, 34.0, 28.5)","(5.5, 7.6, 6.657142857142857)","(5.5, 8.2, 7.542857142857143)","(3.3, 3.85, 3.535714285714286)","(15.0, 18.5, 15.5)","(21.0, 32.0, 14.399999999999999)","(2.7, 4.5, 4.0600000000000005)"
08-12-2022 13:36:22.774093,"(14.0, 34.0, 28.5)","(5.5, 7.6, 6.657142857142857)","(5.5, 8.4, 6.9)","(3.3, 3.85, 3.535714285714286)","(15.0, 18.5, 12.18421052631579)","(21.0, 32.0, 19.200000000000003)","(2.7, 4.5, 3.486666666666667)"
08-12-2022 13:36:23.859159,"(14.0, 34.0, 28.5)","(5.5, 7.6, 6.454545454545454)","(5.5, 8.4, 6.9)","(3.3, 3.85, 3.535714285714286)","(15.0, 18.5, 15.2)","(21.0, 32.0, 17.47692307692308)","(2.7, 4.5, 3.588)"
08-12-2022 13:36:24.866921,"(14.0, 34.0, 28.5)","(5.5, 7.6, 6.742857142857142)","(5.5, 8.4, 6.9)","(3.3, 3.85, 3.535714285714286)","(15.0, 18.0, 15.2)","(21.0, 32.0, 17.47692307692308)","(2.7, 4.5, 3.588)"
08-12-2022 13:36:25.928013,"(14.0, 34.0, 28.5)","(5.5, 7.6, 6.742857142857142)","(5.5, 8.4, 6.65)","(3.3, 3.85, 3.535714285714286)","(15.0, 17.5, 14.9)","(21.0, 32.0, 14.98181818181818)","(2.7, 4.5, 4.071428571428571)"
08-12-2022 13:36:26.978528,"(14.0, 34.0, 28.5)","(5.5, 7.6, 6.742857142857142)","(5.5, 8.4, 7.0)","(3.3, 3.85, 3.535714285714286)","(15.0, 17.5, 14.9)","(21.0, 32.0, 14.98181818181818)","(2.7, 4.5, 3.775)"
08-12-2022 13:36:27.984722,"(14.0, 34.0, 28.5)","(5.5, 7.6, 6.22)","(5.5, 8.4, 7.050000000000001)","(3.3, 3.85, 3.535714285714286)","(15.0, 17.5, 14.9)","(21.0, 32.0, 14.98181818181818)","(2.7, 4.5, 3.775)"
08-12-2022 13:36:29.043398,"(14.0, 34.0, 28.5)","(5.5, 7.6, 6.22)","(5.5, 8.4, 6.775)","(3.3, 3.85, 3.535714285714286)","(15.0, 17.5, 14.9)","(21.0, 32.0, 14.69090909090909)","(2.7, 4.5, 3.775)"
08-12-2022 13:36:30.144443,"(14.0, 34.0, 28.5)","(5.5, 7.6, 5.841176470588235)","(5.5, 8.4, 6.199999999999999)","(3.3, 3.85, 3.535714285714286)","(15.0, 17.5, 14.9)","(21.0, 32.0, 14.98181818181818)","(2.7, 4.5, 3.775)"
08-12-2022 13:36:31.461023,"(14.0, 34.0, 28.5)","(5.5, 7.6, 6.14)","(5.5, 8.4, 6.199999999999999)","(3.3, 3.85, 3.535714285714286)","(15.0, 17.5, 14.9)","(21.0, 32.0, 13.096296296296298)","(2.7, 4.5, 3.775)"
08-12-2022 13:36:32.629668,"(14.0, 34.0, 28.5)","(5.5, 7.4, 6.927272727272728)","(5.5, 8.4, 6.199999999999999)","(3.3, 3.85, 3.535714285714286)","(15.0, 17.5, 14.9)","(21.0, 30.0, 26.333333333333332)","(2.7, 4.5, 3.775)"
08-12-2022 13:36:33.750532,"(14.0, 34.0, 28.5)","(5.5, 7.4, 6.4)","(5.5, 8.4, 6.199999999999999)","(3.3, 3.85, 3.535714285714286)","(15.0, 17.5, 14.9)","(21.0, 30.0, 26.4)","(2.7, 4.5, 3.775)"
08-12-2022 13:36:35.034689,"(14.0, 34.0, 28.5)","(5.5, 7.4, 6.36)","(5.5, 8.4, 6.199999999999999)","(3.3, 3.85, 3.535714285714286)","(15.0, 17.5, 14.9)","(21.0, 30.0, 24.65)","(2.7, 4.5, 3.775)"
08-12-2022 13:36:36.412838,"(14.0, 34.0, 28.5)","(5.5, 7.4, 6.4)","(5.5, 8.4, 6.199999999999999)","(3.3, 3.85, 3.535714285714286)","(15.0, 17.5, 14.9)","(21.0, 30.0, 24.75)","(2.7, 4.5, 3.775)"
08-12-2022 13:36:37.689599,"(14.0, 34.0, 28.5)","(5.5, 7.6, 6.4)","(5.5, 8.4, 6.199999999999999)","(3.3, 3.85, 3.535714285714286)","(15.0, 17.5, 14.9)","(21.0, 30.0, 26.533333333333335)","(2.7, 4.5, 3.775)"
08-12-2022 13:36:38.925839,"(14.0, 34.0, 28.5)","(5.5, 7.6, 6.4)","(5.5, 8.4, 6.199999999999999)","(3.3, 3.85, 3.535714285714286)","(15.0, 17.5, 14.9)","(21.0, 30.0, 24.85)","(2.7, 4.5, 3.66)"
08-12-2022 13:36:40.006059,"(14.0, 34.0, 28.5)","(5.5, 7.6, 6.4)","(5.5, 8.4, 6.199999999999999)","(3.3, 3.85, 3.535714285714286)","(15.0, 17.5, 14.9)","(21.0, 30.0, 24.85)","(2.7, 4.5, 4.095)"
08-12-2022 13:36:41.033592,"(14.0, 34.0, 31.3125)","(5.5, 7.6, 6.4)","(5.5, 8.4, 6.199999999999999)","(3.3, 3.85, 3.535714285714286)","(15.0, 17.5, 14.9)","(21.0, 30.0, 26.4)","(2.7, 4.5, 4.095)"
08-12-2022 13:36:42.096128,"(14.0, 34.0, 31.3125)","(5.5, 7.6, 6.4)","(5.5, 8.4, 6.199999999999999)","(3.3, 3.85, 3.696)","(15.0, 17.5, 14.9)","(21.0, 30.0, 27.62222222222222)","(2.7, 4.5, 4.095)"
08-12-2022 13:36:43.122074,"(14.0, 34.0, 31.3125)","(5.5, 7.6, 6.4)","(5.5, 8.4, 6.199999999999999)","(3.3, 3.85, 3.696)","(15.0, 17.5, 14.9)","(21.0, 30.0, 27.62222222222222)","(2.7, 4.5, 4.095)"
08-12-2022 13:36:44.329989,"(14.0, 34.0, 31.3125)","(5.5, 7.6, 6.4)","(5.5, 8.4, 6.199999999999999)","(3.3, 3.85, 3.6142857142857143)","(15.0, 17.5, 14.9)","(21.0, 30.0, 27.62222222222222)","(2.7, 4.5, 3.6666666666666665)"
08-12-2022 13:36:45.436282,"(14.0, 34.0, 28.75)","(5.5, 7.6, 6.4)","(5.5, 8.4, 6.199999999999999)","(3.3, 3.85, 3.6142857142857143)","(15.0, 17.5, 14.9)","(21.0, 30.0, 25.72)","(2.7, 4.5, 3.98)"
08-12-2022 13:36:46.638973,"(14.0, 34.0, 28.75)","(5.5, 7.6, 6.4)","(5.5, 8.4, 6.2785714285714285)","(3.3, 3.85, 3.6142857142857143)","(15.0, 17.5, 14.9)","(21.0, 30.0, 24.0)","(2.7, 4.5, 3.98)"
08-12-2022 13:36:47.813662,"(14.0, 34.0, 28.75)","(5.5, 7.6, 6.4)","(5.5, 8.4, 6.2785714285714285)","(3.3, 3.85, 3.6142857142857143)","(15.0, 17.5, 14.9)","(21.0, 30.0, 24.0)","(2.7, 4.5, 3.98)"
08-12-2022 13:36:49.058989,"(14.0, 34.0, 28.75)","(5.5, 7.6, 6.753846153846154)","(5.5, 8.4, 6.2785714285714285)","(3.3, 3.85, 3.6142857142857143)","(15.0, 17.5, 14.9)","(21.0, 30.0, 24.057142857142857)","(2.7, 4.5, 3.98)"
08-12-2022 13:36:50.502475,"(14.0, 34.0, 28.75)","(5.5, 7.6, 6.753846153846154)","(5.5, 8.4, 6.2785714285714285)","(3.3, 3.85, 3.6142857142857143)","(15.0, 17.5, 14.9)","(21.0, 30.0, 21.759999999999998)","(2.7, 4.5, 3.98)"
08-12-2022 13:36:51.916241,"(14.0, 34.0, 28.75)","(5.5, 7.6, 6.753846153846154)","(5.5, 8.4, 6.2785714285714285)","(3.3, 3.85, 3.6142857142857143)","(15.0, 17.5, 14.9)","(21.0, 30.0, 15.876923076923077)","(2.7, 4.5, 3.98)"
08-12-2022 13:36:53.389338,"(14.0, 34.0, 28.75)","(5.5, 7.6, 6.466666666666667)","(5.5, 8.4, 6.333333333333333)","(3.3, 3.85, 3.6142857142857143)","(15.0, 17.5, 15.8)","(21.0, 30.0, 22.53333333333333)","(2.7, 4.5, 3.98)"
08-12-2022 13:36:54.757722,"(14.0, 34.0, 28.75)","(5.5, 7.4, 6.466666666666667)","(5.5, 7.6, 6.333333333333333)","(3.3, 3.85, 3.6142857142857143)","(15.0, 19.0, 15.8)","(21.0, 29.0, 22.53333333333333)","(2.7, 4.5, 3.75)"
08-12-2022 13:36:55.984409,"(14.0, 34.0, 28.75)","(5.5, 7.4, 6.0636363636363635)","(5.5, 7.4, 6.266666666666667)","(3.3, 3.85, 3.6142857142857143)","(15.0, 19.0, 15.8)","(21.0, 29.0, 22.53333333333333)","(2.7, 4.5, 4.1869565217391305)"
08-12-2022 13:36:57.221574,"(14.0, 34.0, 28.75)","(5.5, 7.4, 6.0636363636363635)","(5.5, 8.0, 5.946428571428571)","(3.3, 3.85, 3.6142857142857143)","(15.0, 19.0, 15.8)","(21.0, 29.0, 22.53333333333333)","(2.7, 4.5, 4.1869565217391305)"
08-12-2022 13:36:58.445244,"(14.0, 34.0, 28.75)","(5.5, 7.4, 6.0636363636363635)","(5.5, 8.0, 5.946428571428571)","(3.3, 3.85, 3.6142857142857143)","(15.0, 19.0, 15.8)","(21.0, 29.0, 22.53333333333333)","(2.7, 4.5, 4.1869565217391305)"
08-12-2022 13:36:59.666966,"(14.0, 34.0, 28.75)","(5.5, 7.4, 6.0636363636363635)","(5.5, 8.8, 6.862500000000001)","(3.3, 3.85, 3.6142857142857143)","(15.0, 19.0, 15.8)","(21.0, 29.0, 13.127272727272727)","(2.7, 4.5, 3.8000000000000003)"
08-12-2022 13:37:00.957643,"(14.0, 34.0, 28.75)","(5.5, 7.4, 6.0636363636363635)","(5.5, 8.8, 6.862500000000001)","(3.3, 3.85, 3.6142857142857143)","(15.0, 19.0, 15.8)","(21.0, 29.0, 24.32)","(2.7, 4.5, 3.925)"
08-12-2022 13:37:02.258618,"(14.0, 34.0, 28.75)","(5.5, 7.4, 6.0636363636363635)","(5.5, 8.8, 6.862500000000001)","(3.3, 3.85, 3.6142857142857143)","(15.0, 19.0, 15.8)","(21.0, 28.0, 24.32)","(2.7, 4.5, 3.7666666666666666)"
08-12-2022 13:37:03.538867,"(14.0, 34.0, 28.75)","(5.5, 7.4, 6.176470588235294)","(5.5, 8.8, 6.862500000000001)","(3.3, 3.85, 3.6142857142857143)","(15.0, 19.0, 15.8)","(21.0, 28.0, 24.32)","(2.7, 4.5, 3.6999999999999997)"
08-12-2022 13:37:04.828868,"(14.0, 34.0, 28.75)","(5.5, 7.4, 6.223529411764706)","(5.5, 8.8, 6.862500000000001)","(3.3, 3.85, 3.6142857142857143)","(15.0, 19.0, 15.8)","(21.0, 28.0, 24.32)","(2.7, 4.5, 3.7666666666666666)"
08-12-2022 13:37:06.007078,"(14.0, 34.0, 28.75)","(5.5, 7.4, 5.727272727272727)","(5.5, 8.8, 6.862500000000001)","(3.3, 3.85, 3.6142857142857143)","(15.0, 19.0, 15.8)","(21.0, 28.0, 24.32)","(2.7, 4.5, 3.7666666666666666)"
08-12-2022 13:37:07.165778,"(14.0, 34.0, 28.75)","(5.5, 7.4, 6.270588235294118)","(5.5, 8.8, 6.862500000000001)","(3.3, 3.85, 3.6142857142857143)","(15.0, 19.0, 15.8)","(21.0, 28.0, 24.32)","(2.7, 4.5, 4.234615384615385)"
08-12-2022 13:37:08.304888,"(14.0, 34.0, 28.75)","(5.5, 7.4, 5.984615384615385)","(5.5, 8.8, 6.862500000000001)","(3.3, 3.85, 3.6142857142857143)","(15.0, 19.0, 15.8)","(21.0, 28.0, 24.32)","(2.7, 4.5, 4.1684210526315795)"
08-12-2022 13:37:09.541137,"(14.0, 34.0, 28.75)","(5.5, 7.4, 5.984615384615385)","(5.5, 8.8, 6.415384615384616)","(3.3, 3.85, 3.6142857142857143)","(15.0, 19.0, 15.8)","(21.0, 28.0, 24.32)","(2.7, 4.5, 3.84)"
08-12-2022 13:37:10.830078,"(14.0, 34.0, 28.75)","(5.5, 7.4, 5.984615384615385)","(5.5, 8.8, 6.364285714285715)","(3.3, 3.85, 3.6142857142857143)","(15.0, 19.0, 15.8)","(21.0, 28.0, 24.32)","(2.7, 4.5, 3.84)"
08-12-2022 13:37:12.338013,"(14.0, 34.0, 28.75)","(5.5, 7.4, 5.984615384615385)","(5.5, 8.8, 6.364285714285715)","(3.3, 3.85, 3.6666666666666665)","(15.0, 19.0, 12.40625)","(21.0, 28.0, 24.32)","(2.7, 4.5, 3.84)"
08-12-2022 13:37:13.733974,"(14.0, 34.0, 28.75)","(5.5, 7.4, 5.984615384615385)","(5.5, 8.8, 7.4399999999999995)","(3.3, 3.85, 3.6666666666666665)","(15.0, 18.5, 15.2)","(21.0, 28.0, 24.32)","(2.7, 4.5, 3.84)"
08-12-2022 13:37:15.140982,"(14.0, 34.0, 28.75)","(5.5, 7.4, 5.75625)","(5.5, 8.6, 7.955555555555556)","(3.3, 3.85, 3.6666666666666665)","(15.0, 18.0, 15.2)","(21.0, 28.0, 24.32)","(2.7, 4.5, 3.84)"
08-12-2022 13:37:16.489431,"(14.0, 34.0, 28.75)","(5.5, 7.2, 5.75625)","(5.5, 8.6, 7.955555555555556)","(3.3, 3.85, 3.6666666666666665)","(15.0, 18.0, 15.2)","(21.0, 28.0, 24.32)","(2.7, 4.5, 3.84)"
08-12-2022 13:37:17.819815,"(14.0, 34.0, 28.75)","(5.5, 7.2, 5.75625)","(5.5, 8.6, 7.955555555555556)","(3.3, 3.85, 3.6666666666666665)","(15.0, 18.0, 15.2)","(21.0, 28.0, 24.36)","(2.7, 4.5, 3.84)"
08-12-2022 13:37:19.080804,"(14.0, 34.0, 28.75)","(5.5, 7.2, 5.75625)","(5.5, 8.6, 7.955555555555556)","(3.3, 3.85, 3.6666666666666665)","(15.0, 18.0, 15.2)","(21.0, 28.0, 21.933333333333334)","(2.7, 4.5, 3.84)"
08-12-2022 13:37:20.349885,"(14.0, 34.0, 28.75)","(5.5, 7.2, 6.1)","(5.5, 8.6, 7.955555555555556)","(3.3, 3.85, 3.6666666666666665)","(15.0, 18.0, 15.2)","(21.0, 28.0, 14.91304347826087)","(2.7, 4.5, 3.84)"
08-12-2022 13:37:21.520621,"(14.0, 34.0, 28.75)","(5.5, 7.2, 6.1)","(5.5, 8.6, 7.955555555555556)","(3.3, 3.85, 3.6666666666666665)","(15.0, 18.0, 15.2)","(21.0, 26.0, 18.759999999999998)","(2.7, 4.5, 3.84)"
08-12-2022 13:37:22.897468,"(14.0, 34.0, 28.75)","(5.5, 7.2, 6.1)","(5.5, 8.6, 8.072727272727272)","(3.3, 3.85, 3.6666666666666665)","(15.0, 18.0, 15.2)","(21.0, 25.0, 18.799999999999997)","(2.7, 4.5, 3.6799999999999997)"
08-12-2022 13:37:24.118960,"(14.0, 34.0, 28.75)","(5.5, 7.2, 6.1)","(5.5, 8.6, 8.072727272727272)","(3.3, 3.85, 3.6666666666666665)","(15.0, 18.0, 15.2)","(21.0, 28.0, 18.9)","(2.7, 4.5, 4.0636363636363635)"
08-12-2022 13:37:25.382847,"(14.0, 34.0, 28.75)","(5.5, 7.2, 6.1)","(5.5, 8.6, 7.52)","(3.3, 3.85, 3.6666666666666665)","(15.0, 18.0, 15.2)","(21.0, 28.0, 18.9)","(2.7, 4.5, 4.065714285714286)"
08-12-2022 13:37:26.622754,"(14.0, 34.0, 28.75)","(5.5, 7.2, 6.1)","(5.5, 8.6, 7.52)","(3.3, 3.85, 3.6666666666666665)","(15.0, 18.0, 15.2)","(21.0, 28.0, 18.9)","(2.7, 4.5, 4.065714285714286)"
