,Contract,Out Of Cash,Hope Sure Can,Murphys Mate,Traviss Lauryn,Lightning Zeal,First Black Jack,Nando Flyer
08-01-2023 18:44:58.141087,"(5.0, 11.0, 10.355555555555554)","(31.0, 110.0, 52.14285714285714)","(5.0, 9.8, 9.408333333333335)","(41.0, 250.0, 97.14285714285714)","(21.0, 65.0, 36.875)","(51.0, 530.0, 392.28571428571433)","(1.5, 2.38, 1.7458823529411764)","(6.5, 11.5, 9.620000000000001)"
08-01-2023 18:44:59.332355,"(5.0, 11.0, 10.355555555555554)","(31.0, 110.0, 52.14285714285714)","(5.0, 9.8, 9.408333333333335)","(41.0, 250.0, 97.14285714285714)","(21.0, 65.0, 36.875)","(51.0, 530.0, 392.28571428571433)","(1.5, 2.38, 1.7458823529411764)","(6.5, 11.5, 9.780000000000001)"
08-01-2023 18:45:00.464295,"(5.0, 11.0, 10.355555555555554)","(31.0, 110.0, 52.14285714285714)","(5.0, 9.8, 9.408333333333335)","(41.0, 250.0, 97.14285714285714)","(21.0, 65.0, 36.875)","(51.0, 530.0, 392.28571428571433)","(1.5, 2.38, 1.7458823529411764)","(6.5, 11.5, 10.375)"
08-01-2023 18:45:01.601840,"(5.0, 11.0, 10.355555555555554)","(31.0, 110.0, 52.14285714285714)","(5.0, 9.8, 9.408333333333335)","(41.0, 250.0, 97.14285714285714)","(21.0, 65.0, 36.875)","(51.0, 530.0, 392.28571428571433)","(1.5, 2.38, 1.7458823529411764)","(6.5, 11.5, 9.780000000000001)"
08-01-2023 18:45:02.818215,"(5.0, 11.0, 10.355555555555554)","(31.0, 110.0, 52.14285714285714)","(5.0, 9.8, 9.408333333333335)","(41.0, 250.0, 97.14285714285714)","(21.0, 65.0, 36.875)","(51.0, 530.0, 392.28571428571433)","(1.5, 2.38, 1.7458823529411764)","(6.5, 11.5, 9.620000000000001)"
08-01-2023 18:45:04.111045,"(5.0, 11.0, 10.355555555555554)","(31.0, 110.0, 52.14285714285714)","(5.0, 9.8, 9.408333333333335)","(41.0, 250.0, 97.14285714285714)","(21.0, 65.0, 36.875)","(51.0, 530.0, 392.28571428571433)","(1.5, 2.38, 1.7458823529411764)","(6.5, 11.5, 9.780000000000001)"
08-01-2023 18:45:05.391180,"(5.0, 11.0, 10.355555555555554)","(31.0, 110.0, 52.14285714285714)","(5.0, 9.8, 9.408333333333335)","(41.0, 250.0, 97.14285714285714)","(21.0, 65.0, 36.875)","(51.0, 530.0, 392.28571428571433)","(1.5, 2.38, 1.7458823529411764)","(6.5, 11.5, 9.7)"
08-01-2023 18:45:06.609116,"(5.0, 11.0, 10.355555555555554)","(31.0, 110.0, 52.14285714285714)","(5.0, 9.8, 9.408333333333335)","(41.0, 250.0, 97.14285714285714)","(21.0, 65.0, 36.875)","(51.0, 530.0, 392.28571428571433)","(1.5, 2.38, 1.7458823529411764)","(6.5, 11.5, 9.86)"
08-01-2023 18:45:07.814078,"(5.0, 11.0, 10.355555555555554)","(31.0, 110.0, 52.14285714285714)","(5.0, 9.8, 9.408333333333335)","(41.0, 250.0, 97.14285714285714)","(21.0, 65.0, 36.875)","(51.0, 530.0, 392.28571428571433)","(1.5, 2.38, 1.7458823529411764)","(6.5, 11.5, 10.425)"
08-01-2023 18:45:08.999836,"(5.0, 11.0, 10.355555555555554)","(31.0, 110.0, 52.14285714285714)","(5.0, 9.8, 9.408333333333335)","(41.0, 250.0, 97.14285714285714)","(21.0, 65.0, 36.875)","(51.0, 530.0, 392.28571428571433)","(1.5, 2.38, 1.7458823529411764)","(6.5, 11.5, 10.425)"
08-01-2023 18:45:10.242009,"(5.0, 11.0, 10.355555555555554)","(31.0, 110.0, 52.14285714285714)","(5.0, 9.8, 9.408333333333335)","(41.0, 250.0, 97.14285714285714)","(21.0, 65.0, 36.875)","(51.0, 530.0, 392.28571428571433)","(1.5, 2.38, 1.7458823529411764)","(6.5, 11.5, 9.86)"
08-01-2023 18:45:11.420640,"(5.0, 11.0, 10.355555555555554)","(31.0, 110.0, 52.14285714285714)","(5.0, 9.8, 9.408333333333335)","(41.0, 250.0, 97.14285714285714)","(21.0, 65.0, 36.875)","(51.0, 530.0, 392.28571428571433)","(1.5, 2.38, 1.7458823529411764)","(6.5, 11.5, 9.7)"
08-01-2023 18:45:12.626193,"(5.0, 11.0, 10.355555555555554)","(31.0, 110.0, 52.14285714285714)","(5.0, 9.8, 9.408333333333335)","(41.0, 250.0, 97.14285714285714)","(21.0, 65.0, 36.875)","(51.0, 530.0, 392.28571428571433)","(1.5, 2.38, 1.7458823529411764)","(6.5, 11.5, 10.425)"
08-01-2023 18:45:13.893987,"(5.0, 11.0, 10.355555555555554)","(31.0, 110.0, 52.14285714285714)","(5.0, 9.8, 9.408333333333335)","(41.0, 250.0, 97.14285714285714)","(21.0, 65.0, 36.875)","(51.0, 530.0, 392.28571428571433)","(1.5, 2.38, 1.7458823529411764)","(6.5, 11.5, 9.7)"
