,Alpha Raphel,Pimmy,Myka,Cracking Miss,Curious Caza,Once You Go
04-01-2023 13:17:57.289147,"(5.5, 9.4, 6.8375)","(9.0, 19.0, 18.306666666666665)","(4.8, 8.8, 6.365217391304348)","(4.6, 7.6, 5.6)","(1.95, 2.68, 2.38)","(11.0, 23.0, 14.875)"
04-01-2023 13:17:58.206787,"(5.5, 9.4, 6.8375)","(9.0, 19.0, 18.306666666666665)","(4.8, 8.8, 6.365217391304348)","(4.6, 7.6, 6.4)","(1.95, 2.68, 2.38)","(11.0, 23.0, 14.875)"
04-01-2023 13:17:59.191110,"(5.5, 9.4, 6.8375)","(9.0, 19.0, 18.306666666666665)","(4.8, 8.8, 6.365217391304348)","(4.6, 7.6, 5.533333333333333)","(1.95, 2.68, 2.38)","(11.0, 23.0, 14.875)"
04-01-2023 13:18:00.132634,"(5.5, 9.4, 6.8375)","(9.0, 19.0, 18.306666666666665)","(4.8, 8.8, 6.365217391304348)","(4.6, 7.6, 6.4)","(1.95, 2.68, 2.38)","(11.0, 23.0, 14.875)"
04-01-2023 13:18:01.249441,"(5.5, 9.4, 6.8375)","(9.0, 19.0, 18.306666666666665)","(4.8, 8.8, 6.365217391304348)","(4.6, 7.6, 6.609999999999999)","(1.95, 2.68, 2.38)","(11.0, 23.0, 14.875)"
04-01-2023 13:18:02.172484,"(5.5, 9.4, 6.8375)","(9.0, 19.0, 18.306666666666665)","(4.8, 8.8, 6.365217391304348)","(4.6, 7.6, 6.609999999999999)","(1.95, 2.68, 2.38)","(11.0, 23.0, 14.875)"
04-01-2023 13:18:03.112258,"(5.5, 9.4, 6.8375)","(9.0, 19.0, 18.306666666666665)","(4.8, 8.8, 6.365217391304348)","(4.6, 7.6, 6.609999999999999)","(1.95, 2.68, 2.38)","(11.0, 23.0, 14.875)"
04-01-2023 13:18:04.042874,"(5.5, 9.4, 6.8375)","(9.0, 19.0, 18.306666666666665)","(4.8, 8.8, 6.365217391304348)","(4.6, 7.6, 6.609999999999999)","(1.95, 2.68, 2.38)","(11.0, 23.0, 14.875)"
04-01-2023 13:18:04.960894,"(5.5, 9.4, 6.8375)","(9.0, 19.0, 18.306666666666665)","(4.8, 8.8, 6.365217391304348)","(4.6, 7.6, 6.609999999999999)","(1.95, 2.68, 2.38)","(11.0, 23.0, 14.875)"
04-01-2023 13:18:05.835244,"(5.5, 9.4, 6.8375)","(9.0, 19.0, 18.306666666666665)","(4.8, 8.8, 6.365217391304348)","(4.6, 7.6, 6.609999999999999)","(1.95, 2.68, 2.38)","(11.0, 23.0, 14.875)"
04-01-2023 13:18:06.803229,"(5.5, 9.4, 6.8375)","(9.0, 19.0, 18.306666666666665)","(4.8, 8.8, 6.365217391304348)","(4.6, 7.6, 6.609999999999999)","(1.95, 2.68, 2.38)","(11.0, 23.0, 14.875)"
04-01-2023 13:18:07.791949,"(5.5, 9.4, 6.8375)","(9.0, 19.0, 18.306666666666665)","(4.8, 8.8, 6.365217391304348)","(4.6, 7.6, 6.609999999999999)","(1.95, 2.68, 2.38)","(11.0, 23.0, 14.875)"
04-01-2023 13:18:08.717638,"(5.5, 9.4, 6.8375)","(9.0, 19.0, 18.306666666666665)","(4.8, 8.8, 6.365217391304348)","(4.6, 7.6, 6.609999999999999)","(1.95, 2.68, 2.38)","(11.0, 23.0, 14.875)"
04-01-2023 13:18:09.646004,"(5.5, 9.4, 6.8375)","(9.0, 19.0, 18.306666666666665)","(4.8, 8.8, 6.365217391304348)","(4.6, 7.6, 6.609999999999999)","(1.95, 2.68, 2.38)","(11.0, 23.0, 14.875)"
04-01-2023 13:18:10.498748,"(5.5, 9.4, 6.8375)","(9.0, 19.0, 18.306666666666665)","(4.8, 8.8, 6.365217391304348)","(4.6, 7.6, 6.609999999999999)","(1.95, 2.68, 2.38)","(11.0, 23.0, 14.875)"
04-01-2023 13:18:11.369442,"(5.5, 9.4, 6.8375)","(9.0, 19.0, 18.306666666666665)","(4.8, 8.8, 6.365217391304348)","(4.6, 7.6, 6.609999999999999)","(1.95, 2.68, 2.38)","(11.0, 23.0, 14.875)"
04-01-2023 13:18:12.274903,"(5.5, 9.4, 6.8375)","(9.0, 19.0, 18.306666666666665)","(4.8, 8.8, 6.365217391304348)","(4.6, 7.6, 6.609999999999999)","(1.95, 2.68, 2.38)","(11.0, 23.0, 14.875)"
04-01-2023 13:18:13.169488,"(5.5, 9.4, 6.8375)","(9.0, 19.0, 18.306666666666665)","(4.8, 8.8, 6.365217391304348)","(4.6, 7.6, 6.609999999999999)","(1.95, 2.68, 2.38)","(11.0, 23.0, 14.875)"
04-01-2023 13:18:14.081090,"(5.5, 9.4, 6.8375)","(9.0, 19.0, 18.306666666666665)","(4.8, 8.8, 6.365217391304348)","(4.6, 7.6, 6.609999999999999)","(1.95, 2.68, 2.38)","(11.0, 23.0, 14.875)"
04-01-2023 13:18:15.044961,"(5.5, 9.4, 6.8375)","(9.0, 19.0, 18.306666666666665)","(4.8, 8.8, 6.365217391304348)","(4.6, 7.6, 6.609999999999999)","(1.95, 2.68, 2.38)","(11.0, 23.0, 14.875)"
04-01-2023 13:18:15.960619,"(5.5, 9.4, 6.8375)","(9.0, 19.0, 18.306666666666665)","(4.8, 8.8, 6.365217391304348)","(4.6, 7.6, 6.609999999999999)","(1.95, 2.68, 2.38)","(11.0, 23.0, 14.875)"
04-01-2023 13:18:16.900394,"(5.5, 9.4, 6.8375)","(9.0, 19.0, 17.7)","(4.8, 8.8, 6.365217391304348)","(4.6, 7.6, 6.609999999999999)","(1.95, 2.68, 2.38)","(11.0, 23.0, 14.875)"
04-01-2023 13:18:18.099840,"(5.5, 9.4, 6.8375)","(9.0, 19.0, 17.7)","(4.8, 8.8, 6.365217391304348)","(4.6, 7.6, 6.609999999999999)","(1.95, 2.68, 2.38)","(11.0, 23.0, 14.875)"
04-01-2023 13:18:18.961541,"(5.5, 9.4, 6.8375)","(9.0, 19.0, 17.7)","(4.8, 8.8, 6.365217391304348)","(4.6, 7.6, 6.609999999999999)","(1.95, 2.68, 2.38)","(11.0, 23.0, 14.875)"
04-01-2023 13:18:19.923592,"(5.5, 9.4, 6.8375)","(9.0, 19.0, 17.7)","(4.8, 8.8, 6.365217391304348)","(4.6, 7.6, 6.609999999999999)","(1.95, 2.68, 2.38)","(11.0, 23.0, 14.875)"
04-01-2023 13:18:20.865146,"(5.5, 9.4, 6.8375)","(9.0, 19.0, 17.7)","(4.8, 8.8, 6.365217391304348)","(4.6, 7.6, 6.609999999999999)","(1.95, 2.68, 2.38)","(11.0, 23.0, 14.875)"
04-01-2023 13:18:21.758340,"(5.5, 9.4, 6.8375)","(9.0, 19.0, 17.7)","(4.8, 8.8, 6.365217391304348)","(4.6, 7.6, 6.609999999999999)","(1.95, 2.68, 2.38)","(11.0, 23.0, 14.875)"
04-01-2023 13:18:22.614866,"(5.5, 9.4, 6.8375)","(9.0, 19.0, 17.7)","(4.8, 8.8, 6.365217391304348)","(4.6, 7.6, 6.609999999999999)","(1.95, 2.68, 2.38)","(11.0, 23.0, 14.875)"
04-01-2023 13:18:23.589611,"(5.5, 9.4, 6.8375)","(9.0, 19.0, 17.7)","(4.8, 8.8, 6.365217391304348)","(4.6, 7.6, 6.609999999999999)","(1.95, 2.68, 2.38)","(11.0, 23.0, 14.875)"
04-01-2023 13:18:24.490469,"(5.5, 9.4, 6.8375)","(9.0, 19.0, 17.7)","(4.8, 8.8, 6.365217391304348)","(4.6, 7.6, 6.609999999999999)","(1.95, 2.68, 2.38)","(11.0, 23.0, 14.875)"
04-01-2023 13:18:25.408170,"(5.5, 9.4, 6.8375)","(9.0, 19.0, 17.7)","(4.8, 8.8, 6.365217391304348)","(4.6, 7.6, 6.609999999999999)","(1.95, 2.68, 2.38)","(11.0, 23.0, 14.875)"
04-01-2023 13:18:26.308525,"(5.5, 9.4, 6.8375)","(9.0, 19.0, 17.7)","(4.8, 8.8, 6.365217391304348)","(4.6, 7.6, 6.609999999999999)","(1.95, 2.68, 2.38)","(11.0, 23.0, 14.875)"
04-01-2023 13:18:27.258299,"(5.5, 9.4, 6.8375)","(9.0, 19.0, 17.7)","(4.8, 8.8, 6.365217391304348)","(4.6, 7.6, 6.609999999999999)","(1.95, 2.68, 2.38)","(11.0, 23.0, 14.875)"
04-01-2023 13:18:28.137243,"(5.5, 9.4, 6.8375)","(9.0, 19.0, 17.7)","(4.8, 8.8, 6.365217391304348)","(4.6, 7.6, 6.609999999999999)","(1.95, 2.68, 2.38)","(11.0, 23.0, 14.875)"
04-01-2023 13:18:29.030197,"(5.5, 9.4, 6.8375)","(9.0, 19.0, 17.7)","(4.8, 8.8, 6.365217391304348)","(4.6, 7.6, 6.609999999999999)","(1.95, 2.68, 2.38)","(11.0, 23.0, 14.875)"
04-01-2023 13:18:29.985938,"(5.5, 9.4, 6.8375)","(9.0, 19.0, 17.7)","(4.8, 8.8, 6.365217391304348)","(4.6, 7.6, 6.609999999999999)","(1.95, 2.68, 2.38)","(11.0, 23.0, 14.875)"
04-01-2023 13:18:30.959121,"(5.5, 9.4, 6.8375)","(9.0, 19.0, 17.7)","(4.8, 8.8, 6.365217391304348)","(4.6, 7.6, 6.609999999999999)","(1.95, 2.68, 2.38)","(11.0, 23.0, 14.875)"
04-01-2023 13:18:31.940096,"(5.5, 9.4, 6.8375)","(9.0, 19.0, 17.7)","(4.8, 8.8, 6.365217391304348)","(4.6, 7.6, 6.609999999999999)","(1.95, 2.68, 2.38)","(11.0, 23.0, 14.875)"
04-01-2023 13:18:32.902797,"(5.5, 9.4, 6.8375)","(9.0, 19.0, 17.7)","(4.8, 8.8, 6.365217391304348)","(4.6, 7.6, 6.609999999999999)","(1.95, 2.68, 2.38)","(11.0, 23.0, 14.875)"
04-01-2023 13:18:33.872797,"(5.5, 9.4, 6.8375)","(9.0, 19.0, 17.7)","(4.8, 8.8, 6.365217391304348)","(4.6, 7.6, 6.609999999999999)","(1.95, 2.68, 2.38)","(11.0, 23.0, 14.875)"
04-01-2023 13:18:34.769930,"(5.5, 9.4, 6.8375)","(9.0, 19.0, 17.7)","(4.8, 8.8, 6.365217391304348)","(4.6, 7.6, 6.609999999999999)","(1.95, 2.68, 2.38)","(11.0, 23.0, 14.875)"
04-01-2023 13:18:35.715632,"(5.5, 9.4, 6.8375)","(9.0, 19.0, 17.7)","(4.8, 8.8, 6.365217391304348)","(4.6, 7.6, 6.609999999999999)","(1.95, 2.68, 2.38)","(11.0, 23.0, 14.875)"
04-01-2023 13:18:36.616627,"(5.5, 9.4, 6.8375)","(9.0, 19.0, 17.7)","(4.8, 8.8, 6.365217391304348)","(4.6, 7.6, 6.609999999999999)","(1.95, 2.68, 2.38)","(11.0, 23.0, 14.875)"
04-01-2023 13:18:37.566193,"(5.5, 9.4, 6.8375)","(9.0, 19.0, 17.7)","(4.8, 8.8, 6.365217391304348)","(4.6, 7.6, 6.609999999999999)","(1.95, 2.68, 2.38)","(11.0, 23.0, 14.875)"
04-01-2023 13:18:38.530086,"(5.5, 9.4, 6.8375)","(9.0, 19.0, 17.7)","(4.8, 8.8, 6.365217391304348)","(4.6, 7.6, 6.609999999999999)","(1.95, 2.68, 2.38)","(11.0, 23.0, 14.875)"
04-01-2023 13:18:39.522401,"(5.5, 9.4, 6.8375)","(9.0, 19.0, 17.7)","(4.8, 8.8, 6.365217391304348)","(4.6, 7.6, 6.609999999999999)","(1.95, 2.68, 2.38)","(11.0, 23.0, 14.875)"
04-01-2023 13:18:40.425240,"(5.5, 9.4, 6.8375)","(9.0, 19.0, 17.7)","(4.8, 8.8, 6.365217391304348)","(4.6, 7.6, 6.609999999999999)","(1.95, 2.68, 2.38)","(11.0, 23.0, 14.875)"
04-01-2023 13:18:41.395263,"(5.5, 9.4, 6.8375)","(9.0, 19.0, 17.7)","(4.8, 8.8, 6.365217391304348)","(4.6, 7.6, 6.609999999999999)","(1.95, 2.68, 2.38)","(11.0, 23.0, 14.875)"
04-01-2023 13:18:42.393535,"(5.5, 9.4, 6.8375)","(9.0, 19.0, 17.7)","(4.8, 8.8, 6.365217391304348)","(4.6, 7.6, 6.609999999999999)","(1.95, 2.68, 2.38)","(11.0, 23.0, 14.875)"
04-01-2023 13:18:43.237579,"(5.5, 9.4, 6.8375)","(9.0, 19.0, 17.7)","(4.8, 8.8, 6.365217391304348)","(4.6, 7.6, 6.609999999999999)","(1.95, 2.68, 2.38)","(11.0, 23.0, 14.875)"
04-01-2023 13:18:44.183257,"(5.5, 9.4, 6.8375)","(9.0, 19.0, 17.7)","(4.8, 8.8, 6.365217391304348)","(4.6, 7.6, 6.609999999999999)","(1.95, 2.68, 2.38)","(11.0, 23.0, 14.875)"
04-01-2023 13:18:45.145973,"(5.5, 9.4, 6.8375)","(9.0, 19.0, 17.7)","(4.8, 8.8, 6.365217391304348)","(4.6, 7.6, 6.609999999999999)","(1.95, 2.68, 2.38)","(11.0, 23.0, 14.875)"
04-01-2023 13:18:46.119086,"(5.5, 9.4, 6.8375)","(9.0, 19.0, 17.7)","(4.8, 8.8, 6.365217391304348)","(4.6, 7.6, 6.609999999999999)","(1.95, 2.68, 2.38)","(11.0, 23.0, 14.875)"
04-01-2023 13:18:47.097304,"(5.5, 9.4, 6.8375)","(9.0, 19.0, 17.7)","(4.8, 8.8, 6.365217391304348)","(4.6, 7.6, 6.609999999999999)","(1.95, 2.68, 2.38)","(11.0, 23.0, 12.583333333333334)"
04-01-2023 13:18:48.078618,"(5.5, 9.4, 6.542857142857143)","(9.0, 19.0, 17.7)","(4.8, 8.8, 6.365217391304348)","(4.6, 7.6, 5.466666666666667)","(1.95, 2.68, 2.38)","(11.0, 23.0, 12.583333333333334)"
04-01-2023 13:18:49.038167,"(5.5, 9.4, 6.542857142857143)","(9.0, 19.0, 12.200000000000001)","(4.8, 8.8, 5.588235294117648)","(4.6, 7.6, 6.4)","(1.95, 2.68, 2.38)","(11.0, 23.0, 12.583333333333334)"
04-01-2023 13:18:49.922705,"(5.5, 9.4, 6.542857142857143)","(9.0, 19.0, 12.200000000000001)","(4.8, 8.8, 7.575)","(4.6, 7.6, 6.4375)","(1.95, 2.68, 2.38)","(11.0, 23.0, 12.583333333333334)"
04-01-2023 13:18:50.836354,"(5.5, 9.4, 6.542857142857143)","(9.0, 19.0, 12.200000000000001)","(4.8, 8.8, 7.575)","(4.6, 7.6, 7.425641025641025)","(1.95, 2.68, 2.38)","(11.0, 23.0, 12.583333333333334)"
04-01-2023 13:18:51.774431,"(5.5, 9.4, 6.542857142857143)","(9.0, 19.0, 12.200000000000001)","(4.8, 8.8, 5.423529411764706)","(4.6, 7.6, 5.533333333333333)","(1.95, 2.68, 2.38)","(11.0, 23.0, 12.583333333333334)"
04-01-2023 13:18:52.676584,"(5.5, 9.4, 6.542857142857143)","(9.0, 19.0, 12.200000000000001)","(4.8, 8.8, 5.423529411764706)","(4.6, 7.6, 5.533333333333333)","(1.95, 2.68, 2.38)","(11.0, 23.0, 12.583333333333334)"
04-01-2023 13:18:53.638299,"(5.5, 9.4, 6.542857142857143)","(9.0, 19.0, 12.200000000000001)","(4.8, 8.8, 5.423529411764706)","(4.6, 7.6, 5.6)","(1.95, 2.68, 2.38)","(11.0, 23.0, 12.583333333333334)"
04-01-2023 13:18:54.597231,"(5.5, 9.4, 6.542857142857143)","(9.0, 19.0, 12.200000000000001)","(4.8, 8.8, 7.575)","(4.6, 7.6, 6.739130434782608)","(1.95, 2.68, 2.38)","(11.0, 23.0, 12.583333333333334)"
04-01-2023 13:18:55.559677,"(5.5, 9.4, 6.542857142857143)","(9.0, 19.0, 12.200000000000001)","(4.8, 8.8, 5.588235294117648)","(4.6, 7.6, 5.2)","(1.95, 2.68, 2.4385714285714286)","(11.0, 23.0, 12.583333333333334)"
04-01-2023 13:18:56.502487,"(5.5, 9.4, 6.542857142857143)","(9.0, 19.0, 12.200000000000001)","(4.8, 8.8, 5.588235294117648)","(4.6, 7.6, 5.6)","(1.95, 2.66, 1.9868421052631577)","(11.0, 23.0, 15.666666666666668)"
04-01-2023 13:18:57.501269,"(5.5, 9.4, 6.542857142857143)","(9.0, 19.0, 12.200000000000001)","(4.8, 10.5, 5.8882352941176475)","(4.6, 7.6, 5.6)","(1.95, 2.64, 1.9868421052631577)","(11.0, 26.0, 21.571428571428573)"
04-01-2023 13:18:58.486359,"(5.5, 9.4, 6.9625)","(9.0, 19.0, 16.142857142857142)","(4.8, 10.5, 5.8882352941176475)","(4.6, 7.6, 6.314285714285714)","(1.95, 2.64, 2.033333333333333)","(11.0, 26.0, 21.571428571428573)"
04-01-2023 13:18:59.390958,"(5.5, 9.4, 6.9625)","(9.0, 19.0, 12.466666666666667)","(4.8, 10.5, 5.8882352941176475)","(4.6, 7.6, 6.314285714285714)","(1.95, 2.28, 2.0446153846153843)","(11.0, 26.0, 21.571428571428573)"
04-01-2023 13:19:00.495916,"(5.5, 9.4, 6.685714285714285)","(9.0, 19.0, 12.466666666666667)","(4.8, 10.5, 5.8882352941176475)","(4.6, 7.6, 6.4399999999999995)","(1.95, 2.26, 2.02)","(11.0, 26.0, 17.42857142857143)"
04-01-2023 13:19:01.460960,"(5.5, 9.4, 6.685714285714285)","(9.0, 19.0, 10.833333333333332)","(4.8, 10.5, 5.8882352941176475)","(4.6, 7.6, 6.4399999999999995)","(1.95, 2.26, 2.02)","(11.0, 26.0, 17.42857142857143)"
04-01-2023 13:19:02.329751,"(5.5, 9.4, 6.685714285714285)","(9.0, 19.0, 10.833333333333332)","(4.8, 10.5, 5.8882352941176475)","(4.6, 7.6, 6.4399999999999995)","(1.95, 2.26, 2.02)","(11.0, 26.0, 17.42857142857143)"
04-01-2023 13:19:03.283405,"(5.5, 9.4, 7.816666666666666)","(9.0, 19.0, 10.833333333333332)","(4.8, 10.5, 5.8882352941176475)","(4.6, 7.6, 6.4399999999999995)","(1.95, 2.26, 2.02)","(11.0, 26.0, 14.4)"
04-01-2023 13:19:04.256449,"(5.5, 9.4, 6.828571428571428)","(9.0, 19.0, 13.555555555555555)","(4.8, 10.5, 5.8882352941176475)","(4.6, 7.6, 6.4399999999999995)","(1.95, 2.26, 2.004)","(11.0, 26.0, 14.4)"
04-01-2023 13:19:05.260028,"(5.5, 9.4, 7.15)","(9.0, 19.0, 14.1)","(4.8, 10.5, 5.8882352941176475)","(4.6, 7.6, 6.8)","(1.95, 2.26, 1.9775)","(11.0, 26.0, 14.4)"
04-01-2023 13:19:06.254360,"(5.5, 9.4, 7.15)","(9.0, 19.0, 12.0)","(4.8, 10.5, 6.58)","(4.6, 7.6, 6.8)","(1.95, 2.24, 1.9775)","(11.0, 26.0, 14.4)"
04-01-2023 13:19:07.253546,"(5.5, 9.4, 7.15)","(9.0, 19.0, 14.0)","(4.8, 10.5, 6.58)","(4.6, 7.6, 6.8)","(1.95, 2.24, 1.9752941176470589)","(11.0, 26.0, 14.4)"
04-01-2023 13:19:08.263835,"(5.5, 9.4, 7.15)","(9.0, 19.0, 12.0)","(4.8, 10.5, 5.8882352941176475)","(4.6, 7.6, 6.8)","(1.95, 2.24, 1.9752941176470589)","(11.0, 26.0, 14.4)"
04-01-2023 13:19:09.178903,"(5.5, 9.4, 7.455555555555556)","(9.0, 19.0, 14.545454545454545)","(4.8, 10.5, 5.8882352941176475)","(4.6, 7.6, 6.8)","(1.95, 2.24, 1.9752941176470589)","(11.0, 26.0, 14.4)"
04-01-2023 13:19:10.095085,"(5.5, 9.4, 7.275)","(9.0, 19.0, 14.545454545454545)","(4.8, 10.5, 5.8882352941176475)","(4.6, 7.6, 6.8)","(1.95, 2.24, 1.9752941176470589)","(11.0, 26.0, 14.4)"
04-01-2023 13:19:11.071750,"(5.5, 9.4, 7.275)","(9.0, 19.0, 14.545454545454545)","(4.8, 10.5, 6.447368421052632)","(4.6, 7.6, 6.8)","(1.95, 2.24, 1.9775)","(11.0, 26.0, 14.4)"
04-01-2023 13:19:11.966964,"(5.5, 9.4, 7.4)","(9.0, 19.0, 14.545454545454545)","(4.8, 10.5, 5.7749999999999995)","(4.6, 7.6, 6.8)","(1.95, 2.2, 1.9725)","(11.0, 26.0, 14.4)"
04-01-2023 13:19:13.029036,"(5.5, 9.4, 7.4)","(9.0, 19.0, 14.545454545454545)","(4.8, 10.5, 5.7749999999999995)","(4.6, 7.6, 6.8)","(1.95, 2.2, 1.9666666666666666)","(11.0, 26.0, 14.4)"
04-01-2023 13:19:14.073037,"(5.5, 9.4, 7.4)","(9.0, 19.0, 14.545454545454545)","(4.8, 10.5, 5.7749999999999995)","(4.6, 7.6, 6.8)","(1.95, 2.18, 1.9652631578947368)","(11.0, 26.0, 14.4)"
04-01-2023 13:19:15.152231,"(5.5, 9.4, 7.455555555555556)","(9.0, 19.0, 14.545454545454545)","(4.8, 10.5, 5.7749999999999995)","(4.6, 7.6, 6.8)","(1.95, 2.18, 1.9675)","(11.0, 26.0, 14.4)"
04-01-2023 13:19:16.401801,"(5.5, 9.4, 7.941666666666667)","(9.0, 19.0, 14.1)","(4.8, 10.5, 5.7749999999999995)","(4.6, 7.6, 6.8)","(1.95, 2.16, 1.9675)","(11.0, 26.0, 14.4)"
04-01-2023 13:19:17.605420,"(5.5, 9.4, 7.275)","(9.0, 19.0, 14.1)","(4.8, 10.5, 5.7749999999999995)","(4.6, 7.6, 6.8)","(1.95, 2.16, 1.9675)","(11.0, 26.0, 14.4)"
04-01-2023 13:19:18.620553,"(5.5, 9.4, 6.316666666666666)","(9.0, 19.0, 12.142857142857142)","(4.8, 10.5, 5.7749999999999995)","(4.6, 7.6, 6.8)","(1.95, 2.16, 1.9675)","(11.0, 26.0, 14.4)"
04-01-2023 13:19:19.639675,"(5.5, 9.4, 6.316666666666666)","(9.0, 19.0, 12.142857142857142)","(4.8, 10.5, 5.7749999999999995)","(4.6, 7.6, 6.8)","(1.95, 2.16, 1.9675)","(11.0, 26.0, 14.4)"
04-01-2023 13:19:20.696692,"(5.5, 9.4, 7.718181818181819)","(9.0, 19.0, 12.142857142857142)","(4.8, 10.5, 5.7749999999999995)","(4.6, 7.6, 6.8)","(1.95, 2.16, 1.9675)","(11.0, 26.0, 14.4)"
04-01-2023 13:19:21.802610,"(5.5, 9.4, 7.4)","(9.0, 19.0, 12.142857142857142)","(4.8, 10.5, 5.7749999999999995)","(4.6, 7.6, 6.8)","(1.95, 2.16, 1.9675)","(11.0, 26.0, 14.4)"
04-01-2023 13:19:22.833290,"(5.5, 9.4, 7.4)","(9.0, 19.0, 12.142857142857142)","(4.8, 10.5, 5.7749999999999995)","(4.6, 7.6, 6.8)","(1.95, 2.16, 1.964)","(11.0, 26.0, 14.4)"
04-01-2023 13:19:23.871673,"(5.5, 9.4, 7.4)","(9.0, 19.0, 12.142857142857142)","(4.8, 10.5, 5.7749999999999995)","(4.6, 7.6, 6.8)","(1.95, 2.12, 1.9625)","(11.0, 26.0, 13.75)"
04-01-2023 13:19:24.970731,"(5.5, 9.4, 7.4)","(9.0, 19.0, 12.142857142857142)","(4.8, 10.5, 5.7749999999999995)","(4.6, 7.6, 6.8)","(1.95, 2.12, 1.9625)","(11.0, 25.0, 13.75)"
04-01-2023 13:19:26.014707,"(5.5, 9.4, 7.455555555555556)","(9.0, 19.0, 12.142857142857142)","(4.8, 10.5, 5.7749999999999995)","(4.6, 7.6, 6.8)","(1.95, 2.12, 1.9625)","(11.0, 25.0, 13.75)"
04-01-2023 13:19:27.077971,"(5.5, 9.4, 7.455555555555556)","(9.0, 19.0, 12.142857142857142)","(4.8, 10.5, 5.7749999999999995)","(4.6, 7.6, 6.8)","(1.95, 2.12, 1.9625)","(11.0, 25.0, 13.75)"
