,Sugar Shane,Aston Pride,Adelmo Bale,Clips,Winnington Bale,Poppys Pride,Limiting
10-01-2023 16:13:15.198235,"(26.0, 290.0, 72.5)","(5.5, 22.0, 18.514285714285712)","(1.45, 1.71, 1.6088888888888888)","(21.0, 60.0, 36.94444444444444)","(6.5, 11.0, 8.038235294117648)","(6.0, 12.0, 8.514285714285714)","(12.0, 46.0, 25.0625)"
10-01-2023 16:13:16.526375,"(26.0, 290.0, 72.5)","(5.5, 22.0, 18.514285714285712)","(1.45, 1.71, 1.6088888888888888)","(21.0, 60.0, 36.94444444444444)","(6.5, 11.0, 8.038235294117648)","(6.0, 12.0, 8.514285714285714)","(12.0, 46.0, 25.0625)"
10-01-2023 16:13:17.982276,"(26.0, 290.0, 145.55555555555554)","(5.5, 22.0, 18.514285714285712)","(1.45, 1.71, 1.6088888888888888)","(21.0, 60.0, 36.94444444444444)","(6.5, 11.0, 8.038235294117648)","(6.0, 12.0, 8.514285714285714)","(12.0, 46.0, 25.0625)"
10-01-2023 16:13:19.630449,"(26.0, 290.0, 145.55555555555554)","(5.5, 22.0, 18.514285714285712)","(1.45, 1.71, 1.6088888888888888)","(21.0, 60.0, 36.94444444444444)","(6.5, 11.0, 8.038235294117648)","(6.0, 12.0, 8.514285714285714)","(12.0, 46.0, 25.0625)"
10-01-2023 16:13:21.226624,"(26.0, 290.0, 145.55555555555554)","(5.5, 22.0, 18.514285714285712)","(1.45, 1.71, 1.6088888888888888)","(21.0, 60.0, 36.94444444444444)","(6.5, 11.0, 8.038235294117648)","(6.0, 12.0, 8.514285714285714)","(12.0, 46.0, 25.0625)"
10-01-2023 16:13:22.734779,"(26.0, 290.0, 145.55555555555554)","(5.5, 22.0, 18.514285714285712)","(1.45, 1.71, 1.6088888888888888)","(21.0, 60.0, 36.94444444444444)","(6.5, 11.0, 8.038235294117648)","(6.0, 12.0, 8.514285714285714)","(12.0, 46.0, 25.0625)"
10-01-2023 16:13:24.104386,"(26.0, 290.0, 145.55555555555554)","(5.5, 22.0, 18.514285714285712)","(1.45, 1.71, 1.6088888888888888)","(21.0, 60.0, 36.94444444444444)","(6.5, 11.0, 8.038235294117648)","(6.0, 12.0, 8.514285714285714)","(12.0, 46.0, 25.0625)"
10-01-2023 16:13:25.482073,"(26.0, 290.0, 145.55555555555554)","(5.5, 22.0, 18.514285714285712)","(1.45, 1.71, 1.6088888888888888)","(21.0, 60.0, 36.94444444444444)","(6.5, 11.0, 8.038235294117648)","(6.0, 12.0, 8.514285714285714)","(12.0, 46.0, 25.0625)"
10-01-2023 16:13:26.820002,"(26.0, 290.0, 145.55555555555554)","(5.5, 22.0, 18.514285714285712)","(1.45, 1.71, 1.6088888888888888)","(21.0, 60.0, 36.94444444444444)","(6.5, 11.0, 8.038235294117648)","(6.0, 12.0, 8.514285714285714)","(12.0, 46.0, 25.0625)"
10-01-2023 16:13:28.124490,"(26.0, 290.0, 145.55555555555554)","(5.5, 22.0, 18.514285714285712)","(1.45, 1.71, 1.6088888888888888)","(21.0, 60.0, 36.94444444444444)","(6.5, 11.0, 8.038235294117648)","(6.0, 12.0, 8.514285714285714)","(12.0, 46.0, 25.0625)"
10-01-2023 16:13:29.359078,"(26.0, 290.0, 145.55555555555554)","(5.5, 22.0, 18.514285714285712)","(1.45, 1.71, 1.6088888888888888)","(21.0, 60.0, 36.94444444444444)","(6.5, 11.0, 8.038235294117648)","(6.0, 12.0, 8.514285714285714)","(12.0, 46.0, 25.0625)"
10-01-2023 16:13:30.444917,"(26.0, 290.0, 145.55555555555554)","(5.5, 22.0, 18.514285714285712)","(1.45, 1.71, 1.6088888888888888)","(21.0, 60.0, 36.94444444444444)","(6.5, 11.0, 8.038235294117648)","(6.0, 12.0, 8.514285714285714)","(12.0, 46.0, 25.0625)"
10-01-2023 16:13:31.641619,"(26.0, 290.0, 145.55555555555554)","(5.5, 22.0, 18.514285714285712)","(1.45, 1.71, 1.6088888888888888)","(21.0, 60.0, 36.94444444444444)","(6.5, 11.0, 8.038235294117648)","(6.0, 12.0, 8.514285714285714)","(12.0, 46.0, 25.0625)"
10-01-2023 16:13:32.966308,"(26.0, 290.0, 145.55555555555554)","(5.5, 22.0, 18.514285714285712)","(1.45, 1.71, 1.6088888888888888)","(21.0, 60.0, 36.94444444444444)","(6.5, 11.0, 8.038235294117648)","(6.0, 12.0, 8.514285714285714)","(12.0, 46.0, 25.0625)"
10-01-2023 16:13:34.240378,"(26.0, 290.0, 145.55555555555554)","(5.5, 22.0, 18.514285714285712)","(1.45, 1.71, 1.6088888888888888)","(21.0, 60.0, 36.94444444444444)","(6.5, 11.0, 8.038235294117648)","(6.0, 12.0, 8.514285714285714)","(12.0, 46.0, 25.0625)"
10-01-2023 16:13:35.482307,"(26.0, 290.0, 145.55555555555554)","(5.5, 22.0, 18.514285714285712)","(1.45, 1.71, 1.6088888888888888)","(21.0, 60.0, 36.94444444444444)","(6.5, 11.0, 8.038235294117648)","(6.0, 12.0, 8.514285714285714)","(12.0, 46.0, 27.666666666666664)"
10-01-2023 16:13:36.587859,"(26.0, 290.0, 145.55555555555554)","(5.5, 22.0, 18.514285714285712)","(1.45, 1.71, 1.6088888888888888)","(21.0, 60.0, 36.94444444444444)","(6.5, 11.0, 8.038235294117648)","(6.0, 12.0, 8.514285714285714)","(12.0, 46.0, 27.666666666666664)"
10-01-2023 16:13:37.845266,"(26.0, 290.0, 145.55555555555554)","(5.5, 22.0, 18.514285714285712)","(1.45, 1.71, 1.6088888888888888)","(21.0, 60.0, 36.94444444444444)","(6.5, 11.0, 8.038235294117648)","(6.0, 12.0, 8.514285714285714)","(12.0, 46.0, 27.666666666666664)"
10-01-2023 16:13:39.152837,"(26.0, 290.0, 145.55555555555554)","(5.5, 22.0, 18.514285714285712)","(1.45, 1.71, 1.6088888888888888)","(21.0, 60.0, 36.94444444444444)","(6.5, 11.0, 8.038235294117648)","(6.0, 12.0, 8.514285714285714)","(12.0, 46.0, 27.666666666666664)"
10-01-2023 16:13:40.381033,"(26.0, 290.0, 145.55555555555554)","(5.5, 22.0, 18.514285714285712)","(1.45, 1.71, 1.6088888888888888)","(21.0, 60.0, 36.94444444444444)","(6.5, 11.0, 8.038235294117648)","(6.0, 12.0, 8.514285714285714)","(12.0, 46.0, 27.11111111111111)"
10-01-2023 16:13:41.595537,"(26.0, 290.0, 75.0)","(5.5, 22.0, 18.514285714285712)","(1.45, 1.71, 1.6088888888888888)","(21.0, 60.0, 36.94444444444444)","(6.5, 11.0, 8.038235294117648)","(6.0, 12.0, 8.514285714285714)","(12.0, 46.0, 25.0625)"
10-01-2023 16:13:42.725611,"(26.0, 290.0, 75.0)","(5.5, 22.0, 18.514285714285712)","(1.45, 1.71, 1.6088888888888888)","(21.0, 60.0, 36.94444444444444)","(6.5, 11.0, 8.038235294117648)","(6.0, 12.0, 8.514285714285714)","(12.0, 46.0, 25.0625)"
10-01-2023 16:13:43.832480,"(26.0, 290.0, 75.0)","(5.5, 22.0, 18.514285714285712)","(1.45, 1.71, 1.6088888888888888)","(21.0, 60.0, 36.94444444444444)","(6.5, 11.0, 8.038235294117648)","(6.0, 12.0, 8.514285714285714)","(12.0, 46.0, 25.0625)"
10-01-2023 16:13:45.075010,"(26.0, 290.0, 75.0)","(5.5, 22.0, 18.514285714285712)","(1.45, 1.71, 1.6088888888888888)","(21.0, 60.0, 36.94444444444444)","(6.5, 11.0, 8.038235294117648)","(6.0, 12.0, 8.514285714285714)","(12.0, 46.0, 25.0625)"
10-01-2023 16:13:46.270757,"(26.0, 290.0, 75.0)","(5.5, 22.0, 18.514285714285712)","(1.45, 1.71, 1.6088888888888888)","(21.0, 60.0, 36.94444444444444)","(6.5, 11.0, 8.038235294117648)","(6.0, 12.0, 8.514285714285714)","(12.0, 46.0, 25.0625)"
10-01-2023 16:13:47.415900,"(26.0, 290.0, 75.0)","(5.5, 22.0, 18.514285714285712)","(1.45, 1.71, 1.6088888888888888)","(21.0, 60.0, 36.94444444444444)","(6.5, 11.0, 8.038235294117648)","(6.0, 12.0, 8.514285714285714)","(12.0, 46.0, 25.0625)"
10-01-2023 16:13:48.570325,"(26.0, 290.0, 75.0)","(5.5, 22.0, 18.514285714285712)","(1.45, 1.71, 1.6088888888888888)","(21.0, 60.0, 36.94444444444444)","(6.5, 11.0, 8.038235294117648)","(6.0, 12.0, 8.514285714285714)","(12.0, 46.0, 25.0625)"
10-01-2023 16:13:49.613013,"(26.0, 290.0, 75.0)","(5.5, 22.0, 18.514285714285712)","(1.45, 1.71, 1.6088888888888888)","(21.0, 60.0, 36.94444444444444)","(6.5, 11.0, 8.038235294117648)","(6.0, 12.0, 8.514285714285714)","(12.0, 46.0, 25.0625)"
10-01-2023 16:13:50.642175,"(26.0, 290.0, 75.0)","(5.5, 22.0, 18.514285714285712)","(1.45, 1.71, 1.6088888888888888)","(21.0, 60.0, 36.94444444444444)","(6.5, 11.0, 8.038235294117648)","(6.0, 12.0, 8.514285714285714)","(12.0, 46.0, 25.0625)"
10-01-2023 16:13:51.749792,"(26.0, 290.0, 75.0)","(5.5, 22.0, 18.514285714285712)","(1.45, 1.71, 1.6088888888888888)","(21.0, 60.0, 36.94444444444444)","(6.5, 11.0, 8.038235294117648)","(6.0, 12.0, 8.514285714285714)","(12.0, 46.0, 25.0625)"
10-01-2023 16:13:52.891774,"(26.0, 290.0, 75.0)","(5.5, 22.0, 18.514285714285712)","(1.45, 1.71, 1.6088888888888888)","(21.0, 60.0, 36.94444444444444)","(6.5, 11.0, 8.038235294117648)","(6.0, 12.0, 8.514285714285714)","(12.0, 46.0, 32.25)"
10-01-2023 16:13:54.027906,"(26.0, 290.0, 75.0)","(5.5, 22.0, 18.514285714285712)","(1.45, 1.71, 1.6088888888888888)","(21.0, 60.0, 36.94444444444444)","(6.5, 11.0, 8.038235294117648)","(6.0, 12.0, 8.514285714285714)","(12.0, 46.0, 32.25)"
10-01-2023 16:13:55.157383,"(26.0, 290.0, 75.0)","(5.5, 22.0, 18.514285714285712)","(1.45, 1.71, 1.6088888888888888)","(21.0, 60.0, 36.94444444444444)","(6.5, 11.0, 8.038235294117648)","(6.0, 12.0, 8.514285714285714)","(12.0, 46.0, 32.25)"
10-01-2023 16:13:56.267498,"(26.0, 290.0, 72.5)","(5.5, 22.0, 18.514285714285712)","(1.45, 1.71, 1.6088888888888888)","(21.0, 60.0, 36.94444444444444)","(6.5, 11.0, 8.038235294117648)","(6.0, 12.0, 8.514285714285714)","(12.0, 46.0, 32.25)"
10-01-2023 16:13:57.407571,"(26.0, 290.0, 72.5)","(5.5, 22.0, 18.514285714285712)","(1.45, 1.71, 1.6088888888888888)","(21.0, 60.0, 36.94444444444444)","(6.5, 11.0, 8.038235294117648)","(6.0, 12.0, 8.514285714285714)","(12.0, 46.0, 25.6875)"
10-01-2023 16:13:58.522950,"(26.0, 290.0, 72.5)","(5.5, 22.0, 18.514285714285712)","(1.45, 1.71, 1.6088888888888888)","(21.0, 60.0, 36.94444444444444)","(6.5, 11.0, 8.038235294117648)","(6.0, 12.0, 8.514285714285714)","(12.0, 46.0, 25.6875)"
10-01-2023 16:13:59.568737,"(26.0, 290.0, 72.5)","(5.5, 22.0, 18.514285714285712)","(1.45, 1.71, 1.6088888888888888)","(21.0, 60.0, 36.94444444444444)","(6.5, 11.0, 8.038235294117648)","(6.0, 12.0, 8.514285714285714)","(12.0, 46.0, 25.6875)"
10-01-2023 16:14:00.625308,"(26.0, 290.0, 72.5)","(5.5, 22.0, 18.514285714285712)","(1.45, 1.71, 1.6088888888888888)","(21.0, 60.0, 36.94444444444444)","(6.5, 11.0, 8.038235294117648)","(6.0, 12.0, 8.514285714285714)","(12.0, 46.0, 25.6875)"
10-01-2023 16:14:01.611291,"(26.0, 290.0, 72.5)","(5.5, 22.0, 18.514285714285712)","(1.45, 1.71, 1.6088888888888888)","(21.0, 60.0, 36.94444444444444)","(6.5, 11.0, 8.038235294117648)","(6.0, 12.0, 8.514285714285714)","(12.0, 46.0, 25.6875)"
10-01-2023 16:14:02.776393,"(26.0, 290.0, 58.0)","(5.5, 22.0, 18.514285714285712)","(1.5, 1.71, 1.6088888888888888)","(21.0, 60.0, 37.86666666666667)","(6.5, 11.0, 9.675)","(6.0, 12.0, 8.307692307692308)","(12.0, 46.0, 28.666666666666664)"
10-01-2023 16:14:03.864409,"(26.0, 290.0, 129.3846153846154)","(5.5, 22.0, 18.514285714285712)","(1.5, 1.71, 1.6088888888888888)","(21.0, 60.0, 37.86666666666667)","(6.5, 11.0, 9.675)","(6.0, 12.0, 8.307692307692308)","(12.0, 46.0, 28.666666666666664)"
10-01-2023 16:14:04.980638,"(26.0, 290.0, 129.3846153846154)","(5.5, 22.0, 18.514285714285712)","(1.5, 1.71, 1.6088888888888888)","(21.0, 60.0, 37.86666666666667)","(6.5, 11.0, 9.675)","(6.0, 12.0, 8.307692307692308)","(12.0, 46.0, 28.666666666666664)"
10-01-2023 16:14:06.134071,"(26.0, 290.0, 129.3846153846154)","(5.5, 22.0, 18.514285714285712)","(1.5, 1.71, 1.6088888888888888)","(21.0, 60.0, 37.86666666666667)","(6.5, 11.0, 9.675)","(6.0, 12.0, 8.133333333333333)","(12.0, 46.0, 28.666666666666664)"
10-01-2023 16:14:07.174288,"(26.0, 290.0, 129.3846153846154)","(5.5, 22.0, 18.514285714285712)","(1.5, 1.71, 1.6088888888888888)","(21.0, 60.0, 37.86666666666667)","(6.5, 11.0, 9.675)","(6.0, 12.0, 8.133333333333333)","(12.0, 46.0, 28.666666666666664)"
10-01-2023 16:14:08.241504,"(26.0, 290.0, 129.3846153846154)","(5.5, 22.0, 18.514285714285712)","(1.5, 1.71, 1.6088888888888888)","(21.0, 60.0, 30.545454545454547)","(6.5, 11.0, 9.675)","(6.0, 12.0, 8.133333333333333)","(12.0, 46.0, 28.666666666666664)"
10-01-2023 16:14:09.299994,"(26.0, 290.0, 129.3846153846154)","(5.5, 22.0, 18.514285714285712)","(1.5, 1.71, 1.6088888888888888)","(21.0, 60.0, 30.545454545454547)","(6.5, 11.0, 9.675)","(6.0, 12.0, 8.133333333333333)","(12.0, 46.0, 24.666666666666664)"
10-01-2023 16:14:10.369416,"(26.0, 290.0, 129.3846153846154)","(5.5, 22.0, 18.514285714285712)","(1.5, 1.71, 1.6088888888888888)","(21.0, 60.0, 30.909090909090907)","(6.5, 11.0, 9.675)","(6.0, 12.0, 8.133333333333333)","(12.0, 46.0, 24.666666666666664)"
10-01-2023 16:14:11.565119,"(26.0, 290.0, 116.66666666666667)","(5.5, 22.0, 18.514285714285712)","(1.5, 1.71, 1.6088888888888888)","(21.0, 60.0, 30.909090909090907)","(6.5, 11.0, 9.675)","(6.0, 12.0, 8.133333333333333)","(12.0, 46.0, 24.666666666666664)"
10-01-2023 16:14:12.780283,"(26.0, 290.0, 116.66666666666667)","(5.5, 22.0, 18.514285714285712)","(1.5, 1.71, 1.6088888888888888)","(21.0, 60.0, 30.909090909090907)","(6.5, 11.0, 9.675)","(6.0, 12.0, 8.133333333333333)","(12.0, 46.0, 24.666666666666664)"
10-01-2023 16:14:13.888789,"(26.0, 290.0, 116.66666666666667)","(5.5, 22.0, 18.514285714285712)","(1.5, 1.71, 1.6088888888888888)","(21.0, 60.0, 30.909090909090907)","(6.5, 11.0, 9.675)","(6.0, 12.0, 8.133333333333333)","(12.0, 46.0, 29.200000000000003)"
10-01-2023 16:14:14.949102,"(26.0, 290.0, 116.66666666666667)","(5.5, 22.0, 18.514285714285712)","(1.5, 1.71, 1.6088888888888888)","(21.0, 60.0, 30.909090909090907)","(6.5, 11.0, 9.675)","(6.0, 12.0, 8.133333333333333)","(12.0, 46.0, 29.200000000000003)"
10-01-2023 16:14:15.911387,"(26.0, 290.0, 116.66666666666667)","(5.5, 22.0, 18.514285714285712)","(1.5, 1.71, 1.6088888888888888)","(21.0, 60.0, 30.909090909090907)","(6.5, 11.0, 9.675)","(6.0, 12.0, 8.133333333333333)","(12.0, 46.0, 29.200000000000003)"
10-01-2023 16:14:17.031482,"(26.0, 290.0, 116.66666666666667)","(5.5, 22.0, 18.514285714285712)","(1.5, 1.71, 1.6088888888888888)","(21.0, 60.0, 30.909090909090907)","(6.5, 11.0, 9.675)","(6.0, 12.0, 8.133333333333333)","(12.0, 46.0, 31.46153846153846)"
10-01-2023 16:14:18.189760,"(26.0, 290.0, 116.66666666666667)","(5.5, 22.0, 18.514285714285712)","(1.5, 1.71, 1.6088888888888888)","(21.0, 60.0, 30.909090909090907)","(6.5, 11.0, 9.675)","(6.0, 12.0, 8.133333333333333)","(12.0, 46.0, 31.46153846153846)"
10-01-2023 16:14:19.349326,"(26.0, 290.0, 116.66666666666667)","(5.5, 22.0, 18.514285714285712)","(1.5, 1.71, 1.6088888888888888)","(21.0, 60.0, 30.909090909090907)","(6.5, 11.0, 9.675)","(6.0, 12.0, 8.133333333333333)","(12.0, 46.0, 31.46153846153846)"
10-01-2023 16:14:20.436512,"(26.0, 290.0, 116.66666666666667)","(5.5, 22.0, 18.514285714285712)","(1.5, 1.71, 1.6088888888888888)","(21.0, 60.0, 30.909090909090907)","(6.5, 11.0, 9.675)","(6.0, 12.0, 8.133333333333333)","(12.0, 46.0, 31.46153846153846)"
10-01-2023 16:14:21.458418,"(26.0, 290.0, 116.66666666666667)","(5.5, 22.0, 18.514285714285712)","(1.5, 1.71, 1.6088888888888888)","(21.0, 60.0, 30.909090909090907)","(6.5, 11.0, 9.675)","(6.0, 12.0, 8.133333333333333)","(12.0, 46.0, 31.46153846153846)"
10-01-2023 16:14:22.471665,"(26.0, 290.0, 116.66666666666667)","(5.5, 22.0, 18.514285714285712)","(1.5, 1.71, 1.6088888888888888)","(21.0, 60.0, 30.909090909090907)","(6.5, 11.0, 9.675)","(6.0, 12.0, 8.133333333333333)","(12.0, 46.0, 31.46153846153846)"
10-01-2023 16:14:23.644220,"(26.0, 290.0, 116.66666666666667)","(5.5, 22.0, 18.514285714285712)","(1.5, 1.71, 1.6088888888888888)","(21.0, 60.0, 30.909090909090907)","(6.5, 11.0, 9.675)","(6.0, 12.0, 8.133333333333333)","(12.0, 46.0, 31.46153846153846)"
10-01-2023 16:14:24.823439,"(26.0, 290.0, 116.66666666666667)","(5.5, 22.0, 17.133333333333333)","(1.5, 1.71, 1.6088888888888888)","(21.0, 60.0, 30.909090909090907)","(6.5, 11.0, 7.592857142857143)","(6.0, 12.0, 8.133333333333333)","(12.0, 46.0, 45.06666666666666)"
10-01-2023 16:14:25.981987,"(26.0, 290.0, 116.66666666666667)","(5.5, 23.0, 17.133333333333333)","(1.5, 1.71, 1.6088888888888888)","(21.0, 60.0, 30.909090909090907)","(6.5, 11.0, 7.592857142857143)","(6.0, 12.0, 8.133333333333333)","(12.0, 80.0, 45.06666666666666)"
10-01-2023 16:14:27.104845,"(26.0, 290.0, 116.66666666666667)","(5.5, 23.0, 17.133333333333333)","(1.5, 1.71, 1.6088888888888888)","(21.0, 60.0, 30.909090909090907)","(6.5, 11.0, 7.592857142857143)","(6.0, 12.0, 8.133333333333333)","(12.0, 80.0, 45.06666666666666)"
10-01-2023 16:14:28.201924,"(26.0, 290.0, 116.66666666666667)","(5.5, 23.0, 17.133333333333333)","(1.5, 1.71, 1.6088888888888888)","(21.0, 60.0, 30.909090909090907)","(6.5, 11.0, 7.592857142857143)","(6.0, 12.0, 8.133333333333333)","(12.0, 80.0, 45.06666666666666)"
10-01-2023 16:14:29.223137,"(26.0, 290.0, 116.66666666666667)","(5.5, 22.0, 18.514285714285712)","(1.5, 1.71, 1.6088888888888888)","(21.0, 60.0, 30.909090909090907)","(6.5, 11.0, 7.592857142857143)","(6.0, 12.0, 8.133333333333333)","(12.0, 80.0, 45.06666666666666)"
10-01-2023 16:14:30.325715,"(26.0, 290.0, 116.66666666666667)","(5.5, 22.0, 18.514285714285712)","(1.5, 1.71, 1.6088888888888888)","(21.0, 60.0, 30.909090909090907)","(6.5, 11.0, 7.592857142857143)","(6.0, 12.0, 8.133333333333333)","(12.0, 80.0, 45.06666666666666)"
10-01-2023 16:14:31.360395,"(26.0, 290.0, 116.66666666666667)","(5.5, 22.0, 18.514285714285712)","(1.5, 1.71, 1.6088888888888888)","(21.0, 60.0, 30.909090909090907)","(6.5, 11.0, 7.592857142857143)","(6.0, 12.0, 8.133333333333333)","(12.0, 80.0, 45.06666666666666)"
10-01-2023 16:14:32.322645,"(26.0, 290.0, 116.66666666666667)","(5.5, 22.0, 18.514285714285712)","(1.5, 1.71, 1.6088888888888888)","(21.0, 60.0, 30.909090909090907)","(6.5, 11.0, 7.592857142857143)","(6.0, 12.0, 8.133333333333333)","(12.0, 80.0, 43.15625)"
10-01-2023 16:14:33.406192,"(26.0, 290.0, 116.66666666666667)","(5.5, 22.0, 18.514285714285712)","(1.5, 1.71, 1.6088888888888888)","(21.0, 60.0, 30.909090909090907)","(6.5, 11.0, 7.592857142857143)","(6.0, 12.0, 8.133333333333333)","(12.0, 80.0, 43.15625)"
10-01-2023 16:14:34.479991,"(26.0, 290.0, 116.66666666666667)","(5.5, 22.0, 18.514285714285712)","(1.5, 1.71, 1.6088888888888888)","(21.0, 60.0, 30.909090909090907)","(6.5, 11.0, 7.592857142857143)","(6.0, 12.0, 8.133333333333333)","(12.0, 80.0, 35.0)"
10-01-2023 16:14:35.564735,"(26.0, 290.0, 131.23076923076923)","(5.5, 22.0, 18.514285714285712)","(1.5, 1.71, 1.6088888888888888)","(21.0, 60.0, 30.909090909090907)","(6.5, 11.0, 7.592857142857143)","(6.0, 12.0, 8.133333333333333)","(12.0, 80.0, 35.0)"
10-01-2023 16:14:36.694606,"(26.0, 290.0, 131.23076923076923)","(5.5, 22.0, 18.514285714285712)","(1.5, 1.71, 1.6088888888888888)","(21.0, 60.0, 30.909090909090907)","(6.5, 11.0, 7.592857142857143)","(6.0, 12.0, 8.133333333333333)","(12.0, 80.0, 35.0)"
10-01-2023 16:14:37.775761,"(26.0, 290.0, 131.23076923076923)","(5.5, 22.0, 18.514285714285712)","(1.5, 1.71, 1.6088888888888888)","(21.0, 60.0, 30.909090909090907)","(6.5, 11.0, 8.644444444444446)","(6.0, 12.0, 8.133333333333333)","(12.0, 80.0, 31.625)"
10-01-2023 16:14:38.824022,"(26.0, 290.0, 131.23076923076923)","(5.5, 22.0, 18.514285714285712)","(1.5, 1.71, 1.6088888888888888)","(21.0, 60.0, 30.909090909090907)","(6.5, 11.0, 9.675)","(6.0, 12.0, 8.133333333333333)","(12.0, 80.0, 31.625)"
10-01-2023 16:14:39.966776,"(26.0, 290.0, 131.23076923076923)","(5.5, 22.0, 18.514285714285712)","(1.5, 1.71, 1.6088888888888888)","(21.0, 60.0, 30.909090909090907)","(6.5, 11.0, 9.675)","(6.0, 12.0, 8.133333333333333)","(12.0, 80.0, 31.625)"
10-01-2023 16:14:41.149639,"(26.0, 290.0, 131.23076923076923)","(5.5, 22.0, 18.514285714285712)","(1.5, 1.71, 1.6088888888888888)","(21.0, 60.0, 41.0)","(6.5, 11.0, 9.675)","(6.0, 12.0, 8.133333333333333)","(12.0, 80.0, 31.625)"
10-01-2023 16:14:42.271497,"(26.0, 290.0, 131.23076923076923)","(5.5, 22.0, 18.514285714285712)","(1.5, 1.71, 1.6088888888888888)","(21.0, 55.0, 41.0)","(6.5, 11.0, 9.675)","(6.0, 12.0, 8.133333333333333)","(12.0, 80.0, 31.625)"
10-01-2023 16:14:43.380347,"(26.0, 290.0, 131.23076923076923)","(5.5, 22.0, 18.514285714285712)","(1.5, 1.71, 1.6088888888888888)","(21.0, 55.0, 41.0)","(6.5, 11.0, 9.675)","(6.0, 12.0, 8.133333333333333)","(12.0, 80.0, 31.625)"
10-01-2023 16:14:44.317061,"(26.0, 290.0, 131.23076923076923)","(5.5, 22.0, 18.514285714285712)","(1.5, 1.71, 1.6088888888888888)","(21.0, 55.0, 41.0)","(6.5, 11.0, 9.675)","(6.0, 12.0, 8.133333333333333)","(12.0, 80.0, 31.625)"
10-01-2023 16:14:45.382399,"(26.0, 290.0, 131.23076923076923)","(5.5, 22.0, 18.514285714285712)","(1.5, 1.71, 1.6088888888888888)","(21.0, 55.0, 41.0)","(6.5, 11.0, 9.675)","(6.0, 12.0, 8.133333333333333)","(12.0, 80.0, 31.625)"
10-01-2023 16:14:46.497926,"(26.0, 290.0, 131.23076923076923)","(5.5, 22.0, 18.514285714285712)","(1.5, 1.71, 1.6088888888888888)","(21.0, 55.0, 41.0)","(6.5, 11.0, 9.675)","(6.0, 12.0, 8.133333333333333)","(12.0, 80.0, 31.625)"
