,Goldstar Larson,Shane Baxter,Opawa Barns,Its Better,Alternate Shot,Barber Cubed,Smash Ready
15-12-2022 13:22:02.616609,"(8.0, 17.5, 15.946153846153846)","(15.0, 170.0, 69.07142857142857)","(2.6, 7.2, 4.6472727272727266)","(13.0, 34.0, 31.1875)","(1.9, 3.65, 2.928125)","(16.0, 80.0, 69.08333333333333)","(12.0, 55.0, 49.4375)"
15-12-2022 13:22:03.654237,"(8.0, 17.5, 15.946153846153846)","(15.0, 170.0, 69.07142857142857)","(2.6, 7.2, 4.6472727272727266)","(13.0, 34.0, 31.1875)","(1.9, 3.65, 2.928125)","(16.0, 80.0, 69.08333333333333)","(12.0, 55.0, 49.4375)"
15-12-2022 13:22:04.833171,"(8.0, 17.5, 15.946153846153846)","(15.0, 170.0, 69.07142857142857)","(2.6, 7.2, 4.6472727272727266)","(13.0, 34.0, 31.1875)","(1.9, 3.65, 2.928125)","(16.0, 80.0, 69.08333333333333)","(12.0, 55.0, 49.4375)"
15-12-2022 13:22:06.054518,"(8.0, 17.5, 15.946153846153846)","(15.0, 170.0, 69.07142857142857)","(2.6, 7.2, 4.6472727272727266)","(13.0, 34.0, 31.1875)","(1.9, 3.65, 2.928125)","(16.0, 80.0, 69.08333333333333)","(12.0, 55.0, 49.4375)"
15-12-2022 13:22:07.234094,"(8.0, 17.5, 15.946153846153846)","(15.0, 170.0, 69.07142857142857)","(2.6, 7.2, 4.6472727272727266)","(13.0, 34.0, 31.1875)","(1.9, 3.65, 2.928125)","(16.0, 80.0, 69.08333333333333)","(12.0, 55.0, 49.4375)"
15-12-2022 13:22:08.307099,"(8.0, 17.5, 15.946153846153846)","(15.0, 170.0, 69.07142857142857)","(2.6, 7.2, 4.6472727272727266)","(13.0, 34.0, 31.1875)","(1.9, 3.65, 2.928125)","(16.0, 80.0, 69.08333333333333)","(12.0, 55.0, 49.4375)"
15-12-2022 13:22:09.420819,"(8.0, 17.5, 15.946153846153846)","(15.0, 170.0, 69.07142857142857)","(2.6, 7.2, 4.6472727272727266)","(13.0, 34.0, 31.1875)","(1.9, 3.65, 2.928125)","(16.0, 80.0, 69.08333333333333)","(12.0, 55.0, 49.4375)"
15-12-2022 13:22:10.503396,"(8.0, 17.5, 15.946153846153846)","(15.0, 170.0, 69.07142857142857)","(2.6, 7.2, 4.6472727272727266)","(13.0, 34.0, 31.1875)","(1.9, 3.65, 2.928125)","(16.0, 80.0, 69.08333333333333)","(12.0, 55.0, 49.4375)"
15-12-2022 13:22:11.577750,"(8.0, 17.5, 15.946153846153846)","(15.0, 170.0, 69.07142857142857)","(2.6, 7.2, 4.6472727272727266)","(13.0, 34.0, 31.1875)","(1.9, 3.65, 2.928125)","(16.0, 80.0, 69.08333333333333)","(12.0, 55.0, 49.4375)"
15-12-2022 13:22:12.682504,"(8.0, 17.5, 15.946153846153846)","(15.0, 170.0, 69.07142857142857)","(2.6, 7.2, 4.6472727272727266)","(13.0, 34.0, 31.1875)","(1.9, 3.65, 2.928125)","(16.0, 80.0, 69.08333333333333)","(12.0, 55.0, 49.4375)"
15-12-2022 13:22:13.663832,"(8.0, 17.5, 15.946153846153846)","(15.0, 170.0, 69.07142857142857)","(2.6, 7.2, 4.6472727272727266)","(13.0, 34.0, 31.1875)","(1.9, 3.65, 2.928125)","(16.0, 80.0, 69.08333333333333)","(12.0, 55.0, 49.4375)"
15-12-2022 13:22:14.670409,"(8.0, 17.5, 15.946153846153846)","(15.0, 170.0, 69.07142857142857)","(2.6, 7.2, 4.6472727272727266)","(13.0, 34.0, 31.1875)","(1.9, 3.65, 2.928125)","(16.0, 80.0, 69.08333333333333)","(12.0, 55.0, 49.4375)"
15-12-2022 13:22:15.650000,"(8.0, 17.5, 15.946153846153846)","(15.0, 170.0, 69.07142857142857)","(2.6, 7.2, 4.6472727272727266)","(13.0, 34.0, 31.1875)","(1.9, 3.65, 2.928125)","(16.0, 80.0, 69.08333333333333)","(12.0, 55.0, 49.4375)"
15-12-2022 13:22:16.703482,"(8.0, 17.5, 15.946153846153846)","(15.0, 170.0, 69.07142857142857)","(2.6, 7.2, 4.6472727272727266)","(13.0, 34.0, 31.1875)","(1.9, 3.65, 2.928125)","(16.0, 80.0, 69.08333333333333)","(12.0, 55.0, 49.4375)"
15-12-2022 13:22:17.792856,"(8.0, 17.5, 15.946153846153846)","(15.0, 170.0, 69.07142857142857)","(2.6, 7.2, 4.6472727272727266)","(13.0, 34.0, 31.1875)","(1.9, 3.65, 2.928125)","(16.0, 80.0, 69.08333333333333)","(12.0, 55.0, 49.4375)"
15-12-2022 13:22:18.883671,"(8.0, 17.5, 15.946153846153846)","(15.0, 170.0, 69.07142857142857)","(2.6, 7.2, 4.6472727272727266)","(13.0, 34.0, 31.1875)","(1.9, 3.65, 2.928125)","(16.0, 80.0, 69.08333333333333)","(12.0, 55.0, 49.4375)"
15-12-2022 13:22:19.983891,"(8.0, 17.5, 15.946153846153846)","(15.0, 170.0, 69.07142857142857)","(2.6, 7.2, 4.6472727272727266)","(13.0, 34.0, 31.1875)","(1.9, 3.65, 2.928125)","(16.0, 80.0, 69.08333333333333)","(12.0, 55.0, 49.4375)"
15-12-2022 13:22:21.024309,"(8.0, 17.5, 15.946153846153846)","(15.0, 170.0, 69.07142857142857)","(2.6, 7.2, 4.6472727272727266)","(13.0, 34.0, 31.1875)","(1.9, 3.65, 2.928125)","(16.0, 80.0, 69.08333333333333)","(12.0, 55.0, 49.4375)"
15-12-2022 13:22:22.286707,"(8.0, 17.5, 15.946153846153846)","(15.0, 170.0, 69.07142857142857)","(2.6, 7.2, 4.6472727272727266)","(13.0, 34.0, 31.1875)","(1.9, 3.65, 2.928125)","(16.0, 80.0, 69.08333333333333)","(12.0, 55.0, 49.4375)"
15-12-2022 13:22:23.631479,"(8.0, 17.5, 15.946153846153846)","(15.0, 170.0, 69.07142857142857)","(2.6, 7.2, 4.6472727272727266)","(13.0, 34.0, 31.1875)","(1.9, 3.65, 2.928125)","(16.0, 80.0, 69.08333333333333)","(12.0, 55.0, 49.4375)"
15-12-2022 13:22:24.680160,"(8.0, 17.5, 15.946153846153846)","(15.0, 170.0, 69.07142857142857)","(2.6, 7.2, 4.6472727272727266)","(13.0, 34.0, 31.1875)","(1.9, 3.65, 2.928125)","(16.0, 80.0, 69.08333333333333)","(12.0, 55.0, 49.4375)"
15-12-2022 13:22:25.751629,"(8.0, 17.5, 15.946153846153846)","(15.0, 170.0, 69.07142857142857)","(2.6, 7.2, 4.6472727272727266)","(13.0, 34.0, 31.1875)","(1.9, 3.65, 2.928125)","(16.0, 80.0, 69.08333333333333)","(12.0, 55.0, 49.4375)"
15-12-2022 13:22:26.958874,"(8.0, 17.5, 15.946153846153846)","(15.0, 170.0, 69.07142857142857)","(2.6, 7.2, 4.6472727272727266)","(13.0, 34.0, 31.1875)","(1.9, 3.65, 2.928125)","(16.0, 80.0, 69.08333333333333)","(12.0, 55.0, 49.4375)"
15-12-2022 13:22:28.139784,"(8.0, 17.5, 15.946153846153846)","(15.0, 170.0, 69.07142857142857)","(2.6, 7.2, 4.6472727272727266)","(13.0, 34.0, 31.1875)","(1.9, 3.65, 2.928125)","(16.0, 80.0, 69.08333333333333)","(12.0, 55.0, 49.4375)"
15-12-2022 13:22:29.341628,"(8.0, 17.5, 15.946153846153846)","(15.0, 170.0, 69.07142857142857)","(2.6, 7.2, 4.6472727272727266)","(13.0, 34.0, 31.1875)","(1.9, 3.65, 2.928125)","(16.0, 80.0, 69.08333333333333)","(12.0, 55.0, 49.4375)"
15-12-2022 13:22:30.863506,"(8.0, 17.5, 15.946153846153846)","(15.0, 170.0, 69.07142857142857)","(2.6, 7.2, 4.6472727272727266)","(13.0, 34.0, 31.1875)","(1.9, 3.65, 2.928125)","(16.0, 80.0, 69.08333333333333)","(12.0, 55.0, 49.4375)"
15-12-2022 13:22:32.159805,"(8.0, 17.5, 15.946153846153846)","(15.0, 170.0, 69.07142857142857)","(2.6, 7.2, 4.6472727272727266)","(13.0, 34.0, 31.1875)","(1.9, 3.65, 2.928125)","(16.0, 80.0, 69.08333333333333)","(12.0, 55.0, 49.4375)"
15-12-2022 13:22:33.266260,"(8.0, 17.5, 15.946153846153846)","(15.0, 170.0, 69.07142857142857)","(2.6, 7.2, 4.6472727272727266)","(13.0, 34.0, 31.1875)","(1.9, 3.65, 2.928125)","(16.0, 80.0, 69.08333333333333)","(12.0, 55.0, 49.4375)"
15-12-2022 13:22:34.372777,"(8.0, 17.5, 15.946153846153846)","(15.0, 170.0, 69.07142857142857)","(2.6, 7.2, 4.6472727272727266)","(13.0, 34.0, 31.1875)","(1.9, 3.65, 2.928125)","(16.0, 80.0, 69.08333333333333)","(12.0, 55.0, 49.4375)"
15-12-2022 13:22:35.522096,"(8.0, 17.5, 15.946153846153846)","(15.0, 170.0, 69.07142857142857)","(2.6, 7.2, 4.6472727272727266)","(13.0, 34.0, 31.1875)","(1.9, 3.65, 2.928125)","(16.0, 80.0, 69.08333333333333)","(12.0, 55.0, 49.4375)"
15-12-2022 13:22:36.736213,"(8.0, 17.5, 15.946153846153846)","(15.0, 170.0, 69.07142857142857)","(2.6, 7.2, 4.6472727272727266)","(13.0, 34.0, 31.1875)","(1.9, 3.65, 2.928125)","(16.0, 80.0, 69.08333333333333)","(12.0, 55.0, 49.4375)"
15-12-2022 13:22:37.910302,"(8.0, 17.5, 15.946153846153846)","(15.0, 170.0, 69.07142857142857)","(2.6, 7.2, 4.6472727272727266)","(13.0, 34.0, 31.1875)","(1.9, 3.65, 2.928125)","(16.0, 80.0, 69.08333333333333)","(12.0, 55.0, 49.4375)"
15-12-2022 13:22:39.064804,"(8.0, 17.5, 15.946153846153846)","(15.0, 170.0, 69.07142857142857)","(2.6, 7.2, 4.6472727272727266)","(13.0, 34.0, 31.1875)","(1.9, 3.65, 2.928125)","(16.0, 80.0, 69.08333333333333)","(12.0, 55.0, 49.4375)"
15-12-2022 13:22:40.170337,"(8.0, 17.5, 15.946153846153846)","(15.0, 170.0, 69.07142857142857)","(2.6, 7.2, 4.6472727272727266)","(13.0, 34.0, 31.1875)","(1.9, 3.65, 2.928125)","(16.0, 80.0, 69.08333333333333)","(12.0, 55.0, 49.4375)"
15-12-2022 13:22:41.278767,"(8.0, 17.5, 15.946153846153846)","(15.0, 170.0, 69.07142857142857)","(2.6, 7.2, 4.6472727272727266)","(13.0, 34.0, 31.1875)","(1.9, 3.65, 2.928125)","(16.0, 80.0, 69.08333333333333)","(12.0, 55.0, 49.4375)"
15-12-2022 13:22:42.403394,"(8.0, 17.5, 15.946153846153846)","(15.0, 170.0, 69.07142857142857)","(2.6, 7.2, 4.6472727272727266)","(13.0, 34.0, 31.1875)","(1.9, 3.65, 2.928125)","(16.0, 80.0, 69.08333333333333)","(12.0, 55.0, 49.4375)"
15-12-2022 13:22:43.586081,"(8.0, 17.5, 15.946153846153846)","(15.0, 170.0, 69.07142857142857)","(2.6, 7.2, 4.6472727272727266)","(13.0, 34.0, 31.1875)","(1.9, 3.65, 2.928125)","(16.0, 80.0, 69.08333333333333)","(12.0, 55.0, 49.4375)"
15-12-2022 13:22:44.723787,"(8.0, 17.5, 15.946153846153846)","(15.0, 170.0, 69.07142857142857)","(2.6, 7.2, 4.6472727272727266)","(13.0, 34.0, 31.1875)","(1.9, 3.65, 2.928125)","(16.0, 80.0, 69.08333333333333)","(12.0, 55.0, 49.4375)"
15-12-2022 13:22:45.937282,"(8.0, 17.5, 15.946153846153846)","(15.0, 170.0, 69.07142857142857)","(2.6, 7.2, 4.6472727272727266)","(13.0, 34.0, 31.1875)","(1.9, 3.65, 2.928125)","(16.0, 80.0, 69.08333333333333)","(12.0, 55.0, 49.4375)"
15-12-2022 13:22:47.123272,"(8.0, 17.5, 15.946153846153846)","(15.0, 170.0, 69.07142857142857)","(2.6, 7.2, 4.6472727272727266)","(13.0, 34.0, 31.1875)","(1.9, 3.65, 2.928125)","(16.0, 80.0, 69.08333333333333)","(12.0, 55.0, 49.4375)"
15-12-2022 13:22:48.273980,"(8.0, 17.5, 15.946153846153846)","(15.0, 170.0, 69.07142857142857)","(2.6, 7.2, 4.6472727272727266)","(13.0, 34.0, 31.1875)","(1.9, 3.65, 2.928125)","(16.0, 80.0, 69.08333333333333)","(12.0, 55.0, 49.4375)"
15-12-2022 13:22:49.419115,"(8.0, 17.5, 15.946153846153846)","(15.0, 170.0, 69.07142857142857)","(2.6, 7.2, 4.6472727272727266)","(13.0, 34.0, 31.1875)","(1.9, 3.65, 2.928125)","(16.0, 80.0, 69.08333333333333)","(12.0, 55.0, 49.4375)"
15-12-2022 13:22:50.602563,"(8.0, 17.5, 15.946153846153846)","(15.0, 170.0, 69.07142857142857)","(2.6, 7.2, 4.6472727272727266)","(13.0, 34.0, 31.1875)","(1.9, 3.65, 2.928125)","(16.0, 80.0, 69.08333333333333)","(12.0, 55.0, 49.4375)"
15-12-2022 13:22:51.751975,"(8.0, 17.5, 15.946153846153846)","(15.0, 170.0, 69.07142857142857)","(2.6, 7.2, 4.6472727272727266)","(13.0, 34.0, 31.1875)","(1.9, 3.65, 2.928125)","(16.0, 80.0, 69.08333333333333)","(12.0, 55.0, 49.4375)"
15-12-2022 13:22:52.943825,"(8.0, 17.5, 15.946153846153846)","(15.0, 170.0, 69.07142857142857)","(2.6, 7.2, 4.6472727272727266)","(13.0, 34.0, 31.1875)","(1.9, 3.65, 2.928125)","(16.0, 80.0, 69.08333333333333)","(12.0, 55.0, 49.4375)"
15-12-2022 13:22:54.096477,"(8.0, 17.5, 15.946153846153846)","(15.0, 170.0, 69.07142857142857)","(2.6, 7.2, 4.6472727272727266)","(13.0, 34.0, 31.1875)","(1.9, 3.65, 2.928125)","(16.0, 80.0, 69.08333333333333)","(12.0, 55.0, 49.4375)"
15-12-2022 13:22:55.104903,"(8.0, 17.5, 15.946153846153846)","(15.0, 170.0, 69.07142857142857)","(2.6, 7.2, 4.6472727272727266)","(13.0, 34.0, 31.1875)","(1.9, 3.65, 2.928125)","(16.0, 80.0, 69.08333333333333)","(12.0, 55.0, 49.4375)"
15-12-2022 13:22:56.237495,"(8.0, 17.5, 15.946153846153846)","(15.0, 170.0, 69.07142857142857)","(2.6, 7.2, 4.6472727272727266)","(13.0, 34.0, 31.1875)","(1.9, 3.65, 2.928125)","(16.0, 80.0, 69.08333333333333)","(12.0, 55.0, 49.4375)"
15-12-2022 13:22:57.328803,"(8.0, 17.5, 15.946153846153846)","(15.0, 170.0, 69.07142857142857)","(2.6, 7.2, 4.6472727272727266)","(13.0, 34.0, 31.1875)","(1.9, 3.65, 2.928125)","(16.0, 80.0, 69.08333333333333)","(12.0, 55.0, 49.4375)"
15-12-2022 13:22:58.433879,"(8.0, 17.5, 15.946153846153846)","(15.0, 170.0, 69.07142857142857)","(2.6, 7.2, 4.6472727272727266)","(13.0, 34.0, 31.1875)","(1.9, 3.65, 2.715909090909091)","(16.0, 80.0, 69.08333333333333)","(12.0, 55.0, 49.4375)"
15-12-2022 13:22:59.542968,"(8.0, 17.5, 15.946153846153846)","(15.0, 170.0, 69.07142857142857)","(2.6, 7.2, 4.6472727272727266)","(13.0, 34.0, 31.1875)","(1.9, 3.75, 2.715909090909091)","(16.0, 80.0, 69.08333333333333)","(12.0, 55.0, 49.4375)"
15-12-2022 13:23:00.550796,"(8.0, 17.5, 15.946153846153846)","(15.0, 170.0, 69.07142857142857)","(2.6, 7.2, 4.6472727272727266)","(13.0, 34.0, 31.1875)","(1.9, 3.75, 2.715909090909091)","(16.0, 80.0, 69.08333333333333)","(12.0, 55.0, 49.4375)"
15-12-2022 13:23:01.596959,"(8.0, 17.5, 15.946153846153846)","(15.0, 170.0, 69.07142857142857)","(2.6, 7.2, 4.6472727272727266)","(13.0, 34.0, 31.1875)","(1.9, 3.75, 2.715909090909091)","(16.0, 80.0, 69.08333333333333)","(12.0, 55.0, 49.4375)"
15-12-2022 13:23:02.611757,"(8.0, 17.5, 15.946153846153846)","(15.0, 170.0, 69.07142857142857)","(2.6, 7.2, 4.6472727272727266)","(13.0, 34.0, 31.1875)","(1.9, 3.75, 2.715909090909091)","(16.0, 80.0, 69.08333333333333)","(12.0, 55.0, 49.4375)"
15-12-2022 13:23:03.604129,"(8.0, 17.5, 15.946153846153846)","(15.0, 170.0, 69.07142857142857)","(2.6, 7.2, 4.6472727272727266)","(13.0, 34.0, 31.1875)","(1.9, 3.75, 2.715909090909091)","(16.0, 80.0, 69.08333333333333)","(12.0, 55.0, 49.4375)"
15-12-2022 13:23:04.655777,"(8.0, 17.5, 15.946153846153846)","(15.0, 170.0, 69.07142857142857)","(2.6, 7.2, 4.6472727272727266)","(13.0, 34.0, 31.1875)","(1.9, 3.75, 2.715909090909091)","(16.0, 80.0, 69.08333333333333)","(12.0, 55.0, 49.4375)"
15-12-2022 13:23:05.827577,"(8.0, 17.5, 15.946153846153846)","(15.0, 170.0, 69.07142857142857)","(2.6, 7.2, 4.6472727272727266)","(13.0, 34.0, 31.1875)","(1.9, 3.75, 2.715909090909091)","(16.0, 80.0, 69.08333333333333)","(12.0, 55.0, 49.4375)"
15-12-2022 13:23:06.996095,"(8.0, 17.5, 15.946153846153846)","(15.0, 170.0, 69.07142857142857)","(2.6, 7.2, 4.6472727272727266)","(13.0, 34.0, 31.1875)","(1.9, 3.75, 2.715909090909091)","(16.0, 80.0, 69.08333333333333)","(12.0, 55.0, 49.4375)"
15-12-2022 13:23:08.225238,"(8.0, 17.5, 15.946153846153846)","(15.0, 170.0, 69.07142857142857)","(2.6, 7.2, 4.6472727272727266)","(13.0, 34.0, 31.1875)","(1.9, 3.75, 2.715909090909091)","(16.0, 80.0, 69.08333333333333)","(12.0, 55.0, 49.4375)"
15-12-2022 13:23:09.362731,"(8.0, 17.5, 15.946153846153846)","(15.0, 170.0, 69.07142857142857)","(2.6, 7.2, 4.6472727272727266)","(13.0, 34.0, 31.1875)","(1.9, 3.75, 2.715909090909091)","(16.0, 80.0, 69.08333333333333)","(12.0, 55.0, 49.4375)"
15-12-2022 13:23:10.416075,"(8.0, 17.5, 15.946153846153846)","(15.0, 170.0, 69.07142857142857)","(2.6, 7.2, 4.6472727272727266)","(13.0, 34.0, 31.1875)","(1.9, 3.75, 2.928125)","(16.0, 80.0, 69.08333333333333)","(12.0, 55.0, 49.4375)"
15-12-2022 13:23:11.373145,"(8.0, 17.5, 15.946153846153846)","(15.0, 170.0, 69.07142857142857)","(2.6, 7.2, 4.6472727272727266)","(13.0, 34.0, 31.1875)","(1.9, 3.65, 2.928125)","(16.0, 80.0, 69.08333333333333)","(12.0, 55.0, 49.4375)"
15-12-2022 13:23:12.296303,"(8.0, 17.5, 15.946153846153846)","(15.0, 170.0, 69.07142857142857)","(2.6, 7.2, 4.6472727272727266)","(13.0, 34.0, 31.1875)","(1.9, 3.65, 2.928125)","(16.0, 80.0, 69.08333333333333)","(12.0, 55.0, 49.4375)"
15-12-2022 13:23:13.414776,"(8.0, 17.5, 15.946153846153846)","(15.0, 170.0, 69.07142857142857)","(2.6, 7.2, 4.6472727272727266)","(13.0, 34.0, 31.1875)","(1.9, 3.65, 2.928125)","(16.0, 80.0, 69.08333333333333)","(12.0, 55.0, 49.4375)"
15-12-2022 13:23:14.642574,"(8.0, 17.5, 15.946153846153846)","(15.0, 170.0, 69.07142857142857)","(2.6, 7.2, 4.6472727272727266)","(13.0, 34.0, 31.1875)","(1.9, 3.65, 2.928125)","(16.0, 80.0, 69.08333333333333)","(12.0, 55.0, 49.4375)"
15-12-2022 13:23:16.035316,"(8.0, 17.5, 15.946153846153846)","(15.0, 170.0, 69.07142857142857)","(2.6, 7.2, 4.6472727272727266)","(13.0, 34.0, 31.1875)","(1.9, 3.65, 2.928125)","(16.0, 80.0, 69.08333333333333)","(12.0, 55.0, 49.4375)"
15-12-2022 13:23:17.637884,"(8.0, 17.5, 15.946153846153846)","(15.0, 170.0, 69.07142857142857)","(2.6, 7.2, 4.6472727272727266)","(13.0, 34.0, 31.1875)","(1.9, 3.65, 2.928125)","(16.0, 80.0, 69.08333333333333)","(12.0, 55.0, 49.4375)"
15-12-2022 13:23:18.796393,"(8.0, 17.5, 15.946153846153846)","(15.0, 170.0, 69.07142857142857)","(2.6, 7.2, 4.6472727272727266)","(13.0, 34.0, 31.1875)","(1.9, 3.65, 2.928125)","(16.0, 80.0, 69.08333333333333)","(12.0, 55.0, 49.4375)"
15-12-2022 13:23:19.957648,"(8.0, 17.5, 15.946153846153846)","(15.0, 170.0, 69.07142857142857)","(2.6, 7.2, 4.6472727272727266)","(13.0, 34.0, 31.1875)","(1.9, 3.65, 2.928125)","(16.0, 80.0, 69.08333333333333)","(12.0, 55.0, 49.4375)"
15-12-2022 13:23:21.247350,"(8.0, 17.5, 15.946153846153846)","(15.0, 170.0, 69.07142857142857)","(2.6, 7.2, 4.6472727272727266)","(13.0, 34.0, 31.1875)","(1.9, 3.65, 2.928125)","(16.0, 80.0, 69.08333333333333)","(12.0, 55.0, 49.4375)"
15-12-2022 13:23:22.443731,"(8.0, 17.5, 15.946153846153846)","(15.0, 170.0, 69.07142857142857)","(2.6, 7.2, 4.6472727272727266)","(13.0, 34.0, 31.1875)","(1.9, 3.65, 2.928125)","(16.0, 80.0, 69.08333333333333)","(12.0, 55.0, 49.4375)"
15-12-2022 13:23:23.461951,"(8.0, 17.5, 15.946153846153846)","(15.0, 170.0, 69.07142857142857)","(2.6, 7.2, 4.6472727272727266)","(13.0, 34.0, 31.1875)","(1.9, 3.65, 2.928125)","(16.0, 80.0, 69.08333333333333)","(12.0, 55.0, 49.4375)"
15-12-2022 13:23:24.787117,"(8.0, 17.5, 15.946153846153846)","(15.0, 170.0, 69.07142857142857)","(2.6, 7.2, 4.6472727272727266)","(13.0, 34.0, 31.1875)","(1.9, 3.65, 2.928125)","(16.0, 80.0, 69.08333333333333)","(12.0, 55.0, 49.4375)"
15-12-2022 13:23:25.971996,"(8.0, 17.5, 15.946153846153846)","(15.0, 170.0, 69.07142857142857)","(2.6, 7.2, 4.6472727272727266)","(13.0, 34.0, 31.1875)","(1.9, 3.65, 2.928125)","(16.0, 80.0, 69.08333333333333)","(12.0, 55.0, 49.4375)"
15-12-2022 13:23:27.129021,"(8.0, 17.5, 15.946153846153846)","(15.0, 170.0, 69.07142857142857)","(2.6, 7.2, 4.6472727272727266)","(13.0, 34.0, 31.1875)","(1.9, 3.65, 2.928125)","(16.0, 80.0, 69.08333333333333)","(12.0, 55.0, 49.4375)"
15-12-2022 13:23:28.422169,"(8.0, 17.5, 15.946153846153846)","(15.0, 170.0, 69.07142857142857)","(2.6, 7.2, 4.6472727272727266)","(13.0, 34.0, 31.1875)","(1.9, 3.65, 2.928125)","(16.0, 80.0, 69.08333333333333)","(12.0, 55.0, 49.4375)"
15-12-2022 13:23:29.767824,"(8.0, 17.5, 15.946153846153846)","(15.0, 170.0, 69.07142857142857)","(2.6, 7.2, 4.6472727272727266)","(13.0, 34.0, 31.1875)","(1.9, 3.65, 2.928125)","(16.0, 80.0, 69.08333333333333)","(12.0, 55.0, 49.4375)"
15-12-2022 13:23:30.931360,"(8.0, 17.5, 15.946153846153846)","(15.0, 170.0, 69.07142857142857)","(2.6, 7.2, 4.6472727272727266)","(13.0, 34.0, 31.1875)","(1.9, 3.65, 2.928125)","(16.0, 80.0, 69.08333333333333)","(12.0, 55.0, 49.4375)"
15-12-2022 13:23:31.993074,"(8.0, 17.5, 15.946153846153846)","(15.0, 170.0, 69.07142857142857)","(2.6, 7.2, 4.6472727272727266)","(13.0, 34.0, 31.1875)","(1.9, 3.65, 2.928125)","(16.0, 80.0, 69.08333333333333)","(12.0, 55.0, 49.4375)"
15-12-2022 13:23:33.137415,"(8.0, 17.5, 15.946153846153846)","(15.0, 170.0, 69.07142857142857)","(2.6, 7.2, 4.6472727272727266)","(13.0, 34.0, 31.1875)","(1.9, 3.65, 2.928125)","(16.0, 80.0, 69.08333333333333)","(12.0, 55.0, 49.4375)"
