,Nakula Nz,Rock Supreme,Fortes In Fide,Major Mischief,Rosarito,Chal Be Nz,Devouged,Magicol Ideal Nz,Jingles Bromac Nz,Motu Cullen Nz
10-01-2023 15:41:02.949578,"(3.2, 99999, 99990)","(7.0, 8.6, 8.541176470588235)","(31.0, 70.0, 64.0)","(4.4, 5.6, 5.536842105263157)","(41.0, 95.0, 87.5)","(11.0, 99999, 99990)","(31.0, 50.0, 46.666666666666664)","(51.0, 99999, 99990)","(101.0, 99999, 99990)","(2.7, 99999, 99990)"
10-01-2023 15:41:04.247842,"(3.2, 99999, 99990)","(7.0, 8.6, 8.576470588235294)","(31.0, 70.0, 64.44444444444444)","(4.4, 5.6, 5.528169014084507)","(41.0, 95.0, 87.5)","(11.0, 99999, 99990)","(31.0, 48.0, 42.75)","(51.0, 99999, 99990)","(101.0, 99999, 99990)","(2.7, 99999, 99990)"
10-01-2023 15:41:05.615495,"(3.2, 99999, 99990)","(7.0, 8.8, 8.584615384615384)","(31.0, 70.0, 64.44444444444444)","(4.4, 5.6, 5.527142857142857)","(41.0, 95.0, 87.5)","(11.0, 99999, 99990)","(31.0, 48.0, 43.333333333333336)","(51.0, 99999, 99990)","(101.0, 99999, 99990)","(2.7, 99999, 99990)"
10-01-2023 15:41:06.953510,"(3.2, 99999, 99990)","(7.0, 8.8, 8.584615384615384)","(31.0, 70.0, 64.44444444444444)","(4.4, 5.6, 5.527142857142857)","(41.0, 95.0, 87.5)","(11.0, 99999, 99990)","(31.0, 46.0, 43.333333333333336)","(51.0, 99999, 99990)","(101.0, 99999, 99990)","(2.7, 99999, 99990)"
10-01-2023 15:41:08.353900,"(3.2, 99999, 99990)","(7.0, 8.8, 7.806539509536784)","(31.0, 70.0, 65.71428571428571)","(4.4, 5.6, 5.5120689655172415)","(41.0, 95.0, 88.33333333333333)","(11.0, 99999, 99990)","(31.0, 46.0, 47.2)","(51.0, 99999, 99990)","(101.0, 99999, 99990)","(2.7, 99999, 99990)"
10-01-2023 15:41:09.685825,"(3.2, 99999, 99990)","(7.0, 8.0, 7.666666666666666)","(31.0, 70.0, 65.71428571428571)","(4.4, 5.6, 5.503846153846154)","(41.0, 95.0, 88.33333333333333)","(11.0, 99999, 99990)","(31.0, 48.0, 44.36363636363636)","(51.0, 99999, 99990)","(101.0, 99999, 99990)","(2.7, 99999, 99990)"
10-01-2023 15:41:10.992096,"(3.2, 99999, 99990)","(7.0, 7.8, 8.074418604651163)","(31.0, 70.0, 65.71428571428571)","(4.4, 5.6, 5.489887640449438)","(41.0, 95.0, 88.33333333333333)","(11.0, 99999, 99990)","(31.0, 48.0, 44.36363636363636)","(51.0, 99999, 99990)","(101.0, 99999, 99990)","(2.7, 99999, 99990)"
10-01-2023 15:41:12.260326,"(3.2, 99999, 99990)","(7.0, 8.4, 8.142372881355932)","(31.0, 70.0, 66.0)","(4.4, 5.6, 5.660240963855422)","(41.0, 95.0, 88.33333333333333)","(11.0, 99999, 99990)","(31.0, 48.0, 43.2)","(51.0, 99999, 99990)","(101.0, 99999, 99990)","(2.7, 99999, 99990)"
10-01-2023 15:41:13.554290,"(3.2, 99999, 99990)","(7.0, 8.4, 8.142372881355932)","(31.0, 70.0, 66.0)","(4.4, 5.7, 5.597101449275362)","(41.0, 95.0, 88.33333333333333)","(11.0, 99999, 99990)","(31.0, 46.0, 43.55555555555556)","(51.0, 99999, 99990)","(101.0, 99999, 99990)","(2.7, 99999, 99990)"
10-01-2023 15:41:14.931797,"(3.2, 99999, 99990)","(7.0, 8.4, 8.142372881355932)","(31.0, 70.0, 66.0)","(4.4, 5.6, 5.556521739130434)","(41.0, 95.0, 88.33333333333333)","(11.0, 99999, 99990)","(31.0, 44.0, 43.55555555555556)","(51.0, 99999, 99990)","(101.0, 99999, 99990)","(2.7, 99999, 99990)"
10-01-2023 15:41:16.470266,"(3.2, 99999, 99990)","(7.0, 8.4, 8.31764705882353)","(31.0, 70.0, 66.12903225806451)","(4.4, 5.6, 5.210858324715615)","(41.0, 95.0, 88.33333333333333)","(11.0, 99999, 99990)","(31.0, 44.0, 43.27272727272727)","(51.0, 99999, 99990)","(101.0, 99999, 99990)","(2.7, 99999, 99990)"
10-01-2023 15:41:18.173459,"(3.2, 99999, 99990)","(7.0, 8.4, 8.463157894736842)","(31.0, 70.0, 64.16666666666667)","(4.4, 5.3, 5.12127659574468)","(41.0, 95.0, 90.0)","(11.0, 99999, 99990)","(31.0, 44.0, 45.0)","(51.0, 99999, 99990)","(101.0, 99999, 99990)","(2.7, 99999, 99990)"
10-01-2023 15:41:19.712440,"(3.2, 99999, 99990)","(7.0, 8.6, 8.290322580645162)","(31.0, 70.0, 64.54545454545455)","(4.4, 5.2, 5.126666666666666)","(41.0, 95.0, 92.0)","(11.0, 99999, 99990)","(31.0, 50.0, 47.2)","(51.0, 99999, 99990)","(101.0, 99999, 99990)","(2.7, 99999, 99990)"
10-01-2023 15:41:21.243292,"(3.2, 99999, 99990)","(7.0, 8.4, 8.290322580645162)","(31.0, 70.0, 65.2)","(4.4, 5.2, 5.203448275862069)","(41.0, 95.0, 92.0)","(11.0, 99999, 99990)","(31.0, 48.0, 45.333333333333336)","(51.0, 99999, 99990)","(101.0, 99999, 99990)","(2.7, 99999, 99990)"
10-01-2023 15:41:22.826007,"(3.1, 99999, 99990)","(6.5, 8.4, 8.290322580645162)","(31.0, 70.0, 65.0)","(4.4, 5.3, 5.203571428571429)","(41.0, 95.0, 92.0)","(11.0, 99999, 99990)","(31.0, 50.0, 40.63414634146341)","(51.0, 99999, 99990)","(101.0, 99999, 99990)","(2.7, 99999, 99990)"
10-01-2023 15:41:24.386553,"(3.1, 99999, 99990)","(6.5, 8.4, 8.325)","(31.0, 70.0, 65.2)","(4.4, 5.3, 5.462162162162162)","(41.0, 95.0, 92.5)","(11.0, 99999, 99990)","(31.0, 42.0, 40.13333333333333)","(51.0, 99999, 99990)","(101.0, 99999, 99990)","(2.7, 99999, 99990)"
10-01-2023 15:41:25.930634,"(3.1, 99999, 99990)","(6.5, 8.4, 8.176923076923076)","(31.0, 70.0, 65.2)","(4.4, 5.6, 5.338983050847458)","(41.0, 95.0, 86.81818181818181)","(11.0, 99999, 99990)","(31.0, 42.0, 40.13333333333333)","(51.0, 99999, 99990)","(101.0, 99999, 99990)","(2.7, 99999, 99990)"
10-01-2023 15:41:27.347856,"(3.1, 99999, 99990)","(6.5, 8.4, 8.176923076923076)","(31.0, 70.0, 65.2)","(4.4, 5.4, 5.258730158730159)","(41.0, 95.0, 82.5)","(11.0, 99999, 99990)","(31.0, 42.0, 40.13793103448276)","(51.0, 99999, 99990)","(101.0, 99999, 99990)","(2.7, 99999, 99990)"
10-01-2023 15:41:28.781362,"(3.1, 99999, 99990)","(6.5, 8.0, 7.761702127659574)","(31.0, 70.0, 65.55555555555556)","(4.4, 5.3, 5.2518518518518515)","(41.0, 95.0, 82.5)","(11.0, 99999, 99990)","(31.0, 42.0, 38.0)","(51.0, 99999, 99990)","(101.0, 99999, 99990)","(2.7, 99999, 99990)"
10-01-2023 15:41:30.170342,"(3.1, 99999, 99990)","(6.5, 8.0, 7.761702127659574)","(31.0, 70.0, 65.55555555555556)","(4.4, 5.3, 5.344230769230769)","(41.0, 95.0, 80.0)","(11.0, 99999, 99990)","(31.0, 42.0, 37.333333333333336)","(51.0, 99999, 99990)","(101.0, 99999, 99990)","(2.7, 99999, 99990)"
10-01-2023 15:41:31.696163,"(3.1, 99999, 99990)","(6.5, 7.4, 7.0790419161676645)","(31.0, 70.0, 65.55555555555556)","(4.4, 5.4, 5.3307692307692305)","(41.0, 90.0, 80.0)","(11.0, 99999, 99990)","(31.0, 40.0, 36.0)","(51.0, 99999, 99990)","(101.0, 99999, 99990)","(2.7, 99999, 99990)"
10-01-2023 15:41:33.185575,"(3.1, 99999, 99990)","(6.5, 7.0, 6.645614035087719)","(31.0, 70.0, 61.111111111111114)","(4.4, 5.5, 5.4282051282051285)","(41.0, 90.0, 80.0)","(11.0, 99999, 99990)","(31.0, 40.0, 34.857142857142854)","(51.0, 99999, 99990)","(101.0, 99999, 99990)","(2.7, 99999, 99990)"
10-01-2023 15:41:34.519615,"(3.1, 99999, 99990)","(6.5, 6.8, 6.7746031746031745)","(31.0, 70.0, 61.111111111111114)","(4.4, 5.5, 5.369135802469136)","(41.0, 90.0, 80.0)","(11.0, 99999, 99990)","(31.0, 40.0, 35.07692307692308)","(51.0, 99999, 99990)","(101.0, 99999, 99990)","(2.7, 99999, 99990)"
10-01-2023 15:41:35.906481,"(3.1, 99999, 99990)","(6.5, 6.8, 6.4530612244897965)","(31.0, 70.0, 61.111111111111114)","(4.4, 5.5, 5.405769230769231)","(41.0, 90.0, 80.0)","(11.0, 99999, 99990)","(31.0, 40.0, 36.23529411764706)","(51.0, 99999, 99990)","(101.0, 99999, 99990)","(2.7, 99999, 99990)"
10-01-2023 15:41:37.221861,"(3.1, 99999, 99990)","(6.5, 6.6, 6.500970873786407)","(31.0, 70.0, 61.111111111111114)","(4.4, 5.5, 5.439285714285715)","(41.0, 90.0, 71.25)","(12.0, 99999, 99990)","(31.0, 40.0, 37.0)","(51.0, 99999, 99990)","(101.0, 99999, 99990)","(2.7, 99999, 99990)"
10-01-2023 15:41:38.548938,"(3.1, 99999, 99990)","(6.5, 6.8, 6.4603174603174605)","(31.0, 70.0, 61.111111111111114)","(4.4, 5.5, 5.439285714285715)","(41.0, 90.0, 70.0)","(12.0, 99999, 99990)","(31.0, 38.0, 37.0)","(51.0, 99999, 99990)","(101.0, 99999, 99990)","(2.7, 99999, 99990)"
10-01-2023 15:41:39.876083,"(3.1, 99999, 99990)","(6.5, 6.6, 6.4619469026548675)","(31.0, 70.0, 62.72727272727273)","(4.4, 5.5, 5.364)","(41.0, 85.0, 69.44444444444444)","(12.0, 99999, 99990)","(31.0, 38.0, 37.0)","(51.0, 99999, 99990)","(101.0, 99999, 99990)","(2.7, 99999, 99990)"
10-01-2023 15:41:41.270722,"(3.1, 99999, 99990)","(6.5, 6.6, 6.447058823529412)","(31.0, 70.0, 64.28571428571429)","(4.4, 5.5, 5.352173913043478)","(41.0, 85.0, 69.44444444444444)","(13.0, 99999, 99990)","(31.0, 38.0, 35.2)","(51.0, 99999, 99990)","(101.0, 99999, 99990)","(2.8, 99999, 99990)"
10-01-2023 15:41:42.731691,"(3.1, 99999, 99990)","(6.5, 6.6, 6.461538461538462)","(31.0, 70.0, 64.28571428571429)","(4.4, 5.5, 5.382142857142857)","(41.0, 85.0, 69.28571428571429)","(13.0, 99999, 99990)","(31.0, 36.0, 35.0)","(51.0, 99999, 99990)","(101.0, 99999, 99990)","(2.8, 99999, 99990)"
10-01-2023 15:41:44.194234,"(3.1, 99999, 99990)","(6.5, 6.6, 6.448275862068965)","(31.0, 70.0, 61.111111111111114)","(4.4, 5.4, 5.384507042253521)","(41.0, 80.0, 68.75)","(13.0, 99999, 99990)","(31.0, 36.0, 34.73684210526316)","(51.0, 99999, 99990)","(101.0, 99999, 99990)","(2.8, 99999, 99990)"
10-01-2023 15:41:45.625483,"(3.1, 99999, 99990)","(6.5, 6.6, 6.458064516129032)","(31.0, 70.0, 62.5)","(4.4, 5.5, 5.3915662650602405)","(41.0, 80.0, 71.0)","(13.0, 99999, 99990)","(31.0, 36.0, 36.15384615384615)","(51.0, 99999, 99990)","(101.0, 99999, 99990)","(2.8, 99999, 99990)"
10-01-2023 15:41:46.978325,"(3.1, 99999, 99990)","(6.5, 6.6, 6.226794258373206)","(31.0, 70.0, 62.5)","(4.4, 5.5, 5.426229508196721)","(41.0, 80.0, 68.0)","(13.0, 99999, 99990)","(31.0, 38.0, 34.8421052631579)","(51.0, 99999, 99990)","(101.0, 99999, 99990)","(2.8, 99999, 99990)"
10-01-2023 15:41:48.346233,"(3.1, 99999, 99990)","(6.5, 6.4, 6.286206896551724)","(31.0, 70.0, 62.5)","(4.4, 5.5, 5.45)","(41.0, 75.0, 68.0)","(13.0, 99999, 99990)","(31.0, 38.0, 35.391304347826086)","(51.0, 99999, 99990)","(101.0, 99999, 99990)","(2.8, 99999, 99990)"
10-01-2023 15:41:49.846130,"(3.1, 99999, 99990)","(6.0, 6.4, 6.286206896551724)","(31.0, 70.0, 62.5)","(4.4, 5.5, 5.438805970149254)","(41.0, 75.0, 67.72727272727273)","(14.0, 99999, 99990)","(31.0, 38.0, 35.84)","(51.0, 99999, 99990)","(101.0, 99999, 99990)","(2.9, 99999, 99990)"
10-01-2023 15:41:51.418158,"(3.1, 99999, 99990)","(6.0, 6.4, 6.288888888888889)","(31.0, 70.0, 62.5)","(4.4, 5.5, 5.451219512195122)","(41.0, 75.0, 67.72727272727273)","(14.0, 99999, 99990)","(31.0, 38.0, 35.21739130434783)","(51.0, 99999, 99990)","(101.0, 99999, 99990)","(2.9, 99999, 99990)"
