,Jigamaroo,Rocknroll Da Gama,Chump Chop,Lanoch Boy,Young Conqueror Nz,Betterthan Popsy,Tungsten Terror,Allmighty Max,Rock Nien
07-01-2023 18:56:52.819029,"(2.4, 2.64, 2.54)","(16.0, 28.0, 19.0)","(14.0, 19.0, 17.8)","(5.0, 6.2, 6.042857142857143)","(21.0, 99999, 99990)","(6.5, 12.0, 9.96)","(18.0, 30.0, 26.0)","(8.0, 10.5, 8.82)","(7.0, 12.5, 10.024999999999999)"
07-01-2023 18:56:54.123123,"(2.4, 2.64, 2.54)","(16.0, 28.0, 19.0)","(14.0, 19.0, 17.8)","(5.0, 6.2, 6.042857142857143)","(21.0, 99999, 99990)","(6.5, 12.0, 9.96)","(18.0, 30.0, 26.0)","(8.0, 10.5, 8.82)","(7.0, 12.5, 10.024999999999999)"
07-01-2023 18:56:55.585369,"(2.4, 2.64, 2.54)","(16.0, 28.0, 19.0)","(14.0, 19.0, 17.8)","(5.0, 6.2, 6.042857142857143)","(21.0, 99999, 99990)","(6.5, 12.0, 9.96)","(18.0, 30.0, 26.0)","(8.0, 10.5, 8.82)","(7.0, 12.5, 10.024999999999999)"
07-01-2023 18:56:56.881742,"(2.4, 2.64, 2.54)","(16.0, 28.0, 19.0)","(14.0, 19.0, 17.8)","(5.0, 6.2, 6.042857142857143)","(21.0, 99999, 99990)","(6.5, 12.0, 9.96)","(18.0, 30.0, 26.0)","(8.0, 10.5, 8.82)","(7.0, 12.5, 10.024999999999999)"
07-01-2023 18:56:58.140619,"(2.4, 2.64, 2.54)","(16.0, 28.0, 19.0)","(14.0, 19.0, 17.8)","(5.0, 6.2, 6.042857142857143)","(21.0, 99999, 99990)","(6.5, 12.0, 9.96)","(18.0, 30.0, 26.0)","(8.0, 10.5, 8.82)","(7.0, 12.5, 10.024999999999999)"
07-01-2023 18:56:59.333160,"(2.4, 2.64, 2.54)","(16.0, 28.0, 19.0)","(14.0, 19.0, 17.8)","(5.0, 6.2, 6.042857142857143)","(21.0, 99999, 99990)","(6.5, 12.0, 9.96)","(18.0, 30.0, 26.0)","(8.0, 10.5, 8.82)","(7.0, 12.5, 10.024999999999999)"
07-01-2023 18:57:00.511852,"(2.4, 2.64, 2.54)","(16.0, 28.0, 19.0)","(14.0, 19.0, 17.8)","(5.0, 6.2, 6.042857142857143)","(21.0, 99999, 99990)","(6.5, 12.0, 9.96)","(18.0, 30.0, 26.0)","(8.0, 10.5, 8.82)","(7.0, 12.5, 10.024999999999999)"
07-01-2023 18:57:01.606272,"(2.4, 2.64, 2.54)","(16.0, 28.0, 19.0)","(14.0, 19.0, 17.8)","(5.0, 6.2, 6.042857142857143)","(21.0, 99999, 99990)","(6.5, 12.0, 9.96)","(18.0, 30.0, 26.0)","(8.0, 10.5, 8.82)","(7.0, 12.5, 10.024999999999999)"
07-01-2023 18:57:02.768167,"(2.4, 2.64, 2.54)","(16.0, 28.0, 19.0)","(14.0, 19.0, 17.8)","(5.0, 6.2, 6.042857142857143)","(21.0, 99999, 99990)","(6.5, 12.0, 9.96)","(18.0, 30.0, 26.0)","(8.0, 10.5, 8.82)","(7.0, 12.5, 10.024999999999999)"
07-01-2023 18:57:03.902225,"(2.4, 2.64, 2.54)","(16.0, 28.0, 19.0)","(14.0, 19.0, 17.8)","(5.0, 6.2, 6.042857142857143)","(21.0, 99999, 99990)","(6.5, 12.0, 9.96)","(18.0, 30.0, 26.0)","(8.0, 10.5, 8.82)","(7.0, 12.5, 10.024999999999999)"
07-01-2023 18:57:05.091008,"(2.4, 2.64, 2.54)","(16.0, 28.0, 19.0)","(14.0, 19.0, 17.166666666666668)","(5.0, 6.2, 6.042857142857143)","(21.0, 99999, 99990)","(6.5, 12.0, 9.96)","(18.0, 30.0, 26.0)","(8.0, 10.5, 8.82)","(7.0, 12.5, 10.024999999999999)"
07-01-2023 18:57:06.236125,"(2.4, 2.64, 2.54)","(16.0, 28.0, 19.0)","(14.0, 19.0, 17.166666666666668)","(5.0, 6.2, 6.042857142857143)","(21.0, 99999, 99990)","(6.5, 12.0, 9.96)","(18.0, 30.0, 26.5)","(8.0, 10.5, 8.82)","(7.0, 12.5, 10.024999999999999)"
07-01-2023 18:57:07.373835,"(2.4, 2.64, 2.54)","(16.0, 28.0, 19.0)","(14.0, 19.0, 17.166666666666668)","(5.0, 6.2, 6.042857142857143)","(21.0, 99999, 99990)","(6.5, 12.0, 9.96)","(18.0, 30.0, 26.5)","(8.0, 10.5, 8.82)","(7.0, 12.5, 10.024999999999999)"
07-01-2023 18:57:08.589990,"(2.4, 2.64, 2.54)","(16.0, 28.0, 19.0)","(14.0, 19.0, 17.166666666666668)","(5.0, 6.2, 6.042857142857143)","(21.0, 99999, 99990)","(6.5, 12.0, 9.96)","(18.0, 30.0, 26.5)","(8.0, 10.5, 8.82)","(7.0, 12.5, 10.024999999999999)"
07-01-2023 18:57:09.820258,"(2.4, 2.64, 2.54)","(16.0, 28.0, 19.0)","(14.0, 19.0, 17.166666666666668)","(5.0, 6.2, 6.042857142857143)","(21.0, 99999, 99990)","(6.5, 12.0, 9.96)","(18.0, 30.0, 26.5)","(8.0, 10.5, 8.82)","(7.0, 12.5, 10.024999999999999)"
07-01-2023 18:57:11.093860,"(2.4, 2.64, 2.54)","(16.0, 28.0, 19.0)","(14.0, 19.0, 17.166666666666668)","(5.0, 6.2, 6.042857142857143)","(21.0, 99999, 99990)","(6.5, 12.0, 9.96)","(18.0, 30.0, 26.5)","(8.0, 10.5, 8.82)","(7.0, 12.5, 10.024999999999999)"
07-01-2023 18:57:12.371174,"(2.4, 2.64, 2.54)","(16.0, 28.0, 19.0)","(14.0, 19.0, 17.166666666666668)","(5.0, 6.2, 6.042857142857143)","(21.0, 99999, 99990)","(6.5, 12.0, 9.96)","(18.0, 30.0, 26.5)","(8.0, 10.5, 8.82)","(7.0, 12.5, 10.024999999999999)"
07-01-2023 18:57:13.647939,"(2.4, 2.64, 2.54)","(16.0, 28.0, 19.0)","(14.0, 19.0, 17.166666666666668)","(5.0, 6.2, 6.042857142857143)","(21.0, 99999, 99990)","(6.5, 12.0, 9.96)","(18.0, 30.0, 26.5)","(8.0, 10.5, 9.266666666666667)","(7.0, 12.5, 10.024999999999999)"
07-01-2023 18:57:15.003943,"(2.4, 2.66, 2.586666666666667)","(16.0, 28.0, 19.0)","(14.0, 19.0, 17.166666666666668)","(5.0, 6.2, 6.0)","(21.0, 99999, 99990)","(6.5, 12.0, 9.96)","(18.0, 30.0, 27.6)","(8.0, 11.0, 9.266666666666667)","(7.0, 12.5, 9.76)"
07-01-2023 18:57:16.277205,"(2.4, 2.66, 2.586666666666667)","(16.0, 28.0, 19.0)","(14.0, 19.0, 17.166666666666668)","(5.0, 6.2, 6.0)","(21.0, 99999, 99990)","(6.5, 12.0, 9.96)","(18.0, 30.0, 27.5)","(8.0, 11.0, 9.266666666666667)","(7.0, 12.0, 9.76)"
07-01-2023 18:57:17.674319,"(2.4, 2.66, 2.586666666666667)","(16.0, 28.0, 19.0)","(14.0, 19.0, 17.166666666666668)","(5.0, 6.2, 6.0)","(21.0, 99999, 99990)","(6.5, 12.0, 9.96)","(18.0, 30.0, 29.666666666666668)","(8.0, 11.0, 9.266666666666667)","(7.0, 12.0, 9.76)"
07-01-2023 18:57:18.949392,"(2.4, 2.66, 2.586666666666667)","(16.0, 28.0, 19.0)","(14.0, 19.0, 17.166666666666668)","(5.0, 6.2, 6.0)","(21.0, 99999, 99990)","(6.5, 12.0, 9.96)","(18.0, 32.0, 29.666666666666668)","(8.0, 11.0, 9.266666666666667)","(7.0, 12.0, 9.76)"
07-01-2023 18:57:20.164569,"(2.4, 2.66, 2.586666666666667)","(16.0, 28.0, 19.0)","(14.0, 19.0, 17.166666666666668)","(5.0, 6.2, 6.071428571428571)","(21.0, 99999, 99990)","(6.5, 12.0, 9.96)","(18.0, 32.0, 29.666666666666668)","(8.0, 11.0, 9.266666666666667)","(7.0, 12.0, 9.76)"
07-01-2023 18:57:21.320501,"(2.4, 2.66, 2.586666666666667)","(16.0, 28.0, 19.0)","(14.0, 19.0, 17.166666666666668)","(5.0, 6.2, 6.071428571428571)","(21.0, 99999, 99990)","(6.5, 12.0, 9.96)","(18.0, 32.0, 29.666666666666668)","(8.0, 11.0, 9.266666666666667)","(7.0, 12.0, 9.76)"
07-01-2023 18:57:22.435274,"(2.4, 2.66, 2.586666666666667)","(16.0, 28.0, 19.0)","(14.0, 19.0, 17.166666666666668)","(5.0, 6.2, 6.071428571428571)","(21.0, 99999, 99990)","(6.5, 12.0, 9.96)","(18.0, 32.0, 29.666666666666668)","(8.0, 11.0, 9.266666666666667)","(7.0, 12.0, 9.76)"
07-01-2023 18:57:23.639566,"(2.4, 2.66, 2.586666666666667)","(16.0, 28.0, 19.0)","(14.0, 19.0, 17.166666666666668)","(5.0, 6.2, 6.071428571428571)","(21.0, 99999, 99990)","(6.5, 12.0, 9.96)","(18.0, 32.0, 29.666666666666668)","(8.0, 11.0, 9.266666666666667)","(7.0, 12.0, 9.76)"
07-01-2023 18:57:24.869646,"(2.4, 2.66, 2.586666666666667)","(16.0, 28.0, 19.0)","(14.0, 19.0, 17.166666666666668)","(5.0, 6.2, 6.071428571428571)","(21.0, 99999, 99990)","(6.5, 12.0, 9.96)","(18.0, 32.0, 29.666666666666668)","(8.0, 11.0, 9.266666666666667)","(7.0, 12.0, 9.76)"
07-01-2023 18:57:26.060046,"(2.4, 2.66, 2.586666666666667)","(16.0, 28.0, 19.0)","(14.0, 19.0, 17.166666666666668)","(5.0, 6.2, 6.071428571428571)","(21.0, 99999, 99990)","(6.5, 12.0, 9.96)","(18.0, 32.0, 29.666666666666668)","(8.0, 11.0, 9.266666666666667)","(7.0, 12.0, 9.76)"
07-01-2023 18:57:27.309490,"(2.4, 2.66, 2.586666666666667)","(16.0, 28.0, 19.0)","(14.0, 19.0, 17.166666666666668)","(5.0, 6.2, 6.071428571428571)","(21.0, 99999, 99990)","(6.5, 12.0, 9.96)","(18.0, 32.0, 29.666666666666668)","(8.0, 11.0, 9.266666666666667)","(7.0, 12.0, 9.76)"
07-01-2023 18:57:28.470737,"(2.4, 2.66, 2.586666666666667)","(16.0, 28.0, 19.0)","(14.0, 19.0, 17.166666666666668)","(5.0, 6.2, 6.071428571428571)","(21.0, 99999, 99990)","(6.5, 12.0, 9.96)","(18.0, 32.0, 29.666666666666668)","(8.0, 11.0, 9.266666666666667)","(7.0, 12.0, 9.76)"
07-01-2023 18:57:29.725453,"(2.4, 2.66, 2.586666666666667)","(16.0, 28.0, 19.0)","(14.0, 19.0, 17.166666666666668)","(5.0, 6.2, 6.071428571428571)","(21.0, 99999, 99990)","(6.5, 12.0, 9.96)","(18.0, 32.0, 29.666666666666668)","(8.0, 11.0, 9.266666666666667)","(7.0, 12.0, 9.76)"
07-01-2023 18:57:30.910234,"(2.4, 2.66, 2.586666666666667)","(16.0, 28.0, 19.0)","(14.0, 19.0, 17.166666666666668)","(5.0, 6.2, 6.071428571428571)","(21.0, 99999, 99990)","(6.5, 12.0, 9.96)","(18.0, 32.0, 29.666666666666668)","(8.0, 11.0, 9.266666666666667)","(7.0, 12.0, 9.76)"
07-01-2023 18:57:32.202514,"(2.4, 2.66, 2.586666666666667)","(16.0, 28.0, 19.0)","(14.0, 19.0, 17.166666666666668)","(5.0, 6.2, 6.071428571428571)","(21.0, 99999, 99990)","(6.5, 12.0, 9.96)","(18.0, 32.0, 29.666666666666668)","(8.0, 11.0, 9.266666666666667)","(7.0, 12.0, 9.76)"
07-01-2023 18:57:33.434214,"(2.4, 2.66, 2.586666666666667)","(16.0, 28.0, 19.0)","(14.0, 19.0, 17.166666666666668)","(5.0, 6.2, 6.071428571428571)","(21.0, 99999, 99990)","(6.5, 12.0, 9.96)","(18.0, 32.0, 29.666666666666668)","(8.0, 11.0, 9.266666666666667)","(7.0, 12.0, 9.76)"
07-01-2023 18:57:34.662720,"(2.4, 2.66, 2.586666666666667)","(16.0, 28.0, 19.0)","(14.0, 19.0, 17.166666666666668)","(5.0, 6.2, 6.071428571428571)","(21.0, 99999, 99990)","(6.5, 12.0, 9.96)","(18.0, 32.0, 29.666666666666668)","(8.0, 11.0, 9.266666666666667)","(7.0, 12.0, 9.76)"
07-01-2023 18:57:35.874844,"(2.4, 2.66, 2.586666666666667)","(16.0, 28.0, 19.0)","(14.0, 19.0, 17.166666666666668)","(5.0, 6.2, 6.071428571428571)","(21.0, 99999, 99990)","(6.5, 12.0, 9.96)","(18.0, 32.0, 29.666666666666668)","(8.0, 11.0, 9.266666666666667)","(7.0, 12.0, 9.76)"
07-01-2023 18:57:36.981414,"(2.4, 2.66, 2.586666666666667)","(16.0, 28.0, 19.0)","(14.0, 19.0, 17.166666666666668)","(5.0, 6.2, 6.071428571428571)","(21.0, 99999, 99990)","(6.5, 12.0, 9.96)","(18.0, 32.0, 29.666666666666668)","(8.0, 11.0, 9.266666666666667)","(7.0, 12.0, 9.76)"
07-01-2023 18:57:38.155486,"(2.4, 2.66, 2.586666666666667)","(16.0, 28.0, 19.0)","(14.0, 19.0, 17.166666666666668)","(5.0, 6.2, 6.071428571428571)","(21.0, 99999, 99990)","(6.5, 12.0, 9.96)","(18.0, 32.0, 29.666666666666668)","(8.0, 11.0, 9.266666666666667)","(7.0, 12.0, 9.76)"
07-01-2023 18:57:39.425022,"(2.4, 2.66, 2.586666666666667)","(16.0, 28.0, 19.0)","(14.0, 19.0, 17.166666666666668)","(5.0, 6.2, 6.071428571428571)","(21.0, 99999, 99990)","(6.5, 12.0, 9.96)","(18.0, 32.0, 29.666666666666668)","(8.0, 11.0, 9.266666666666667)","(7.0, 12.0, 9.76)"
07-01-2023 18:57:40.743551,"(2.4, 2.66, 2.586666666666667)","(16.0, 28.0, 19.0)","(14.0, 19.0, 17.166666666666668)","(5.0, 6.2, 6.071428571428571)","(21.0, 99999, 99990)","(6.5, 12.0, 9.96)","(18.0, 32.0, 29.666666666666668)","(8.0, 11.0, 9.266666666666667)","(7.0, 12.0, 9.76)"
07-01-2023 18:57:41.998859,"(2.4, 2.66, 2.586666666666667)","(16.0, 28.0, 19.0)","(14.0, 19.0, 17.166666666666668)","(5.0, 6.2, 6.071428571428571)","(21.0, 99999, 99990)","(6.5, 12.0, 9.96)","(18.0, 32.0, 29.666666666666668)","(8.0, 11.0, 9.266666666666667)","(7.0, 12.0, 9.76)"
07-01-2023 18:57:43.205452,"(2.4, 2.66, 2.586666666666667)","(16.0, 28.0, 19.0)","(14.0, 19.0, 17.166666666666668)","(5.0, 6.2, 6.071428571428571)","(21.0, 99999, 99990)","(6.5, 12.0, 9.96)","(18.0, 32.0, 29.666666666666668)","(8.0, 11.0, 9.266666666666667)","(7.0, 12.0, 9.76)"
07-01-2023 18:57:44.459212,"(2.4, 2.66, 2.586666666666667)","(16.0, 28.0, 19.0)","(14.0, 19.0, 17.166666666666668)","(5.0, 6.2, 6.071428571428571)","(21.0, 99999, 99990)","(6.5, 12.0, 9.355555555555554)","(18.0, 32.0, 29.666666666666668)","(8.0, 11.0, 9.266666666666667)","(7.0, 12.0, 9.76)"
07-01-2023 18:57:45.712152,"(2.4, 2.66, 2.586666666666667)","(16.0, 28.0, 19.0)","(14.0, 19.0, 17.166666666666668)","(5.0, 6.2, 6.071428571428571)","(21.0, 99999, 99990)","(6.5, 12.0, 9.355555555555554)","(18.0, 32.0, 29.666666666666668)","(8.0, 11.0, 9.266666666666667)","(7.0, 12.0, 9.76)"
07-01-2023 18:57:46.858739,"(2.4, 2.66, 2.586666666666667)","(16.0, 28.0, 19.0)","(14.0, 19.0, 17.166666666666668)","(5.0, 6.2, 6.071428571428571)","(21.0, 99999, 99990)","(6.5, 12.0, 9.355555555555554)","(18.0, 32.0, 29.666666666666668)","(8.0, 11.0, 9.266666666666667)","(7.0, 12.0, 9.76)"
07-01-2023 18:57:48.189322,"(2.4, 2.66, 2.586666666666667)","(16.0, 28.0, 19.0)","(14.0, 19.0, 17.166666666666668)","(5.0, 6.2, 6.071428571428571)","(21.0, 99999, 99990)","(6.5, 12.0, 9.355555555555554)","(18.0, 32.0, 29.666666666666668)","(8.0, 11.0, 9.266666666666667)","(7.0, 12.0, 9.76)"
07-01-2023 18:57:49.455987,"(2.4, 2.66, 2.586666666666667)","(16.0, 28.0, 19.0)","(14.0, 19.0, 17.166666666666668)","(5.0, 6.2, 6.071428571428571)","(21.0, 99999, 99990)","(6.5, 12.0, 9.355555555555554)","(18.0, 32.0, 29.666666666666668)","(8.0, 11.0, 9.266666666666667)","(7.0, 12.0, 9.76)"
07-01-2023 18:57:50.672835,"(2.4, 2.66, 2.586666666666667)","(16.0, 28.0, 19.0)","(14.0, 19.0, 17.166666666666668)","(5.0, 6.2, 6.071428571428571)","(21.0, 99999, 99990)","(6.5, 12.0, 9.355555555555554)","(18.0, 32.0, 29.666666666666668)","(8.0, 11.0, 9.266666666666667)","(7.0, 12.0, 9.76)"
07-01-2023 18:57:51.918512,"(2.4, 2.66, 2.586666666666667)","(16.0, 28.0, 19.0)","(14.0, 19.0, 17.166666666666668)","(5.0, 6.2, 6.071428571428571)","(21.0, 99999, 99990)","(6.5, 12.0, 9.355555555555554)","(18.0, 32.0, 29.666666666666668)","(8.0, 11.0, 9.266666666666667)","(7.0, 12.0, 9.76)"
07-01-2023 18:57:53.059121,"(2.4, 2.66, 2.586666666666667)","(16.0, 28.0, 19.0)","(14.0, 19.0, 17.166666666666668)","(5.0, 6.2, 6.071428571428571)","(21.0, 99999, 99990)","(6.5, 12.0, 9.355555555555554)","(18.0, 32.0, 29.666666666666668)","(8.0, 11.0, 9.266666666666667)","(7.0, 12.0, 9.76)"
07-01-2023 18:57:54.261819,"(2.4, 2.66, 2.586666666666667)","(16.0, 28.0, 19.0)","(14.0, 19.0, 17.166666666666668)","(5.0, 6.2, 6.071428571428571)","(21.0, 99999, 99990)","(6.5, 12.0, 9.355555555555554)","(18.0, 32.0, 29.666666666666668)","(8.0, 11.0, 9.266666666666667)","(7.0, 12.0, 9.76)"
07-01-2023 18:57:55.549938,"(2.4, 2.66, 2.586666666666667)","(16.0, 28.0, 19.0)","(14.0, 19.0, 17.166666666666668)","(5.0, 6.2, 6.071428571428571)","(21.0, 99999, 99990)","(6.5, 12.0, 9.355555555555554)","(18.0, 32.0, 29.666666666666668)","(8.0, 11.0, 9.266666666666667)","(7.0, 12.0, 9.76)"
07-01-2023 18:57:56.826535,"(2.4, 2.66, 2.586666666666667)","(16.0, 28.0, 19.0)","(14.0, 19.0, 17.166666666666668)","(5.0, 6.2, 6.071428571428571)","(21.0, 99999, 99990)","(6.5, 12.0, 9.355555555555554)","(18.0, 32.0, 29.666666666666668)","(8.0, 11.0, 9.266666666666667)","(7.0, 12.0, 9.76)"
07-01-2023 18:57:58.148161,"(2.4, 2.66, 2.586666666666667)","(16.0, 28.0, 19.0)","(14.0, 19.0, 17.166666666666668)","(5.0, 6.2, 6.071428571428571)","(21.0, 99999, 99990)","(6.5, 12.0, 9.355555555555554)","(18.0, 32.0, 29.666666666666668)","(8.0, 11.0, 9.266666666666667)","(7.0, 12.0, 9.76)"
07-01-2023 18:57:59.298461,"(2.4, 2.66, 2.586666666666667)","(16.0, 28.0, 19.0)","(14.0, 19.0, 17.166666666666668)","(5.0, 6.2, 6.071428571428571)","(21.0, 99999, 99990)","(6.5, 12.0, 9.355555555555554)","(18.0, 32.0, 29.666666666666668)","(8.0, 11.0, 9.266666666666667)","(7.0, 12.0, 9.76)"
07-01-2023 18:58:00.475068,"(2.4, 2.66, 2.586666666666667)","(16.0, 28.0, 19.0)","(14.0, 19.0, 17.166666666666668)","(5.0, 6.2, 6.071428571428571)","(21.0, 99999, 99990)","(6.5, 12.0, 9.355555555555554)","(18.0, 32.0, 29.666666666666668)","(8.0, 11.0, 9.266666666666667)","(7.0, 12.0, 9.76)"
07-01-2023 18:58:01.601121,"(2.4, 2.66, 2.586666666666667)","(16.0, 28.0, 19.0)","(14.0, 19.0, 17.166666666666668)","(5.0, 6.2, 6.071428571428571)","(21.0, 99999, 99990)","(6.5, 12.0, 9.355555555555554)","(18.0, 32.0, 29.666666666666668)","(8.0, 11.0, 9.266666666666667)","(7.0, 12.0, 9.76)"
07-01-2023 18:58:02.846497,"(2.4, 2.66, 2.586666666666667)","(16.0, 28.0, 19.0)","(14.0, 19.0, 17.166666666666668)","(5.0, 6.2, 6.071428571428571)","(21.0, 99999, 99990)","(6.5, 12.0, 9.355555555555554)","(18.0, 32.0, 29.666666666666668)","(8.0, 11.0, 9.266666666666667)","(7.0, 12.0, 9.76)"
