,Bring Your Best,Hacienda Heights,Tommys Luck,Nuclear Bling,Logan Reason,Speedy Sport,Fire Up Lexy,Logan Dream,Meraki,Dawson Shard Nz
07-12-2022 19:37:08.234950,"(5.5, 8.0, 7.699999999999999)","(17.0, 38.0, 20.375)","(10.0, 18.5, 13.55)","(81.0, 530.0, 365.71428571428567)","(3.6, 6.0, 5.328571428571429)","(81.0, 420.0, 280.0)","(4.2, 7.4, 5.266666666666667)","(20.0, 48.0, 36.2)","(4.6, 6.6, 5.2)","(6.0, 99999, 99990)"
07-12-2022 19:37:09.919858,"(5.5, 7.8, 11.379999999999999)","(17.0, 38.0, 20.375)","(10.0, 18.5, 13.55)","(81.0, 530.0, 438.18181818181813)","(3.6, 6.0, 5.328571428571429)","(81.0, 420.0, 280.0)","(4.2, 7.4, 5.266666666666667)","(20.0, 48.0, 36.2)","(4.6, 6.6, 5.2)","(6.0, 99999, 99990)"
07-12-2022 19:37:11.766794,"(5.5, 13.0, 7.894736842105263)","(17.0, 38.0, 20.375)","(10.0, 18.5, 13.55)","(81.0, 520.0, 438.18181818181813)","(3.6, 6.0, 5.328571428571429)","(81.0, 420.0, 280.0)","(4.2, 7.4, 5.266666666666667)","(20.0, 48.0, 36.2)","(4.6, 6.6, 5.2)","(6.0, 99999, 99990)"
07-12-2022 19:37:13.449366,"(5.5, 8.0, 7.894736842105263)","(17.0, 38.0, 20.375)","(10.0, 18.5, 13.55)","(81.0, 520.0, 438.18181818181813)","(3.6, 6.0, 5.328571428571429)","(81.0, 420.0, 280.0)","(4.2, 7.4, 5.266666666666667)","(20.0, 48.0, 36.2)","(4.6, 6.6, 5.2)","(6.0, 99999, 99990)"
07-12-2022 19:37:15.653855,"(5.5, 8.0, 11.03)","(17.0, 38.0, 20.375)","(10.0, 18.5, 13.55)","(81.0, 520.0, 438.18181818181813)","(3.6, 6.0, 5.328571428571429)","(81.0, 420.0, 280.0)","(4.2, 7.4, 5.266666666666667)","(20.0, 48.0, 36.2)","(4.6, 6.6, 5.2)","(6.0, 99999, 99990)"
07-12-2022 19:37:17.449698,"(5.5, 12.5, 11.223529411764705)","(17.0, 38.0, 20.375)","(10.0, 18.5, 16.025)","(81.0, 520.0, 438.18181818181813)","(3.6, 6.0, 5.425)","(81.0, 420.0, 280.0)","(4.2, 7.4, 5.266666666666667)","(20.0, 48.0, 36.2)","(4.6, 6.6, 5.2)","(6.0, 99999, 99990)"
07-12-2022 19:37:19.247176,"(5.5, 12.0, 7.74)","(17.0, 38.0, 20.375)","(10.0, 18.5, 12.033333333333333)","(81.0, 520.0, 438.18181818181813)","(3.6, 6.0, 5.425)","(81.0, 420.0, 280.0)","(4.2, 7.4, 5.266666666666667)","(20.0, 48.0, 36.2)","(4.6, 6.6, 5.2)","(6.0, 99999, 99990)"
07-12-2022 19:37:21.098072,"(5.5, 7.8, 7.62)","(17.0, 38.0, 20.375)","(10.0, 18.5, 12.033333333333333)","(81.0, 520.0, 430.0)","(3.6, 6.0, 5.425)","(81.0, 420.0, 280.0)","(4.2, 7.4, 5.266666666666667)","(20.0, 48.0, 36.2)","(4.6, 6.6, 5.2)","(6.0, 99999, 99990)"
07-12-2022 19:37:22.880479,"(5.5, 7.8, 7.731428571428571)","(17.0, 38.0, 20.375)","(10.0, 18.5, 16.025)","(81.0, 510.0, 430.0)","(3.6, 6.0, 5.425)","(81.0, 420.0, 280.0)","(4.2, 7.4, 5.266666666666667)","(20.0, 48.0, 36.2)","(4.6, 6.6, 5.2)","(6.0, 99999, 99990)"
07-12-2022 19:37:24.572083,"(5.5, 7.8, 10.588888888888889)","(17.0, 38.0, 20.375)","(10.0, 18.5, 16.025)","(81.0, 510.0, 421.81818181818187)","(3.6, 6.0, 5.425)","(81.0, 420.0, 280.0)","(4.2, 7.4, 5.266666666666667)","(20.0, 48.0, 36.2)","(4.6, 6.6, 5.2)","(6.0, 99999, 99990)"
07-12-2022 19:37:26.405133,"(5.5, 11.5, 10.78695652173913)","(17.0, 38.0, 20.375)","(10.0, 18.5, 16.025)","(81.0, 500.0, 421.81818181818187)","(3.6, 6.0, 5.425)","(81.0, 420.0, 280.0)","(4.2, 7.4, 5.266666666666667)","(20.0, 48.0, 36.2)","(4.6, 6.6, 5.2)","(6.0, 99999, 99990)"
07-12-2022 19:37:28.152643,"(5.5, 11.5, 8.258823529411766)","(17.0, 38.0, 20.375)","(10.0, 18.5, 16.025)","(81.0, 500.0, 421.81818181818187)","(3.6, 6.0, 5.425)","(81.0, 420.0, 280.0)","(4.2, 7.4, 5.266666666666667)","(20.0, 48.0, 36.2)","(4.6, 6.6, 5.2)","(6.0, 99999, 99990)"
07-12-2022 19:37:29.778814,"(5.5, 8.4, 8.258823529411766)","(17.0, 38.0, 20.375)","(10.0, 18.5, 16.025)","(81.0, 500.0, 421.81818181818187)","(3.6, 6.0, 5.425)","(81.0, 420.0, 280.0)","(4.2, 7.4, 5.266666666666667)","(20.0, 48.0, 36.2)","(4.6, 6.6, 5.2)","(6.0, 99999, 99990)"
07-12-2022 19:37:31.438183,"(5.5, 8.0, 7.8)","(17.0, 38.0, 20.375)","(10.0, 18.5, 17.085714285714285)","(81.0, 500.0, 421.81818181818187)","(3.6, 6.0, 5.425)","(81.0, 420.0, 280.0)","(4.2, 7.4, 5.266666666666667)","(20.0, 48.0, 36.2)","(4.6, 6.6, 5.2)","(6.0, 99999, 99990)"
07-12-2022 19:37:33.098742,"(5.5, 8.0, 7.875)","(17.0, 38.0, 20.375)","(10.0, 18.5, 17.085714285714285)","(81.0, 500.0, 421.81818181818187)","(3.6, 6.0, 5.425)","(81.0, 420.0, 280.0)","(4.2, 7.4, 5.266666666666667)","(20.0, 48.0, 36.2)","(4.6, 6.6, 5.2)","(6.0, 99999, 99990)"
07-12-2022 19:37:34.674366,"(5.5, 8.0, 11.210526315789473)","(17.0, 38.0, 20.375)","(10.0, 18.5, 17.085714285714285)","(81.0, 500.0, 421.81818181818187)","(3.6, 6.0, 5.425)","(81.0, 420.0, 280.0)","(4.2, 7.4, 5.266666666666667)","(20.0, 48.0, 36.2)","(4.6, 6.6, 5.2)","(6.0, 99999, 99990)"
07-12-2022 19:37:36.301331,"(5.5, 12.5, 7.8)","(17.0, 38.0, 20.375)","(10.0, 18.5, 17.085714285714285)","(81.0, 500.0, 421.81818181818187)","(3.6, 6.0, 5.425)","(81.0, 420.0, 280.0)","(4.2, 7.4, 6.688888888888889)","(20.0, 48.0, 36.2)","(4.6, 6.6, 5.2)","(6.0, 99999, 99990)"
07-12-2022 19:37:37.918099,"(5.5, 8.0, 7.8)","(17.0, 38.0, 20.375)","(10.0, 18.5, 17.085714285714285)","(81.0, 500.0, 421.81818181818187)","(3.6, 6.0, 5.425)","(81.0, 420.0, 280.0)","(4.2, 7.4, 6.688888888888889)","(20.0, 48.0, 36.2)","(4.6, 6.6, 5.2)","(6.0, 99999, 99990)"
07-12-2022 19:37:39.613249,"(5.5, 8.0, 7.8)","(17.0, 38.0, 20.375)","(10.0, 18.5, 17.085714285714285)","(81.0, 500.0, 421.81818181818187)","(3.6, 6.0, 5.425)","(81.0, 420.0, 280.0)","(4.2, 7.4, 6.688888888888889)","(20.0, 48.0, 36.2)","(4.6, 6.6, 5.2)","(6.0, 99999, 99990)"
07-12-2022 19:37:41.336297,"(5.5, 8.0, 7.8)","(17.0, 38.0, 20.375)","(10.0, 18.5, 17.085714285714285)","(81.0, 500.0, 421.81818181818187)","(3.6, 6.0, 5.425)","(81.0, 420.0, 280.0)","(4.2, 7.4, 6.688888888888889)","(20.0, 48.0, 36.2)","(4.6, 6.6, 5.2)","(6.0, 99999, 99990)"
07-12-2022 19:37:43.102897,"(5.5, 8.0, 7.8)","(17.0, 38.0, 20.375)","(10.0, 18.5, 17.085714285714285)","(81.0, 500.0, 421.81818181818187)","(3.6, 6.0, 5.425)","(81.0, 420.0, 280.0)","(4.2, 7.4, 6.688888888888889)","(20.0, 48.0, 36.2)","(4.6, 6.6, 5.2)","(6.0, 99999, 99990)"
07-12-2022 19:37:45.072700,"(5.5, 8.0, 7.8)","(17.0, 38.0, 20.375)","(10.0, 18.5, 17.085714285714285)","(81.0, 500.0, 421.81818181818187)","(3.6, 6.0, 5.425)","(81.0, 420.0, 280.0)","(4.2, 7.4, 6.688888888888889)","(20.0, 48.0, 36.2)","(4.6, 6.6, 5.2)","(6.0, 99999, 99990)"
07-12-2022 19:37:46.957831,"(5.5, 8.0, 7.8)","(17.0, 38.0, 20.375)","(10.0, 18.5, 17.085714285714285)","(81.0, 500.0, 421.81818181818187)","(3.6, 6.0, 5.425)","(81.0, 420.0, 280.0)","(4.2, 7.4, 6.688888888888889)","(20.0, 48.0, 36.2)","(4.6, 6.6, 5.2)","(6.0, 99999, 99990)"
07-12-2022 19:37:48.685143,"(5.5, 8.0, 7.8)","(17.0, 38.0, 20.375)","(10.0, 18.5, 17.085714285714285)","(81.0, 500.0, 421.81818181818187)","(3.6, 6.0, 5.425)","(81.0, 420.0, 280.0)","(4.2, 7.4, 6.236363636363636)","(20.0, 48.0, 36.2)","(4.6, 6.6, 5.2)","(6.0, 99999, 99990)"
07-12-2022 19:37:50.333039,"(5.5, 8.0, 7.8)","(17.0, 38.0, 20.375)","(10.0, 18.5, 17.085714285714285)","(81.0, 500.0, 421.81818181818187)","(3.6, 6.0, 5.425)","(81.0, 420.0, 280.0)","(4.2, 7.4, 6.236363636363636)","(20.0, 48.0, 36.2)","(4.6, 6.6, 5.2)","(6.0, 99999, 99990)"
07-12-2022 19:37:51.985709,"(5.5, 8.0, 7.8)","(17.0, 38.0, 20.375)","(10.0, 18.5, 12.033333333333333)","(81.0, 500.0, 421.81818181818187)","(3.6, 6.0, 5.425)","(81.0, 420.0, 280.0)","(4.2, 7.4, 5.628571428571428)","(20.0, 48.0, 36.2)","(4.6, 6.6, 5.2)","(6.0, 99999, 99990)"
07-12-2022 19:37:53.660904,"(5.5, 8.0, 11.379999999999999)","(17.0, 38.0, 20.375)","(10.0, 18.5, 12.033333333333333)","(81.0, 500.0, 421.81818181818187)","(3.6, 6.0, 5.425)","(81.0, 420.0, 280.0)","(4.2, 7.4, 4.84)","(20.0, 48.0, 36.2)","(4.6, 6.6, 5.2)","(6.0, 99999, 99990)"
07-12-2022 19:37:55.327422,"(5.5, 13.0, 7.699999999999999)","(17.0, 38.0, 20.375)","(10.0, 18.5, 12.033333333333333)","(81.0, 500.0, 421.81818181818187)","(3.6, 6.0, 5.425)","(81.0, 420.0, 280.0)","(4.2, 7.4, 4.84)","(20.0, 48.0, 36.2)","(4.6, 6.6, 5.2)","(6.0, 99999, 99990)"
07-12-2022 19:37:57.005174,"(5.5, 7.8, 7.74)","(17.0, 38.0, 20.375)","(10.0, 18.5, 12.033333333333333)","(81.0, 500.0, 421.81818181818187)","(3.6, 6.0, 5.425)","(81.0, 420.0, 280.0)","(4.2, 7.4, 5.266666666666667)","(20.0, 48.0, 36.2)","(4.6, 6.6, 5.2)","(6.0, 99999, 99990)"
07-12-2022 19:37:58.658304,"(5.5, 7.8, 8.35)","(17.0, 38.0, 20.375)","(10.0, 18.5, 12.033333333333333)","(81.0, 500.0, 421.81818181818187)","(3.6, 6.0, 5.425)","(81.0, 420.0, 280.0)","(4.2, 7.4, 5.266666666666667)","(20.0, 48.0, 36.2)","(4.6, 6.6, 5.2)","(6.0, 99999, 99990)"
07-12-2022 19:38:00.301969,"(5.5, 8.6, 7.515151515151515)","(17.0, 38.0, 20.375)","(10.0, 18.5, 12.033333333333333)","(81.0, 500.0, 421.81818181818187)","(3.6, 6.0, 5.425)","(81.0, 420.0, 280.0)","(4.2, 7.4, 6.485714285714286)","(20.0, 48.0, 36.2)","(4.6, 6.6, 5.2)","(6.0, 99999, 99990)"
07-12-2022 19:38:01.896684,"(5.5, 7.6, 8.033333333333333)","(17.0, 38.0, 20.375)","(10.0, 18.5, 12.033333333333333)","(81.0, 500.0, 421.81818181818187)","(3.6, 6.0, 5.425)","(81.0, 420.0, 280.0)","(4.2, 7.4, 5.866666666666667)","(20.0, 48.0, 36.2)","(4.6, 6.6, 5.2)","(6.0, 99999, 99990)"
07-12-2022 19:38:03.427941,"(5.5, 8.2, 8.033333333333333)","(17.0, 38.0, 20.375)","(10.0, 18.5, 12.033333333333333)","(81.0, 500.0, 421.81818181818187)","(3.6, 6.0, 5.425)","(81.0, 420.0, 280.0)","(4.2, 7.2, 5.866666666666667)","(20.0, 48.0, 36.2)","(4.6, 6.6, 5.2)","(6.0, 99999, 99990)"
07-12-2022 19:38:05.056193,"(5.5, 8.2, 8.033333333333333)","(17.0, 38.0, 20.375)","(10.0, 18.5, 12.033333333333333)","(81.0, 500.0, 413.6363636363636)","(3.6, 6.0, 4.300000000000001)","(81.0, 420.0, 348.1818181818182)","(4.2, 7.2, 6.228571428571429)","(20.0, 48.0, 36.2)","(4.6, 6.6, 5.2)","(6.0, 99999, 99990)"
07-12-2022 19:38:06.629491,"(5.5, 8.2, 8.033333333333333)","(17.0, 38.0, 20.375)","(10.0, 18.5, 12.033333333333333)","(81.0, 490.0, 405.45454545454544)","(3.6, 4.7, 3.966666666666667)","(81.0, 410.0, 282.14285714285717)","(4.2, 7.0, 6.228571428571429)","(20.0, 48.0, 36.2)","(4.6, 6.6, 5.2)","(6.0, 99999, 99990)"
07-12-2022 19:38:08.171877,"(5.5, 8.2, 8.033333333333333)","(17.0, 38.0, 20.375)","(10.0, 18.5, 12.033333333333333)","(81.0, 480.0, 405.45454545454544)","(3.6, 4.7, 3.966666666666667)","(81.0, 400.0, 282.14285714285717)","(4.2, 7.0, 6.228571428571429)","(20.0, 48.0, 36.2)","(4.6, 6.6, 5.2)","(6.0, 99999, 99990)"
07-12-2022 19:38:09.798362,"(5.5, 8.2, 10.988888888888889)","(17.0, 38.0, 20.375)","(10.0, 18.5, 12.033333333333333)","(81.0, 480.0, 397.2727272727273)","(3.6, 4.7, 3.966666666666667)","(81.0, 400.0, 331.8181818181818)","(4.2, 7.0, 6.228571428571429)","(20.0, 48.0, 36.2)","(4.6, 6.6, 5.2)","(6.0, 99999, 99990)"
07-12-2022 19:38:11.614867,"(5.5, 12.5, 7.777777777777778)","(17.0, 38.0, 20.375)","(10.0, 18.5, 12.033333333333333)","(81.0, 470.0, 397.2727272727273)","(3.6, 4.7, 3.966666666666667)","(81.0, 390.0, 331.8181818181818)","(4.2, 7.0, 6.228571428571429)","(20.0, 48.0, 36.2)","(4.6, 6.6, 5.2)","(6.0, 99999, 99990)"
07-12-2022 19:38:13.364389,"(5.5, 8.0, 7.515151515151515)","(17.0, 38.0, 20.375)","(10.0, 18.5, 12.033333333333333)","(81.0, 470.0, 389.09090909090907)","(3.6, 4.7, 3.8200000000000003)","(81.0, 390.0, 323.6363636363636)","(4.2, 7.0, 6.228571428571429)","(20.0, 48.0, 36.2)","(4.6, 6.6, 5.2)","(6.0, 99999, 99990)"
07-12-2022 19:38:15.073777,"(5.5, 7.6, 8.16)","(17.0, 38.0, 20.375)","(10.0, 18.5, 12.033333333333333)","(81.0, 460.0, 389.09090909090907)","(3.6, 4.7, 3.933333333333333)","(81.0, 380.0, 323.6363636363636)","(4.2, 7.0, 6.228571428571429)","(20.0, 48.0, 36.2)","(4.6, 6.6, 5.2)","(6.0, 99999, 99990)"
07-12-2022 19:38:16.705977,"(5.5, 8.2, 8.16)","(17.0, 38.0, 20.375)","(10.0, 18.5, 12.033333333333333)","(81.0, 460.0, 389.09090909090907)","(3.6, 4.6, 3.8200000000000003)","(81.0, 380.0, 323.6363636363636)","(4.2, 7.0, 6.228571428571429)","(20.0, 48.0, 36.2)","(4.6, 6.6, 5.2)","(6.0, 99999, 99990)"
07-12-2022 19:38:18.383137,"(5.5, 8.2, 8.042105263157895)","(17.0, 38.0, 20.375)","(10.0, 18.5, 12.033333333333333)","(81.0, 460.0, 380.90909090909093)","(3.6, 4.7, 3.8200000000000003)","(81.0, 380.0, 315.4545454545455)","(4.2, 7.0, 6.228571428571429)","(20.0, 48.0, 36.2)","(4.6, 6.6, 5.2)","(6.0, 99999, 99990)"
07-12-2022 19:38:20.106726,"(5.5, 8.2, 7.847058823529411)","(17.0, 38.0, 20.375)","(10.0, 18.5, 12.033333333333333)","(81.0, 450.0, 372.7272727272727)","(3.6, 4.7, 3.8200000000000003)","(81.0, 370.0, 307.27272727272725)","(4.2, 7.0, 6.228571428571429)","(20.0, 48.0, 36.2)","(4.6, 6.6, 5.2)","(6.0, 99999, 99990)"
07-12-2022 19:38:21.814070,"(5.5, 8.2, 7.847058823529411)","(17.0, 38.0, 20.375)","(10.0, 18.5, 12.033333333333333)","(81.0, 440.0, 372.7272727272727)","(3.6, 4.7, 3.8200000000000003)","(81.0, 360.0, 307.27272727272725)","(4.2, 7.0, 5.96)","(20.0, 48.0, 36.2)","(4.6, 6.6, 5.2)","(6.0, 99999, 99990)"
07-12-2022 19:38:23.480021,"(5.5, 8.2, 7.866666666666666)","(17.0, 38.0, 20.375)","(10.0, 18.5, 12.033333333333333)","(81.0, 440.0, 372.7272727272727)","(3.6, 4.7, 3.8200000000000003)","(81.0, 360.0, 307.27272727272725)","(4.2, 7.0, 5.133333333333334)","(20.0, 48.0, 36.2)","(4.6, 6.6, 5.2)","(6.0, 99999, 99990)"
07-12-2022 19:38:25.127240,"(5.5, 8.2, 12.36)","(17.0, 38.0, 20.375)","(10.0, 18.5, 12.033333333333333)","(81.0, 440.0, 372.7272727272727)","(3.6, 4.7, 3.725)","(81.0, 360.0, 307.27272727272725)","(4.2, 7.0, 5.133333333333334)","(20.0, 48.0, 36.2)","(4.6, 6.6, 5.2)","(6.0, 99999, 99990)"
07-12-2022 19:38:26.681287,"(5.5, 13.5, 8.55)","(17.0, 38.0, 20.375)","(10.0, 18.5, 12.033333333333333)","(81.0, 440.0, 372.7272727272727)","(3.6, 4.6, 3.725)","(81.0, 360.0, 307.27272727272725)","(4.2, 7.0, 6.377777777777778)","(20.0, 48.0, 36.2)","(4.6, 6.6, 5.2)","(6.0, 99999, 99990)"
07-12-2022 19:38:28.253466,"(5.5, 8.8, 8.042105263157895)","(17.0, 38.0, 20.375)","(10.0, 18.5, 12.033333333333333)","(81.0, 440.0, 372.7272727272727)","(3.6, 4.6, 3.725)","(81.0, 360.0, 307.27272727272725)","(4.2, 7.0, 6.228571428571429)","(20.0, 48.0, 36.2)","(4.6, 6.6, 5.2)","(6.0, 99999, 99990)"
07-12-2022 19:38:29.900194,"(5.5, 8.2, 10.244444444444444)","(17.0, 38.0, 20.375)","(10.0, 18.5, 12.033333333333333)","(81.0, 440.0, 372.7272727272727)","(3.6, 4.6, 3.725)","(81.0, 360.0, 307.27272727272725)","(4.2, 7.0, 6.228571428571429)","(20.0, 48.0, 36.2)","(4.6, 6.6, 5.2)","(6.0, 99999, 99990)"
07-12-2022 19:38:31.479179,"(5.5, 11.0, 8.233333333333334)","(17.0, 38.0, 20.375)","(10.0, 18.5, 15.72857142857143)","(81.0, 440.0, 372.7272727272727)","(3.6, 4.6, 3.725)","(81.0, 360.0, 307.27272727272725)","(4.2, 7.0, 6.228571428571429)","(20.0, 48.0, 36.2)","(4.6, 6.6, 5.2)","(6.0, 99999, 99990)"
07-12-2022 19:38:33.136855,"(5.5, 8.4, 8.275)","(17.0, 38.0, 20.375)","(10.0, 18.5, 15.72857142857143)","(81.0, 440.0, 372.7272727272727)","(3.6, 4.6, 3.725)","(81.0, 360.0, 307.27272727272725)","(4.2, 7.0, 6.228571428571429)","(20.0, 48.0, 36.2)","(4.6, 6.6, 5.2)","(6.0, 99999, 99990)"
07-12-2022 19:38:34.750406,"(5.5, 8.4, 8.25)","(17.0, 38.0, 20.375)","(10.0, 18.5, 13.75)","(81.0, 440.0, 372.7272727272727)","(3.6, 4.6, 3.725)","(81.0, 360.0, 307.27272727272725)","(4.2, 7.0, 6.228571428571429)","(20.0, 48.0, 36.2)","(4.6, 6.6, 5.2)","(6.0, 99999, 99990)"
07-12-2022 19:38:36.418774,"(5.5, 8.6, 8.75)","(17.0, 38.0, 20.375)","(10.0, 18.5, 13.75)","(81.0, 440.0, 372.7272727272727)","(3.6, 4.6, 3.725)","(81.0, 360.0, 307.27272727272725)","(4.2, 7.0, 6.228571428571429)","(20.0, 48.0, 36.2)","(4.6, 6.6, 5.2)","(6.0, 99999, 99990)"
07-12-2022 19:38:38.377872,"(5.5, 11.0, 8.75)","(17.0, 38.0, 20.375)","(10.0, 18.5, 13.75)","(81.0, 440.0, 372.7272727272727)","(3.6, 4.6, 3.725)","(81.0, 360.0, 307.27272727272725)","(4.2, 7.0, 6.228571428571429)","(20.0, 48.0, 36.2)","(4.6, 6.6, 5.2)","(6.0, 99999, 99990)"
07-12-2022 19:38:40.210853,"(5.5, 11.0, 8.057142857142857)","(17.0, 38.0, 20.375)","(10.0, 18.5, 13.75)","(81.0, 440.0, 356.3636363636364)","(3.6, 4.6, 3.725)","(81.0, 360.0, 299.09090909090907)","(4.2, 7.0, 6.228571428571429)","(20.0, 48.0, 36.2)","(4.6, 6.6, 5.2)","(6.0, 99999, 99990)"
07-12-2022 19:38:41.824377,"(5.5, 8.2, 8.266666666666667)","(17.0, 38.0, 20.375)","(10.0, 18.5, 15.333333333333332)","(81.0, 420.0, 356.3636363636364)","(3.6, 4.6, 3.725)","(81.0, 350.0, 290.90909090909093)","(4.2, 7.0, 6.228571428571429)","(20.0, 48.0, 36.2)","(4.6, 6.6, 5.2)","(6.0, 99999, 99990)"
07-12-2022 19:38:43.380193,"(5.5, 8.4, 8.266666666666667)","(17.0, 38.0, 20.375)","(10.0, 18.5, 13.75)","(81.0, 420.0, 356.3636363636364)","(3.6, 4.6, 3.725)","(81.0, 340.0, 290.90909090909093)","(4.2, 7.0, 6.228571428571429)","(20.0, 48.0, 36.2)","(4.6, 6.6, 5.2)","(6.0, 99999, 99990)"
07-12-2022 19:38:44.995075,"(5.5, 8.2, 8.088888888888889)","(17.0, 38.0, 20.375)","(10.0, 18.5, 13.75)","(81.0, 420.0, 356.3636363636364)","(3.6, 4.6, 3.725)","(81.0, 340.0, 290.90909090909093)","(4.2, 7.0, 6.228571428571429)","(20.0, 48.0, 36.2)","(4.6, 6.6, 5.2)","(6.0, 99999, 99990)"
07-12-2022 19:38:46.683951,"(5.5, 8.6, 8.218181818181819)","(17.0, 38.0, 20.375)","(10.0, 18.5, 16.125)","(81.0, 420.0, 356.3636363636364)","(3.6, 4.6, 3.725)","(81.0, 340.0, 290.90909090909093)","(4.2, 7.0, 6.228571428571429)","(20.0, 48.0, 36.2)","(4.6, 6.6, 5.2)","(6.0, 99999, 99990)"
07-12-2022 19:38:48.393176,"(5.5, 8.6, 8.333333333333332)","(17.0, 38.0, 20.375)","(10.0, 18.5, 16.125)","(81.0, 420.0, 356.3636363636364)","(3.6, 4.6, 3.725)","(81.0, 340.0, 290.90909090909093)","(4.2, 7.0, 6.228571428571429)","(20.0, 48.0, 36.2)","(4.6, 6.6, 5.2)","(6.0, 99999, 99990)"
07-12-2022 19:38:50.141205,"(5.5, 8.6, 8.425)","(17.0, 38.0, 20.375)","(10.0, 18.5, 16.125)","(81.0, 420.0, 356.3636363636364)","(3.6, 4.6, 3.725)","(81.0, 340.0, 290.90909090909093)","(4.2, 7.0, 6.228571428571429)","(20.0, 48.0, 36.2)","(4.6, 6.6, 5.2)","(6.0, 99999, 99990)"
07-12-2022 19:38:51.800768,"(5.5, 8.6, 6.071428571428571)","(17.0, 38.0, 20.375)","(10.0, 18.5, 16.125)","(81.0, 420.0, 348.1818181818182)","(3.6, 4.6, 3.725)","(81.0, 340.0, 282.72727272727275)","(4.2, 7.0, 6.228571428571429)","(20.0, 48.0, 36.2)","(4.6, 6.6, 5.2)","(6.0, 99999, 99990)"
