,Marcher,Our Frankie,Lady Chartwell,Northern Impact,Cynic,Cristalino,Donnacan,Giddy Gans Joy
09-01-2023 13:58:26.571514,"(20.0, 110.0, 73.0)","(1.8, 1.95, 1.9414583333333333)","(7.5, 10.0, 9.4)","(4.6, 11.0, 10.58)","(12.0, 17.0, 14.125)","(7.0, 9.2, 8.613333333333333)","(13.0, 18.5, 17.8)","(41.0, 170.0, 93.33333333333334)"
09-01-2023 13:58:27.758124,"(20.0, 110.0, 73.0)","(1.8, 1.95, 1.9414583333333333)","(7.5, 10.0, 9.4)","(4.6, 11.0, 10.58)","(12.0, 17.0, 14.125)","(7.0, 9.2, 8.613333333333333)","(13.0, 18.5, 17.8)","(41.0, 170.0, 93.33333333333334)"
09-01-2023 13:58:28.895478,"(20.0, 110.0, 73.0)","(1.8, 1.95, 1.9414583333333333)","(7.5, 10.0, 9.4)","(4.6, 11.0, 10.58)","(12.0, 17.0, 14.125)","(7.0, 9.2, 8.613333333333333)","(13.0, 18.5, 17.8)","(41.0, 170.0, 93.33333333333334)"
09-01-2023 13:58:30.052109,"(20.0, 110.0, 73.0)","(1.8, 1.99, 1.9681818181818183)","(7.5, 10.0, 9.4)","(4.6, 11.0, 10.3)","(12.0, 17.0, 15.18421052631579)","(7.0, 9.2, 8.613333333333333)","(13.0, 18.5, 17.8)","(41.0, 170.0, 93.33333333333334)"
09-01-2023 13:58:31.213732,"(20.0, 110.0, 73.0)","(1.8, 1.99, 1.9681818181818183)","(7.5, 10.0, 9.4)","(4.6, 11.0, 10.3)","(12.0, 17.0, 15.18421052631579)","(7.0, 9.2, 8.613333333333333)","(13.0, 18.5, 17.8)","(41.0, 170.0, 93.33333333333334)"
09-01-2023 13:58:32.334327,"(20.0, 110.0, 73.0)","(1.8, 1.99, 1.9444827586206896)","(7.5, 10.0, 9.4)","(4.6, 11.0, 10.58)","(12.0, 17.0, 14.87037037037037)","(7.0, 9.2, 8.613333333333333)","(13.0, 18.5, 18.0625)","(41.0, 170.0, 93.33333333333334)"
09-01-2023 13:58:33.526746,"(20.0, 110.0, 73.0)","(1.8, 1.94, 1.9340136054421768)","(7.5, 10.0, 9.4)","(4.6, 11.0, 10.58)","(12.0, 17.0, 14.87037037037037)","(7.0, 9.2, 8.857142857142858)","(13.0, 18.5, 18.0625)","(41.0, 170.0, 93.33333333333334)"
09-01-2023 13:58:34.656212,"(20.0, 110.0, 56.66666666666667)","(1.8, 1.94, 1.9340136054421768)","(7.5, 10.0, 9.4)","(4.6, 11.0, 10.58)","(12.0, 17.0, 14.87037037037037)","(7.0, 9.2, 8.857142857142858)","(13.0, 18.5, 18.0625)","(41.0, 170.0, 93.33333333333334)"
09-01-2023 13:58:35.741495,"(20.0, 110.0, 56.66666666666667)","(1.8, 1.94, 1.9340136054421768)","(7.5, 10.0, 9.4)","(4.6, 11.0, 10.58)","(12.0, 17.0, 14.87037037037037)","(7.0, 9.2, 8.857142857142858)","(13.0, 18.5, 18.0625)","(41.0, 170.0, 93.33333333333334)"
09-01-2023 13:58:36.821696,"(20.0, 110.0, 56.66666666666667)","(1.8, 1.94, 1.9340136054421768)","(7.5, 10.0, 9.4)","(4.6, 11.0, 10.58)","(12.0, 17.0, 14.87037037037037)","(7.0, 9.2, 8.857142857142858)","(13.0, 18.5, 18.0625)","(41.0, 170.0, 93.33333333333334)"
09-01-2023 13:58:37.915241,"(20.0, 110.0, 56.66666666666667)","(1.8, 1.94, 1.9340136054421768)","(7.5, 10.0, 9.4)","(4.6, 11.0, 10.58)","(12.0, 17.0, 14.87037037037037)","(7.0, 9.2, 8.857142857142858)","(13.0, 18.5, 18.181818181818183)","(41.0, 170.0, 93.33333333333334)"
09-01-2023 13:58:39.000917,"(20.0, 110.0, 56.66666666666667)","(1.8, 1.94, 1.90986301369863)","(7.5, 10.0, 9.4)","(4.6, 11.0, 10.58)","(12.0, 17.0, 14.87037037037037)","(7.0, 9.2, 8.857142857142858)","(13.0, 18.5, 18.916666666666668)","(41.0, 170.0, 93.33333333333334)"
09-01-2023 13:58:40.178713,"(20.0, 110.0, 56.66666666666667)","(1.8, 1.94, 1.9096551724137931)","(7.5, 10.0, 9.4)","(4.6, 11.0, 10.58)","(12.0, 17.0, 14.87037037037037)","(7.0, 9.2, 8.857142857142858)","(13.0, 21.0, 18.74390243902439)","(41.0, 170.0, 93.33333333333334)"
09-01-2023 13:58:41.324966,"(20.0, 110.0, 56.66666666666667)","(1.8, 1.94, 1.9096551724137931)","(7.5, 10.0, 9.4)","(4.6, 11.0, 10.58)","(12.0, 17.0, 14.87037037037037)","(7.0, 9.2, 8.857142857142858)","(13.0, 21.0, 18.74390243902439)","(41.0, 170.0, 93.33333333333334)"
09-01-2023 13:58:42.493263,"(20.0, 110.0, 56.66666666666667)","(1.8, 1.94, 1.92425)","(7.5, 10.0, 9.4)","(4.6, 11.0, 10.58)","(12.0, 17.0, 14.87037037037037)","(7.0, 9.2, 8.857142857142858)","(13.0, 21.0, 18.74390243902439)","(41.0, 170.0, 93.33333333333334)"
09-01-2023 13:58:43.646562,"(20.0, 110.0, 56.66666666666667)","(1.8, 1.98, 1.9341818181818182)","(7.5, 10.0, 9.4)","(4.6, 11.0, 10.832)","(12.0, 17.0, 14.87037037037037)","(7.0, 9.2, 9.057142857142857)","(13.0, 21.0, 18.74390243902439)","(41.0, 170.0, 93.33333333333334)"
09-01-2023 13:58:44.744109,"(20.0, 110.0, 56.66666666666667)","(1.8, 1.98, 1.9615573770491803)","(7.5, 10.0, 9.4)","(4.6, 11.0, 10.832)","(12.0, 17.0, 14.87037037037037)","(7.0, 9.2, 9.057142857142857)","(13.0, 21.0, 18.74390243902439)","(41.0, 170.0, 93.33333333333334)"
09-01-2023 13:58:45.900126,"(20.0, 110.0, 56.66666666666667)","(1.8, 1.98, 1.9631896551724137)","(7.5, 10.0, 9.4)","(4.6, 11.0, 10.855172413793102)","(12.0, 17.0, 14.87037037037037)","(7.0, 9.2, 9.057142857142857)","(13.0, 21.0, 18.74390243902439)","(41.0, 170.0, 93.33333333333334)"
09-01-2023 13:58:47.028426,"(20.0, 110.0, 56.66666666666667)","(1.8, 1.98, 1.9623529411764706)","(7.5, 10.0, 9.4)","(4.6, 11.0, 10.855172413793102)","(12.0, 17.0, 14.87037037037037)","(7.0, 9.2, 9.0125)","(13.0, 21.0, 18.74390243902439)","(41.0, 170.0, 93.33333333333334)"
09-01-2023 13:58:48.221106,"(20.0, 110.0, 56.66666666666667)","(1.8, 1.95, 1.9416363636363636)","(7.5, 10.0, 9.4)","(4.6, 11.0, 10.86875)","(12.0, 17.0, 14.87037037037037)","(7.0, 9.2, 9.0)","(13.0, 21.0, 18.74390243902439)","(41.0, 170.0, 93.33333333333334)"
09-01-2023 13:58:49.412785,"(20.0, 110.0, 56.66666666666667)","(1.8, 1.95, 1.9416363636363636)","(7.5, 10.0, 9.4)","(4.6, 11.0, 10.86875)","(12.0, 17.0, 14.87037037037037)","(7.0, 9.2, 9.0)","(13.0, 21.0, 18.74390243902439)","(41.0, 170.0, 93.33333333333334)"
09-01-2023 13:58:50.519222,"(20.0, 110.0, 56.66666666666667)","(1.8, 1.95, 1.9385714285714286)","(7.5, 10.0, 9.4)","(4.6, 11.0, 10.883333333333333)","(12.0, 17.0, 14.87037037037037)","(7.0, 9.2, 8.872727272727273)","(13.0, 21.0, 18.74390243902439)","(41.0, 170.0, 93.33333333333334)"
09-01-2023 13:58:51.667634,"(20.0, 110.0, 56.66666666666667)","(1.8, 1.95, 1.9385714285714286)","(7.5, 10.0, 9.4)","(4.6, 11.0, 10.883333333333333)","(12.0, 17.0, 14.87037037037037)","(7.0, 9.2, 8.872727272727273)","(13.0, 21.0, 18.74390243902439)","(41.0, 170.0, 115.0)"
09-01-2023 13:58:52.826659,"(20.0, 100.0, 92.22222222222223)","(1.8, 1.95, 1.9385714285714286)","(7.5, 10.0, 9.4)","(4.6, 11.0, 10.883333333333333)","(12.0, 17.0, 14.87037037037037)","(7.0, 9.2, 8.872727272727273)","(13.0, 21.0, 18.74390243902439)","(41.0, 170.0, 115.0)"
09-01-2023 13:58:53.985280,"(20.0, 100.0, 92.22222222222223)","(1.8, 1.95, 1.9385714285714286)","(7.5, 10.0, 9.4)","(4.6, 11.0, 10.883333333333333)","(12.0, 17.0, 14.87037037037037)","(7.0, 9.2, 8.872727272727273)","(13.0, 21.0, 18.74390243902439)","(41.0, 170.0, 115.0)"
09-01-2023 13:58:55.141407,"(20.0, 100.0, 92.22222222222223)","(1.8, 1.95, 1.9385714285714286)","(7.5, 10.0, 9.4)","(4.6, 11.0, 10.883333333333333)","(12.0, 17.0, 14.87037037037037)","(7.0, 9.2, 8.872727272727273)","(13.0, 21.0, 18.74390243902439)","(41.0, 170.0, 115.0)"
09-01-2023 13:58:56.298149,"(20.0, 100.0, 92.22222222222223)","(1.8, 1.95, 1.9385714285714286)","(7.5, 10.0, 9.4)","(4.6, 11.0, 10.883333333333333)","(12.0, 17.0, 14.87037037037037)","(7.0, 9.2, 9.375)","(13.0, 21.0, 18.74390243902439)","(41.0, 170.0, 115.0)"
09-01-2023 13:58:57.434455,"(20.0, 100.0, 65.0)","(1.8, 1.95, 1.9380487804878048)","(7.5, 10.0, 9.4)","(4.6, 11.0, 10.855172413793102)","(12.0, 17.0, 14.87037037037037)","(7.0, 10.0, 9.241379310344827)","(13.0, 21.0, 18.74390243902439)","(41.0, 170.0, 115.0)"
09-01-2023 13:58:58.577144,"(20.0, 100.0, 65.0)","(1.8, 1.98, 1.9633112582781456)","(7.5, 10.0, 9.4)","(4.6, 11.0, 10.855172413793102)","(12.0, 17.0, 14.87037037037037)","(7.0, 10.0, 9.241379310344827)","(13.0, 21.0, 17.988372093023255)","(41.0, 170.0, 115.0)"
09-01-2023 13:58:59.754826,"(20.0, 100.0, 65.0)","(1.8, 1.98, 1.935)","(7.5, 10.0, 9.4)","(4.6, 11.0, 10.855172413793102)","(12.0, 17.0, 14.87037037037037)","(7.0, 10.0, 9.241379310344827)","(13.0, 21.0, 17.988372093023255)","(41.0, 170.0, 115.0)"
09-01-2023 13:59:00.857974,"(20.0, 100.0, 65.0)","(1.8, 1.94, 1.924406779661017)","(7.5, 10.0, 9.4)","(4.6, 11.0, 10.855172413793102)","(12.0, 17.0, 14.87037037037037)","(7.0, 10.0, 8.428571428571429)","(13.0, 21.0, 17.9468085106383)","(41.0, 170.0, 115.0)"
09-01-2023 13:59:02.052425,"(20.0, 100.0, 65.0)","(1.8, 1.94, 1.924406779661017)","(7.5, 10.0, 9.4)","(4.6, 11.0, 10.86875)","(12.0, 17.0, 14.87037037037037)","(7.0, 10.0, 8.585714285714285)","(13.0, 21.0, 17.9468085106383)","(41.0, 170.0, 115.0)"
09-01-2023 13:59:03.274357,"(20.0, 100.0, 65.0)","(1.8, 1.94, 1.9314285714285713)","(7.5, 10.0, 9.4)","(4.6, 11.0, 10.86875)","(12.0, 17.0, 14.87037037037037)","(7.0, 10.0, 8.585714285714285)","(13.0, 21.0, 17.9468085106383)","(41.0, 170.0, 115.0)"
09-01-2023 13:59:04.446892,"(20.0, 100.0, 65.0)","(1.8, 1.94, 1.9093333333333333)","(7.5, 10.0, 9.4)","(4.6, 11.0, 10.86875)","(12.0, 17.0, 14.87037037037037)","(7.0, 10.0, 8.8)","(13.0, 21.0, 17.9468085106383)","(41.0, 170.0, 115.0)"
09-01-2023 13:59:05.592829,"(20.0, 100.0, 76.66666666666666)","(1.8, 1.94, 1.9093333333333333)","(7.5, 10.0, 9.4)","(4.6, 11.0, 10.86875)","(12.0, 17.0, 14.87037037037037)","(7.0, 9.8, 9.0)","(13.0, 21.0, 17.9468085106383)","(41.0, 170.0, 115.0)"
09-01-2023 13:59:06.747590,"(20.0, 100.0, 76.66666666666666)","(1.8, 1.94, 1.9093333333333333)","(7.5, 10.0, 9.4)","(4.6, 11.0, 10.86875)","(12.0, 17.0, 14.87037037037037)","(7.0, 9.4, 9.0)","(13.0, 21.0, 19.375)","(41.0, 170.0, 115.0)"
09-01-2023 13:59:07.909622,"(20.0, 100.0, 76.66666666666666)","(1.8, 1.94, 1.9088888888888889)","(7.5, 10.0, 9.4)","(4.6, 11.0, 10.86875)","(12.0, 17.0, 14.87037037037037)","(7.0, 9.4, 8.9)","(13.0, 20.0, 18.863636363636363)","(41.0, 170.0, 115.0)"
09-01-2023 13:59:09.052939,"(20.0, 100.0, 76.66666666666666)","(1.8, 1.94, 1.9164705882352941)","(7.5, 10.0, 9.4)","(4.6, 11.0, 10.883333333333333)","(12.0, 17.0, 14.87037037037037)","(7.0, 9.4, 8.9)","(13.0, 20.0, 18.863636363636363)","(41.0, 170.0, 115.0)"
09-01-2023 13:59:10.258887,"(20.0, 100.0, 76.66666666666666)","(1.8, 1.94, 1.9164705882352941)","(7.5, 10.0, 9.4)","(4.6, 11.0, 10.883333333333333)","(12.0, 17.0, 14.87037037037037)","(7.0, 9.4, 9.1)","(13.0, 20.0, 18.863636363636363)","(41.0, 170.0, 115.0)"
09-01-2023 13:59:11.439595,"(20.0, 100.0, 76.66666666666666)","(1.8, 1.99, 1.9663157894736842)","(7.5, 10.0, 9.4)","(4.6, 11.0, 10.86875)","(12.0, 17.0, 14.87037037037037)","(7.0, 9.4, 8.8)","(13.0, 20.0, 18.863636363636363)","(41.0, 170.0, 115.0)"
09-01-2023 13:59:12.672230,"(20.0, 100.0, 76.66666666666666)","(1.8, 1.99, 1.9536363636363636)","(7.5, 10.0, 9.4)","(4.6, 11.0, 10.86875)","(12.0, 17.0, 14.87037037037037)","(7.0, 9.2, 8.8)","(13.0, 20.0, 18.863636363636363)","(41.0, 170.0, 115.0)"
09-01-2023 13:59:13.875158,"(20.0, 100.0, 76.66666666666666)","(1.8, 1.98, 1.9027272727272726)","(7.5, 10.0, 9.4)","(4.6, 11.0, 10.4)","(12.0, 17.0, 14.87037037037037)","(7.0, 9.2, 8.7)","(13.0, 20.0, 18.863636363636363)","(41.0, 170.0, 115.0)"
09-01-2023 13:59:15.122654,"(20.0, 100.0, 76.66666666666666)","(1.8, 1.98, 1.9015596330275228)","(7.5, 10.0, 9.4)","(4.6, 11.0, 10.4)","(12.0, 17.0, 14.87037037037037)","(7.0, 9.0, 8.925)","(13.0, 20.0, 18.863636363636363)","(41.0, 170.0, 115.0)"
09-01-2023 13:59:16.385190,"(20.0, 100.0, 93.0)","(1.8, 1.96, 1.9164864864864863)","(7.5, 10.0, 9.4)","(4.6, 11.0, 10.4)","(12.0, 17.0, 14.87037037037037)","(7.0, 9.8, 8.925)","(13.0, 20.0, 18.863636363636363)","(41.0, 170.0, 115.0)"
09-01-2023 13:59:17.589912,"(20.0, 100.0, 93.0)","(1.8, 1.96, 1.9164864864864863)","(7.5, 10.0, 9.4)","(4.6, 11.0, 10.4)","(12.0, 17.0, 14.87037037037037)","(7.0, 9.8, 8.925)","(13.0, 20.0, 18.863636363636363)","(41.0, 170.0, 115.0)"
09-01-2023 13:59:18.781115,"(20.0, 100.0, 93.0)","(1.8, 1.96, 1.9164864864864863)","(7.5, 10.0, 9.4)","(4.6, 11.0, 10.4)","(12.0, 17.0, 15.14516129032258)","(7.0, 9.8, 8.925)","(13.0, 20.0, 18.863636363636363)","(41.0, 170.0, 115.0)"
09-01-2023 13:59:20.150914,"(20.0, 100.0, 93.0)","(1.8, 1.96, 1.9164864864864863)","(7.5, 10.0, 9.4)","(4.6, 11.0, 10.4)","(12.0, 17.0, 15.14516129032258)","(7.0, 9.8, 8.925)","(13.0, 20.0, 19.166666666666668)","(41.0, 170.0, 115.0)"
09-01-2023 13:59:21.498925,"(20.0, 100.0, 76.66666666666666)","(1.8, 1.91, 1.904375)","(7.5, 10.0, 9.4)","(4.6, 11.0, 10.4)","(12.0, 17.0, 15.14516129032258)","(7.0, 9.8, 9.216666666666667)","(13.0, 20.0, 19.166666666666668)","(41.0, 170.0, 115.0)"
09-01-2023 13:59:22.792539,"(20.0, 95.0, 62.5)","(1.8, 1.91, 1.904375)","(7.5, 10.0, 9.4)","(4.6, 11.0, 10.4)","(12.0, 17.0, 15.14516129032258)","(7.0, 9.8, 9.216666666666667)","(13.0, 20.0, 19.166666666666668)","(41.0, 170.0, 115.0)"
09-01-2023 13:59:24.106907,"(20.0, 95.0, 62.5)","(1.8, 1.91, 1.904375)","(7.5, 10.0, 9.4)","(4.6, 11.0, 10.4)","(12.0, 17.0, 15.14516129032258)","(7.0, 9.8, 9.216666666666667)","(13.0, 20.0, 19.166666666666668)","(41.0, 170.0, 115.0)"
09-01-2023 13:59:25.510920,"(20.0, 95.0, 62.5)","(1.8, 1.91, 1.904375)","(7.5, 10.0, 9.4)","(4.6, 11.0, 10.4)","(12.0, 17.0, 15.14516129032258)","(7.0, 9.8, 9.216666666666667)","(13.0, 20.0, 19.166666666666668)","(41.0, 170.0, 115.0)"
09-01-2023 13:59:26.940035,"(20.0, 95.0, 62.5)","(1.8, 1.91, 1.904375)","(7.5, 10.0, 9.4)","(4.6, 11.0, 10.4)","(12.0, 17.0, 15.14516129032258)","(7.0, 9.8, 9.216666666666667)","(13.0, 20.0, 19.166666666666668)","(41.0, 170.0, 115.0)"
09-01-2023 13:59:28.277614,"(20.0, 95.0, 62.5)","(1.8, 1.91, 1.904375)","(7.5, 10.0, 9.4)","(4.6, 11.0, 10.4)","(12.0, 17.0, 15.14516129032258)","(7.0, 9.8, 9.053333333333335)","(13.0, 20.0, 19.166666666666668)","(41.0, 170.0, 115.0)"
09-01-2023 13:59:29.551355,"(20.0, 95.0, 62.5)","(1.8, 1.91, 1.904375)","(7.5, 10.0, 9.4)","(4.6, 11.0, 10.4)","(12.0, 17.0, 15.14516129032258)","(7.0, 9.8, 9.053333333333335)","(13.0, 20.0, 19.166666666666668)","(41.0, 170.0, 115.0)"
09-01-2023 13:59:30.774444,"(20.0, 95.0, 62.5)","(1.8, 1.91, 1.904375)","(7.5, 10.0, 9.4)","(4.6, 11.0, 10.4)","(12.0, 17.0, 15.14516129032258)","(7.0, 9.8, 8.7)","(13.0, 20.0, 18.75)","(41.0, 170.0, 115.0)"
09-01-2023 13:59:31.982631,"(20.0, 95.0, 62.5)","(1.8, 1.96, 1.9016666666666666)","(7.5, 10.0, 9.4)","(4.6, 11.0, 10.4)","(12.0, 17.0, 15.14516129032258)","(7.0, 9.6, 8.7)","(13.0, 20.0, 18.75)","(41.0, 170.0, 115.0)"
09-01-2023 13:59:33.245013,"(20.0, 95.0, 62.5)","(1.8, 1.96, 1.9016666666666666)","(7.5, 10.0, 9.4)","(4.6, 11.0, 10.7)","(12.0, 17.0, 15.14516129032258)","(7.0, 9.6, 8.7)","(13.0, 20.0, 19.166666666666668)","(41.0, 170.0, 115.0)"
09-01-2023 13:59:34.477654,"(20.0, 95.0, 62.5)","(1.8, 1.96, 1.9016666666666666)","(7.5, 10.0, 9.4)","(4.6, 11.0, 10.7)","(12.0, 17.0, 15.296296296296296)","(7.0, 9.6, 8.925)","(13.0, 20.0, 18.025)","(41.0, 170.0, 115.0)"
09-01-2023 13:59:35.786950,"(20.0, 95.0, 62.5)","(1.8, 1.9, 1.8929411764705881)","(7.5, 10.0, 9.4)","(4.6, 11.0, 10.7)","(12.0, 17.0, 15.296296296296296)","(7.0, 9.6, 8.505)","(13.0, 21.0, 18.875)","(41.0, 170.0, 115.0)"
09-01-2023 13:59:37.001421,"(20.0, 95.0, 82.33333333333333)","(1.8, 1.9, 1.8929411764705881)","(7.5, 10.0, 9.4)","(4.6, 11.0, 10.8875)","(12.0, 17.0, 15.296296296296296)","(7.0, 9.0, 8.34)","(13.0, 21.0, 18.875)","(41.0, 170.0, 115.0)"
