,Mr Valentine,Lamancha,Dynamic,Kasatkina,Call Me Elf,Tiggerlong Al
10-01-2023 14:15:07.354712,"(3.6, 5.4, 4.3)","(4.6, 7.8, 5.32)","(6.5, 17.5, 12.04)","(11.0, 25.0, 23.555555555555557)","(2.9, 4.0, 2.858064516129032)","(5.0, 9.6, 6.3)"
10-01-2023 14:15:08.332977,"(3.6, 5.4, 4.3)","(4.6, 7.8, 5.32)","(6.5, 17.5, 12.04)","(11.0, 25.0, 23.555555555555557)","(2.9, 4.0, 2.858064516129032)","(5.0, 9.6, 6.3)"
10-01-2023 14:15:09.303675,"(3.6, 5.4, 4.3)","(4.6, 7.8, 5.32)","(6.5, 17.5, 12.04)","(11.0, 25.0, 23.555555555555557)","(2.9, 4.0, 2.858064516129032)","(5.0, 9.6, 7.18)"
10-01-2023 14:15:10.337977,"(3.6, 5.4, 4.3)","(4.6, 7.8, 5.32)","(6.5, 17.5, 12.04)","(11.0, 25.0, 23.555555555555557)","(2.9, 4.0, 2.976470588235294)","(5.0, 9.6, 7.18)"
10-01-2023 14:15:11.365153,"(3.6, 5.4, 4.3)","(4.6, 7.8, 5.32)","(6.5, 17.5, 12.04)","(11.0, 25.0, 23.555555555555557)","(2.9, 4.0, 2.976470588235294)","(5.0, 9.6, 7.18)"
10-01-2023 14:15:12.382636,"(3.6, 5.4, 4.3)","(4.6, 7.8, 5.32)","(6.5, 17.5, 12.04)","(11.0, 25.0, 23.555555555555557)","(2.9, 4.0, 2.976470588235294)","(5.0, 9.6, 7.18)"
10-01-2023 14:15:13.502585,"(3.6, 5.4, 4.3)","(4.6, 7.8, 5.32)","(6.5, 17.5, 12.04)","(11.0, 25.0, 23.555555555555557)","(2.9, 4.0, 2.976470588235294)","(5.0, 9.6, 7.18)"
10-01-2023 14:15:14.583818,"(3.6, 5.4, 4.3)","(4.6, 7.8, 5.32)","(6.5, 17.5, 12.04)","(11.0, 25.0, 23.555555555555557)","(2.9, 4.0, 2.976470588235294)","(5.0, 9.6, 7.18)"
10-01-2023 14:15:15.510057,"(3.6, 5.4, 4.3)","(4.6, 7.8, 5.32)","(6.5, 17.5, 12.04)","(11.0, 25.0, 23.555555555555557)","(2.9, 4.0, 2.976470588235294)","(5.0, 9.6, 7.18)"
10-01-2023 14:15:16.462440,"(3.6, 5.4, 4.3)","(4.6, 7.8, 5.32)","(6.5, 17.5, 12.04)","(11.0, 25.0, 23.555555555555557)","(2.9, 4.0, 2.858064516129032)","(5.0, 9.6, 7.18)"
10-01-2023 14:15:17.509881,"(3.6, 5.4, 4.3)","(4.6, 7.8, 5.32)","(6.5, 17.5, 12.04)","(11.0, 25.0, 23.555555555555557)","(2.9, 4.0, 2.858064516129032)","(5.0, 9.6, 7.18)"
10-01-2023 14:15:18.580834,"(3.6, 5.4, 4.3)","(4.6, 7.8, 5.32)","(6.5, 17.5, 12.04)","(11.0, 25.0, 23.555555555555557)","(2.9, 4.0, 2.858064516129032)","(5.0, 9.6, 7.18)"
10-01-2023 14:15:19.617734,"(3.6, 5.4, 4.3)","(4.6, 7.8, 5.32)","(6.5, 17.5, 12.04)","(11.0, 25.0, 23.555555555555557)","(2.9, 4.0, 2.858064516129032)","(5.0, 9.6, 7.18)"
10-01-2023 14:15:20.553924,"(3.6, 5.4, 4.3)","(4.6, 7.8, 5.32)","(6.5, 17.5, 12.04)","(11.0, 25.0, 23.555555555555557)","(2.9, 4.0, 2.858064516129032)","(5.0, 9.6, 7.18)"
10-01-2023 14:15:21.505412,"(3.6, 5.4, 4.3)","(4.6, 7.8, 5.32)","(6.5, 17.5, 13.05)","(11.0, 25.0, 23.555555555555557)","(2.9, 4.0, 2.858064516129032)","(5.0, 9.6, 7.18)"
10-01-2023 14:15:22.510304,"(3.6, 5.4, 4.3)","(4.6, 7.8, 5.32)","(6.5, 17.5, 13.05)","(11.0, 25.0, 23.555555555555557)","(2.9, 4.0, 2.858064516129032)","(5.0, 9.6, 7.18)"
10-01-2023 14:15:23.515072,"(3.6, 5.4, 4.3)","(4.6, 7.8, 5.32)","(6.5, 17.5, 13.05)","(11.0, 25.0, 23.555555555555557)","(2.9, 4.0, 2.858064516129032)","(5.0, 9.6, 7.18)"
10-01-2023 14:15:24.575814,"(3.6, 5.4, 4.3)","(4.6, 7.8, 5.32)","(6.5, 17.5, 13.05)","(11.0, 25.0, 23.555555555555557)","(2.9, 4.0, 2.858064516129032)","(5.0, 9.6, 7.18)"
10-01-2023 14:15:25.645599,"(3.6, 5.4, 4.3)","(4.6, 7.8, 5.32)","(6.5, 17.5, 13.05)","(11.0, 25.0, 23.555555555555557)","(2.9, 4.0, 2.858064516129032)","(5.0, 9.6, 7.18)"
10-01-2023 14:15:26.612039,"(3.6, 5.4, 4.3)","(4.6, 7.8, 5.32)","(6.5, 17.5, 13.05)","(11.0, 25.0, 23.555555555555557)","(2.9, 4.0, 2.858064516129032)","(5.0, 9.6, 7.18)"
10-01-2023 14:15:27.527957,"(3.6, 5.4, 4.3)","(4.6, 7.8, 5.32)","(6.5, 17.5, 13.05)","(11.0, 25.0, 23.555555555555557)","(2.9, 4.0, 2.858064516129032)","(5.0, 9.6, 7.18)"
10-01-2023 14:15:28.501023,"(3.6, 5.4, 4.3)","(4.6, 7.8, 5.32)","(6.5, 17.5, 13.05)","(11.0, 25.0, 23.555555555555557)","(2.9, 4.0, 2.858064516129032)","(5.0, 9.6, 7.18)"
10-01-2023 14:15:29.604583,"(3.6, 5.4, 4.3)","(4.6, 7.8, 5.32)","(6.5, 17.5, 13.05)","(11.0, 25.0, 23.555555555555557)","(2.9, 4.0, 2.858064516129032)","(5.0, 9.6, 7.18)"
10-01-2023 14:15:30.617492,"(3.6, 5.4, 4.3)","(4.6, 7.8, 5.32)","(6.5, 17.5, 13.05)","(11.0, 25.0, 23.555555555555557)","(2.9, 4.0, 2.858064516129032)","(5.0, 9.6, 7.18)"
10-01-2023 14:15:31.631955,"(3.6, 5.4, 4.3)","(4.6, 7.8, 5.32)","(6.5, 17.5, 13.05)","(11.0, 25.0, 23.555555555555557)","(2.9, 4.0, 2.858064516129032)","(5.0, 9.6, 7.18)"
10-01-2023 14:15:32.627537,"(3.6, 5.4, 4.3)","(4.6, 7.8, 5.32)","(6.5, 17.5, 13.05)","(11.0, 25.0, 23.555555555555557)","(2.9, 4.0, 2.858064516129032)","(5.0, 9.6, 7.18)"
10-01-2023 14:15:33.508883,"(3.6, 5.4, 4.3)","(4.6, 7.8, 5.32)","(6.5, 17.5, 13.05)","(11.0, 25.0, 23.555555555555557)","(2.9, 4.0, 2.858064516129032)","(5.0, 9.6, 7.18)"
10-01-2023 14:15:34.487877,"(3.6, 5.4, 4.3)","(4.6, 7.8, 5.32)","(6.5, 17.5, 13.05)","(11.0, 25.0, 23.555555555555557)","(2.9, 4.0, 2.858064516129032)","(5.0, 9.6, 7.18)"
10-01-2023 14:15:35.534733,"(3.6, 5.4, 4.3)","(4.6, 7.8, 5.32)","(6.5, 17.5, 13.05)","(11.0, 25.0, 23.555555555555557)","(2.9, 4.0, 2.858064516129032)","(5.0, 9.6, 7.18)"
10-01-2023 14:15:36.583382,"(3.6, 5.4, 4.3)","(4.6, 7.8, 5.32)","(6.5, 17.5, 13.05)","(11.0, 25.0, 23.555555555555557)","(2.9, 4.0, 2.858064516129032)","(5.0, 9.6, 7.18)"
10-01-2023 14:15:37.506886,"(3.6, 5.4, 4.3)","(4.6, 7.8, 5.32)","(6.5, 17.5, 13.05)","(11.0, 25.0, 23.555555555555557)","(2.9, 4.0, 2.858064516129032)","(5.0, 9.6, 7.18)"
10-01-2023 14:15:38.423416,"(3.6, 5.4, 4.3)","(4.6, 7.8, 5.32)","(6.5, 17.5, 13.05)","(11.0, 25.0, 23.555555555555557)","(2.9, 4.0, 2.858064516129032)","(5.0, 9.6, 7.18)"
10-01-2023 14:15:39.438008,"(3.6, 5.4, 4.3)","(4.6, 7.8, 5.32)","(6.5, 17.5, 13.05)","(11.0, 25.0, 23.555555555555557)","(2.9, 4.0, 2.858064516129032)","(5.0, 9.6, 7.18)"
10-01-2023 14:15:40.451470,"(3.6, 5.4, 4.3)","(4.6, 7.8, 5.32)","(6.5, 17.5, 13.05)","(11.0, 25.0, 23.555555555555557)","(2.9, 4.0, 2.858064516129032)","(5.0, 9.6, 7.18)"
10-01-2023 14:15:41.505061,"(3.6, 5.4, 4.3)","(4.6, 7.8, 5.32)","(6.5, 17.5, 8.5)","(11.0, 25.0, 23.555555555555557)","(2.9, 4.0, 2.858064516129032)","(5.0, 9.6, 7.18)"
10-01-2023 14:15:42.571627,"(3.6, 5.4, 4.3)","(4.6, 6.8, 5.194117647058824)","(6.5, 17.5, 12.653846153846153)","(11.0, 25.0, 23.555555555555557)","(2.9, 4.0, 2.858064516129032)","(5.0, 9.6, 7.18)"
10-01-2023 14:15:43.661741,"(3.6, 5.4, 4.3)","(4.6, 6.8, 5.194117647058824)","(6.5, 17.5, 12.653846153846153)","(11.0, 25.0, 23.555555555555557)","(2.9, 4.0, 2.858064516129032)","(5.0, 9.6, 7.18)"
10-01-2023 14:15:44.591371,"(3.6, 5.4, 4.3)","(4.6, 6.8, 5.194117647058824)","(6.5, 17.5, 12.653846153846153)","(11.0, 25.0, 23.555555555555557)","(2.9, 4.0, 2.858064516129032)","(5.0, 9.6, 7.18)"
10-01-2023 14:15:45.679009,"(3.6, 5.4, 4.3)","(4.6, 6.8, 5.194117647058824)","(6.5, 17.5, 12.653846153846153)","(11.0, 25.0, 23.555555555555557)","(2.9, 4.0, 2.858064516129032)","(5.0, 9.6, 7.18)"
10-01-2023 14:15:46.782956,"(3.6, 5.4, 4.3)","(4.6, 6.8, 5.722222222222222)","(6.5, 17.5, 12.653846153846153)","(11.0, 25.0, 23.555555555555557)","(2.9, 4.0, 2.858064516129032)","(5.0, 9.6, 7.18)"
10-01-2023 14:15:47.984544,"(3.6, 5.4, 4.3)","(4.6, 7.0, 5.722222222222222)","(6.5, 17.5, 12.653846153846153)","(11.0, 25.0, 23.555555555555557)","(2.9, 4.0, 2.858064516129032)","(5.0, 9.6, 7.18)"
10-01-2023 14:15:49.080254,"(3.6, 5.4, 4.3)","(4.6, 7.0, 5.722222222222222)","(6.5, 17.5, 12.653846153846153)","(11.0, 25.0, 23.555555555555557)","(2.9, 4.0, 2.858064516129032)","(5.0, 9.6, 9.20300751879699)"
10-01-2023 14:15:50.266604,"(3.6, 5.4, 4.3)","(4.6, 7.0, 5.722222222222222)","(6.5, 17.5, 12.653846153846153)","(11.0, 25.0, 23.555555555555557)","(2.9, 4.0, 2.858064516129032)","(5.0, 9.6, 9.20300751879699)"
10-01-2023 14:15:51.258323,"(3.6, 5.4, 4.3)","(4.6, 7.0, 5.722222222222222)","(6.5, 17.5, 12.653846153846153)","(11.0, 25.0, 21.77777777777778)","(2.9, 4.0, 2.858064516129032)","(5.0, 9.6, 9.20300751879699)"
10-01-2023 14:15:52.304134,"(3.6, 5.4, 4.3)","(4.6, 7.0, 5.722222222222222)","(6.5, 17.5, 12.653846153846153)","(11.0, 23.0, 21.77777777777778)","(2.9, 4.0, 2.858064516129032)","(5.0, 9.6, 9.20300751879699)"
10-01-2023 14:15:53.391067,"(3.6, 5.4, 4.3)","(4.6, 7.0, 5.722222222222222)","(6.5, 17.5, 12.653846153846153)","(11.0, 23.0, 21.77777777777778)","(2.9, 4.0, 2.858064516129032)","(5.0, 9.6, 9.20300751879699)"
10-01-2023 14:15:54.433991,"(3.6, 5.4, 4.3)","(4.6, 7.0, 5.722222222222222)","(6.5, 17.5, 12.653846153846153)","(11.0, 23.0, 21.77777777777778)","(2.9, 4.0, 2.858064516129032)","(5.0, 9.6, 9.20300751879699)"
10-01-2023 14:15:55.374934,"(3.6, 5.4, 4.3)","(4.6, 7.0, 5.722222222222222)","(6.5, 17.5, 12.653846153846153)","(11.0, 23.0, 21.77777777777778)","(2.9, 4.0, 2.858064516129032)","(5.0, 9.6, 9.20300751879699)"
10-01-2023 14:15:56.365056,"(3.6, 5.2, 4.233333333333333)","(4.6, 7.2, 5.811111111111112)","(6.5, 17.5, 12.653846153846153)","(11.0, 23.0, 21.77777777777778)","(2.9, 4.0, 2.858064516129032)","(5.0, 9.6, 9.20300751879699)"
10-01-2023 14:15:57.351510,"(3.6, 5.2, 4.233333333333333)","(4.6, 7.2, 5.811111111111112)","(6.5, 17.5, 12.653846153846153)","(11.0, 23.0, 21.77777777777778)","(2.9, 4.0, 2.858064516129032)","(5.0, 9.6, 9.20300751879699)"
10-01-2023 14:15:58.312136,"(3.6, 5.2, 4.233333333333333)","(4.6, 7.2, 5.811111111111112)","(6.5, 17.5, 12.653846153846153)","(11.0, 23.0, 21.77777777777778)","(2.9, 4.0, 2.858064516129032)","(5.0, 9.6, 9.20300751879699)"
10-01-2023 14:15:59.358918,"(3.6, 5.2, 4.233333333333333)","(4.6, 7.2, 5.811111111111112)","(6.5, 17.5, 12.653846153846153)","(11.0, 23.0, 21.77777777777778)","(2.9, 4.0, 2.858064516129032)","(5.0, 9.6, 9.20300751879699)"
10-01-2023 14:16:00.487490,"(3.6, 5.2, 4.233333333333333)","(4.6, 7.2, 5.811111111111112)","(6.5, 17.5, 11.32)","(11.0, 23.0, 21.77777777777778)","(2.9, 4.0, 2.9455555555555555)","(5.0, 9.6, 6.727777777777778)"
10-01-2023 14:16:01.440202,"(3.6, 5.2, 4.233333333333333)","(4.6, 7.2, 5.811111111111112)","(6.5, 17.5, 11.32)","(11.0, 23.0, 21.77777777777778)","(2.9, 3.95, 2.9455555555555555)","(5.0, 9.6, 6.727777777777778)"
10-01-2023 14:16:02.361162,"(3.6, 4.8, 4.131818181818182)","(4.6, 7.2, 5.811111111111112)","(6.5, 17.5, 12.45)","(11.0, 23.0, 21.77777777777778)","(2.9, 3.95, 2.9455555555555555)","(5.0, 9.6, 6.727777777777778)"
10-01-2023 14:16:03.392305,"(3.6, 4.8, 4.131818181818182)","(4.6, 7.2, 5.811111111111112)","(6.5, 17.5, 12.45)","(11.0, 23.0, 21.77777777777778)","(2.9, 3.95, 2.8506666666666667)","(5.0, 9.6, 6.727777777777778)"
10-01-2023 14:16:04.422193,"(3.6, 4.8, 4.754838709677419)","(4.6, 7.2, 5.811111111111112)","(6.5, 17.5, 12.45)","(11.0, 23.0, 21.77777777777778)","(2.9, 4.2, 2.8506666666666667)","(5.0, 9.6, 6.727777777777778)"
10-01-2023 14:16:05.443691,"(3.6, 4.8, 4.754838709677419)","(4.6, 7.2, 5.811111111111112)","(6.5, 17.5, 12.45)","(11.0, 23.0, 21.77777777777778)","(2.9, 4.2, 2.8506666666666667)","(5.0, 9.6, 7.07)"
10-01-2023 14:16:06.514146,"(3.6, 4.8, 4.754838709677419)","(4.6, 7.2, 5.811111111111112)","(6.5, 17.5, 12.45)","(11.0, 23.0, 21.77777777777778)","(2.9, 4.2, 2.98)","(5.0, 9.6, 7.07)"
10-01-2023 14:16:07.507818,"(3.6, 4.8, 4.352777777777778)","(4.6, 7.2, 5.811111111111112)","(6.5, 17.5, 12.45)","(11.0, 23.0, 21.77777777777778)","(2.9, 4.1, 2.98)","(5.0, 9.6, 7.07)"
10-01-2023 14:16:08.413977,"(3.6, 4.8, 4.352777777777778)","(4.6, 7.2, 5.811111111111112)","(6.5, 17.5, 12.45)","(11.0, 23.0, 21.77777777777778)","(2.9, 4.1, 2.98)","(5.0, 9.6, 7.07)"
10-01-2023 14:16:09.359213,"(3.6, 4.8, 4.394736842105263)","(4.6, 7.0, 5.62)","(6.5, 17.5, 12.45)","(11.0, 23.0, 20.375)","(2.9, 4.1, 2.98)","(5.0, 9.6, 7.07)"
10-01-2023 14:16:10.391121,"(3.6, 4.8, 4.394736842105263)","(4.6, 7.0, 5.62)","(6.5, 17.5, 12.45)","(11.0, 23.0, 20.375)","(2.9, 4.1, 3.2133333333333334)","(5.0, 9.6, 7.07)"
10-01-2023 14:16:11.371484,"(3.6, 4.8, 4.394736842105263)","(4.6, 6.8, 6.1)","(6.5, 17.5, 12.45)","(11.0, 23.0, 20.375)","(2.9, 4.0, 3.2133333333333334)","(5.0, 9.6, 7.25)"
10-01-2023 14:16:12.317859,"(3.6, 4.8, 3.9833333333333334)","(4.6, 7.0, 5.407692307692308)","(6.5, 19.0, 13.727272727272727)","(11.0, 23.0, 20.375)","(2.9, 4.0, 3.2466666666666666)","(5.0, 10.0, 7.25)"
10-01-2023 14:16:13.339369,"(3.6, 4.8, 3.9444444444444446)","(4.6, 7.0, 5.407692307692308)","(6.5, 19.0, 13.727272727272727)","(11.0, 23.0, 20.375)","(2.9, 4.1, 3.2466666666666666)","(5.0, 10.0, 7.25)"
10-01-2023 14:16:14.299995,"(3.6, 4.8, 4.434090909090909)","(4.6, 7.0, 5.407692307692308)","(6.5, 19.0, 13.818181818181818)","(11.0, 23.0, 20.375)","(2.9, 4.1, 3.2466666666666666)","(5.0, 10.0, 7.25)"
10-01-2023 14:16:15.224046,"(3.6, 4.8, 4.434090909090909)","(4.6, 7.0, 5.407692307692308)","(6.5, 19.0, 13.818181818181818)","(11.0, 23.0, 20.375)","(2.9, 4.1, 3.2466666666666666)","(5.0, 10.0, 7.25)"
10-01-2023 14:16:16.220802,"(3.6, 4.8, 4.434090909090909)","(4.6, 7.0, 5.407692307692308)","(6.5, 19.0, 13.818181818181818)","(11.0, 23.0, 20.375)","(2.9, 4.1, 3.2466666666666666)","(5.0, 10.0, 7.25)"
10-01-2023 14:16:17.263184,"(3.6, 5.2, 4.660869565217391)","(4.6, 7.0, 5.211111111111111)","(6.5, 19.0, 13.818181818181818)","(11.0, 23.0, 20.375)","(2.9, 4.1, 3.2466666666666666)","(5.0, 10.0, 5.938461538461539)"
10-01-2023 14:16:18.241528,"(3.6, 5.1, 4.929411764705883)","(4.6, 7.0, 5.211111111111111)","(6.5, 19.0, 11.0)","(11.0, 23.0, 20.375)","(2.9, 4.1, 2.936363636363636)","(5.0, 10.0, 5.938461538461539)"
10-01-2023 14:16:19.226150,"(3.6, 5.1, 4.984)","(4.6, 7.0, 5.211111111111111)","(6.5, 19.0, 11.0)","(11.0, 23.0, 20.375)","(2.9, 4.1, 2.936363636363636)","(5.0, 10.0, 5.938461538461539)"
10-01-2023 14:16:20.171888,"(3.6, 5.1, 4.54)","(4.6, 6.8, 5.12)","(6.5, 19.0, 11.0)","(11.0, 23.0, 20.375)","(2.9, 4.1, 2.936363636363636)","(5.0, 10.0, 5.938461538461539)"
10-01-2023 14:16:21.090379,"(3.6, 5.1, 4.54)","(4.6, 6.2, 5.22)","(6.5, 19.0, 13.5)","(11.0, 23.0, 20.375)","(2.9, 4.1, 2.936363636363636)","(5.0, 10.0, 5.938461538461539)"
10-01-2023 14:16:21.987592,"(3.6, 5.1, 4.54)","(4.6, 6.2, 5.22)","(6.5, 19.0, 12.25)","(11.0, 23.0, 20.375)","(2.9, 4.1, 2.936363636363636)","(5.0, 10.0, 7.066666666666666)"
10-01-2023 14:16:22.985455,"(3.6, 5.1, 4.6499999999999995)","(4.6, 6.0, 5.4)","(6.5, 19.0, 14.846153846153847)","(11.0, 23.0, 20.625)","(2.9, 4.1, 2.936363636363636)","(5.0, 10.0, 7.278947368421052)"
10-01-2023 14:16:23.963720,"(3.6, 5.1, 4.58)","(4.6, 6.0, 5.5)","(6.5, 19.0, 14.846153846153847)","(11.0, 23.0, 20.625)","(2.9, 4.1, 2.936363636363636)","(5.0, 10.0, 7.278947368421052)"
10-01-2023 14:16:24.948950,"(3.6, 5.1, 4.58)","(4.6, 6.0, 5.35)","(6.5, 19.0, 14.846153846153847)","(11.0, 23.0, 20.625)","(2.9, 4.1, 2.936363636363636)","(5.0, 10.0, 5.684615384615385)"
10-01-2023 14:16:25.856631,"(3.6, 5.1, 4.58)","(4.6, 6.0, 5.22)","(6.5, 19.0, 14.846153846153847)","(11.0, 23.0, 20.625)","(2.9, 4.1, 2.936363636363636)","(5.0, 10.0, 7.25)"
10-01-2023 14:16:26.778631,"(3.6, 5.1, 4.8999999999999995)","(4.6, 6.0, 5.676923076923077)","(6.5, 19.0, 14.846153846153847)","(11.0, 23.0, 20.625)","(2.9, 4.1, 2.936363636363636)","(5.0, 10.0, 7.25)"
10-01-2023 14:16:27.724033,"(3.6, 5.1, 4.762499999999999)","(4.6, 6.0, 5.566666666666666)","(6.5, 19.0, 14.846153846153847)","(11.0, 23.0, 20.625)","(2.9, 4.1, 2.936363636363636)","(5.0, 10.0, 7.25)"
10-01-2023 14:16:28.682875,"(3.6, 5.1, 4.8999999999999995)","(4.6, 6.0, 5.5)","(6.5, 19.0, 14.846153846153847)","(11.0, 23.0, 21.642857142857142)","(2.9, 4.1, 2.936363636363636)","(5.0, 10.0, 7.25)"
10-01-2023 14:16:29.698420,"(3.6, 5.1, 4.56)","(4.6, 6.0, 5.676923076923077)","(6.5, 19.0, 14.846153846153847)","(11.0, 23.0, 21.642857142857142)","(2.9, 4.1, 2.936363636363636)","(5.0, 10.0, 7.25)"
10-01-2023 14:16:30.729084,"(3.6, 5.1, 4.56)","(4.6, 6.8, 5.96)","(6.5, 19.0, 14.846153846153847)","(11.0, 23.0, 21.642857142857142)","(2.9, 4.1, 2.936363636363636)","(5.0, 10.0, 7.25)"
10-01-2023 14:16:31.674641,"(3.6, 5.1, 4.8999999999999995)","(4.6, 6.8, 5.42)","(6.5, 19.0, 14.846153846153847)","(11.0, 23.0, 21.642857142857142)","(2.9, 4.1, 2.936363636363636)","(5.0, 10.0, 7.25)"
10-01-2023 14:16:32.623230,"(3.6, 5.1, 4.56)","(4.6, 6.8, 5.757894736842105)","(6.5, 19.0, 13.8)","(11.0, 23.0, 21.642857142857142)","(2.9, 4.1, 2.936363636363636)","(5.0, 10.0, 7.25)"
10-01-2023 14:16:33.618671,"(3.6, 5.1, 4.7375)","(4.6, 6.8, 5.225)","(6.5, 19.0, 15.0)","(11.0, 23.0, 21.642857142857142)","(2.9, 4.1, 2.936363636363636)","(5.0, 10.0, 7.25)"
10-01-2023 14:16:34.648844,"(3.6, 5.1, 4.56)","(4.6, 6.8, 5.42)","(6.5, 19.0, 15.0)","(11.0, 23.0, 21.642857142857142)","(2.9, 4.1, 2.936363636363636)","(5.0, 10.0, 8.141379310344828)"
10-01-2023 14:16:35.650487,"(3.6, 5.1, 4.8999999999999995)","(4.6, 6.8, 5.42)","(6.5, 19.0, 15.0)","(11.0, 23.0, 21.642857142857142)","(2.9, 4.1, 2.936363636363636)","(5.0, 10.0, 5.938461538461539)"
10-01-2023 14:16:36.640524,"(3.6, 5.1, 4.56)","(4.6, 6.8, 5.9)","(6.5, 19.0, 15.0)","(11.0, 23.0, 21.642857142857142)","(2.9, 4.1, 2.936363636363636)","(5.0, 10.0, 5.938461538461539)"
10-01-2023 14:16:37.668746,"(3.6, 5.1, 4.8999999999999995)","(4.6, 6.8, 5.228571428571428)","(6.5, 19.0, 15.0)","(11.0, 23.0, 21.642857142857142)","(2.9, 4.1, 2.936363636363636)","(5.0, 10.0, 5.938461538461539)"
10-01-2023 14:16:38.580094,"(3.6, 5.1, 4.56)","(4.6, 6.8, 4.925)","(6.5, 19.0, 15.0)","(11.0, 23.0, 21.642857142857142)","(2.9, 4.1, 2.936363636363636)","(5.0, 10.0, 5.938461538461539)"
10-01-2023 14:16:39.567298,"(3.6, 5.1, 4.8999999999999995)","(4.6, 6.8, 4.835714285714285)","(6.5, 19.0, 15.0)","(11.0, 23.0, 21.642857142857142)","(2.9, 4.1, 2.936363636363636)","(5.0, 10.0, 7.278947368421052)"
10-01-2023 14:16:40.620051,"(3.6, 5.1, 4.666666666666666)","(4.6, 6.8, 5.075862068965517)","(6.5, 19.0, 14.0)","(11.0, 23.0, 21.642857142857142)","(2.9, 4.1, 2.936363636363636)","(5.0, 10.0, 7.278947368421052)"
10-01-2023 14:16:41.663940,"(3.6, 5.1, 4.666666666666666)","(4.6, 6.8, 5.075862068965517)","(6.5, 19.0, 14.0)","(11.0, 23.0, 21.642857142857142)","(2.9, 4.1, 2.936363636363636)","(5.0, 10.0, 7.278947368421052)"
10-01-2023 14:16:42.700969,"(3.6, 5.1, 4.666666666666666)","(4.6, 6.8, 5.075862068965517)","(6.5, 19.0, 14.0)","(11.0, 23.0, 21.642857142857142)","(2.9, 4.1, 2.936363636363636)","(5.0, 10.0, 5.684615384615385)"
10-01-2023 14:16:43.662708,"(3.6, 5.1, 4.666666666666666)","(4.6, 6.8, 4.998275862068966)","(6.5, 19.0, 14.0)","(11.0, 23.0, 21.642857142857142)","(2.9, 4.1, 2.936363636363636)","(5.0, 10.0, 7.25)"
10-01-2023 14:16:44.614012,"(3.6, 5.1, 4.666666666666666)","(4.6, 6.8, 4.998275862068966)","(6.5, 19.0, 13.666666666666668)","(11.0, 23.0, 21.642857142857142)","(2.9, 4.1, 2.936363636363636)","(5.0, 10.0, 7.25)"
10-01-2023 14:16:45.556128,"(3.6, 5.1, 4.666666666666666)","(4.6, 6.4, 5.376923076923077)","(6.5, 19.0, 13.666666666666668)","(11.0, 23.0, 21.642857142857142)","(2.9, 4.1, 2.936363636363636)","(5.0, 10.0, 7.25)"
