,World Of Fools,Adios See Ya,Toller,Lion Of The Sea,Jaime Jamel,Dinner Bell,Scaredy Cat,Baytown Jakester,Forever The Boss,Urban Warrior
05-01-2023 12:22:58.137954,"(21.0, 200.0, 127.60000000000001)","(9.0, 30.0, 21.75)","(2.7, 2.94, 2.847272727272727)","(8.0, 10.5, 10.185714285714285)","(31.0, 170.0, 96.5)","(21.0, 190.0, 133.33333333333331)","(9.0, 29.0, 20.0)","(4.8, 8.4, 7.8999999999999995)","(6.5, 10.5, 9.857142857142858)","(6.5, 9.8, 9.761904761904763)"
05-01-2023 12:22:59.432972,"(21.0, 200.0, 127.60000000000001)","(9.0, 30.0, 21.75)","(2.7, 2.94, 2.847272727272727)","(8.0, 10.5, 9.933333333333334)","(31.0, 170.0, 96.5)","(21.0, 190.0, 133.33333333333331)","(9.0, 29.0, 20.0)","(4.8, 8.2, 7.8999999999999995)","(6.5, 10.5, 9.857142857142858)","(6.5, 9.8, 9.761904761904763)"
05-01-2023 12:23:00.651654,"(21.0, 200.0, 127.60000000000001)","(9.0, 30.0, 21.75)","(2.7, 2.94, 2.847272727272727)","(8.0, 11.0, 9.933333333333334)","(31.0, 170.0, 96.5)","(21.0, 190.0, 133.33333333333331)","(9.0, 29.0, 20.0)","(4.8, 8.2, 7.8999999999999995)","(6.5, 10.5, 9.857142857142858)","(6.5, 9.8, 9.761904761904763)"
05-01-2023 12:23:02.010565,"(21.0, 200.0, 127.60000000000001)","(9.0, 30.0, 21.75)","(2.7, 2.94, 2.847272727272727)","(8.0, 11.0, 9.933333333333334)","(31.0, 170.0, 96.5)","(21.0, 190.0, 133.33333333333331)","(9.0, 29.0, 20.0)","(4.8, 8.2, 7.661538461538461)","(6.5, 10.5, 9.857142857142858)","(6.5, 9.8, 9.761904761904763)"
05-01-2023 12:23:03.454123,"(21.0, 200.0, 127.60000000000001)","(9.0, 30.0, 19.333333333333332)","(2.7, 2.94, 2.847272727272727)","(8.0, 11.0, 9.933333333333334)","(31.0, 170.0, 96.5)","(21.0, 190.0, 133.33333333333331)","(9.0, 29.0, 21.8)","(4.8, 8.4, 7.661538461538461)","(6.5, 10.5, 9.857142857142858)","(6.5, 9.8, 9.761904761904763)"
05-01-2023 12:23:04.742182,"(21.0, 200.0, 127.60000000000001)","(9.0, 30.0, 19.333333333333332)","(2.7, 2.94, 2.847272727272727)","(8.0, 11.0, 9.933333333333334)","(31.0, 170.0, 96.5)","(21.0, 190.0, 133.33333333333331)","(9.0, 29.0, 21.8)","(4.8, 8.4, 7.661538461538461)","(6.5, 10.5, 9.857142857142858)","(6.5, 9.8, 9.761904761904763)"
05-01-2023 12:23:06.017498,"(21.0, 200.0, 127.60000000000001)","(9.0, 30.0, 19.333333333333332)","(2.7, 2.94, 2.847272727272727)","(8.0, 10.5, 10.185714285714285)","(31.0, 170.0, 96.5)","(21.0, 190.0, 133.33333333333331)","(9.0, 29.0, 21.8)","(4.8, 8.4, 7.661538461538461)","(6.5, 10.5, 9.857142857142858)","(6.5, 9.8, 9.761904761904763)"
05-01-2023 12:23:07.334355,"(21.0, 200.0, 127.60000000000001)","(9.0, 30.0, 19.333333333333332)","(2.7, 2.94, 2.847272727272727)","(8.0, 10.5, 10.185714285714285)","(31.0, 170.0, 96.5)","(21.0, 190.0, 133.33333333333331)","(9.0, 29.0, 21.8)","(4.8, 8.4, 7.661538461538461)","(6.5, 10.5, 9.857142857142858)","(6.5, 9.8, 9.761904761904763)"
05-01-2023 12:23:08.606805,"(21.0, 200.0, 127.60000000000001)","(9.0, 30.0, 19.333333333333332)","(2.7, 2.94, 2.847272727272727)","(8.0, 10.5, 10.185714285714285)","(31.0, 170.0, 96.5)","(21.0, 190.0, 133.33333333333331)","(9.0, 29.0, 20.428571428571427)","(4.8, 8.4, 7.661538461538461)","(6.5, 10.5, 9.857142857142858)","(6.5, 9.8, 9.761904761904763)"
05-01-2023 12:23:09.830745,"(21.0, 200.0, 127.60000000000001)","(9.0, 30.0, 19.333333333333332)","(2.7, 2.94, 2.847272727272727)","(8.0, 10.5, 10.185714285714285)","(31.0, 170.0, 96.5)","(21.0, 190.0, 133.33333333333331)","(9.0, 29.0, 20.428571428571427)","(4.8, 8.4, 7.661538461538461)","(6.5, 10.5, 9.8)","(6.5, 9.8, 9.745454545454546)"
05-01-2023 12:23:11.083419,"(21.0, 200.0, 127.60000000000001)","(9.0, 30.0, 19.333333333333332)","(2.7, 2.94, 2.847272727272727)","(8.0, 11.0, 9.933333333333334)","(31.0, 170.0, 145.5)","(21.0, 190.0, 133.33333333333331)","(9.0, 29.0, 20.428571428571427)","(4.8, 8.4, 7.661538461538461)","(6.5, 10.0, 9.8)","(6.5, 9.8, 9.745454545454546)"
05-01-2023 12:23:12.408960,"(21.0, 200.0, 127.60000000000001)","(9.0, 30.0, 19.333333333333332)","(2.7, 2.94, 2.847272727272727)","(8.0, 11.0, 9.933333333333334)","(31.0, 170.0, 153.66666666666666)","(21.0, 190.0, 133.33333333333331)","(9.0, 29.0, 21.8)","(4.8, 8.4, 7.661538461538461)","(6.5, 10.0, 9.8)","(6.5, 9.8, 9.745454545454546)"
05-01-2023 12:23:13.671331,"(21.0, 200.0, 127.60000000000001)","(9.0, 30.0, 19.333333333333332)","(2.7, 2.94, 2.847272727272727)","(8.0, 11.0, 9.933333333333334)","(31.0, 170.0, 153.66666666666666)","(21.0, 190.0, 133.33333333333331)","(9.0, 29.0, 21.8)","(4.8, 8.4, 7.661538461538461)","(6.5, 10.0, 9.8)","(6.5, 9.8, 9.927272727272728)"
05-01-2023 12:23:14.978652,"(21.0, 200.0, 127.60000000000001)","(9.0, 30.0, 19.333333333333332)","(2.7, 2.94, 2.847272727272727)","(8.0, 11.0, 9.933333333333334)","(31.0, 170.0, 153.66666666666666)","(21.0, 190.0, 133.33333333333331)","(9.0, 29.0, 20.428571428571427)","(4.8, 8.4, 7.661538461538461)","(6.5, 10.0, 9.8)","(6.5, 10.0, 9.927272727272728)"
05-01-2023 12:23:16.360585,"(21.0, 200.0, 127.60000000000001)","(9.0, 30.0, 19.333333333333332)","(2.7, 2.94, 2.847272727272727)","(8.0, 11.0, 9.933333333333334)","(31.0, 170.0, 153.66666666666666)","(21.0, 190.0, 133.33333333333331)","(9.0, 29.0, 20.428571428571427)","(4.8, 8.4, 7.661538461538461)","(6.5, 10.0, 10.209677419354838)","(6.5, 10.0, 9.927272727272728)"
05-01-2023 12:23:17.640081,"(21.0, 200.0, 127.60000000000001)","(9.0, 30.0, 19.333333333333332)","(2.7, 2.94, 2.847272727272727)","(8.0, 10.5, 10.185714285714285)","(31.0, 170.0, 121.33333333333333)","(21.0, 190.0, 133.33333333333331)","(9.0, 29.0, 20.428571428571427)","(4.8, 8.4, 7.661538461538461)","(6.5, 10.5, 10.14516129032258)","(6.5, 10.0, 9.927272727272728)"
05-01-2023 12:23:18.862897,"(21.0, 200.0, 127.60000000000001)","(9.0, 30.0, 19.333333333333332)","(2.7, 2.94, 2.847272727272727)","(8.0, 10.5, 10.185714285714285)","(31.0, 170.0, 121.33333333333333)","(21.0, 190.0, 133.33333333333331)","(9.0, 29.0, 20.428571428571427)","(4.8, 8.4, 7.661538461538461)","(6.5, 10.5, 10.14516129032258)","(6.5, 10.0, 9.927272727272728)"
05-01-2023 12:23:20.046874,"(21.0, 200.0, 127.60000000000001)","(9.0, 30.0, 19.333333333333332)","(2.7, 2.94, 2.847272727272727)","(8.0, 10.5, 10.185714285714285)","(31.0, 170.0, 121.33333333333333)","(21.0, 190.0, 133.33333333333331)","(9.0, 28.0, 22.5)","(4.8, 8.4, 7.661538461538461)","(6.5, 10.5, 10.14516129032258)","(6.5, 10.0, 9.927272727272728)"
05-01-2023 12:23:21.226294,"(21.0, 200.0, 127.60000000000001)","(9.0, 30.0, 19.333333333333332)","(2.7, 2.94, 2.847272727272727)","(8.0, 10.5, 10.185714285714285)","(31.0, 170.0, 121.33333333333333)","(21.0, 190.0, 133.33333333333331)","(9.0, 28.0, 22.5)","(4.8, 8.4, 7.661538461538461)","(6.5, 10.5, 10.14516129032258)","(6.5, 10.0, 9.927272727272728)"
05-01-2023 12:23:22.436217,"(21.0, 200.0, 127.60000000000001)","(9.0, 30.0, 19.333333333333332)","(2.7, 2.94, 2.847272727272727)","(8.0, 10.5, 10.185714285714285)","(31.0, 170.0, 121.33333333333333)","(21.0, 190.0, 133.33333333333331)","(9.0, 28.0, 22.5)","(4.8, 8.4, 7.661538461538461)","(6.5, 10.5, 10.14516129032258)","(6.5, 10.0, 9.927272727272728)"
05-01-2023 12:23:23.717380,"(21.0, 200.0, 127.60000000000001)","(9.0, 30.0, 19.333333333333332)","(2.7, 2.94, 2.847272727272727)","(8.0, 10.5, 10.0875)","(31.0, 170.0, 121.33333333333333)","(21.0, 190.0, 133.33333333333331)","(9.0, 28.0, 22.5)","(4.8, 8.4, 7.661538461538461)","(6.5, 10.0, 9.8)","(6.5, 10.0, 9.927272727272728)"
05-01-2023 12:23:25.000077,"(21.0, 200.0, 127.60000000000001)","(9.0, 30.0, 19.333333333333332)","(2.7, 2.94, 2.847272727272727)","(8.0, 10.5, 10.0875)","(31.0, 170.0, 121.33333333333333)","(21.0, 190.0, 133.33333333333331)","(9.0, 28.0, 22.5)","(4.8, 8.4, 7.661538461538461)","(6.5, 10.0, 9.8)","(6.5, 10.0, 9.927272727272728)"
05-01-2023 12:23:26.314102,"(21.0, 200.0, 127.60000000000001)","(9.0, 30.0, 19.333333333333332)","(2.7, 2.94, 2.847272727272727)","(8.0, 10.5, 10.0875)","(31.0, 170.0, 121.33333333333333)","(21.0, 190.0, 133.33333333333331)","(9.0, 28.0, 22.5)","(4.8, 8.4, 7.661538461538461)","(6.5, 10.0, 10.327586206896552)","(6.5, 10.0, 9.84)"
05-01-2023 12:23:27.585945,"(21.0, 200.0, 127.60000000000001)","(9.0, 30.0, 19.333333333333332)","(2.7, 2.94, 2.847272727272727)","(8.0, 10.5, 10.0875)","(31.0, 170.0, 121.33333333333333)","(21.0, 190.0, 133.33333333333331)","(9.0, 28.0, 22.5)","(4.8, 8.4, 7.661538461538461)","(6.5, 10.5, 10.327586206896552)","(6.5, 10.0, 9.84)"
05-01-2023 12:23:28.887709,"(21.0, 200.0, 127.60000000000001)","(9.0, 30.0, 19.333333333333332)","(2.7, 2.96, 2.79)","(8.0, 10.0, 9.82857142857143)","(31.0, 170.0, 121.33333333333333)","(21.0, 190.0, 133.33333333333331)","(9.0, 28.0, 22.5)","(4.8, 8.4, 7.661538461538461)","(6.5, 10.5, 10.327586206896552)","(6.5, 10.0, 9.84)"
05-01-2023 12:23:30.183356,"(21.0, 200.0, 127.60000000000001)","(9.0, 30.0, 19.333333333333332)","(2.7, 2.96, 2.79)","(8.0, 10.0, 9.82857142857143)","(31.0, 170.0, 121.33333333333333)","(21.0, 190.0, 133.33333333333331)","(9.0, 28.0, 22.5)","(4.8, 8.4, 7.661538461538461)","(6.5, 10.5, 10.327586206896552)","(6.5, 10.0, 9.84)"
05-01-2023 12:23:31.317393,"(21.0, 200.0, 127.60000000000001)","(9.0, 30.0, 19.333333333333332)","(2.7, 2.96, 2.79)","(8.0, 10.0, 9.82857142857143)","(31.0, 170.0, 121.33333333333333)","(21.0, 190.0, 133.33333333333331)","(9.0, 28.0, 22.5)","(4.8, 8.4, 7.661538461538461)","(6.5, 10.5, 10.327586206896552)","(6.5, 10.0, 9.84)"
05-01-2023 12:23:32.559302,"(21.0, 200.0, 127.60000000000001)","(9.0, 30.0, 19.333333333333332)","(2.7, 2.96, 2.79)","(8.0, 10.0, 9.82857142857143)","(31.0, 170.0, 121.33333333333333)","(21.0, 190.0, 133.33333333333331)","(9.0, 28.0, 22.5)","(4.8, 8.4, 7.661538461538461)","(6.5, 10.5, 10.327586206896552)","(6.5, 10.0, 9.84)"
05-01-2023 12:23:33.810667,"(21.0, 200.0, 127.60000000000001)","(9.0, 30.0, 19.333333333333332)","(2.7, 2.96, 2.79)","(8.0, 10.0, 9.82857142857143)","(31.0, 170.0, 121.33333333333333)","(21.0, 190.0, 133.33333333333331)","(9.0, 28.0, 22.5)","(4.8, 8.4, 7.661538461538461)","(6.5, 10.5, 10.327586206896552)","(6.5, 10.0, 9.84)"
05-01-2023 12:23:35.025922,"(21.0, 200.0, 127.60000000000001)","(9.0, 30.0, 19.333333333333332)","(2.7, 2.96, 2.88)","(8.0, 10.5, 10.0875)","(31.0, 170.0, 121.33333333333333)","(21.0, 190.0, 133.33333333333331)","(9.0, 28.0, 22.5)","(4.8, 8.4, 7.661538461538461)","(6.5, 10.5, 10.327586206896552)","(6.5, 10.0, 9.84)"
05-01-2023 12:23:36.274272,"(21.0, 200.0, 127.60000000000001)","(9.0, 30.0, 19.333333333333332)","(2.7, 2.96, 2.88)","(8.0, 10.5, 10.0875)","(31.0, 170.0, 121.33333333333333)","(21.0, 190.0, 133.33333333333331)","(9.0, 28.0, 22.5)","(4.8, 8.4, 7.661538461538461)","(6.5, 10.5, 10.327586206896552)","(6.5, 10.0, 9.84)"
05-01-2023 12:23:37.426089,"(21.0, 200.0, 127.60000000000001)","(9.0, 30.0, 19.333333333333332)","(2.7, 2.96, 2.88)","(8.0, 10.5, 10.0875)","(31.0, 170.0, 121.33333333333333)","(21.0, 190.0, 133.33333333333331)","(9.0, 28.0, 22.5)","(4.8, 8.4, 7.661538461538461)","(6.5, 10.5, 10.327586206896552)","(6.5, 10.0, 9.927272727272728)"
05-01-2023 12:23:38.624208,"(21.0, 200.0, 127.60000000000001)","(9.0, 30.0, 19.333333333333332)","(2.7, 2.96, 2.88)","(8.0, 10.5, 10.0875)","(31.0, 170.0, 121.33333333333333)","(21.0, 190.0, 133.33333333333331)","(9.0, 28.0, 22.5)","(4.8, 8.4, 7.661538461538461)","(6.5, 10.5, 10.327586206896552)","(6.5, 10.0, 9.927272727272728)"
05-01-2023 12:23:39.738685,"(21.0, 200.0, 127.60000000000001)","(9.0, 30.0, 19.333333333333332)","(2.7, 2.96, 2.88)","(8.0, 10.5, 10.0875)","(31.0, 170.0, 121.33333333333333)","(21.0, 190.0, 133.33333333333331)","(9.0, 28.0, 22.5)","(4.8, 8.4, 7.661538461538461)","(6.5, 10.5, 10.327586206896552)","(6.5, 10.0, 9.927272727272728)"
05-01-2023 12:23:40.850928,"(21.0, 200.0, 127.60000000000001)","(9.0, 30.0, 19.333333333333332)","(2.7, 2.96, 2.88)","(8.0, 10.0, 9.82857142857143)","(31.0, 170.0, 121.33333333333333)","(21.0, 190.0, 133.33333333333331)","(9.0, 28.0, 22.5)","(4.8, 8.4, 7.661538461538461)","(6.5, 10.5, 10.327586206896552)","(6.5, 10.0, 9.927272727272728)"
05-01-2023 12:23:41.963124,"(21.0, 200.0, 127.60000000000001)","(9.0, 30.0, 19.333333333333332)","(2.7, 2.96, 2.88)","(8.0, 10.0, 9.82857142857143)","(31.0, 170.0, 121.33333333333333)","(21.0, 190.0, 133.33333333333331)","(9.0, 28.0, 22.5)","(4.8, 8.4, 7.661538461538461)","(6.5, 10.5, 10.327586206896552)","(6.5, 10.0, 9.927272727272728)"
05-01-2023 12:23:43.093273,"(21.0, 200.0, 127.60000000000001)","(9.0, 30.0, 19.333333333333332)","(2.7, 2.96, 2.88)","(8.0, 10.0, 9.82857142857143)","(31.0, 170.0, 121.33333333333333)","(21.0, 190.0, 133.33333333333331)","(9.0, 28.0, 22.5)","(4.8, 8.4, 7.661538461538461)","(6.5, 10.5, 10.327586206896552)","(6.5, 10.0, 9.927272727272728)"
05-01-2023 12:23:44.199786,"(21.0, 200.0, 127.60000000000001)","(9.0, 30.0, 19.333333333333332)","(2.7, 2.96, 2.88)","(8.0, 10.0, 9.82857142857143)","(31.0, 170.0, 121.33333333333333)","(21.0, 190.0, 133.33333333333331)","(9.0, 28.0, 22.5)","(4.8, 8.4, 7.661538461538461)","(6.5, 10.5, 10.327586206896552)","(6.5, 10.0, 9.927272727272728)"
05-01-2023 12:23:45.314728,"(21.0, 200.0, 127.60000000000001)","(9.0, 30.0, 19.333333333333332)","(2.7, 2.96, 2.88)","(8.0, 10.0, 9.82857142857143)","(31.0, 170.0, 121.33333333333333)","(21.0, 190.0, 133.33333333333331)","(9.0, 28.0, 22.5)","(4.8, 8.4, 7.661538461538461)","(6.5, 10.5, 10.327586206896552)","(6.5, 10.0, 9.927272727272728)"
05-01-2023 12:23:46.448222,"(21.0, 200.0, 127.60000000000001)","(9.0, 30.0, 19.333333333333332)","(2.7, 2.96, 2.88)","(8.0, 10.0, 9.82857142857143)","(31.0, 170.0, 121.33333333333333)","(21.0, 190.0, 133.33333333333331)","(9.0, 28.0, 22.5)","(4.8, 8.4, 7.661538461538461)","(6.5, 10.5, 10.327586206896552)","(6.5, 10.0, 9.927272727272728)"
05-01-2023 12:23:47.607091,"(21.0, 200.0, 127.60000000000001)","(9.0, 30.0, 19.333333333333332)","(2.7, 2.96, 2.88)","(8.0, 10.0, 9.82857142857143)","(31.0, 170.0, 121.33333333333333)","(21.0, 190.0, 133.33333333333331)","(9.0, 28.0, 22.5)","(4.8, 8.4, 7.661538461538461)","(6.5, 10.5, 10.327586206896552)","(6.5, 10.0, 9.927272727272728)"
05-01-2023 12:23:48.830558,"(21.0, 200.0, 127.60000000000001)","(9.0, 30.0, 19.333333333333332)","(2.7, 2.96, 2.88)","(8.0, 10.0, 9.82857142857143)","(31.0, 170.0, 121.33333333333333)","(21.0, 190.0, 133.33333333333331)","(9.0, 28.0, 22.5)","(4.8, 8.4, 7.661538461538461)","(6.5, 10.5, 10.327586206896552)","(6.5, 10.0, 9.927272727272728)"
05-01-2023 12:23:50.000020,"(21.0, 200.0, 127.60000000000001)","(9.0, 30.0, 19.333333333333332)","(2.7, 2.96, 2.88)","(8.0, 10.0, 9.82857142857143)","(31.0, 170.0, 121.33333333333333)","(21.0, 190.0, 133.33333333333331)","(9.0, 28.0, 22.5)","(4.8, 8.4, 7.661538461538461)","(6.5, 10.5, 10.327586206896552)","(6.5, 10.0, 9.927272727272728)"
05-01-2023 12:23:51.191302,"(21.0, 200.0, 127.60000000000001)","(9.0, 30.0, 19.333333333333332)","(2.7, 2.96, 2.88)","(8.0, 10.0, 9.82857142857143)","(31.0, 170.0, 121.33333333333333)","(21.0, 190.0, 133.33333333333331)","(9.0, 28.0, 22.5)","(4.8, 8.4, 7.661538461538461)","(6.5, 10.5, 10.327586206896552)","(6.5, 10.0, 9.927272727272728)"
05-01-2023 12:23:52.368019,"(21.0, 200.0, 127.60000000000001)","(9.0, 30.0, 19.333333333333332)","(2.7, 2.96, 2.88)","(8.0, 10.0, 9.82857142857143)","(31.0, 170.0, 121.33333333333333)","(21.0, 190.0, 133.33333333333331)","(9.0, 28.0, 22.5)","(4.8, 8.4, 7.661538461538461)","(6.5, 10.5, 10.327586206896552)","(6.5, 10.0, 9.927272727272728)"
05-01-2023 12:23:53.842622,"(21.0, 200.0, 127.60000000000001)","(9.0, 30.0, 19.333333333333332)","(2.7, 2.96, 2.88)","(8.0, 10.0, 9.82857142857143)","(31.0, 170.0, 121.33333333333333)","(21.0, 190.0, 133.33333333333331)","(9.0, 28.0, 22.5)","(4.8, 8.4, 7.661538461538461)","(6.5, 10.5, 10.327586206896552)","(6.5, 10.0, 9.927272727272728)"
05-01-2023 12:23:55.110738,"(21.0, 200.0, 127.60000000000001)","(9.0, 30.0, 19.333333333333332)","(2.7, 2.96, 2.88)","(8.0, 10.0, 9.82857142857143)","(31.0, 170.0, 121.33333333333333)","(21.0, 190.0, 133.33333333333331)","(9.0, 28.0, 22.5)","(4.8, 8.4, 7.661538461538461)","(6.5, 10.5, 10.327586206896552)","(6.5, 10.0, 9.7)"
05-01-2023 12:23:56.348359,"(21.0, 200.0, 127.60000000000001)","(9.0, 30.0, 19.333333333333332)","(2.7, 2.96, 2.6685714285714286)","(8.0, 10.0, 9.7)","(31.0, 170.0, 133.5)","(21.0, 190.0, 133.33333333333331)","(9.0, 28.0, 22.5)","(4.8, 8.4, 7.661538461538461)","(6.5, 10.5, 10.327586206896552)","(6.5, 9.8, 9.666666666666668)"
05-01-2023 12:23:57.623053,"(21.0, 200.0, 127.60000000000001)","(9.0, 30.0, 19.333333333333332)","(2.7, 2.96, 2.6685714285714286)","(8.0, 10.5, 10.263636363636364)","(31.0, 170.0, 133.5)","(21.0, 190.0, 133.33333333333331)","(9.0, 28.0, 22.5)","(4.8, 8.4, 7.661538461538461)","(6.5, 10.5, 10.327586206896552)","(6.5, 9.8, 9.623529411764705)"
05-01-2023 12:23:58.856515,"(21.0, 200.0, 127.60000000000001)","(9.0, 30.0, 19.333333333333332)","(2.7, 2.96, 2.6685714285714286)","(8.0, 10.0, 9.854545454545454)","(31.0, 170.0, 133.5)","(21.0, 190.0, 133.33333333333331)","(9.0, 28.0, 22.5)","(4.8, 8.4, 7.661538461538461)","(6.5, 10.5, 10.327586206896552)","(6.5, 10.0, 9.733333333333333)"
05-01-2023 12:24:00.165061,"(21.0, 200.0, 127.60000000000001)","(9.0, 30.0, 19.333333333333332)","(2.7, 2.96, 2.6685714285714286)","(8.0, 10.0, 9.854545454545454)","(31.0, 170.0, 133.5)","(21.0, 190.0, 133.33333333333331)","(9.0, 28.0, 22.5)","(4.8, 8.4, 7.661538461538461)","(6.5, 10.5, 10.327586206896552)","(6.5, 10.0, 9.733333333333333)"
05-01-2023 12:24:01.459527,"(21.0, 200.0, 127.60000000000001)","(9.0, 30.0, 19.333333333333332)","(2.7, 2.96, 2.6291891891891894)","(8.0, 10.0, 9.578947368421053)","(31.0, 170.0, 133.5)","(21.0, 190.0, 133.33333333333331)","(9.0, 28.0, 22.5)","(4.8, 8.4, 7.761111111111111)","(6.5, 10.5, 10.256756756756756)","(6.5, 10.0, 9.68)"
05-01-2023 12:24:02.642024,"(21.0, 200.0, 127.60000000000001)","(9.0, 30.0, 23.4)","(2.7, 2.96, 2.6291891891891894)","(8.0, 10.0, 9.578947368421053)","(31.0, 170.0, 133.5)","(21.0, 190.0, 133.33333333333331)","(9.0, 28.0, 20.666666666666668)","(4.8, 8.4, 7.761111111111111)","(6.5, 10.5, 10.256756756756756)","(6.5, 9.8, 9.714285714285715)"
