,Eddie Munster,Painter Of Light,Time To Go,Masie Jane,Dark Secret,Lucy The Weapon,Brockton Bomber,First Offence
10-01-2023 18:01:04.994863,"(26.0, 120.0, 73.5)","(4.2, 7.0, 6.15625)","(1.8, 2.56, 1.8763636363636365)","(15.0, 48.0, 26.666666666666664)","(6.0, 10.5, 7.275)","(5.5, 12.5, 10.618181818181817)","(41.0, 240.0, 93.0)","(19.0, 50.0, 28.333333333333336)"
10-01-2023 18:01:06.175134,"(26.0, 120.0, 73.5)","(4.2, 7.0, 6.15625)","(1.8, 2.54, 1.8763636363636365)","(15.0, 48.0, 26.666666666666664)","(6.0, 10.5, 7.275)","(5.5, 12.5, 10.618181818181817)","(41.0, 240.0, 93.0)","(19.0, 50.0, 28.333333333333336)"
10-01-2023 18:01:07.270000,"(26.0, 120.0, 73.5)","(4.2, 7.0, 6.15625)","(1.8, 2.54, 1.8763636363636365)","(15.0, 48.0, 26.666666666666664)","(6.0, 10.5, 7.275)","(5.5, 12.5, 10.618181818181817)","(41.0, 240.0, 93.0)","(19.0, 50.0, 28.333333333333336)"
10-01-2023 18:01:08.327176,"(26.0, 120.0, 73.5)","(4.2, 7.0, 6.15625)","(1.8, 2.54, 1.8763636363636365)","(15.0, 48.0, 26.666666666666664)","(6.0, 10.5, 7.275)","(5.5, 12.5, 10.618181818181817)","(41.0, 240.0, 93.0)","(19.0, 50.0, 28.333333333333336)"
10-01-2023 18:01:09.503994,"(26.0, 120.0, 73.5)","(4.2, 7.0, 6.15625)","(1.8, 2.54, 1.8763636363636365)","(15.0, 48.0, 26.666666666666664)","(6.0, 10.5, 7.275)","(5.5, 12.5, 10.618181818181817)","(41.0, 240.0, 93.0)","(19.0, 50.0, 28.333333333333336)"
10-01-2023 18:01:10.733989,"(26.0, 120.0, 73.5)","(4.2, 7.0, 6.15625)","(1.8, 2.54, 1.8763636363636365)","(15.0, 48.0, 26.666666666666664)","(6.0, 10.5, 7.275)","(5.5, 12.5, 10.618181818181817)","(41.0, 240.0, 93.0)","(19.0, 50.0, 28.333333333333336)"
10-01-2023 18:01:12.139954,"(26.0, 120.0, 73.5)","(4.2, 7.0, 6.15625)","(1.8, 2.54, 1.8763636363636365)","(15.0, 48.0, 26.666666666666664)","(6.0, 10.5, 7.275)","(5.5, 12.5, 10.618181818181817)","(41.0, 240.0, 93.0)","(19.0, 50.0, 28.333333333333336)"
10-01-2023 18:01:13.386915,"(26.0, 120.0, 73.5)","(4.2, 7.0, 6.15625)","(1.8, 2.54, 1.8763636363636365)","(15.0, 48.0, 26.666666666666664)","(6.0, 10.5, 7.275)","(5.5, 12.5, 10.618181818181817)","(41.0, 240.0, 93.0)","(19.0, 50.0, 28.333333333333336)"
10-01-2023 18:01:14.593679,"(26.0, 120.0, 73.5)","(4.2, 7.0, 6.15625)","(1.8, 2.54, 1.8763636363636365)","(15.0, 48.0, 26.666666666666664)","(6.0, 10.5, 7.275)","(5.5, 12.5, 10.618181818181817)","(41.0, 240.0, 93.0)","(19.0, 50.0, 28.333333333333336)"
10-01-2023 18:01:15.797127,"(26.0, 120.0, 73.5)","(4.2, 7.0, 6.15625)","(1.8, 2.54, 1.8763636363636365)","(15.0, 48.0, 26.666666666666664)","(6.0, 10.5, 7.275)","(5.5, 12.5, 10.618181818181817)","(41.0, 240.0, 93.0)","(19.0, 50.0, 28.333333333333336)"
10-01-2023 18:01:17.013500,"(26.0, 120.0, 73.5)","(4.2, 7.0, 6.15625)","(1.8, 2.54, 1.8763636363636365)","(15.0, 48.0, 26.666666666666664)","(6.0, 10.5, 7.275)","(5.5, 12.5, 10.618181818181817)","(41.0, 240.0, 93.0)","(19.0, 50.0, 28.333333333333336)"
10-01-2023 18:01:18.147495,"(26.0, 120.0, 73.5)","(4.2, 7.0, 6.15625)","(1.8, 2.54, 1.8763636363636365)","(15.0, 48.0, 26.666666666666664)","(6.0, 10.5, 7.275)","(5.5, 12.5, 10.618181818181817)","(41.0, 240.0, 93.0)","(19.0, 50.0, 28.333333333333336)"
10-01-2023 18:01:19.301510,"(26.0, 120.0, 73.5)","(4.2, 7.0, 6.15625)","(1.8, 2.54, 1.8763636363636365)","(15.0, 48.0, 26.666666666666664)","(6.0, 10.5, 7.275)","(5.5, 12.5, 10.618181818181817)","(41.0, 240.0, 93.0)","(19.0, 50.0, 28.333333333333336)"
10-01-2023 18:01:20.436906,"(26.0, 120.0, 73.5)","(4.2, 7.0, 6.15625)","(1.8, 2.54, 1.8763636363636365)","(15.0, 48.0, 26.666666666666664)","(6.0, 10.5, 7.275)","(5.5, 12.5, 10.618181818181817)","(41.0, 240.0, 93.0)","(19.0, 50.0, 28.333333333333336)"
10-01-2023 18:01:21.684667,"(26.0, 120.0, 73.5)","(4.2, 7.0, 6.15625)","(1.8, 2.54, 1.8763636363636365)","(15.0, 48.0, 26.666666666666664)","(6.0, 10.5, 7.275)","(5.5, 12.5, 10.618181818181817)","(41.0, 240.0, 93.0)","(19.0, 50.0, 28.333333333333336)"
10-01-2023 18:01:22.806258,"(26.0, 120.0, 73.5)","(4.2, 7.0, 6.15625)","(1.8, 2.54, 1.8763636363636365)","(15.0, 48.0, 26.666666666666664)","(6.0, 10.5, 7.275)","(5.5, 12.5, 10.618181818181817)","(41.0, 240.0, 93.0)","(19.0, 50.0, 28.333333333333336)"
10-01-2023 18:01:23.881627,"(26.0, 120.0, 73.5)","(4.2, 7.0, 6.15625)","(1.8, 2.54, 1.8763636363636365)","(15.0, 48.0, 26.666666666666664)","(6.0, 10.5, 7.275)","(5.5, 12.5, 10.618181818181817)","(41.0, 240.0, 93.0)","(19.0, 50.0, 28.333333333333336)"
10-01-2023 18:01:24.976708,"(26.0, 120.0, 73.5)","(4.2, 7.0, 6.15625)","(1.8, 2.54, 1.8763636363636365)","(15.0, 48.0, 26.666666666666664)","(6.0, 10.5, 7.275)","(5.5, 12.5, 10.618181818181817)","(41.0, 240.0, 93.0)","(19.0, 50.0, 28.333333333333336)"
10-01-2023 18:01:26.037297,"(26.0, 120.0, 73.5)","(4.2, 7.0, 6.15625)","(1.8, 2.54, 1.8763636363636365)","(15.0, 48.0, 26.666666666666664)","(6.0, 10.5, 7.275)","(5.5, 12.5, 10.618181818181817)","(41.0, 240.0, 93.0)","(19.0, 50.0, 28.333333333333336)"
10-01-2023 18:01:27.131237,"(26.0, 120.0, 73.5)","(4.2, 7.0, 6.15625)","(1.8, 2.54, 1.8763636363636365)","(15.0, 48.0, 26.666666666666664)","(6.0, 10.5, 7.275)","(5.5, 12.5, 10.618181818181817)","(41.0, 240.0, 93.0)","(19.0, 50.0, 28.333333333333336)"
10-01-2023 18:01:28.256521,"(26.0, 120.0, 73.5)","(4.2, 7.0, 6.15625)","(1.8, 2.54, 1.8763636363636365)","(15.0, 48.0, 26.666666666666664)","(6.0, 10.5, 7.275)","(5.5, 12.5, 10.618181818181817)","(41.0, 240.0, 93.0)","(19.0, 50.0, 28.333333333333336)"
10-01-2023 18:01:29.374642,"(26.0, 120.0, 73.5)","(4.2, 7.0, 6.15625)","(1.8, 2.54, 1.8763636363636365)","(15.0, 48.0, 26.666666666666664)","(6.0, 10.5, 7.275)","(5.5, 12.5, 10.618181818181817)","(41.0, 240.0, 93.0)","(19.0, 50.0, 28.333333333333336)"
10-01-2023 18:01:30.501348,"(26.0, 120.0, 73.5)","(4.2, 7.0, 6.15625)","(1.8, 2.54, 1.8763636363636365)","(15.0, 48.0, 26.666666666666664)","(6.0, 10.5, 7.275)","(5.5, 12.5, 10.618181818181817)","(41.0, 240.0, 93.0)","(19.0, 50.0, 28.333333333333336)"
10-01-2023 18:01:31.605843,"(26.0, 120.0, 73.5)","(4.2, 7.0, 6.15625)","(1.8, 2.54, 1.8763636363636365)","(15.0, 48.0, 26.666666666666664)","(6.0, 10.5, 7.275)","(5.5, 12.5, 10.618181818181817)","(41.0, 240.0, 93.0)","(19.0, 50.0, 28.333333333333336)"
10-01-2023 18:01:32.690907,"(26.0, 120.0, 73.5)","(4.2, 7.0, 6.15625)","(1.8, 2.54, 1.8763636363636365)","(15.0, 48.0, 26.666666666666664)","(6.0, 10.5, 7.275)","(5.5, 12.5, 10.618181818181817)","(41.0, 240.0, 93.0)","(19.0, 50.0, 28.333333333333336)"
10-01-2023 18:01:33.913151,"(26.0, 120.0, 73.5)","(4.2, 7.0, 6.15625)","(1.8, 2.54, 1.8763636363636365)","(15.0, 48.0, 26.666666666666664)","(6.0, 10.5, 7.275)","(5.5, 12.5, 10.618181818181817)","(41.0, 240.0, 93.0)","(19.0, 50.0, 28.333333333333336)"
10-01-2023 18:01:35.194551,"(26.0, 120.0, 73.5)","(4.2, 7.0, 6.15625)","(1.8, 2.54, 1.8763636363636365)","(15.0, 48.0, 26.666666666666664)","(6.0, 10.5, 7.275)","(5.5, 12.5, 10.618181818181817)","(41.0, 240.0, 93.0)","(19.0, 50.0, 28.333333333333336)"
10-01-2023 18:01:36.360547,"(26.0, 120.0, 73.5)","(4.2, 7.0, 6.15625)","(1.8, 2.54, 1.8763636363636365)","(15.0, 48.0, 26.666666666666664)","(6.0, 10.5, 7.275)","(5.5, 12.5, 10.618181818181817)","(41.0, 240.0, 93.0)","(19.0, 50.0, 28.333333333333336)"
10-01-2023 18:01:37.402582,"(26.0, 120.0, 73.5)","(4.2, 7.0, 6.15625)","(1.8, 2.54, 1.8763636363636365)","(15.0, 48.0, 26.666666666666664)","(6.0, 10.5, 7.275)","(5.5, 12.5, 10.618181818181817)","(41.0, 240.0, 93.0)","(19.0, 50.0, 28.333333333333336)"
10-01-2023 18:01:38.430773,"(26.0, 120.0, 73.5)","(4.2, 7.0, 6.15625)","(1.8, 2.54, 1.8763636363636365)","(15.0, 48.0, 26.666666666666664)","(6.0, 10.5, 7.275)","(5.5, 12.5, 10.618181818181817)","(41.0, 240.0, 93.0)","(19.0, 50.0, 28.333333333333336)"
10-01-2023 18:01:39.483411,"(26.0, 120.0, 73.5)","(4.2, 7.0, 6.15625)","(1.8, 2.54, 1.8763636363636365)","(15.0, 48.0, 26.666666666666664)","(6.0, 10.5, 7.275)","(5.5, 12.5, 10.618181818181817)","(41.0, 240.0, 93.0)","(19.0, 50.0, 28.333333333333336)"
10-01-2023 18:01:40.662775,"(26.0, 120.0, 73.5)","(4.2, 7.0, 6.15625)","(1.8, 2.54, 1.8763636363636365)","(15.0, 48.0, 26.666666666666664)","(6.0, 10.5, 7.275)","(5.5, 12.5, 10.618181818181817)","(41.0, 240.0, 93.0)","(19.0, 50.0, 28.333333333333336)"
10-01-2023 18:01:41.715185,"(26.0, 120.0, 73.5)","(4.2, 7.0, 6.15625)","(1.8, 2.54, 1.8763636363636365)","(15.0, 48.0, 26.666666666666664)","(6.0, 10.5, 7.275)","(5.5, 12.5, 10.618181818181817)","(41.0, 240.0, 93.0)","(19.0, 50.0, 28.333333333333336)"
10-01-2023 18:01:42.797015,"(26.0, 120.0, 73.5)","(4.2, 7.0, 6.15625)","(1.8, 2.54, 1.8763636363636365)","(15.0, 48.0, 26.666666666666664)","(6.0, 10.5, 7.275)","(5.5, 12.5, 10.618181818181817)","(41.0, 240.0, 93.0)","(19.0, 50.0, 28.333333333333336)"
10-01-2023 18:01:43.958522,"(26.0, 120.0, 73.5)","(4.2, 7.0, 6.15625)","(1.8, 2.54, 1.8763636363636365)","(15.0, 48.0, 26.666666666666664)","(6.0, 10.5, 7.275)","(5.5, 12.5, 10.618181818181817)","(41.0, 240.0, 93.0)","(19.0, 50.0, 28.333333333333336)"
10-01-2023 18:01:45.072072,"(26.0, 120.0, 73.5)","(4.2, 7.0, 6.15625)","(1.8, 2.54, 1.8763636363636365)","(15.0, 48.0, 26.666666666666664)","(6.0, 10.5, 7.275)","(5.5, 12.5, 10.618181818181817)","(41.0, 240.0, 93.0)","(19.0, 50.0, 28.333333333333336)"
10-01-2023 18:01:46.182392,"(26.0, 120.0, 73.5)","(4.2, 7.0, 6.15625)","(1.8, 2.54, 1.8763636363636365)","(15.0, 48.0, 26.666666666666664)","(6.0, 10.5, 7.275)","(5.5, 12.5, 10.618181818181817)","(41.0, 240.0, 93.0)","(19.0, 50.0, 28.333333333333336)"
10-01-2023 18:01:47.339929,"(26.0, 120.0, 73.5)","(4.2, 7.0, 6.15625)","(1.8, 2.54, 1.8763636363636365)","(15.0, 48.0, 26.666666666666664)","(6.0, 10.5, 7.275)","(5.5, 12.5, 10.618181818181817)","(41.0, 240.0, 93.0)","(19.0, 50.0, 28.333333333333336)"
10-01-2023 18:01:48.414850,"(26.0, 120.0, 73.5)","(4.2, 7.0, 6.15625)","(1.8, 2.54, 1.8763636363636365)","(15.0, 48.0, 26.666666666666664)","(6.0, 10.5, 7.275)","(5.5, 12.5, 10.618181818181817)","(41.0, 240.0, 93.0)","(19.0, 50.0, 28.333333333333336)"
10-01-2023 18:01:49.444904,"(26.0, 120.0, 73.5)","(4.2, 7.0, 6.15625)","(1.8, 2.54, 1.8763636363636365)","(15.0, 48.0, 26.666666666666664)","(6.0, 10.5, 7.275)","(5.5, 12.5, 10.618181818181817)","(41.0, 240.0, 93.0)","(19.0, 50.0, 28.333333333333336)"
10-01-2023 18:01:50.573001,"(26.0, 120.0, 73.5)","(4.2, 7.0, 6.15625)","(1.8, 2.54, 1.8763636363636365)","(15.0, 48.0, 26.666666666666664)","(6.0, 10.5, 7.275)","(5.5, 12.5, 10.618181818181817)","(41.0, 240.0, 93.0)","(19.0, 50.0, 28.333333333333336)"
10-01-2023 18:01:51.662959,"(26.0, 120.0, 73.5)","(4.2, 7.0, 6.15625)","(1.8, 2.54, 1.8763636363636365)","(15.0, 48.0, 26.666666666666664)","(6.0, 10.5, 7.275)","(5.5, 12.5, 10.618181818181817)","(41.0, 240.0, 93.0)","(19.0, 50.0, 28.333333333333336)"
10-01-2023 18:01:52.737415,"(26.0, 120.0, 73.5)","(4.2, 7.0, 6.15625)","(1.8, 2.54, 1.8763636363636365)","(15.0, 48.0, 26.666666666666664)","(6.0, 10.5, 7.275)","(5.5, 12.5, 10.618181818181817)","(41.0, 240.0, 93.0)","(19.0, 50.0, 28.333333333333336)"
10-01-2023 18:01:53.882329,"(26.0, 120.0, 73.5)","(4.2, 7.0, 6.15625)","(1.8, 2.54, 1.8763636363636365)","(15.0, 48.0, 26.666666666666664)","(6.0, 10.5, 7.275)","(5.5, 12.5, 10.618181818181817)","(41.0, 240.0, 93.0)","(19.0, 50.0, 28.333333333333336)"
10-01-2023 18:01:54.996780,"(26.0, 120.0, 73.5)","(4.2, 7.0, 6.15625)","(1.8, 2.54, 1.8763636363636365)","(15.0, 48.0, 26.666666666666664)","(6.0, 10.5, 7.275)","(5.5, 12.5, 10.618181818181817)","(41.0, 240.0, 93.0)","(19.0, 50.0, 28.333333333333336)"
10-01-2023 18:01:56.139131,"(26.0, 120.0, 73.5)","(4.2, 7.0, 6.15625)","(1.8, 2.54, 1.8763636363636365)","(15.0, 48.0, 26.666666666666664)","(6.0, 10.5, 7.275)","(5.5, 12.5, 10.618181818181817)","(41.0, 240.0, 93.0)","(19.0, 50.0, 28.333333333333336)"
10-01-2023 18:01:57.286930,"(26.0, 120.0, 73.5)","(4.2, 7.0, 6.15625)","(1.8, 2.54, 1.8763636363636365)","(15.0, 48.0, 26.666666666666664)","(6.0, 10.5, 7.275)","(5.5, 12.5, 10.618181818181817)","(41.0, 240.0, 93.0)","(19.0, 50.0, 28.333333333333336)"
10-01-2023 18:01:58.387934,"(26.0, 120.0, 73.5)","(4.2, 7.0, 6.15625)","(1.8, 2.54, 1.8763636363636365)","(15.0, 48.0, 26.666666666666664)","(6.0, 10.5, 7.275)","(5.5, 12.5, 10.618181818181817)","(41.0, 240.0, 93.0)","(19.0, 50.0, 28.333333333333336)"
10-01-2023 18:01:59.546849,"(26.0, 120.0, 73.5)","(4.2, 7.0, 6.15625)","(1.8, 2.54, 1.8763636363636365)","(15.0, 48.0, 26.666666666666664)","(6.0, 10.5, 7.275)","(5.5, 12.5, 10.618181818181817)","(41.0, 240.0, 93.0)","(19.0, 50.0, 28.333333333333336)"
10-01-2023 18:02:00.715858,"(26.0, 120.0, 73.5)","(4.2, 7.0, 6.15625)","(1.8, 2.54, 1.8763636363636365)","(15.0, 48.0, 26.666666666666664)","(6.0, 10.5, 7.275)","(5.5, 12.5, 10.618181818181817)","(41.0, 240.0, 93.0)","(19.0, 50.0, 28.333333333333336)"
10-01-2023 18:02:01.875619,"(26.0, 120.0, 73.5)","(4.2, 7.0, 6.15625)","(1.8, 2.54, 1.8763636363636365)","(15.0, 48.0, 26.666666666666664)","(6.0, 10.5, 7.275)","(5.5, 12.5, 10.618181818181817)","(41.0, 240.0, 93.0)","(19.0, 50.0, 28.333333333333336)"
10-01-2023 18:02:03.181211,"(26.0, 120.0, 73.5)","(4.2, 7.0, 6.15625)","(1.8, 2.54, 1.8763636363636365)","(15.0, 48.0, 26.666666666666664)","(6.0, 10.5, 7.275)","(5.5, 12.5, 10.618181818181817)","(41.0, 240.0, 93.0)","(19.0, 50.0, 28.333333333333336)"
10-01-2023 18:02:04.441226,"(26.0, 120.0, 73.5)","(4.2, 7.0, 6.15625)","(1.8, 2.54, 1.8763636363636365)","(15.0, 48.0, 26.666666666666664)","(6.0, 10.5, 7.275)","(5.5, 12.5, 10.618181818181817)","(41.0, 240.0, 93.0)","(19.0, 50.0, 28.333333333333336)"
10-01-2023 18:02:05.659856,"(26.0, 120.0, 73.5)","(4.2, 7.0, 6.15625)","(1.8, 2.54, 1.8763636363636365)","(15.0, 48.0, 26.666666666666664)","(6.0, 10.5, 7.275)","(5.5, 12.5, 10.618181818181817)","(41.0, 240.0, 178.125)","(19.0, 50.0, 45.14705882352941)"
10-01-2023 18:02:06.991378,"(26.0, 120.0, 73.5)","(4.2, 7.0, 6.15625)","(1.8, 2.54, 1.8763636363636365)","(15.0, 48.0, 34.458333333333336)","(6.0, 10.5, 7.275)","(5.5, 12.5, 10.618181818181817)","(41.0, 240.0, 178.125)","(19.0, 50.0, 45.14705882352941)"
