,Radley Erskin,Gold On Black,Goddess Of War,Jerrys Mate,Willina Charm,Bundy Traveller,Oh So Orson,Toppers The One
11-01-2023 11:07:09.307739,"(1.75, 1.95, 1.779)","(2.9, 4.5, 4.335714285714285)","(21.0, 50.0, 40.857142857142854)","(14.0, 26.0, 17.6)","(13.0, 27.0, 22.46666666666667)","(10.0, 14.0, 12.083333333333334)","(15.0, 65.0, 60.25)","(31.0, 380.0, 245.0)"
11-01-2023 11:07:10.423957,"(1.75, 1.95, 1.779)","(2.9, 4.5, 4.225)","(21.0, 50.0, 40.857142857142854)","(14.0, 26.0, 17.6)","(13.0, 27.0, 22.46666666666667)","(10.0, 14.0, 12.083333333333334)","(15.0, 65.0, 60.25)","(31.0, 380.0, 245.0)"
11-01-2023 11:07:11.499610,"(1.75, 1.95, 1.779)","(2.9, 4.5, 4.225)","(21.0, 50.0, 40.857142857142854)","(14.0, 26.0, 17.6)","(13.0, 27.0, 22.46666666666667)","(10.0, 14.0, 12.083333333333334)","(15.0, 65.0, 60.25)","(31.0, 380.0, 245.0)"
11-01-2023 11:07:12.646338,"(1.75, 1.95, 1.779)","(2.9, 4.5, 3.925)","(21.0, 50.0, 40.857142857142854)","(14.0, 26.0, 17.6)","(13.0, 27.0, 22.46666666666667)","(10.0, 14.0, 12.083333333333334)","(15.0, 65.0, 60.25)","(31.0, 370.0, 240.0)"
11-01-2023 11:07:13.839789,"(1.75, 1.95, 1.779)","(2.9, 4.5, 4.335714285714285)","(21.0, 50.0, 40.857142857142854)","(14.0, 26.0, 17.6)","(13.0, 27.0, 22.46666666666667)","(10.0, 14.0, 12.083333333333334)","(15.0, 65.0, 60.25)","(31.0, 370.0, 240.0)"
11-01-2023 11:07:14.977444,"(1.75, 1.95, 1.779)","(2.9, 4.5, 4.225)","(21.0, 50.0, 40.857142857142854)","(14.0, 26.0, 17.6)","(13.0, 27.0, 22.46666666666667)","(10.0, 14.0, 12.083333333333334)","(15.0, 65.0, 60.25)","(31.0, 370.0, 190.0)"
11-01-2023 11:07:16.137467,"(1.75, 1.95, 1.779)","(2.9, 4.5, 4.225)","(21.0, 50.0, 40.857142857142854)","(14.0, 26.0, 17.6)","(13.0, 27.0, 22.46666666666667)","(10.0, 14.0, 12.083333333333334)","(15.0, 65.0, 60.25)","(31.0, 350.0, 190.0)"
11-01-2023 11:07:17.291459,"(1.75, 1.95, 1.779)","(2.9, 4.5, 3.925)","(21.0, 50.0, 40.857142857142854)","(14.0, 26.0, 18.125)","(13.0, 27.0, 21.0)","(10.0, 14.0, 12.083333333333334)","(15.0, 65.0, 60.25)","(31.0, 350.0, 215.0)"
11-01-2023 11:07:18.465366,"(1.75, 1.95, 1.779)","(2.9, 4.5, 4.335714285714285)","(21.0, 50.0, 40.857142857142854)","(14.0, 26.0, 17.6)","(13.0, 27.0, 21.0)","(10.0, 14.0, 12.083333333333334)","(15.0, 65.0, 60.25)","(31.0, 320.0, 215.0)"
11-01-2023 11:07:19.625564,"(1.75, 1.95, 1.779)","(2.9, 4.5, 4.225)","(21.0, 50.0, 40.857142857142854)","(14.0, 26.0, 19.0)","(13.0, 27.0, 21.0)","(10.0, 14.0, 12.083333333333334)","(15.0, 65.0, 60.25)","(31.0, 320.0, 215.0)"
11-01-2023 11:07:20.823411,"(1.75, 1.95, 1.779)","(2.9, 4.5, 4.225)","(21.0, 50.0, 40.857142857142854)","(14.0, 26.0, 19.0)","(13.0, 27.0, 21.0)","(10.0, 14.0, 12.083333333333334)","(15.0, 65.0, 51.31578947368421)","(31.0, 320.0, 215.0)"
11-01-2023 11:07:21.910682,"(1.75, 1.95, 1.779)","(2.9, 4.5, 3.925)","(21.0, 50.0, 40.857142857142854)","(14.0, 26.0, 19.0)","(13.0, 27.0, 21.0)","(10.0, 14.0, 12.083333333333334)","(15.0, 60.0, 51.31578947368421)","(31.0, 320.0, 215.0)"
11-01-2023 11:07:23.024535,"(1.75, 1.95, 1.779)","(2.9, 4.5, 3.925)","(21.0, 50.0, 40.857142857142854)","(14.0, 26.0, 19.0)","(13.0, 27.0, 21.0)","(10.0, 14.0, 12.083333333333334)","(15.0, 60.0, 51.31578947368421)","(31.0, 320.0, 215.0)"
11-01-2023 11:07:24.165971,"(1.75, 1.95, 1.779)","(2.9, 4.5, 4.225)","(21.0, 50.0, 40.857142857142854)","(14.0, 26.0, 19.0)","(13.0, 27.0, 21.0)","(10.0, 14.0, 12.083333333333334)","(15.0, 60.0, 58.68421052631579)","(31.0, 320.0, 215.0)"
11-01-2023 11:07:25.227079,"(1.75, 1.95, 1.779)","(2.9, 4.5, 4.225)","(21.0, 50.0, 40.857142857142854)","(14.0, 26.0, 19.0)","(13.0, 27.0, 21.0)","(10.0, 14.0, 12.083333333333334)","(15.0, 70.0, 57.099999999999994)","(31.0, 320.0, 215.0)"
11-01-2023 11:07:26.297241,"(1.75, 1.95, 1.779)","(2.9, 4.5, 3.925)","(21.0, 50.0, 40.857142857142854)","(14.0, 26.0, 19.0)","(13.0, 27.0, 21.0)","(10.0, 14.0, 12.083333333333334)","(15.0, 70.0, 53.173913043478265)","(31.0, 320.0, 215.0)"
11-01-2023 11:07:27.400905,"(1.75, 1.95, 1.779)","(2.9, 4.5, 4.335714285714285)","(21.0, 50.0, 40.857142857142854)","(14.0, 26.0, 19.0)","(13.0, 27.0, 21.0)","(10.0, 14.0, 12.083333333333334)","(15.0, 70.0, 53.173913043478265)","(31.0, 320.0, 215.0)"
11-01-2023 11:07:28.489432,"(1.75, 1.95, 1.779)","(2.9, 4.5, 4.225)","(21.0, 50.0, 40.857142857142854)","(14.0, 26.0, 19.0)","(13.0, 27.0, 21.0)","(10.0, 14.0, 12.083333333333334)","(15.0, 70.0, 53.173913043478265)","(31.0, 320.0, 215.0)"
11-01-2023 11:07:29.525620,"(1.75, 1.95, 1.779)","(2.9, 4.5, 3.925)","(21.0, 50.0, 40.857142857142854)","(14.0, 26.0, 19.0)","(13.0, 27.0, 21.0)","(10.0, 14.0, 12.083333333333334)","(15.0, 70.0, 53.173913043478265)","(31.0, 320.0, 215.0)"
11-01-2023 11:07:30.527026,"(1.75, 2.02, 2.0193693693693695)","(2.9, 4.5, 4.335714285714285)","(21.0, 50.0, 40.857142857142854)","(14.0, 26.0, 19.0)","(13.0, 27.0, 21.0)","(10.0, 14.0, 12.083333333333334)","(15.0, 70.0, 53.173913043478265)","(31.0, 320.0, 215.0)"
11-01-2023 11:07:31.497550,"(1.75, 2.02, 2.0185416666666667)","(2.9, 4.5, 3.9772727272727275)","(21.0, 50.0, 40.857142857142854)","(14.0, 26.0, 19.0)","(13.0, 27.0, 21.0)","(10.0, 14.0, 12.083333333333334)","(15.0, 70.0, 53.173913043478265)","(31.0, 320.0, 215.0)"
11-01-2023 11:07:32.473134,"(1.75, 2.02, 2.0185416666666667)","(2.9, 4.5, 3.9772727272727275)","(21.0, 50.0, 40.857142857142854)","(14.0, 26.0, 19.0)","(13.0, 27.0, 21.0)","(10.0, 14.0, 12.083333333333334)","(15.0, 70.0, 53.173913043478265)","(31.0, 320.0, 215.0)"
11-01-2023 11:07:33.503161,"(1.75, 2.02, 2.0185416666666667)","(2.9, 4.5, 3.9772727272727275)","(21.0, 50.0, 40.857142857142854)","(14.0, 26.0, 19.0)","(13.0, 27.0, 21.0)","(10.0, 14.0, 12.083333333333334)","(15.0, 70.0, 53.173913043478265)","(31.0, 320.0, 172.5)"
11-01-2023 11:07:34.562943,"(1.75, 2.02, 2.0185416666666667)","(2.9, 4.5, 3.9772727272727275)","(21.0, 50.0, 40.857142857142854)","(14.0, 26.0, 19.0)","(13.0, 27.0, 21.0)","(10.0, 14.0, 12.083333333333334)","(15.0, 70.0, 53.173913043478265)","(31.0, 360.0, 172.5)"
11-01-2023 11:07:35.645112,"(1.75, 2.02, 2.0185416666666667)","(2.9, 4.5, 3.9772727272727275)","(21.0, 50.0, 40.857142857142854)","(14.0, 26.0, 19.0)","(13.0, 27.0, 21.0)","(10.0, 14.0, 12.083333333333334)","(15.0, 70.0, 53.173913043478265)","(31.0, 360.0, 172.5)"
11-01-2023 11:07:36.728297,"(1.75, 2.02, 2.0185416666666667)","(2.9, 4.5, 3.9772727272727275)","(21.0, 50.0, 40.857142857142854)","(14.0, 26.0, 19.0)","(13.0, 27.0, 21.0)","(10.0, 14.0, 12.083333333333334)","(15.0, 70.0, 53.173913043478265)","(31.0, 360.0, 172.5)"
11-01-2023 11:07:37.809806,"(1.75, 2.02, 2.0185416666666667)","(2.9, 4.5, 3.9772727272727275)","(21.0, 50.0, 40.857142857142854)","(14.0, 26.0, 19.0)","(13.0, 27.0, 21.0)","(10.0, 14.0, 12.083333333333334)","(15.0, 70.0, 53.173913043478265)","(31.0, 360.0, 172.5)"
11-01-2023 11:07:38.881020,"(1.75, 2.02, 2.0185416666666667)","(2.8, 4.5, 3.9772727272727275)","(21.0, 50.0, 40.857142857142854)","(14.0, 26.0, 19.0)","(13.0, 27.0, 21.0)","(10.0, 14.0, 12.083333333333334)","(15.0, 70.0, 53.173913043478265)","(31.0, 360.0, 172.5)"
11-01-2023 11:07:39.932929,"(1.75, 2.02, 2.0185416666666667)","(2.8, 4.5, 3.9772727272727275)","(21.0, 50.0, 40.857142857142854)","(14.0, 26.0, 19.0)","(13.0, 27.0, 21.0)","(10.0, 14.0, 12.083333333333334)","(15.0, 70.0, 53.173913043478265)","(31.0, 360.0, 172.5)"
11-01-2023 11:07:40.953854,"(1.75, 2.02, 2.0185416666666667)","(2.8, 4.5, 3.9772727272727275)","(21.0, 50.0, 40.857142857142854)","(14.0, 26.0, 19.0)","(13.0, 27.0, 21.0)","(10.0, 14.0, 12.083333333333334)","(15.0, 70.0, 53.173913043478265)","(31.0, 360.0, 193.33333333333331)"
11-01-2023 11:07:42.010623,"(1.75, 2.02, 2.0185416666666667)","(2.8, 4.5, 3.9772727272727275)","(21.0, 50.0, 40.857142857142854)","(14.0, 26.0, 19.0)","(13.0, 27.0, 21.0)","(10.0, 14.0, 12.083333333333334)","(15.0, 70.0, 53.173913043478265)","(31.0, 360.0, 230.0)"
11-01-2023 11:07:43.123255,"(1.75, 2.02, 2.0185416666666667)","(2.8, 4.5, 3.9772727272727275)","(21.0, 50.0, 40.857142857142854)","(14.0, 26.0, 19.0)","(13.0, 27.0, 21.0)","(10.0, 14.0, 12.083333333333334)","(15.0, 70.0, 53.173913043478265)","(31.0, 350.0, 230.0)"
11-01-2023 11:07:44.268784,"(1.75, 2.02, 2.0185416666666667)","(2.8, 4.5, 3.9772727272727275)","(21.0, 50.0, 40.857142857142854)","(14.0, 26.0, 19.0)","(13.0, 27.0, 21.0)","(10.0, 14.0, 12.083333333333334)","(15.0, 70.0, 55.0)","(31.0, 350.0, 230.0)"
11-01-2023 11:07:45.402865,"(1.75, 2.02, 2.0120754716981133)","(2.8, 4.5, 3.9772727272727275)","(21.0, 50.0, 40.857142857142854)","(14.0, 26.0, 19.0)","(13.0, 27.0, 21.0)","(10.0, 14.0, 12.083333333333334)","(15.0, 65.0, 57.800000000000004)","(31.0, 350.0, 230.0)"
11-01-2023 11:07:46.569854,"(1.75, 2.02, 2.0120754716981133)","(2.8, 4.5, 3.9772727272727275)","(21.0, 50.0, 40.857142857142854)","(14.0, 26.0, 19.0)","(13.0, 27.0, 21.0)","(10.0, 14.0, 12.083333333333334)","(15.0, 60.0, 57.800000000000004)","(31.0, 350.0, 266.66666666666663)"
11-01-2023 11:07:47.730441,"(1.75, 2.02, 2.0120754716981133)","(2.8, 4.5, 3.9772727272727275)","(21.0, 50.0, 40.857142857142854)","(14.0, 26.0, 19.0)","(13.0, 27.0, 21.0)","(10.0, 14.0, 12.083333333333334)","(15.0, 60.0, 57.800000000000004)","(31.0, 350.0, 215.0)"
11-01-2023 11:07:48.967059,"(1.75, 2.02, 2.0120754716981133)","(2.8, 4.5, 3.9772727272727275)","(21.0, 50.0, 40.857142857142854)","(14.0, 26.0, 19.0)","(13.0, 27.0, 21.0)","(10.0, 14.0, 12.083333333333334)","(15.0, 60.0, 58.68421052631579)","(31.0, 320.0, 215.0)"
11-01-2023 11:07:50.183054,"(1.75, 2.02, 2.0120754716981133)","(2.8, 4.5, 3.9772727272727275)","(21.0, 50.0, 40.857142857142854)","(14.0, 26.0, 19.0)","(13.0, 27.0, 21.0)","(10.0, 14.0, 12.083333333333334)","(15.0, 70.0, 62.46666666666667)","(31.0, 320.0, 215.0)"
11-01-2023 11:07:51.345970,"(1.75, 2.02, 2.0120754716981133)","(2.8, 4.5, 3.9772727272727275)","(21.0, 50.0, 40.857142857142854)","(14.0, 26.0, 19.0)","(13.0, 27.0, 21.0)","(10.0, 14.0, 12.083333333333334)","(15.0, 65.0, 60.25)","(31.0, 320.0, 215.0)"
11-01-2023 11:07:52.571961,"(1.75, 2.02, 2.0120754716981133)","(2.8, 4.5, 3.9772727272727275)","(21.0, 50.0, 40.857142857142854)","(14.0, 26.0, 19.0)","(13.0, 27.0, 21.0)","(10.0, 14.0, 12.083333333333334)","(15.0, 65.0, 60.25)","(31.0, 320.0, 215.0)"
11-01-2023 11:07:53.745495,"(1.75, 2.02, 2.0120754716981133)","(2.8, 4.5, 3.9772727272727275)","(21.0, 50.0, 40.857142857142854)","(14.0, 26.0, 19.0)","(13.0, 27.0, 21.0)","(10.0, 14.0, 12.083333333333334)","(15.0, 65.0, 60.25)","(31.0, 320.0, 215.0)"
11-01-2023 11:07:54.943696,"(1.75, 2.02, 2.0120754716981133)","(2.8, 4.5, 3.9772727272727275)","(21.0, 50.0, 40.857142857142854)","(14.0, 26.0, 19.0)","(13.0, 27.0, 21.0)","(10.0, 14.0, 12.083333333333334)","(15.0, 65.0, 60.25)","(31.0, 320.0, 215.0)"
11-01-2023 11:07:56.433701,"(1.75, 2.02, 2.0120754716981133)","(2.8, 4.5, 3.9772727272727275)","(21.0, 50.0, 40.857142857142854)","(14.0, 26.0, 19.0)","(13.0, 27.0, 21.0)","(10.0, 14.0, 12.083333333333334)","(15.0, 65.0, 60.25)","(31.0, 320.0, 215.0)"
11-01-2023 11:07:57.599198,"(1.75, 2.02, 2.0120754716981133)","(2.8, 4.5, 3.9772727272727275)","(21.0, 50.0, 40.857142857142854)","(14.0, 26.0, 19.0)","(13.0, 27.0, 21.0)","(10.0, 14.0, 12.083333333333334)","(15.0, 65.0, 60.25)","(31.0, 320.0, 215.0)"
11-01-2023 11:07:58.785410,"(1.75, 2.02, 2.0120754716981133)","(2.8, 4.5, 3.9772727272727275)","(21.0, 50.0, 40.857142857142854)","(14.0, 26.0, 19.0)","(13.0, 27.0, 21.0)","(10.0, 14.0, 12.083333333333334)","(15.0, 65.0, 60.25)","(31.0, 320.0, 215.0)"
11-01-2023 11:08:00.144512,"(1.75, 2.02, 2.0120754716981133)","(2.8, 4.5, 3.9772727272727275)","(21.0, 50.0, 40.857142857142854)","(14.0, 26.0, 19.0)","(13.0, 27.0, 21.0)","(10.0, 14.0, 12.083333333333334)","(15.0, 65.0, 60.25)","(31.0, 320.0, 215.0)"
11-01-2023 11:08:01.312737,"(1.75, 2.02, 2.0120754716981133)","(2.8, 4.5, 3.9772727272727275)","(21.0, 50.0, 40.857142857142854)","(14.0, 26.0, 19.0)","(13.0, 27.0, 21.0)","(10.0, 14.0, 12.083333333333334)","(15.0, 65.0, 60.25)","(31.0, 320.0, 215.0)"
11-01-2023 11:08:02.472590,"(1.75, 2.02, 2.006875)","(2.8, 4.5, 3.9772727272727275)","(21.0, 50.0, 40.857142857142854)","(14.0, 26.0, 19.0)","(13.0, 27.0, 21.0)","(10.0, 14.0, 12.083333333333334)","(15.0, 65.0, 60.25)","(31.0, 320.0, 176.66666666666669)"
11-01-2023 11:08:03.607149,"(1.75, 2.02, 2.006875)","(2.8, 4.4, 3.8346153846153848)","(21.0, 50.0, 40.857142857142854)","(14.0, 26.0, 19.0)","(13.0, 27.0, 21.0)","(10.0, 14.0, 12.083333333333334)","(15.0, 65.0, 60.25)","(31.0, 360.0, 217.5)"
11-01-2023 11:08:04.740079,"(1.75, 2.02, 2.010666666666667)","(2.8, 4.4, 3.48125)","(21.0, 50.0, 40.857142857142854)","(14.0, 26.0, 19.0)","(13.0, 27.0, 21.0)","(10.0, 14.0, 12.083333333333334)","(15.0, 65.0, 60.25)","(31.0, 350.0, 217.5)"
11-01-2023 11:08:05.853351,"(1.75, 2.02, 2.010666666666667)","(2.8, 4.4, 3.48125)","(21.0, 50.0, 40.857142857142854)","(14.0, 26.0, 19.0)","(13.0, 27.0, 21.0)","(10.0, 14.0, 12.083333333333334)","(15.0, 65.0, 60.25)","(31.0, 350.0, 212.5)"
11-01-2023 11:08:07.016602,"(1.75, 2.02, 2.010666666666667)","(2.8, 4.4, 3.48125)","(21.0, 50.0, 40.857142857142854)","(14.0, 26.0, 19.0)","(13.0, 27.0, 21.0)","(10.0, 14.0, 12.083333333333334)","(15.0, 65.0, 60.25)","(31.0, 350.0, 212.5)"
11-01-2023 11:08:08.129154,"(1.75, 2.02, 2.010666666666667)","(2.8, 4.4, 3.48125)","(21.0, 50.0, 40.857142857142854)","(14.0, 26.0, 19.0)","(13.0, 27.0, 21.0)","(10.0, 14.0, 12.083333333333334)","(15.0, 65.0, 60.25)","(31.0, 350.0, 217.5)"
11-01-2023 11:08:09.485842,"(1.75, 2.02, 2.010666666666667)","(2.8, 4.4, 3.48125)","(21.0, 50.0, 40.857142857142854)","(14.0, 26.0, 19.0)","(13.0, 27.0, 21.0)","(10.0, 14.0, 12.083333333333334)","(15.0, 65.0, 60.25)","(31.0, 350.0, 217.5)"
11-01-2023 11:08:10.705976,"(1.75, 2.0, 1.9933333333333334)","(2.8, 4.4, 3.48125)","(21.0, 50.0, 40.857142857142854)","(14.0, 26.0, 19.0)","(13.0, 27.0, 21.0)","(10.0, 14.0, 12.083333333333334)","(15.0, 65.0, 60.25)","(31.0, 350.0, 217.5)"
11-01-2023 11:08:11.829955,"(1.75, 2.0, 1.9933333333333334)","(2.8, 4.4, 3.48125)","(21.0, 50.0, 40.857142857142854)","(14.0, 26.0, 19.0)","(13.0, 27.0, 21.0)","(10.0, 14.0, 12.375)","(15.0, 65.0, 60.25)","(31.0, 350.0, 217.5)"
11-01-2023 11:08:13.015963,"(1.75, 2.0, 1.9933333333333334)","(2.8, 4.4, 3.48125)","(21.0, 50.0, 40.857142857142854)","(14.0, 26.0, 19.0)","(13.0, 27.0, 23.6)","(10.0, 13.5, 12.053571428571429)","(15.0, 65.0, 60.25)","(31.0, 350.0, 217.5)"
11-01-2023 11:08:14.153258,"(1.75, 2.0, 1.9933333333333334)","(2.8, 4.4, 3.48125)","(21.0, 50.0, 40.857142857142854)","(14.0, 26.0, 19.0)","(13.0, 27.0, 23.6)","(10.0, 13.5, 12.053571428571429)","(15.0, 65.0, 60.25)","(31.0, 350.0, 176.66666666666669)"
11-01-2023 11:08:15.228502,"(1.75, 2.0, 1.9933333333333334)","(2.8, 4.4, 3.48125)","(21.0, 50.0, 40.857142857142854)","(14.0, 26.0, 19.0)","(13.0, 27.0, 23.6)","(10.0, 13.5, 12.053571428571429)","(15.0, 65.0, 60.25)","(31.0, 360.0, 217.5)"
11-01-2023 11:08:16.307097,"(1.75, 2.0, 1.9933333333333334)","(2.8, 4.4, 3.48125)","(21.0, 50.0, 40.857142857142854)","(14.0, 26.0, 19.0)","(13.0, 27.0, 23.6)","(10.0, 13.5, 12.053571428571429)","(15.0, 65.0, 60.25)","(31.0, 350.0, 217.5)"
11-01-2023 11:08:17.433369,"(1.75, 2.0, 1.9933333333333334)","(2.8, 4.4, 3.48125)","(21.0, 50.0, 40.857142857142854)","(14.0, 26.0, 19.0)","(13.0, 27.0, 23.6)","(10.0, 13.5, 12.053571428571429)","(15.0, 65.0, 60.25)","(31.0, 350.0, 217.5)"
11-01-2023 11:08:18.537850,"(1.75, 2.0, 1.9933333333333334)","(2.8, 4.4, 3.48125)","(21.0, 50.0, 40.857142857142854)","(14.0, 26.0, 19.0)","(13.0, 27.0, 23.6)","(10.0, 13.5, 12.053571428571429)","(15.0, 65.0, 60.25)","(31.0, 350.0, 220.0)"
11-01-2023 11:08:19.633038,"(1.75, 2.0, 1.9933333333333334)","(2.8, 4.4, 3.48125)","(21.0, 50.0, 40.857142857142854)","(14.0, 26.0, 19.0)","(13.0, 27.0, 23.6)","(10.0, 13.5, 12.053571428571429)","(15.0, 65.0, 60.25)","(31.0, 350.0, 220.0)"
11-01-2023 11:08:20.716732,"(1.75, 2.0, 1.9933333333333334)","(2.8, 4.4, 3.48125)","(21.0, 50.0, 40.857142857142854)","(14.0, 26.0, 19.0)","(13.0, 27.0, 23.6)","(10.0, 13.5, 12.053571428571429)","(15.0, 65.0, 40.333333333333336)","(31.0, 350.0, 220.0)"
11-01-2023 11:08:21.867678,"(1.75, 2.0, 1.9933333333333334)","(2.8, 4.4, 3.48125)","(21.0, 50.0, 40.857142857142854)","(14.0, 26.0, 19.0)","(13.0, 27.0, 23.6)","(10.0, 13.5, 12.053571428571429)","(15.0, 65.0, 40.333333333333336)","(31.0, 350.0, 220.0)"
