,What A Nose,Dairy Girl,Memories Keep,Noaki Cruise,Noaki Nipper,Stylish Rico,Lock It In,Gypsy Rico
08-01-2023 19:26:51.869731,"(71.0, 580.0, 494.16666666666663)","(81.0, 460.0, 246.11111111111111)","(2.5, 3.85, 2.5422727272727275)","(3.7, 7.0, 4.804054054054054)","(11.0, 23.0, 22.0)","(10.0, 20.0, 18.94)","(5.5, 11.5, 5.954545454545455)","(4.0, 8.2, 5.866666666666666)"
08-01-2023 19:26:53.282533,"(71.0, 580.0, 494.16666666666663)","(81.0, 460.0, 246.11111111111111)","(2.5, 3.85, 2.5422727272727275)","(3.7, 7.0, 4.804054054054054)","(11.0, 23.0, 22.0)","(10.0, 20.0, 18.94)","(5.5, 11.5, 5.954545454545455)","(4.0, 8.2, 5.866666666666666)"
08-01-2023 19:26:54.562484,"(71.0, 580.0, 494.16666666666663)","(81.0, 460.0, 246.11111111111111)","(2.5, 3.85, 2.5422727272727275)","(3.7, 7.0, 4.804054054054054)","(11.0, 23.0, 22.0)","(10.0, 20.0, 18.94)","(5.5, 11.5, 5.954545454545455)","(4.0, 8.2, 5.866666666666666)"
08-01-2023 19:26:55.863539,"(71.0, 580.0, 494.16666666666663)","(81.0, 460.0, 246.11111111111111)","(2.5, 3.85, 2.5422727272727275)","(3.7, 7.0, 4.804054054054054)","(11.0, 23.0, 22.0)","(10.0, 20.0, 18.94)","(5.5, 11.5, 5.954545454545455)","(4.0, 8.2, 5.866666666666666)"
08-01-2023 19:26:57.361374,"(71.0, 580.0, 494.16666666666663)","(81.0, 460.0, 246.11111111111111)","(2.5, 3.85, 2.5422727272727275)","(3.7, 7.0, 4.804054054054054)","(11.0, 23.0, 22.0)","(10.0, 20.0, 18.94)","(5.5, 11.5, 5.954545454545455)","(4.0, 8.2, 5.866666666666666)"
08-01-2023 19:26:58.875167,"(71.0, 580.0, 494.16666666666663)","(81.0, 460.0, 246.11111111111111)","(2.5, 3.85, 2.5422727272727275)","(3.7, 7.0, 4.804054054054054)","(11.0, 23.0, 22.0)","(10.0, 20.0, 18.94)","(5.5, 11.5, 5.954545454545455)","(4.0, 8.2, 5.866666666666666)"
08-01-2023 19:27:00.368063,"(71.0, 580.0, 494.16666666666663)","(81.0, 460.0, 246.11111111111111)","(2.5, 3.85, 2.5422727272727275)","(3.7, 7.0, 4.804054054054054)","(11.0, 23.0, 22.0)","(10.0, 20.0, 18.94)","(5.5, 11.5, 5.954545454545455)","(4.0, 8.2, 5.866666666666666)"
08-01-2023 19:27:01.943271,"(71.0, 580.0, 494.16666666666663)","(81.0, 460.0, 246.11111111111111)","(2.5, 3.85, 2.5422727272727275)","(3.7, 7.0, 4.804054054054054)","(11.0, 23.0, 22.0)","(10.0, 20.0, 18.94)","(5.5, 11.5, 5.954545454545455)","(4.0, 8.2, 5.866666666666666)"
08-01-2023 19:27:03.375066,"(71.0, 580.0, 494.16666666666663)","(81.0, 460.0, 246.11111111111111)","(2.5, 3.85, 2.5422727272727275)","(3.7, 7.0, 4.804054054054054)","(11.0, 23.0, 22.0)","(10.0, 20.0, 18.94)","(5.5, 11.5, 5.954545454545455)","(4.0, 8.2, 5.866666666666666)"
08-01-2023 19:27:05.039200,"(71.0, 580.0, 494.16666666666663)","(81.0, 460.0, 246.11111111111111)","(2.5, 3.85, 2.5422727272727275)","(3.7, 7.0, 4.804054054054054)","(11.0, 23.0, 22.0)","(10.0, 20.0, 18.94)","(5.5, 11.5, 5.954545454545455)","(4.0, 8.2, 5.866666666666666)"
08-01-2023 19:27:06.412352,"(71.0, 580.0, 494.16666666666663)","(81.0, 460.0, 246.11111111111111)","(2.5, 3.85, 2.5422727272727275)","(3.7, 7.0, 4.804054054054054)","(11.0, 23.0, 22.0)","(10.0, 20.0, 18.94)","(5.5, 11.5, 5.954545454545455)","(4.0, 8.2, 5.866666666666666)"
08-01-2023 19:27:07.677012,"(71.0, 580.0, 494.16666666666663)","(81.0, 460.0, 246.11111111111111)","(2.5, 3.85, 2.5422727272727275)","(3.7, 7.0, 4.804054054054054)","(11.0, 23.0, 22.0)","(10.0, 20.0, 18.94)","(5.5, 11.5, 5.954545454545455)","(4.0, 8.2, 5.866666666666666)"
08-01-2023 19:27:09.000830,"(71.0, 580.0, 494.16666666666663)","(81.0, 460.0, 246.11111111111111)","(2.5, 3.85, 2.5422727272727275)","(3.7, 7.0, 4.804054054054054)","(11.0, 23.0, 22.0)","(10.0, 20.0, 18.94)","(5.5, 11.5, 5.954545454545455)","(4.0, 8.2, 5.866666666666666)"
08-01-2023 19:27:10.460941,"(71.0, 580.0, 494.16666666666663)","(81.0, 460.0, 246.11111111111111)","(2.5, 3.85, 2.5422727272727275)","(3.7, 7.0, 4.804054054054054)","(11.0, 23.0, 22.0)","(10.0, 20.0, 18.94)","(5.5, 11.5, 5.954545454545455)","(4.0, 8.2, 5.866666666666666)"
08-01-2023 19:27:11.726154,"(71.0, 580.0, 494.16666666666663)","(81.0, 460.0, 246.11111111111111)","(2.5, 3.85, 2.5422727272727275)","(3.7, 7.0, 4.804054054054054)","(11.0, 23.0, 22.0)","(10.0, 20.0, 18.94)","(5.5, 11.5, 5.954545454545455)","(4.0, 8.2, 5.866666666666666)"
08-01-2023 19:27:13.043636,"(71.0, 580.0, 494.16666666666663)","(81.0, 460.0, 246.11111111111111)","(2.5, 3.85, 2.5422727272727275)","(3.7, 7.0, 4.804054054054054)","(11.0, 23.0, 22.0)","(10.0, 20.0, 18.94)","(5.5, 11.5, 5.954545454545455)","(4.0, 8.2, 5.866666666666666)"
08-01-2023 19:27:14.308652,"(71.0, 580.0, 494.16666666666663)","(81.0, 460.0, 246.11111111111111)","(2.5, 3.85, 2.5422727272727275)","(3.7, 7.0, 4.804054054054054)","(11.0, 23.0, 22.0)","(10.0, 20.0, 18.94)","(5.5, 11.5, 5.954545454545455)","(4.0, 8.2, 5.866666666666666)"
08-01-2023 19:27:15.546108,"(71.0, 580.0, 494.16666666666663)","(81.0, 460.0, 246.11111111111111)","(2.5, 3.85, 2.5422727272727275)","(3.7, 7.0, 4.804054054054054)","(11.0, 23.0, 22.0)","(10.0, 20.0, 18.94)","(5.5, 11.5, 5.954545454545455)","(4.0, 8.2, 5.866666666666666)"
08-01-2023 19:27:16.712818,"(71.0, 580.0, 494.16666666666663)","(81.0, 460.0, 246.11111111111111)","(2.5, 3.85, 2.5422727272727275)","(3.7, 7.0, 4.804054054054054)","(11.0, 23.0, 22.0)","(10.0, 20.0, 18.94)","(5.5, 11.5, 5.954545454545455)","(4.0, 8.2, 5.866666666666666)"
08-01-2023 19:27:17.969769,"(71.0, 580.0, 494.16666666666663)","(81.0, 460.0, 246.11111111111111)","(2.5, 3.85, 2.5422727272727275)","(3.7, 7.0, 4.804054054054054)","(11.0, 23.0, 22.0)","(10.0, 20.0, 18.94)","(5.5, 11.5, 5.954545454545455)","(4.0, 8.2, 5.866666666666666)"
